* Measurement data measured by REW V5.31.1
* Source: Microphone (6- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Apr 23, 2026 11:51:41 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R MYLIN RED WHITE TIP 2114
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 93.686 -137.5050
20.600000 93.715 -138.4025
20.900000 93.738 -139.2075
21.200001 93.760 -140.0058
21.400000 93.776 -140.5392
21.799999 93.810 -141.6081
22.000000 93.827 -142.1405
22.400000 93.860 -143.1881
22.700001 93.883 -143.9471
23.000000 93.904 -144.6770
23.299999 93.924 -145.3812
23.600000 93.943 -146.0671
24.000000 93.967 -146.9673
24.299999 93.982 -147.6393
24.700001 94.001 -148.5324
25.000000 94.013 -149.1947
25.400000 94.028 -150.0584
25.799999 94.042 -150.8930
26.200001 94.056 -151.6981
26.500000 94.066 -152.2857
26.900000 94.079 -153.0522
27.200001 94.086 -153.6175
27.600000 94.094 -154.3611
28.000000 94.099 -155.0945
28.500000 94.102 -155.9960
29.000000 94.104 -156.8758
29.500000 94.107 -157.7313
30.000000 94.111 -158.5654
30.400000 94.114 -159.2210
30.700001 94.115 -159.7061
31.100000 94.115 -160.3422
31.500000 94.113 -160.9640
32.000000 94.109 -161.7224
32.500000 94.103 -162.4680
33.000000 94.097 -163.2061
33.500000 94.089 -163.9297
34.000000 94.080 -164.6260
34.500000 94.072 -165.2945
35.000000 94.065 -165.9484
35.500000 94.056 -166.5989
36.000000 94.046 -167.2409
36.500000 94.034 -167.8624
37.000000 94.023 -168.4641
37.500000 94.016 -169.0621
38.200001 94.005 -169.9123
38.700001 93.993 -170.5125
39.500000 93.966 -171.4109
40.000000 93.949 -171.9410
40.599998 93.930 -172.5762
41.200001 93.911 -173.2225
41.799999 93.889 -173.8632
42.500000 93.863 -174.5751
43.099998 93.841 -175.1501
43.700001 93.822 -175.7104
44.400002 93.801 -176.3693
45.000000 93.779 -176.9353
45.500000 93.759 -177.3914
46.200001 93.732 -178.0027
46.799999 93.710 -178.5235
47.500000 93.682 -179.1402
48.200001 93.649 -179.7342
48.700001 93.625 179.8655
49.400002 93.596 179.3170
50.000000 93.572 178.8432
50.799999 93.539 178.2241
51.500000 93.509 177.7055
52.200001 93.479 177.1968
53.000000 93.444 176.6199
53.799999 93.409 176.0411
54.500000 93.378 175.5383
55.200001 93.346 175.0661
56.000000 93.311 174.5560
57.000000 93.267 173.8990
58.000000 93.218 173.2686
59.000000 93.172 172.6691
60.000000 93.123 172.0696
60.799999 93.084 171.6208
61.500000 93.054 171.2346
62.200001 93.024 170.8490
63.000000 92.985 170.4272
64.000000 92.932 169.9363
65.000000 92.883 169.4376
66.000000 92.838 168.8866
67.000000 92.788 168.3902
68.000000 92.741 167.9307
69.000000 92.688 167.4554
70.000000 92.639 167.0306
71.000000 92.598 166.6049
72.000000 92.553 166.2049
73.000000 92.508 165.8116
74.000000 92.462 165.3917
75.000000 92.418 164.9882
76.199997 92.362 164.5225
77.500000 92.301 164.0386
78.800003 92.240 163.5475
80.000000 92.180 163.1418
81.199997 92.121 162.7459
82.500000 92.065 162.3155
83.800003 92.005 161.8616
85.000000 91.950 161.4995
86.199997 91.892 161.1232
87.500000 91.833 160.7393
88.500000 91.789 160.4002
90.000000 91.720 160.0173
91.199997 91.662 159.6888
92.500000 91.594 159.3295
93.800003 91.536 159.0182
95.000000 91.481 158.7209
96.199997 91.427 158.4274
97.500000 91.372 158.0984
98.800003 91.307 157.8181
100.000000 91.252 157.5620
101.500000 91.187 157.2122
103.000000 91.119 156.9326
104.400002 91.054 156.6660
106.000000 90.987 156.3421
107.500000 90.915 156.0492
109.000000 90.846 155.8663
110.599998 90.780 155.5582
112.000000 90.715 155.3656
113.800003 90.637 155.0079
115.000000 90.584 154.8480
117.199997 90.492 154.5757
118.000000 90.456 154.4394
120.599998 90.349 154.0716
122.000000 90.282 153.9158
124.099998 90.194 153.6679
125.000000 90.156 153.5889
126.500000 90.101 153.3932
128.000000 90.033 153.2254
131.500000 89.884 152.8838
132.000000 89.859 152.8866
134.000000 89.783 152.6754
136.000000 89.704 152.5951
138.000000 89.618 152.4342
140.000000 89.538 152.2465
143.000000 89.403 152.1305
145.000000 89.315 152.0266
147.500000 89.220 152.0282
150.000000 89.096 151.9189
152.500000 88.988 151.9915
155.000000 88.886 152.1080
157.500000 88.786 152.4211
160.000000 88.702 152.8410
162.500000 88.655 153.0934
165.000000 88.669 153.5305
167.500000 88.642 153.5923
170.000000 88.649 153.4275
172.500000 88.631 153.1017
175.000000 88.576 153.1040
177.500000 88.524 152.5593
180.000000 88.443 152.4145
182.500000 88.376 152.1964
185.000000 88.274 152.0364
187.500000 88.219 151.9122
190.000000 88.143 151.8088
192.500000 88.074 151.7782
195.000000 88.006 151.7100
197.500000 87.920 151.7063
200.000000 87.853 151.6734
203.000000 87.772 151.7121
206.000000 87.697 151.6789
209.000000 87.613 151.7219
212.000000 87.534 151.7914
214.000000 87.483 151.7669
218.000000 87.384 151.7773
220.000000 87.327 151.9197
224.000000 87.227 152.0825
227.000000 87.154 152.0793
230.000000 87.082 152.1711
233.000000 87.011 152.2777
236.000000 86.945 152.3849
240.000000 86.850 152.5066
243.000000 86.781 152.6302
247.000000 86.692 152.7840
250.000000 86.627 152.9335
254.000000 86.540 153.1186
258.000000 86.463 153.3103
262.000000 86.374 153.4725
265.000000 86.321 153.6730
269.000000 86.245 153.8245
272.000000 86.177 154.0086
276.000000 86.108 154.1958
280.000000 86.027 154.4264
285.000000 85.947 154.7324
290.000000 85.858 155.0051
295.000000 85.771 155.3073
300.000000 85.687 155.5696
304.000000 85.628 155.8361
307.000000 85.566 155.9776
311.000000 85.515 156.2625
315.000000 85.450 156.5359
320.000000 85.362 156.9418
325.000000 85.300 157.1608
330.000000 85.224 157.5530
335.000000 85.152 157.8525
340.000000 85.091 158.2230
345.000000 85.019 158.5491
350.000000 84.951 158.8321
355.000000 84.892 159.2249
360.000000 84.828 159.6031
365.000000 84.763 159.8882
370.000000 84.709 160.3193
375.000000 84.651 160.6097
382.000000 84.570 161.1428
387.000000 84.517 161.5503
395.000000 84.442 162.0648
400.000000 84.384 162.4158
406.000000 84.324 162.8933
412.000000 84.260 163.3663
418.000000 84.203 163.8120
425.000000 84.145 164.3127
431.000000 84.095 164.7419
437.000000 84.042 165.2150
444.000000 83.983 165.7167
450.000000 83.931 166.1844
455.000000 83.891 166.4700
462.000000 83.837 167.0435
468.000000 83.795 167.4601
475.000000 83.744 168.0013
482.000000 83.703 168.5941
487.000000 83.668 168.9590
494.000000 83.617 169.5082
500.000000 83.578 169.9580
508.000000 83.531 170.5653
515.000000 83.490 171.0260
522.000000 83.459 171.6446
530.000000 83.415 172.1823
538.000000 83.374 172.7437
545.000000 83.338 173.3856
552.000000 83.296 173.8330
560.000000 83.286 174.5301
570.000000 83.227 175.2643
580.000000 83.187 176.0378
590.000000 83.144 176.7632
600.000000 83.122 177.5284
608.000000 83.110 178.1426
615.000000 83.071 178.7064
622.000000 83.056 179.2173
630.000000 83.044 179.8553
640.000000 83.006 -179.4065
650.000000 82.984 -178.6525
660.000000 82.968 -177.8238
670.000000 82.953 -177.0695
680.000000 82.930 -176.2706
690.000000 82.934 -175.6098
700.000000 82.922 -174.7730
710.000000 82.921 -173.9502
720.000000 82.909 -173.2284
730.000000 82.925 -172.4076
740.000000 82.918 -171.7088
750.000000 82.927 -170.9140
762.000000 82.950 -169.9783
775.000000 82.957 -169.0025
788.000000 82.986 -168.0524
800.000000 83.005 -167.2153
812.000000 83.041 -166.2649
825.000000 83.078 -165.2960
838.000000 83.102 -164.4716
850.000000 83.151 -163.6139
862.000000 83.195 -162.6718
875.000000 83.231 -161.9012
885.000000 83.274 -161.3433
900.000000 83.330 -160.3312
912.000000 83.378 -159.5125
925.000000 83.432 -158.7065
938.000000 83.495 -157.7983
950.000000 83.579 -156.9508
962.000000 83.643 -156.1728
975.000000 83.731 -155.4149
988.000000 83.815 -154.6543
1000.000000 83.884 -154.5214
1015.000000 84.018 -153.1797
1030.000000 84.146 -152.4693
1044.000000 84.250 -151.8662
1060.000000 84.367 -151.1792
1075.000000 84.490 -150.6621
1090.000000 84.606 -150.1547
1106.000000 84.726 -149.6832
1120.000000 84.838 -149.2285
1138.000000 84.977 -148.7959
1150.000000 85.065 -148.4679
1172.000000 85.226 -148.0176
1180.000000 85.278 -147.8814
1206.000000 85.458 -147.4695
1220.000000 85.552 -147.1800
1241.000000 85.682 -146.9371
1250.000000 85.734 -146.7315
1265.000000 85.842 -146.5505
1280.000000 85.931 -146.4340
1315.000000 86.136 -146.0723
1320.000000 86.162 -145.9255
1340.000000 86.262 -145.7431
1360.000000 86.390 -145.4897
1380.000000 86.491 -145.3342
1400.000000 86.591 -145.1855
1430.000000 86.760 -144.8820
1450.000000 86.859 -144.7970
1475.000000 86.980 -144.6509
1500.000000 87.102 -144.4626
1525.000000 87.235 -144.2915
1550.000000 87.367 -144.1531
1575.000000 87.485 -144.0038
1600.000000 87.619 -143.9778
1625.000000 87.740 -143.7963
1650.000000 87.863 -143.7900
1675.000000 87.998 -143.8505
1700.000000 88.117 -143.7557
1725.000000 88.249 -143.7902
1750.000000 88.375 -143.8173
1775.000000 88.505 -143.9596
1800.000000 88.617 -143.9817
1825.000000 88.743 -144.1521
1850.000000 88.875 -144.3794
1875.000000 88.996 -144.5388
1900.000000 89.105 -144.7919
1925.000000 89.217 -145.1161
1950.000000 89.330 -145.3854
1975.000000 89.431 -145.7205
2000.000000 89.549 -145.7755
2030.000000 89.661 -146.5093
2060.000000 89.771 -146.9636
2090.000000 89.882 -147.4982
2120.000000 89.983 -147.9938
2140.000000 90.046 -148.3464
2180.000000 90.175 -149.0823
2200.000000 90.227 -149.4704
2240.000000 90.347 -150.2149
2270.000000 90.413 -150.7653
2300.000000 90.482 -151.3647
2330.000000 90.542 -151.9429
2360.000000 90.607 -152.5880
2400.000000 90.673 -153.3298
2430.000000 90.721 -153.8940
2470.000000 90.775 -154.6165
2500.000000 90.821 -155.2124
2540.000000 90.864 -155.9095
2580.000000 90.908 -156.5497
2620.000000 90.935 -157.2350
2650.000000 90.957 -157.6858
2690.000000 90.986 -158.2756
2720.000000 91.008 -158.7129
2760.000000 91.026 -159.2105
2800.000000 91.050 -159.7528
2850.000000 91.080 -160.3400
2900.000000 91.105 -160.8836
2950.000000 91.141 -161.3433
3000.000000 91.153 -161.8602
3040.000000 91.216 -162.1841
3070.000000 91.241 -162.3932
3110.000000 91.276 -162.7080
3150.000000 91.333 -163.0512
3200.000000 91.388 -163.5132
3250.000000 91.466 -163.9061
3300.000000 91.548 -164.3905
3350.000000 91.631 -164.8229
3400.000000 91.728 -165.4611
3450.000000 91.826 -166.0323
3500.000000 91.930 -166.7512
3550.000000 92.049 -167.4951
3600.000000 92.167 -168.3214
3650.000000 92.282 -169.3610
3700.000000 92.393 -170.4597
3750.000000 92.509 -171.7131
3820.000000 92.653 -173.6263
3870.000000 92.741 -175.1600
3950.000000 92.846 -177.9305
4000.000000 92.900 -179.9870
4060.000000 92.910 177.9189
4120.000000 92.894 175.5227
4180.000000 92.832 173.0572
4250.000000 92.701 170.2468
4310.000000 92.549 167.9989
4370.000000 92.359 165.8621
4440.000000 92.093 163.6469
4500.000000 91.836 161.8623
4550.000000 91.604 160.6926
4620.000000 91.259 159.1306
4680.000000 90.954 158.1407
4750.000000 90.598 157.1364
4820.000000 90.248 156.3274
4870.000000 89.998 155.8131
4940.000000 89.656 155.3026
5000.000000 89.354 154.7927
5080.000000 88.979 154.7467
5150.000000 88.637 154.6595
5220.000000 88.325 154.7552
5300.000000 87.970 155.0993
5380.000000 87.599 155.5732
5450.000000 87.291 156.2707
5520.000000 87.034 157.2001
5600.000000 86.809 158.1887
5700.000000 86.489 158.7956
5800.000000 86.101 159.5502
5900.000000 85.695 160.6809
6000.000000 85.236 162.5848
