* Measurement data measured by REW V5.31.1
* Source: Microphone (6- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Apr 23, 2026 11:39:37 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R MYLIN WHITE BLACK TIP
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 93.860 -134.3664
20.600000 93.890 -135.2370
20.900000 93.917 -136.0275
21.200001 93.946 -136.8126
21.400000 93.967 -137.3320
21.799999 94.012 -138.3580
22.000000 94.035 -138.8631
22.400000 94.083 -139.8559
22.700001 94.117 -140.5864
23.000000 94.148 -141.3063
23.299999 94.175 -142.0158
23.600000 94.198 -142.7138
24.000000 94.224 -143.6242
24.299999 94.241 -144.2902
24.700001 94.264 -145.1555
25.000000 94.282 -145.7893
25.400000 94.306 -146.6181
25.799999 94.331 -147.4325
26.200001 94.353 -148.2337
26.500000 94.368 -148.8240
26.900000 94.384 -149.5935
27.200001 94.394 -150.1552
27.600000 94.404 -150.8829
28.000000 94.412 -151.5891
28.500000 94.417 -152.4461
29.000000 94.416 -153.2752
29.500000 94.413 -154.0765
30.000000 94.411 -154.8633
30.400000 94.414 -155.4987
30.700001 94.420 -155.9844
31.100000 94.430 -156.6386
31.500000 94.441 -157.2832
32.000000 94.455 -158.0438
32.500000 94.466 -158.7435
33.000000 94.474 -159.4117
33.500000 94.476 -160.0869
34.000000 94.471 -160.7803
34.500000 94.464 -161.4721
35.000000 94.461 -162.1434
35.500000 94.464 -162.7931
36.000000 94.470 -163.4281
36.500000 94.471 -164.0467
37.000000 94.464 -164.6444
37.500000 94.453 -165.2297
38.200001 94.439 -166.0630
38.700001 94.433 -166.6689
39.500000 94.428 -167.5820
40.000000 94.423 -168.0897
40.599998 94.413 -168.6612
41.200001 94.395 -169.2433
41.799999 94.371 -169.8585
42.500000 94.347 -170.6046
43.099998 94.334 -171.2442
43.700001 94.323 -171.8539
44.400002 94.307 -172.4977
45.000000 94.290 -173.0079
45.500000 94.276 -173.4403
46.200001 94.256 -174.0781
46.799999 94.236 -174.6212
47.500000 94.214 -175.2082
48.200001 94.193 -175.7664
48.700001 94.178 -176.1620
49.400002 94.154 -176.7029
50.000000 94.135 -177.1526
50.799999 94.111 -177.7507
51.500000 94.085 -178.2659
52.200001 94.056 -178.7677
53.000000 94.026 -179.3503
53.799999 93.997 -179.9278
54.500000 93.973 179.5995
55.200001 93.949 179.1410
56.000000 93.917 178.6180
57.000000 93.876 177.9825
58.000000 93.840 177.3701
59.000000 93.803 176.7817
60.000000 93.763 176.1866
60.799999 93.730 175.7228
61.500000 93.706 175.3287
62.200001 93.682 174.9370
63.000000 93.651 174.5116
64.000000 93.610 174.0081
65.000000 93.568 173.4974
66.000000 93.528 173.0034
67.000000 93.486 172.5209
68.000000 93.441 172.0547
69.000000 93.400 171.5876
70.000000 93.360 171.1271
71.000000 93.318 170.6937
72.000000 93.276 170.2689
73.000000 93.235 169.8469
74.000000 93.197 169.4362
75.000000 93.156 169.0411
76.199997 93.105 168.5807
77.500000 93.049 168.1028
78.800003 92.996 167.6091
80.000000 92.945 167.1918
81.199997 92.899 166.7852
82.500000 92.840 166.3745
83.800003 92.787 165.9561
85.000000 92.736 165.5593
86.199997 92.684 165.2087
87.500000 92.633 164.8534
88.500000 92.589 164.5320
90.000000 92.529 164.1273
91.199997 92.479 163.7841
92.500000 92.421 163.4675
93.800003 92.370 163.1101
95.000000 92.321 162.8241
96.199997 92.270 162.5472
97.500000 92.216 162.2581
98.800003 92.168 161.9638
100.000000 92.120 161.6992
101.500000 92.055 161.3477
103.000000 91.991 161.0477
104.400002 91.941 160.7618
106.000000 91.875 160.5304
107.500000 91.803 160.2907
109.000000 91.744 159.9876
110.599998 91.682 159.6932
112.000000 91.629 159.4666
113.800003 91.556 159.1684
115.000000 91.514 158.9933
117.199997 91.428 158.6676
118.000000 91.397 158.5543
120.599998 91.301 158.1837
122.000000 91.252 158.0264
124.099998 91.175 157.7853
125.000000 91.141 157.6522
126.500000 91.087 157.4835
128.000000 91.032 157.3320
131.500000 90.901 157.0115
132.000000 90.885 156.9503
134.000000 90.812 156.7861
136.000000 90.738 156.5753
138.000000 90.668 156.4398
140.000000 90.595 156.3013
143.000000 90.489 156.0957
145.000000 90.424 155.9605
147.500000 90.333 155.8330
150.000000 90.254 155.6686
152.500000 90.166 155.5767
155.000000 90.090 155.4178
157.500000 90.009 155.3314
160.000000 89.929 155.2753
162.500000 89.852 155.1628
165.000000 89.775 155.1284
167.500000 89.697 155.0654
170.000000 89.614 154.9905
172.500000 89.547 154.9847
175.000000 89.468 154.9323
177.500000 89.389 154.8957
180.000000 89.322 154.9479
182.500000 89.244 154.9297
185.000000 89.174 154.9898
187.500000 89.100 154.9238
190.000000 89.035 154.9798
192.500000 88.958 154.9897
195.000000 88.899 154.9917
197.500000 88.827 155.0211
200.000000 88.763 155.0637
203.000000 88.680 155.1791
206.000000 88.604 155.2644
209.000000 88.527 155.3467
212.000000 88.459 155.4470
214.000000 88.409 155.4668
218.000000 88.303 155.6198
220.000000 88.258 155.6946
224.000000 88.166 155.7985
227.000000 88.084 155.9532
230.000000 88.014 156.0868
233.000000 87.937 156.2769
236.000000 87.871 156.4759
240.000000 87.770 156.7614
243.000000 87.714 157.0037
247.000000 87.650 157.4255
250.000000 87.605 157.6602
254.000000 87.555 157.8025
258.000000 87.507 157.9825
262.000000 87.439 158.0571
265.000000 87.381 158.1206
269.000000 87.308 158.2959
272.000000 87.252 158.4817
276.000000 87.178 158.6648
280.000000 87.106 158.8731
285.000000 87.021 159.1789
290.000000 86.933 159.4857
295.000000 86.852 159.7964
300.000000 86.771 160.1104
304.000000 86.699 160.3948
307.000000 86.662 160.5599
311.000000 86.595 160.8591
315.000000 86.534 161.1756
320.000000 86.455 161.5162
325.000000 86.393 161.8855
330.000000 86.320 162.1929
335.000000 86.253 162.6028
340.000000 86.191 162.9305
345.000000 86.130 163.3367
350.000000 86.065 163.6953
355.000000 85.995 164.0923
360.000000 85.941 164.4870
365.000000 85.891 164.8890
370.000000 85.829 165.2744
375.000000 85.775 165.6639
382.000000 85.696 166.2312
387.000000 85.642 166.5833
395.000000 85.573 167.2626
400.000000 85.511 167.6906
406.000000 85.460 168.1306
412.000000 85.405 168.6520
418.000000 85.350 169.1597
425.000000 85.293 169.7100
431.000000 85.258 170.2173
437.000000 85.196 170.7585
444.000000 85.143 171.2882
450.000000 85.103 171.7921
455.000000 85.064 172.2203
462.000000 85.018 172.8129
468.000000 84.981 173.3204
475.000000 84.935 173.9022
482.000000 84.883 174.5244
487.000000 84.854 174.9681
494.000000 84.814 175.5039
500.000000 84.782 176.0818
508.000000 84.736 176.7518
515.000000 84.708 177.3374
522.000000 84.669 177.9539
530.000000 84.635 178.6128
538.000000 84.608 179.2665
545.000000 84.577 179.8911
552.000000 84.544 -179.5100
560.000000 84.522 -178.8373
570.000000 84.483 -178.0004
580.000000 84.451 -177.0804
590.000000 84.419 -176.1814
600.000000 84.391 -175.3862
608.000000 84.375 -174.5936
615.000000 84.364 -174.1055
622.000000 84.341 -173.4416
630.000000 84.324 -172.7194
640.000000 84.315 -171.8452
650.000000 84.303 -171.0174
660.000000 84.305 -170.1506
670.000000 84.307 -169.2882
680.000000 84.291 -168.3313
690.000000 84.291 -167.4888
700.000000 84.294 -166.6897
710.000000 84.305 -165.7888
720.000000 84.310 -164.8944
730.000000 84.326 -163.9812
740.000000 84.325 -163.1726
750.000000 84.359 -162.3383
762.000000 84.368 -161.2701
775.000000 84.415 -160.1283
788.000000 84.453 -159.0101
800.000000 84.494 -157.9741
812.000000 84.547 -156.9857
825.000000 84.599 -155.9053
838.000000 84.653 -154.8570
850.000000 84.715 -153.9001
862.000000 84.779 -152.9898
875.000000 84.859 -151.9756
885.000000 84.920 -151.1743
900.000000 85.005 -150.1162
912.000000 85.079 -149.1442
925.000000 85.173 -148.2939
938.000000 85.260 -147.3602
950.000000 85.340 -146.6618
962.000000 85.429 -145.7758
975.000000 85.534 -144.9192
988.000000 85.638 -144.0979
1000.000000 85.790 -143.2402
1015.000000 85.852 -142.4223
1030.000000 85.997 -141.5902
1044.000000 86.126 -140.8696
1060.000000 86.278 -140.0319
1075.000000 86.417 -139.2899
1090.000000 86.556 -138.6716
1106.000000 86.713 -138.1123
1120.000000 86.835 -137.5481
1138.000000 87.014 -136.9381
1150.000000 87.127 -136.5272
1172.000000 87.323 -135.8716
1180.000000 87.401 -135.6933
1206.000000 87.624 -135.0164
1220.000000 87.747 -134.6762
1241.000000 87.921 -134.1773
1250.000000 87.995 -133.9968
1265.000000 88.117 -133.6982
1280.000000 88.240 -133.3329
1315.000000 88.523 -132.7447
1320.000000 88.568 -132.5786
1340.000000 88.735 -132.2230
1360.000000 88.890 -131.8860
1380.000000 89.050 -131.5639
1400.000000 89.212 -131.2644
1430.000000 89.461 -130.8209
1450.000000 89.624 -130.5504
1475.000000 89.832 -130.2191
1500.000000 90.032 -129.9829
1525.000000 90.253 -129.6820
1550.000000 90.463 -129.4796
1575.000000 90.688 -129.3081
1600.000000 90.906 -129.2193
1625.000000 91.133 -129.1578
1650.000000 91.363 -129.1216
1675.000000 91.598 -129.2181
1700.000000 91.831 -129.3169
1725.000000 92.068 -129.5213
1750.000000 92.301 -129.8577
1775.000000 92.547 -130.2073
1800.000000 92.785 -130.7244
1825.000000 93.014 -131.2723
1850.000000 93.252 -131.9269
1875.000000 93.474 -132.7669
1900.000000 93.689 -133.6404
1925.000000 93.902 -134.5978
1950.000000 94.110 -135.6681
1975.000000 94.295 -136.8299
2000.000000 94.484 -138.2037
2030.000000 94.673 -139.7031
2060.000000 94.850 -141.4366
2090.000000 95.008 -143.2521
2120.000000 95.141 -145.1364
2140.000000 95.209 -146.4129
2180.000000 95.331 -149.0347
2200.000000 95.372 -150.3655
2240.000000 95.419 -152.9841
2270.000000 95.429 -154.9096
2300.000000 95.415 -156.7569
2330.000000 95.378 -158.5755
2360.000000 95.329 -160.2286
2400.000000 95.229 -162.3315
2430.000000 95.140 -163.7730
2470.000000 95.015 -165.4855
2500.000000 94.901 -166.6408
2540.000000 94.745 -167.9449
2580.000000 94.585 -169.0462
2620.000000 94.423 -169.9818
2650.000000 94.306 -170.5356
2690.000000 94.152 -171.1126
2720.000000 94.051 -171.4170
2760.000000 93.918 -171.7451
2800.000000 93.788 -171.9051
2850.000000 93.656 -172.0425
2900.000000 93.547 -172.0983
2950.000000 93.443 -171.9413
3000.000000 93.339 -171.8864
3040.000000 93.325 -171.5348
3070.000000 93.292 -171.3607
3110.000000 93.270 -171.0569
3150.000000 93.260 -170.7850
3200.000000 93.276 -170.4223
3250.000000 93.315 -170.0146
3300.000000 93.375 -169.6703
3350.000000 93.449 -169.4093
3400.000000 93.563 -169.1464
3450.000000 93.695 -168.9820
3500.000000 93.851 -168.9350
3550.000000 94.020 -169.0674
3600.000000 94.219 -169.3939
3650.000000 94.418 -169.8622
3700.000000 94.646 -170.5918
3750.000000 94.884 -171.6309
3820.000000 95.217 -173.6248
3870.000000 95.452 -175.4090
3950.000000 95.785 -179.1110
4000.000000 95.962 178.2260
4060.000000 96.091 174.3166
4120.000000 96.152 170.1640
4180.000000 96.110 165.7518
4250.000000 95.934 160.6547
4310.000000 95.659 156.5421
4370.000000 95.307 152.8549
4440.000000 94.818 149.1814
4500.000000 94.331 146.6628
4550.000000 93.918 144.9944
4620.000000 93.314 143.3009
4680.000000 92.798 142.3080
4750.000000 92.209 141.5604
4820.000000 91.637 141.2677
4870.000000 91.267 141.1831
4940.000000 90.740 141.3456
5000.000000 90.297 141.6781
5080.000000 89.785 142.2570
5150.000000 89.337 142.9540
5220.000000 88.918 143.7784
5300.000000 88.463 144.9561
5380.000000 88.003 146.3846
5450.000000 87.641 147.7150
5520.000000 87.277 149.2884
5600.000000 86.908 151.3243
5700.000000 86.547 153.7037
5800.000000 86.143 155.9320
