* Measurement data measured by REW V5.31.1
* Source: Microphone (6- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Apr 23, 2026 11:41:00 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R MYLIN WHITE WHITE TIP 2108
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 93.578 -135.8923
20.600000 93.614 -136.7605
20.900000 93.643 -137.5310
21.200001 93.670 -138.2940
21.400000 93.687 -138.8068
21.799999 93.721 -139.8473
22.000000 93.738 -140.3744
22.400000 93.771 -141.4322
22.700001 93.795 -142.2150
23.000000 93.820 -142.9764
23.299999 93.846 -143.7089
23.600000 93.872 -144.4080
24.000000 93.906 -145.2841
24.299999 93.929 -145.9019
24.700001 93.954 -146.6887
25.000000 93.968 -147.2723
25.400000 93.982 -148.0755
25.799999 93.988 -148.9312
26.200001 93.991 -149.8234
26.500000 93.995 -150.4818
26.900000 94.012 -151.2975
27.200001 94.041 -151.8457
27.600000 94.102 -152.5091
28.000000 94.182 -153.1551
28.500000 94.275 -154.0150
29.000000 94.317 -154.9124
29.500000 94.294 -155.7440
30.000000 94.231 -156.4606
30.400000 94.180 -157.0061
30.700001 94.151 -157.4439
31.100000 94.127 -158.0947
31.500000 94.119 -158.8003
32.000000 94.123 -159.6694
32.500000 94.136 -160.4439
33.000000 94.149 -161.1268
33.500000 94.154 -161.7715
34.000000 94.149 -162.4155
34.500000 94.138 -163.0718
35.000000 94.132 -163.7503
35.500000 94.130 -164.4497
36.000000 94.129 -165.1365
36.500000 94.123 -165.7691
37.000000 94.116 -166.3443
37.500000 94.107 -166.9018
38.200001 94.094 -167.7136
38.700001 94.083 -168.3052
39.500000 94.067 -169.2157
40.000000 94.057 -169.7593
40.599998 94.043 -170.3857
41.200001 94.027 -170.9826
41.799999 94.012 -171.5755
42.500000 93.997 -172.2936
43.099998 93.979 -172.9041
43.700001 93.958 -173.4702
44.400002 93.936 -174.0911
45.000000 93.919 -174.6323
45.500000 93.904 -175.0947
46.200001 93.880 -175.7305
46.799999 93.860 -176.2478
47.500000 93.837 -176.8306
48.200001 93.817 -177.4064
48.700001 93.801 -177.8136
49.400002 93.777 -178.3720
50.000000 93.755 -178.8334
50.799999 93.723 -179.4237
51.500000 93.697 -179.9331
52.200001 93.671 179.5547
53.000000 93.641 178.9804
53.799999 93.611 178.4207
54.500000 93.584 177.9361
55.200001 93.555 177.4705
56.000000 93.525 176.9666
57.000000 93.486 176.3399
58.000000 93.444 175.7326
59.000000 93.405 175.1392
60.000000 93.365 174.5247
60.799999 93.331 174.0527
61.500000 93.302 173.6518
62.200001 93.273 173.2615
63.000000 93.239 172.8477
64.000000 93.197 172.3494
65.000000 93.154 171.8411
66.000000 93.112 171.3381
67.000000 93.067 170.8506
68.000000 93.021 170.3898
69.000000 92.977 169.9243
70.000000 92.935 169.4796
71.000000 92.892 169.0460
72.000000 92.846 168.6321
73.000000 92.802 168.2172
74.000000 92.757 167.7946
75.000000 92.716 167.4081
76.199997 92.668 166.9344
77.500000 92.610 166.4750
78.800003 92.551 165.9883
80.000000 92.489 165.5818
81.199997 92.437 165.1925
82.500000 92.380 164.7804
83.800003 92.330 164.3155
85.000000 92.268 163.9509
86.199997 92.217 163.6006
87.500000 92.157 163.2102
88.500000 92.119 162.9383
90.000000 92.049 162.5142
91.199997 91.996 162.1898
92.500000 91.941 161.8493
93.800003 91.885 161.5577
95.000000 91.827 161.2445
96.199997 91.779 160.9641
97.500000 91.725 160.6728
98.800003 91.659 160.4359
100.000000 91.609 160.0890
101.500000 91.551 159.8215
103.000000 91.487 159.5082
104.400002 91.435 159.1986
106.000000 91.344 159.0112
107.500000 91.272 158.5952
109.000000 91.212 158.3647
110.599998 91.139 158.1281
112.000000 91.077 157.8842
113.800003 90.998 157.7597
115.000000 90.959 157.6574
117.199997 90.874 157.2499
118.000000 90.849 157.0865
120.599998 90.710 156.8326
122.000000 90.656 156.6557
124.099998 90.566 156.4771
125.000000 90.537 156.3642
126.500000 90.473 156.1955
128.000000 90.404 156.0455
131.500000 90.252 155.7433
132.000000 90.231 155.7195
134.000000 90.137 155.5732
136.000000 90.041 155.4971
138.000000 89.943 155.4545
140.000000 89.833 155.6223
143.000000 89.697 155.7543
145.000000 89.601 156.0930
147.500000 89.537 156.8657
150.000000 89.550 157.3875
152.500000 89.597 157.3996
155.000000 89.650 157.0399
157.500000 89.634 156.4682
160.000000 89.566 155.9990
162.500000 89.495 155.5879
165.000000 89.405 155.2743
167.500000 89.316 155.0557
170.000000 89.200 154.8776
172.500000 89.150 154.5570
175.000000 89.065 154.5005
177.500000 88.975 154.5285
180.000000 88.887 154.4283
182.500000 88.807 154.5019
185.000000 88.742 154.6441
187.500000 88.665 154.6035
190.000000 88.583 154.6673
192.500000 88.539 154.6611
195.000000 88.485 154.5847
197.500000 88.420 154.5426
200.000000 88.342 154.5193
203.000000 88.279 154.4551
206.000000 88.181 154.6596
209.000000 88.116 154.6374
212.000000 88.029 154.7233
214.000000 87.977 154.7449
218.000000 87.887 154.9614
220.000000 87.834 155.0520
224.000000 87.732 155.1882
227.000000 87.667 155.2872
230.000000 87.596 155.3846
233.000000 87.522 155.5286
236.000000 87.458 155.6405
240.000000 87.371 155.8311
243.000000 87.306 155.9482
247.000000 87.225 156.1337
250.000000 87.160 156.3419
254.000000 87.077 156.5094
258.000000 86.984 156.8274
262.000000 86.910 157.0037
265.000000 86.859 157.1483
269.000000 86.776 157.3842
272.000000 86.720 157.6107
276.000000 86.659 157.8260
280.000000 86.575 158.1299
285.000000 86.489 158.3717
290.000000 86.404 158.7285
295.000000 86.314 159.0626
300.000000 86.244 159.4214
304.000000 86.177 159.6930
307.000000 86.128 159.9762
311.000000 86.084 160.2291
315.000000 86.010 160.5623
320.000000 85.945 160.9277
325.000000 85.870 161.2617
330.000000 85.800 161.5766
335.000000 85.733 161.9984
340.000000 85.669 162.3424
345.000000 85.600 162.7641
350.000000 85.542 163.1174
355.000000 85.485 163.5355
360.000000 85.427 163.8945
365.000000 85.365 164.2977
370.000000 85.315 164.7151
375.000000 85.262 165.1155
382.000000 85.186 165.6140
387.000000 85.131 166.0737
395.000000 85.047 166.7312
400.000000 85.000 167.1031
406.000000 84.949 167.6362
412.000000 84.890 168.1190
418.000000 84.835 168.6512
425.000000 84.778 169.1719
431.000000 84.724 169.6792
437.000000 84.678 170.1717
444.000000 84.630 170.8301
450.000000 84.580 171.2502
455.000000 84.550 171.7458
462.000000 84.495 172.2885
468.000000 84.459 172.7426
475.000000 84.408 173.3890
482.000000 84.369 174.0065
487.000000 84.341 174.4803
494.000000 84.293 175.0040
500.000000 84.268 175.4629
508.000000 84.219 176.1997
515.000000 84.176 176.8059
522.000000 84.156 177.4399
530.000000 84.106 178.0972
538.000000 84.090 178.7905
545.000000 84.053 179.3319
552.000000 84.031 179.9635
560.000000 83.997 -179.4031
570.000000 83.963 -178.4287
580.000000 83.924 -177.6351
590.000000 83.905 -176.8142
600.000000 83.873 -175.8297
608.000000 83.857 -175.1850
615.000000 83.843 -174.6195
622.000000 83.833 -173.9962
630.000000 83.822 -173.2586
640.000000 83.802 -172.3894
650.000000 83.788 -171.5803
660.000000 83.782 -170.6992
670.000000 83.780 -169.8755
680.000000 83.775 -168.9379
690.000000 83.772 -168.0515
700.000000 83.774 -167.2077
710.000000 83.784 -166.3072
720.000000 83.793 -165.4287
730.000000 83.801 -164.5732
740.000000 83.814 -163.7721
750.000000 83.829 -162.8560
762.000000 83.870 -161.9271
775.000000 83.892 -160.7885
788.000000 83.935 -159.7156
800.000000 83.967 -158.6823
812.000000 84.020 -157.6666
825.000000 84.070 -156.6679
838.000000 84.133 -155.5723
850.000000 84.184 -154.6500
862.000000 84.245 -153.7013
875.000000 84.324 -152.7411
885.000000 84.364 -151.9754
900.000000 84.436 -150.8802
912.000000 84.525 -150.0485
925.000000 84.597 -149.1808
938.000000 84.673 -148.1684
950.000000 84.756 -147.2742
962.000000 84.851 -146.5204
975.000000 84.937 -145.5846
988.000000 85.045 -144.6806
1000.000000 85.222 -143.9242
1015.000000 85.280 -143.0340
1030.000000 85.421 -142.2323
1044.000000 85.538 -141.5355
1060.000000 85.693 -140.7233
1075.000000 85.835 -140.0875
1090.000000 85.977 -139.4236
1106.000000 86.114 -138.8180
1120.000000 86.256 -138.2880
1138.000000 86.415 -137.6357
1150.000000 86.528 -137.2923
1172.000000 86.706 -136.6818
1180.000000 86.779 -136.4296
1206.000000 87.000 -135.6927
1220.000000 87.113 -135.3705
1241.000000 87.281 -134.8519
1250.000000 87.360 -134.6882
1265.000000 87.485 -134.3671
1280.000000 87.603 -133.9786
1315.000000 87.882 -133.3017
1320.000000 87.926 -133.1488
1340.000000 88.072 -132.8366
1360.000000 88.222 -132.4610
1380.000000 88.377 -132.0824
1400.000000 88.533 -131.7130
1430.000000 88.778 -131.2741
1450.000000 88.937 -130.9045
1475.000000 89.139 -130.5217
1500.000000 89.341 -130.1819
1525.000000 89.557 -129.9072
1550.000000 89.763 -129.5766
1575.000000 89.967 -129.3524
1600.000000 90.197 -129.1624
1625.000000 90.419 -129.0424
1650.000000 90.647 -128.9516
1675.000000 90.874 -128.8969
1700.000000 91.114 -128.9023
1725.000000 91.347 -129.0735
1750.000000 91.582 -129.2004
1775.000000 91.826 -129.4933
1800.000000 92.064 -129.8436
1825.000000 92.297 -130.3050
1850.000000 92.532 -130.8074
1875.000000 92.767 -131.4920
1900.000000 92.999 -132.2127
1925.000000 93.223 -133.0656
1950.000000 93.443 -134.0034
1975.000000 93.647 -135.0222
2000.000000 93.844 -136.3748
2030.000000 94.068 -137.6382
2060.000000 94.276 -139.2140
2090.000000 94.460 -140.9288
2120.000000 94.628 -142.7216
2140.000000 94.723 -143.9439
2180.000000 94.885 -146.5465
2200.000000 94.949 -147.8492
2240.000000 95.043 -150.5085
2270.000000 95.088 -152.4962
2300.000000 95.100 -154.4152
2330.000000 95.096 -156.3319
2360.000000 95.075 -158.1586
2400.000000 95.011 -160.4643
2430.000000 94.937 -162.0272
2470.000000 94.824 -164.0063
2500.000000 94.730 -165.3121
2540.000000 94.585 -166.8797
2580.000000 94.434 -168.2477
2620.000000 94.275 -169.3960
2650.000000 94.157 -170.1163
2690.000000 94.002 -170.9417
2720.000000 93.888 -171.3506
2760.000000 93.738 -171.8747
2800.000000 93.599 -172.1872
2850.000000 93.448 -172.4249
2900.000000 93.317 -172.5193
2950.000000 93.207 -172.4769
3000.000000 93.098 -172.4787
3040.000000 93.066 -172.2054
3070.000000 93.027 -172.0365
3110.000000 92.987 -171.8085
3150.000000 92.971 -171.6068
3200.000000 92.967 -171.2922
3250.000000 92.983 -170.8865
3300.000000 93.028 -170.5243
3350.000000 93.099 -170.1947
3400.000000 93.177 -169.9120
3450.000000 93.297 -169.7148
3500.000000 93.435 -169.6021
3550.000000 93.595 -169.5856
3600.000000 93.775 -169.7719
3650.000000 93.985 -170.1542
3700.000000 94.203 -170.7025
3750.000000 94.431 -171.5304
3820.000000 94.764 -173.1895
3870.000000 95.005 -174.7146
3950.000000 95.367 -177.9315
4000.000000 95.575 179.6962
4060.000000 95.750 176.0988
4120.000000 95.867 172.2194
4180.000000 95.888 167.9359
4250.000000 95.793 162.8724
4310.000000 95.599 158.6096
4370.000000 95.310 154.6974
4440.000000 94.881 150.6613
4500.000000 94.440 147.8057
4550.000000 94.052 145.8023
4620.000000 93.473 143.6332
4680.000000 92.970 142.2582
4750.000000 92.393 141.1612
4820.000000 91.832 140.4759
4870.000000 91.448 140.1788
4940.000000 90.917 139.9884
5000.000000 90.444 140.0463
5080.000000 89.919 140.4614
5150.000000 89.451 140.8937
5220.000000 89.002 141.7288
5300.000000 88.519 142.8015
5380.000000 88.044 144.1552
5450.000000 87.669 145.6005
5520.000000 87.314 147.2473
5600.000000 87.009 149.3256
5700.000000 86.625 151.2590
5800.000000 86.217 153.5251
5900.000000 85.838 156.0389
