* Measurement data measured by REW V5.31.1
* Source: Microphone (7- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Jun 6, 2026 7:13:42 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R 41PRO DD GREEN 2179
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 88.029 -174.8360
20.600000 88.021 -175.4385
20.900000 88.009 -175.9819
21.200001 87.999 -176.5154
21.400000 87.992 -176.8622
21.799999 87.982 -177.5315
22.000000 87.979 -177.8554
22.400000 87.976 -178.4938
22.700001 87.975 -178.9821
23.000000 87.974 -179.4945
23.299999 87.969 179.9668
23.600000 87.960 179.4116
24.000000 87.941 178.6727
24.299999 87.925 178.1404
24.700001 87.904 177.4678
25.000000 87.892 176.9778
25.400000 87.878 176.3162
25.799999 87.857 175.6334
26.200001 87.824 174.9607
26.500000 87.793 174.4951
26.900000 87.756 173.9432
27.200001 87.738 173.5560
27.600000 87.735 173.0006
28.000000 87.748 172.3159
28.500000 87.753 171.2880
29.000000 87.714 170.3101
29.500000 87.640 169.6553
30.000000 87.568 169.3446
30.400000 87.532 169.1605
30.700001 87.514 168.9553
31.100000 87.490 168.5406
31.500000 87.457 168.0103
32.000000 87.406 167.3279
32.500000 87.360 166.7146
33.000000 87.329 166.1338
33.500000 87.302 165.5349
34.000000 87.266 164.9446
34.500000 87.220 164.4046
35.000000 87.173 163.8908
35.500000 87.128 163.3517
36.000000 87.080 162.7948
36.500000 87.030 162.2712
37.000000 86.986 161.7901
37.500000 86.952 161.3003
38.200001 86.901 160.5540
38.700001 86.855 160.0453
39.500000 86.774 159.3988
40.000000 86.729 159.0432
40.599998 86.674 158.5797
41.200001 86.613 158.0646
41.799999 86.551 157.5138
42.500000 86.482 156.8260
43.099998 86.417 156.2450
43.700001 86.347 155.7592
44.400002 86.273 155.2930
45.000000 86.215 154.8467
45.500000 86.161 154.4149
46.200001 86.074 153.8552
46.799999 86.011 153.4849
47.500000 85.961 153.0133
48.200001 85.901 152.4175
48.700001 85.840 152.0314
49.400002 85.753 151.6497
50.000000 85.694 151.3437
50.799999 85.617 150.8003
51.500000 85.534 150.3109
52.200001 85.450 149.9117
53.000000 85.365 149.5064
53.799999 85.284 149.0552
54.500000 85.203 148.6256
55.200001 85.113 148.2728
56.000000 85.025 147.9738
57.000000 84.931 147.4460
58.000000 84.803 146.8517
59.000000 84.674 146.4268
60.000000 84.559 146.0353
60.799999 84.472 145.7073
61.500000 84.394 145.3722
62.200001 84.304 145.0772
63.000000 84.200 144.8797
64.000000 84.076 144.5476
65.000000 83.927 144.1210
66.000000 83.801 143.8875
67.000000 83.684 143.7046
68.000000 83.549 143.5555
69.000000 83.412 143.3348
70.000000 83.297 143.2925
71.000000 83.162 143.3160
72.000000 83.030 143.6641
73.000000 82.982 143.6075
74.000000 82.859 144.2236
75.000000 82.908 145.5955
76.199997 82.881 144.3190
77.500000 82.661 143.4483
78.800003 82.606 143.0176
80.000000 82.447 143.1277
81.199997 82.332 143.0171
82.500000 82.208 142.4730
83.800003 82.094 142.3093
85.000000 81.983 142.4186
86.199997 81.834 142.4752
87.500000 81.641 142.4907
88.500000 81.572 142.3602
90.000000 81.414 142.3345
91.199997 81.317 142.5089
92.500000 81.164 142.4727
93.800003 81.045 142.7820
95.000000 80.927 142.8182
96.199997 80.790 142.9117
97.500000 80.685 143.1002
98.800003 80.572 143.4207
100.000000 80.448 143.7750
101.500000 80.312 143.8216
103.000000 80.204 144.3259
104.400002 80.021 144.4681
106.000000 79.961 144.9593
107.500000 79.771 145.5262
109.000000 79.637 145.4203
110.599998 79.646 147.3495
112.000000 79.524 147.1460
113.800003 79.505 146.4314
115.000000 79.431 147.4560
117.199997 79.147 148.9779
118.000000 79.199 148.8236
120.599998 78.932 150.5345
122.000000 78.725 150.0485
124.099998 78.655 150.7239
125.000000 78.670 150.7957
126.500000 78.618 151.3628
128.000000 78.548 153.1104
131.500000 78.317 153.3649
132.000000 78.305 153.6470
134.000000 78.299 154.7430
136.000000 78.054 155.9788
138.000000 78.106 155.9343
140.000000 78.067 160.5674
143.000000 77.830 158.9053
145.000000 77.848 160.2581
147.500000 77.861 161.7200
150.000000 77.962 162.5055
152.500000 77.971 163.1996
155.000000 77.976 163.6754
157.500000 77.966 164.4180
160.000000 77.938 164.8565
162.500000 77.943 165.5521
165.000000 77.912 166.2109
167.500000 77.921 166.9561
170.000000 77.882 167.5621
172.500000 77.913 168.2048
175.000000 77.866 168.8245
177.500000 77.901 169.3541
180.000000 77.923 170.1127
182.500000 77.913 170.7613
185.000000 77.927 171.3685
187.500000 77.969 171.9800
190.000000 77.987 172.5583
192.500000 77.999 173.2297
195.000000 78.028 173.5541
197.500000 78.076 173.9365
200.000000 78.114 174.4675
203.000000 78.104 174.7707
206.000000 78.183 175.4756
209.000000 78.187 175.6169
212.000000 78.240 176.1693
214.000000 78.266 176.2852
218.000000 78.336 176.6944
220.000000 78.348 176.9523
224.000000 78.371 177.4688
227.000000 78.410 177.7761
230.000000 78.419 178.1118
233.000000 78.467 178.4389
236.000000 78.480 178.7403
240.000000 78.561 179.2002
243.000000 78.583 179.5626
247.000000 78.644 179.9139
250.000000 78.673 179.8679
254.000000 78.736 -179.7669
258.000000 78.796 -179.7124
262.000000 78.824 -179.5227
265.000000 78.850 -179.5071
269.000000 78.890 -179.3360
272.000000 78.904 -179.3695
276.000000 78.924 -179.2209
280.000000 78.947 -178.9925
285.000000 78.969 -178.9012
290.000000 79.002 -178.7723
295.000000 79.030 -178.6235
300.000000 79.107 -178.2895
304.000000 79.058 -178.3627
307.000000 79.075 -178.3448
311.000000 79.104 -178.2288
315.000000 79.117 -178.1211
320.000000 79.125 -178.0805
325.000000 79.143 -177.8854
330.000000 79.140 -177.7388
335.000000 79.183 -177.6873
340.000000 79.169 -177.5918
345.000000 79.186 -177.4294
350.000000 79.197 -177.2951
355.000000 79.206 -177.2897
360.000000 79.213 -177.2288
365.000000 79.209 -177.0565
370.000000 79.217 -177.0054
375.000000 79.207 -176.8783
382.000000 79.216 -176.7824
387.000000 79.220 -176.6064
395.000000 79.224 -176.4232
400.000000 79.230 -176.3791
406.000000 79.237 -176.0758
412.000000 79.238 -175.9824
418.000000 79.247 -175.8185
425.000000 79.265 -175.7738
431.000000 79.249 -175.7064
437.000000 79.259 -175.6226
444.000000 79.252 -175.4299
450.000000 79.244 -175.3762
455.000000 79.248 -175.1417
462.000000 79.235 -175.0072
468.000000 79.227 -175.0164
475.000000 79.221 -174.7705
482.000000 79.203 -174.6646
487.000000 79.202 -174.4000
494.000000 79.189 -174.2058
500.000000 79.183 -174.0286
508.000000 79.185 -173.8318
515.000000 79.173 -173.6461
522.000000 79.161 -173.4520
530.000000 79.173 -173.1687
538.000000 79.176 -172.9641
545.000000 79.167 -172.8016
552.000000 79.157 -172.5572
560.000000 79.137 -172.2746
570.000000 79.136 -172.1004
580.000000 79.133 -171.8623
590.000000 79.117 -171.4233
600.000000 79.114 -171.1562
608.000000 79.118 -170.9158
615.000000 79.110 -170.5780
622.000000 79.113 -170.4982
630.000000 79.096 -170.1497
640.000000 79.088 -169.8656
650.000000 79.110 -169.5000
660.000000 79.061 -169.0188
670.000000 79.059 -168.6816
680.000000 79.074 -168.3757
690.000000 79.066 -168.0880
700.000000 79.069 -167.5262
710.000000 79.076 -167.3049
720.000000 79.100 -166.9251
730.000000 79.094 -166.5326
740.000000 79.094 -166.0990
750.000000 79.074 -165.8094
762.000000 79.097 -165.2678
775.000000 79.110 -164.8192
788.000000 79.087 -164.3487
800.000000 79.107 -163.9527
812.000000 79.108 -163.2751
825.000000 79.091 -162.8592
838.000000 79.122 -162.3094
850.000000 79.149 -161.6697
862.000000 79.142 -161.0448
875.000000 79.164 -160.5646
885.000000 79.206 -159.8840
900.000000 79.215 -159.2348
912.000000 79.280 -158.5509
925.000000 79.313 -158.0113
938.000000 79.374 -157.3918
950.000000 79.426 -156.7111
962.000000 79.467 -156.3332
975.000000 79.556 -155.7579
988.000000 79.599 -155.1248
1000.000000 79.662 -155.6278
1015.000000 79.748 -154.2619
1030.000000 79.838 -153.7124
1044.000000 79.933 -153.2333
1060.000000 80.017 -152.6986
1075.000000 80.107 -152.3622
1090.000000 80.168 -151.9505
1106.000000 80.284 -151.6374
1120.000000 80.368 -151.3591
1138.000000 80.471 -151.0456
1150.000000 80.535 -150.8484
1172.000000 80.679 -150.5823
1180.000000 80.714 -150.4915
1206.000000 80.838 -150.2172
1220.000000 80.922 -149.9833
1241.000000 81.015 -149.8342
1250.000000 81.056 -149.7181
1265.000000 81.125 -149.6111
1280.000000 81.189 -149.4642
1315.000000 81.328 -149.2083
1320.000000 81.348 -149.2126
1340.000000 81.442 -149.0428
1360.000000 81.518 -148.8914
1380.000000 81.583 -148.7261
1400.000000 81.664 -148.5724
1430.000000 81.774 -148.2577
1450.000000 81.843 -148.1204
1475.000000 81.922 -147.8760
1500.000000 82.026 -147.6068
1525.000000 82.136 -147.3893
1550.000000 82.200 -147.0248
1575.000000 82.310 -146.7398
1600.000000 82.411 -146.5477
1625.000000 82.523 -146.3313
1650.000000 82.618 -146.0231
1675.000000 82.729 -145.7395
1700.000000 82.851 -145.3960
1725.000000 82.959 -145.2091
1750.000000 83.098 -144.9656
1775.000000 83.221 -144.6925
1800.000000 83.333 -144.5854
1825.000000 83.474 -144.3083
1850.000000 83.605 -144.0506
1875.000000 83.740 -143.8931
1900.000000 83.902 -143.8232
1925.000000 84.049 -143.7837
1950.000000 84.207 -143.7468
1975.000000 84.359 -143.7231
2000.000000 84.535 -143.1020
2030.000000 84.714 -143.7824
2060.000000 84.927 -143.9064
2090.000000 85.146 -144.0166
2120.000000 85.356 -144.3085
2140.000000 85.503 -144.4516
2180.000000 85.801 -144.8548
2200.000000 85.964 -145.1120
2240.000000 86.338 -145.8222
2270.000000 86.622 -146.7075
2300.000000 86.881 -147.8683
2330.000000 87.128 -149.3636
2360.000000 87.342 -150.8441
2400.000000 87.606 -152.9433
2430.000000 87.784 -154.6192
2470.000000 87.987 -157.1254
2500.000000 88.123 -159.0837
2540.000000 88.256 -161.6758
2580.000000 88.347 -164.5611
2620.000000 88.394 -167.3109
2650.000000 88.401 -169.4717
2690.000000 88.369 -172.2476
2720.000000 88.303 -174.2539
2760.000000 88.206 -176.9698
2800.000000 88.053 -179.4603
2850.000000 87.826 177.6706
2900.000000 87.549 175.1183
2950.000000 87.246 172.9174
3000.000000 86.918 170.6841
3040.000000 86.659 169.7416
3070.000000 86.446 169.0355
3110.000000 86.175 168.1976
3150.000000 85.905 167.6144
3200.000000 85.583 167.0419
3250.000000 85.269 166.8263
3300.000000 84.977 166.7537
3350.000000 84.721 166.7158
3400.000000 84.463 167.0763
3450.000000 84.255 167.3412
3500.000000 84.052 167.7461
3550.000000 83.833 168.2591
3600.000000 83.656 168.8504
3650.000000 83.512 169.5704
3700.000000 83.369 170.0901
3750.000000 83.266 170.7542
3820.000000 83.079 171.7376
3870.000000 82.975 172.6185
3950.000000 82.815 174.1553
4000.000000 82.823 175.5375
4060.000000 82.699 176.5740
4120.000000 82.714 177.9381
4180.000000 82.728 179.2513
4250.000000 82.830 -179.3773
4310.000000 82.917 -178.1564
4370.000000 83.068 -176.7681
4440.000000 83.265 -175.8921
4500.000000 83.487 -175.5737
4550.000000 83.640 -174.9375
4620.000000 83.934 -174.7964
4680.000000 84.163 -174.7728
4750.000000 84.465 -175.2442
4820.000000 84.756 -176.2434
4870.000000 84.917 -177.1219
4940.000000 85.158 -178.6595
5000.000000 85.354 179.5004
5080.000000 85.502 177.1645
5150.000000 85.582 174.6904
5220.000000 85.587 172.1483
5300.000000 85.497 169.0537
5380.000000 85.296 166.2987
5450.000000 85.017 163.9697
5520.000000 84.691 162.2907
5600.000000 84.292 160.7012
5700.000000 83.751 159.7319
5800.000000 83.218 159.3694
5900.000000 82.729 160.0026
6000.000000 82.292 160.3270
