* Measurement data measured by REW V5.20.13
* Source: C:\Users\marcu\OneDrive\Desktop\audio_db\64 Audio U4s m20 Foam L.txt
* Format: Comma/Tab/Space delimited data
* Dated: May 29, 2023 8:27:35 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\marcu\OneDrive\Desktop\audio_db\64 Audio U4s m20 Foam L.txt Format: Comma/Tab/Space delimited data 54613 values loaded, 0 Hz to 20,000 Hz 
* Measurement: 64 Audio U4s m20 Foam L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	80.602	154.6264
1.015000	80.568	154.3103
1.030000	80.534	153.9987
1.044000	80.502	153.7122
1.060000	80.465	153.3900
1.075000	80.430	153.0933
1.090000	80.395	152.8020
1.106000	80.358	152.4971
1.120000	80.324	152.2330
1.138000	80.280	151.8967
1.150000	80.251	151.6747
1.172000	80.195	151.2727
1.180000	80.175	151.1283
1.206000	80.108	150.6655
1.220000	80.071	150.4208
1.241000	80.015	150.0603
1.250000	79.992	149.9083
1.265000	79.952	149.6585
1.280000	79.912	149.4131
1.315000	79.818	148.8594
1.320000	79.805	148.7826
1.340000	79.752	148.4812
1.360000	79.699	148.1897
1.380000	79.647	147.9086
1.400000	79.595	147.6383
1.430000	79.520	147.2543
1.450000	79.471	147.0134
1.475000	79.411	146.7298
1.500000	79.350	146.4650
1.525000	79.288	146.2182
1.550000	79.226	145.9887
1.575000	79.164	145.7758
1.600000	79.103	145.5788
1.625000	79.042	145.3970
1.650000	78.982	145.2296
1.675000	78.925	145.0761
1.700000	78.869	144.9357
1.725000	78.817	144.8076
1.750000	78.767	144.6913
1.775000	78.721	144.5860
1.800000	78.680	144.4911
1.825000	78.642	144.4057
1.850000	78.609	144.3345
1.875000	78.578	144.2878
1.900000	78.549	144.2632
1.925000	78.523	144.2574
1.950000	78.499	144.2672
1.975000	78.478	144.2896
2.000000	78.460	144.3215
2.030000	78.443	144.3676
2.060000	78.431	144.4174
2.090000	78.424	144.4653
2.120000	78.423	144.5060
2.140000	78.426	144.5263
2.180000	78.441	144.5436
2.200000	78.453	144.5375
2.240000	78.487	144.5280
2.270000	78.520	144.5295
2.300000	78.560	144.5336
