* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 4, 2024 10:42:13 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R 7HZ G1 350
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 127.002 -155.4080
20.600000 127.008 -156.2183
20.900000 127.009 -156.9416
21.200001 127.013 -157.6614
21.400000 127.017 -158.1460
21.799999 127.029 -159.1260
22.000000 127.036 -159.6171
22.400000 127.048 -160.5833
22.700001 127.054 -161.2767
23.000000 127.058 -161.9333
23.299999 127.061 -162.5573
23.600000 127.062 -163.1605
24.000000 127.063 -163.9554
24.299999 127.062 -164.5579
24.700001 127.058 -165.3708
25.000000 127.054 -165.9771
25.400000 127.047 -166.7626
25.799999 127.043 -167.5121
26.200001 127.043 -168.2356
26.500000 127.045 -168.7742
26.900000 127.045 -169.4976
27.200001 127.040 -170.0416
27.600000 127.027 -170.7537
28.000000 127.007 -171.4302
28.500000 126.982 -172.2199
29.000000 126.963 -172.9867
29.500000 126.950 -173.7766
30.000000 126.935 -174.5857
30.400000 126.919 -175.2109
30.700001 126.904 -175.6493
31.100000 126.885 -176.1907
31.500000 126.869 -176.7019
32.000000 126.853 -177.3434
32.500000 126.835 -178.0158
33.000000 126.810 -178.7020
33.500000 126.779 -179.3663
34.000000 126.748 -179.9914
34.500000 126.720 179.4097
35.000000 126.698 178.8127
35.500000 126.678 178.2000
36.000000 126.654 177.5775
36.500000 126.623 176.9744
37.000000 126.586 176.4258
37.500000 126.551 175.9343
38.200001 126.512 175.2628
38.700001 126.487 174.7443
39.500000 126.436 173.8987
40.000000 126.401 173.4149
40.599998 126.363 172.8634
41.200001 126.328 172.2899
41.799999 126.289 171.7070
42.500000 126.240 171.0889
43.099998 126.202 170.6121
43.700001 126.166 170.1279
44.400002 126.119 169.5353
45.000000 126.076 169.0357
45.500000 126.044 168.6320
46.200001 126.005 168.0619
46.799999 125.969 167.5785
47.500000 125.917 167.0916
48.200001 125.864 166.6844
48.700001 125.832 166.3714
49.400002 125.784 165.8435
50.000000 125.733 165.3795
50.799999 125.666 164.8708
51.500000 125.621 164.4711
52.200001 125.582 164.0259
53.000000 125.532 163.5083
53.799999 125.481 163.0431
54.500000 125.435 162.6647
55.200001 125.385 162.3057
56.000000 125.329 161.8887
57.000000 125.262 161.2850
58.000000 125.188 160.7100
59.000000 125.117 160.2441
60.000000 125.049 159.7737
60.799999 124.991 159.4041
61.500000 124.938 159.1054
62.200001 124.887 158.8284
63.000000 124.836 158.5003
64.000000 124.776 158.0294
65.000000 124.707 157.6221
66.000000 124.640 157.2479
67.000000 124.568 156.8545
68.000000 124.502 156.5216
69.000000 124.440 156.1980
70.000000 124.372 155.8714
71.000000 124.298 155.5087
72.000000 124.231 155.1960
73.000000 124.173 154.8638
74.000000 124.104 154.5513
75.000000 124.041 154.2900
76.199997 123.964 153.9189
77.500000 123.874 153.6013
78.800003 123.797 153.2263
80.000000 123.728 152.9286
81.199997 123.653 152.7008
82.500000 123.575 152.3940
83.800003 123.493 152.0623
85.000000 123.423 151.8688
86.199997 123.344 151.6238
87.500000 123.270 151.3585
88.500000 123.212 151.1476
90.000000 123.116 150.9296
91.199997 123.051 150.6965
92.500000 122.970 150.4819
93.800003 122.902 150.3347
95.000000 122.834 150.1305
96.199997 122.766 149.9788
97.500000 122.697 149.7935
98.800003 122.635 149.6455
100.000000 122.556 149.4702
101.500000 122.479 149.3317
103.000000 122.391 149.0929
104.400002 122.337 148.8486
106.000000 122.341 149.3983
107.500000 122.162 148.7076
109.000000 122.101 148.5656
110.599998 122.007 148.5596
112.000000 121.942 148.3829
113.800003 121.856 148.2609
115.000000 121.812 148.1730
117.199997 121.684 148.0098
118.000000 121.650 147.7449
120.599998 121.659 148.1732
122.000000 121.427 147.8830
124.099998 121.374 147.6038
125.000000 121.333 147.7231
126.500000 121.259 147.6018
128.000000 121.191 147.5803
131.500000 121.039 147.4409
132.000000 121.018 147.4457
134.000000 120.951 147.5090
136.000000 120.856 147.4255
138.000000 120.779 147.4713
140.000000 120.689 147.4192
143.000000 120.572 147.4097
145.000000 120.481 147.3946
147.500000 120.401 147.4553
150.000000 120.311 147.4752
152.500000 120.214 147.5479
155.000000 120.137 147.5365
157.500000 120.038 147.6006
160.000000 119.956 147.6115
162.500000 119.864 147.7134
165.000000 119.784 147.8174
167.500000 119.694 147.8649
170.000000 119.616 147.8584
172.500000 119.549 148.0370
175.000000 119.462 148.1472
177.500000 119.382 148.2174
180.000000 119.309 148.2618
182.500000 119.241 148.4436
185.000000 119.152 148.5325
187.500000 119.100 148.6393
190.000000 119.006 148.8250
192.500000 118.951 148.8735
195.000000 118.887 149.0718
197.500000 118.809 149.2467
200.000000 118.758 149.3844
203.000000 118.662 149.4745
206.000000 118.592 149.5657
209.000000 118.538 149.8332
212.000000 118.471 149.9777
214.000000 118.395 150.1937
218.000000 118.317 150.3229
220.000000 118.263 150.5212
224.000000 118.159 150.7802
227.000000 118.095 150.9758
230.000000 118.034 151.1484
233.000000 117.977 151.3823
236.000000 117.893 151.5854
240.000000 117.812 151.8877
243.000000 117.764 151.9808
247.000000 117.695 152.2941
250.000000 117.627 152.4499
254.000000 117.557 152.8267
258.000000 117.486 152.9882
262.000000 117.389 153.3330
265.000000 117.351 153.6492
269.000000 117.289 153.8036
272.000000 117.233 154.1362
276.000000 117.171 154.3902
280.000000 117.092 154.6174
285.000000 117.027 155.1105
290.000000 116.936 155.4494
295.000000 116.863 155.7296
300.000000 116.782 156.1397
304.000000 116.736 156.3670
307.000000 116.679 156.5793
311.000000 116.643 157.0240
315.000000 116.570 157.3177
320.000000 116.523 157.5906
325.000000 116.466 158.0666
330.000000 116.386 158.3344
335.000000 116.340 158.6898
340.000000 116.269 159.2296
345.000000 116.234 159.3454
350.000000 116.168 159.8369
355.000000 116.113 160.4589
360.000000 116.069 160.6074
365.000000 116.011 161.0011
370.000000 115.955 161.3506
375.000000 115.932 161.7711
382.000000 115.833 162.3731
387.000000 115.777 162.6050
395.000000 115.742 163.2812
400.000000 115.679 163.5605
406.000000 115.643 164.2183
412.000000 115.576 164.5153
418.000000 115.518 165.1699
425.000000 115.473 165.4265
431.000000 115.445 165.9504
437.000000 115.357 166.4178
444.000000 115.320 166.7112
450.000000 115.302 167.1888
455.000000 115.252 167.8876
462.000000 115.226 168.0775
468.000000 115.170 168.7191
475.000000 115.119 169.0652
482.000000 115.096 169.7292
487.000000 115.036 170.0040
494.000000 115.017 170.5128
500.000000 114.998 170.8733
508.000000 114.944 171.4897
515.000000 114.914 172.0492
522.000000 114.865 172.6171
530.000000 114.836 173.2704
538.000000 114.816 173.7302
545.000000 114.769 174.2624
552.000000 114.755 174.6527
560.000000 114.696 175.2712
570.000000 114.671 175.9891
580.000000 114.631 176.6566
590.000000 114.602 177.4479
600.000000 114.576 178.1300
608.000000 114.574 178.6940
615.000000 114.525 179.2556
622.000000 114.509 179.8381
630.000000 114.485 -179.6215
640.000000 114.443 -179.0443
650.000000 114.406 -178.2354
660.000000 114.409 -177.5559
670.000000 114.406 -176.8781
680.000000 114.368 -176.1231
690.000000 114.358 -175.4867
700.000000 114.342 -174.6100
710.000000 114.336 -173.7926
720.000000 114.349 -173.1608
730.000000 114.348 -172.4377
740.000000 114.339 -171.6044
750.000000 114.344 -170.7942
762.000000 114.352 -170.1981
775.000000 114.337 -169.0706
788.000000 114.328 -168.0361
800.000000 114.380 -167.3696
812.000000 114.411 -166.4473
825.000000 114.427 -165.2533
838.000000 114.459 -164.3873
850.000000 114.494 -163.9097
862.000000 114.558 -162.8804
875.000000 114.608 -161.9299
885.000000 114.626 -161.2861
900.000000 114.722 -160.3343
912.000000 114.761 -159.5463
925.000000 114.837 -158.6800
938.000000 114.890 -157.9290
950.000000 114.934 -157.5771
962.000000 115.015 -156.8352
975.000000 115.115 -156.0080
988.000000 115.184 -155.4696
1000.000000 115.262 -155.2751
1015.000000 115.364 -154.2982
1030.000000 115.444 -153.5826
1044.000000 115.530 -153.0443
1060.000000 115.639 -152.5800
1075.000000 115.724 -151.8503
1090.000000 115.855 -151.6060
1106.000000 115.932 -151.2710
1120.000000 116.039 -150.9127
1138.000000 116.108 -150.3329
1150.000000 116.205 -150.3110
1172.000000 116.319 -149.5879
1180.000000 116.362 -149.4185
1206.000000 116.496 -149.0603
1220.000000 116.557 -148.6766
1241.000000 116.662 -148.5635
1250.000000 116.713 -148.4403
1265.000000 116.777 -148.2028
1280.000000 116.841 -148.0305
1315.000000 116.971 -147.5212
1320.000000 116.988 -147.4464
1340.000000 117.077 -147.1754
1360.000000 117.142 -146.9561
1380.000000 117.216 -146.5567
1400.000000 117.272 -146.2764
1430.000000 117.382 -145.8741
1450.000000 117.477 -145.5459
1475.000000 117.554 -145.0956
1500.000000 117.621 -144.7884
1525.000000 117.749 -144.5871
1550.000000 117.839 -144.1859
1575.000000 117.906 -143.8531
1600.000000 118.003 -143.6663
1625.000000 118.083 -143.4477
1650.000000 118.158 -143.1217
1675.000000 118.250 -142.8460
1700.000000 118.323 -142.5583
1725.000000 118.397 -142.3031
1750.000000 118.478 -142.0333
1775.000000 118.569 -141.7060
1800.000000 118.624 -141.3837
1825.000000 118.711 -141.1479
1850.000000 118.793 -140.9210
1875.000000 118.897 -140.7045
1900.000000 118.952 -140.2191
1925.000000 119.079 -139.9458
1950.000000 119.153 -139.7069
1975.000000 119.255 -139.5638
2000.000000 119.325 -138.7727
2030.000000 119.457 -138.9284
2060.000000 119.584 -138.7229
2090.000000 119.674 -138.5242
2120.000000 119.808 -138.1039
2140.000000 119.882 -137.9971
2180.000000 120.062 -137.7455
2200.000000 120.125 -137.8596
2240.000000 120.289 -137.4516
2270.000000 120.437 -137.3318
2300.000000 120.563 -137.2856
2330.000000 120.691 -137.2696
2360.000000 120.800 -137.2592
2400.000000 121.010 -137.1524
2430.000000 121.123 -137.1483
2470.000000 121.321 -137.1700
2500.000000 121.437 -137.3213
2540.000000 121.607 -137.5072
2580.000000 121.815 -137.7017
2620.000000 122.003 -138.0780
2650.000000 122.138 -138.2994
2690.000000 122.322 -138.6400
2720.000000 122.446 -138.8749
2760.000000 122.636 -139.4453
2800.000000 122.804 -139.9372
2850.000000 123.028 -140.7460
2900.000000 123.243 -141.6247
2950.000000 123.453 -142.7291
3000.000000 123.630 -143.8974
3040.000000 123.801 -144.7874
3070.000000 123.894 -145.4327
3110.000000 124.031 -146.5278
3150.000000 124.174 -147.5783
3200.000000 124.322 -149.0302
3250.000000 124.437 -150.4667
3300.000000 124.573 -152.0898
3350.000000 124.664 -153.8326
3400.000000 124.753 -155.3943
3450.000000 124.804 -157.1076
3500.000000 124.851 -158.8348
3550.000000 124.865 -160.5639
3600.000000 124.865 -162.3522
3650.000000 124.845 -164.0533
3700.000000 124.827 -165.6219
3750.000000 124.770 -167.2508
3820.000000 124.662 -169.4495
3870.000000 124.562 -170.9258
3950.000000 124.392 -173.0626
4000.000000 124.305 -174.2497
4060.000000 124.100 -175.7792
4120.000000 123.925 -176.9311
4180.000000 123.741 -178.1410
4250.000000 123.531 -179.1597
4310.000000 123.316 -179.9985
4370.000000 123.104 179.2682
4440.000000 122.876 178.4891
4500.000000 122.657 177.9372
4550.000000 122.492 177.6186
4620.000000 122.253 177.2615
4680.000000 122.043 177.0134
4750.000000 121.816 177.0204
4820.000000 121.584 177.1287
4870.000000 121.411 177.2860
4940.000000 121.188 177.4094
5000.000000 121.051 177.5010
5080.000000 120.796 178.3171
5150.000000 120.601 178.6467
5220.000000 120.393 179.4055
5300.000000 120.190 -179.7149
5380.000000 119.982 -178.7383
5450.000000 119.847 -177.8960
5520.000000 119.691 -177.1720
5600.000000 119.517 -175.6237
5700.000000 119.338 -174.3516
5800.000000 119.195 -173.0089
5900.000000 119.009 -171.1736
6000.000000 118.922 -169.2442
6080.000000 118.892 -167.9268
