* Measurement data measured by REW V5.30
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.850
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Apr 27, 2024 11:22:33 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R AURORA Apr 27
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 141.492 -167.4199
20.600000 141.489 -168.0461
20.900000 141.479 -168.6121
21.200001 141.468 -169.1818
21.400000 141.461 -169.5683
21.799999 141.447 -170.3534
22.000000 141.440 -170.7460
22.400000 141.425 -171.5106
22.700001 141.414 -172.0500
23.000000 141.402 -172.5528
23.299999 141.392 -173.0257
23.600000 141.383 -173.4809
24.000000 141.374 -174.0812
24.299999 141.366 -174.5374
24.700001 141.354 -175.1537
25.000000 141.343 -175.6135
25.400000 141.326 -176.2084
25.799999 141.307 -176.7693
26.200001 141.287 -177.2949
26.500000 141.272 -177.6740
26.900000 141.253 -178.1777
27.200001 141.239 -178.5699
27.600000 141.219 -179.1283
28.000000 141.196 -179.7271
28.500000 141.159 179.5113
29.000000 141.116 178.8228
29.500000 141.076 178.2682
30.000000 141.047 177.8249
30.400000 141.030 177.4899
30.700001 141.018 177.2200
31.100000 140.999 176.8168
31.500000 140.972 176.3707
32.000000 140.931 175.7887
32.500000 140.891 175.2220
33.000000 140.859 174.6920
33.500000 140.833 174.2003
34.000000 140.808 173.7487
34.500000 140.777 173.3378
35.000000 140.740 172.9513
35.500000 140.701 172.5526
36.000000 140.663 172.1131
36.500000 140.625 171.6437
37.000000 140.588 171.1926
37.500000 140.552 170.8008
38.200001 140.507 170.3329
38.700001 140.476 169.9938
39.500000 140.416 169.3765
40.000000 140.376 168.9813
40.599998 140.332 168.5457
41.200001 140.296 168.1581
41.799999 140.259 167.8038
42.500000 140.204 167.4220
43.099998 140.151 167.1031
43.700001 140.100 166.7574
44.400002 140.046 166.3056
45.000000 140.003 165.9097
45.500000 139.967 165.6024
46.200001 139.917 165.2097
46.799999 139.875 164.8876
47.500000 139.824 164.5361
48.200001 139.773 164.2513
48.700001 139.737 164.0786
49.400002 139.687 163.8110
50.000000 139.636 163.5332
50.799999 139.567 163.1552
51.500000 139.522 162.8357
52.200001 139.488 162.4954
53.000000 139.440 162.1464
53.799999 139.380 161.8910
54.500000 139.325 161.6453
55.200001 139.265 161.3485
56.000000 139.200 161.0491
57.000000 139.139 160.7419
58.000000 139.077 160.4012
59.000000 138.999 160.0830
60.000000 138.923 159.7993
60.799999 138.869 159.5560
61.500000 138.825 159.3130
62.200001 138.779 159.0490
63.000000 138.719 158.8099
64.000000 138.652 158.7169
65.000000 138.605 158.5317
66.000000 138.525 158.1580
67.000000 138.438 157.9421
68.000000 138.373 157.7330
69.000000 138.301 157.5171
70.000000 138.235 157.3298
71.000000 138.179 157.1426
72.000000 138.119 156.8770
73.000000 138.013 156.6608
74.000000 137.926 156.7860
75.000000 137.893 156.6760
76.199997 137.817 156.3947
77.500000 137.751 156.1357
78.800003 137.664 155.9455
80.000000 137.583 155.8840
81.199997 137.487 155.8554
82.500000 137.414 155.5726
83.800003 137.317 155.4417
85.000000 137.240 155.5280
86.199997 137.128 155.4459
87.500000 137.067 155.2024
88.500000 137.034 155.0054
90.000000 136.917 154.9839
91.199997 136.772 155.3449
92.500000 136.700 155.6311
93.800003 136.668 155.5273
95.000000 136.556 155.1898
96.199997 136.462 156.0850
97.500000 136.416 155.9435
98.800003 136.303 156.4395
100.000000 136.265 156.4406
101.500000 136.153 157.0004
103.000000 136.082 157.5757
104.400002 136.097 158.3797
106.000000 136.085 158.8460
107.500000 136.132 159.0595
109.000000 136.077 159.9667
110.599998 136.196 159.1310
112.000000 136.217 158.8587
113.800003 136.214 158.1866
115.000000 136.200 158.0670
117.199997 136.101 157.6061
118.000000 136.121 157.6428
120.599998 136.004 157.4744
122.000000 135.936 157.0952
124.099998 135.862 156.9328
125.000000 135.807 156.8622
126.500000 135.765 156.8634
128.000000 135.690 156.8418
131.500000 135.546 156.9589
132.000000 135.522 156.9385
134.000000 135.438 156.8231
136.000000 135.347 156.9695
138.000000 135.274 156.8221
140.000000 135.308 156.6750
143.000000 135.118 157.0652
145.000000 135.042 157.2079
147.500000 134.944 157.2577
150.000000 134.872 157.4278
152.500000 134.788 157.7878
155.000000 134.694 157.7580
157.500000 134.600 158.0193
160.000000 134.545 158.2241
162.500000 134.453 158.3555
165.000000 134.385 158.6164
167.500000 134.309 158.8804
170.000000 134.238 159.0304
172.500000 134.163 159.3196
175.000000 134.083 159.4692
177.500000 134.023 159.8651
180.000000 133.960 160.1250
182.500000 133.871 160.4554
185.000000 133.834 160.8064
187.500000 133.745 161.3068
190.000000 133.706 161.4325
192.500000 133.646 161.9203
195.000000 133.586 162.3481
197.500000 133.602 162.8459
200.000000 133.561 163.0449
203.000000 133.521 163.3589
206.000000 133.521 163.7428
209.000000 133.488 163.8597
212.000000 133.440 164.0555
214.000000 133.408 164.1405
218.000000 133.349 164.3259
220.000000 133.319 164.4538
224.000000 133.241 164.8589
227.000000 133.194 165.1219
230.000000 133.131 165.2373
233.000000 133.085 165.3778
236.000000 133.008 165.8101
240.000000 132.991 166.0771
243.000000 132.919 166.2804
247.000000 132.848 167.2083
250.000000 132.776 167.3928
254.000000 132.762 167.5029
258.000000 132.669 167.9171
262.000000 132.651 168.6113
265.000000 132.588 168.9294
269.000000 132.567 169.1047
272.000000 132.523 169.5390
276.000000 132.452 169.9200
280.000000 132.399 170.4041
285.000000 132.347 170.9117
290.000000 132.285 171.7370
295.000000 132.296 172.0689
300.000000 132.243 172.5194
304.000000 132.206 172.7922
307.000000 132.145 173.2908
311.000000 132.112 173.8595
315.000000 132.053 174.2291
320.000000 132.047 174.6651
325.000000 131.991 175.1334
330.000000 131.944 175.5971
335.000000 131.915 176.1646
340.000000 131.875 176.6643
345.000000 131.834 177.2043
350.000000 131.803 177.7622
355.000000 131.781 178.3170
360.000000 131.762 178.8840
365.000000 131.705 179.3282
370.000000 131.658 179.7165
375.000000 131.648 -179.6833
382.000000 131.621 -178.9867
387.000000 131.569 -178.5166
395.000000 131.581 -177.1967
400.000000 131.531 -177.4502
406.000000 131.533 -176.7364
412.000000 131.431 -175.7316
418.000000 131.491 -175.4928
425.000000 131.440 -174.4905
431.000000 131.410 -174.1805
437.000000 131.403 -173.4392
444.000000 131.379 -172.8523
450.000000 131.343 -172.3437
455.000000 131.348 -171.6463
462.000000 131.317 -171.0698
468.000000 131.314 -170.5448
475.000000 131.303 -169.7124
482.000000 131.296 -169.0785
487.000000 131.275 -168.4992
494.000000 131.268 -167.8698
500.000000 131.247 -167.2596
508.000000 131.235 -166.6710
515.000000 131.228 -165.9107
522.000000 131.235 -165.2505
530.000000 131.226 -164.5021
538.000000 131.219 -163.7472
545.000000 131.208 -162.9855
552.000000 131.216 -162.3864
560.000000 131.204 -161.7056
570.000000 131.224 -160.6723
580.000000 131.231 -159.7481
590.000000 131.231 -158.7961
600.000000 131.244 -157.8650
608.000000 131.252 -157.1714
615.000000 131.258 -156.5030
622.000000 131.284 -155.8121
630.000000 131.297 -155.1125
640.000000 131.310 -154.1186
650.000000 131.332 -153.3394
660.000000 131.360 -152.3606
670.000000 131.391 -151.4990
680.000000 131.416 -150.5687
690.000000 131.440 -149.7198
700.000000 131.471 -148.8987
710.000000 131.517 -148.0023
720.000000 131.548 -147.1865
730.000000 131.580 -146.2066
740.000000 131.623 -145.2483
750.000000 131.663 -144.4727
762.000000 131.728 -143.3421
775.000000 131.800 -142.2197
788.000000 131.855 -141.0978
800.000000 131.939 -140.1319
812.000000 131.993 -139.1834
825.000000 132.074 -138.0975
838.000000 132.162 -136.9457
850.000000 132.238 -136.0070
862.000000 132.342 -135.0971
875.000000 132.410 -134.0393
885.000000 132.512 -133.2615
900.000000 132.636 -132.0779
912.000000 132.731 -131.4508
925.000000 132.822 -130.3921
938.000000 132.922 -129.4607
950.000000 133.034 -128.6521
962.000000 133.142 -127.9084
975.000000 133.266 -127.0721
988.000000 133.406 -126.2668
1000.000000 133.505 -125.3206
1015.000000 133.628 -124.7166
1030.000000 133.776 -123.9596
1044.000000 133.939 -123.1721
1060.000000 134.082 -122.4957
1075.000000 134.239 -121.7095
1090.000000 134.378 -120.7825
1106.000000 134.535 -120.2121
1120.000000 134.692 -119.6501
1138.000000 134.872 -118.9744
1150.000000 134.988 -118.2122
1172.000000 135.235 -117.6275
1180.000000 135.308 -117.4242
1206.000000 135.558 -116.6308
1220.000000 135.729 -115.9572
1241.000000 135.929 -115.5883
1250.000000 136.033 -115.2199
1265.000000 136.185 -114.8254
1280.000000 136.352 -114.5275
1315.000000 136.725 -113.9327
1320.000000 136.796 -113.6742
1340.000000 136.974 -113.4661
1360.000000 137.233 -113.2119
1380.000000 137.425 -112.9796
1400.000000 137.646 -112.8636
1430.000000 137.973 -112.7347
1450.000000 138.144 -112.8150
1475.000000 138.474 -112.9964
1500.000000 138.702 -113.1747
1525.000000 138.970 -113.4372
1550.000000 139.224 -113.9540
1575.000000 139.476 -114.6319
1600.000000 139.725 -114.8968
1625.000000 139.953 -115.9265
1650.000000 140.179 -116.7399
1675.000000 140.374 -117.8676
1700.000000 140.557 -118.9409
1725.000000 140.751 -120.2519
1750.000000 140.885 -121.7706
1775.000000 140.997 -123.2558
1800.000000 141.036 -124.7915
1825.000000 141.063 -126.2727
1850.000000 141.046 -127.6492
1875.000000 141.017 -128.7963
1900.000000 140.962 -129.9080
1925.000000 140.899 -130.7903
1950.000000 140.832 -131.5566
1975.000000 140.758 -132.2058
2000.000000 140.681 -132.7445
2030.000000 140.571 -133.3001
2060.000000 140.459 -133.6982
2090.000000 140.363 -133.9458
2120.000000 140.259 -134.0980
2140.000000 140.195 -134.0678
2180.000000 140.065 -133.9823
2200.000000 140.002 -133.8471
2240.000000 139.898 -133.4532
2270.000000 139.826 -133.1170
2300.000000 139.764 -132.6272
2330.000000 139.708 -132.1079
2360.000000 139.675 -131.5578
2400.000000 139.638 -130.7429
2430.000000 139.627 -130.0873
2470.000000 139.622 -129.2032
2500.000000 139.632 -128.5398
2540.000000 139.663 -127.5847
2580.000000 139.721 -126.6680
2620.000000 139.790 -125.7331
2650.000000 139.853 -125.0068
2690.000000 139.957 -124.1768
2720.000000 140.052 -123.5562
2760.000000 140.186 -122.6876
2800.000000 140.349 -121.9234
2850.000000 140.593 -121.0619
2900.000000 140.883 -120.4154
2950.000000 141.212 -120.2579
3000.000000 141.542 -120.6146
3040.000000 141.787 -121.1396
3070.000000 141.951 -121.6831
3110.000000 142.160 -122.5206
3150.000000 142.349 -123.4365
3200.000000 142.565 -124.6323
3250.000000 142.764 -125.8809
3300.000000 142.971 -127.1678
3350.000000 143.200 -128.5554
3400.000000 143.458 -130.3014
3450.000000 143.726 -132.6042
3500.000000 143.970 -135.6919
3550.000000 144.133 -139.5200
3600.000000 144.158 -143.9126
3650.000000 144.017 -148.4926
3700.000000 143.699 -152.7830
3750.000000 143.263 -156.4914
3820.000000 142.506 -160.3430
3870.000000 141.908 -162.1947
3950.000000 140.948 -163.6217
4000.000000 140.376 -163.7518
4060.000000 139.738 -163.1229
4120.000000 139.186 -162.0511
4180.000000 138.695 -160.4673
4250.000000 138.211 -158.4216
4310.000000 137.868 -156.4937
4370.000000 137.587 -154.5824
4440.000000 137.316 -152.1995
4500.000000 137.138 -150.1380
4550.000000 137.029 -148.4389
4620.000000 136.925 -146.0518
4680.000000 136.897 -144.1190
4750.000000 136.913 -141.9573
4820.000000 137.009 -140.0093
4870.000000 137.122 -138.6841
4940.000000 137.340 -137.1390
5000.000000 137.566 -136.2289
5080.000000 137.950 -135.4446
5150.000000 138.344 -135.5184
5220.000000 138.774 -136.3162
5300.000000 139.307 -138.5180
5380.000000 139.824 -142.1800
5450.000000 140.173 -146.6339
5520.000000 140.398 -152.1975
5600.000000 140.384 -159.5035
5700.000000 139.896 -168.9067
5800.000000 138.970 -176.9116
5900.000000 137.769 177.5341
