* Measurement data measured by REW V5.30
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.850
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Apr 19, 2024 2:31:18 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R AURORA silicone Apr 19
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 141.300 -168.8865
20.600000 141.291 -169.4794
20.900000 141.281 -170.0055
21.200001 141.273 -170.5340
21.400000 141.270 -170.8928
21.799999 141.264 -171.6203
22.000000 141.261 -171.9825
22.400000 141.253 -172.6845
22.700001 141.245 -173.1807
23.000000 141.237 -173.6519
23.299999 141.229 -174.1116
23.600000 141.220 -174.5735
24.000000 141.206 -175.2068
24.299999 141.192 -175.6908
24.700001 141.167 -176.3236
25.000000 141.147 -176.7679
25.400000 141.122 -177.3079
25.799999 141.104 -177.8076
26.200001 141.094 -178.3096
26.500000 141.086 -178.7056
26.900000 141.070 -179.2546
27.200001 141.053 -179.6602
27.600000 141.023 179.8406
28.000000 140.994 179.3991
28.500000 140.967 178.8698
29.000000 140.947 178.2599
29.500000 140.915 177.5494
30.000000 140.860 176.8507
30.400000 140.806 176.3871
30.700001 140.770 176.1057
31.100000 140.735 175.7771
31.500000 140.718 175.4372
32.000000 140.711 174.9314
32.500000 140.703 174.3654
33.000000 140.686 173.8385
33.500000 140.662 173.4048
34.000000 140.637 173.0363
34.500000 140.610 172.6763
35.000000 140.575 172.3106
35.500000 140.536 171.9704
36.000000 140.499 171.6758
36.500000 140.473 171.3851
37.000000 140.458 171.0117
37.500000 140.436 170.5193
38.200001 140.375 169.7930
38.700001 140.317 169.4202
39.500000 140.255 169.0574
40.000000 140.236 168.7719
40.599998 140.200 168.3062
41.200001 140.138 167.8886
41.799999 140.079 167.6071
42.500000 140.041 167.2491
43.099998 140.011 166.7996
43.700001 139.961 166.3693
44.400002 139.894 166.0469
45.000000 139.852 165.8340
45.500000 139.825 165.6003
46.200001 139.788 165.1829
46.799999 139.752 164.8196
47.500000 139.703 164.4636
48.200001 139.646 164.1711
48.700001 139.603 163.9673
49.400002 139.545 163.6416
50.000000 139.504 163.2994
50.799999 139.453 162.7740
51.500000 139.397 162.4026
52.200001 139.340 162.2450
53.000000 139.298 162.1178
53.799999 139.253 161.7796
54.500000 139.193 161.4821
55.200001 139.145 161.2814
56.000000 139.107 160.9467
57.000000 139.026 160.5386
58.000000 138.967 160.4278
59.000000 138.926 160.0730
60.000000 138.844 159.7333
60.799999 138.795 159.4639
61.500000 138.749 159.1329
62.200001 138.692 158.9023
63.000000 138.636 158.8035
64.000000 138.571 158.6561
65.000000 138.505 158.4291
66.000000 138.443 158.1784
67.000000 138.376 158.0541
68.000000 138.313 157.9242
69.000000 138.254 157.6660
70.000000 138.193 157.4484
71.000000 138.135 157.3239
72.000000 138.071 157.0325
73.000000 138.003 156.8014
74.000000 137.959 156.7084
75.000000 137.894 156.6807
76.199997 137.824 156.5460
77.500000 137.729 156.1802
78.800003 137.659 156.2631
80.000000 137.590 156.0715
81.199997 137.515 155.8647
82.500000 137.460 155.7187
83.800003 137.378 155.6423
85.000000 137.313 155.5270
86.199997 137.246 155.4021
87.500000 137.176 155.3246
88.500000 137.119 155.3134
90.000000 137.073 155.1190
91.199997 136.996 155.0668
92.500000 136.922 155.0658
93.800003 136.845 155.0358
95.000000 136.797 154.9746
96.199997 136.728 154.9346
97.500000 136.655 154.9594
98.800003 136.593 154.9337
100.000000 136.539 154.8218
101.500000 136.471 154.7419
103.000000 136.400 154.8905
104.400002 136.334 154.8677
106.000000 136.264 154.7843
107.500000 136.216 155.0251
109.000000 136.152 154.8834
110.599998 136.057 154.8641
112.000000 136.001 154.9005
113.800003 135.913 154.9082
115.000000 135.862 154.8726
117.199997 135.796 155.2010
118.000000 135.762 155.2100
120.599998 135.644 155.0893
122.000000 135.595 155.2571
124.099998 135.488 155.2703
125.000000 135.470 155.3447
126.500000 135.417 155.3364
128.000000 135.361 155.4972
131.500000 135.233 155.6508
132.000000 135.216 155.6859
134.000000 135.141 155.8088
136.000000 135.068 155.9203
138.000000 135.011 156.0932
140.000000 134.955 156.1729
143.000000 134.826 156.3067
145.000000 134.766 156.5179
147.500000 134.691 156.7527
150.000000 134.606 156.9293
152.500000 134.531 157.1317
155.000000 134.462 157.1967
157.500000 134.398 157.4626
160.000000 134.316 157.7252
162.500000 134.253 157.9021
165.000000 134.181 158.1786
167.500000 134.116 158.3452
170.000000 134.048 158.6429
172.500000 133.985 158.8200
175.000000 133.923 159.0726
177.500000 133.864 159.2674
180.000000 133.797 159.6187
182.500000 133.738 159.7828
185.000000 133.687 160.0644
187.500000 133.620 160.3275
190.000000 133.571 160.4784
192.500000 133.500 160.8479
195.000000 133.453 161.0304
197.500000 133.401 161.3205
200.000000 133.351 161.5665
203.000000 133.291 161.8712
206.000000 133.229 162.1525
209.000000 133.179 162.4551
212.000000 133.118 162.8164
214.000000 133.076 163.0343
218.000000 133.009 163.4586
220.000000 132.975 163.6249
224.000000 132.902 164.0831
227.000000 132.856 164.3837
230.000000 132.787 164.6877
233.000000 132.736 165.0322
236.000000 132.690 165.3510
240.000000 132.631 165.8478
243.000000 132.573 166.1858
247.000000 132.516 166.6498
250.000000 132.475 167.0613
254.000000 132.411 167.4888
258.000000 132.349 168.0527
262.000000 132.302 168.6472
265.000000 132.273 168.9766
269.000000 132.223 169.6074
272.000000 132.202 170.0200
276.000000 132.184 170.5322
280.000000 132.167 170.9720
285.000000 132.145 171.4144
290.000000 132.104 171.8567
295.000000 132.067 172.2851
300.000000 132.011 172.6756
304.000000 131.984 173.0889
307.000000 131.954 173.3618
311.000000 131.911 173.7288
315.000000 131.869 174.1292
320.000000 131.833 174.5891
325.000000 131.784 175.1339
330.000000 131.745 175.6300
335.000000 131.701 176.2126
340.000000 131.667 176.6537
345.000000 131.629 177.1642
350.000000 131.603 177.6604
355.000000 131.555 178.2208
360.000000 131.530 178.6945
365.000000 131.501 179.2404
370.000000 131.465 179.7500
375.000000 131.444 -179.7311
382.000000 131.407 -178.9388
387.000000 131.383 -178.5566
395.000000 131.338 -177.7334
400.000000 131.318 -177.2225
406.000000 131.305 -176.7151
412.000000 131.265 -175.9983
418.000000 131.243 -175.4500
425.000000 131.213 -174.7950
431.000000 131.193 -174.1728
437.000000 131.175 -173.6271
444.000000 131.149 -172.8997
450.000000 131.123 -172.3120
455.000000 131.112 -171.7724
462.000000 131.102 -171.0752
468.000000 131.091 -170.5271
475.000000 131.059 -169.8471
482.000000 131.045 -169.1444
487.000000 131.030 -168.6980
494.000000 131.034 -168.0076
500.000000 131.011 -167.4164
508.000000 131.009 -166.6573
515.000000 131.003 -165.9440
522.000000 130.986 -165.2654
530.000000 130.978 -164.5585
538.000000 130.969 -163.7825
545.000000 130.961 -163.0696
552.000000 130.960 -162.3639
560.000000 130.959 -161.5833
570.000000 130.962 -160.7262
580.000000 130.976 -159.7397
590.000000 130.968 -158.7656
600.000000 130.963 -157.9359
608.000000 130.984 -157.2401
615.000000 130.989 -156.4388
622.000000 131.002 -155.8479
630.000000 131.003 -155.0627
640.000000 131.023 -154.1827
650.000000 131.038 -153.3002
660.000000 131.062 -152.3271
670.000000 131.074 -151.3785
680.000000 131.109 -150.5579
690.000000 131.126 -149.5349
700.000000 131.154 -148.6825
710.000000 131.179 -147.7695
720.000000 131.203 -146.8060
730.000000 131.243 -145.9284
740.000000 131.273 -145.0620
750.000000 131.324 -144.1561
762.000000 131.368 -143.0865
775.000000 131.431 -141.8774
788.000000 131.490 -140.7308
800.000000 131.550 -139.7027
812.000000 131.620 -138.7143
825.000000 131.697 -137.5599
838.000000 131.765 -136.4400
850.000000 131.842 -135.4087
862.000000 131.924 -134.4577
875.000000 132.005 -133.3755
885.000000 132.092 -132.5685
900.000000 132.197 -131.3994
912.000000 132.288 -130.4601
925.000000 132.391 -129.5306
938.000000 132.498 -128.5345
950.000000 132.598 -127.7758
962.000000 132.706 -126.9002
975.000000 132.816 -125.9898
988.000000 132.936 -125.1513
1000.000000 133.058 -124.3978
1015.000000 133.189 -123.4811
1030.000000 133.322 -122.5701
1044.000000 133.473 -121.7736
1060.000000 133.612 -120.8671
1075.000000 133.764 -120.1154
1090.000000 133.905 -119.3499
1106.000000 134.062 -118.5689
1120.000000 134.200 -117.8798
1138.000000 134.377 -117.1194
1150.000000 134.501 -116.5760
1172.000000 134.716 -115.6842
1180.000000 134.797 -115.3567
1206.000000 135.060 -114.3961
1220.000000 135.202 -113.9096
1241.000000 135.406 -113.1788
1250.000000 135.496 -112.8809
1265.000000 135.645 -112.4115
1280.000000 135.807 -111.9623
1315.000000 136.166 -111.0449
1320.000000 136.218 -110.8807
1340.000000 136.424 -110.4210
1360.000000 136.635 -109.9695
1380.000000 136.856 -109.5463
1400.000000 137.055 -109.2356
1430.000000 137.380 -108.8117
1450.000000 137.590 -108.6091
1475.000000 137.864 -108.4253
1500.000000 138.128 -108.3093
1525.000000 138.401 -108.3371
1550.000000 138.664 -108.4199
1575.000000 138.938 -108.6166
1600.000000 139.204 -108.9050
1625.000000 139.465 -109.3548
1650.000000 139.723 -109.8688
1675.000000 139.982 -110.5539
1700.000000 140.231 -111.4251
1725.000000 140.468 -112.4612
1750.000000 140.672 -113.7272
1775.000000 140.849 -115.1103
1800.000000 140.981 -116.5932
1825.000000 141.073 -118.0382
1850.000000 141.133 -119.4085
1875.000000 141.161 -120.7315
1900.000000 141.167 -121.9143
1925.000000 141.161 -122.9510
1950.000000 141.136 -123.9075
1975.000000 141.104 -124.7827
2000.000000 141.074 -125.5337
2030.000000 141.010 -126.3018
2060.000000 140.948 -126.9649
2090.000000 140.882 -127.4930
2120.000000 140.806 -127.8649
2140.000000 140.755 -128.0838
2180.000000 140.663 -128.3345
2200.000000 140.615 -128.3844
2240.000000 140.532 -128.3668
2270.000000 140.476 -128.2611
2300.000000 140.427 -128.0454
2330.000000 140.382 -127.7804
2360.000000 140.354 -127.4856
2400.000000 140.320 -126.9757
2430.000000 140.311 -126.5657
2470.000000 140.319 -125.9480
2500.000000 140.332 -125.4881
2540.000000 140.372 -124.8540
2580.000000 140.432 -124.2794
2620.000000 140.503 -123.6733
2650.000000 140.571 -123.2397
2690.000000 140.678 -122.8013
2720.000000 140.763 -122.5305
2760.000000 140.890 -122.2041
2800.000000 141.034 -122.0396
2850.000000 141.211 -122.0072
2900.000000 141.394 -122.1539
2950.000000 141.556 -122.5275
3000.000000 141.712 -123.1108
3040.000000 141.819 -123.5365
3070.000000 141.883 -123.8594
3110.000000 141.965 -124.3228
3150.000000 142.041 -124.6674
3200.000000 142.141 -124.9601
3250.000000 142.282 -125.1357
3300.000000 142.490 -125.2586
3350.000000 142.772 -125.7184
3400.000000 143.123 -126.7248
3450.000000 143.499 -128.6229
3500.000000 143.845 -131.5560
3550.000000 144.095 -135.4893
3600.000000 144.184 -140.1115
3650.000000 144.086 -144.9636
3700.000000 143.796 -149.5657
3750.000000 143.362 -153.4773
3820.000000 142.610 -157.6649
3870.000000 142.015 -159.6487
3950.000000 141.077 -161.3447
4000.000000 140.503 -161.6612
4060.000000 139.875 -161.4704
4120.000000 139.286 -160.8338
4180.000000 138.764 -159.6293
4250.000000 138.212 -157.9726
4310.000000 137.802 -156.3288
4370.000000 137.439 -154.5162
4440.000000 137.092 -152.1507
4500.000000 136.844 -150.1569
4550.000000 136.685 -148.4353
4620.000000 136.480 -146.1278
4680.000000 136.397 -144.0963
4750.000000 136.332 -141.9314
4820.000000 136.317 -139.7725
4870.000000 136.357 -138.4067
4940.000000 136.450 -136.6398
5000.000000 136.584 -135.4619
5080.000000 136.819 -134.1574
5150.000000 137.092 -133.4532
5220.000000 137.399 -133.3780
5300.000000 137.795 -134.0086
5380.000000 138.248 -135.5449
5450.000000 138.655 -137.9491
5520.000000 139.028 -141.4565
5600.000000 139.344 -146.9501
5700.000000 139.383 -155.6577
5800.000000 138.930 -164.6942
