* Measurement data measured by REW V5.20.13
* Source: C:\Users\marcu\OneDrive\Desktop\audio_db\7Hz Legato SF W1 R.txt
* Format: Comma/Tab/Space delimited data
* Dated: May 29, 2023 8:27:35 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\marcu\OneDrive\Desktop\audio_db\7Hz Legato SF W1 R.txt Format: Comma/Tab/Space delimited data 54613 values loaded, 0 Hz to 20,000 Hz 
* Measurement: 7Hz Legato SF W1 R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	74.092	-61.4159
1.015000	73.922	-62.2154
1.030000	73.747	-62.9958
1.044000	73.577	-63.7055
1.060000	73.375	-64.4930
1.075000	73.179	-65.2069
1.090000	72.975	-65.8956
1.106000	72.748	-66.6171
1.120000	72.540	-67.3240
1.138000	72.261	-68.3435
1.150000	72.067	-69.0802
1.172000	71.697	-70.5201
1.180000	71.558	-71.0647
1.206000	71.094	-72.8741
1.220000	70.836	-73.8532
1.241000	70.440	-75.2941
1.250000	70.267	-75.8924
1.265000	69.976	-76.8517
1.280000	69.682	-77.7504
1.315000	68.986	-79.5250
1.320000	68.885	-79.7334
1.340000	68.483	-80.4312
1.360000	68.081	-80.8846
1.380000	67.679	-81.0574
1.400000	67.281	-80.9130
1.430000	66.692	-80.0222
1.450000	66.308	-78.9258
1.475000	65.832	-76.9033
1.500000	65.307	-73.9564
1.525000	64.732	-70.1576
1.550000	64.120	-65.6399
1.575000	63.486	-60.5362
1.600000	62.846	-54.9795
1.625000	62.213	-49.1028
1.650000	61.602	-43.0389
1.675000	61.027	-36.9209
1.700000	60.503	-30.8816
1.725000	60.045	-25.0542
1.750000	59.667	-19.5714
1.775000	59.383	-14.5662
1.800000	59.208	-10.1717
1.825000	59.157	-6.5207
1.850000	59.248	-3.5777
1.875000	59.489	-0.9955
1.900000	59.861	1.2623
1.925000	60.344	3.2165
1.950000	60.920	4.8879
1.975000	61.569	6.2971
2.000000	62.271	7.4650
2.030000	63.159	8.5771
2.060000	64.062	9.4073
2.090000	64.949	9.9915
2.120000	65.785	10.3655
2.140000	66.298	10.5158
2.180000	67.174	10.6265
2.200000	67.517	10.6067
2.240000	68.098	10.1258
2.270000	68.479	9.3352
2.300000	68.818	8.2329
2.330000	69.121	6.8698
2.360000	69.391	5.2970
2.400000	69.710	2.9620
2.430000	69.924	1.0983
