* Measurement data measured by REW V5.30
* Source: Microphone (USB Sound Device        ), no input selected, R, volume: 0.850. Timing signal peak level -4.2 dBFS, measurement signal peak level -1.5 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Dec 25, 2023 8:32:08 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0254 ms (-8.7 mm, -0.34 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset
* Measurement: R SONUS Dec 25
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 134.138 -172.5712
20.600000 134.115 -173.2044
20.900000 134.086 -173.7762
21.200001 134.059 -174.3479
21.400000 134.042 -174.7315
21.799999 134.012 -175.5013
22.000000 133.998 -175.8837
22.400000 133.971 -176.6325
22.700001 133.951 -177.1723
23.000000 133.930 -177.6902
23.299999 133.909 -178.1892
23.600000 133.886 -178.6737
24.000000 133.855 -179.3044
24.299999 133.830 -179.7692
24.700001 133.797 179.6215
25.000000 133.772 179.1732
25.400000 133.739 178.5880
25.799999 133.706 178.0170
26.200001 133.673 177.4611
26.500000 133.647 177.0558
26.900000 133.612 176.5328
27.200001 133.584 176.1533
27.600000 133.548 175.6596
28.000000 133.513 175.1718
28.500000 133.469 174.5614
29.000000 133.424 173.9551
29.500000 133.378 173.3687
30.000000 133.332 172.8120
30.400000 133.296 172.3845
30.700001 133.270 172.0704
31.100000 133.234 171.6568
31.500000 133.199 171.2496
32.000000 133.153 170.7531
32.500000 133.108 170.2717
33.000000 133.062 169.8019
33.500000 133.016 169.3414
34.000000 132.969 168.8948
34.500000 132.921 168.4683
35.000000 132.875 168.0612
35.500000 132.830 167.6641
36.000000 132.787 167.2664
36.500000 132.743 166.8664
37.000000 132.696 166.4716
37.500000 132.648 166.0921
38.200001 132.582 165.5912
38.700001 132.538 165.2473
39.500000 132.468 164.7064
40.000000 132.423 164.3770
40.599998 132.369 163.9962
41.200001 132.315 163.6289
41.799999 132.262 163.2695
42.500000 132.199 162.8616
43.099998 132.146 162.5262
43.700001 132.093 162.2023
44.400002 132.031 161.8362
45.000000 131.978 161.5350
45.500000 131.935 161.2923
46.200001 131.876 160.9567
46.799999 131.826 160.6701
47.500000 131.767 160.3488
48.200001 131.707 160.0478
48.700001 131.666 159.8390
49.400002 131.608 159.5495
50.000000 131.557 159.3100
50.799999 131.492 159.0080
51.500000 131.435 158.7495
52.200001 131.380 158.4904
53.000000 131.314 158.2057
53.799999 131.248 157.9486
54.500000 131.193 157.7375
55.200001 131.139 157.5201
56.000000 131.076 157.2701
57.000000 130.997 156.9838
58.000000 130.920 156.7115
59.000000 130.844 156.4663
60.000000 130.773 156.2290
60.799999 130.713 156.0364
61.500000 130.659 155.8839
62.200001 130.608 155.7386
63.000000 130.551 155.5712
64.000000 130.480 155.3690
65.000000 130.409 155.1788
66.000000 130.337 155.0099
67.000000 130.269 154.8402
68.000000 130.201 154.6795
69.000000 130.134 154.5369
70.000000 130.067 154.3969
71.000000 130.001 154.2642
72.000000 129.936 154.1352
73.000000 129.871 154.0261
74.000000 129.808 153.9276
75.000000 129.744 153.8288
76.199997 129.669 153.7062
77.500000 129.590 153.5945
78.800003 129.511 153.4959
80.000000 129.439 153.4067
81.199997 129.370 153.3321
82.500000 129.294 153.2544
83.800003 129.220 153.2049
85.000000 129.154 153.1486
86.199997 129.087 153.1013
87.500000 129.016 153.0573
88.500000 128.962 153.0295
90.000000 128.884 153.0018
91.199997 128.821 152.9781
92.500000 128.753 152.9660
93.800003 128.688 152.9589
95.000000 128.628 152.9572
96.199997 128.569 152.9630
97.500000 128.504 152.9662
98.800003 128.443 152.9852
100.000000 128.387 152.9968
101.500000 128.318 153.0251
103.000000 128.249 153.0650
104.400002 128.186 153.1013
106.000000 128.116 153.1450
107.500000 128.051 153.1960
109.000000 127.987 153.2502
110.599998 127.920 153.3193
112.000000 127.862 153.3666
113.800003 127.790 153.4531
115.000000 127.743 153.5189
117.199997 127.656 153.6187
118.000000 127.626 153.6654
120.599998 127.527 153.8289
122.000000 127.476 153.8942
124.099998 127.402 154.0370
125.000000 127.369 154.0864
126.500000 127.315 154.1951
128.000000 127.265 154.2834
131.500000 127.145 154.5338
132.000000 127.130 154.5747
134.000000 127.065 154.7138
136.000000 127.002 154.8615
138.000000 126.940 155.0135
140.000000 126.880 155.1861
143.000000 126.790 155.4209
145.000000 126.733 155.5845
147.500000 126.664 155.7936
150.000000 126.594 156.0128
152.500000 126.528 156.2308
155.000000 126.462 156.4519
157.500000 126.398 156.6655
160.000000 126.337 156.8938
162.500000 126.275 157.1212
165.000000 126.218 157.3504
167.500000 126.160 157.5829
170.000000 126.106 157.8105
172.500000 126.050 158.0435
175.000000 125.998 158.2854
177.500000 125.945 158.5229
180.000000 125.895 158.7558
182.500000 125.846 158.9949
185.000000 125.797 159.2369
187.500000 125.751 159.4763
190.000000 125.705 159.7147
192.500000 125.660 159.9559
195.000000 125.616 160.1929
197.500000 125.575 160.4344
200.000000 125.532 160.6664
203.000000 125.482 160.9645
206.000000 125.435 161.2567
209.000000 125.388 161.5434
212.000000 125.345 161.8201
214.000000 125.315 162.0165
218.000000 125.258 162.4056
220.000000 125.231 162.6016
224.000000 125.177 162.9752
227.000000 125.138 163.2562
230.000000 125.100 163.5580
233.000000 125.064 163.8343
236.000000 125.027 164.1295
240.000000 124.981 164.4977
243.000000 124.948 164.7782
247.000000 124.902 165.1462
250.000000 124.871 165.4280
254.000000 124.829 165.7990
258.000000 124.792 166.1573
262.000000 124.752 166.5421
265.000000 124.726 166.8017
269.000000 124.687 167.1759
272.000000 124.663 167.4468
276.000000 124.628 167.7985
280.000000 124.598 168.1547
285.000000 124.559 168.6023
290.000000 124.519 169.0420
295.000000 124.483 169.4695
300.000000 124.449 169.9113
304.000000 124.422 170.2551
307.000000 124.403 170.5040
311.000000 124.379 170.8481
315.000000 124.354 171.1928
320.000000 124.326 171.6158
325.000000 124.296 172.0255
330.000000 124.269 172.4512
335.000000 124.242 172.8615
340.000000 124.221 173.2749
345.000000 124.197 173.6741
350.000000 124.174 174.0740
355.000000 124.152 174.4951
360.000000 124.132 174.8788
365.000000 124.111 175.2704
370.000000 124.093 175.6642
375.000000 124.076 176.0607
382.000000 124.052 176.6001
387.000000 124.037 176.9930
395.000000 124.012 177.5868
400.000000 123.997 177.9656
406.000000 123.981 178.4301
412.000000 123.967 178.8732
418.000000 123.953 179.3190
425.000000 123.935 179.8404
431.000000 123.923 -179.7372
437.000000 123.912 -179.2891
444.000000 123.900 -178.7870
450.000000 123.891 -178.3537
455.000000 123.882 -177.9995
462.000000 123.873 -177.5011
468.000000 123.866 -177.0697
475.000000 123.854 -176.5665
482.000000 123.850 -176.0853
487.000000 123.844 -175.7506
494.000000 123.840 -175.2402
500.000000 123.835 -174.8299
508.000000 123.831 -174.2908
515.000000 123.830 -173.7875
522.000000 123.827 -173.3053
530.000000 123.826 -172.7727
538.000000 123.826 -172.2334
545.000000 123.826 -171.7568
552.000000 123.828 -171.2968
560.000000 123.827 -170.7445
570.000000 123.833 -170.0858
580.000000 123.839 -169.3995
590.000000 123.846 -168.7415
600.000000 123.855 -168.0951
608.000000 123.864 -167.5487
615.000000 123.871 -167.0873
622.000000 123.879 -166.6317
630.000000 123.890 -166.1118
640.000000 123.908 -165.4298
650.000000 123.921 -164.7700
660.000000 123.941 -164.1213
670.000000 123.958 -163.4654
680.000000 123.981 -162.8165
690.000000 124.003 -162.1454
700.000000 124.027 -161.4865
710.000000 124.055 -160.8218
720.000000 124.084 -160.1802
730.000000 124.112 -159.5153
740.000000 124.146 -158.8532
750.000000 124.177 -158.1948
762.000000 124.226 -157.3991
775.000000 124.276 -156.5272
788.000000 124.327 -155.6866
800.000000 124.385 -154.8728
812.000000 124.441 -154.0815
825.000000 124.506 -153.2208
838.000000 124.581 -152.3533
850.000000 124.655 -151.5497
862.000000 124.733 -150.7371
875.000000 124.826 -149.8602
885.000000 124.906 -149.2365
900.000000 125.032 -148.2728
912.000000 125.144 -147.5570
925.000000 125.276 -146.8372
938.000000 125.410 -146.2166
950.000000 125.540 -145.6897
962.000000 125.668 -145.2482
975.000000 125.808 -144.8531
988.000000 125.937 -144.5078
1000.000000 126.054 -144.2254
1015.000000 126.197 -143.9111
1030.000000 126.335 -143.6178
1044.000000 126.458 -143.3829
1060.000000 126.596 -143.1159
1075.000000 126.725 -142.8954
1090.000000 126.851 -142.6879
1106.000000 126.987 -142.4841
1120.000000 127.100 -142.3472
1138.000000 127.247 -142.1742
1150.000000 127.342 -142.0868
1172.000000 127.517 -141.9218
1180.000000 127.579 -141.8816
1206.000000 127.778 -141.7874
1220.000000 127.883 -141.7720
1241.000000 128.037 -141.7405
1250.000000 128.103 -141.7278
1265.000000 128.211 -141.7431
1280.000000 128.318 -141.7569
1315.000000 128.557 -141.8645
1320.000000 128.591 -141.8870
1340.000000 128.727 -141.9652
1360.000000 128.857 -142.0691
1380.000000 128.990 -142.1966
1400.000000 129.118 -142.3329
1430.000000 129.305 -142.5782
1450.000000 129.432 -142.7726
1475.000000 129.583 -143.0384
1500.000000 129.734 -143.3403
1525.000000 129.883 -143.6683
1550.000000 130.030 -144.0340
1575.000000 130.172 -144.4490
1600.000000 130.313 -144.8848
1625.000000 130.450 -145.3470
1650.000000 130.586 -145.8546
1675.000000 130.715 -146.4129
1700.000000 130.841 -147.0067
1725.000000 130.962 -147.6321
1750.000000 131.079 -148.2887
1775.000000 131.191 -148.9929
1800.000000 131.297 -149.7258
1825.000000 131.395 -150.4957
1850.000000 131.489 -151.2912
1875.000000 131.577 -152.1123
1900.000000 131.654 -152.9709
1925.000000 131.723 -153.8464
1950.000000 131.788 -154.7452
1975.000000 131.840 -155.6507
2000.000000 131.888 -156.5647
2030.000000 131.932 -157.6516
2060.000000 131.964 -158.7493
2090.000000 131.986 -159.8285
2120.000000 131.997 -160.8956
2140.000000 131.996 -161.5921
2180.000000 131.985 -162.9563
2200.000000 131.970 -163.6039
2240.000000 131.935 -164.8706
2270.000000 131.899 -165.7568
2300.000000 131.855 -166.5795
2330.000000 131.805 -167.3811
2360.000000 131.750 -168.1217
2400.000000 131.671 -169.0031
2430.000000 131.608 -169.6098
2470.000000 131.520 -170.3324
2500.000000 131.453 -170.8220
2540.000000 131.362 -171.3878
2580.000000 131.270 -171.8585
2620.000000 131.182 -172.2446
2650.000000 131.115 -172.5029
2690.000000 131.031 -172.7472
2720.000000 130.972 -172.9102
2760.000000 130.895 -173.0499
2800.000000 130.826 -173.1441
2850.000000 130.747 -173.1973
2900.000000 130.676 -173.1671
2950.000000 130.618 -173.1141
3000.000000 130.573 -172.9991
3040.000000 130.544 -172.8665
3070.000000 130.528 -172.7646
3110.000000 130.512 -172.6212
3150.000000 130.507 -172.4944
3200.000000 130.506 -172.3090
3250.000000 130.521 -172.1234
3300.000000 130.547 -171.9603
3350.000000 130.584 -171.8212
3400.000000 130.634 -171.7103
3450.000000 130.692 -171.6575
3500.000000 130.762 -171.6622
3550.000000 130.842 -171.7353
3600.000000 130.930 -171.8636
3650.000000 131.026 -172.0895
3700.000000 131.127 -172.4090
3750.000000 131.236 -172.8369
3820.000000 131.388 -173.6232
3870.000000 131.498 -174.3368
3950.000000 131.668 -175.7428
4000.000000 131.768 -176.8229
4060.000000 131.870 -178.2954
4120.000000 131.953 -179.9088
4180.000000 132.010 178.2497
4250.000000 132.033 175.9412
4310.000000 132.011 173.8578
4370.000000 131.949 171.7262
4440.000000 131.822 169.2513
4500.000000 131.666 167.2067
4550.000000 131.501 165.5699
4620.000000 131.234 163.5067
4680.000000 130.966 161.9496
4750.000000 130.620 160.4477
4820.000000 130.252 159.2971
4870.000000 129.979 158.6921
4940.000000 129.586 158.1131
5000.000000 129.254 157.9451
5080.000000 128.815 157.9883
5150.000000 128.444 158.3439
5220.000000 128.089 158.9292
5300.000000 127.705 159.8248
5380.000000 127.348 160.9739
5450.000000 127.049 162.1282
5520.000000 126.778 163.4520
