* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Dec 11, 2024 9:34:50 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R 81T 465
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 126.116 175.4505
20.600000 126.099 174.7371
20.900000 126.077 174.1097
21.200001 126.058 173.4876
21.400000 126.048 173.0646
21.799999 126.032 172.1922
22.000000 126.025 171.7447
22.400000 126.008 170.8455
22.700001 125.992 170.1901
23.000000 125.974 169.5678
23.299999 125.955 168.9781
23.600000 125.935 168.4099
24.000000 125.911 167.6613
24.299999 125.891 167.0917
24.700001 125.863 166.3209
25.000000 125.839 165.7471
25.400000 125.807 165.0082
25.799999 125.777 164.3072
26.200001 125.753 163.6273
26.500000 125.738 163.1153
26.900000 125.716 162.4201
27.200001 125.696 161.8956
27.600000 125.663 161.2126
28.000000 125.626 160.5694
28.500000 125.581 159.8185
29.000000 125.543 159.0798
29.500000 125.508 158.3147
30.000000 125.470 157.5369
30.400000 125.436 156.9345
30.700001 125.410 156.5022
31.100000 125.376 155.9441
31.500000 125.344 155.3887
32.000000 125.305 154.6780
32.500000 125.262 153.9590
33.000000 125.215 153.2628
33.500000 125.169 152.6008
34.000000 125.126 151.9555
34.500000 125.085 151.3106
35.000000 125.042 150.6723
35.500000 125.000 150.0543
36.000000 124.958 149.4520
36.500000 124.917 148.8487
37.000000 124.874 148.2420
37.500000 124.827 147.6482
38.200001 124.761 146.8508
38.700001 124.719 146.2841
39.500000 124.650 145.3630
40.000000 124.605 144.8089
40.599998 124.550 144.1831
41.200001 124.497 143.5762
41.799999 124.443 142.9693
42.500000 124.382 142.2554
43.099998 124.330 141.6162
43.700001 124.275 140.9533
44.400002 124.204 140.2269
45.000000 124.149 139.6820
45.500000 124.109 139.2411
46.200001 124.055 138.5910
46.799999 124.001 138.0383
47.500000 123.937 137.4406
48.200001 123.879 136.8267
48.700001 123.836 136.3605
49.400002 123.769 135.7292
50.000000 123.712 135.2372
50.799999 123.639 134.5952
51.500000 123.576 134.0140
52.200001 123.514 133.4233
53.000000 123.446 132.7613
53.799999 123.383 132.1800
54.500000 123.336 131.7125
55.200001 123.287 131.1886
56.000000 123.212 130.5388
57.000000 123.110 129.7683
58.000000 123.024 128.9962
59.000000 122.942 128.3015
60.000000 122.862 127.6756
60.799999 122.790 127.1580
61.500000 122.729 126.6992
62.200001 122.677 126.2082
63.000000 122.619 125.6293
64.000000 122.542 125.0360
65.000000 122.469 124.4453
66.000000 122.378 123.7520
67.000000 122.294 123.1844
68.000000 122.227 122.5809
69.000000 122.141 121.9599
70.000000 122.064 121.4230
71.000000 121.997 120.8448
72.000000 121.915 120.2774
73.000000 121.836 119.7828
74.000000 121.773 119.2939
75.000000 121.703 118.8055
76.199997 121.607 118.1070
77.500000 121.500 117.3055
78.800003 121.432 116.7120
80.000000 121.315 116.1327
81.199997 121.231 115.6080
82.500000 121.157 115.1155
83.800003 121.104 114.5316
85.000000 120.986 113.7808
86.199997 120.909 113.4623
87.500000 120.840 112.7924
88.500000 120.761 112.2828
90.000000 120.681 111.6612
91.199997 120.598 111.1736
92.500000 120.514 110.7576
93.800003 120.435 110.2118
95.000000 120.360 109.6434
96.199997 120.288 109.1536
97.500000 120.211 108.6878
98.800003 120.131 108.2000
100.000000 120.043 107.7753
101.500000 119.993 107.0888
103.000000 119.908 106.7620
104.400002 119.778 105.9916
106.000000 119.882 105.2581
107.500000 119.674 104.7155
109.000000 119.568 104.8501
110.599998 119.457 103.9690
112.000000 119.401 103.7259
113.800003 119.317 102.8548
115.000000 119.274 102.7513
117.199997 119.123 102.0016
118.000000 119.143 101.3668
120.599998 119.158 102.7250
122.000000 118.841 100.5312
124.099998 118.826 100.1533
125.000000 118.779 99.9810
126.500000 118.702 99.0679
128.000000 118.655 98.9169
131.500000 118.490 98.0032
132.000000 118.468 97.8490
134.000000 118.379 97.3158
136.000000 118.274 96.8265
138.000000 118.204 96.2506
140.000000 118.121 95.8694
143.000000 117.996 95.0640
145.000000 117.925 94.6187
147.500000 117.846 94.0883
150.000000 117.746 93.3684
152.500000 117.646 92.8912
155.000000 117.554 92.3104
157.500000 117.475 91.9164
160.000000 117.410 91.3930
162.500000 117.330 90.8234
165.000000 117.223 90.4738
167.500000 117.162 89.9081
170.000000 117.062 89.3924
172.500000 117.005 88.8388
175.000000 116.931 88.5288
177.500000 116.838 87.7606
180.000000 116.787 87.4341
182.500000 116.746 86.8616
185.000000 116.714 86.5297
187.500000 116.588 86.7356
190.000000 116.488 85.8486
192.500000 116.484 84.6402
195.000000 116.420 85.8182
197.500000 116.376 84.1092
200.000000 116.263 84.6237
203.000000 116.237 83.6533
206.000000 116.146 83.6149
209.000000 116.136 82.8832
212.000000 116.043 82.7671
214.000000 116.007 82.3474
218.000000 115.917 81.6906
220.000000 115.895 81.6468
224.000000 115.792 80.8651
227.000000 115.771 80.6183
230.000000 115.668 80.1906
233.000000 115.650 79.8074
236.000000 115.603 79.4994
240.000000 115.515 78.8538
243.000000 115.513 78.6431
247.000000 115.409 78.2533
250.000000 115.398 78.0640
254.000000 115.305 77.3433
258.000000 115.292 77.0022
262.000000 115.228 76.5317
265.000000 115.181 76.5686
269.000000 115.172 75.9178
272.000000 115.112 75.9869
276.000000 115.079 75.1656
280.000000 115.005 75.1726
285.000000 114.980 74.6236
290.000000 114.953 74.0397
295.000000 114.877 73.6369
300.000000 114.812 73.4009
304.000000 114.780 72.8818
307.000000 114.774 73.0021
311.000000 114.724 72.5228
315.000000 114.714 72.1338
320.000000 114.661 71.6637
325.000000 114.628 71.5855
330.000000 114.588 71.1386
335.000000 114.580 70.9971
340.000000 114.554 70.7791
345.000000 114.538 70.2847
350.000000 114.537 70.0159
355.000000 114.469 69.7849
360.000000 114.475 69.4505
365.000000 114.423 69.2551
370.000000 114.424 68.9397
375.000000 114.410 68.9126
382.000000 114.398 68.2757
387.000000 114.379 68.1381
395.000000 114.349 67.9080
400.000000 114.341 67.6263
406.000000 114.306 67.5728
412.000000 114.311 67.2897
418.000000 114.312 67.0631
425.000000 114.303 66.7668
431.000000 114.279 66.6503
437.000000 114.279 66.2368
444.000000 114.264 66.1855
450.000000 114.294 65.9362
455.000000 114.286 65.9952
462.000000 114.258 65.8428
468.000000 114.259 65.6571
475.000000 114.270 65.3009
482.000000 114.261 65.2716
487.000000 114.271 65.1983
494.000000 114.263 65.2036
500.000000 114.274 64.9452
508.000000 114.288 65.0850
515.000000 114.293 64.9266
522.000000 114.274 64.9956
530.000000 114.288 64.6747
538.000000 114.332 64.6181
545.000000 114.318 64.7372
552.000000 114.335 64.5863
560.000000 114.381 64.8119
570.000000 114.404 64.6767
580.000000 114.429 64.5554
590.000000 114.415 64.7763
600.000000 114.498 64.9383
608.000000 114.503 64.8542
615.000000 114.530 64.8413
622.000000 114.575 64.7251
630.000000 114.582 64.7155
640.000000 114.601 64.8378
650.000000 114.643 64.8670
660.000000 114.695 64.8607
670.000000 114.754 65.0021
680.000000 114.804 65.1795
690.000000 114.831 65.0766
700.000000 114.904 65.3509
710.000000 114.922 65.0124
720.000000 114.983 65.3288
730.000000 115.024 65.3327
740.000000 115.065 65.6608
750.000000 115.117 65.6888
762.000000 115.182 65.8742
775.000000 115.246 66.1563
788.000000 115.321 66.4110
800.000000 115.374 66.4069
812.000000 115.488 66.6328
825.000000 115.540 66.9769
838.000000 115.666 67.0641
850.000000 115.744 67.4445
862.000000 115.833 67.4497
875.000000 115.945 67.8930
885.000000 115.999 67.7197
900.000000 116.148 68.1648
912.000000 116.242 68.3183
925.000000 116.362 68.3521
938.000000 116.466 68.6450
950.000000 116.561 68.8353
962.000000 116.689 69.0176
975.000000 116.805 69.1425
988.000000 116.928 69.1000
1000.000000 117.060 69.4093
1015.000000 117.176 69.2698
1030.000000 117.320 69.1561
1044.000000 117.454 69.2110
1060.000000 117.610 69.1491
1075.000000 117.776 68.9079
1090.000000 117.873 68.7818
1106.000000 118.038 68.7374
1120.000000 118.155 68.5648
1138.000000 118.356 68.3288
1150.000000 118.468 68.3469
1172.000000 118.639 67.9822
1180.000000 118.707 67.6361
1206.000000 118.956 67.3006
1220.000000 119.030 66.9510
1241.000000 119.227 66.5947
1250.000000 119.311 66.2843
1265.000000 119.419 65.9643
1280.000000 119.516 65.5637
1315.000000 119.769 64.7730
1320.000000 119.801 64.5675
1340.000000 119.925 64.1509
1360.000000 120.054 63.6599
1380.000000 120.180 63.0146
1400.000000 120.305 62.4897
1430.000000 120.457 61.8170
1450.000000 120.561 61.3781
1475.000000 120.696 60.9305
1500.000000 120.810 60.3364
1525.000000 120.944 59.7890
1550.000000 121.041 59.2965
1575.000000 121.160 58.7576
1600.000000 121.301 58.2686
1625.000000 121.406 57.6233
1650.000000 121.512 57.1719
1675.000000 121.628 56.7664
1700.000000 121.735 56.3692
1725.000000 121.851 55.6752
1750.000000 121.972 55.2324
1775.000000 122.073 54.7088
1800.000000 122.187 54.2385
1825.000000 122.295 53.6286
1850.000000 122.368 53.1342
1875.000000 122.492 52.5869
1900.000000 122.598 52.1725
1925.000000 122.690 51.5382
1950.000000 122.804 50.9972
1975.000000 122.912 50.4459
2000.000000 123.002 49.5653
2030.000000 123.137 49.1766
2060.000000 123.245 48.4318
2090.000000 123.368 47.6674
2120.000000 123.472 46.8888
2140.000000 123.545 46.3503
2180.000000 123.695 45.2298
2200.000000 123.762 44.6099
2240.000000 123.884 43.5348
2270.000000 123.974 42.8254
2300.000000 124.075 41.7676
2330.000000 124.161 40.8755
2360.000000 124.222 40.0229
2400.000000 124.323 38.7049
2430.000000 124.402 37.7148
2470.000000 124.473 36.4211
2500.000000 124.529 35.5039
2540.000000 124.595 34.2631
2580.000000 124.636 32.7542
2620.000000 124.671 31.6958
2650.000000 124.705 30.6938
2690.000000 124.713 29.3806
2720.000000 124.727 28.4908
2760.000000 124.735 27.3020
2800.000000 124.737 26.0780
2850.000000 124.724 24.7084
2900.000000 124.695 23.2397
2950.000000 124.659 21.9593
3000.000000 124.619 20.5457
3040.000000 124.580 19.7444
3070.000000 124.544 18.9598
3110.000000 124.505 18.0496
3150.000000 124.462 17.1549
3200.000000 124.394 16.1302
3250.000000 124.328 15.1869
3300.000000 124.234 14.2369
3350.000000 124.168 13.3288
3400.000000 124.083 12.4376
3450.000000 124.016 11.8439
3500.000000 123.922 10.9794
3550.000000 123.828 10.3210
3600.000000 123.750 9.7753
3650.000000 123.645 9.0201
3700.000000 123.520 8.6869
3750.000000 123.423 8.4063
3820.000000 123.253 8.3297
3870.000000 123.161 8.6458
3950.000000 123.088 9.1710
4000.000000 123.110 9.4820
4060.000000 123.203 9.8592
4120.000000 123.316 9.3999
4180.000000 123.426 8.7605
4250.000000 123.500 7.6503
4310.000000 123.531 6.5294
4370.000000 123.523 5.2388
4440.000000 123.261 3.7882
4500.000000 123.268 3.8376
4550.000000 123.212 3.1479
4620.000000 123.111 2.4286
4680.000000 122.996 1.8119
4750.000000 122.859 1.3101
4820.000000 122.744 0.9118
4870.000000 122.648 0.8388
4940.000000 122.510 1.0552
5000.000000 122.410 1.1654
5080.000000 122.274 1.4920
5150.000000 122.198 2.1247
5220.000000 122.153 2.6015
5300.000000 122.103 3.0609
5380.000000 122.095 3.7749
5450.000000 122.114 4.3645
5520.000000 122.163 4.5383
5600.000000 122.196 4.6553
5700.000000 122.322 4.7195
5800.000000 122.388 4.2215
5900.000000 122.423 3.5616
6000.000000 122.416 2.7938
6080.000000 122.321 2.3742
6150.000000 122.280 1.7712
6220.000000 122.155 1.3148
6300.000000 122.085 1.2331
6400.000000 121.911 0.9522
6500.000000 121.710 1.1312
6600.000000 121.587 1.4601
6700.000000 121.411 2.1609
6800.000000 121.309 3.0936
6900.000000 121.235 3.9579
7000.000000 121.191 5.0900
7100.000000 121.173 6.2821
7200.000000 121.250 7.3274
