* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Dec 20, 2024 1:10:34 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L ADONIS NEW 476
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 127.157 24.5601
20.600000 127.168 23.7500
20.900000 127.172 23.0301
21.200001 127.177 22.3203
21.400000 127.181 21.8460
21.799999 127.194 20.8915
22.000000 127.200 20.4131
22.400000 127.213 19.4663
22.700001 127.221 18.7777
23.000000 127.227 18.1152
23.299999 127.231 17.4762
23.600000 127.234 16.8539
24.000000 127.234 16.0381
24.299999 127.232 15.4315
24.700001 127.227 14.6318
25.000000 127.222 14.0440
25.400000 127.217 13.2806
25.799999 127.214 12.5375
26.200001 127.214 11.8075
26.500000 127.213 11.2671
26.900000 127.210 10.5594
27.200001 127.205 10.0420
27.600000 127.196 9.3711
28.000000 127.185 8.7146
28.500000 127.170 7.8974
29.000000 127.151 7.0800
29.500000 127.130 6.2819
30.000000 127.110 5.5236
30.400000 127.095 4.9431
30.700001 127.085 4.5154
31.100000 127.072 3.9468
31.500000 127.058 3.3791
32.000000 127.035 2.6817
32.500000 127.010 2.0121
33.000000 126.987 1.3683
33.500000 126.966 0.7332
34.000000 126.945 0.0946
34.500000 126.921 -0.5373
35.000000 126.893 -1.1397
35.500000 126.864 -1.7013
36.000000 126.837 -2.2393
36.500000 126.812 -2.7846
37.000000 126.787 -3.3511
37.500000 126.758 -3.9214
38.200001 126.715 -4.6750
38.700001 126.686 -5.1746
39.500000 126.642 -5.9463
40.000000 126.613 -6.4173
40.599998 126.576 -6.9660
41.200001 126.540 -7.5119
41.799999 126.504 -8.0721
42.500000 126.459 -8.7254
43.099998 126.421 -9.2532
43.700001 126.384 -9.7453
44.400002 126.342 -10.2914
45.000000 126.304 -10.7561
45.500000 126.271 -11.1529
46.200001 126.221 -11.7104
46.799999 126.178 -12.1539
47.500000 126.136 -12.6302
48.200001 126.101 -13.1345
48.700001 126.072 -13.5203
49.400002 126.022 -14.0291
50.000000 125.980 -14.4124
50.799999 125.929 -14.9242
51.500000 125.878 -15.3811
52.200001 125.824 -15.8008
53.000000 125.771 -16.2984
53.799999 125.719 -16.8210
54.500000 125.679 -17.2010
55.200001 125.647 -17.5609
56.000000 125.599 -18.0304
57.000000 125.516 -18.5367
58.000000 125.453 -19.0396
59.000000 125.385 -19.5918
60.000000 125.317 -20.0143
60.799999 125.267 -20.3921
61.500000 125.217 -20.7403
62.200001 125.172 -21.0429
63.000000 125.130 -21.3907
64.000000 125.070 -21.8973
65.000000 124.990 -22.3045
66.000000 124.929 -22.6253
67.000000 124.876 -23.0423
68.000000 124.806 -23.4426
69.000000 124.738 -23.7875
70.000000 124.676 -24.1704
71.000000 124.619 -24.5222
72.000000 124.565 -24.8403
73.000000 124.498 -25.1471
74.000000 124.431 -25.4282
75.000000 124.375 -25.7448
76.199997 124.309 -26.1279
77.500000 124.222 -26.4900
78.800003 124.145 -26.8419
80.000000 124.074 -27.1930
81.199997 124.007 -27.4265
82.500000 123.930 -27.6889
83.800003 123.863 -28.0846
85.000000 123.788 -28.3690
86.199997 123.724 -28.5740
87.500000 123.644 -28.8970
88.500000 123.583 -29.1011
90.000000 123.509 -29.3712
91.199997 123.439 -29.6245
92.500000 123.380 -29.8360
93.800003 123.299 -30.0989
95.000000 123.242 -30.2366
96.199997 123.178 -30.5286
97.500000 123.107 -30.6922
98.800003 123.041 -30.9019
100.000000 122.983 -31.0470
101.500000 122.903 -31.2835
103.000000 122.851 -31.5711
104.400002 122.747 -31.7807
106.000000 122.683 -31.8846
107.500000 122.598 -32.0074
109.000000 122.553 -32.0200
110.599998 122.478 -32.4610
112.000000 122.359 -32.5697
113.800003 122.285 -32.6663
115.000000 122.253 -32.8111
117.199997 122.196 -32.8450
118.000000 122.123 -33.0464
120.599998 121.970 -33.3616
122.000000 121.936 -33.2794
124.099998 121.843 -33.5036
125.000000 121.803 -33.6207
126.500000 121.750 -33.6136
128.000000 121.677 -33.7621
131.500000 121.528 -33.9719
132.000000 121.505 -34.0015
134.000000 121.428 -34.0002
136.000000 121.348 -34.1147
138.000000 121.270 -34.1955
140.000000 121.178 -34.2802
143.000000 121.071 -34.3087
145.000000 120.993 -34.4200
147.500000 120.906 -34.4463
150.000000 120.810 -34.4547
152.500000 120.728 -34.5611
155.000000 120.635 -34.5375
157.500000 120.545 -34.6359
160.000000 120.449 -34.5971
162.500000 120.370 -34.6517
165.000000 120.295 -34.6663
167.500000 120.197 -34.5578
170.000000 120.123 -34.5796
172.500000 120.047 -34.6218
175.000000 119.969 -34.6488
177.500000 119.894 -34.5642
180.000000 119.816 -34.5346
182.500000 119.747 -34.5271
185.000000 119.662 -34.3840
187.500000 119.603 -34.3072
190.000000 119.525 -34.3392
192.500000 119.455 -34.2665
195.000000 119.361 -34.1753
197.500000 119.306 -34.0874
200.000000 119.245 -34.0538
203.000000 119.168 -34.1679
206.000000 119.094 -33.9348
209.000000 119.015 -33.9168
212.000000 118.928 -33.5609
214.000000 118.881 -33.6085
218.000000 118.773 -33.5046
220.000000 118.726 -33.6903
224.000000 118.655 -33.0653
227.000000 118.574 -33.1898
230.000000 118.496 -33.0114
233.000000 118.442 -32.9651
236.000000 118.367 -32.8932
240.000000 118.251 -32.6200
243.000000 118.193 -32.4589
247.000000 118.126 -32.1792
250.000000 118.049 -31.9676
254.000000 117.974 -32.0389
258.000000 117.886 -31.7991
262.000000 117.833 -31.5840
265.000000 117.763 -31.3674
269.000000 117.698 -31.2135
272.000000 117.635 -31.1350
276.000000 117.563 -30.8407
280.000000 117.477 -30.7455
285.000000 117.409 -30.4326
290.000000 117.301 -30.1770
295.000000 117.228 -29.8382
300.000000 117.139 -29.4788
304.000000 117.086 -29.3746
307.000000 117.037 -29.2373
311.000000 116.962 -29.0379
315.000000 116.897 -28.6738
320.000000 116.846 -28.4564
325.000000 116.774 -28.2516
330.000000 116.689 -27.8207
335.000000 116.609 -27.6440
340.000000 116.544 -27.2914
345.000000 116.461 -26.9381
350.000000 116.409 -26.7105
355.000000 116.343 -26.3284
360.000000 116.298 -26.1901
365.000000 116.199 -25.9421
370.000000 116.134 -25.5718
375.000000 116.074 -25.2127
382.000000 115.995 -24.7793
387.000000 115.926 -24.3626
395.000000 115.856 -24.0279
400.000000 115.785 -23.7792
406.000000 115.718 -23.2853
412.000000 115.651 -23.0698
418.000000 115.589 -22.5509
425.000000 115.494 -22.3143
431.000000 115.430 -21.9350
437.000000 115.381 -21.1793
444.000000 115.349 -20.6496
450.000000 115.266 -20.4325
455.000000 115.227 -20.0790
462.000000 115.092 -19.4639
468.000000 115.061 -19.4336
475.000000 115.076 -19.0976
482.000000 114.985 -19.4769
487.000000 114.839 -18.3016
494.000000 114.800 -17.7670
500.000000 114.841 -16.5600
508.000000 114.634 -17.2005
515.000000 114.743 -16.1972
522.000000 114.600 -15.8464
530.000000 114.539 -15.3500
538.000000 114.484 -14.4850
545.000000 114.398 -14.0572
552.000000 114.352 -12.9533
560.000000 114.341 -12.7179
570.000000 114.207 -12.1848
580.000000 114.091 -10.9942
590.000000 114.141 -9.6136
600.000000 114.027 -9.2183
608.000000 113.984 -8.1084
615.000000 113.986 -7.4613
622.000000 113.986 -6.7982
630.000000 113.978 -5.7177
640.000000 113.989 -4.9491
650.000000 113.971 -3.7228
660.000000 114.057 -2.3824
670.000000 114.046 -1.8541
680.000000 114.060 -1.5276
690.000000 114.148 -0.4154
700.000000 114.198 0.1223
710.000000 114.265 0.8012
720.000000 114.315 1.0638
730.000000 114.333 1.2404
740.000000 114.365 1.2896
750.000000 114.361 1.7844
762.000000 114.367 2.0751
775.000000 114.362 2.8585
788.000000 114.354 3.0813
800.000000 114.324 3.6350
812.000000 114.361 4.1900
825.000000 114.332 4.7682
838.000000 114.370 5.6446
850.000000 114.324 5.7646
862.000000 114.342 6.6015
875.000000 114.345 7.0201
885.000000 114.371 7.8802
900.000000 114.397 8.6153
912.000000 114.408 9.0826
925.000000 114.406 9.7568
938.000000 114.442 10.3853
950.000000 114.476 10.9026
962.000000 114.482 11.4576
975.000000 114.541 12.1131
988.000000 114.604 12.7407
1000.000000 114.594 13.3621
1015.000000 114.671 13.7657
1030.000000 114.765 14.3875
1044.000000 114.793 14.9445
1060.000000 114.842 15.5159
1075.000000 114.953 15.9421
1090.000000 114.957 16.3210
1106.000000 115.063 16.6161
1120.000000 115.083 17.0944
1138.000000 115.216 17.4941
1150.000000 115.218 17.6651
1172.000000 115.295 17.9936
1180.000000 115.325 18.1216
1206.000000 115.413 18.6732
1220.000000 115.448 18.7475
1241.000000 115.531 18.8394
1250.000000 115.534 19.1093
1265.000000 115.575 19.2815
1280.000000 115.618 19.5689
1315.000000 115.673 19.9365
1320.000000 115.706 19.7438
1340.000000 115.694 20.0989
1360.000000 115.723 20.3290
1380.000000 115.735 20.5890
1400.000000 115.784 20.9523
1430.000000 115.802 21.6293
1450.000000 115.816 21.7883
1475.000000 115.862 22.4908
1500.000000 115.890 22.8183
1525.000000 115.949 22.9833
1550.000000 115.966 23.6444
1575.000000 116.021 23.9798
1600.000000 116.015 24.5561
1625.000000 116.104 25.1612
1650.000000 116.134 25.5905
1675.000000 116.175 26.3219
1700.000000 116.224 26.4914
1725.000000 116.253 27.0264
1750.000000 116.313 27.6713
1775.000000 116.403 28.0149
1800.000000 116.447 28.5682
1825.000000 116.477 28.9978
1850.000000 116.550 29.6380
1875.000000 116.596 30.0344
1900.000000 116.681 30.5861
1925.000000 116.796 30.9114
1950.000000 116.841 31.5346
1975.000000 116.921 31.8638
2000.000000 117.005 31.8283
2030.000000 117.127 32.8024
2060.000000 117.277 33.2816
2090.000000 117.363 33.7705
2120.000000 117.475 34.1002
2140.000000 117.592 34.3933
2180.000000 117.766 34.7206
2200.000000 117.865 34.7767
2240.000000 118.042 35.1035
2270.000000 118.191 35.3538
2300.000000 118.315 35.3329
2330.000000 118.464 35.5090
2360.000000 118.590 35.5248
2400.000000 118.823 35.4538
2430.000000 118.970 35.3527
2470.000000 119.165 35.0716
2500.000000 119.334 34.5448
2540.000000 119.523 33.9433
2580.000000 119.720 33.2544
2620.000000 119.893 32.4531
2650.000000 120.022 31.6375
2690.000000 120.200 30.7091
2720.000000 120.290 29.7712
2760.000000 120.428 28.5467
2800.000000 120.538 27.1083
2850.000000 120.606 25.4101
2900.000000 120.664 23.5120
2950.000000 120.688 21.5906
3000.000000 120.682 19.5722
3040.000000 120.581 18.0951
3070.000000 120.542 16.9308
3110.000000 120.422 15.6424
3150.000000 120.293 14.3777
3200.000000 120.100 13.0808
3250.000000 119.878 11.8382
3300.000000 119.659 10.6748
3350.000000 119.390 10.2443
3400.000000 119.077 9.8136
3450.000000 118.843 9.6747
3500.000000 118.549 9.6346
3550.000000 118.234 10.3152
3600.000000 117.993 11.1391
3650.000000 117.767 12.4754
3700.000000 117.584 13.8681
3750.000000 117.420 15.3135
3820.000000 117.308 17.6648
3870.000000 117.228 19.3173
3950.000000 117.185 22.0204
4000.000000 117.240 23.5980
4060.000000 117.259 26.0013
4120.000000 117.371 28.3814
4180.000000 117.544 30.6446
4250.000000 117.865 32.7725
4310.000000 118.207 34.5239
4370.000000 118.586 35.7187
4440.000000 119.085 36.4520
4500.000000 119.547 36.6427
4550.000000 119.857 36.1495
4620.000000 120.315 35.1123
4680.000000 120.656 33.9751
4750.000000 121.016 32.2106
4820.000000 121.309 29.8952
4870.000000 121.503 28.1421
4940.000000 121.653 25.6800
5000.000000 121.742 23.4245
5080.000000 121.800 19.8037
5150.000000 121.720 17.0625
5220.000000 121.609 14.5874
5300.000000 121.380 12.1343
5380.000000 121.116 9.6870
5450.000000 120.844 8.1019
5520.000000 120.524 6.8889
5600.000000 120.140 5.8770
5700.000000 119.685 5.2790
5800.000000 119.251 5.0956
5900.000000 118.798 5.5077
