* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.850
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Jul 11, 2024 5:57:57 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R EXPLORER Jul 11
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 143.520 -166.0156
20.600000 143.519 -166.7823
20.900000 143.511 -167.4636
21.200001 143.504 -168.1362
21.400000 143.500 -168.5867
21.799999 143.497 -169.4980
22.000000 143.496 -169.9587
22.400000 143.496 -170.8810
22.700001 143.494 -171.5599
23.000000 143.490 -172.2151
23.299999 143.485 -172.8419
23.600000 143.478 -173.4429
24.000000 143.469 -174.2170
24.299999 143.461 -174.7908
24.700001 143.451 -175.5601
25.000000 143.443 -176.1420
25.400000 143.431 -176.9162
25.799999 143.417 -177.6721
26.200001 143.404 -178.3966
26.500000 143.394 -178.9194
26.900000 143.383 -179.5985
27.200001 143.374 179.8959
27.600000 143.360 179.2178
28.000000 143.342 178.5376
28.500000 143.313 177.7091
29.000000 143.285 176.9313
29.500000 143.264 176.1941
30.000000 143.248 175.4598
30.400000 143.233 174.8662
30.700001 143.217 174.4268
31.100000 143.192 173.8626
31.500000 143.165 173.3181
32.000000 143.137 172.6212
32.500000 143.112 171.8713
33.000000 143.084 171.1268
33.500000 143.056 170.4889
34.000000 143.036 169.9560
34.500000 143.020 169.3937
35.000000 142.986 168.7222
35.500000 142.925 168.0393
36.000000 142.870 167.4677
36.500000 142.865 166.9094
37.000000 142.910 166.1073
37.500000 142.945 165.0316
38.200001 142.886 163.7658
38.700001 142.793 163.4995
39.500000 142.707 163.6156
40.000000 142.688 163.3369
40.599998 142.643 162.5687
41.200001 142.577 161.7903
41.799999 142.535 161.1917
42.500000 142.514 160.5386
43.099998 142.479 159.9725
43.700001 142.428 159.4622
44.400002 142.375 158.8619
45.000000 142.338 158.2874
45.500000 142.308 157.8148
46.200001 142.268 157.2094
46.799999 142.229 156.7134
47.500000 142.178 156.1370
48.200001 142.127 155.5665
48.700001 142.096 155.1600
49.400002 142.057 154.6026
50.000000 142.021 154.1403
50.799999 141.965 153.5340
51.500000 141.914 153.0274
52.200001 141.870 152.5215
53.000000 141.821 151.9044
53.799999 141.763 151.3433
54.500000 141.717 150.8940
55.200001 141.675 150.3701
56.000000 141.613 149.7480
57.000000 141.534 149.1414
58.000000 141.477 148.5571
59.000000 141.422 147.8679
60.000000 141.354 147.2010
60.799999 141.300 146.7869
61.500000 141.260 146.4358
62.200001 141.218 146.0345
63.000000 141.163 145.5710
64.000000 141.102 145.0125
65.000000 141.039 144.4456
66.000000 140.972 143.9406
67.000000 140.914 143.4401
68.000000 140.858 142.8807
69.000000 140.784 142.3708
70.000000 140.718 141.9628
71.000000 140.667 141.4428
72.000000 140.609 140.9840
73.000000 140.547 140.5181
74.000000 140.466 140.0605
75.000000 140.453 139.6016
76.199997 140.405 138.6412
77.500000 140.280 138.5610
78.800003 140.212 138.0133
80.000000 140.128 137.4951
81.199997 140.080 136.9990
82.500000 139.998 136.4789
83.800003 139.922 136.0290
85.000000 139.850 135.5967
86.199997 139.788 135.1588
87.500000 139.726 134.6551
88.500000 139.667 134.3541
90.000000 139.592 133.8710
91.199997 139.522 133.3545
92.500000 139.449 133.0822
93.800003 139.404 132.6110
95.000000 139.329 132.0815
96.199997 139.280 131.8365
97.500000 139.214 131.4847
98.800003 139.144 131.0587
100.000000 139.086 130.6344
101.500000 139.027 130.2216
103.000000 138.945 129.8218
104.400002 138.891 129.4478
106.000000 138.814 129.0465
107.500000 138.751 128.5834
109.000000 138.681 128.2781
110.599998 138.594 127.7437
112.000000 138.566 127.4390
113.800003 138.442 127.5128
115.000000 138.439 126.8809
117.199997 138.330 126.2935
118.000000 138.271 125.8487
120.599998 138.320 124.7642
122.000000 138.121 125.3939
124.099998 138.057 124.7237
125.000000 138.018 124.4939
126.500000 137.961 124.0415
128.000000 137.922 123.8172
131.500000 137.782 122.9758
132.000000 137.732 123.0023
134.000000 137.748 122.7055
136.000000 137.627 122.5602
138.000000 137.545 121.7767
140.000000 137.496 121.5097
143.000000 137.400 120.7311
145.000000 137.333 120.5015
147.500000 137.247 120.0583
150.000000 137.160 119.6102
152.500000 137.088 118.9750
155.000000 137.031 118.8294
157.500000 136.937 118.3688
160.000000 136.884 117.9814
162.500000 136.806 117.5799
165.000000 136.747 117.1786
167.500000 136.693 116.7695
170.000000 136.607 116.3898
172.500000 136.576 116.0692
175.000000 136.508 115.7286
177.500000 136.460 115.3651
180.000000 136.407 114.9720
182.500000 136.330 114.6177
185.000000 136.272 114.3181
187.500000 136.217 113.8806
190.000000 136.147 113.6282
192.500000 136.123 113.1961
195.000000 136.077 112.8291
197.500000 136.020 112.5429
200.000000 135.980 112.1935
203.000000 135.927 111.8557
206.000000 135.876 111.4793
209.000000 135.802 111.1003
212.000000 135.750 110.6031
214.000000 135.739 110.3857
218.000000 135.670 109.9243
220.000000 135.641 109.6519
224.000000 135.576 109.1932
227.000000 135.539 108.7998
230.000000 135.499 108.4778
233.000000 135.468 108.1935
236.000000 135.412 107.7289
240.000000 135.340 107.1052
243.000000 135.342 106.8307
247.000000 135.242 106.2671
250.000000 135.267 106.0858
254.000000 135.206 105.5422
258.000000 135.163 105.2300
262.000000 135.120 104.6960
265.000000 135.111 104.3765
269.000000 135.093 103.9579
272.000000 135.044 103.4445
276.000000 135.011 103.1351
280.000000 134.976 102.6729
285.000000 134.930 102.4409
290.000000 134.911 101.6489
295.000000 134.870 100.9487
300.000000 134.836 100.3964
304.000000 134.854 99.7086
307.000000 134.805 99.7623
311.000000 134.779 99.3217
315.000000 134.760 98.8588
320.000000 134.730 98.3777
325.000000 134.694 97.8007
330.000000 134.698 97.2664
335.000000 134.668 96.7298
340.000000 134.646 96.2745
345.000000 134.629 95.5369
350.000000 134.620 95.1728
355.000000 134.612 94.5353
360.000000 134.591 94.0436
365.000000 134.584 93.4735
370.000000 134.520 93.0522
375.000000 134.530 92.5229
382.000000 134.558 92.0110
387.000000 134.562 91.3825
395.000000 134.535 90.5361
400.000000 134.534 89.9357
406.000000 134.503 89.2433
412.000000 134.506 88.5411
418.000000 134.513 88.1952
425.000000 134.510 87.3817
431.000000 134.488 86.6965
437.000000 134.469 86.1671
444.000000 134.502 85.4990
450.000000 134.477 84.7796
455.000000 134.451 84.2944
462.000000 134.480 83.4169
468.000000 134.493 83.0200
475.000000 134.461 82.1914
482.000000 134.488 81.8074
487.000000 134.447 80.9606
494.000000 134.453 80.5044
500.000000 134.471 80.1701
508.000000 134.484 79.2752
515.000000 134.494 78.7027
522.000000 134.499 78.0396
530.000000 134.464 77.2574
538.000000 134.472 76.5247
545.000000 134.490 75.9004
552.000000 134.493 75.3126
560.000000 134.490 74.5940
570.000000 134.504 73.6983
580.000000 134.494 72.8939
590.000000 134.490 72.0946
600.000000 134.492 71.3388
608.000000 134.501 70.7046
615.000000 134.500 70.1913
622.000000 134.494 69.6857
630.000000 134.498 69.0493
640.000000 134.494 68.2975
650.000000 134.500 67.6838
660.000000 134.510 66.9832
670.000000 134.527 66.3983
680.000000 134.527 65.7529
690.000000 134.535 65.0671
700.000000 134.538 64.4867
710.000000 134.559 63.9779
720.000000 134.570 63.3378
730.000000 134.587 62.7609
740.000000 134.593 62.1776
750.000000 134.612 61.6511
762.000000 134.630 61.0457
775.000000 134.648 60.2992
788.000000 134.687 59.7010
800.000000 134.702 59.1202
812.000000 134.738 58.5528
825.000000 134.770 58.0088
838.000000 134.798 57.4090
850.000000 134.840 56.9013
862.000000 134.891 56.4014
875.000000 134.931 55.8617
885.000000 134.973 55.4042
900.000000 135.037 54.7759
912.000000 135.096 54.2715
925.000000 135.151 53.6978
938.000000 135.215 53.1241
950.000000 135.275 52.6679
962.000000 135.331 52.1345
975.000000 135.403 51.5084
988.000000 135.486 50.8941
1000.000000 135.543 50.2994
1015.000000 135.637 49.5173
1030.000000 135.727 48.8424
1044.000000 135.809 48.0629
1060.000000 135.911 47.1731
1075.000000 136.003 46.3251
1090.000000 136.096 45.4976
1106.000000 136.181 44.5044
1120.000000 136.266 43.6606
1138.000000 136.368 42.5254
1150.000000 136.429 41.7334
1172.000000 136.549 40.2953
1180.000000 136.591 39.7886
1206.000000 136.715 37.9820
1220.000000 136.781 37.0463
1241.000000 136.870 35.6176
1250.000000 136.910 35.0141
1265.000000 136.968 33.9282
1280.000000 137.031 32.9363
1315.000000 137.156 30.5331
1320.000000 137.173 30.1351
1340.000000 137.242 28.7503
1360.000000 137.302 27.4034
1380.000000 137.355 26.0028
1400.000000 137.403 24.6029
1430.000000 137.490 22.5641
1450.000000 137.545 21.1571
1475.000000 137.606 19.4689
1500.000000 137.668 17.7271
1525.000000 137.730 15.9633
1550.000000 137.790 14.2877
1575.000000 137.843 12.4456
1600.000000 137.901 10.6401
1625.000000 137.959 8.8639
1650.000000 138.011 7.0211
1675.000000 138.050 5.1580
1700.000000 138.102 3.3148
1725.000000 138.146 1.3808
1750.000000 138.182 -0.5477
1775.000000 138.208 -2.5166
1800.000000 138.251 -4.5118
1825.000000 138.277 -6.5349
1850.000000 138.295 -8.5798
1875.000000 138.318 -10.6407
1900.000000 138.323 -12.7172
1925.000000 138.337 -14.8147
1950.000000 138.331 -16.9343
1975.000000 138.330 -19.0696
2000.000000 138.310 -21.2374
2030.000000 138.291 -23.8016
2060.000000 138.262 -26.3774
2090.000000 138.224 -28.9125
2120.000000 138.185 -31.5577
2140.000000 138.144 -33.2407
2180.000000 138.081 -36.5706
2200.000000 138.033 -38.2437
2240.000000 137.936 -41.5267
2270.000000 137.870 -43.9938
2300.000000 137.804 -46.3213
2330.000000 137.737 -48.7330
2360.000000 137.665 -50.9904
2400.000000 137.578 -54.0558
2430.000000 137.514 -56.2739
2470.000000 137.443 -59.1775
2500.000000 137.394 -61.3501
2540.000000 137.339 -64.2108
2580.000000 137.310 -67.0345
2620.000000 137.273 -69.7488
2650.000000 137.265 -71.8492
2690.000000 137.286 -74.6086
2720.000000 137.294 -76.7698
2760.000000 137.340 -79.5450
2800.000000 137.389 -82.4312
2850.000000 137.491 -86.1678
2900.000000 137.610 -90.1273
2950.000000 137.751 -94.1432
3000.000000 137.886 -98.4949
3040.000000 138.026 -102.1202
3070.000000 138.103 -104.8978
3110.000000 138.202 -108.7886
3150.000000 138.286 -112.8103
3200.000000 138.359 -118.0348
3250.000000 138.376 -123.2990
3300.000000 138.333 -128.6111
3350.000000 138.226 -133.7383
3400.000000 138.059 -138.6400
3450.000000 137.844 -143.2019
3500.000000 137.586 -147.3151
3550.000000 137.315 -151.1193
3600.000000 137.021 -154.3091
3650.000000 136.726 -157.1211
3700.000000 136.428 -159.4946
3750.000000 136.158 -161.3568
3820.000000 135.792 -163.2189
3870.000000 135.587 -164.1638
3950.000000 135.347 -164.7872
4000.000000 135.251 -164.8487
4060.000000 135.247 -164.6891
4120.000000 135.324 -164.4266
4180.000000 135.490 -164.3052
4250.000000 135.791 -164.3247
4310.000000 136.110 -164.7650
4370.000000 136.495 -165.5729
4440.000000 136.952 -167.0998
4500.000000 137.347 -169.0401
4550.000000 137.654 -171.0306
4620.000000 138.064 -174.3920
4680.000000 138.324 -177.6966
4750.000000 138.528 178.2155
4820.000000 138.619 174.0011
4870.000000 138.619 171.0139
4940.000000 138.510 167.1288
5000.000000 138.355 163.9956
5080.000000 138.062 160.4828
5150.000000 137.750 157.8804
5220.000000 137.391 155.7899
5300.000000 136.972 154.1528
5380.000000 136.540 153.1923
5450.000000 136.157 152.8717
5520.000000 135.809 152.9340
5600.000000 135.450 153.8337
5700.000000 135.136 155.4993
5800.000000 134.849 156.5405
5900.000000 134.621 158.8671
6000.000000 134.494 161.1708
6080.000000 134.468 163.0915
6150.000000 134.467 164.5823
6220.000000 134.513 166.2345
6300.000000 134.601 167.9535
6400.000000 134.754 169.9351
6500.000000 134.930 171.5551
6600.000000 135.157 173.0364
