* Measurement data measured by REW V5.20.13
* Source: C:\Users\marcu\OneDrive\Desktop\audio_db\AFUL Performer8 Foam R.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 5:57:50 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\marcu\OneDrive\Desktop\audio_db\AFUL Performer8 Foam R.txt Format: Comma/Tab/Space delimited data 54613 values loaded, 0 Hz to 20,000 Hz 
* Measurement: AFUL Performer8 Foam R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	62.594	-94.1596
1.015000	62.437	-95.8299
1.030000	62.276	-97.5363
1.044000	62.122	-99.1638
1.060000	61.941	-101.0680
1.075000	61.766	-102.8987
1.090000	61.587	-104.7764
1.106000	61.388	-106.8255
1.120000	61.203	-108.6133
1.138000	60.947	-110.8987
1.150000	60.768	-112.4188
1.172000	60.422	-115.2095
1.180000	60.292	-116.2286
1.206000	59.854	-119.5706
1.220000	59.611	-121.3972
1.241000	59.240	-124.1855
1.250000	59.080	-125.4018
1.265000	58.812	-127.4622
1.280000	58.544	-129.5692
1.315000	57.927	-134.7001
1.320000	57.841	-135.4608
1.340000	57.501	-138.5820
1.360000	57.174	-141.8388
1.380000	56.862	-145.2454
1.400000	56.569	-148.8157
1.430000	56.172	-154.5092
1.450000	55.941	-158.5507
1.475000	55.690	-163.9249
1.500000	55.457	-169.8339
1.525000	55.237	-176.2463
1.550000	55.031	176.9209
1.575000	54.842	169.7505
1.600000	54.672	162.3256
1.625000	54.524	154.7291
1.650000	54.398	147.0440
1.675000	54.298	139.3532
1.700000	54.225	131.7397
1.725000	54.182	124.2863
1.750000	54.171	117.0762
1.775000	54.194	110.1921
1.800000	54.253	103.7172
1.825000	54.350	97.7342
1.850000	54.496	92.2246
1.875000	54.707	86.9786
1.900000	54.974	81.9712
1.925000	55.290	77.1870
1.950000	55.645	72.6102
1.975000	56.032	68.2254
2.000000	56.443	64.0170
2.030000	56.954	59.1780
2.060000	57.471	54.5437
2.090000	57.980	50.0873
2.120000	58.467	45.7818
2.140000	58.772	42.9821
2.180000	59.314	37.5164
2.200000	59.544	34.8353
2.240000	59.960	29.7552
2.270000	60.251	26.2241
2.300000	60.525	22.9019
2.330000	60.783	19.7613
2.360000	61.026	16.7754
2.400000	61.327	12.9878
2.430000	61.539	10.2571
2.470000	61.802	6.7112
2.500000	61.986	4.0880
2.540000	62.217	0.5869
2.580000	62.431	-2.9580
2.620000	62.622	-6.4262
2.650000	62.750	-8.9577
2.690000	62.900	-12.2449
2.720000	62.999	-14.6476
2.760000	63.115	-17.7726
2.800000	63.213	-20.8133
2.850000	63.314	-24.5049
2.900000	63.395	-28.0862
2.950000	63.457	-31.5706
3.000000	63.492	-34.9722
3.040000	63.502	-37.6233
3.070000	63.498	-39.5637
3.110000	63.481	-42.0786
3.150000	63.451	-44.5007
3.200000	63.396	-47.3820
3.250000	63.324	-50.0808
3.300000	63.238	-52.5769
3.350000	63.128	-54.9249
3.400000	62.988	-57.1489
3.450000	62.828	-59.2141
3.500000	62.656	-61.0856
3.550000	62.478	-62.7283
3.600000	62.304	-64.1073
3.650000	62.140	-65.1877
3.700000	61.980	-65.9305
3.750000	61.798	-66.3345
3.820000	61.533	-66.4231
3.870000	61.355	-66.2130
3.950000	61.134	-65.5400
4.000000	61.057	-64.9863
4.060000	61.046	-64.1904
4.120000	61.107	-62.9602
4.180000	61.226	-61.4315
4.250000	61.427	-59.5417
4.310000	61.642	-58.0632
4.370000	61.887	-56.9293
4.440000	62.217	-56.1851
4.500000	62.566	-55.8231
4.550000	62.890	-55.6903
4.620000	63.367	-55.7507
4.680000	63.775	-56.0206
4.750000	64.215	-56.5762
4.820000	64.614	-57.4476
4.870000	64.895	-58.3027
4.940000	65.277	-59.7391
5.000000	65.588	-61.1143
5.080000	65.969	-63.0231
5.150000	66.263	-64.6591
5.220000	66.523	-66.3958
5.300000	66.783	-68.4977
5.380000	67.007	-70.6201
5.450000	67.179	-72.4084
5.520000	67.330	-74.0705
5.600000	67.465	-75.9175
5.700000	67.590	-78.1273
5.800000	67.684	-80.1270
5.900000	67.765	-81.8193
6.000000	67.813	-83.2299
6.080000	67.838	-84.1802
6.150000	67.860	-84.8915
6.220000	67.894	-85.4986
6.300000	67.942	-86.0261
6.400000	68.006	-86.4312
6.500000	68.087	-86.6898
6.600000	68.194	-86.9472
6.700000	68.336	-87.1557
6.800000	68.503	-87.3027
6.900000	68.685	-87.5112
7.000000	68.872	-87.8896
7.100000	69.078	-88.3951
7.200000	69.290	-89.0063
7.300000	69.493	-89.7227
7.400000	69.679	-90.5632
7.500000	69.856	-91.5382
7.620000	70.051	-92.7923
7.750000	70.228	-94.1530
7.880000	70.371	-95.5757
8.000000	70.478	-96.8621
8.120000	70.567	-98.0344
8.250000	70.636	-99.2168
8.380000	70.691	-100.2891
8.500000	70.742	-101.1489
8.620000	70.784	-101.8857
8.750000	70.832	-102.6029
8.850000	70.877	-103.1218
9.000000	70.953	-103.8073
9.120000	71.020	-104.3481
9.250000	71.099	-104.9811
9.380000	71.185	-105.6334
9.500000	71.265	-106.2762
9.620000	71.340	-106.9786
9.750000	71.419	-107.7935
9.880000	71.490	-108.6331
10.000000	71.546	-109.4279
10.150000	71.605	-110.4461
10.300000	71.654	-111.4316
10.440000	71.689	-112.3222
10.600000	71.723	-113.2994
10.750000	71.753	-114.1568
10.900000	71.780	-114.9706
11.060000	71.813	-115.8191
11.200000	71.844	-116.5381
11.380000	71.887	-117.4713
11.500000	71.917	-118.1080
11.720000	71.973	-119.2980
11.800000	71.992	-119.7421
12.060000	72.046	-121.2100
12.200000	72.070	-121.9936
12.410000	72.099	-123.1555
12.500000	72.110	-123.6362
12.650000	72.127	-124.4166
12.800000	72.143	-125.1742
13.150000	72.186	-126.8536
13.200000	72.192	-127.0900
13.400000	72.221	-128.0262
13.600000	72.250	-128.9636
13.800000	72.280	-129.9113
14.000000	72.305	-130.8521
14.300000	72.332	-132.2357
14.500000	72.345	-133.1103
14.750000	72.359	-134.1396
15.000000	72.374	-135.0981
15.250000	72.394	-136.0121
15.500000	72.416	-136.9155
15.750000	72.440	-137.8245
16.000000	72.461	-138.7526
16.250000	72.476	-139.6764
16.500000	72.482	-140.5803
16.750000	72.482	-141.4380
17.000000	72.479	-142.2435
17.250000	72.477	-143.0049
17.500000	72.477	-143.7356
17.750000	72.480	-144.4621
18.000000	72.484	-145.1918
18.250000	72.488	-145.9323
18.500000	72.490	-146.6789
18.750000	72.491	-147.4282
19.000000	72.491	-148.1772
19.250000	72.490	-148.9282
19.500000	72.487	-149.6815
19.750000	72.481	-150.4358
20.000000	72.472	-151.1808
20.299999	72.458	-152.0424
20.600000	72.444	-152.8541
20.900000	72.435	-153.6147
21.200001	72.434	-154.3483
21.400000	72.439	-154.8480
21.799999	72.455	-155.9071
22.000000	72.462	-156.4716
22.400000	72.464	-157.6425
22.700001	72.452	-158.4986
23.000000	72.432	-159.2792
23.299999	72.412	-159.9668
23.600000	72.397	-160.5786
24.000000	72.394	-161.3373
24.299999	72.401	-161.9197
24.700001	72.416	-162.7583
25.000000	72.425	-163.4340
25.400000	72.428	-164.3684
25.799999	72.419	-165.2928
26.200001	72.402	-166.1661
26.500000	72.388	-166.7765
26.900000	72.370	-167.5390
27.200001	72.362	-168.0930
27.600000	72.357	-168.8420
28.000000	72.354	-169.6279
28.500000	72.344	-170.6454
29.000000	72.325	-171.6321
29.500000	72.304	-172.5452
30.000000	72.291	-173.4094
30.400000	72.284	-174.0971
30.700001	72.280	-174.6174
31.100000	72.274	-175.3115
31.500000	72.265	-175.9958
32.000000	72.251	-176.8244
32.500000	72.238	-177.6188
33.000000	72.224	-178.3856
33.500000	72.213	-179.1454
34.000000	72.201	-179.9150
34.500000	72.183	179.3188
35.000000	72.161	178.5843
35.500000	72.140	177.8890
36.000000	72.123	177.2095
36.500000	72.108	176.5278
37.000000	72.092	175.8471
37.500000	72.078	175.1729
38.200001	72.057	174.2320
38.700001	72.040	173.5672
39.500000	72.012	172.5590
40.000000	71.997	171.9532
40.599998	71.979	171.2192
41.200001	71.958	170.4836
41.799999	71.933	169.7736
42.500000	71.906	168.9758
43.099998	71.886	168.2880
43.700001	71.864	167.5825
44.400002	71.835	166.7579
45.000000	71.807	166.0831
45.500000	71.787	165.5454
46.200001	71.764	164.7954
46.799999	71.745	164.1409
47.500000	71.719	163.3978
48.200001	71.695	162.6934
48.700001	71.678	162.2015
49.400002	71.654	161.5256
50.000000	71.634	160.9640
50.799999	71.607	160.2267
51.500000	71.582	159.5791
52.200001	71.554	158.9402
53.000000	71.523	158.2236
53.799999	71.491	157.5040
54.500000	71.462	156.8721
55.200001	71.431	156.2541
56.000000	71.397	155.5709
57.000000	71.359	154.7224
58.000000	71.317	153.8758
59.000000	71.275	153.0982
60.000000	71.241	152.3132
60.799999	71.210	151.6646
61.500000	71.179	151.1321
62.200001	71.153	150.6080
63.000000	71.120	149.9960
64.000000	71.078	149.2751
65.000000	71.039	148.5747
66.000000	71.001	147.8717
67.000000	70.962	147.1771
68.000000	70.921	146.4958
69.000000	70.882	145.8445
70.000000	70.845	145.1797
71.000000	70.805	144.5228
72.000000	70.767	143.8810
73.000000	70.728	143.2178
74.000000	70.686	142.5977
75.000000	70.650	141.9903
76.199997	70.604	141.2397
77.500000	70.552	140.4771
78.800003	70.505	139.7378
80.000000	70.461	139.0488
81.199997	70.411	138.3770
82.500000	70.363	137.7100
83.800003	70.316	137.0037
85.000000	70.271	136.3832
86.199997	70.229	135.7494
87.500000	70.179	135.0703
88.500000	70.143	134.5619
90.000000	70.090	133.8038
91.199997	70.049	133.1862
92.500000	70.000	132.5378
93.800003	69.956	131.9255
95.000000	69.917	131.3535
96.199997	69.877	130.7902
97.500000	69.834	130.2173
98.800003	69.797	129.6442
100.000000	69.761	129.0972
101.500000	69.712	128.4366
103.000000	69.666	127.8036
104.400002	69.625	127.2037
106.000000	69.579	126.5179
107.500000	69.535	125.8613
109.000000	69.488	125.2336
110.599998	69.440	124.6052
112.000000	69.401	124.0630
113.800003	69.352	123.3692
115.000000	69.320	122.9169
117.199997	69.267	122.0902
118.000000	69.246	121.7830
120.599998	69.171	120.8425
122.000000	69.132	120.3669
124.099998	69.077	119.6352
125.000000	69.054	119.3124
126.500000	69.017	118.7859
128.000000	68.983	118.2709
131.500000	68.908	117.0914
132.000000	68.898	116.9225
134.000000	68.855	116.2493
136.000000	68.813	115.5862
138.000000	68.772	114.9243
140.000000	68.730	114.2681
143.000000	68.661	113.3364
145.000000	68.615	112.7474
147.500000	68.563	112.0313
150.000000	68.517	111.3386
152.500000	68.473	110.6657
155.000000	68.424	109.9973
157.500000	68.370	109.2919
160.000000	68.319	108.5699
162.500000	68.277	107.8595
165.000000	68.244	107.1931
167.500000	68.213	106.5343
170.000000	68.178	105.8612
172.500000	68.142	105.1907
175.000000	68.104	104.5568
177.500000	68.065	103.9668
180.000000	68.027	103.3999
182.500000	67.992	102.8218
185.000000	67.962	102.2353
187.500000	67.934	101.6506
190.000000	67.906	101.0796
192.500000	67.878	100.5122
195.000000	67.851	99.9509
197.500000	67.826	99.3863
200.000000	67.801	98.7915
203.000000	67.774	98.0754
206.000000	67.752	97.4030
209.000000	67.729	96.7874
212.000000	67.700	96.1996
214.000000	67.680	95.8192
218.000000	67.637	95.0706
220.000000	67.621	94.6753
224.000000	67.596	93.8766
227.000000	67.573	93.3015
230.000000	67.550	92.7220
233.000000	67.527	92.1378
236.000000	67.507	91.5796
240.000000	67.489	90.8383
243.000000	67.478	90.3102
247.000000	67.462	89.6176
250.000000	67.448	89.0953
254.000000	67.430	88.4036
258.000000	67.413	87.7214
262.000000	67.395	87.0610
265.000000	67.384	86.5892
269.000000	67.375	85.9507
272.000000	67.367	85.4884
276.000000	67.354	84.8879
280.000000	67.339	84.2797
285.000000	67.324	83.5225
290.000000	67.315	82.7954
295.000000	67.307	82.1005
300.000000	67.298	81.4070
304.000000	67.287	80.8495
307.000000	67.279	80.4536
311.000000	67.269	79.9493
315.000000	67.263	79.4360
320.000000	67.259	78.8182
325.000000	67.254	78.2014
330.000000	67.248	77.6120
335.000000	67.246	77.0008
340.000000	67.247	76.4054
345.000000	67.248	75.8245
350.000000	67.252	75.2903
355.000000	67.254	74.7723
360.000000	67.257	74.2636
365.000000	67.262	73.7474
370.000000	67.271	73.2363
375.000000	67.280	72.7465
382.000000	67.295	72.0505
387.000000	67.307	71.5517
395.000000	67.326	70.7960
400.000000	67.338	70.3480
406.000000	67.352	69.8257
412.000000	67.363	69.3129
418.000000	67.379	68.8060
425.000000	67.399	68.2253
431.000000	67.416	67.7272
437.000000	67.435	67.2410
444.000000	67.458	66.6826
450.000000	67.479	66.2222
455.000000	67.496	65.8425
462.000000	67.521	65.3362
468.000000	67.544	64.9031
475.000000	67.570	64.3932
482.000000	67.598	63.8868
487.000000	67.619	63.5297
494.000000	67.646	63.0612
500.000000	67.671	62.6719
508.000000	67.706	62.1606
515.000000	67.738	61.7056
522.000000	67.767	61.2397
530.000000	67.804	60.7292
538.000000	67.841	60.2401
545.000000	67.874	59.8177
552.000000	67.905	59.4048
560.000000	67.938	58.9365
570.000000	67.984	58.3478
580.000000	68.032	57.7570
590.000000	68.076	57.1818
600.000000	68.124	56.6031
608.000000	68.162	56.1364
615.000000	68.195	55.7275
622.000000	68.228	55.3285
630.000000	68.268	54.8745
640.000000	68.318	54.2815
650.000000	68.368	53.6858
660.000000	68.417	53.1017
670.000000	68.466	52.5006
680.000000	68.512	51.8977
690.000000	68.551	51.3076
700.000000	68.590	50.7263
710.000000	68.630	50.1604
720.000000	68.670	49.5647
730.000000	68.708	48.9462
740.000000	68.746	48.3264
750.000000	68.781	47.7316
762.000000	68.818	47.0645
775.000000	68.850	46.3499
788.000000	68.877	45.6447
800.000000	68.898	45.0194
812.000000	68.914	44.4395
825.000000	68.933	43.8348
838.000000	68.951	43.2484
850.000000	68.968	42.7365
862.000000	68.986	42.2515
875.000000	69.002	41.7852
885.000000	69.017	41.4380
900.000000	69.040	40.9395
912.000000	69.060	40.5626
925.000000	69.083	40.1801
938.000000	69.110	39.8275
950.000000	69.141	39.5064
962.000000	69.174	39.1663
975.000000	69.213	38.8055
988.000000	69.256	38.4712
1000.000000	69.296	38.1591
1015.000000	69.348	37.7551
1030.000000	69.404	37.3163
1044.000000	69.458	36.9002
1060.000000	69.520	36.4056
1075.000000	69.575	35.9257
1090.000000	69.628	35.4407
1106.000000	69.684	34.8964
1120.000000	69.731	34.4065
1138.000000	69.794	33.7556
1150.000000	69.834	33.3085
1172.000000	69.907	32.4659
1180.000000	69.932	32.1506
1206.000000	70.010	31.1621
1220.000000	70.050	30.6166
1241.000000	70.109	29.7706
1250.000000	70.134	29.4076
1265.000000	70.176	28.8075
1280.000000	70.215	28.2142
1315.000000	70.296	26.8403
1320.000000	70.306	26.6476
1340.000000	70.349	25.8702
1360.000000	70.391	25.0826
1380.000000	70.433	24.2965
1400.000000	70.476	23.5160
1430.000000	70.543	22.3228
1450.000000	70.586	21.5182
1475.000000	70.638	20.5238
1500.000000	70.684	19.5013
1525.000000	70.724	18.4639
1550.000000	70.762	17.4237
1575.000000	70.798	16.3712
1600.000000	70.831	15.2971
1625.000000	70.862	14.2217
1650.000000	70.891	13.1481
1675.000000	70.919	12.0441
1700.000000	70.941	10.9587
1725.000000	70.959	9.8727
1750.000000	70.975	8.7926
1775.000000	70.991	7.7117
1800.000000	71.005	6.6378
1825.000000	71.018	5.5714
1850.000000	71.031	4.5215
1875.000000	71.040	3.4810
1900.000000	71.050	2.4609
1925.000000	71.060	1.4527
1950.000000	71.077	0.4415
1975.000000	71.098	-0.5905
2000.000000	71.120	-1.6299
2030.000000	71.149	-2.8805
2060.000000	71.180	-4.1830
2090.000000	71.217	-5.5455
2120.000000	71.260	-6.9774
2140.000000	71.288	-7.9805
2180.000000	71.342	-10.0920
2200.000000	71.365	-11.2078
2240.000000	71.404	-13.5443
2270.000000	71.424	-15.3789
2300.000000	71.436	-17.2848
2330.000000	71.439	-19.2306
2360.000000	71.431	-21.2079
2400.000000	71.405	-23.8452
2430.000000	71.373	-25.8176
2470.000000	71.320	-28.4159
2500.000000	71.273	-30.3127
2540.000000	71.198	-32.7672
2580.000000	71.116	-35.1174
2620.000000	71.031	-37.3790
2650.000000	70.969	-39.0020
2690.000000	70.888	-41.0902
2720.000000	70.835	-42.6094
2760.000000	70.770	-44.5726
2800.000000	70.714	-46.4900
2850.000000	70.658	-48.8176
2900.000000	70.620	-51.1331
2950.000000	70.603	-53.4336
3000.000000	70.610	-55.7791
3040.000000	70.633	-57.6949
3070.000000	70.659	-59.1616
3110.000000	70.703	-61.1727
3150.000000	70.759	-63.2487
3200.000000	70.841	-65.9650
3250.000000	70.942	-68.8326
3300.000000	71.053	-71.8726
3350.000000	71.175	-75.0877
3400.000000	71.301	-78.4954
3450.000000	71.431	-82.1166
3500.000000	71.550	-85.9222
3550.000000	71.648	-89.8943
3600.000000	71.722	-93.9823
3650.000000	71.773	-98.1569
3700.000000	71.798	-102.3514
3750.000000	71.800	-106.5067
3820.000000	71.770	-112.1841
3870.000000	71.728	-116.0671
3950.000000	71.629	-121.9198
4000.000000	71.554	-125.3291
4060.000000	71.461	-129.2169
4120.000000	71.373	-132.8796
4180.000000	71.290	-136.3472
4250.000000	71.203	-140.1904
4310.000000	71.134	-143.3015
4370.000000	71.067	-146.2429
4440.000000	70.989	-149.4460
4500.000000	70.927	-152.0151
4550.000000	70.876	-154.0225
4620.000000	70.806	-156.6040
4680.000000	70.750	-158.6276
4750.000000	70.695	-160.7445
4820.000000	70.653	-162.6353
4870.000000	70.633	-163.8348
4940.000000	70.618	-165.3245
5000.000000	70.625	-166.4674
5080.000000	70.658	-167.8297
5150.000000	70.706	-168.9105
5220.000000	70.770	-169.9167
5300.000000	70.859	-170.9955
5380.000000	70.966	-172.0352
5450.000000	71.073	-172.9149
5520.000000	71.196	-173.8038
5600.000000	71.349	-174.8480
5700.000000	71.555	-176.2667
5800.000000	71.776	-177.8950
5900.000000	71.997	-179.8019
6000.000000	72.207	177.9529
6080.000000	72.355	175.8928
6150.000000	72.460	173.9078
6220.000000	72.532	171.7860
6300.000000	72.569	169.2383
6400.000000	72.543	166.0117
6500.000000	72.433	162.9258
6600.000000	72.248	160.1844
6700.000000	72.004	157.9525
6800.000000	71.718	156.3103
6900.000000	71.416	155.2959
7000.000000	71.123	154.8579
7100.000000	70.866	154.8997
7200.000000	70.661	155.2640
7300.000000	70.509	155.7871
7400.000000	70.406	156.3632
7500.000000	70.355	156.8442
7620.000000	70.342	157.1483
7750.000000	70.366	156.9971
7880.000000	70.400	156.1844
8000.000000	70.396	154.8301
8120.000000	70.315	152.9987
8250.000000	70.108	150.7581
8380.000000	69.766	148.6350
8500.000000	69.339	147.1228
8620.000000	68.831	146.2549
8750.000000	68.228	146.1729
8850.000000	67.749	146.7189
9000.000000	67.048	148.4397
9120.000000	66.524	150.5100
9250.000000	66.012	153.3447
9380.000000	65.570	156.7153
9500.000000	65.237	160.2264
9620.000000	64.979	164.0853
9750.000000	64.795	168.5239
9880.000000	64.731	173.0312
10000.000000	64.773	177.0890
10150.000000	64.934	-178.1746
10300.000000	65.183	-173.9301
10440.000000	65.467	-170.4357
10600.000000	65.818	-166.8960
10750.000000	66.157	-163.8748
10900.000000	66.530	-161.2072
11060.000000	66.983	-158.7631
11200.000000	67.429	-156.9866
11380.000000	68.080	-155.3735
11500.000000	68.563	-154.8970
11720.000000	69.478	-155.8457
11800.000000	69.786	-156.7915
12060.000000	70.605	-161.7822
12200.000000	70.862	-165.6782
12410.000000	70.858	-172.0596
12500.000000	70.722	-174.4076
12650.000000	70.396	-177.2959
12800.000000	70.049	-178.9812
13150.000000	69.498	179.3461
13200.000000	69.457	179.1268
13400.000000	69.363	177.7258
13600.000000	69.293	175.0842
13800.000000	69.122	171.1858
14000.000000	68.769	166.4771
14300.000000	67.830	159.0254
14500.000000	66.928	154.4503
14750.000000	65.508	150.0088
15000.000000	63.856	147.7632
15250.000000	62.120	148.0872
15500.000000	60.443	150.5042
15750.000000	58.900	154.2830
16000.000000	57.474	159.1016
16250.000000	56.173	164.9622
16500.000000	55.046	171.7007
16750.000000	54.116	179.0154
17000.000000	53.383	-173.3790
17250.000000	52.798	-165.7539
17500.000000	52.292	-158.1067
17750.000000	51.742	-149.3850
18000.000000	51.635	-135.2952
18250.000000	53.898	-125.7439
18500.000000	55.183	-134.8027
18750.000000	55.170	-141.6688
19000.000000	54.868	-149.1501
19250.000000	53.595	-156.0352
19500.000000	51.706	-158.0188
19750.000000	49.998	-155.5029
