* Measurement data measured by REW V5.31.1
* Source: EXCL: Microphone (4- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Jan 18, 2026 2:10:32 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R arete 2 1 switch black clear 1859
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 94.307 11.7262
20.600000 94.300 11.1691
20.900000 94.287 10.6640
21.200001 94.274 10.1526
21.400000 94.266 9.8065
21.799999 94.250 9.1105
22.000000 94.242 8.7669
22.400000 94.226 8.1040
22.700001 94.217 7.6333
23.000000 94.209 7.1804
23.299999 94.203 6.7331
23.600000 94.198 6.2813
24.000000 94.189 5.6653
24.299999 94.179 5.1993
24.700001 94.160 4.5923
25.000000 94.144 4.1604
25.400000 94.123 3.6209
25.799999 94.106 3.1100
26.200001 94.091 2.6073
26.500000 94.081 2.2289
26.900000 94.064 1.7241
27.200001 94.050 1.3509
27.600000 94.030 0.8660
28.000000 94.009 0.3942
28.500000 93.984 -0.1875
29.000000 93.960 -0.7618
29.500000 93.935 -1.3135
30.000000 93.909 -1.8298
30.400000 93.889 -2.2232
30.700001 93.874 -2.5142
31.100000 93.854 -2.9060
31.500000 93.831 -3.3064
32.000000 93.801 -3.8183
32.500000 93.771 -4.3363
33.000000 93.741 -4.8480
33.500000 93.713 -5.3380
34.000000 93.685 -5.7953
34.500000 93.659 -6.2273
35.000000 93.631 -6.6544
35.500000 93.601 -7.0928
36.000000 93.569 -7.5400
36.500000 93.537 -7.9795
37.000000 93.509 -8.3944
37.500000 93.484 -8.7808
38.200001 93.449 -9.2979
38.700001 93.417 -9.6714
39.500000 93.351 -10.2645
40.000000 93.312 -10.6194
40.599998 93.281 -11.0716
41.200001 93.256 -11.5944
41.799999 93.209 -12.0753
42.500000 93.129 -12.3420
43.099998 93.081 -12.4045
43.700001 93.064 -12.6873
44.400002 93.038 -13.4233
45.000000 92.987 -14.0372
45.500000 92.950 -14.3140
46.200001 92.933 -14.5142
46.799999 92.924 -14.8086
47.500000 92.871 -15.2774
48.200001 92.797 -15.6737
48.700001 92.758 -15.9471
49.400002 92.719 -16.3947
50.000000 92.685 -16.7123
50.799999 92.656 -16.9599
51.500000 92.631 -17.2676
52.200001 92.555 -17.6119
53.000000 92.446 -17.6563
53.799999 92.415 -17.7295
54.500000 92.416 -18.3225
55.200001 92.377 -19.0649
56.000000 92.314 -19.5473
57.000000 92.258 -19.9108
58.000000 92.178 -20.3141
59.000000 92.109 -20.6364
60.000000 92.062 -21.0253
60.799999 92.009 -21.3191
61.500000 91.958 -21.5218
62.200001 91.918 -21.7615
63.000000 91.873 -22.1325
64.000000 91.805 -22.5136
65.000000 91.744 -22.7996
66.000000 91.676 -23.1627
67.000000 91.604 -23.4561
68.000000 91.544 -23.7164
69.000000 91.484 -24.0101
70.000000 91.417 -24.3265
71.000000 91.348 -24.5869
72.000000 91.284 -24.8308
73.000000 91.225 -25.0755
74.000000 91.163 -25.3614
75.000000 91.090 -25.5847
76.199997 91.018 -25.8561
77.500000 90.914 -26.1115
78.800003 90.861 -26.3217
80.000000 90.770 -26.7477
81.199997 90.693 -26.8065
82.500000 90.613 -27.0544
83.800003 90.527 -27.1954
85.000000 90.456 -27.4161
86.199997 90.385 -27.5479
87.500000 90.303 -27.7363
88.500000 90.236 -27.8631
90.000000 90.148 -28.0433
91.199997 90.069 -28.1674
92.500000 89.994 -28.2964
93.800003 89.911 -28.4209
95.000000 89.855 -28.4665
96.199997 89.777 -28.5786
97.500000 89.695 -28.5802
98.800003 89.623 -28.7138
100.000000 89.555 -28.7407
101.500000 89.466 -28.8358
103.000000 89.388 -28.8654
104.400002 89.306 -28.8858
106.000000 89.229 -28.9104
107.500000 89.149 -28.9502
109.000000 89.067 -28.9834
110.599998 88.974 -28.9006
112.000000 88.903 -28.8691
113.800003 88.813 -28.8428
115.000000 88.747 -28.8377
117.199997 88.634 -28.7026
118.000000 88.588 -28.6396
120.599998 88.433 -28.7538
122.000000 88.415 -28.4938
124.099998 88.310 -28.3312
125.000000 88.267 -28.3265
126.500000 88.200 -28.2314
128.000000 88.138 -28.0996
131.500000 87.986 -27.8006
132.000000 87.963 -27.7470
134.000000 87.863 -27.5604
136.000000 87.804 -27.4176
138.000000 87.719 -27.1400
140.000000 87.656 -27.1087
143.000000 87.507 -26.6652
145.000000 87.461 -26.2681
147.500000 87.358 -26.2978
150.000000 87.276 -25.8101
152.500000 87.199 -25.5737
155.000000 87.120 -25.2362
157.500000 87.054 -24.8604
160.000000 86.976 -24.5169
162.500000 86.902 -24.2277
165.000000 86.834 -23.8510
167.500000 86.767 -23.4228
170.000000 86.699 -23.1844
172.500000 86.648 -22.7033
175.000000 86.574 -22.5168
177.500000 86.525 -22.1339
180.000000 86.470 -21.7780
182.500000 86.411 -21.4271
185.000000 86.380 -21.0121
187.500000 86.334 -20.6099
190.000000 86.265 -20.2893
192.500000 86.242 -19.9765
195.000000 86.187 -19.6961
197.500000 86.159 -19.3233
200.000000 86.110 -18.9617
203.000000 86.058 -18.5371
206.000000 86.017 -18.0637
209.000000 86.014 -17.7361
212.000000 85.950 -17.3304
214.000000 85.919 -17.0077
218.000000 85.883 -16.5842
220.000000 85.848 -16.1693
224.000000 85.805 -15.7506
227.000000 85.771 -15.2704
230.000000 85.748 -14.9059
233.000000 85.712 -14.4393
236.000000 85.682 -13.9964
240.000000 85.658 -13.4001
243.000000 85.656 -12.8014
247.000000 85.680 -12.2764
250.000000 85.700 -12.2562
254.000000 85.670 -11.6920
258.000000 85.677 -11.5520
262.000000 85.635 -11.1690
265.000000 85.620 -10.8120
269.000000 85.607 -10.4201
272.000000 85.600 -10.2750
276.000000 85.589 -9.8704
280.000000 85.569 -9.5708
285.000000 85.533 -9.1013
290.000000 85.529 -8.6515
295.000000 85.509 -8.2800
300.000000 85.504 -7.8045
304.000000 85.479 -7.4341
307.000000 85.490 -7.1187
311.000000 85.446 -6.5556
315.000000 85.419 -6.4274
320.000000 85.409 -5.9964
325.000000 85.404 -5.6893
330.000000 85.443 -4.6374
335.000000 85.324 -4.9083
340.000000 85.453 -3.9438
345.000000 85.632 -3.8402
350.000000 85.440 -4.8471
355.000000 85.456 -3.5038
360.000000 85.604 -3.2811
365.000000 85.584 -2.2197
370.000000 85.546 -2.3580
375.000000 85.589 -1.9316
382.000000 85.571 -2.0080
387.000000 85.562 -1.6238
395.000000 85.610 -1.1337
400.000000 85.610 -1.0092
406.000000 85.614 -0.7171
412.000000 85.601 -0.4465
418.000000 85.581 -0.3328
425.000000 85.624 0.1192
431.000000 85.612 0.2337
437.000000 85.608 0.5212
444.000000 85.600 0.7393
450.000000 85.598 1.0568
455.000000 85.592 1.1876
462.000000 85.572 1.4266
468.000000 85.590 1.8255
475.000000 85.596 1.9820
482.000000 85.562 2.4240
487.000000 85.579 2.6256
494.000000 85.577 2.7797
500.000000 85.610 3.0936
508.000000 85.667 3.3685
515.000000 85.507 3.5545
522.000000 85.598 4.0397
530.000000 85.571 4.2608
538.000000 85.575 4.5638
545.000000 85.580 4.8689
552.000000 85.580 5.2143
560.000000 85.578 5.5201
570.000000 85.583 5.9719
580.000000 85.587 6.3239
590.000000 85.594 6.7632
600.000000 85.604 7.0657
608.000000 85.595 7.4352
615.000000 85.606 7.7216
622.000000 85.606 8.0203
630.000000 85.613 8.2426
640.000000 85.604 8.6310
650.000000 85.616 9.0844
660.000000 85.629 9.4135
670.000000 85.616 9.8392
680.000000 85.629 10.3005
690.000000 85.632 10.6688
700.000000 85.640 11.0847
710.000000 85.628 11.5298
720.000000 85.647 11.9193
730.000000 85.660 12.4022
740.000000 85.654 12.8395
750.000000 85.665 13.3129
762.000000 85.682 13.8183
775.000000 85.693 14.4521
788.000000 85.722 15.0536
800.000000 85.737 15.6130
812.000000 85.766 16.2368
825.000000 85.788 16.8411
838.000000 85.827 17.5159
850.000000 85.856 18.0646
862.000000 85.903 18.6931
875.000000 85.943 19.3168
885.000000 85.992 19.7764
900.000000 86.048 20.6039
912.000000 86.115 21.1321
925.000000 86.179 21.6594
938.000000 86.246 22.2200
950.000000 86.317 22.8153
962.000000 86.388 23.2405
975.000000 86.472 23.7883
988.000000 86.559 24.2584
1000.000000 86.617 24.5138
1015.000000 86.738 25.1645
1030.000000 86.849 25.5712
1044.000000 86.957 25.9365
1060.000000 87.069 26.3009
1075.000000 87.179 26.6070
1090.000000 87.282 26.8783
1106.000000 87.405 27.0874
1120.000000 87.508 27.2285
1138.000000 87.646 27.4261
1150.000000 87.726 27.5053
1172.000000 87.876 27.5057
1180.000000 87.928 27.5373
1206.000000 88.085 27.5567
1220.000000 88.176 27.4796
1241.000000 88.305 27.4574
1250.000000 88.346 27.3698
1265.000000 88.429 27.2893
1280.000000 88.500 27.2223
1315.000000 88.681 26.9892
1320.000000 88.698 26.9184
1340.000000 88.788 26.7076
1360.000000 88.869 26.5951
1380.000000 88.960 26.3871
1400.000000 89.036 26.2598
1430.000000 89.145 25.9823
1450.000000 89.217 25.8019
1475.000000 89.303 25.5363
1500.000000 89.381 25.3097
1525.000000 89.468 25.0421
1550.000000 89.534 24.8204
1575.000000 89.609 24.5840
1600.000000 89.680 24.3766
1625.000000 89.753 24.1066
1650.000000 89.819 23.8086
1675.000000 89.890 23.6278
1700.000000 89.955 23.3437
1725.000000 90.020 23.0607
1750.000000 90.084 22.7686
1775.000000 90.138 22.5030
1800.000000 90.197 22.1848
1825.000000 90.258 21.8967
1850.000000 90.318 21.5674
1875.000000 90.370 21.2549
1900.000000 90.426 20.9090
1925.000000 90.481 20.5502
1950.000000 90.534 20.2113
1975.000000 90.584 19.8243
2000.000000 90.615 19.5933
2030.000000 90.685 18.9573
2060.000000 90.742 18.4897
2090.000000 90.775 17.9414
2120.000000 90.825 17.4321
2140.000000 90.859 17.0501
2180.000000 90.912 16.3907
2200.000000 90.934 15.9966
2240.000000 90.969 15.1824
2270.000000 91.001 14.6073
2300.000000 91.021 13.9792
2330.000000 91.040 13.4366
2360.000000 91.053 12.7868
2400.000000 91.059 11.9983
2430.000000 91.058 11.4193
2470.000000 91.052 10.6271
2500.000000 91.047 9.9883
2540.000000 91.016 9.2093
2580.000000 90.999 8.5216
2620.000000 90.972 7.8783
2650.000000 90.949 7.3767
2690.000000 90.922 6.7780
2720.000000 90.907 6.2803
2760.000000 90.883 5.5938
2800.000000 90.847 4.8332
2850.000000 90.797 3.9416
2900.000000 90.725 3.0007
2950.000000 90.631 2.1990
3000.000000 90.548 1.5254
3040.000000 90.453 0.8781
3070.000000 90.394 0.5059
3110.000000 90.303 0.0511
3150.000000 90.209 -0.3024
3200.000000 90.099 -0.7457
3250.000000 89.990 -1.0298
3300.000000 89.881 -1.2831
3350.000000 89.772 -1.4277
3400.000000 89.685 -1.5576
3450.000000 89.589 -1.6005
3500.000000 89.515 -1.5810
3550.000000 89.453 -1.5432
3600.000000 89.390 -1.4383
3650.000000 89.353 -1.4437
3700.000000 89.333 -1.4032
3750.000000 89.334 -1.4486
3820.000000 89.288 -2.4079
3870.000000 89.131 -1.9570
3950.000000 89.214 -1.5789
4000.000000 89.274 -2.1688
4060.000000 89.275 -2.5895
4120.000000 89.256 -3.3262
4180.000000 89.229 -4.2957
4250.000000 89.162 -5.3879
4310.000000 89.089 -6.2469
4370.000000 88.987 -7.2694
4440.000000 88.832 -8.3072
4500.000000 88.654 -9.2107
4550.000000 88.506 -9.9177
4620.000000 88.236 -10.7128
4680.000000 87.997 -11.1526
4750.000000 87.657 -11.4061
4820.000000 87.310 -11.2089
4870.000000 87.091 -10.7099
4940.000000 86.782 -9.8188
5000.000000 86.576 -8.5749
5080.000000 86.372 -6.8061
5150.000000 86.299 -5.4375
5220.000000 86.298 -4.4052
5300.000000 86.309 -3.9261
5380.000000 86.292 -4.0821
5450.000000 86.184 -4.6389
5520.000000 86.039 -5.4251
5600.000000 85.731 -5.8917
5700.000000 85.284 -6.1336
