* Measurement data measured by REW V5.31.1
* Source: EXCL: Microphone (4- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Jan 18, 2026 2:07:27 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L arete 2 1 switch clear 1854
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 94.141 13.3340
20.600000 94.123 12.8214
20.900000 94.101 12.3715
21.200001 94.086 11.9044
21.400000 94.079 11.5691
21.799999 94.074 10.8405
22.000000 94.074 10.4546
22.400000 94.071 9.6755
22.700001 94.066 9.1193
23.000000 94.059 8.6110
23.299999 94.051 8.1511
23.600000 94.043 7.7279
24.000000 94.033 7.1937
24.299999 94.025 6.7969
24.700001 94.012 6.2640
25.000000 94.001 5.8651
25.400000 93.986 5.3426
25.799999 93.972 4.8313
26.200001 93.960 4.3179
26.500000 93.951 3.9214
26.900000 93.937 3.3733
27.200001 93.922 2.9548
27.600000 93.898 2.4068
28.000000 93.873 1.8941
28.500000 93.847 1.3124
29.000000 93.832 0.7624
29.500000 93.820 0.2096
30.000000 93.798 -0.3174
30.400000 93.770 -0.6700
30.700001 93.746 -0.8804
31.100000 93.716 -1.1185
31.500000 93.693 -1.3755
32.000000 93.662 -1.8200
32.500000 93.612 -2.3824
33.000000 93.545 -2.9031
33.500000 93.490 -3.2745
34.000000 93.477 -3.5824
34.500000 93.502 -3.9894
35.000000 93.533 -4.4911
35.500000 93.548 -4.9099
36.000000 93.554 -5.1531
36.500000 93.562 -5.3644
37.000000 93.556 -5.7529
37.500000 93.515 -6.3106
38.200001 93.432 -7.0108
38.700001 93.410 -7.3791
39.500000 93.444 -8.1677
40.000000 93.438 -8.7614
40.599998 93.372 -9.2357
41.200001 93.296 -9.4046
41.799999 93.248 -9.6571
42.500000 93.204 -10.3168
43.099998 93.160 -10.9027
43.700001 93.128 -11.2978
44.400002 93.104 -11.6636
45.000000 93.072 -12.0266
45.500000 93.035 -12.3450
46.200001 92.990 -12.7990
46.799999 92.964 -13.2370
47.500000 92.922 -13.7542
48.200001 92.854 -14.0941
48.700001 92.811 -14.2208
49.400002 92.785 -14.4939
50.000000 92.776 -14.9963
50.799999 92.729 -15.7257
51.500000 92.669 -15.9926
52.200001 92.630 -16.0992
53.000000 92.583 -16.4576
53.799999 92.513 -16.9159
54.500000 92.466 -17.2407
55.200001 92.434 -17.5620
56.000000 92.389 -17.9186
57.000000 92.317 -18.3149
58.000000 92.251 -18.7339
59.000000 92.195 -19.1768
60.000000 92.131 -19.5853
60.799999 92.075 -19.8653
61.500000 92.028 -20.0975
62.200001 91.986 -20.3354
63.000000 91.939 -20.6417
64.000000 91.870 -21.0038
65.000000 91.810 -21.3219
66.000000 91.751 -21.6939
67.000000 91.686 -21.9835
68.000000 91.624 -22.2494
69.000000 91.556 -22.5345
70.000000 91.492 -22.8291
71.000000 91.433 -23.1149
72.000000 91.374 -23.3811
73.000000 91.308 -23.5786
74.000000 91.249 -23.8042
75.000000 91.179 -24.1257
76.199997 91.098 -24.3839
77.500000 91.019 -24.6551
78.800003 90.944 -24.8383
80.000000 90.874 -25.0768
81.199997 90.802 -25.2929
82.500000 90.720 -25.5183
83.800003 90.644 -25.7064
85.000000 90.566 -25.9011
86.199997 90.493 -26.0782
87.500000 90.415 -26.2442
88.500000 90.358 -26.3677
90.000000 90.267 -26.5439
91.199997 90.195 -26.6436
92.500000 90.116 -26.7642
93.800003 90.047 -26.8748
95.000000 89.976 -26.9941
96.199997 89.904 -27.1009
97.500000 89.825 -27.2065
98.800003 89.756 -27.2496
100.000000 89.681 -27.3333
101.500000 89.602 -27.4072
103.000000 89.517 -27.4644
104.400002 89.437 -27.5067
106.000000 89.352 -27.5229
107.500000 89.264 -27.5736
109.000000 89.176 -27.5356
110.599998 89.107 -27.5962
112.000000 89.024 -27.5151
113.800003 88.927 -27.5539
115.000000 88.862 -27.4647
117.199997 88.738 -27.4128
118.000000 88.701 -27.4288
120.599998 88.590 -26.8902
122.000000 88.473 -27.0637
124.099998 88.366 -26.8005
125.000000 88.316 -26.6146
126.500000 88.240 -26.4509
128.000000 88.155 -26.1515
131.500000 88.056 -25.3235
132.000000 88.034 -25.2136
134.000000 88.029 -24.6188
136.000000 88.009 -24.4706
138.000000 87.957 -24.4712
140.000000 87.894 -24.9271
143.000000 87.819 -24.5220
145.000000 87.767 -24.6218
147.500000 87.676 -24.4006
150.000000 87.608 -24.4038
152.500000 87.506 -23.9706
155.000000 87.428 -23.8253
157.500000 87.343 -23.4975
160.000000 87.259 -23.2597
162.500000 87.181 -22.9457
165.000000 87.111 -22.6776
167.500000 87.039 -22.3170
170.000000 86.976 -21.9630
172.500000 86.901 -21.6920
175.000000 86.842 -21.3232
177.500000 86.776 -20.9887
180.000000 86.723 -20.6384
182.500000 86.667 -20.3312
185.000000 86.613 -19.9832
187.500000 86.562 -19.6078
190.000000 86.502 -19.2956
192.500000 86.461 -18.8913
195.000000 86.407 -18.5843
197.500000 86.363 -18.2357
200.000000 86.312 -17.8332
203.000000 86.258 -17.4772
206.000000 86.207 -16.9027
209.000000 86.147 -16.3643
212.000000 86.093 -15.7727
214.000000 86.065 -15.3309
218.000000 86.026 -14.4668
220.000000 86.005 -13.8125
224.000000 86.037 -12.7853
227.000000 86.094 -12.2649
230.000000 86.155 -11.9426
233.000000 86.200 -11.8125
236.000000 86.222 -11.7559
240.000000 86.212 -11.7493
243.000000 86.204 -11.6532
247.000000 86.171 -11.4590
250.000000 86.153 -11.2726
254.000000 86.130 -11.0531
258.000000 86.099 -10.7626
262.000000 86.074 -10.4564
265.000000 86.060 -10.2295
269.000000 86.043 -9.8683
272.000000 86.020 -9.6683
276.000000 86.013 -9.3034
280.000000 85.993 -8.9786
285.000000 85.971 -8.6151
290.000000 85.965 -8.1703
295.000000 85.955 -7.7994
300.000000 85.954 -7.4288
304.000000 85.929 -7.1598
307.000000 85.922 -6.9132
311.000000 85.924 -6.5973
315.000000 85.904 -6.2774
320.000000 85.911 -5.9724
325.000000 85.907 -5.6779
330.000000 85.895 -5.3822
335.000000 85.914 -5.0743
340.000000 85.897 -4.7757
345.000000 85.885 -4.4263
350.000000 85.879 -4.0775
355.000000 85.872 -3.7746
360.000000 85.879 -3.5844
365.000000 85.875 -3.2919
370.000000 85.889 -3.0160
375.000000 85.877 -2.7193
382.000000 85.874 -2.3788
387.000000 85.875 -2.1602
395.000000 85.872 -1.6762
400.000000 85.868 -1.5014
406.000000 85.875 -1.1674
412.000000 85.870 -0.8686
418.000000 85.869 -0.6921
425.000000 85.886 -0.3623
431.000000 85.865 -0.0027
437.000000 85.879 0.2139
444.000000 85.873 0.5679
450.000000 85.881 0.7498
455.000000 85.878 0.9086
462.000000 85.875 1.2696
468.000000 85.883 1.4830
475.000000 85.881 1.7447
482.000000 85.871 1.9956
487.000000 85.879 2.2303
494.000000 85.872 2.5203
500.000000 85.870 2.7827
508.000000 85.876 3.0985
515.000000 85.865 3.3866
522.000000 85.870 3.6061
530.000000 85.871 3.9516
538.000000 85.883 4.2914
545.000000 85.885 4.5062
552.000000 85.881 4.8196
560.000000 85.874 5.1812
570.000000 85.874 5.5817
580.000000 85.882 5.9624
590.000000 85.875 6.3893
600.000000 85.909 6.6338
608.000000 85.912 6.9562
615.000000 85.922 7.2255
622.000000 85.919 7.3974
630.000000 85.927 7.6385
640.000000 85.935 7.9488
650.000000 85.933 8.3268
660.000000 85.932 8.6443
670.000000 85.922 9.0462
680.000000 85.915 9.4487
690.000000 85.900 9.8653
700.000000 85.902 10.2151
710.000000 85.901 10.5480
720.000000 85.913 10.9645
730.000000 85.913 11.3813
740.000000 85.919 11.8789
750.000000 85.922 12.2359
762.000000 85.927 12.8070
775.000000 85.947 13.4492
788.000000 85.972 13.9977
800.000000 85.985 14.5755
812.000000 86.016 15.1773
825.000000 86.047 15.8128
838.000000 86.082 16.4754
850.000000 86.106 17.0036
862.000000 86.153 17.5774
875.000000 86.185 18.2955
885.000000 86.214 18.7038
900.000000 86.287 19.4166
912.000000 86.331 20.0189
925.000000 86.394 20.5868
938.000000 86.460 21.2410
950.000000 86.530 21.6665
962.000000 86.596 22.1637
975.000000 86.684 22.6755
988.000000 86.774 23.1019
1000.000000 86.840 23.3560
1015.000000 86.970 24.0020
1030.000000 87.085 24.3440
1044.000000 87.179 24.7291
1060.000000 87.318 25.0851
1075.000000 87.420 25.3892
1090.000000 87.527 25.6185
1106.000000 87.656 25.8177
1120.000000 87.751 25.9843
1138.000000 87.876 26.0841
1150.000000 87.965 26.1761
1172.000000 88.105 26.2027
1180.000000 88.154 26.1979
1206.000000 88.310 26.1653
1220.000000 88.392 26.1139
1241.000000 88.506 26.0498
1250.000000 88.550 25.9760
1265.000000 88.633 25.8769
1280.000000 88.709 25.7524
1315.000000 88.885 25.4253
1320.000000 88.904 25.3797
1340.000000 88.990 25.1981
1360.000000 89.071 24.9627
1380.000000 89.158 24.8082
1400.000000 89.235 24.5791
1430.000000 89.343 24.2766
1450.000000 89.411 24.1586
1475.000000 89.487 23.8062
1500.000000 89.553 23.6179
1525.000000 89.632 23.3090
1550.000000 89.713 23.1547
1575.000000 89.752 22.9186
1600.000000 89.841 22.5789
1625.000000 89.883 22.2869
1650.000000 89.964 22.1683
1675.000000 90.028 21.8062
1700.000000 90.096 21.4286
1725.000000 90.143 21.3676
1750.000000 90.203 20.8947
1775.000000 90.273 20.5644
1800.000000 90.329 20.4139
1825.000000 90.378 19.9883
1850.000000 90.435 19.6832
1875.000000 90.486 19.3888
1900.000000 90.538 18.9461
1925.000000 90.571 18.7116
1950.000000 90.615 18.3522
1975.000000 90.658 17.9362
2000.000000 90.697 17.7836
2030.000000 90.740 17.1886
2060.000000 90.790 16.7842
2090.000000 90.822 16.2551
2120.000000 90.864 15.9116
2140.000000 90.898 15.6330
2180.000000 90.959 14.9030
2200.000000 91.001 14.6299
2240.000000 91.033 14.0678
2270.000000 91.116 13.4131
2300.000000 91.125 12.7564
2330.000000 91.188 12.2111
2360.000000 91.198 11.5532
2400.000000 91.263 10.5266
2430.000000 91.237 9.8210
2470.000000 91.258 8.8735
2500.000000 91.251 8.0193
2540.000000 91.240 7.2049
2580.000000 91.204 6.2564
2620.000000 91.166 5.4093
2650.000000 91.135 4.6569
2690.000000 91.083 3.8194
2720.000000 91.040 3.1858
2760.000000 90.964 2.3513
2800.000000 90.906 1.6129
2850.000000 90.813 0.6725
2900.000000 90.698 -0.1839
2950.000000 90.597 -1.0225
3000.000000 90.483 -1.4846
3040.000000 90.387 -2.1895
3070.000000 90.314 -2.6041
3110.000000 90.215 -2.8935
3150.000000 90.104 -3.2720
3200.000000 89.978 -3.6925
3250.000000 89.840 -3.9761
3300.000000 89.702 -4.1114
3350.000000 89.581 -4.1147
3400.000000 89.463 -4.2802
3450.000000 89.347 -4.0923
3500.000000 89.247 -3.9023
3550.000000 89.178 -3.7042
3600.000000 89.113 -3.5432
3650.000000 89.086 -3.3462
3700.000000 89.053 -3.0414
3750.000000 89.039 -2.9742
3820.000000 89.041 -2.9489
3870.000000 89.064 -2.9802
3950.000000 89.112 -3.3567
4000.000000 89.130 -4.0064
4060.000000 89.139 -4.5192
4120.000000 89.132 -5.4304
4180.000000 89.110 -6.4729
4250.000000 89.020 -7.7049
4310.000000 88.920 -8.7477
4370.000000 88.794 -9.8844
4440.000000 88.598 -10.9862
4500.000000 88.404 -11.9148
4550.000000 88.225 -12.6331
4620.000000 87.930 -13.4295
4680.000000 87.639 -13.9060
4750.000000 87.289 -14.2090
4820.000000 86.889 -13.9624
4870.000000 86.618 -13.5234
4940.000000 86.249 -12.2743
5000.000000 86.002 -10.9082
5080.000000 85.736 -8.5443
5150.000000 85.628 -6.6674
5220.000000 85.645 -4.8847
5300.000000 85.744 -3.7638
5380.000000 85.805 -3.7075
5450.000000 85.798 -4.3273
5520.000000 85.711 -5.2582
5600.000000 85.468 -6.4205
