* Measurement data measured by REW V5.31.1
* Source: EXCL: Microphone (4- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Jan 18, 2026 2:11:35 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R arete 2 on switch clear 1861
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 96.402 14.8018
20.600000 96.385 14.1779
20.900000 96.364 13.6150
21.200001 96.345 13.0504
21.400000 96.334 12.6699
21.799999 96.315 11.9032
22.000000 96.306 11.5222
22.400000 96.287 10.7822
22.700001 96.271 10.2618
23.000000 96.252 9.7815
23.299999 96.232 9.3412
23.600000 96.213 8.9330
24.000000 96.191 8.4169
24.299999 96.179 8.0294
24.700001 96.169 7.4873
25.000000 96.164 7.0529
25.400000 96.158 6.4391
25.799999 96.150 5.8060
26.200001 96.138 5.1806
26.500000 96.126 4.7291
26.900000 96.106 4.1561
27.200001 96.090 3.7451
27.600000 96.067 3.2131
28.000000 96.043 2.6888
28.500000 96.014 2.0367
29.000000 95.985 1.3951
29.500000 95.954 0.7811
30.000000 95.922 0.2111
30.400000 95.897 -0.2117
30.700001 95.878 -0.5143
31.100000 95.855 -0.9108
31.500000 95.833 -1.3113
32.000000 95.808 -1.8281
32.500000 95.784 -2.3573
33.000000 95.760 -2.8832
33.500000 95.737 -3.3967
34.000000 95.715 -3.9025
34.500000 95.692 -4.4145
35.000000 95.668 -4.9411
35.500000 95.639 -5.4710
36.000000 95.605 -5.9709
36.500000 95.571 -6.4102
37.000000 95.542 -6.7958
37.500000 95.517 -7.1765
38.200001 95.481 -7.7869
38.700001 95.445 -8.2669
39.500000 95.379 -8.9936
40.000000 95.344 -9.4098
40.599998 95.309 -9.8989
41.200001 95.274 -10.3663
41.799999 95.236 -10.7857
42.500000 95.194 -11.2564
43.099998 95.156 -11.7007
43.700001 95.114 -12.1575
44.400002 95.065 -12.6394
45.000000 95.029 -13.0134
45.500000 95.002 -13.3255
46.200001 94.963 -13.7669
46.799999 94.928 -14.1402
47.500000 94.889 -14.5918
48.200001 94.849 -15.0703
48.700001 94.816 -15.4011
49.400002 94.767 -15.8161
50.000000 94.728 -16.1498
50.799999 94.678 -16.6181
51.500000 94.634 -17.0393
52.200001 94.592 -17.4422
53.000000 94.545 -17.8801
53.799999 94.496 -18.2872
54.500000 94.453 -18.6308
55.200001 94.407 -18.9920
56.000000 94.349 -19.3939
57.000000 94.282 -19.8528
58.000000 94.219 -20.3566
59.000000 94.153 -20.8165
60.000000 94.093 -21.2523
60.799999 94.040 -21.5991
61.500000 93.994 -21.8698
62.200001 93.952 -22.1474
63.000000 93.903 -22.4807
64.000000 93.839 -22.8527
65.000000 93.777 -23.2160
66.000000 93.713 -23.5819
67.000000 93.650 -23.9451
68.000000 93.585 -24.2759
69.000000 93.527 -24.5901
70.000000 93.465 -24.9674
71.000000 93.397 -25.2796
72.000000 93.340 -25.5821
73.000000 93.277 -25.9157
74.000000 93.213 -26.1806
75.000000 93.151 -26.4560
76.199997 93.074 -26.7731
77.500000 92.996 -27.1208
78.800003 92.919 -27.4031
80.000000 92.846 -27.6769
81.199997 92.774 -27.9546
82.500000 92.694 -28.2446
83.800003 92.618 -28.4799
85.000000 92.545 -28.7458
86.199997 92.471 -28.9681
87.500000 92.395 -29.1904
88.500000 92.335 -29.3725
90.000000 92.246 -29.6501
91.199997 92.176 -29.8216
92.500000 92.103 -29.9951
93.800003 92.032 -30.1671
95.000000 91.957 -30.4388
96.199997 91.887 -30.5143
97.500000 91.824 -30.6581
98.800003 91.745 -30.7718
100.000000 91.681 -30.9481
101.500000 91.596 -31.0853
103.000000 91.510 -31.2234
104.400002 91.434 -31.3293
106.000000 91.350 -31.4087
107.500000 91.270 -31.5694
109.000000 91.182 -31.6352
110.599998 91.103 -31.7137
112.000000 91.029 -31.7750
113.800003 90.937 -31.9392
115.000000 90.877 -31.9782
117.199997 90.758 -31.9555
118.000000 90.709 -32.0390
120.599998 90.614 -32.1241
122.000000 90.497 -31.9693
124.099998 90.406 -32.0487
125.000000 90.361 -32.0200
126.500000 90.277 -31.9903
128.000000 90.199 -31.9843
131.500000 90.018 -31.8193
132.000000 89.989 -31.7862
134.000000 89.896 -31.7334
136.000000 89.782 -31.5642
138.000000 89.694 -31.4091
140.000000 89.514 -30.4908
143.000000 89.387 -30.6188
145.000000 89.304 -29.9919
147.500000 89.203 -29.0730
150.000000 89.186 -28.0893
152.500000 89.205 -27.6703
155.000000 89.286 -27.5644
157.500000 89.301 -27.4564
160.000000 89.270 -27.9249
162.500000 89.208 -28.0116
165.000000 89.134 -28.1877
167.500000 89.041 -28.2694
170.000000 88.972 -28.2002
172.500000 88.900 -28.1672
175.000000 88.825 -28.0033
177.500000 88.745 -27.9068
180.000000 88.675 -27.7209
182.500000 88.620 -27.5236
185.000000 88.532 -27.3390
187.500000 88.470 -27.1654
190.000000 88.395 -27.0522
192.500000 88.334 -26.7229
195.000000 88.276 -26.5393
197.500000 88.216 -26.3135
200.000000 88.168 -26.1145
203.000000 88.068 -25.7619
206.000000 88.019 -25.1374
209.000000 88.018 -24.8038
212.000000 87.978 -24.6833
214.000000 87.903 -24.8189
218.000000 87.827 -24.2889
220.000000 87.782 -24.3028
224.000000 87.686 -23.8182
227.000000 87.649 -23.3671
230.000000 87.603 -23.0136
233.000000 87.555 -22.7736
236.000000 87.511 -22.4566
240.000000 87.456 -22.0202
243.000000 87.411 -21.7265
247.000000 87.352 -21.2700
250.000000 87.301 -20.9152
254.000000 87.244 -20.5215
258.000000 87.196 -20.0479
262.000000 87.147 -19.5640
265.000000 87.113 -19.1831
269.000000 87.072 -18.7081
272.000000 87.053 -18.3499
276.000000 87.016 -17.7831
280.000000 86.994 -17.4114
285.000000 86.961 -16.7284
290.000000 86.940 -16.0674
295.000000 86.970 -15.4563
300.000000 86.987 -15.0071
304.000000 87.016 -14.7474
307.000000 87.021 -14.6539
311.000000 87.005 -14.5705
315.000000 87.003 -14.4224
320.000000 86.979 -14.2870
325.000000 86.962 -14.0395
330.000000 86.923 -13.7521
335.000000 86.890 -13.4586
340.000000 86.870 -13.1975
345.000000 86.852 -12.8748
350.000000 86.832 -12.6003
355.000000 86.803 -12.3159
360.000000 86.786 -12.0356
365.000000 86.765 -11.7385
370.000000 86.741 -11.4130
375.000000 86.724 -11.1430
382.000000 86.701 -10.6923
387.000000 86.687 -10.4182
395.000000 86.668 -10.0235
400.000000 86.645 -9.7772
406.000000 86.630 -9.4638
412.000000 86.613 -9.1224
418.000000 86.597 -8.8992
425.000000 86.582 -8.3696
431.000000 86.585 -8.2675
437.000000 86.575 -7.8912
444.000000 86.565 -7.5298
450.000000 86.558 -7.0989
455.000000 86.508 -6.8657
462.000000 86.532 -6.6681
468.000000 86.481 -6.4413
475.000000 86.480 -6.0293
482.000000 86.462 -5.7905
487.000000 86.456 -5.5150
494.000000 86.447 -5.2032
500.000000 86.429 -4.9880
508.000000 86.411 -4.5817
515.000000 86.400 -4.2847
522.000000 86.385 -4.0219
530.000000 86.375 -3.6169
538.000000 86.356 -3.2413
545.000000 86.341 -2.9337
552.000000 86.330 -2.5774
560.000000 86.322 -2.1974
570.000000 86.307 -1.7453
580.000000 86.302 -1.3066
590.000000 86.286 -0.8705
600.000000 86.278 -0.4033
608.000000 86.279 -0.1384
615.000000 86.269 0.2081
622.000000 86.260 0.5138
630.000000 86.246 0.8547
640.000000 86.233 1.3027
650.000000 86.248 1.6872
660.000000 86.222 2.1154
670.000000 86.224 2.5047
680.000000 86.211 2.9441
690.000000 86.212 3.4017
700.000000 86.204 3.7964
710.000000 86.190 4.2930
720.000000 86.184 4.7628
730.000000 86.180 5.1926
740.000000 86.175 5.6645
750.000000 86.173 6.0928
762.000000 86.175 6.6775
775.000000 86.176 7.3306
788.000000 86.184 7.9561
800.000000 86.190 8.5658
812.000000 86.198 9.1486
825.000000 86.209 9.7695
838.000000 86.223 10.4829
850.000000 86.249 11.1101
862.000000 86.264 11.7257
875.000000 86.291 12.4219
885.000000 86.319 13.0169
900.000000 86.363 13.6525
912.000000 86.400 14.3181
925.000000 86.448 14.9838
938.000000 86.505 15.6988
950.000000 86.553 16.2479
962.000000 86.613 16.7890
975.000000 86.683 17.3645
988.000000 86.741 17.9665
1000.000000 86.808 18.2643
1015.000000 86.909 18.9545
1030.000000 86.999 19.5980
1044.000000 87.083 19.9830
1060.000000 87.191 20.5038
1075.000000 87.284 20.9237
1090.000000 87.380 21.2694
1106.000000 87.486 21.5619
1120.000000 87.590 21.8543
1138.000000 87.702 22.1445
1150.000000 87.780 22.2735
1172.000000 87.916 22.6041
1180.000000 87.973 22.6600
1206.000000 88.124 22.7834
1220.000000 88.211 22.8202
1241.000000 88.321 22.8910
1250.000000 88.372 22.9093
1265.000000 88.451 22.9315
1280.000000 88.524 22.8974
1315.000000 88.689 22.8182
1320.000000 88.712 22.8081
1340.000000 88.798 22.7534
1360.000000 88.881 22.7042
1380.000000 88.958 22.5963
1400.000000 89.042 22.4816
1430.000000 89.145 22.4153
1450.000000 89.212 22.2902
1475.000000 89.296 22.1436
1500.000000 89.375 22.0609
1525.000000 89.453 21.9008
1550.000000 89.529 21.7438
1575.000000 89.599 21.5816
1600.000000 89.672 21.3348
1625.000000 89.754 21.2141
1650.000000 89.818 20.9973
1675.000000 89.880 20.8612
1700.000000 89.947 20.6024
1725.000000 90.011 20.3866
1750.000000 90.063 20.1622
1775.000000 90.129 19.9883
1800.000000 90.185 19.7467
1825.000000 90.240 19.4611
1850.000000 90.299 19.1994
1875.000000 90.349 18.9008
1900.000000 90.402 18.6487
1925.000000 90.448 18.3808
1950.000000 90.499 18.0891
1975.000000 90.548 17.7848
2000.000000 90.582 17.5429
2030.000000 90.635 17.1602
2060.000000 90.682 16.7984
2090.000000 90.730 16.4820
2120.000000 90.782 16.0381
2140.000000 90.814 15.8117
2180.000000 90.880 15.3193
2200.000000 90.919 15.0777
2240.000000 90.989 14.4633
2270.000000 91.047 13.9395
2300.000000 91.104 13.3411
2330.000000 91.141 12.6669
2360.000000 91.188 11.8975
2400.000000 91.203 11.0123
2430.000000 91.212 10.3258
2470.000000 91.219 9.4277
2500.000000 91.221 8.7037
2540.000000 91.196 7.8342
2580.000000 91.169 6.9737
2620.000000 91.142 6.0749
2650.000000 91.116 5.4247
2690.000000 91.065 4.6890
2720.000000 91.030 4.0920
2760.000000 90.966 3.3081
2800.000000 90.903 2.5524
2850.000000 90.806 1.7466
2900.000000 90.722 0.9322
2950.000000 90.606 0.2256
3000.000000 90.502 -0.3966
3040.000000 90.404 -0.8949
3070.000000 90.329 -1.1846
3110.000000 90.231 -1.6002
3150.000000 90.124 -1.9096
3200.000000 89.997 -2.1902
3250.000000 89.869 -2.3889
3300.000000 89.746 -2.4581
3350.000000 89.649 -2.4568
3400.000000 89.540 -2.4115
3450.000000 89.447 -2.2569
3500.000000 89.364 -2.0629
3550.000000 89.299 -1.9179
3600.000000 89.260 -1.7272
3650.000000 89.227 -1.4958
3700.000000 89.215 -1.3392
3750.000000 89.240 -1.4941
3820.000000 89.073 -1.8797
3870.000000 89.059 -0.9479
3950.000000 89.190 -0.5811
4000.000000 89.299 -1.1310
4060.000000 89.355 -1.6445
4120.000000 89.415 -2.6963
4180.000000 89.430 -3.9335
4250.000000 89.377 -5.4762
4310.000000 89.302 -6.8758
4370.000000 89.167 -8.2132
4440.000000 88.969 -9.6291
4500.000000 88.773 -10.7318
4550.000000 88.585 -11.5511
4620.000000 88.287 -12.4976
4680.000000 87.996 -13.0079
4750.000000 87.638 -13.3090
4820.000000 87.275 -13.2717
4870.000000 87.027 -12.9173
4940.000000 86.702 -11.8802
5000.000000 86.474 -10.8330
5080.000000 86.215 -9.0642
5150.000000 86.115 -7.6388
5220.000000 86.082 -6.6580
5300.000000 86.051 -6.2101
5380.000000 85.983 -6.4741
5450.000000 85.868 -6.8587
5520.000000 85.658 -7.5767
