* Measurement data measured by REW V5.31.1
* Source: Microphone (5- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: May 15, 2025 2:44:09 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L ARIA 2 RED CLARION 682
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 85.014 -144.1080
20.600000 85.055 -144.6535
20.900000 85.086 -145.1695
21.200001 85.113 -145.7012
21.400000 85.129 -146.0583
21.799999 85.161 -146.7640
22.000000 85.178 -147.1076
22.400000 85.218 -147.7760
22.700001 85.253 -148.2738
23.000000 85.290 -148.7840
23.299999 85.325 -149.3101
23.600000 85.353 -149.8418
24.000000 85.378 -150.5287
24.299999 85.389 -151.0024
24.700001 85.399 -151.5696
25.000000 85.409 -151.9664
25.400000 85.427 -152.5023
25.799999 85.448 -153.0839
26.200001 85.464 -153.6970
26.500000 85.470 -154.1404
26.900000 85.474 -154.6639
27.200001 85.480 -154.9976
27.600000 85.497 -155.3958
28.000000 85.525 -155.8124
28.500000 85.564 -156.4345
29.000000 85.589 -157.1327
29.500000 85.599 -157.7946
30.000000 85.608 -158.3631
30.400000 85.621 -158.7851
30.700001 85.632 -159.1095
31.100000 85.645 -159.5624
31.500000 85.649 -160.0152
32.000000 85.646 -160.5234
32.500000 85.647 -160.9471
33.000000 85.663 -161.3476
33.500000 85.692 -161.8026
34.000000 85.720 -162.3273
34.500000 85.736 -162.8640
35.000000 85.739 -163.3502
35.500000 85.736 -163.7705
36.000000 85.733 -164.1604
36.500000 85.732 -164.5617
37.000000 85.733 -164.9864
37.500000 85.737 -165.4139
38.200001 85.747 -165.9727
38.700001 85.758 -166.3444
39.500000 85.772 -166.9415
40.000000 85.772 -167.3218
40.599998 85.764 -167.7609
41.200001 85.755 -168.1626
41.799999 85.754 -168.5427
42.500000 85.760 -169.0019
43.099998 85.764 -169.4232
43.700001 85.762 -169.8521
44.400002 85.754 -170.3342
45.000000 85.748 -170.7225
45.500000 85.746 -171.0329
46.200001 85.748 -171.4618
46.799999 85.749 -171.8310
47.500000 85.744 -172.2399
48.200001 85.738 -172.5992
48.700001 85.739 -172.8473
49.400002 85.744 -173.2391
50.000000 85.740 -173.6055
50.799999 85.719 -174.0317
51.500000 85.701 -174.3391
52.200001 85.694 -174.6924
53.000000 85.689 -175.1845
53.799999 85.680 -175.6256
54.500000 85.674 -175.9002
55.200001 85.672 -176.1532
56.000000 85.662 -176.5251
57.000000 85.635 -177.0200
58.000000 85.621 -177.4505
59.000000 85.610 -177.8852
60.000000 85.592 -178.2794
60.799999 85.578 -178.6253
61.500000 85.565 -178.9178
62.200001 85.557 -179.1729
63.000000 85.549 -179.4932
64.000000 85.523 -179.8854
65.000000 85.502 179.7593
66.000000 85.482 179.3401
67.000000 85.460 178.9876
68.000000 85.439 178.6570
69.000000 85.409 178.2897
70.000000 85.374 177.9781
71.000000 85.352 177.7078
72.000000 85.310 177.4203
73.000000 85.300 177.3831
74.000000 85.316 177.1157
75.000000 85.262 177.2101
76.199997 85.284 177.1085
77.500000 85.218 176.0521
78.800003 85.236 175.8129
80.000000 85.229 175.3628
81.199997 85.193 174.9623
82.500000 85.145 174.5412
83.800003 85.118 174.2340
85.000000 85.103 173.8781
86.199997 85.083 173.7397
87.500000 85.035 173.7901
88.500000 85.035 173.6077
90.000000 84.983 173.0836
91.199997 84.939 172.9488
92.500000 84.910 172.5222
93.800003 84.887 172.2227
95.000000 84.880 171.9128
96.199997 84.847 171.6906
97.500000 84.825 171.7543
98.800003 84.767 171.5663
100.000000 84.762 171.3250
101.500000 84.711 170.8100
103.000000 84.722 171.0249
104.400002 84.683 170.6998
106.000000 84.576 170.5671
107.500000 84.639 169.3491
109.000000 84.465 168.9513
110.599998 84.466 169.3840
112.000000 84.479 169.4664
113.800003 84.496 169.1455
115.000000 84.461 168.7931
117.199997 84.409 168.2195
118.000000 84.376 168.0948
120.599998 84.287 167.8502
122.000000 84.221 167.5206
124.099998 84.146 167.2713
125.000000 84.100 167.2421
126.500000 84.072 166.9546
128.000000 84.027 167.0142
131.500000 83.834 166.7610
132.000000 83.828 166.9108
134.000000 83.773 167.2307
136.000000 83.645 166.8920
138.000000 83.568 166.9200
140.000000 83.598 167.6776
143.000000 83.585 168.2820
145.000000 83.671 168.3784
147.500000 83.670 168.1948
150.000000 83.690 167.3825
152.500000 83.651 167.2753
155.000000 83.615 166.5482
157.500000 83.559 166.2897
160.000000 83.502 165.9192
162.500000 83.460 165.8510
165.000000 83.385 165.6014
167.500000 83.325 165.3811
170.000000 83.259 165.0585
172.500000 83.247 165.1375
175.000000 83.152 165.0561
177.500000 83.101 164.7636
180.000000 83.051 164.6703
182.500000 82.967 164.8698
185.000000 82.974 164.7751
187.500000 82.895 164.9916
190.000000 82.868 164.7197
192.500000 82.819 164.5913
195.000000 82.763 164.6782
197.500000 82.729 164.6981
200.000000 82.673 164.5461
203.000000 82.607 164.5769
206.000000 82.579 164.6842
209.000000 82.509 164.3930
212.000000 82.425 164.6848
214.000000 82.418 164.7215
218.000000 82.312 164.8357
220.000000 82.288 164.8259
224.000000 82.257 165.0494
227.000000 82.206 165.1639
230.000000 82.174 165.0646
233.000000 82.129 165.1247
236.000000 82.097 165.0480
240.000000 82.027 165.0065
243.000000 81.999 165.1896
247.000000 81.934 165.1089
250.000000 81.866 165.2629
254.000000 81.822 165.2487
258.000000 81.753 165.3434
262.000000 81.691 165.4936
265.000000 81.664 165.6286
269.000000 81.609 165.6657
272.000000 81.558 165.7775
276.000000 81.504 165.7870
280.000000 81.461 166.0325
285.000000 81.395 166.1468
290.000000 81.327 166.3556
295.000000 81.261 166.6521
300.000000 81.208 166.7884
304.000000 81.130 166.9217
307.000000 81.104 167.0063
311.000000 81.076 167.2294
315.000000 81.028 167.4851
320.000000 80.963 167.7072
325.000000 80.924 167.8189
330.000000 80.860 168.1849
335.000000 80.808 168.4164
340.000000 80.764 168.7292
345.000000 80.704 168.9156
350.000000 80.662 169.1404
355.000000 80.612 169.3964
360.000000 80.578 169.6133
365.000000 80.529 169.9731
370.000000 80.490 170.1082
375.000000 80.441 170.4255
382.000000 80.375 170.7647
387.000000 80.340 171.1669
395.000000 80.294 171.5132
400.000000 80.249 171.8137
406.000000 80.191 172.1419
412.000000 80.171 172.4326
418.000000 80.132 172.9003
425.000000 80.087 173.2432
431.000000 80.022 173.7499
437.000000 79.992 174.0723
444.000000 79.951 174.2883
450.000000 79.912 174.7946
455.000000 79.894 174.9208
462.000000 79.850 175.4679
468.000000 79.809 175.7159
475.000000 79.789 176.4087
482.000000 79.722 176.7046
487.000000 79.711 177.1176
494.000000 79.694 177.4412
500.000000 79.664 177.7954
508.000000 79.631 178.2285
515.000000 79.602 178.6762
522.000000 79.574 179.1578
530.000000 79.564 179.6127
538.000000 79.518 -179.7891
545.000000 79.479 -179.4023
552.000000 79.469 -179.0558
560.000000 79.430 -178.4450
570.000000 79.395 -177.8425
580.000000 79.385 -177.1921
590.000000 79.360 -176.6054
600.000000 79.341 -175.9448
608.000000 79.316 -175.3456
615.000000 79.328 -174.9100
622.000000 79.302 -174.5548
630.000000 79.278 -174.0582
640.000000 79.284 -173.4337
650.000000 79.260 -172.7351
660.000000 79.245 -172.1209
670.000000 79.241 -171.3534
680.000000 79.244 -170.8076
690.000000 79.231 -170.1294
700.000000 79.244 -169.3099
710.000000 79.248 -168.7990
720.000000 79.246 -168.1451
730.000000 79.245 -167.3863
740.000000 79.269 -166.6503
750.000000 79.284 -166.1246
762.000000 79.305 -165.2099
775.000000 79.318 -164.4755
788.000000 79.348 -163.6609
800.000000 79.360 -162.7076
812.000000 79.410 -162.0028
825.000000 79.433 -161.2417
838.000000 79.482 -160.2853
850.000000 79.529 -159.5418
862.000000 79.584 -158.7389
875.000000 79.643 -158.0490
885.000000 79.680 -157.3767
900.000000 79.741 -156.5228
912.000000 79.815 -155.6901
925.000000 79.895 -155.0389
938.000000 79.972 -154.3933
950.000000 80.051 -153.7531
962.000000 80.138 -153.0715
975.000000 80.211 -152.3488
988.000000 80.307 -151.8318
1000.000000 80.416 -151.5614
1015.000000 80.519 -150.5723
1030.000000 80.611 -150.0844
1044.000000 80.734 -149.5288
1060.000000 80.861 -149.0352
1075.000000 80.979 -148.5177
1090.000000 81.084 -148.1708
1106.000000 81.202 -147.7200
1120.000000 81.306 -147.3665
1138.000000 81.474 -147.1083
1150.000000 81.526 -146.7254
1172.000000 81.691 -146.4635
1180.000000 81.759 -146.3003
1206.000000 81.929 -146.0456
1220.000000 82.020 -145.7958
1241.000000 82.151 -145.5733
1250.000000 82.208 -145.5368
1265.000000 82.303 -145.3229
1280.000000 82.376 -145.2551
1315.000000 82.586 -144.8719
1320.000000 82.615 -144.8758
1340.000000 82.737 -144.7248
1360.000000 82.853 -144.6378
1380.000000 82.948 -144.4794
1400.000000 83.060 -144.3004
1430.000000 83.218 -144.1680
1450.000000 83.328 -143.9951
1475.000000 83.471 -143.9730
1500.000000 83.610 -143.6954
1525.000000 83.729 -143.6149
1550.000000 83.871 -143.4003
1575.000000 84.038 -143.4063
1600.000000 84.160 -143.4264
1625.000000 84.304 -143.3387
1650.000000 84.456 -143.3060
1675.000000 84.600 -143.3930
1700.000000 84.768 -143.4536
1725.000000 84.903 -143.6650
1750.000000 85.034 -143.7537
1775.000000 85.195 -144.0127
1800.000000 85.323 -144.2845
1825.000000 85.448 -144.4577
1850.000000 85.590 -144.7321
1875.000000 85.730 -145.0533
1900.000000 85.855 -145.4422
1925.000000 85.979 -145.8145
1950.000000 86.097 -146.1541
1975.000000 86.222 -146.5257
2000.000000 86.324 -146.9177
2030.000000 86.478 -147.6098
2060.000000 86.615 -148.1290
2090.000000 86.757 -148.7381
2120.000000 86.899 -149.4654
2140.000000 86.977 -149.8587
2180.000000 87.145 -150.8377
2200.000000 87.234 -151.3227
2240.000000 87.386 -152.4087
2270.000000 87.490 -153.2343
2300.000000 87.596 -154.1116
2330.000000 87.697 -155.0494
2360.000000 87.775 -155.9570
2400.000000 87.879 -157.1240
2430.000000 87.952 -158.1582
2470.000000 88.032 -159.3950
2500.000000 88.084 -160.3129
2540.000000 88.140 -161.5501
2580.000000 88.194 -162.7924
2620.000000 88.235 -164.0546
2650.000000 88.263 -165.0209
2690.000000 88.299 -166.2587
2720.000000 88.301 -167.1389
2760.000000 88.321 -168.4054
2800.000000 88.325 -169.5422
2850.000000 88.328 -171.0253
2900.000000 88.295 -172.4991
2950.000000 88.262 -173.9556
3000.000000 88.225 -175.2697
3040.000000 88.140 -176.3157
3070.000000 88.110 -176.9722
3110.000000 88.048 -177.8172
3150.000000 87.986 -178.6653
3200.000000 87.913 -179.5423
3250.000000 87.833 179.5409
3300.000000 87.784 178.7650
3350.000000 87.718 177.8904
3400.000000 87.648 177.1915
3450.000000 87.568 176.5102
3500.000000 87.516 175.7881
3550.000000 87.454 175.1443
3600.000000 87.385 174.5838
3650.000000 87.334 173.9150
3700.000000 87.283 173.3867
3750.000000 87.222 172.7940
3820.000000 87.138 172.0688
3870.000000 87.096 171.5136
3950.000000 87.033 170.6957
4000.000000 86.972 170.1055
4060.000000 86.949 169.4784
4120.000000 86.885 168.8557
4180.000000 86.837 168.1254
4250.000000 86.769 167.2276
4310.000000 86.710 166.4155
4370.000000 86.642 165.5254
4440.000000 86.559 164.5507
4500.000000 86.459 163.7158
4550.000000 86.385 162.9800
4620.000000 86.232 162.0807
4680.000000 86.115 161.2429
4750.000000 85.954 160.4431
4820.000000 85.802 159.7390
4870.000000 85.664 159.0923
4940.000000 85.441 158.7460
5000.000000 85.256 158.3285
5080.000000 85.054 157.9846
5150.000000 84.826 157.5850
5220.000000 84.618 157.5248
5300.000000 84.376 157.6475
5380.000000 84.124 157.7913
5450.000000 83.882 158.0067
5520.000000 83.708 158.5234
5600.000000 83.474 159.1334
5700.000000 83.182 160.2368
5800.000000 82.938 161.4142
5900.000000 82.722 162.7745
