* Measurement data measured by REW V5.31.1
* Source: Microphone (6- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Feb 24, 2026 11:34:47 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L ARNAR GOLD STOCK 1947
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 89.690 -147.8009
20.600000 89.710 -148.6029
20.900000 89.722 -149.3248
21.200001 89.734 -150.0464
21.400000 89.743 -150.5325
21.799999 89.765 -151.5168
22.000000 89.777 -152.0112
22.400000 89.801 -152.9883
22.700001 89.817 -153.6942
23.000000 89.831 -154.3645
23.299999 89.844 -154.9983
23.600000 89.855 -155.6038
24.000000 89.868 -156.3893
24.299999 89.877 -156.9816
24.700001 89.885 -157.7907
25.000000 89.889 -158.4084
25.400000 89.889 -159.2251
25.799999 89.887 -160.0002
26.200001 89.886 -160.7143
26.500000 89.890 -161.2165
26.900000 89.900 -161.8684
27.200001 89.910 -162.3659
27.600000 89.919 -163.0570
28.000000 89.918 -163.7693
28.500000 89.903 -164.6368
29.000000 89.882 -165.4270
29.500000 89.868 -166.1543
30.000000 89.866 -166.8862
30.400000 89.867 -167.5035
30.700001 89.865 -167.9781
31.100000 89.857 -168.5969
31.500000 89.843 -169.1742
32.000000 89.824 -169.8329
32.500000 89.808 -170.4634
33.000000 89.792 -171.1074
33.500000 89.771 -171.7550
34.000000 89.746 -172.3683
34.500000 89.725 -172.9412
35.000000 89.709 -173.5078
35.500000 89.695 -174.0964
36.000000 89.675 -174.6891
36.500000 89.650 -175.2479
37.000000 89.623 -175.7620
37.500000 89.598 -176.2588
38.200001 89.564 -176.9754
38.700001 89.537 -177.4948
39.500000 89.493 -178.2797
40.000000 89.467 -178.7327
40.599998 89.437 -179.2511
41.200001 89.405 -179.7585
41.799999 89.370 179.7368
42.500000 89.327 179.1547
43.099998 89.294 178.6659
43.700001 89.264 178.1854
44.400002 89.226 177.6443
45.000000 89.190 177.2055
45.500000 89.159 176.8472
46.200001 89.114 176.3459
46.799999 89.075 175.9453
47.500000 89.031 175.5455
48.200001 88.990 175.1637
48.700001 88.959 174.8592
49.400002 88.910 174.3849
50.000000 88.869 173.9653
50.799999 88.820 173.4548
51.500000 88.778 173.1060
52.200001 88.733 172.8033
53.000000 88.674 172.4203
53.799999 88.623 172.0468
54.500000 88.609 171.7199
55.200001 88.603 171.3153
56.000000 88.557 170.9126
57.000000 88.476 170.7090
58.000000 88.429 170.3586
59.000000 88.374 169.8990
60.000000 88.316 169.5449
60.799999 88.263 169.1799
61.500000 88.214 168.8680
62.200001 88.178 168.6071
63.000000 88.145 168.3073
64.000000 88.078 167.9564
65.000000 88.007 167.6942
66.000000 87.965 167.3286
67.000000 87.907 166.9376
68.000000 87.850 166.7380
69.000000 87.811 166.3627
70.000000 87.740 165.9910
71.000000 87.676 165.9253
72.000000 87.623 165.7864
73.000000 87.564 165.5726
74.000000 87.516 165.3477
75.000000 87.467 165.1440
76.199997 87.389 164.8769
77.500000 87.306 164.7576
78.800003 87.260 164.4956
80.000000 87.192 164.2778
81.199997 87.133 164.0777
82.500000 87.066 163.8863
83.800003 87.004 163.7238
85.000000 86.944 163.6266
86.199997 86.896 163.4992
87.500000 86.822 163.3553
88.500000 86.778 163.3185
90.000000 86.714 163.1412
91.199997 86.655 163.0591
92.500000 86.594 162.8713
93.800003 86.539 162.7917
95.000000 86.491 162.7644
96.199997 86.428 162.7119
97.500000 86.379 162.6364
98.800003 86.328 162.5744
100.000000 86.273 162.5537
101.500000 86.216 162.4620
103.000000 86.155 162.4095
104.400002 86.092 162.4296
106.000000 86.033 162.3668
107.500000 85.964 162.3251
109.000000 85.916 162.3774
110.599998 85.871 162.3530
112.000000 85.820 162.3313
113.800003 85.759 162.3476
115.000000 85.718 162.3156
117.199997 85.643 162.2940
118.000000 85.614 162.2920
120.599998 85.528 162.4229
122.000000 85.480 162.3889
124.099998 85.423 162.4496
125.000000 85.395 162.5165
126.500000 85.348 162.5905
128.000000 85.304 162.6204
131.500000 85.192 162.7849
132.000000 85.181 162.7644
134.000000 85.120 162.7866
136.000000 85.079 162.9092
138.000000 85.028 163.0603
140.000000 84.965 163.0554
143.000000 84.911 163.3179
145.000000 84.817 163.4064
147.500000 84.807 163.4083
150.000000 84.712 163.6078
152.500000 84.665 163.8345
155.000000 84.618 163.8893
157.500000 84.553 164.0803
160.000000 84.505 164.1913
162.500000 84.457 164.3705
165.000000 84.411 164.5691
167.500000 84.359 164.7722
170.000000 84.307 164.8822
172.500000 84.269 165.0541
175.000000 84.233 165.4220
177.500000 84.171 165.5073
180.000000 84.135 165.5502
182.500000 84.089 165.7526
185.000000 84.071 165.8723
187.500000 84.013 166.0870
190.000000 83.981 166.3667
192.500000 83.935 166.4374
195.000000 83.902 166.6270
197.500000 83.874 166.8380
200.000000 83.830 167.0441
203.000000 83.792 167.2159
206.000000 83.750 167.5292
209.000000 83.714 167.7480
212.000000 83.681 167.9150
214.000000 83.651 168.0385
218.000000 83.609 168.3289
220.000000 83.594 168.3667
224.000000 83.499 169.0333
227.000000 83.476 169.3375
230.000000 83.452 169.3030
233.000000 83.467 169.2629
236.000000 83.426 169.9864
240.000000 83.401 170.3354
243.000000 83.304 170.0216
247.000000 83.302 170.3776
250.000000 83.277 170.9702
254.000000 83.235 171.2469
258.000000 83.214 171.4509
262.000000 83.187 171.8047
265.000000 83.179 171.9715
269.000000 83.136 172.2578
272.000000 83.126 172.5362
276.000000 83.113 172.8104
280.000000 83.074 173.1177
285.000000 83.023 173.4650
290.000000 83.031 173.8028
295.000000 82.993 174.1791
300.000000 82.960 174.4583
304.000000 82.964 174.9102
307.000000 82.934 174.9687
311.000000 82.911 175.2805
315.000000 82.885 175.5034
320.000000 82.877 175.8765
325.000000 82.856 176.2243
330.000000 82.830 176.6280
335.000000 82.808 176.8091
340.000000 82.819 177.5622
345.000000 82.802 177.6433
350.000000 82.791 177.8953
355.000000 82.772 178.4242
360.000000 82.738 178.8520
365.000000 82.715 179.0807
370.000000 82.718 179.2747
375.000000 82.715 179.5637
382.000000 82.689 -179.8749
387.000000 82.676 -179.4866
395.000000 82.671 -179.0359
400.000000 82.664 -178.7695
406.000000 82.653 -178.4257
412.000000 82.642 -178.0546
418.000000 82.656 -177.6589
425.000000 82.651 -177.1115
431.000000 82.638 -176.8458
437.000000 82.634 -176.4930
444.000000 82.632 -176.0963
450.000000 82.648 -175.8157
455.000000 82.632 -175.4048
462.000000 82.641 -175.0824
468.000000 82.649 -174.6911
475.000000 82.640 -174.3689
482.000000 82.628 -174.0429
487.000000 82.628 -173.7486
494.000000 82.635 -173.3257
500.000000 82.626 -173.0157
508.000000 82.640 -172.5516
515.000000 82.631 -172.2200
522.000000 82.641 -171.8906
530.000000 82.642 -171.3164
538.000000 82.636 -170.9742
545.000000 82.656 -170.5409
552.000000 82.660 -170.1301
560.000000 82.661 -169.6817
570.000000 82.673 -169.1330
580.000000 82.663 -168.5658
590.000000 82.689 -167.9183
600.000000 82.701 -167.4133
608.000000 82.718 -167.0019
615.000000 82.716 -166.6370
622.000000 82.745 -166.1995
630.000000 82.743 -165.7609
640.000000 82.774 -165.2901
650.000000 82.796 -164.7460
660.000000 82.825 -164.1187
670.000000 82.842 -163.5813
680.000000 82.859 -163.0745
690.000000 82.895 -162.4895
700.000000 82.926 -161.8825
710.000000 82.956 -161.3673
720.000000 82.992 -160.7456
730.000000 83.035 -160.1683
740.000000 83.058 -159.6721
750.000000 83.106 -159.0912
762.000000 83.155 -158.4196
775.000000 83.217 -157.7230
788.000000 83.291 -157.0903
800.000000 83.344 -156.3204
812.000000 83.412 -155.7960
825.000000 83.475 -155.1011
838.000000 83.549 -154.3945
850.000000 83.631 -153.8492
862.000000 83.718 -153.1357
875.000000 83.802 -152.6024
885.000000 83.868 -152.0965
900.000000 83.978 -151.4274
912.000000 84.079 -150.9270
925.000000 84.182 -150.3836
938.000000 84.283 -149.7992
950.000000 84.383 -149.3764
962.000000 84.503 -148.9285
975.000000 84.606 -148.4718
988.000000 84.722 -148.0391
1000.000000 84.897 -147.5509
1015.000000 84.987 -147.3112
1030.000000 85.111 -146.9435
1044.000000 85.245 -146.6450
1060.000000 85.398 -146.2979
1075.000000 85.538 -146.1194
1090.000000 85.667 -145.9775
1106.000000 85.823 -145.8112
1120.000000 85.938 -145.6875
1138.000000 86.092 -145.5995
1150.000000 86.198 -145.4868
1172.000000 86.378 -145.4436
1180.000000 86.435 -145.3694
1206.000000 86.647 -145.3122
1220.000000 86.766 -145.3976
1241.000000 86.912 -145.3211
1250.000000 86.991 -145.3212
1265.000000 87.101 -145.3602
1280.000000 87.209 -145.3329
1315.000000 87.470 -145.3637
1320.000000 87.499 -145.3725
1340.000000 87.666 -145.3721
1360.000000 87.805 -145.4541
1380.000000 87.955 -145.5008
1400.000000 88.109 -145.6410
1430.000000 88.339 -145.7432
1450.000000 88.500 -145.8848
1475.000000 88.680 -146.0579
1500.000000 88.882 -146.2206
1525.000000 89.084 -146.5322
1550.000000 89.288 -146.7349
1575.000000 89.492 -147.0076
1600.000000 89.702 -147.3821
1625.000000 89.925 -147.8582
1650.000000 90.146 -148.3284
1675.000000 90.361 -148.8689
1700.000000 90.581 -149.5311
1725.000000 90.804 -150.2249
1750.000000 91.030 -151.0651
1775.000000 91.256 -151.9318
1800.000000 91.475 -152.9053
1825.000000 91.688 -153.9822
1850.000000 91.915 -155.1462
1875.000000 92.124 -156.3901
1900.000000 92.327 -157.7428
1925.000000 92.520 -159.2444
1950.000000 92.702 -160.8141
1975.000000 92.871 -162.4413
2000.000000 93.054 -164.2899
2030.000000 93.206 -166.3778
2060.000000 93.349 -168.5960
2090.000000 93.469 -170.8846
2120.000000 93.579 -173.2507
2140.000000 93.642 -174.8330
2180.000000 93.732 -178.0352
2200.000000 93.768 -179.7126
2240.000000 93.804 176.9792
2270.000000 93.807 174.4262
2300.000000 93.779 171.8465
2330.000000 93.729 169.2892
2360.000000 93.652 166.8396
2400.000000 93.508 163.5693
2430.000000 93.369 161.2247
2470.000000 93.140 158.2263
2500.000000 92.952 156.1837
2540.000000 92.666 153.6712
2580.000000 92.348 151.4254
2620.000000 92.018 149.4258
2650.000000 91.761 148.2017
2690.000000 91.410 146.8216
2720.000000 91.152 145.9806
2760.000000 90.812 145.1095
2800.000000 90.480 144.5124
2850.000000 90.107 144.1176
2900.000000 89.769 143.9600
2950.000000 89.453 144.1260
3000.000000 89.200 144.0299
3040.000000 89.043 144.6658
3070.000000 88.938 144.7848
3110.000000 88.825 145.0480
3150.000000 88.725 145.1755
3200.000000 88.655 145.2305
3250.000000 88.583 145.2260
3300.000000 88.523 144.9341
3350.000000 88.474 144.6208
3400.000000 88.440 144.1777
3450.000000 88.396 143.7280
3500.000000 88.370 143.0714
3550.000000 88.356 142.3908
3600.000000 88.349 141.4742
3650.000000 88.335 140.3702
3700.000000 88.317 138.9307
3750.000000 88.264 137.3684
3820.000000 88.126 134.8530
3870.000000 87.979 133.2306
3950.000000 87.679 130.6193
4000.000000 87.432 129.3567
4060.000000 87.109 127.5305
4120.000000 86.798 126.5056
4180.000000 86.509 125.9145
4250.000000 86.286 125.0874
4310.000000 86.125 123.9664
4370.000000 85.950 122.4172
4440.000000 85.655 120.1742
4500.000000 85.318 118.0755
4550.000000 84.982 116.3459
4620.000000 84.394 114.3672
4680.000000 83.830 113.1006
4750.000000 83.118 111.9604
4820.000000 82.372 111.8154
4870.000000 81.838 112.3324
4940.000000 81.086 113.4542
5000.000000 80.385 114.7065
5080.000000 79.710 117.6378
5150.000000 79.158 120.1549
5220.000000 78.665 123.6393
5300.000000 78.216 127.7552
5380.000000 77.920 131.3912
5450.000000 77.677 134.4190
5520.000000 77.503 137.0316
5600.000000 77.268 140.0382
5700.000000 76.981 143.8531
5800.000000 76.765 148.1172
5900.000000 76.608 151.9008
6000.000000 76.525 155.7034
6080.000000 76.491 158.8123
