* Measurement data measured by REW V5.30
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.850
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 26, 2024 1:27:50 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L T10 Jan 26
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 148.343 -164.5309
20.600000 148.346 -165.2873
20.900000 148.343 -165.9689
21.200001 148.339 -166.6461
21.400000 148.337 -167.0968
21.799999 148.335 -167.9931
22.000000 148.334 -168.4356
22.400000 148.331 -169.3013
22.700001 148.329 -169.9299
23.000000 148.326 -170.5408
23.299999 148.322 -171.1381
23.600000 148.316 -171.7253
24.000000 148.306 -172.4962
24.299999 148.298 -173.0652
24.700001 148.285 -173.8087
25.000000 148.276 -174.3540
25.400000 148.263 -175.0655
25.799999 148.250 -175.7625
26.200001 148.235 -176.4462
26.500000 148.221 -176.9485
26.900000 148.199 -177.6017
27.200001 148.182 -178.0793
27.600000 148.158 -178.7033
28.000000 148.135 -179.3196
28.500000 148.109 179.9166
29.000000 148.083 179.1704
29.500000 148.059 178.4579
30.000000 148.034 177.7801
30.400000 148.013 177.2513
30.700001 147.996 176.8557
31.100000 147.971 176.3256
31.500000 147.942 175.7952
32.000000 147.903 175.1430
32.500000 147.863 174.5138
33.000000 147.826 173.9099
33.500000 147.791 173.3263
34.000000 147.757 172.7569
34.500000 147.722 172.1992
35.000000 147.684 171.6531
35.500000 147.646 171.1177
36.000000 147.607 170.5905
36.500000 147.569 170.0717
37.000000 147.530 169.5677
37.500000 147.491 169.0873
38.200001 147.436 168.4496
38.700001 147.398 167.9991
39.500000 147.332 167.2674
40.000000 147.289 166.8242
40.599998 147.239 166.3254
41.200001 147.193 165.8467
41.799999 147.149 165.3666
42.500000 147.092 164.8112
43.099998 147.039 164.3535
43.700001 146.986 163.9054
44.400002 146.925 163.3898
45.000000 146.873 162.9659
45.500000 146.833 162.6266
46.200001 146.779 162.1614
46.799999 146.730 161.7773
47.500000 146.671 161.3613
48.200001 146.615 160.9517
48.700001 146.574 160.6443
49.400002 146.513 160.2117
50.000000 146.459 159.8683
50.799999 146.393 159.4470
51.500000 146.337 159.0912
52.200001 146.280 158.7344
53.000000 146.211 158.3185
53.799999 146.142 157.9337
54.500000 146.094 157.6175
55.200001 146.052 157.2507
56.000000 145.986 156.8237
57.000000 145.887 156.4875
58.000000 145.805 156.1634
59.000000 145.721 155.7493
60.000000 145.641 155.4025
60.799999 145.581 155.1200
61.500000 145.527 154.8668
62.200001 145.471 154.6306
63.000000 145.409 154.3775
64.000000 145.332 154.0703
65.000000 145.253 153.7780
66.000000 145.177 153.4909
67.000000 145.103 153.1985
68.000000 145.029 152.9313
69.000000 144.954 152.6806
70.000000 144.881 152.4492
71.000000 144.808 152.2286
72.000000 144.734 152.0286
73.000000 144.662 151.8370
74.000000 144.590 151.6159
75.000000 144.518 151.4235
76.199997 144.438 151.2104
77.500000 144.347 151.0004
78.800003 144.259 150.7919
80.000000 144.178 150.6296
81.199997 144.098 150.4586
82.500000 144.009 150.2960
83.800003 143.928 150.1421
85.000000 143.853 150.0014
86.199997 143.775 149.8845
87.500000 143.692 149.7780
88.500000 143.630 149.6581
90.000000 143.540 149.5295
91.199997 143.468 149.4513
92.500000 143.389 149.3644
93.800003 143.312 149.2753
95.000000 143.242 149.2074
96.199997 143.172 149.1429
97.500000 143.101 149.0878
98.800003 143.027 149.0576
100.000000 142.961 148.9949
101.500000 142.881 148.9467
103.000000 142.796 148.9241
104.400002 142.724 148.9094
106.000000 142.641 148.8712
107.500000 142.561 148.8760
109.000000 142.489 148.8721
110.599998 142.409 148.8581
112.000000 142.338 148.8649
113.800003 142.250 148.8952
115.000000 142.192 148.9219
117.199997 142.087 148.9584
118.000000 142.054 148.9734
120.599998 141.934 149.0822
122.000000 141.869 149.0721
124.099998 141.781 149.1742
125.000000 141.743 149.1935
126.500000 141.677 149.2355
128.000000 141.614 149.3246
131.500000 141.468 149.4761
132.000000 141.449 149.5009
134.000000 141.370 149.6116
136.000000 141.294 149.7005
138.000000 141.216 149.8384
140.000000 141.138 149.9551
143.000000 141.029 150.1478
145.000000 140.957 150.2700
147.500000 140.869 150.4548
150.000000 140.785 150.6118
152.500000 140.702 150.7892
155.000000 140.621 151.0128
157.500000 140.540 151.1904
160.000000 140.460 151.4073
162.500000 140.382 151.5944
165.000000 140.305 151.7745
167.500000 140.237 152.0260
170.000000 140.163 152.2471
172.500000 140.092 152.4501
175.000000 140.027 152.6579
177.500000 139.961 152.9163
180.000000 139.896 153.0925
182.500000 139.830 153.3171
185.000000 139.763 153.5674
187.500000 139.695 153.7766
190.000000 139.652 154.0889
192.500000 139.581 154.3676
195.000000 139.534 154.5429
197.500000 139.480 154.7293
200.000000 139.424 155.0416
203.000000 139.354 155.2723
206.000000 139.315 155.5425
209.000000 139.219 155.7678
212.000000 139.166 156.2635
214.000000 139.135 156.2953
218.000000 139.068 156.7122
220.000000 139.021 156.9741
224.000000 138.954 157.3674
227.000000 138.901 157.6709
230.000000 138.845 157.9816
233.000000 138.796 158.2673
236.000000 138.746 158.5628
240.000000 138.681 158.9580
243.000000 138.638 159.2903
247.000000 138.580 159.6356
250.000000 138.537 159.9276
254.000000 138.475 160.3336
258.000000 138.422 160.7620
262.000000 138.373 161.1503
265.000000 138.326 161.4382
269.000000 138.283 161.8275
272.000000 138.245 162.1241
276.000000 138.196 162.5105
280.000000 138.156 162.9022
285.000000 138.092 163.4170
290.000000 138.038 163.8599
295.000000 137.992 164.3403
300.000000 137.940 164.8263
304.000000 137.903 165.1887
307.000000 137.875 165.4809
311.000000 137.841 165.8895
315.000000 137.808 166.2414
320.000000 137.764 166.7148
325.000000 137.721 167.1724
330.000000 137.685 167.6132
335.000000 137.653 168.0582
340.000000 137.614 168.5787
345.000000 137.587 169.0601
350.000000 137.553 169.6854
355.000000 137.513 169.9225
360.000000 137.489 170.3214
365.000000 137.467 170.7550
370.000000 137.429 171.2092
375.000000 137.398 171.6793
382.000000 137.352 172.2534
387.000000 137.330 172.7454
395.000000 137.296 173.5191
400.000000 137.278 173.8088
406.000000 137.254 174.3311
412.000000 137.226 174.8384
418.000000 137.199 175.3106
425.000000 137.184 175.9337
431.000000 137.164 176.4037
437.000000 137.143 176.9246
444.000000 137.124 177.5130
450.000000 137.098 178.0037
455.000000 137.086 178.3660
462.000000 137.074 178.9518
468.000000 137.062 179.4545
475.000000 137.045 179.9905
482.000000 137.033 -179.4455
487.000000 137.027 -179.0396
494.000000 137.010 -178.5139
500.000000 137.005 -178.0589
508.000000 137.002 -177.4678
515.000000 136.979 -176.9731
522.000000 136.944 -176.0831
530.000000 136.979 -175.8462
538.000000 136.960 -175.2122
545.000000 136.961 -174.6333
552.000000 136.955 -174.0621
560.000000 136.963 -173.4500
570.000000 136.961 -172.7266
580.000000 136.961 -172.0437
590.000000 136.971 -171.2926
600.000000 136.972 -170.5596
608.000000 136.978 -169.9776
615.000000 136.993 -169.4521
622.000000 136.990 -168.9297
630.000000 137.002 -168.3564
640.000000 137.013 -167.6297
650.000000 137.041 -166.9265
660.000000 137.041 -166.1943
670.000000 137.072 -165.5179
680.000000 137.088 -164.7895
690.000000 137.115 -164.0927
700.000000 137.143 -163.3828
710.000000 137.169 -162.6925
720.000000 137.198 -161.9619
730.000000 137.233 -161.2904
740.000000 137.262 -160.6025
750.000000 137.307 -159.8809
762.000000 137.352 -159.0654
775.000000 137.396 -158.2028
788.000000 137.466 -157.3275
800.000000 137.514 -156.5674
812.000000 137.587 -155.7707
825.000000 137.655 -154.9069
838.000000 137.724 -154.0775
850.000000 137.800 -153.3415
862.000000 137.873 -152.6339
875.000000 137.969 -151.8513
885.000000 138.028 -151.3077
900.000000 138.135 -150.4586
912.000000 138.224 -149.7873
925.000000 138.326 -149.1079
938.000000 138.425 -148.4319
950.000000 138.518 -147.8808
962.000000 138.616 -147.3090
975.000000 138.728 -146.7595
988.000000 138.841 -146.2127
1000.000000 138.943 -145.8181
1015.000000 139.073 -145.2357
1030.000000 139.207 -144.6799
1044.000000 139.326 -144.2240
1060.000000 139.468 -143.8037
1075.000000 139.600 -143.3539
1090.000000 139.735 -143.0044
1106.000000 139.864 -142.6349
1120.000000 139.985 -142.3522
1138.000000 140.139 -142.0114
1150.000000 140.245 -141.8065
1172.000000 140.424 -141.4574
1180.000000 140.492 -141.3171
1206.000000 140.700 -141.0171
1220.000000 140.817 -140.8136
1241.000000 140.980 -140.6098
1250.000000 141.052 -140.4926
1265.000000 141.170 -140.3758
1280.000000 141.290 -140.2339
1315.000000 141.569 -139.9932
1320.000000 141.606 -139.9277
1340.000000 141.760 -139.8379
1360.000000 141.921 -139.7477
1380.000000 142.087 -139.6533
1400.000000 142.247 -139.6027
1430.000000 142.501 -139.5791
1450.000000 142.675 -139.6363
1475.000000 142.898 -139.7050
1500.000000 143.130 -139.9257
1525.000000 143.368 -140.2400
1550.000000 143.613 -140.7508
1575.000000 143.872 -141.4780
1600.000000 144.113 -142.5411
1625.000000 144.327 -144.0276
1650.000000 144.489 -146.0374
1675.000000 144.586 -148.1592
1700.000000 144.487 -150.3502
1725.000000 144.225 -151.3488
1750.000000 143.985 -150.7334
1775.000000 143.938 -149.3054
1800.000000 144.026 -148.1185
1825.000000 144.195 -147.4291
1850.000000 144.370 -147.1674
1875.000000 144.572 -147.1302
1900.000000 144.773 -147.3334
1925.000000 144.979 -147.7873
1950.000000 145.166 -148.3917
1975.000000 145.337 -149.1125
2000.000000 145.495 -149.8710
2030.000000 145.656 -150.9539
2060.000000 145.795 -152.0026
2090.000000 145.911 -152.9657
2120.000000 146.024 -153.7658
2140.000000 146.108 -154.2757
2180.000000 146.328 -155.1424
2200.000000 146.478 -155.6675
2240.000000 146.851 -157.5629
2270.000000 147.067 -159.9549
2300.000000 147.179 -162.5085
2330.000000 147.225 -164.8903
2360.000000 147.243 -167.0927
2400.000000 147.255 -169.9240
2430.000000 147.247 -172.1007
2470.000000 147.206 -175.4291
2500.000000 147.096 -178.3552
2540.000000 146.713 177.6306
2580.000000 146.056 175.4003
2620.000000 145.486 175.6912
2650.000000 145.230 176.4448
2690.000000 145.041 177.2138
2720.000000 144.950 177.4730
2760.000000 144.851 177.4968
2800.000000 144.753 177.2948
2850.000000 144.612 176.8238
2900.000000 144.436 176.3016
2950.000000 144.241 176.1603
3000.000000 144.095 176.1814
3040.000000 144.011 176.0452
3070.000000 143.938 175.6798
3110.000000 143.799 175.0250
3150.000000 143.562 174.4273
3200.000000 143.159 174.6571
3250.000000 142.845 176.2154
3300.000000 142.689 178.0816
3350.000000 142.631 179.6327
3400.000000 142.618 -179.0802
3450.000000 142.624 -177.9580
3500.000000 142.654 -176.9485
3550.000000 142.727 -176.1072
3600.000000 142.797 -175.6061
3650.000000 142.853 -175.1164
3700.000000 142.909 -174.6550
3750.000000 142.991 -174.2755
3820.000000 143.100 -174.0499
3870.000000 143.165 -173.9646
3950.000000 143.253 -173.8708
4000.000000 143.326 -173.8545
4060.000000 143.414 -173.9532
4120.000000 143.509 -174.3155
4180.000000 143.566 -175.0931
4250.000000 143.474 -176.2168
4310.000000 143.234 -175.8770
4370.000000 143.191 -173.9344
4440.000000 143.434 -172.4586
4500.000000 143.681 -172.3339
4550.000000 143.870 -172.7823
4620.000000 144.038 -174.0754
4680.000000 144.041 -175.3565
4750.000000 143.881 -175.9238
4820.000000 143.832 -174.7333
4870.000000 143.981 -173.8667
4940.000000 144.270 -173.7666
5000.000000 144.508 -174.4782
5080.000000 144.760 -175.9608
5150.000000 144.930 -177.7119
5220.000000 145.029 -179.8257
5300.000000 145.027 177.6320
5380.000000 144.945 175.2906
5450.000000 144.853 173.1875
5520.000000 144.688 170.7970
5600.000000 144.267 168.2294
5700.000000 143.577 167.3057
5800.000000 143.042 168.6312
5900.000000 142.727 170.3309
6000.000000 142.548 171.6909
6080.000000 142.444 172.4351
6150.000000 142.350 172.9243
