* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Oct 10, 2023 7:16:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Aure Foam L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	66.912	-115.9363
1.015000	66.881	-117.4169
1.030000	66.847	-118.8977
1.044000	66.813	-120.2808
1.060000	66.770	-121.8633
1.075000	66.726	-123.3495
1.090000	66.679	-124.8391
1.106000	66.625	-126.4297
1.120000	66.576	-127.8081
1.138000	66.511	-129.5601
1.150000	66.467	-130.7172
1.172000	66.384	-132.8198
1.180000	66.352	-133.5794
1.206000	66.246	-136.0351
1.220000	66.186	-137.3521
1.241000	66.092	-139.3250
1.250000	66.049	-140.1709
1.265000	65.977	-141.5828
1.280000	65.901	-142.9994
1.315000	65.710	-146.3342
1.320000	65.681	-146.8151
1.340000	65.561	-148.7534
1.360000	65.433	-150.7186
1.380000	65.297	-152.7157
1.400000	65.153	-154.7499
1.430000	64.919	-157.8815
1.450000	64.751	-160.0302
1.475000	64.525	-162.7743
1.500000	64.275	-165.4321
1.525000	64.000	-167.9995
1.550000	63.705	-170.5148
1.575000	63.393	-173.0166
1.600000	63.067	-175.5433
1.625000	62.732	-178.1333
1.650000	62.389	179.1750
1.675000	62.044	176.3430
1.700000	61.698	173.3325
1.725000	61.357	170.1049
1.750000	61.022	166.6219
1.775000	60.698	162.8448
1.800000	60.388	158.7355
1.825000	60.096	154.2553
1.850000	59.809	149.3242
1.875000	59.494	143.8618
1.900000	59.159	137.9371
1.925000	58.812	131.6240
1.950000	58.460	124.9967
1.975000	58.112	118.1293
2.000000	57.777	111.0958
2.030000	57.401	102.5408
2.060000	57.069	93.9815
2.090000	56.795	85.5458
2.120000	56.592	77.3619
2.140000	56.504	72.1089
2.180000	56.458	62.2612
2.200000	56.509	57.7400
2.240000	56.787	49.0679
2.270000	57.134	42.7435
2.300000	57.579	36.5869
2.330000	58.101	30.6109
2.360000	58.681	24.8278
2.400000	59.510	17.4388
2.430000	60.147	12.1548
2.470000	60.980	5.4771
2.500000	61.566	0.7606
2.540000	62.258	-5.1151
2.580000	62.819	-10.4745
2.620000	63.324	-15.1847
2.650000	63.683	-18.3246
2.690000	64.136	-22.0676
2.720000	64.456	-24.5972
2.760000	64.860	-27.6801
2.800000	65.237	-30.5237
2.850000	65.674	-33.8945
2.900000	66.074	-37.2440
2.950000	66.440	-40.7219
3.000000	66.758	-44.0526
3.040000	66.980	-46.5634
3.070000	67.130	-48.3648
3.110000	67.309	-50.6675
3.150000	67.469	-52.8680
