* Measurement data measured by REW V5.20.13
* Source: C:\Users\marcu\OneDrive\Desktop\audio_db\Aur Audio Aurora Foam R.txt
* Format: Comma/Tab/Space delimited data
* Dated: Jun 27, 2023 1:43:39 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\marcu\OneDrive\Desktop\audio_db\Aur Audio Aurora Foam R.txt Format: Comma/Tab/Space delimited data 54613 values loaded, 0 Hz to 20,000 Hz 
* Measurement: Aur Audio Aurora Foam R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	68.104	-71.9406
1.015000	67.950	-72.9117
1.030000	67.791	-73.8662
1.044000	67.636	-74.7410
1.060000	67.453	-75.7204
1.075000	67.274	-76.6173
1.090000	67.088	-77.4926
1.106000	66.882	-78.4163
1.120000	66.695	-79.2998
1.138000	66.446	-80.5452
1.150000	66.274	-81.4323
1.172000	65.949	-83.1479
1.180000	65.828	-83.7929
1.206000	65.422	-85.9311
1.220000	65.197	-87.0890
1.241000	64.851	-88.8015
1.250000	64.700	-89.5177
1.265000	64.445	-90.6759
1.280000	64.185	-91.7766
1.315000	63.565	-94.0382
1.320000	63.475	-94.3181
1.340000	63.111	-95.3076
1.360000	62.742	-96.0625
1.380000	62.370	-96.5474
1.400000	61.993	-96.7269
1.430000	61.423	-96.3462
1.450000	61.041	-95.6075
1.475000	60.553	-94.0592
1.500000	59.996	-91.6595
1.525000	59.368	-88.4777
1.550000	58.688	-84.6312
1.575000	57.974	-80.2372
1.600000	57.245	-75.4130
1.625000	56.517	-70.2760
1.650000	55.809	-64.9434
1.675000	55.139	-59.5324
1.700000	54.524	-54.1605
1.725000	53.983	-48.9449
1.750000	53.533	-44.0029
1.775000	53.193	-39.4517
1.800000	52.981	-35.4088
1.825000	52.913	-31.9913
1.850000	53.011	-29.1469
1.875000	53.277	-26.5271
1.900000	53.688	-24.1134
1.925000	54.226	-21.9032
1.950000	54.867	-19.8943
1.975000	55.591	-18.0841
2.000000	56.376	-16.4703
2.030000	57.369	-14.7894
2.060000	58.384	-13.3835
2.090000	59.382	-12.2484
2.120000	60.328	-11.3800
2.140000	60.911	-10.9471
2.180000	61.914	-10.4263
2.200000	62.313	-10.3370
2.240000	63.000	-10.7335
2.270000	63.460	-11.5432
2.300000	63.877	-12.7233
2.330000	64.257	-14.2119
2.360000	64.603	-15.9473
2.400000	65.023	-18.5380
2.430000	65.312	-20.6086
2.470000	65.672	-23.4218
2.500000	65.929	-25.4910
2.540000	66.265	-28.0779
2.580000	66.598	-30.3785
2.620000	66.903	-32.6754
2.650000	67.109	-34.4387
2.690000	67.359	-36.8293
2.720000	67.528	-38.6419
2.760000	67.735	-41.0701
2.800000	67.922	-43.4947
2.850000	68.135	-46.4924
2.900000	68.332	-49.4199
2.950000	68.517	-52.2530
3.000000	68.678	-55.0635
3.040000	68.788	-57.2990
3.070000	68.860	-58.9614
3.110000	68.944	-61.1509
3.150000	69.016	-63.3001
3.200000	69.091	-65.9144
3.250000	69.154	-68.4298
3.300000	69.206	-70.8270
3.350000	69.242	-73.1381
3.400000	69.258	-75.3839
3.450000	69.258	-77.5473
3.500000	69.246	-79.6116
3.550000	69.225	-81.5597
3.600000	69.198	-83.3748
3.650000	69.171	-85.0401
3.700000	69.139	-86.5496
3.750000	69.092	-87.9234
3.820000	69.011	-89.6262
3.870000	68.951	-90.6890
3.950000	68.865	-92.1319
4.000000	68.827	-92.8774
4.060000	68.803	-93.5984
4.120000	68.787	-94.0546
4.180000	68.779	-94.2987
4.250000	68.790	-94.4103
4.310000	68.822	-94.4390
4.370000	68.880	-94.4809
4.440000	68.989	-94.5645
4.500000	69.118	-94.5358
4.550000	69.245	-94.4729
4.620000	69.444	-94.3946
4.680000	69.628	-94.4003
4.750000	69.847	-94.5752
4.820000	70.077	-94.9588
4.870000	70.256	-95.3158
4.940000	70.518	-95.9203
5.000000	70.745	-96.5272
5.080000	71.037	-97.4499
5.150000	71.269	-98.3558
5.220000	71.492	-99.4049
5.300000	71.736	-100.7480
5.380000	71.963	-102.1741
5.450000	72.145	-103.4320
5.520000	72.305	-104.6592
5.600000	72.464	-106.1083
5.700000	72.632	-107.9531
5.800000	72.771	-109.7275
5.900000	72.885	-111.3330
6.000000	72.964	-112.8291
6.080000	73.010	-113.9404
6.150000	73.044	-114.8314
6.220000	73.077	-115.6305
6.300000	73.111	-116.4170
6.400000	73.142	-117.2323
6.500000	73.171	-117.9055
6.600000	73.214	-118.4839
6.700000	73.271	-118.9247
6.800000	73.337	-119.2436
6.900000	73.414	-119.5362
7.000000	73.505	-119.8819
7.100000	73.614	-120.2228
7.200000	73.733	-120.5823
7.300000	73.854	-121.0129
7.400000	73.973	-121.5499
7.500000	74.097	-122.1684
7.620000	74.240	-122.9919
7.750000	74.374	-123.9631
7.880000	74.490	-125.0478
8.000000	74.582	-126.0800
8.120000	74.655	-127.0789
8.250000	74.711	-128.1628
8.380000	74.753	-129.1983
8.500000	74.783	-130.0645
8.620000	74.802	-130.8616
8.750000	74.819	-131.6570
8.850000	74.835	-132.2191
9.000000	74.859	-132.9683
9.120000	74.883	-133.5369
9.250000	74.916	-134.1535
9.380000	74.956	-134.7516
9.500000	74.996	-135.3257
9.620000	75.040	-135.9438
9.750000	75.092	-136.6461
9.880000	75.133	-137.3816
10.000000	75.155	-138.0978
10.150000	75.167	-139.0326
10.300000	75.167	-139.9695
10.440000	75.154	-140.8512
10.600000	75.132	-141.8435
10.750000	75.109	-142.7342
10.900000	75.084	-143.5965
11.060000	75.059	-144.4822
11.200000	75.039	-145.2254
11.380000	75.017	-146.1643
11.500000	75.006	-146.7831
11.720000	74.989	-147.9100
11.800000	74.983	-148.3232
12.060000	74.968	-149.6666
12.200000	74.957	-150.3841
12.410000	74.942	-151.4473
12.500000	74.941	-151.8895
12.650000	74.948	-152.6109
12.800000	74.960	-153.3112
13.150000	74.991	-154.8547
13.200000	74.997	-155.0694
13.400000	75.020	-155.9120
13.600000	75.044	-156.7465
13.800000	75.068	-157.5810
14.000000	75.088	-158.4090
14.300000	75.110	-159.6297
14.500000	75.118	-160.4068
14.750000	75.124	-161.3200
15.000000	75.125	-162.1642
15.250000	75.127	-162.9511
15.500000	75.132	-163.7127
15.750000	75.138	-164.4675
16.000000	75.145	-165.2400
16.250000	75.151	-166.0240
16.500000	75.154	-166.8110
16.750000	75.150	-167.5829
17.000000	75.141	-168.3282
17.250000	75.130	-169.0498
17.500000	75.119	-169.7542
17.750000	75.109	-170.4612
18.000000	75.099	-171.1764
18.250000	75.088	-171.9056
18.500000	75.075	-172.6393
18.750000	75.059	-173.3692
19.000000	75.044	-174.0880
19.250000	75.030	-174.7943
19.500000	75.018	-175.4964
19.750000	75.010	-176.2003
20.000000	75.003	-176.9156
20.299999	74.995	-177.7829
20.600000	74.987	-178.6469
20.900000	74.977	-179.4877
21.200001	74.965	179.7120
21.400000	74.959	179.2020
21.799999	74.949	178.2267
22.000000	74.947	177.7544
22.400000	74.944	176.8275
22.700001	74.941	176.1478
23.000000	74.937	175.4849
23.299999	74.932	174.8395
23.600000	74.927	174.2072
24.000000	74.916	173.3766
24.299999	74.904	172.7624
24.700001	74.883	171.9651
25.000000	74.864	171.3913
25.400000	74.838	170.6567
25.799999	74.813	169.9326
26.200001	74.790	169.1880
26.500000	74.772	168.6090
26.900000	74.743	167.8188
27.200001	74.719	167.2253
27.600000	74.686	166.4440
28.000000	74.653	165.6738
28.500000	74.613	164.7164
29.000000	74.575	163.7665
29.500000	74.538	162.8383
30.000000	74.504	161.9421
30.400000	74.478	161.2509
30.700001	74.459	160.7486
31.100000	74.436	160.0997
31.500000	74.416	159.4682
32.000000	74.393	158.6844
32.500000	74.368	157.8942
33.000000	74.338	157.1072
33.500000	74.303	156.3406
34.000000	74.265	155.6000
34.500000	74.226	154.8817
35.000000	74.185	154.1830
35.500000	74.146	153.4947
36.000000	74.107	152.8001
36.500000	74.069	152.0928
37.000000	74.029	151.3909
37.500000	73.987	150.7162
38.200001	73.938	149.8057
38.700001	73.909	149.1404
39.500000	73.858	148.0152
40.000000	73.818	147.3167
40.599998	73.762	146.5530
41.200001	73.713	145.8870
41.799999	73.676	145.2448
42.500000	73.639	144.4222
43.099998	73.599	143.6768
43.700001	73.550	142.9659
44.400002	73.495	142.1882
45.000000	73.450	141.5332
45.500000	73.413	140.9942
46.200001	73.363	140.2599
46.799999	73.324	139.6322
47.500000	73.278	138.8749
48.200001	73.229	138.1087
48.700001	73.190	137.5790
49.400002	73.139	136.8692
50.000000	73.096	136.2707
50.799999	73.040	135.4782
51.500000	72.991	134.8131
52.200001	72.946	134.1668
53.000000	72.897	133.4166
53.799999	72.846	132.6566
54.500000	72.798	132.0018
55.200001	72.745	131.3828
56.000000	72.690	130.7148
57.000000	72.626	129.8367
58.000000	72.551	128.9605
59.000000	72.483	128.1581
60.000000	72.423	127.3137
60.799999	72.371	126.6268
61.500000	72.326	126.0485
62.200001	72.283	125.4879
63.000000	72.231	124.8635
64.000000	72.169	124.1014
65.000000	72.104	123.3470
66.000000	72.038	122.6048
67.000000	71.971	121.8691
68.000000	71.905	121.1466
69.000000	71.841	120.4507
70.000000	71.782	119.7473
71.000000	71.720	119.0339
72.000000	71.657	118.3569
73.000000	71.595	117.6891
74.000000	71.532	117.0358
75.000000	71.471	116.4033
76.199997	71.400	115.6399
77.500000	71.324	114.8217
78.800003	71.252	114.0262
80.000000	71.186	113.2772
81.199997	71.117	112.5531
82.500000	71.043	111.8113
83.800003	70.976	111.0844
85.000000	70.912	110.3762
86.199997	70.844	109.7383
87.500000	70.781	109.0418
88.500000	70.730	108.4834
90.000000	70.652	107.6920
91.199997	70.592	107.0542
92.500000	70.525	106.3766
