* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Oct 1, 2024 9:26:58 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L BAJIE SANCAI WIDE 223
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 125.620 27.4435
20.600000 125.633 26.5423
20.900000 125.639 25.7322
21.200001 125.645 24.9296
21.400000 125.651 24.3967
21.799999 125.665 23.3379
22.000000 125.673 22.8139
22.400000 125.691 21.7829
22.700001 125.704 21.0301
23.000000 125.714 20.3014
23.299999 125.720 19.6031
23.600000 125.722 18.9378
24.000000 125.721 18.0956
24.299999 125.721 17.4806
24.700001 125.723 16.6524
25.000000 125.725 16.0101
25.400000 125.724 15.1308
25.799999 125.717 14.2664
26.200001 125.706 13.4654
26.500000 125.699 12.9141
26.900000 125.697 12.2189
27.200001 125.698 11.6950
27.600000 125.699 10.9618
28.000000 125.690 10.1965
28.500000 125.663 9.2653
29.000000 125.629 8.4216
29.500000 125.603 7.6247
30.000000 125.585 6.7899
30.400000 125.568 6.0909
30.700001 125.551 5.5748
31.100000 125.526 4.9341
31.500000 125.505 4.3539
32.000000 125.489 3.6664
32.500000 125.480 2.9538
33.000000 125.464 2.2079
33.500000 125.438 1.4748
34.000000 125.403 0.7881
34.500000 125.367 0.1410
35.000000 125.332 -0.4867
35.500000 125.301 -1.1120
36.000000 125.273 -1.7497
36.500000 125.245 -2.4011
37.000000 125.212 -3.0383
37.500000 125.175 -3.6327
38.200001 125.127 -4.4292
38.700001 125.092 -5.0226
39.500000 125.024 -5.9314
40.000000 124.984 -6.4034
40.599998 124.951 -6.9555
41.200001 124.918 -7.6257
41.799999 124.864 -8.3436
42.500000 124.791 -9.0325
43.099998 124.751 -9.5310
43.700001 124.722 -10.0738
44.400002 124.669 -10.7095
45.000000 124.607 -11.1641
45.500000 124.558 -11.5305
46.200001 124.506 -12.1700
46.799999 124.470 -12.8505
47.500000 124.418 -13.5834
48.200001 124.358 -14.0146
48.700001 124.325 -14.2381
49.400002 124.277 -14.8136
50.000000 124.196 -15.4540
50.799999 124.103 -15.6939
51.500000 124.163 -15.6584
52.200001 124.225 -16.4554
53.000000 124.045 -17.6300
53.799999 123.795 -17.7275
54.500000 123.740 -17.9242
55.200001 123.718 -18.7202
56.000000 123.653 -19.1222
57.000000 123.628 -19.3901
58.000000 123.466 -20.3262
59.000000 123.333 -20.6207
60.000000 123.288 -21.2668
60.799999 123.189 -21.5318
61.500000 123.139 -21.6333
62.200001 123.094 -22.1427
63.000000 122.976 -22.6354
64.000000 122.885 -22.4989
65.000000 122.852 -23.0798
66.000000 122.699 -23.6968
67.000000 122.621 -23.6794
68.000000 122.576 -24.1428
69.000000 122.467 -24.5820
70.000000 122.360 -24.9488
71.000000 122.264 -25.1662
72.000000 122.191 -25.5422
73.000000 122.055 -25.8631
74.000000 121.969 -25.9531
75.000000 121.878 -26.3863
76.199997 121.775 -25.9877
77.500000 121.765 -26.3754
78.800003 121.570 -26.6414
80.000000 121.484 -26.9258
81.199997 121.270 -27.2134
82.500000 121.202 -26.9499
83.800003 121.092 -27.0363
85.000000 121.012 -27.3419
86.199997 120.896 -27.6371
87.500000 120.720 -26.7057
88.500000 120.676 -27.0615
90.000000 120.478 -27.1399
91.199997 120.533 -27.6815
92.500000 120.191 -26.5005
93.800003 120.353 -26.9218
95.000000 120.192 -25.7773
96.199997 120.235 -26.8080
97.500000 120.042 -27.3702
98.800003 119.909 -26.0149
100.000000 119.868 -24.8630
101.500000 119.651 -27.8807
103.000000 119.479 -25.0214
104.400002 119.423 -25.6882
106.000000 119.415 -25.6599
107.500000 119.174 -24.6204
109.000000 119.219 -23.6933
110.599998 119.194 -25.2235
112.000000 119.089 -24.5317
113.800003 118.892 -24.9425
115.000000 118.896 -23.7636
117.199997 118.746 -23.7727
118.000000 118.777 -24.0746
120.599998 118.515 -23.1109
122.000000 118.472 -23.1372
124.099998 118.327 -20.8950
125.000000 118.297 -20.5572
126.500000 118.439 -20.1829
128.000000 118.526 -19.6286
131.500000 118.232 -17.8923
132.000000 118.286 -17.7691
134.000000 118.244 -20.2348
136.000000 118.434 -20.1283
138.000000 118.479 -18.5474
140.000000 117.972 -20.3579
143.000000 118.070 -17.6237
145.000000 118.084 -17.1902
147.500000 118.009 -16.7210
150.000000 117.951 -17.6011
152.500000 118.065 -16.9805
155.000000 117.892 -16.6829
157.500000 117.843 -15.3571
160.000000 117.807 -15.0272
162.500000 117.740 -14.8132
165.000000 117.724 -14.3211
167.500000 117.692 -13.8027
170.000000 117.641 -13.4689
172.500000 117.618 -13.0507
175.000000 117.617 -12.6795
177.500000 117.589 -12.0127
180.000000 117.548 -11.5516
182.500000 117.522 -11.2519
185.000000 117.540 -10.7382
187.500000 117.539 -10.2382
190.000000 117.535 -9.9344
192.500000 117.567 -9.6449
195.000000 117.536 -9.4542
197.500000 117.546 -9.1466
200.000000 117.533 -8.8427
203.000000 117.523 -8.4541
206.000000 117.528 -8.0819
209.000000 117.511 -7.7747
212.000000 117.506 -7.6465
214.000000 117.501 -7.1122
218.000000 117.488 -6.8738
220.000000 117.487 -6.6852
224.000000 117.480 -6.2818
227.000000 117.477 -5.9157
230.000000 117.487 -5.5939
233.000000 117.489 -5.2741
236.000000 117.491 -4.9020
240.000000 117.510 -4.6355
243.000000 117.516 -4.2476
247.000000 117.533 -3.9033
250.000000 117.559 -3.5866
254.000000 117.570 -3.4105
258.000000 117.587 -3.0156
262.000000 117.572 -2.8435
265.000000 117.598 -2.6098
269.000000 117.597 -2.3450
272.000000 117.617 -2.1048
276.000000 117.651 -1.7860
280.000000 117.633 -1.5060
285.000000 117.676 -1.2803
290.000000 117.704 -1.1520
295.000000 117.728 -0.8714
300.000000 117.771 -0.7776
304.000000 117.750 -0.6205
307.000000 117.774 -0.4937
311.000000 117.766 -0.3837
315.000000 117.782 -0.4267
320.000000 117.801 -0.1301
325.000000 117.786 -0.0867
330.000000 117.812 0.1021
335.000000 117.803 0.2579
340.000000 117.806 0.5311
345.000000 117.814 0.6856
350.000000 117.839 0.8708
355.000000 117.851 0.8895
360.000000 117.846 0.9820
365.000000 117.836 1.2090
370.000000 117.832 1.4297
375.000000 117.888 1.4351
382.000000 117.870 1.6071
387.000000 117.888 1.6949
395.000000 117.878 1.8915
400.000000 117.885 1.9364
406.000000 117.890 2.0101
412.000000 117.879 2.1387
418.000000 117.896 2.3983
425.000000 117.882 2.4089
431.000000 117.880 2.7080
437.000000 117.888 2.8420
444.000000 117.886 2.9975
450.000000 117.883 3.0629
455.000000 117.867 3.1759
462.000000 117.855 3.4954
468.000000 117.858 3.5715
475.000000 117.869 3.7214
482.000000 117.874 3.8412
487.000000 117.840 3.9656
494.000000 117.852 4.1893
500.000000 117.866 4.3807
508.000000 117.863 4.4991
515.000000 117.853 4.7596
522.000000 117.838 5.0280
530.000000 117.840 4.9829
538.000000 117.826 5.4738
545.000000 117.824 5.5437
552.000000 117.826 5.7092
560.000000 117.817 5.9655
570.000000 117.811 6.1208
580.000000 117.808 6.4609
590.000000 117.777 6.6420
600.000000 117.782 7.0536
608.000000 117.768 7.2529
615.000000 117.776 7.5985
622.000000 117.771 7.8701
630.000000 117.729 8.1335
640.000000 117.743 8.4751
650.000000 117.753 8.8375
660.000000 117.728 9.2482
670.000000 117.718 9.5667
680.000000 117.720 10.0078
690.000000 117.745 10.4884
700.000000 117.748 10.8745
710.000000 117.760 11.0958
720.000000 117.767 11.4180
730.000000 117.808 11.9153
740.000000 117.783 12.3626
750.000000 117.814 12.7533
762.000000 117.826 13.1716
775.000000 117.844 13.5834
788.000000 117.878 14.1593
800.000000 117.914 14.8652
812.000000 117.924 15.2357
825.000000 117.957 15.8284
838.000000 118.017 16.2846
850.000000 118.042 16.8172
862.000000 118.089 17.3151
875.000000 118.145 17.8396
885.000000 118.187 18.1786
900.000000 118.251 18.6466
912.000000 118.330 19.1129
925.000000 118.386 19.6501
938.000000 118.464 20.1481
950.000000 118.530 20.4249
962.000000 118.600 20.8294
975.000000 118.691 21.2120
988.000000 118.743 21.4937
1000.000000 118.821 22.2371
1015.000000 118.945 22.1261
1030.000000 119.045 22.2652
1044.000000 119.125 22.5755
1060.000000 119.240 22.7904
1075.000000 119.330 22.8903
1090.000000 119.450 22.9930
1106.000000 119.526 23.0381
1120.000000 119.629 23.0335
1138.000000 119.749 23.0194
1150.000000 119.822 23.1219
1172.000000 119.933 22.8371
1180.000000 119.990 22.7697
1206.000000 120.097 22.6108
1220.000000 120.168 22.3855
1241.000000 120.259 22.3035
1250.000000 120.303 22.1028
1265.000000 120.374 21.8821
1280.000000 120.415 21.7224
1315.000000 120.526 21.2493
1320.000000 120.527 21.2178
1340.000000 120.583 21.0285
1360.000000 120.635 20.8713
1380.000000 120.673 20.5019
1400.000000 120.711 20.3523
1430.000000 120.797 20.1297
1450.000000 120.812 19.9866
1475.000000 120.852 19.7879
1500.000000 120.915 19.6885
1525.000000 120.968 19.5468
1550.000000 120.981 19.4627
1575.000000 121.033 19.2900
1600.000000 121.084 19.2836
1625.000000 121.111 19.2175
1650.000000 121.148 19.0718
1675.000000 121.181 19.1507
1700.000000 121.244 19.0346
1725.000000 121.281 19.0646
1750.000000 121.354 19.1488
1775.000000 121.388 18.9927
1800.000000 121.453 18.9278
1825.000000 121.508 18.8934
1850.000000 121.543 18.9543
1875.000000 121.614 18.8018
1900.000000 121.661 18.7879
1925.000000 121.728 18.7031
1950.000000 121.798 18.6163
1975.000000 121.859 18.4778
2000.000000 121.922 18.0147
2030.000000 121.998 18.2148
2060.000000 122.083 18.0459
2090.000000 122.180 17.9549
2120.000000 122.246 17.6169
2140.000000 122.316 17.5391
2180.000000 122.423 17.1476
2200.000000 122.478 16.9758
2240.000000 122.604 16.5414
2270.000000 122.676 16.1310
2300.000000 122.784 15.8022
2330.000000 122.862 15.3724
2360.000000 122.949 14.9392
2400.000000 123.071 14.2806
2430.000000 123.159 13.8063
2470.000000 123.270 13.0927
2500.000000 123.358 12.5052
2540.000000 123.461 11.7152
2580.000000 123.583 10.7372
2620.000000 123.695 9.8427
2650.000000 123.759 9.0330
2690.000000 123.855 7.9001
2720.000000 123.900 7.1591
2760.000000 124.014 5.8602
2800.000000 124.060 4.4937
2850.000000 124.136 2.7258
2900.000000 124.203 0.9911
2950.000000 124.207 -0.9645
3000.000000 124.210 -2.5103
3040.000000 124.174 -4.3621
3070.000000 124.139 -5.4930
3110.000000 124.086 -7.2283
3150.000000 124.014 -8.7210
3200.000000 123.905 -10.5282
3250.000000 123.740 -12.4104
3300.000000 123.557 -14.1322
3350.000000 123.346 -15.6704
3400.000000 123.129 -17.1618
3450.000000 122.871 -18.4649
3500.000000 122.605 -19.5654
3550.000000 122.305 -20.4841
3600.000000 122.010 -20.9872
3650.000000 121.697 -21.5204
3700.000000 121.409 -21.7149
3750.000000 121.111 -21.5273
3820.000000 120.700 -20.6980
3870.000000 120.413 -20.0631
3950.000000 120.027 -18.1742
4000.000000 119.774 -17.1811
4060.000000 119.652 -14.7773
4120.000000 119.520 -12.4604
4180.000000 119.454 -10.2183
4250.000000 119.472 -7.6632
4310.000000 119.608 -5.4405
4370.000000 119.771 -3.3779
4440.000000 120.012 -1.2656
4500.000000 120.326 0.2799
4550.000000 120.637 1.1233
4620.000000 121.060 1.9640
4680.000000 121.463 2.0774
4750.000000 121.962 1.5864
4820.000000 122.407 0.5653
4870.000000 122.740 -0.7751
4940.000000 123.173 -3.0412
5000.000000 123.430 -5.4823
5080.000000 123.779 -9.5523
5150.000000 123.893 -13.5166
5220.000000 123.882 -17.3502
5300.000000 123.747 -21.8348
5380.000000 123.468 -25.9081
5450.000000 123.127 -28.9119
5520.000000 122.710 -31.5687
5600.000000 122.203 -33.8385
5700.000000 121.533 -35.5553
5800.000000 120.866 -36.4279
5900.000000 120.263 -36.5368
