* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Dec 23, 2024 8:43:04 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L BLON 2 480
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 128.957 -146.2215
20.600000 128.981 -146.9631
20.900000 128.999 -147.6185
21.200001 129.017 -148.2668
21.400000 129.031 -148.7039
21.799999 129.061 -149.5949
22.000000 129.076 -150.0470
22.400000 129.103 -150.9479
22.700001 129.121 -151.6022
23.000000 129.136 -152.2249
23.299999 129.151 -152.8176
23.600000 129.167 -153.3907
24.000000 129.188 -154.1455
24.299999 129.203 -154.7160
24.700001 129.221 -155.4799
25.000000 129.232 -156.0423
25.400000 129.246 -156.7602
25.799999 129.261 -157.4384
26.200001 129.279 -158.0964
26.500000 129.292 -158.5917
26.900000 129.307 -159.2613
27.200001 129.312 -159.7627
27.600000 129.313 -160.4107
28.000000 129.310 -161.0197
28.500000 129.309 -161.7398
29.000000 129.316 -162.4638
29.500000 129.325 -163.2154
30.000000 129.328 -163.9549
30.400000 129.328 -164.4980
30.700001 129.327 -164.8702
31.100000 129.331 -165.3374
31.500000 129.338 -165.8036
32.000000 129.347 -166.4250
32.500000 129.350 -167.0857
33.000000 129.343 -167.7379
33.500000 129.332 -168.3463
34.000000 129.324 -168.9185
34.500000 129.321 -169.4855
35.000000 129.318 -170.0583
35.500000 129.314 -170.6230
36.000000 129.309 -171.1671
36.500000 129.304 -171.6973
37.000000 129.298 -172.2218
37.500000 129.288 -172.7328
38.200001 129.273 -173.4062
38.700001 129.265 -173.8754
39.500000 129.250 -174.6573
40.000000 129.236 -175.1387
40.599998 129.218 -175.6680
41.200001 129.206 -176.1710
41.799999 129.196 -176.7024
42.500000 129.178 -177.3449
43.099998 129.157 -177.8537
43.700001 129.138 -178.3227
44.400002 129.119 -178.8693
45.000000 129.102 -179.3469
45.500000 129.087 -179.7402
46.200001 129.067 179.7106
46.799999 129.049 179.2352
47.500000 129.027 178.7020
48.200001 129.005 178.1960
48.700001 128.990 177.8298
49.400002 128.964 177.3160
50.000000 128.938 176.9154
50.799999 128.911 176.4166
51.500000 128.893 175.9418
52.200001 128.869 175.4699
53.000000 128.844 174.9805
53.799999 128.821 174.4546
54.500000 128.788 173.9993
55.200001 128.753 173.6326
56.000000 128.724 173.2382
57.000000 128.692 172.6755
58.000000 128.656 172.1003
59.000000 128.613 171.5447
60.000000 128.570 171.0570
60.799999 128.537 170.6317
61.500000 128.505 170.2590
62.200001 128.479 169.9000
63.000000 128.450 169.4839
64.000000 128.409 169.0770
65.000000 128.377 168.6902
66.000000 128.331 168.1513
67.000000 128.276 167.6787
68.000000 128.236 167.2680
69.000000 128.198 166.8733
70.000000 128.160 166.4792
71.000000 128.120 166.0662
72.000000 128.073 165.6561
73.000000 128.025 165.2665
74.000000 127.985 164.8688
75.000000 127.945 164.5270
76.199997 127.895 164.1646
77.500000 127.830 163.7173
78.800003 127.778 163.2069
80.000000 127.722 162.8143
81.199997 127.672 162.4857
82.500000 127.612 162.0828
83.800003 127.558 161.7027
85.000000 127.508 161.3580
86.199997 127.456 161.0082
87.500000 127.397 160.6436
88.500000 127.351 160.3613
90.000000 127.288 159.9652
91.199997 127.232 159.6517
92.500000 127.178 159.3731
93.800003 127.119 159.0275
95.000000 127.065 158.7899
96.199997 127.017 158.5215
97.500000 126.967 158.2453
98.800003 126.909 157.9456
100.000000 126.857 157.7256
101.500000 126.789 157.4124
103.000000 126.724 157.1493
104.400002 126.666 156.9252
106.000000 126.592 156.5688
107.500000 126.530 156.3666
109.000000 126.473 156.0877
110.599998 126.402 155.8121
112.000000 126.349 155.6069
113.800003 126.273 155.3482
115.000000 126.220 155.1838
117.199997 126.131 154.8337
118.000000 126.095 154.7054
120.599998 126.003 154.4937
122.000000 125.935 154.3290
124.099998 125.851 154.0375
125.000000 125.820 153.9490
126.500000 125.758 153.8030
128.000000 125.696 153.6346
131.500000 125.560 153.3039
132.000000 125.542 153.2635
134.000000 125.469 153.0867
136.000000 125.383 152.9395
138.000000 125.312 152.7793
140.000000 125.234 152.6501
143.000000 125.127 152.4234
145.000000 125.053 152.3210
147.500000 124.957 152.2203
150.000000 124.865 152.0978
152.500000 124.781 151.9989
155.000000 124.697 151.8908
157.500000 124.609 151.7178
160.000000 124.519 151.6528
162.500000 124.437 151.5554
165.000000 124.347 151.4776
167.500000 124.269 151.5454
170.000000 124.195 151.4100
172.500000 124.098 151.3827
175.000000 124.007 151.4214
177.500000 123.936 151.4829
180.000000 123.866 151.4101
182.500000 123.805 151.4097
185.000000 123.736 151.3974
187.500000 123.630 151.3211
190.000000 123.575 150.9887
192.500000 123.556 151.4571
195.000000 123.388 151.7630
197.500000 123.351 151.4643
200.000000 123.267 151.6596
203.000000 123.180 151.7069
206.000000 123.088 151.6808
209.000000 123.006 151.9760
212.000000 122.932 151.9825
214.000000 122.882 152.0146
218.000000 122.770 152.0943
220.000000 122.728 152.1619
224.000000 122.616 152.3383
227.000000 122.543 152.5274
230.000000 122.469 152.6136
233.000000 122.386 152.7842
236.000000 122.317 152.9102
240.000000 122.223 153.0923
243.000000 122.155 153.2827
247.000000 122.061 153.5441
250.000000 121.990 153.6512
254.000000 121.898 153.8569
258.000000 121.821 154.1081
262.000000 121.733 154.3942
265.000000 121.659 154.5668
269.000000 121.577 154.7813
272.000000 121.519 155.0159
276.000000 121.441 155.2653
280.000000 121.354 155.5669
285.000000 121.261 155.8370
290.000000 121.161 156.2725
295.000000 121.069 156.6663
300.000000 120.980 157.0507
304.000000 120.915 157.3287
307.000000 120.854 157.6128
311.000000 120.794 157.9590
315.000000 120.726 158.1254
320.000000 120.640 158.6196
325.000000 120.567 159.0187
330.000000 120.488 159.3934
335.000000 120.418 159.9609
340.000000 120.339 160.4035
345.000000 120.270 160.8160
350.000000 120.196 161.2300
355.000000 120.122 161.6493
360.000000 120.056 162.1341
365.000000 119.982 162.5902
370.000000 119.915 163.0178
375.000000 119.878 163.6708
382.000000 119.793 164.4689
387.000000 119.754 164.8469
395.000000 119.652 165.3877
400.000000 119.566 166.0884
406.000000 119.544 166.4734
412.000000 119.463 167.3693
418.000000 119.411 167.6660
425.000000 119.368 168.4554
431.000000 119.300 169.1906
437.000000 119.297 169.8312
444.000000 119.210 170.5441
450.000000 119.195 171.0393
455.000000 119.151 171.6818
462.000000 119.099 172.3525
468.000000 119.067 172.9814
475.000000 119.032 173.6153
482.000000 119.005 174.4318
487.000000 118.973 174.9184
494.000000 118.956 175.6857
500.000000 118.924 176.2507
508.000000 118.900 177.0029
515.000000 118.892 177.6200
522.000000 118.867 178.3939
530.000000 118.878 179.1991
538.000000 118.882 -179.8929
545.000000 118.852 -179.5746
552.000000 118.846 -178.5348
560.000000 118.853 -178.1488
570.000000 118.868 -177.0482
580.000000 118.869 -176.1925
590.000000 118.875 -175.2566
600.000000 118.890 -174.4324
608.000000 118.907 -173.7762
615.000000 118.909 -173.2096
622.000000 118.940 -172.5723
630.000000 118.942 -172.0592
640.000000 118.962 -171.2610
650.000000 118.988 -170.5990
660.000000 119.011 -169.7303
670.000000 119.027 -169.1336
680.000000 119.033 -168.3657
690.000000 119.084 -167.6785
700.000000 119.115 -167.0436
710.000000 119.154 -166.3077
720.000000 119.179 -165.6467
730.000000 119.214 -165.0497
740.000000 119.212 -164.3548
750.000000 119.282 -163.7012
762.000000 119.301 -162.9121
775.000000 119.350 -162.0911
788.000000 119.384 -161.3278
800.000000 119.427 -160.5322
812.000000 119.485 -159.8526
825.000000 119.542 -158.7514
838.000000 119.605 -157.9559
850.000000 119.674 -157.1824
862.000000 119.747 -156.5634
875.000000 119.828 -155.8436
885.000000 119.867 -155.1796
900.000000 119.965 -154.4626
912.000000 120.047 -153.8829
925.000000 120.133 -153.1354
938.000000 120.203 -152.4354
950.000000 120.296 -151.9090
962.000000 120.398 -151.3249
975.000000 120.477 -150.7354
988.000000 120.576 -150.1067
1000.000000 120.632 -149.5380
1015.000000 120.784 -149.0447
1030.000000 120.892 -148.5219
1044.000000 121.008 -148.1207
1060.000000 121.141 -147.5404
1075.000000 121.245 -146.9924
1090.000000 121.380 -146.7168
1106.000000 121.517 -146.3114
1120.000000 121.597 -146.0021
1138.000000 121.757 -145.5876
1150.000000 121.828 -145.2987
1172.000000 121.992 -144.9887
1180.000000 122.054 -144.9588
1206.000000 122.234 -144.5708
1220.000000 122.335 -144.2864
1241.000000 122.481 -144.1340
1250.000000 122.538 -144.0082
1265.000000 122.638 -143.8756
1280.000000 122.734 -143.7039
1315.000000 122.952 -143.4138
1320.000000 123.002 -143.4062
1340.000000 123.110 -143.3484
1360.000000 123.235 -143.1367
1380.000000 123.365 -142.9879
1400.000000 123.491 -142.7372
1430.000000 123.677 -142.6364
1450.000000 123.795 -142.5945
1475.000000 123.951 -142.5534
1500.000000 124.091 -142.4348
1525.000000 124.256 -142.3731
1550.000000 124.414 -142.3270
1575.000000 124.571 -142.2871
1600.000000 124.733 -142.3703
1625.000000 124.896 -142.3829
1650.000000 125.059 -142.5274
1675.000000 125.214 -142.6173
1700.000000 125.384 -142.7438
1725.000000 125.555 -142.9998
1750.000000 125.717 -143.3035
1775.000000 125.882 -143.6415
1800.000000 126.051 -144.0070
1825.000000 126.222 -144.4457
1850.000000 126.384 -144.9082
1875.000000 126.543 -145.3774
1900.000000 126.686 -145.9342
1925.000000 126.861 -146.6483
1950.000000 127.010 -147.3843
1975.000000 127.160 -148.1252
2000.000000 127.278 -148.9998
2030.000000 127.448 -149.9909
2060.000000 127.608 -151.0971
2090.000000 127.742 -152.2898
2120.000000 127.867 -153.6240
2140.000000 127.942 -154.4373
2180.000000 128.087 -156.2336
2200.000000 128.131 -157.2278
2240.000000 128.232 -159.1267
2270.000000 128.278 -160.5581
2300.000000 128.313 -162.0292
2330.000000 128.321 -163.4760
2360.000000 128.323 -164.8789
2400.000000 128.301 -166.7509
2430.000000 128.271 -168.1240
2470.000000 128.202 -169.8161
2500.000000 128.144 -171.0159
2540.000000 128.041 -172.5680
2580.000000 127.936 -173.9380
2620.000000 127.790 -175.1396
2650.000000 127.709 -176.0760
2690.000000 127.554 -177.0876
2720.000000 127.441 -177.7535
2760.000000 127.293 -178.5919
2800.000000 127.153 -179.3626
2850.000000 126.968 179.9196
2900.000000 126.792 179.3821
2950.000000 126.609 178.9641
3000.000000 126.439 178.5837
3040.000000 126.316 178.5224
3070.000000 126.224 178.4648
3110.000000 126.110 178.3868
3150.000000 126.009 178.3608
3200.000000 125.874 178.4235
3250.000000 125.759 178.6260
3300.000000 125.660 178.7370
3350.000000 125.584 178.9965
3400.000000 125.498 179.2439
3450.000000 125.431 179.6321
3500.000000 125.380 179.9053
3550.000000 125.355 -179.7596
3600.000000 125.327 -179.5112
3650.000000 125.319 -179.1646
3700.000000 125.306 -178.8276
3750.000000 125.310 -178.4778
3820.000000 125.351 -178.2242
3870.000000 125.397 -177.8711
3950.000000 125.478 -177.7127
4000.000000 125.538 -177.5290
4060.000000 125.612 -177.5895
4120.000000 125.715 -177.7222
4180.000000 125.835 -177.8955
4250.000000 125.985 -178.3606
4310.000000 126.088 -178.9068
4370.000000 126.221 -179.7675
4440.000000 126.346 179.2087
4500.000000 126.450 178.0388
4550.000000 126.547 176.9885
4620.000000 126.643 175.3201
4680.000000 126.698 173.7198
4750.000000 126.727 171.4935
4820.000000 126.691 169.1830
4870.000000 126.658 167.5002
4940.000000 126.542 165.1527
5000.000000 126.424 163.0771
5080.000000 126.140 160.4452
5150.000000 125.845 158.4576
5220.000000 125.549 156.4164
5300.000000 125.122 154.7550
5380.000000 124.673 153.3236
5450.000000 124.249 152.4524
5520.000000 123.830 151.8910
5600.000000 123.371 151.5436
5700.000000 122.771 151.5190
5800.000000 122.163 152.3240
5900.000000 121.579 153.2596
6000.000000 121.077 155.0365
