* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Dec 23, 2024 8:42:35 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R BLON 2 479
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 128.856 -146.1721
20.600000 128.882 -146.8988
20.900000 128.903 -147.5523
21.200001 128.923 -148.2104
21.400000 128.937 -148.6561
21.799999 128.965 -149.5599
22.000000 128.980 -150.0124
22.400000 129.007 -150.9014
22.700001 129.026 -151.5418
23.000000 129.044 -152.1538
23.299999 129.062 -152.7406
23.600000 129.079 -153.3085
24.000000 129.099 -154.0465
24.299999 129.113 -154.5906
24.700001 129.129 -155.3048
25.000000 129.140 -155.8313
25.400000 129.156 -156.5226
25.799999 129.173 -157.2083
26.200001 129.188 -157.8936
26.500000 129.198 -158.4046
26.900000 129.205 -159.0695
27.200001 129.207 -159.5441
27.600000 129.207 -160.1352
28.000000 129.208 -160.6867
28.500000 129.216 -161.3652
29.000000 129.229 -162.0880
29.500000 129.240 -162.8612
30.000000 129.243 -163.6284
30.400000 129.242 -164.1953
30.700001 129.242 -164.5858
31.100000 129.245 -165.0741
31.500000 129.250 -165.5500
32.000000 129.258 -166.1588
32.500000 129.260 -166.7864
33.000000 129.257 -167.4100
33.500000 129.252 -168.0111
34.000000 129.248 -168.5905
34.500000 129.247 -169.1619
35.000000 129.247 -169.7353
35.500000 129.243 -170.3075
36.000000 129.232 -170.8607
36.500000 129.217 -171.3770
37.000000 129.202 -171.8587
37.500000 129.192 -172.3329
38.200001 129.183 -173.0313
38.700001 129.176 -173.5418
39.500000 129.164 -174.3000
40.000000 129.158 -174.7437
40.599998 129.151 -175.2867
41.200001 129.136 -175.8361
41.799999 129.117 -176.3512
42.500000 129.101 -176.9163
43.099998 129.091 -177.4160
43.700001 129.075 -177.9138
44.400002 129.051 -178.4446
45.000000 129.032 -178.8914
45.500000 129.018 -179.2975
46.200001 128.995 -179.8772
46.799999 128.978 179.6844
47.500000 128.970 179.2091
48.200001 128.957 178.6999
48.700001 128.936 178.3482
49.400002 128.900 177.9315
50.000000 128.882 177.5806
50.799999 128.868 176.9972
51.500000 128.844 176.4684
52.200001 128.813 176.0529
53.000000 128.785 175.6429
53.799999 128.763 175.1435
54.500000 128.736 174.6594
55.200001 128.706 174.2242
56.000000 128.676 173.7946
57.000000 128.642 173.2511
58.000000 128.606 172.6906
59.000000 128.576 172.1316
60.000000 128.538 171.5927
60.799999 128.500 171.2082
61.500000 128.468 170.8936
62.200001 128.443 170.5649
63.000000 128.415 170.1586
64.000000 128.372 169.6969
65.000000 128.332 169.2815
66.000000 128.293 168.7832
67.000000 128.247 168.3336
68.000000 128.209 167.9742
69.000000 128.171 167.5716
70.000000 128.124 167.1622
71.000000 128.087 166.7714
72.000000 128.051 166.3536
73.000000 128.006 165.9789
74.000000 127.961 165.6306
75.000000 127.920 165.2812
76.199997 127.874 164.8553
77.500000 127.819 164.4189
78.800003 127.762 164.0163
80.000000 127.718 163.6356
81.199997 127.659 163.2219
82.500000 127.606 162.8471
83.800003 127.547 162.4870
85.000000 127.500 162.1628
86.199997 127.445 161.8514
87.500000 127.401 161.4583
88.500000 127.347 161.1467
90.000000 127.287 160.8122
91.199997 127.244 160.4810
92.500000 127.180 160.1846
93.800003 127.135 159.9235
95.000000 127.072 159.6068
96.199997 127.027 159.4450
97.500000 126.975 159.0535
98.800003 126.912 158.8342
100.000000 126.868 158.5818
101.500000 126.806 158.2760
103.000000 126.744 157.9883
104.400002 126.682 157.7090
106.000000 126.627 157.4734
107.500000 126.557 157.2380
109.000000 126.495 156.9736
110.599998 126.430 156.7657
112.000000 126.382 156.5033
113.800003 126.302 156.2914
115.000000 126.257 156.0672
117.199997 126.174 155.8331
118.000000 126.144 155.7421
120.599998 126.038 155.3789
122.000000 125.979 155.2176
124.099998 125.899 154.9953
125.000000 125.868 154.8978
126.500000 125.807 154.7425
128.000000 125.749 154.6062
131.500000 125.621 154.2805
132.000000 125.603 154.1979
134.000000 125.521 154.0749
136.000000 125.446 153.9094
138.000000 125.376 153.7844
140.000000 125.304 153.6222
143.000000 125.193 153.4081
145.000000 125.125 153.3188
147.500000 125.034 153.1783
150.000000 124.947 153.0755
152.500000 124.866 152.9583
155.000000 124.776 152.8499
157.500000 124.689 152.8072
160.000000 124.613 152.6394
162.500000 124.520 152.5804
165.000000 124.441 152.5598
167.500000 124.355 152.4913
170.000000 124.274 152.4973
172.500000 124.205 152.4706
175.000000 124.135 152.5921
177.500000 124.049 152.6667
180.000000 123.966 152.5838
182.500000 123.905 152.4219
185.000000 123.858 152.4236
187.500000 123.750 152.5797
190.000000 123.683 152.2819
192.500000 123.646 152.4423
195.000000 123.529 152.6320
197.500000 123.500 152.6147
200.000000 123.379 152.7332
203.000000 123.342 152.7473
206.000000 123.225 152.6488
209.000000 123.155 153.0070
212.000000 123.093 153.0597
214.000000 123.018 153.0257
218.000000 122.933 153.2099
220.000000 122.879 153.2975
224.000000 122.784 153.4844
227.000000 122.710 153.5666
230.000000 122.644 153.7041
233.000000 122.582 153.8612
236.000000 122.506 153.9776
240.000000 122.412 154.2028
243.000000 122.342 154.3758
247.000000 122.256 154.5117
250.000000 122.194 154.7038
254.000000 122.111 154.9098
258.000000 122.021 155.2198
262.000000 121.949 155.3698
265.000000 121.895 155.5610
269.000000 121.811 155.8194
272.000000 121.764 155.9882
276.000000 121.671 156.2768
280.000000 121.604 156.5221
285.000000 121.516 156.9123
290.000000 121.434 157.2693
295.000000 121.343 157.5364
300.000000 121.261 157.9708
304.000000 121.185 158.1940
307.000000 121.139 158.5114
311.000000 121.080 158.7888
315.000000 121.029 158.9601
320.000000 120.944 159.3625
325.000000 120.862 159.7672
330.000000 120.788 160.0511
335.000000 120.735 160.5284
340.000000 120.672 160.9730
345.000000 120.593 161.2938
350.000000 120.544 161.9061
355.000000 120.485 162.2148
360.000000 120.419 162.4806
365.000000 120.343 162.9597
370.000000 120.289 163.3215
375.000000 120.232 163.7413
382.000000 120.172 164.3862
387.000000 120.111 164.7473
395.000000 120.020 165.4672
400.000000 119.989 165.8502
406.000000 119.923 166.3475
412.000000 119.864 166.8855
418.000000 119.819 167.4463
425.000000 119.752 167.9884
431.000000 119.699 168.5229
437.000000 119.645 169.0538
444.000000 119.606 169.6471
450.000000 119.554 170.2209
455.000000 119.518 170.6961
462.000000 119.493 171.3314
468.000000 119.446 171.6691
475.000000 119.376 172.3723
482.000000 119.370 172.9713
487.000000 119.340 173.4133
494.000000 119.294 174.0915
500.000000 119.274 174.5683
508.000000 119.219 175.1826
515.000000 119.167 175.7521
522.000000 119.164 176.5393
530.000000 119.109 177.1081
538.000000 119.083 177.8378
545.000000 119.080 178.4064
552.000000 119.026 178.9159
560.000000 119.014 179.7363
570.000000 119.008 -179.3533
580.000000 118.962 -178.5319
590.000000 118.935 -177.6545
600.000000 118.937 -176.7991
608.000000 118.927 -176.0739
615.000000 118.932 -175.6074
622.000000 118.888 -174.9977
630.000000 118.918 -174.1922
640.000000 118.902 -173.5349
650.000000 118.898 -172.5773
660.000000 118.907 -171.6740
670.000000 118.894 -170.8215
680.000000 118.914 -170.0150
690.000000 118.916 -169.2953
700.000000 118.936 -168.3138
710.000000 118.946 -167.5471
720.000000 118.962 -166.8004
730.000000 118.979 -165.9293
740.000000 119.021 -165.1310
750.000000 119.063 -164.4212
762.000000 119.070 -163.3937
775.000000 119.139 -162.5115
788.000000 119.163 -161.4129
800.000000 119.226 -160.4606
812.000000 119.293 -159.6734
825.000000 119.345 -158.6973
838.000000 119.416 -157.7126
850.000000 119.454 -156.8024
862.000000 119.521 -156.0374
875.000000 119.609 -155.0200
885.000000 119.670 -154.2480
900.000000 119.768 -153.3214
912.000000 119.851 -152.6964
925.000000 119.965 -151.8421
938.000000 120.064 -151.0686
950.000000 120.167 -150.3552
962.000000 120.267 -149.8911
975.000000 120.368 -149.1479
988.000000 120.493 -148.4676
1000.000000 120.548 -147.7576
1015.000000 120.725 -147.3619
1030.000000 120.849 -146.7492
1044.000000 120.974 -146.2732
1060.000000 121.112 -145.7836
1075.000000 121.240 -145.2101
1090.000000 121.375 -144.9773
1106.000000 121.513 -144.6142
1120.000000 121.643 -144.1082
1138.000000 121.785 -143.8025
1150.000000 121.888 -143.6124
1172.000000 122.058 -143.1263
1180.000000 122.126 -143.0527
1206.000000 122.311 -142.7081
1220.000000 122.423 -142.5246
1241.000000 122.578 -142.2708
1250.000000 122.636 -142.1685
1265.000000 122.744 -142.0876
1280.000000 122.841 -141.8973
1315.000000 123.091 -141.6215
1320.000000 123.118 -141.6230
1340.000000 123.257 -141.3592
1360.000000 123.395 -141.3987
1380.000000 123.523 -141.0858
1400.000000 123.651 -141.0648
1430.000000 123.845 -140.9184
1450.000000 123.969 -140.8306
1475.000000 124.128 -140.6194
1500.000000 124.290 -140.5951
1525.000000 124.468 -140.5302
1550.000000 124.627 -140.4817
1575.000000 124.787 -140.4983
1600.000000 124.958 -140.4560
1625.000000 125.136 -140.5443
1650.000000 125.315 -140.6883
1675.000000 125.475 -140.7913
1700.000000 125.664 -140.9545
1725.000000 125.827 -141.2507
1750.000000 126.017 -141.5120
1775.000000 126.185 -141.7982
1800.000000 126.360 -142.2027
1825.000000 126.532 -142.6973
1850.000000 126.710 -143.1899
1875.000000 126.889 -143.7277
1900.000000 127.047 -144.3318
1925.000000 127.232 -145.1501
1950.000000 127.390 -145.8688
1975.000000 127.544 -146.6517
2000.000000 127.679 -147.7024
2030.000000 127.873 -148.7339
2060.000000 128.031 -149.9590
2090.000000 128.179 -151.2465
2120.000000 128.316 -152.6425
2140.000000 128.397 -153.6403
2180.000000 128.542 -155.7027
2200.000000 128.592 -156.6890
2240.000000 128.686 -158.7271
2270.000000 128.731 -160.3554
2300.000000 128.752 -161.9894
2330.000000 128.772 -163.6163
2360.000000 128.751 -165.1594
2400.000000 128.719 -167.1796
2430.000000 128.674 -168.6547
2470.000000 128.582 -170.5025
2500.000000 128.507 -171.7662
2540.000000 128.380 -173.4087
2580.000000 128.233 -174.9308
2620.000000 128.074 -176.2361
2650.000000 127.959 -177.1239
2690.000000 127.794 -178.1188
2720.000000 127.671 -178.8569
2760.000000 127.486 -179.6392
2800.000000 127.325 179.6481
2850.000000 127.115 179.0069
2900.000000 126.906 178.4668
2950.000000 126.696 178.0661
3000.000000 126.518 177.7425
3040.000000 126.366 177.8271
3070.000000 126.264 177.8839
3110.000000 126.129 177.8492
3150.000000 126.014 177.8954
3200.000000 125.862 178.2022
3250.000000 125.738 178.4757
3300.000000 125.624 178.7395
3350.000000 125.524 179.1406
3400.000000 125.427 179.5347
3450.000000 125.339 179.9685
3500.000000 125.290 -179.5657
3550.000000 125.245 -179.0829
3600.000000 125.204 -178.5927
3650.000000 125.180 -178.0358
3700.000000 125.164 -177.5597
3750.000000 125.176 -177.0911
3820.000000 125.201 -176.4562
3870.000000 125.241 -176.1198
3950.000000 125.311 -175.2327
4000.000000 125.330 -175.2993
4060.000000 125.466 -174.6623
4120.000000 125.571 -174.5102
4180.000000 125.698 -174.4790
4250.000000 125.851 -174.4320
4310.000000 125.996 -174.6291
4370.000000 126.151 -174.9212
4440.000000 126.323 -175.6337
4500.000000 126.477 -176.2637
4550.000000 126.620 -177.1464
4620.000000 126.790 -178.4899
4680.000000 126.929 -179.7660
4750.000000 127.055 178.2900
4820.000000 127.143 176.2763
4870.000000 127.185 174.5282
4940.000000 127.189 172.0956
5000.000000 127.134 169.9218
5080.000000 127.038 166.9146
5150.000000 126.852 164.2485
5220.000000 126.591 161.9531
5300.000000 126.266 159.2851
5380.000000 125.843 157.2903
5450.000000 125.446 155.8452
5520.000000 125.054 154.6345
5600.000000 124.552 153.8250
5700.000000 123.913 153.1802
5800.000000 123.296 153.2319
5900.000000 122.678 154.0699
6000.000000 122.174 155.3612
