* Measurement data measured by REW V5.30
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.850
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 22, 2024 4:08:51 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R BQEYZ WIND Jan 22
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 142.523 -130.1973
20.600000 142.580 -130.8133
20.900000 142.632 -131.3590
21.200001 142.685 -131.9037
21.400000 142.722 -132.2742
21.799999 142.797 -133.0346
22.000000 142.834 -133.4218
22.400000 142.906 -134.1943
22.700001 142.957 -134.7562
23.000000 143.005 -135.2923
23.299999 143.050 -135.8031
23.600000 143.095 -136.2951
24.000000 143.154 -136.9353
24.299999 143.197 -137.4123
24.700001 143.253 -138.0455
25.000000 143.292 -138.5125
25.400000 143.344 -139.1139
25.799999 143.395 -139.6850
26.200001 143.448 -140.2334
26.500000 143.489 -140.6423
26.900000 143.544 -141.2008
27.200001 143.583 -141.6362
27.600000 143.628 -142.2346
28.000000 143.666 -142.8308
28.500000 143.705 -143.5292
29.000000 143.745 -144.1543
29.500000 143.794 -144.7407
30.000000 143.849 -145.3515
30.400000 143.891 -145.8747
30.700001 143.919 -146.2775
31.100000 143.950 -146.8022
31.500000 143.976 -147.2925
32.000000 144.008 -147.8568
32.500000 144.044 -148.4050
33.000000 144.080 -148.9766
33.500000 144.113 -149.5718
34.000000 144.142 -150.1610
34.500000 144.170 -150.7199
35.000000 144.200 -151.2476
35.500000 144.232 -151.7555
36.000000 144.263 -152.2509
36.500000 144.291 -152.7346
37.000000 144.316 -153.2096
37.500000 144.337 -153.6858
38.200001 144.363 -154.3649
38.700001 144.380 -154.8415
39.500000 144.408 -155.5278
40.000000 144.430 -155.9155
40.599998 144.457 -156.3893
41.200001 144.478 -156.9042
41.799999 144.492 -157.4474
42.500000 144.509 -158.0977
43.099998 144.528 -158.6548
43.700001 144.548 -159.1576
44.400002 144.575 -159.6432
45.000000 144.600 -160.0626
45.500000 144.613 -160.4849
46.200001 144.607 -161.1238
46.799999 144.596 -161.5810
47.500000 144.608 -162.0132
48.200001 144.644 -162.4918
48.700001 144.661 -162.8614
49.400002 144.664 -163.3088
50.000000 144.663 -163.6367
50.799999 144.666 -164.1576
51.500000 144.670 -164.6856
52.200001 144.679 -165.1595
53.000000 144.696 -165.6360
53.799999 144.699 -166.0946
54.500000 144.691 -166.4716
55.200001 144.688 -166.8718
56.000000 144.691 -167.3819
57.000000 144.696 -167.9737
58.000000 144.693 -168.4919
59.000000 144.688 -168.9797
60.000000 144.696 -169.5566
60.799999 144.691 -170.0273
61.500000 144.681 -170.3485
62.200001 144.676 -170.6541
63.000000 144.670 -171.0661
64.000000 144.660 -171.5608
65.000000 144.659 -171.9993
66.000000 144.652 -172.4508
67.000000 144.640 -172.8903
68.000000 144.629 -173.3298
69.000000 144.618 -173.7370
70.000000 144.609 -174.1489
71.000000 144.594 -174.5826
72.000000 144.581 -174.9702
73.000000 144.573 -175.3453
74.000000 144.561 -175.7422
75.000000 144.540 -176.1282
76.199997 144.524 -176.5297
77.500000 144.507 -177.0115
78.800003 144.485 -177.4526
80.000000 144.461 -177.8790
81.199997 144.444 -178.2571
82.500000 144.422 -178.6607
83.800003 144.402 -179.0766
85.000000 144.376 -179.4377
86.199997 144.350 -179.7831
87.500000 144.333 179.8903
88.500000 144.314 179.5789
90.000000 144.280 179.1828
91.199997 144.247 178.7647
92.500000 144.207 178.4711
93.800003 144.174 178.2310
95.000000 144.156 177.9985
96.199997 144.144 177.7391
97.500000 144.139 177.4075
98.800003 144.110 177.0869
100.000000 144.077 176.8499
101.500000 144.035 176.5323
103.000000 144.008 176.1834
104.400002 143.977 175.8868
106.000000 143.944 175.5622
107.500000 143.893 175.2986
109.000000 143.852 175.0316
110.599998 143.824 174.7774
112.000000 143.806 174.5120
113.800003 143.766 174.0760
115.000000 143.735 173.8026
117.199997 143.669 173.7623
118.000000 143.642 173.7461
120.599998 143.603 172.9076
122.000000 143.583 173.0123
124.099998 143.522 172.6051
125.000000 143.507 172.5291
126.500000 143.464 172.4285
128.000000 143.438 172.2037
131.500000 143.361 171.8343
132.000000 143.348 171.7778
134.000000 143.302 171.5828
136.000000 143.258 171.3895
138.000000 143.213 171.1924
140.000000 143.171 171.0139
143.000000 143.102 170.7700
145.000000 143.060 170.6085
147.500000 143.004 170.4307
150.000000 142.949 170.2367
152.500000 142.897 170.0935
155.000000 142.843 169.9365
157.500000 142.793 169.8010
160.000000 142.743 169.6672
162.500000 142.690 169.5657
165.000000 142.633 169.4658
167.500000 142.576 169.3598
170.000000 142.528 169.2407
172.500000 142.483 169.1843
175.000000 142.433 169.0983
177.500000 142.385 168.9964
180.000000 142.333 169.0650
182.500000 142.292 168.8592
185.000000 142.237 168.9229
187.500000 142.188 168.8800
190.000000 142.165 168.9283
192.500000 142.083 168.7401
195.000000 142.057 168.8572
197.500000 142.010 168.7477
200.000000 141.967 168.7302
203.000000 141.915 168.6986
206.000000 141.854 168.8142
209.000000 141.822 168.8082
212.000000 141.761 168.7781
214.000000 141.728 168.7986
218.000000 141.662 168.8773
220.000000 141.627 168.9068
224.000000 141.569 168.9228
227.000000 141.518 168.9754
230.000000 141.471 169.0350
233.000000 141.428 169.1332
236.000000 141.383 169.1902
240.000000 141.325 169.3482
243.000000 141.286 169.4067
247.000000 141.221 169.5144
250.000000 141.180 169.6244
254.000000 141.137 169.7197
258.000000 141.081 169.7998
262.000000 141.018 170.0035
265.000000 140.977 170.1389
269.000000 140.927 170.2649
272.000000 140.898 170.3662
276.000000 140.853 170.4372
280.000000 140.813 170.6347
285.000000 140.749 170.8854
290.000000 140.695 171.0779
295.000000 140.630 171.2562
300.000000 140.587 171.6484
304.000000 140.544 171.7354
307.000000 140.519 171.8603
311.000000 140.482 172.0515
315.000000 140.446 172.2367
320.000000 140.388 172.4669
325.000000 140.345 172.7188
330.000000 140.296 172.9954
335.000000 140.253 173.2365
340.000000 140.207 173.4642
345.000000 140.168 173.7426
350.000000 140.126 173.9934
355.000000 140.080 174.2668
360.000000 140.028 174.5483
365.000000 139.997 174.7948
370.000000 139.960 175.0562
375.000000 139.929 175.3816
382.000000 139.876 175.7785
387.000000 139.851 176.0850
395.000000 139.786 176.5486
400.000000 139.756 176.8828
406.000000 139.740 177.1754
412.000000 139.696 177.4542
418.000000 139.666 177.8691
425.000000 139.624 178.2476
431.000000 139.591 178.6132
437.000000 139.561 178.9591
444.000000 139.523 179.3754
450.000000 139.496 179.7119
455.000000 139.469 -179.9873
462.000000 139.440 -179.5878
468.000000 139.413 -179.1950
475.000000 139.379 -178.7753
482.000000 139.351 -178.3518
487.000000 139.335 -178.0351
494.000000 139.303 -177.7099
500.000000 139.286 -177.1514
508.000000 139.271 -176.7788
515.000000 139.232 -176.4194
522.000000 139.207 -175.9639
530.000000 139.183 -175.4884
538.000000 139.161 -174.9710
545.000000 139.142 -174.5566
552.000000 139.117 -174.1116
560.000000 139.095 -173.6303
570.000000 139.071 -172.9491
580.000000 139.053 -172.3643
590.000000 139.029 -171.7163
600.000000 139.010 -171.0768
608.000000 139.003 -170.5761
615.000000 138.984 -170.1208
622.000000 138.974 -169.6847
630.000000 138.955 -169.1977
640.000000 138.944 -168.5210
650.000000 138.933 -167.8816
660.000000 138.927 -167.2428
670.000000 138.913 -166.5648
680.000000 138.910 -165.9579
690.000000 138.898 -165.2982
700.000000 138.891 -164.6555
710.000000 138.882 -163.9709
720.000000 138.877 -163.3145
730.000000 138.865 -162.6664
740.000000 138.852 -161.9626
750.000000 138.835 -161.2991
762.000000 138.795 -160.3399
775.000000 138.740 -159.0229
788.000000 138.780 -157.0512
800.000000 138.937 -156.2411
812.000000 138.915 -155.8471
825.000000 138.778 -154.4090
838.000000 138.763 -150.8354
850.000000 139.292 -148.0639
862.000000 139.742 -148.9672
875.000000 139.881 -150.0718
885.000000 139.915 -150.3569
900.000000 139.933 -150.3596
912.000000 139.945 -150.1232
925.000000 139.922 -149.8918
938.000000 139.819 -149.2383
950.000000 139.762 -147.4768
962.000000 139.958 -145.4536
975.000000 140.218 -144.8692
988.000000 140.378 -144.6615
1000.000000 140.486 -144.4476
1015.000000 140.608 -144.0684
1030.000000 140.724 -143.6934
1044.000000 140.828 -143.3273
1060.000000 140.946 -142.8852
1075.000000 141.059 -142.5318
1090.000000 141.172 -142.1555
1106.000000 141.288 -141.8152
1120.000000 141.394 -141.5575
1138.000000 141.526 -141.2174
1150.000000 141.608 -140.9912
1172.000000 141.762 -140.6300
1180.000000 141.814 -140.5091
1206.000000 141.991 -140.1666
1220.000000 142.075 -139.9674
1241.000000 142.212 -139.7240
1250.000000 142.270 -139.5894
1265.000000 142.360 -139.4297
1280.000000 142.448 -139.2852
1315.000000 142.658 -138.9455
1320.000000 142.683 -138.8715
1340.000000 142.798 -138.6988
1360.000000 142.910 -138.5037
1380.000000 143.019 -138.2966
1400.000000 143.129 -138.0898
1430.000000 143.292 -137.8146
1450.000000 143.402 -137.6445
1475.000000 143.536 -137.3968
1500.000000 143.674 -137.1786
1525.000000 143.811 -136.9438
1550.000000 143.950 -136.7476
1575.000000 144.090 -136.5498
1600.000000 144.237 -136.3539
1625.000000 144.380 -136.1905
1650.000000 144.524 -136.0202
1675.000000 144.677 -135.8821
1700.000000 144.827 -135.7422
1725.000000 144.981 -135.6320
1750.000000 145.137 -135.5492
1775.000000 145.295 -135.4792
1800.000000 145.458 -135.4587
1825.000000 145.622 -135.4375
1850.000000 145.788 -135.4745
1875.000000 145.958 -135.5116
1900.000000 146.131 -135.6140
1925.000000 146.308 -135.7244
1950.000000 146.485 -135.9008
1975.000000 146.663 -136.1414
2000.000000 146.847 -136.3898
2030.000000 147.068 -136.7907
2060.000000 147.293 -137.2428
2090.000000 147.516 -137.8147
2120.000000 147.738 -138.4552
2140.000000 147.887 -138.9190
2180.000000 148.181 -140.0348
2200.000000 148.322 -140.6655
2240.000000 148.605 -142.0469
2270.000000 148.808 -143.2178
2300.000000 149.000 -144.5006
2330.000000 149.183 -145.8822
2360.000000 149.352 -147.3441
2400.000000 149.554 -149.4469
2430.000000 149.683 -151.1222
2470.000000 149.828 -153.4603
2500.000000 149.917 -155.2483
2540.000000 149.998 -157.6932
2580.000000 150.046 -160.1579
2620.000000 150.052 -162.6054
2650.000000 150.035 -164.4052
2690.000000 149.982 -166.7418
2720.000000 149.922 -168.4019
2760.000000 149.816 -170.5315
2800.000000 149.691 -172.5044
2850.000000 149.501 -174.7322
2900.000000 149.283 -176.7274
2950.000000 149.055 -178.4476
3000.000000 148.817 -179.9305
3040.000000 148.625 179.1005
3070.000000 148.470 178.4807
3110.000000 148.277 177.7385
3150.000000 148.084 177.1250
3200.000000 147.849 176.5156
3250.000000 147.621 176.1353
3300.000000 147.407 175.8629
3350.000000 147.202 175.7426
3400.000000 147.009 175.7112
3450.000000 146.829 175.8329
3500.000000 146.666 176.0185
3550.000000 146.512 176.2641
3600.000000 146.372 176.6428
3650.000000 146.252 177.0078
3700.000000 146.141 177.4813
3750.000000 146.046 177.9854
3820.000000 145.935 178.7474
3870.000000 145.873 179.3396
3950.000000 145.810 -179.6878
4000.000000 145.786 -179.0996
4060.000000 145.771 -178.3789
4120.000000 145.782 -177.6705
4180.000000 145.811 -176.9461
4250.000000 145.863 -176.1684
4310.000000 145.936 -175.5989
4370.000000 146.023 -175.0096
4440.000000 146.146 -174.4714
4500.000000 146.279 -174.1007
4550.000000 146.400 -173.9041
4620.000000 146.577 -173.7976
4680.000000 146.755 -173.8090
4750.000000 146.964 -174.0248
4820.000000 147.197 -174.5625
4870.000000 147.353 -175.0873
4940.000000 147.586 -176.1299
5000.000000 147.778 -177.3389
5080.000000 147.999 -179.2737
5150.000000 148.161 178.6482
5220.000000 148.281 176.2768
5300.000000 148.348 173.3162
5380.000000 148.325 170.1185
5450.000000 148.226 167.2761
5520.000000 148.062 164.4769
5600.000000 147.771 161.5339
