* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Sep 18, 2025 1:53:57 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L CAD 12 821
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 122.111 -157.4712
20.600000 122.128 -158.5947
20.900000 122.144 -159.6151
21.200001 122.163 -160.6341
21.400000 122.176 -161.3130
21.799999 122.208 -162.6692
22.000000 122.225 -163.3463
22.400000 122.260 -164.6987
22.700001 122.284 -165.7108
23.000000 122.305 -166.7165
23.299999 122.321 -167.7086
23.600000 122.333 -168.6812
24.000000 122.345 -169.9421
24.299999 122.352 -170.8614
24.700001 122.360 -172.0550
25.000000 122.364 -172.9247
25.400000 122.366 -174.0415
25.799999 122.364 -175.0999
26.200001 122.360 -176.1077
26.500000 122.359 -176.8515
26.900000 122.357 -177.8617
27.200001 122.356 -178.6504
27.600000 122.350 -179.7421
28.000000 122.340 179.1563
28.500000 122.323 177.8366
29.000000 122.311 176.6135
29.500000 122.305 175.4491
30.000000 122.295 174.2966
30.400000 122.279 173.3854
30.700001 122.263 172.7187
31.100000 122.240 171.8550
31.500000 122.222 171.0040
32.000000 122.206 169.9234
32.500000 122.193 168.8250
33.000000 122.176 167.7689
33.500000 122.157 166.8005
34.000000 122.142 165.8809
34.500000 122.130 164.9185
35.000000 122.108 163.8777
35.500000 122.073 162.8195
36.000000 122.029 161.8317
36.500000 121.990 160.9348
37.000000 121.961 160.0765
37.500000 121.937 159.2063
38.200001 121.903 157.9684
38.700001 121.878 157.0930
39.500000 121.842 155.7039
40.000000 121.816 154.8577
40.599998 121.777 153.8973
41.200001 121.733 152.9801
41.799999 121.684 152.0774
42.500000 121.630 151.0658
43.099998 121.606 150.1932
43.700001 121.591 149.2005
44.400002 121.544 147.9860
45.000000 121.479 147.1485
45.500000 121.435 146.5878
46.200001 121.399 145.7029
46.799999 121.358 144.7817
47.500000 121.293 143.8138
48.200001 121.251 142.9537
48.700001 121.228 142.2644
49.400002 121.181 141.2710
50.000000 121.138 140.5205
50.799999 121.094 139.5067
51.500000 121.038 138.6465
52.200001 120.992 137.9500
53.000000 120.963 136.9580
53.799999 120.883 135.8921
54.500000 120.826 135.3403
55.200001 120.823 134.6033
56.000000 120.761 133.3531
57.000000 120.648 132.5458
58.000000 120.657 131.2576
59.000000 120.517 129.9645
60.000000 120.488 129.5844
60.799999 120.467 128.3917
61.500000 120.344 127.5813
62.200001 120.289 127.3162
63.000000 120.321 126.3954
64.000000 120.211 124.9175
65.000000 120.121 124.5833
66.000000 120.124 123.5094
67.000000 119.990 122.0791
68.000000 119.891 121.6529
69.000000 119.982 121.0257
70.000000 119.963 119.4604
71.000000 119.778 118.7017
72.000000 119.713 118.1324
73.000000 119.670 117.0990
74.000000 119.615 116.5288
75.000000 119.551 115.8053
76.199997 119.454 114.4369
77.500000 119.467 113.3044
78.800003 119.469 112.5670
80.000000 119.318 111.5552
81.199997 119.164 110.8547
82.500000 119.152 110.5784
83.800003 119.078 109.2937
85.000000 119.016 107.7887
86.199997 118.966 107.0760
87.500000 118.862 106.2816
88.500000 118.767 105.5772
90.000000 118.820 104.3142
91.199997 118.730 103.7329
92.500000 118.636 102.8583
93.800003 118.503 102.0006
95.000000 118.476 101.8427
96.199997 118.436 100.9023
97.500000 118.338 100.2056
98.800003 118.322 99.2841
100.000000 118.256 98.6292
101.500000 118.201 97.3948
103.000000 118.137 96.8235
104.400002 118.059 96.0591
106.000000 117.998 95.0685
107.500000 117.927 94.2026
109.000000 117.905 93.4706
110.599998 117.841 92.7548
112.000000 117.782 92.0389
113.800003 117.729 91.3119
115.000000 117.674 90.5188
117.199997 117.607 89.4582
118.000000 117.564 88.9983
120.599998 117.500 87.6992
122.000000 117.393 87.0470
124.099998 117.327 85.9384
125.000000 117.302 85.6418
126.500000 117.274 85.1003
128.000000 117.134 84.5043
131.500000 117.102 82.7978
132.000000 117.064 82.5320
134.000000 117.011 81.7107
136.000000 116.911 80.7195
138.000000 116.902 80.0692
140.000000 116.834 79.4084
143.000000 116.773 78.2983
145.000000 116.693 77.1576
147.500000 116.623 76.7147
150.000000 116.542 75.3344
152.500000 116.488 74.8991
155.000000 116.411 73.5997
157.500000 116.385 73.0060
160.000000 116.248 72.2406
162.500000 116.274 71.2115
165.000000 116.159 70.4888
167.500000 116.132 69.5517
170.000000 116.107 69.0615
172.500000 115.997 68.1030
175.000000 115.965 67.5165
177.500000 115.956 66.6836
180.000000 115.885 65.8632
182.500000 115.819 65.6226
185.000000 115.855 64.1981
187.500000 115.753 63.7056
190.000000 115.715 63.2266
192.500000 115.693 62.3806
195.000000 115.663 61.9404
197.500000 115.598 61.4006
200.000000 115.593 60.6736
203.000000 115.519 59.7510
206.000000 115.460 59.0720
209.000000 115.432 58.3529
212.000000 115.360 57.7019
214.000000 115.360 57.2124
218.000000 115.331 56.2603
220.000000 115.274 55.8509
224.000000 115.218 55.0088
227.000000 115.176 54.3565
230.000000 115.156 53.7319
233.000000 115.117 52.9848
236.000000 115.058 52.4620
240.000000 115.024 51.6837
243.000000 114.985 51.2271
247.000000 114.974 50.4567
250.000000 114.919 49.9008
254.000000 114.888 49.0940
258.000000 114.842 48.2617
262.000000 114.801 47.5702
265.000000 114.796 47.2593
269.000000 114.741 46.6342
272.000000 114.720 46.1218
276.000000 114.689 45.3613
280.000000 114.658 44.9889
285.000000 114.615 44.2951
290.000000 114.591 43.4113
295.000000 114.536 43.0238
300.000000 114.524 42.3037
304.000000 114.483 41.7045
307.000000 114.498 41.2938
311.000000 114.434 40.6713
315.000000 114.423 40.5889
320.000000 114.476 39.9009
325.000000 114.463 38.8210
330.000000 114.440 38.3528
335.000000 114.403 37.7761
340.000000 114.379 37.2777
345.000000 114.329 36.7709
350.000000 114.347 36.1527
355.000000 114.330 35.6129
360.000000 114.281 35.0413
365.000000 114.289 34.4410
370.000000 114.249 33.9481
375.000000 114.229 33.7100
382.000000 114.231 32.8537
387.000000 114.212 32.5843
395.000000 114.160 31.7813
400.000000 114.178 31.3616
406.000000 114.167 30.8884
412.000000 114.124 30.3791
418.000000 114.096 29.9372
425.000000 114.113 29.3246
431.000000 114.106 28.7342
437.000000 114.106 28.3091
444.000000 114.059 28.0361
450.000000 114.061 27.5648
455.000000 114.014 27.2201
462.000000 114.068 26.5723
468.000000 113.976 26.5765
475.000000 114.018 26.0071
482.000000 114.003 25.5210
487.000000 113.981 25.2126
494.000000 113.990 24.9087
500.000000 113.975 24.5279
508.000000 113.990 24.1849
515.000000 113.976 23.6583
522.000000 113.965 23.2495
530.000000 113.992 23.1610
538.000000 113.955 22.3647
545.000000 113.944 22.1571
552.000000 113.893 21.7272
560.000000 113.866 21.7626
570.000000 113.875 21.5342
580.000000 113.884 21.0323
590.000000 113.917 20.6863
600.000000 113.927 20.3192
608.000000 113.941 20.0720
615.000000 113.929 19.8132
622.000000 113.937 19.4625
630.000000 113.983 19.2277
640.000000 113.934 18.6864
650.000000 113.936 18.3932
660.000000 113.951 18.0747
670.000000 113.956 17.5940
680.000000 113.967 17.2936
690.000000 113.964 16.9736
700.000000 113.963 16.8046
710.000000 113.943 16.2919
720.000000 113.953 16.2164
730.000000 113.936 16.0630
740.000000 113.923 15.9099
750.000000 113.920 15.8344
762.000000 113.930 15.4219
775.000000 113.967 15.3520
788.000000 113.945 15.4681
800.000000 113.963 15.3617
812.000000 113.979 15.2645
825.000000 114.014 15.2451
838.000000 114.018 15.1176
850.000000 114.073 15.1643
862.000000 114.129 15.2026
875.000000 114.170 14.7928
885.000000 114.203 14.8610
900.000000 114.249 15.2521
912.000000 114.323 14.8358
925.000000 114.405 15.1547
938.000000 114.421 14.9553
950.000000 114.522 14.8867
962.000000 114.606 14.8208
975.000000 114.666 14.6188
988.000000 114.707 14.5691
1000.000000 114.882 14.4780
1015.000000 114.885 14.1805
1030.000000 114.992 13.7900
1044.000000 115.058 13.5715
1060.000000 115.181 13.0969
1075.000000 115.250 12.7961
1090.000000 115.358 12.3570
1106.000000 115.398 12.2015
1120.000000 115.509 11.6481
1138.000000 115.620 11.1809
1150.000000 115.687 10.7238
1172.000000 115.766 10.2023
1180.000000 115.808 9.8619
1206.000000 115.930 8.9147
1220.000000 115.975 8.7629
1241.000000 116.064 7.9613
1250.000000 116.114 7.6573
1265.000000 116.180 7.2006
1280.000000 116.227 6.7502
1315.000000 116.315 5.9309
1320.000000 116.333 5.6219
1340.000000 116.358 5.2184
1360.000000 116.424 4.6163
1380.000000 116.470 4.1267
1400.000000 116.490 3.7622
1430.000000 116.567 3.1644
1450.000000 116.620 2.8368
1475.000000 116.686 2.3589
1500.000000 116.727 1.8390
1525.000000 116.797 1.7718
1550.000000 116.879 1.4521
1575.000000 116.935 1.1218
1600.000000 116.972 0.9146
1625.000000 117.054 0.7705
1650.000000 117.126 0.6764
1675.000000 117.226 0.3044
1700.000000 117.308 0.4127
1725.000000 117.411 0.3870
1750.000000 117.511 0.3480
1775.000000 117.636 0.2448
1800.000000 117.765 0.2240
1825.000000 117.888 0.1865
1850.000000 118.016 0.1926
1875.000000 118.165 0.5070
1900.000000 118.314 0.1794
1925.000000 118.518 0.2305
1950.000000 118.690 0.1545
1975.000000 118.902 0.1871
2000.000000 119.153 0.2093
2030.000000 119.365 -0.3454
2060.000000 119.657 -0.7252
2090.000000 119.975 -1.1917
2120.000000 120.312 -1.8756
2140.000000 120.506 -2.3710
2180.000000 121.003 -3.7596
2200.000000 121.244 -4.6636
2240.000000 121.717 -6.8081
2270.000000 122.075 -8.6744
2300.000000 122.418 -10.9675
2330.000000 122.721 -13.5295
2360.000000 122.997 -16.4738
2400.000000 123.295 -20.7404
2430.000000 123.437 -24.1528
2470.000000 123.520 -28.8279
2500.000000 123.510 -32.1827
2540.000000 123.385 -36.2073
2580.000000 123.219 -39.9769
2620.000000 123.013 -43.1746
2650.000000 122.844 -45.5043
2690.000000 122.583 -48.4026
2720.000000 122.375 -50.3655
2760.000000 122.020 -53.1288
2800.000000 121.624 -55.4677
2850.000000 120.969 -57.7829
2900.000000 120.245 -58.6158
2950.000000 119.527 -58.1171
3000.000000 118.883 -56.0341
3040.000000 118.484 -53.7100
3070.000000 118.295 -51.7326
3110.000000 118.137 -48.9479
3150.000000 118.113 -46.0352
3200.000000 118.202 -42.8866
3250.000000 118.390 -40.1661
3300.000000 118.689 -38.5524
3350.000000 119.022 -37.2936
3400.000000 119.361 -36.5828
3450.000000 119.714 -36.5652
3500.000000 120.036 -37.2314
3550.000000 120.330 -38.1090
3600.000000 120.569 -39.3988
3650.000000 120.799 -40.9042
3700.000000 120.961 -42.7129
3750.000000 121.111 -44.8099
3820.000000 121.193 -47.4816
3870.000000 121.228 -50.0223
3950.000000 121.082 -54.1107
4000.000000 120.922 -56.2847
4060.000000 120.547 -59.6548
4120.000000 120.057 -62.1016
4180.000000 119.438 -63.8668
4250.000000 118.529 -64.1989
4310.000000 117.723 -62.9667
4370.000000 116.943 -59.9768
4440.000000 116.215 -54.1765
4500.000000 115.799 -47.3203
4550.000000 115.693 -41.3108
4620.000000 116.004 -33.4784
4680.000000 116.597 -26.8313
4750.000000 117.580 -21.4560
4820.000000 118.630 -18.4087
4870.000000 119.481 -17.8964
4940.000000 120.586 -18.5729
5000.000000 121.406 -21.0079
5080.000000 122.364 -25.5073
5150.000000 122.882 -30.7623
5220.000000 123.156 -36.4394
5300.000000 123.100 -42.6979
5380.000000 122.812 -48.1499
5450.000000 122.406 -51.6746
5520.000000 121.914 -54.4742
5600.000000 121.306 -56.2715
5700.000000 120.511 -57.5043
5800.000000 119.743 -56.9611
5900.000000 119.064 -55.3802
6000.000000 118.505 -52.4907
6080.000000 118.069 -50.2793
6150.000000 117.718 -48.0236
6220.000000 117.433 -45.3107
6300.000000 117.213 -41.9694
6400.000000 117.017 -37.6708
6500.000000 116.886 -32.7352
