* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Sep 18, 2025 1:56:27 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L CAD 12 stock orange 826
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 122.463 -158.6118
20.600000 122.486 -159.7845
20.900000 122.503 -160.8365
21.200001 122.523 -161.8805
21.400000 122.537 -162.5783
21.799999 122.566 -163.9760
22.000000 122.579 -164.6704
22.400000 122.601 -166.0310
22.700001 122.613 -167.0112
23.000000 122.621 -167.9511
23.299999 122.629 -168.8597
23.600000 122.635 -169.7510
24.000000 122.643 -170.9356
24.299999 122.647 -171.8310
24.700001 122.650 -173.0295
25.000000 122.651 -173.9193
25.400000 122.650 -175.0768
25.799999 122.649 -176.1953
26.200001 122.650 -177.2851
26.500000 122.651 -178.0932
26.900000 122.650 -179.1644
27.200001 122.646 -179.9604
27.600000 122.637 178.9974
28.000000 122.625 177.9867
28.500000 122.612 176.7640
29.000000 122.602 175.5628
29.500000 122.591 174.3654
30.000000 122.576 173.1810
30.400000 122.560 172.2576
30.700001 122.547 171.5825
31.100000 122.530 170.6992
31.500000 122.515 169.8240
32.000000 122.496 168.7303
32.500000 122.475 167.6472
33.000000 122.451 166.5973
33.500000 122.427 165.5846
34.000000 122.405 164.5880
34.500000 122.380 163.5888
35.000000 122.352 162.5937
35.500000 122.319 161.6255
36.000000 122.285 160.6953
36.500000 122.252 159.7941
37.000000 122.222 158.9046
37.500000 122.193 158.0132
38.200001 122.155 156.7464
38.700001 122.127 155.8322
39.500000 122.075 154.4258
40.000000 122.041 153.6176
40.599998 122.004 152.6990
41.200001 121.969 151.7799
41.799999 121.930 150.8452
42.500000 121.880 149.7632
43.099998 121.841 148.8462
43.700001 121.803 147.9281
44.400002 121.758 146.8786
45.000000 121.718 146.0219
45.500000 121.685 145.3326
46.200001 121.639 144.3804
46.799999 121.599 143.5583
47.500000 121.548 142.5832
48.200001 121.492 141.6164
48.700001 121.453 140.9554
49.400002 121.406 140.0620
50.000000 121.374 139.2833
50.799999 121.325 138.2276
51.500000 121.271 137.3673
52.200001 121.218 136.5840
53.000000 121.169 135.6736
53.799999 121.123 134.6721
54.500000 121.075 133.8050
55.200001 121.026 133.0217
56.000000 120.973 132.1581
57.000000 120.901 131.0361
58.000000 120.829 129.9525
59.000000 120.768 128.8632
60.000000 120.704 127.8176
60.799999 120.657 127.0210
61.500000 120.618 126.3231
62.200001 120.577 125.6245
63.000000 120.523 124.8356
64.000000 120.450 123.8986
65.000000 120.389 122.9245
66.000000 120.322 121.8941
67.000000 120.248 120.9930
68.000000 120.188 120.1184
69.000000 120.130 119.2202
70.000000 120.080 118.3710
71.000000 120.023 117.4598
72.000000 119.939 116.6212
73.000000 119.881 115.8699
74.000000 119.839 114.9869
75.000000 119.773 114.1455
76.199997 119.684 113.2063
77.500000 119.611 112.1752
78.800003 119.567 111.1332
80.000000 119.500 110.2123
81.199997 119.425 109.3408
82.500000 119.355 108.3342
83.800003 119.275 107.4732
85.000000 119.225 106.6582
86.199997 119.165 105.7227
87.500000 119.100 104.8748
88.500000 119.047 104.2022
90.000000 118.977 103.2310
91.199997 118.921 102.3813
92.500000 118.858 101.5651
93.800003 118.795 100.7005
95.000000 118.735 99.9006
96.199997 118.677 99.2151
97.500000 118.624 98.4908
98.800003 118.565 97.6747
100.000000 118.503 96.9240
101.500000 118.444 96.0611
103.000000 118.365 95.2345
104.400002 118.327 94.4294
106.000000 118.249 93.5732
107.500000 118.189 92.6287
109.000000 118.123 91.8865
110.599998 118.057 91.1185
112.000000 118.004 90.3831
113.800003 117.934 89.4088
115.000000 117.885 88.7638
117.199997 117.817 87.7107
118.000000 117.790 87.3265
120.599998 117.693 86.0335
122.000000 117.642 85.4537
124.099998 117.554 84.4642
125.000000 117.539 84.0141
126.500000 117.483 83.4048
128.000000 117.450 82.6736
131.500000 117.314 81.1057
132.000000 117.293 80.8563
134.000000 117.246 80.0199
136.000000 117.185 79.2883
138.000000 117.138 78.3772
140.000000 117.070 77.7298
143.000000 116.986 76.4952
145.000000 116.940 75.7459
147.500000 116.872 74.7058
150.000000 116.797 73.7915
152.500000 116.738 72.9336
155.000000 116.691 71.9991
157.500000 116.608 71.2273
160.000000 116.567 70.3395
162.500000 116.501 69.4593
165.000000 116.463 68.7461
167.500000 116.403 67.8145
170.000000 116.340 67.1376
172.500000 116.292 66.4084
175.000000 116.247 65.6047
177.500000 116.194 64.8237
180.000000 116.156 64.0438
182.500000 116.116 63.4444
185.000000 116.055 62.6360
187.500000 116.031 61.9980
190.000000 115.980 61.3819
192.500000 115.933 60.5725
195.000000 115.889 60.0388
197.500000 115.856 59.4464
200.000000 115.817 58.6837
203.000000 115.782 57.9515
206.000000 115.749 57.2624
209.000000 115.699 56.7125
212.000000 115.653 55.8747
214.000000 115.609 55.3835
218.000000 115.556 54.5417
220.000000 115.528 54.1087
224.000000 115.500 53.2815
227.000000 115.465 52.6462
230.000000 115.429 52.0432
233.000000 115.394 51.5114
236.000000 115.358 50.7441
240.000000 115.337 50.0083
243.000000 115.307 49.4843
247.000000 115.263 48.7041
250.000000 115.213 48.2238
254.000000 115.188 47.4644
258.000000 115.154 46.7810
262.000000 115.110 46.1850
265.000000 115.107 45.6685
269.000000 115.063 44.9085
272.000000 115.048 44.6471
276.000000 115.014 43.9461
280.000000 114.998 43.2816
285.000000 114.951 42.5444
290.000000 114.930 41.9139
295.000000 114.889 41.0232
300.000000 114.857 40.4945
304.000000 114.836 39.9441
307.000000 114.828 39.5761
311.000000 114.787 39.0632
315.000000 114.779 38.5968
320.000000 114.737 38.0594
325.000000 114.735 37.3841
330.000000 114.702 36.7030
335.000000 114.671 36.3185
340.000000 114.649 35.4950
345.000000 114.617 35.1222
350.000000 114.606 34.4718
355.000000 114.598 34.1046
360.000000 114.579 33.6047
365.000000 114.574 33.0582
370.000000 114.559 32.6172
375.000000 114.539 32.2000
382.000000 114.509 31.5057
387.000000 114.471 31.0758
395.000000 114.472 30.3860
400.000000 114.448 29.8524
406.000000 114.446 29.4334
412.000000 114.417 28.9721
418.000000 114.387 28.5478
425.000000 114.381 27.9236
431.000000 114.378 27.5604
437.000000 114.383 27.1183
444.000000 114.353 26.6086
450.000000 114.349 26.2867
455.000000 114.338 25.8430
462.000000 114.342 25.5296
468.000000 114.325 25.1913
475.000000 114.312 24.4744
482.000000 114.312 24.2838
487.000000 114.276 23.8234
494.000000 114.292 23.5280
500.000000 114.291 23.1951
508.000000 114.289 22.7631
515.000000 114.287 22.1951
522.000000 114.287 21.9489
530.000000 114.229 21.5391
538.000000 114.197 21.0760
545.000000 114.186 20.9515
552.000000 114.209 20.7701
560.000000 114.181 20.3452
570.000000 114.184 20.0766
580.000000 114.188 19.5858
590.000000 114.189 19.1575
600.000000 114.192 18.9275
608.000000 114.199 18.7617
615.000000 114.165 18.4257
622.000000 114.233 18.1796
630.000000 114.198 17.8557
640.000000 114.226 17.6986
650.000000 114.209 17.1884
660.000000 114.220 16.9529
670.000000 114.204 16.4713
680.000000 114.224 16.0217
690.000000 114.216 15.9433
700.000000 114.203 15.7241
710.000000 114.224 15.3632
720.000000 114.211 15.3041
730.000000 114.186 14.9692
740.000000 114.200 14.8519
750.000000 114.132 14.6766
762.000000 114.184 14.4857
775.000000 114.185 14.2823
788.000000 114.201 14.2072
800.000000 114.222 14.1857
812.000000 114.247 14.2239
825.000000 114.235 14.1497
838.000000 114.277 14.2010
850.000000 114.298 14.2558
862.000000 114.345 14.2450
875.000000 114.411 14.2458
885.000000 114.420 14.0446
900.000000 114.469 14.1161
912.000000 114.541 14.1426
925.000000 114.580 14.0528
938.000000 114.666 13.8167
950.000000 114.727 13.7777
962.000000 114.795 13.7297
975.000000 114.822 13.7458
988.000000 114.930 13.4967
1000.000000 115.032 13.5377
1015.000000 115.087 13.1935
1030.000000 115.170 12.7673
1044.000000 115.266 12.7733
1060.000000 115.341 12.4194
1075.000000 115.444 12.0402
1090.000000 115.532 11.7736
1106.000000 115.586 11.1460
1120.000000 115.649 10.8007
1138.000000 115.759 10.3818
1150.000000 115.843 10.0232
1172.000000 115.917 9.4922
1180.000000 115.948 9.2402
1206.000000 116.085 8.4769
1220.000000 116.137 7.9679
1241.000000 116.220 7.4889
1250.000000 116.239 7.0396
1265.000000 116.311 6.8608
1280.000000 116.311 6.1943
1315.000000 116.423 5.3641
1320.000000 116.439 5.1925
1340.000000 116.494 4.5663
1360.000000 116.552 4.1797
1380.000000 116.592 3.7979
1400.000000 116.628 3.2975
1430.000000 116.687 2.7981
1450.000000 116.731 2.4349
1475.000000 116.765 2.1634
1500.000000 116.816 1.7555
1525.000000 116.897 1.4814
1550.000000 116.956 0.9896
1575.000000 117.039 0.7365
1600.000000 117.067 0.8612
1625.000000 117.149 0.4658
1650.000000 117.210 0.3571
1675.000000 117.311 0.3747
1700.000000 117.378 0.5110
1725.000000 117.474 0.3800
1750.000000 117.608 0.2803
1775.000000 117.698 0.2819
1800.000000 117.824 0.2308
1825.000000 117.934 0.2872
1850.000000 118.083 0.2249
1875.000000 118.219 0.2420
1900.000000 118.377 0.2834
1925.000000 118.559 0.3544
1950.000000 118.747 0.2471
1975.000000 118.920 0.2402
2000.000000 119.191 0.3638
2030.000000 119.412 0.0096
2060.000000 119.689 -0.4624
2090.000000 119.993 -0.9361
2120.000000 120.312 -1.6408
2140.000000 120.541 -1.9430
2180.000000 121.026 -3.3727
2200.000000 121.231 -4.2112
2240.000000 121.724 -6.3784
2270.000000 122.067 -8.2860
2300.000000 122.411 -10.4654
2330.000000 122.722 -13.0782
2360.000000 122.983 -16.0097
2400.000000 123.265 -20.1922
2430.000000 123.410 -23.5792
2470.000000 123.467 -28.0359
2500.000000 123.456 -31.1400
2540.000000 123.345 -35.2847
2580.000000 123.163 -38.8716
2620.000000 122.971 -42.0631
2650.000000 122.797 -44.2554
2690.000000 122.543 -47.0142
2720.000000 122.321 -48.9221
2760.000000 121.958 -51.3938
2800.000000 121.565 -53.6865
2850.000000 120.899 -55.5432
2900.000000 120.217 -56.2693
2950.000000 119.547 -55.4382
3000.000000 118.947 -53.0290
3040.000000 118.639 -50.7136
3070.000000 118.494 -48.6904
3110.000000 118.373 -46.1077
3150.000000 118.385 -43.5764
3200.000000 118.550 -40.5998
3250.000000 118.773 -38.5641
3300.000000 119.055 -37.0020
3350.000000 119.358 -36.2136
3400.000000 119.693 -35.9160
3450.000000 119.991 -36.1958
3500.000000 120.283 -36.8733
3550.000000 120.553 -37.7313
3600.000000 120.783 -39.2136
3650.000000 120.970 -40.7343
3700.000000 121.129 -42.6273
3750.000000 121.199 -44.5934
3820.000000 121.279 -47.6943
3870.000000 121.254 -50.0612
3950.000000 121.080 -54.0985
4000.000000 120.867 -56.1114
4060.000000 120.452 -59.1434
4120.000000 119.876 -61.5920
4180.000000 119.218 -62.7108
4250.000000 118.295 -62.3915
4310.000000 117.489 -60.4283
4370.000000 116.698 -56.6420
4440.000000 116.047 -50.0884
4500.000000 115.762 -42.7947
4550.000000 115.809 -36.7523
4620.000000 116.273 -28.5768
4680.000000 116.976 -22.7207
4750.000000 118.036 -18.3351
4820.000000 119.148 -16.0686
4870.000000 119.992 -15.8726
4940.000000 121.067 -17.1135
5000.000000 121.867 -19.7114
5080.000000 122.729 -24.8438
5150.000000 123.205 -30.2111
5220.000000 123.382 -35.9748
5300.000000 123.299 -42.0748
5380.000000 122.950 -47.2013
5450.000000 122.537 -50.4170
5520.000000 121.999 -52.8685
5600.000000 121.429 -54.5538
5700.000000 120.654 -55.2793
5800.000000 119.960 -54.5562
5900.000000 119.323 -52.7781
6000.000000 118.762 -50.2892
6080.000000 118.374 -47.9597
6150.000000 118.060 -45.2852
6220.000000 117.842 -42.5190
6300.000000 117.692 -39.3335
6400.000000 117.496 -34.6423
6500.000000 117.470 -30.1482
