* Measurement data measured by REW V5.31.1
* Source: Microphone (4- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Jan 26, 2026 1:11:15 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R Cadenza 2 Stock 1870
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 89.894 -138.9724
20.600000 89.928 -140.1476
20.900000 89.933 -141.1562
21.200001 89.931 -142.0320
21.400000 89.935 -142.5527
21.799999 89.962 -143.5235
22.000000 89.985 -144.0171
22.400000 90.037 -145.0892
22.700001 90.070 -145.9507
23.000000 90.089 -146.7982
23.299999 90.099 -147.5750
23.600000 90.108 -148.2721
24.000000 90.130 -149.1315
24.299999 90.156 -149.8016
24.700001 90.193 -150.7983
25.000000 90.212 -151.6089
25.400000 90.220 -152.6905
25.799999 90.214 -153.6780
26.200001 90.208 -154.5544
26.500000 90.206 -155.1683
26.900000 90.204 -155.9574
27.200001 90.203 -156.5200
27.600000 90.202 -157.2085
28.000000 90.214 -157.8513
28.500000 90.251 -158.7578
29.000000 90.280 -159.9312
29.500000 90.259 -161.2055
30.000000 90.193 -162.1737
30.400000 90.154 -162.6175
30.700001 90.153 -162.8548
31.100000 90.190 -163.2868
31.500000 90.239 -164.0081
32.000000 90.257 -165.2266
32.500000 90.203 -166.3642
33.000000 90.124 -167.0626
33.500000 90.088 -167.4331
34.000000 90.108 -167.8879
34.500000 90.142 -168.6647
35.000000 90.145 -169.6471
35.500000 90.111 -170.5689
36.000000 90.062 -171.2885
36.500000 90.021 -171.8486
37.000000 89.996 -172.3691
37.500000 89.983 -172.9208
38.200001 89.972 -173.7629
38.700001 89.966 -174.4177
39.500000 89.938 -175.5513
40.000000 89.897 -176.2282
40.599998 89.832 -176.8906
41.200001 89.779 -177.4034
41.799999 89.747 -177.9135
42.500000 89.717 -178.6126
43.099998 89.681 -179.2068
43.700001 89.644 -179.7128
44.400002 89.615 179.7146
45.000000 89.597 179.1110
45.500000 89.576 178.5350
46.200001 89.531 177.7404
46.799999 89.488 177.1315
47.500000 89.433 176.4661
48.200001 89.371 175.8454
48.700001 89.326 175.4512
49.400002 89.272 174.9353
50.000000 89.232 174.4846
50.799999 89.176 173.9250
51.500000 89.132 173.5128
52.200001 89.097 173.1039
53.000000 89.058 172.6093
53.799999 89.010 172.1266
54.500000 88.959 171.7084
55.200001 88.903 171.2789
56.000000 88.844 170.7307
57.000000 88.773 169.9505
58.000000 88.697 169.2897
59.000000 88.628 168.7716
60.000000 88.562 168.2592
60.799999 88.513 167.8706
61.500000 88.472 167.5455
62.200001 88.428 167.2205
63.000000 88.376 166.8229
64.000000 88.320 166.2347
65.000000 88.270 165.7465
66.000000 88.229 165.4721
67.000000 88.156 165.1199
68.000000 88.049 164.7452
69.000000 87.962 164.3651
70.000000 87.884 163.9930
71.000000 87.810 163.6297
72.000000 87.747 163.1740
73.000000 87.695 162.7873
74.000000 87.639 162.5049
75.000000 87.577 162.1459
76.199997 87.497 161.6307
77.500000 87.415 161.5860
78.800003 87.299 161.4105
80.000000 87.189 160.9081
81.199997 87.141 160.4490
82.500000 87.070 160.4321
83.800003 86.977 160.1814
85.000000 86.890 159.7628
86.199997 86.832 159.6708
87.500000 86.757 159.3517
88.500000 86.687 159.0604
90.000000 86.607 159.1700
91.199997 86.505 159.0518
92.500000 86.385 158.5663
93.800003 86.342 158.3827
95.000000 86.308 158.4000
96.199997 86.170 158.1616
97.500000 86.059 158.0890
98.800003 86.065 158.2197
100.000000 85.992 158.1964
101.500000 85.852 158.0672
103.000000 85.816 157.9505
104.400002 85.692 157.9243
106.000000 85.559 157.6630
107.500000 85.565 157.7171
109.000000 85.484 157.3907
110.599998 85.365 157.6631
112.000000 85.279 157.9610
113.800003 85.185 157.7629
115.000000 85.134 157.8291
117.199997 85.024 157.7176
118.000000 84.977 157.8542
120.599998 84.825 158.1872
122.000000 84.754 157.7706
124.099998 84.643 158.0710
125.000000 84.583 158.3471
126.500000 84.540 158.1405
128.000000 84.442 158.3289
131.500000 84.263 158.4456
132.000000 84.218 158.4989
134.000000 84.165 159.2158
136.000000 84.030 159.1304
138.000000 83.916 159.4125
140.000000 83.888 160.3149
143.000000 83.695 160.7338
145.000000 83.597 161.4998
147.500000 83.529 162.2336
150.000000 83.394 163.0927
152.500000 83.433 164.1608
155.000000 83.448 165.1119
157.500000 83.525 165.0836
160.000000 83.560 164.8365
162.500000 83.497 164.8093
165.000000 83.461 164.8948
167.500000 83.419 165.3105
170.000000 83.344 165.5361
172.500000 83.326 165.7695
175.000000 83.286 165.9297
177.500000 83.244 166.4872
180.000000 83.182 166.8929
182.500000 83.183 167.2263
185.000000 83.074 167.6712
187.500000 83.089 167.9503
190.000000 83.048 168.3434
192.500000 82.997 168.9108
195.000000 82.998 168.9249
197.500000 82.982 169.6390
200.000000 82.976 169.7541
203.000000 82.956 170.3274
206.000000 82.972 170.6522
209.000000 82.952 171.0704
212.000000 82.950 171.4072
214.000000 82.962 171.6234
218.000000 82.962 172.1462
220.000000 82.960 172.3976
224.000000 82.983 172.8451
227.000000 82.979 173.1025
230.000000 82.986 173.3474
233.000000 82.994 173.5536
236.000000 83.016 173.7208
240.000000 83.025 173.9731
243.000000 83.050 174.1482
247.000000 83.062 174.3926
250.000000 83.065 174.5345
254.000000 83.077 174.7437
258.000000 83.072 174.8806
262.000000 83.092 175.1179
265.000000 83.079 175.0791
269.000000 83.091 175.2733
272.000000 83.085 175.3062
276.000000 83.082 175.3384
280.000000 83.091 175.4721
285.000000 83.067 175.6274
290.000000 83.047 175.8969
295.000000 83.039 176.0403
300.000000 83.009 176.4747
304.000000 83.028 176.8992
307.000000 83.056 177.1261
311.000000 83.113 177.4313
315.000000 83.187 177.3309
320.000000 83.220 177.0846
325.000000 83.214 176.7167
330.000000 83.200 176.5837
335.000000 83.169 176.4020
340.000000 83.143 176.3410
345.000000 83.111 176.3137
350.000000 83.089 176.4116
355.000000 83.052 176.4352
360.000000 83.020 176.5951
365.000000 82.983 176.5601
370.000000 82.965 176.6551
375.000000 82.931 176.8199
382.000000 82.894 176.9167
387.000000 82.867 177.0509
395.000000 82.816 177.2477
400.000000 82.784 177.4159
406.000000 82.761 177.5935
412.000000 82.720 177.7860
418.000000 82.697 177.9900
425.000000 82.668 178.2356
431.000000 82.626 178.4149
437.000000 82.601 178.6063
444.000000 82.576 178.9128
450.000000 82.535 179.2036
455.000000 82.519 179.3178
462.000000 82.475 179.5962
468.000000 82.458 179.8373
475.000000 82.438 -179.9091
482.000000 82.387 -179.5590
487.000000 82.371 -179.3420
494.000000 82.362 -179.0783
500.000000 82.336 -178.7144
508.000000 82.294 -178.4359
515.000000 82.280 -178.0863
522.000000 82.257 -177.8383
530.000000 82.228 -177.4327
538.000000 82.211 -177.0137
545.000000 82.178 -176.6870
552.000000 82.156 -176.3802
560.000000 82.149 -175.9131
570.000000 82.139 -175.4192
580.000000 82.095 -174.8590
590.000000 82.081 -174.4037
600.000000 82.049 -173.8928
608.000000 82.044 -173.4580
615.000000 82.031 -173.0779
622.000000 82.025 -172.6344
630.000000 82.019 -172.2723
640.000000 82.003 -171.7114
650.000000 81.993 -171.1685
660.000000 81.980 -170.6693
670.000000 81.991 -170.0902
680.000000 81.975 -169.4596
690.000000 81.992 -168.9754
700.000000 81.976 -168.3342
710.000000 81.991 -167.8204
720.000000 81.980 -167.2721
730.000000 81.997 -166.6573
740.000000 82.003 -166.0524
750.000000 82.015 -165.5192
762.000000 82.039 -164.8674
775.000000 82.059 -164.0346
788.000000 82.100 -163.3128
800.000000 82.124 -162.5511
812.000000 82.169 -161.9332
825.000000 82.204 -161.1759
838.000000 82.265 -160.5200
850.000000 82.304 -159.8044
862.000000 82.358 -159.2067
875.000000 82.417 -158.3991
885.000000 82.457 -157.8669
900.000000 82.533 -157.1561
912.000000 82.604 -156.5384
925.000000 82.684 -155.9522
938.000000 82.758 -155.3412
950.000000 82.843 -154.8536
962.000000 82.917 -154.4371
975.000000 82.996 -153.8107
988.000000 83.090 -153.3442
1000.000000 83.208 -152.7126
1015.000000 83.278 -152.3939
1030.000000 83.381 -152.0360
1044.000000 83.476 -151.5781
1060.000000 83.612 -151.1584
1075.000000 83.729 -150.8599
1090.000000 83.816 -150.6318
1106.000000 83.928 -150.5562
1120.000000 84.021 -150.1529
1138.000000 84.126 -149.7670
1150.000000 84.225 -149.4108
1172.000000 84.419 -149.2438
1180.000000 84.483 -149.2809
1206.000000 84.651 -149.2843
1220.000000 84.743 -149.3572
1241.000000 84.844 -149.3175
1250.000000 84.900 -149.2960
1265.000000 84.984 -149.3486
1280.000000 85.067 -149.3792
1315.000000 85.237 -149.3996
1320.000000 85.268 -149.4732
1340.000000 85.365 -149.4249
1360.000000 85.456 -149.4264
1380.000000 85.548 -149.4285
1400.000000 85.639 -149.4870
1430.000000 85.761 -149.5861
1450.000000 85.842 -149.5226
1475.000000 85.943 -149.6678
1500.000000 86.053 -149.7331
1525.000000 86.145 -149.7880
1550.000000 86.254 -149.9206
1575.000000 86.353 -149.9720
1600.000000 86.456 -149.9153
1625.000000 86.556 -150.0866
1650.000000 86.653 -150.1700
1675.000000 86.740 -150.3356
1700.000000 86.853 -150.4392
1725.000000 86.955 -150.6382
1750.000000 87.048 -150.7220
1775.000000 87.160 -150.9208
1800.000000 87.260 -151.1271
1825.000000 87.348 -151.3072
1850.000000 87.446 -151.5740
1875.000000 87.549 -151.8822
1900.000000 87.649 -152.0961
1925.000000 87.744 -152.4089
1950.000000 87.841 -152.7236
1975.000000 87.938 -153.0587
2000.000000 88.034 -153.6829
2030.000000 88.132 -153.9065
2060.000000 88.252 -154.3748
2090.000000 88.348 -154.8876
2120.000000 88.463 -155.4332
2140.000000 88.520 -155.8659
2180.000000 88.650 -156.6521
2200.000000 88.714 -157.0733
2240.000000 88.832 -157.9635
2270.000000 88.907 -158.6747
2300.000000 88.989 -159.4103
2330.000000 89.061 -160.1739
2360.000000 89.131 -160.9128
2400.000000 89.209 -162.0029
2430.000000 89.264 -162.6985
2470.000000 89.321 -163.8504
2500.000000 89.367 -164.6871
2540.000000 89.410 -165.7784
2580.000000 89.451 -166.8886
2620.000000 89.475 -167.9818
2650.000000 89.494 -168.8463
2690.000000 89.498 -169.8506
2720.000000 89.498 -170.6905
2760.000000 89.496 -171.7897
2800.000000 89.487 -172.8178
2850.000000 89.460 -174.0469
2900.000000 89.406 -175.2236
2950.000000 89.352 -176.3423
3000.000000 89.275 -177.4370
3040.000000 89.242 -178.1692
3070.000000 89.205 -178.6899
3110.000000 89.138 -179.3163
3150.000000 89.088 -179.8215
3200.000000 89.015 179.5787
3250.000000 88.983 179.0336
3300.000000 88.971 178.4347
3350.000000 88.955 177.7794
3400.000000 88.932 176.9847
3450.000000 88.897 176.1525
3500.000000 88.865 175.3372
3550.000000 88.819 174.5908
3600.000000 88.765 173.7708
3650.000000 88.708 173.0745
3700.000000 88.652 172.4132
3750.000000 88.595 171.6802
3820.000000 88.532 170.7246
3870.000000 88.460 169.9724
3950.000000 88.371 168.7592
4000.000000 88.297 168.2042
4060.000000 88.208 167.2290
4120.000000 88.095 166.4433
4180.000000 87.981 165.6627
4250.000000 87.827 164.9063
4310.000000 87.696 164.3942
4370.000000 87.572 163.7829
4440.000000 87.427 163.4973
4500.000000 87.301 163.2267
4550.000000 87.214 163.0233
4620.000000 87.113 162.7054
4680.000000 87.028 162.3339
4750.000000 86.946 161.8403
4820.000000 86.827 161.3327
4870.000000 86.745 160.9687
4940.000000 86.607 160.4455
5000.000000 86.508 160.1448
5080.000000 86.322 159.4581
5150.000000 86.148 159.1223
5220.000000 85.962 158.9058
5300.000000 85.780 158.8258
5380.000000 85.576 158.6813
5450.000000 85.434 158.7829
5520.000000 85.285 158.9556
5600.000000 85.127 158.7416
5700.000000 84.930 158.9870
5800.000000 84.693 159.1346
5900.000000 84.633 160.4822
6000.000000 84.668 158.6075
