* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Mar 17, 2025 9:59:51 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L CANNON PRO ON OFF
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 124.805 9.8701
20.600000 124.805 9.4171
20.900000 124.806 8.9899
21.200001 124.812 8.5171
21.400000 124.816 8.1709
21.799999 124.822 7.4225
22.000000 124.823 7.0359
22.400000 124.817 6.2817
22.700001 124.808 5.7607
23.000000 124.797 5.2899
23.299999 124.785 4.8608
23.600000 124.775 4.4590
24.000000 124.762 3.9426
24.299999 124.753 3.5585
24.700001 124.739 3.0498
25.000000 124.728 2.6755
25.400000 124.715 2.1909
25.799999 124.702 1.7189
26.200001 124.691 1.2482
26.500000 124.681 0.8902
26.900000 124.664 0.4060
27.200001 124.649 0.0430
27.600000 124.626 -0.4308
28.000000 124.603 -0.8862
28.500000 124.579 -1.4390
29.000000 124.563 -2.0005
29.500000 124.548 -2.5797
30.000000 124.527 -3.1445
30.400000 124.505 -3.5565
30.700001 124.487 -3.8376
31.100000 124.465 -4.1904
31.500000 124.446 -4.5435
32.000000 124.425 -5.0150
32.500000 124.401 -5.5129
33.000000 124.374 -6.0021
33.500000 124.347 -6.4668
34.000000 124.320 -6.9202
34.500000 124.292 -7.3740
35.000000 124.261 -7.8171
35.500000 124.231 -8.2332
36.000000 124.203 -8.6240
36.500000 124.179 -9.0025
37.000000 124.153 -9.3716
37.500000 124.124 -9.7237
38.200001 124.079 -10.1964
38.700001 124.045 -10.5466
39.500000 123.987 -11.1545
40.000000 123.947 -11.5366
40.599998 123.902 -11.9631
41.200001 123.861 -12.3559
41.799999 123.825 -12.7410
42.500000 123.781 -13.1876
43.099998 123.739 -13.5384
43.700001 123.699 -13.8603
44.400002 123.656 -14.2702
45.000000 123.615 -14.6774
45.500000 123.574 -14.9961
46.200001 123.518 -15.3157
46.799999 123.486 -15.5197
47.500000 123.454 -15.8514
48.200001 123.397 -16.2841
48.700001 123.345 -16.5704
49.400002 123.283 -16.9153
50.000000 123.249 -17.2166
50.799999 123.209 -17.5807
51.500000 123.167 -17.8184
52.200001 123.108 -18.1142
53.000000 123.005 -18.4901
53.799999 122.936 -18.6795
54.500000 122.955 -18.9588
55.200001 122.970 -19.5792
56.000000 122.882 -20.1751
57.000000 122.727 -20.1035
58.000000 122.662 -20.1960
59.000000 122.593 -20.6670
60.000000 122.526 -20.8738
60.799999 122.479 -21.1376
61.500000 122.417 -21.4128
62.200001 122.359 -21.5866
63.000000 122.309 -21.7934
64.000000 122.222 -22.0470
65.000000 122.145 -22.1730
66.000000 122.077 -22.5240
67.000000 121.993 -22.7273
68.000000 121.932 -22.8660
69.000000 121.846 -23.0764
70.000000 121.768 -23.1483
71.000000 121.711 -23.3371
72.000000 121.640 -23.5089
73.000000 121.571 -23.6004
74.000000 121.496 -23.7380
75.000000 121.416 -23.8538
76.199997 121.339 -23.9953
77.500000 121.249 -24.1417
78.800003 121.159 -24.1502
80.000000 121.069 -24.2606
81.199997 120.991 -24.3325
82.500000 120.899 -24.3476
83.800003 120.821 -24.3222
85.000000 120.729 -24.5017
86.199997 120.651 -24.4859
87.500000 120.569 -24.4952
88.500000 120.503 -24.4154
90.000000 120.430 -24.3529
91.199997 120.350 -24.3283
92.500000 120.269 -24.2293
93.800003 120.181 -24.1775
95.000000 120.096 -24.0249
96.199997 120.029 -24.0141
97.500000 119.965 -23.9154
98.800003 119.902 -23.7728
100.000000 119.827 -23.7034
101.500000 119.754 -23.5183
103.000000 119.670 -23.3308
104.400002 119.617 -23.1485
106.000000 119.505 -22.9990
107.500000 119.442 -22.7578
109.000000 119.366 -22.6974
110.599998 119.292 -22.3938
112.000000 119.205 -22.0573
113.800003 119.188 -21.7713
115.000000 119.104 -21.5456
117.199997 119.045 -21.4740
118.000000 119.001 -21.3247
120.599998 118.913 -20.8879
122.000000 118.825 -20.4563
124.099998 118.749 -20.0840
125.000000 118.723 -19.8668
126.500000 118.672 -19.6015
128.000000 118.643 -19.4276
131.500000 118.560 -18.7429
132.000000 118.546 -18.7031
134.000000 118.452 -18.1070
136.000000 118.415 -17.7293
138.000000 118.357 -17.6091
140.000000 118.313 -17.0785
143.000000 118.256 -16.7024
145.000000 118.222 -16.1259
147.500000 118.211 -15.7512
150.000000 118.118 -15.1361
152.500000 118.101 -14.7139
155.000000 118.060 -14.4503
157.500000 118.013 -13.8053
160.000000 117.986 -13.4204
162.500000 117.991 -13.1398
165.000000 117.913 -12.7857
167.500000 117.906 -12.2068
170.000000 117.885 -11.6950
172.500000 117.891 -11.2149
175.000000 117.851 -11.1366
177.500000 117.859 -10.6985
180.000000 117.816 -10.2878
182.500000 117.803 -10.1127
185.000000 117.791 -9.1423
187.500000 117.805 -9.6097
190.000000 117.738 -8.6873
192.500000 117.775 -8.6362
195.000000 117.785 -8.5437
197.500000 117.768 -8.0272
200.000000 117.762 -7.9600
203.000000 117.769 -7.1962
206.000000 117.821 -7.3211
209.000000 117.763 -6.9597
212.000000 117.731 -6.3468
214.000000 117.745 -5.7971
218.000000 117.725 -5.4829
220.000000 117.757 -5.2852
224.000000 117.806 -5.1512
227.000000 117.806 -4.7727
230.000000 117.795 -4.3722
233.000000 117.789 -3.8562
236.000000 117.783 -3.5676
240.000000 117.772 -3.7662
243.000000 117.778 -3.4553
247.000000 117.781 -3.0670
250.000000 117.793 -2.7885
254.000000 117.791 -2.7447
258.000000 117.814 -2.2616
262.000000 117.791 -2.0193
265.000000 117.832 -1.9274
269.000000 117.825 -1.6738
272.000000 117.817 -1.3785
276.000000 117.815 -1.0146
280.000000 117.844 -0.9570
285.000000 117.840 -0.5636
290.000000 117.829 -0.4155
295.000000 117.881 -0.0624
300.000000 117.875 0.2683
304.000000 117.859 0.6433
307.000000 117.853 0.4240
311.000000 117.877 0.9039
315.000000 117.875 1.0199
320.000000 117.889 1.4737
325.000000 117.889 1.5938
330.000000 117.925 1.8916
335.000000 117.914 1.9332
340.000000 117.914 2.1652
345.000000 117.930 2.5495
350.000000 117.948 2.6659
355.000000 117.957 2.7347
360.000000 117.978 2.9774
365.000000 117.991 3.0694
370.000000 117.994 3.4498
375.000000 118.011 3.5250
382.000000 117.992 3.7718
387.000000 118.004 3.8832
395.000000 118.005 4.2283
400.000000 117.974 4.4910
406.000000 118.004 4.8595
412.000000 118.026 4.8609
418.000000 118.004 5.0173
425.000000 118.036 5.3908
431.000000 118.051 5.5642
437.000000 118.052 5.6541
444.000000 118.042 5.6962
450.000000 118.048 5.9861
455.000000 118.058 6.0702
462.000000 118.043 6.4034
468.000000 118.082 6.4830
475.000000 118.039 6.7472
482.000000 118.044 6.8952
487.000000 118.065 7.1974
494.000000 118.052 7.4341
500.000000 118.065 7.5029
508.000000 118.041 7.7111
515.000000 118.054 8.0315
522.000000 118.041 8.1912
530.000000 118.041 8.4423
538.000000 118.037 8.7291
545.000000 118.038 9.1308
552.000000 118.035 9.2610
560.000000 118.045 9.5800
570.000000 118.029 9.9101
580.000000 118.024 10.1830
590.000000 118.023 10.6789
600.000000 118.014 11.1090
608.000000 118.035 11.3643
615.000000 118.028 11.6411
622.000000 118.007 12.0028
630.000000 118.028 12.4042
640.000000 118.042 12.8216
650.000000 118.042 13.0561
660.000000 118.056 13.5193
670.000000 118.052 13.9467
680.000000 118.064 14.3336
690.000000 118.073 14.6678
700.000000 118.072 15.0683
710.000000 118.086 15.5087
720.000000 118.078 15.9507
730.000000 118.092 16.4540
740.000000 118.074 16.8918
750.000000 118.100 17.2160
762.000000 118.129 18.0193
775.000000 118.136 18.7696
788.000000 118.169 19.4082
800.000000 118.223 19.9499
812.000000 118.231 20.6460
825.000000 118.274 21.3234
838.000000 118.331 22.0633
850.000000 118.381 22.7061
862.000000 118.459 23.2904
875.000000 118.495 23.6746
885.000000 118.574 24.5467
900.000000 118.647 25.2912
912.000000 118.737 25.5234
925.000000 118.827 26.2924
938.000000 118.912 26.9063
950.000000 119.000 27.3219
962.000000 119.095 27.6824
975.000000 119.211 28.1815
988.000000 119.314 28.5590
1000.000000 119.456 29.0009
1015.000000 119.548 29.1726
1030.000000 119.666 29.5112
1044.000000 119.779 29.7796
1060.000000 119.929 30.0062
1075.000000 120.050 30.0979
1090.000000 120.162 30.1177
1106.000000 120.295 30.1673
1120.000000 120.405 30.2333
1138.000000 120.534 30.2212
1150.000000 120.614 30.0693
1172.000000 120.775 30.0441
1180.000000 120.829 29.9694
1206.000000 120.971 29.7196
1220.000000 121.073 29.5634
1241.000000 121.181 29.1679
1250.000000 121.236 29.1667
1265.000000 121.319 29.0614
1280.000000 121.359 28.7546
1315.000000 121.535 28.2524
1320.000000 121.549 28.1889
1340.000000 121.623 27.8132
1360.000000 121.686 27.5368
1380.000000 121.762 27.2062
1400.000000 121.817 26.9839
1430.000000 121.915 26.4634
1450.000000 121.966 26.2523
1475.000000 122.037 26.0743
1500.000000 122.079 25.6775
1525.000000 122.142 25.3979
1550.000000 122.182 25.0499
1575.000000 122.249 24.7912
1600.000000 122.281 24.5700
1625.000000 122.362 24.2869
1650.000000 122.376 24.0474
1675.000000 122.407 23.8504
1700.000000 122.443 23.6470
1725.000000 122.502 23.4453
1750.000000 122.532 23.1303
1775.000000 122.560 23.1082
1800.000000 122.602 22.9437
1825.000000 122.629 22.6937
1850.000000 122.678 22.5650
1875.000000 122.710 22.2227
1900.000000 122.739 22.3385
1925.000000 122.786 22.1102
1950.000000 122.833 22.0136
1975.000000 122.873 21.8569
2000.000000 122.938 21.7939
2030.000000 122.954 21.5352
2060.000000 123.011 21.4329
2090.000000 123.072 21.1662
2120.000000 123.125 20.9406
2140.000000 123.175 20.8649
2180.000000 123.243 20.4529
2200.000000 123.294 20.3660
2240.000000 123.384 19.9452
2270.000000 123.439 19.6640
2300.000000 123.514 19.3948
2330.000000 123.574 18.9796
2360.000000 123.635 18.5415
2400.000000 123.725 17.8642
2430.000000 123.785 17.4571
2470.000000 123.853 16.7421
2500.000000 123.897 16.1283
2540.000000 123.971 15.2945
2580.000000 124.016 14.3317
2620.000000 124.060 13.3440
2650.000000 124.075 12.6580
2690.000000 124.086 11.6712
2720.000000 124.100 10.8960
2760.000000 124.081 9.9265
2800.000000 124.075 8.8636
2850.000000 124.029 7.6694
2900.000000 123.966 6.5285
2950.000000 123.887 5.4009
3000.000000 123.829 4.5416
3040.000000 123.723 3.7271
3070.000000 123.664 3.1556
3110.000000 123.579 2.5396
3150.000000 123.473 1.8558
3200.000000 123.363 1.3244
3250.000000 123.256 0.7407
3300.000000 123.143 0.2648
3350.000000 123.023 -0.0652
3400.000000 122.914 -0.4724
3450.000000 122.818 -0.6765
3500.000000 122.718 -0.7306
3550.000000 122.632 -0.9636
3600.000000 122.559 -1.0487
3650.000000 122.485 -1.0410
3700.000000 122.423 -1.1583
3750.000000 122.375 -1.3574
3820.000000 122.301 -1.5108
3870.000000 122.276 -1.7297
3950.000000 122.223 -2.0621
4000.000000 122.208 -2.3388
4060.000000 122.131 -2.9433
4120.000000 122.084 -3.4149
4180.000000 121.998 -3.9367
4250.000000 121.900 -4.5201
4310.000000 121.824 -5.1938
4370.000000 121.746 -5.5261
4440.000000 121.604 -6.5003
4500.000000 121.459 -7.1740
4550.000000 121.336 -7.6386
4620.000000 121.141 -8.2750
4680.000000 120.908 -8.8844
4750.000000 120.649 -9.1067
4820.000000 120.372 -9.5778
4870.000000 120.184 -9.4363
4940.000000 119.876 -9.1324
5000.000000 119.544 -8.9232
5080.000000 119.232 -7.6662
5150.000000 118.969 -6.4460
5220.000000 118.727 -4.6690
5300.000000 118.510 -2.9068
5380.000000 118.359 -0.8197
5450.000000 118.320 1.0621
5520.000000 118.236 2.5981
5600.000000 118.323 4.0904
5700.000000 118.323 5.4404
5800.000000 118.362 6.1501
5900.000000 118.310 6.5422
