* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Mar 17, 2025 9:59:14 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R CANNON PRO ON OFF
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 124.760 8.5331
20.600000 124.755 8.0339
20.900000 124.747 7.5868
21.200001 124.739 7.1289
21.400000 124.736 6.8119
21.799999 124.731 6.1569
22.000000 124.728 5.8264
22.400000 124.723 5.1832
22.700001 124.720 4.7314
23.000000 124.717 4.3096
23.299999 124.715 3.9082
23.600000 124.712 3.5153
24.000000 124.706 2.9891
24.299999 124.698 2.5890
24.700001 124.681 2.0553
25.000000 124.667 1.6623
25.400000 124.647 1.1534
25.799999 124.631 0.6587
26.200001 124.621 0.1701
26.500000 124.616 -0.1962
26.900000 124.611 -0.6863
27.200001 124.607 -1.0552
27.600000 124.598 -1.5467
28.000000 124.581 -2.0288
28.500000 124.549 -2.5907
29.000000 124.512 -3.0793
29.500000 124.480 -3.5088
30.000000 124.461 -3.9437
30.400000 124.450 -4.3318
30.700001 124.442 -4.6449
31.100000 124.427 -5.0653
31.500000 124.407 -5.4603
32.000000 124.381 -5.9061
32.500000 124.359 -6.3384
33.000000 124.338 -6.8052
33.500000 124.311 -7.2969
34.000000 124.277 -7.7597
34.500000 124.244 -8.1615
35.000000 124.216 -8.5241
35.500000 124.192 -8.8938
36.000000 124.166 -9.2940
36.500000 124.138 -9.7178
37.000000 124.106 -10.1470
37.500000 124.075 -10.5661
38.200001 124.034 -11.1048
38.700001 124.007 -11.4393
39.500000 123.964 -11.9156
40.000000 123.936 -12.2214
40.599998 123.896 -12.6238
41.200001 123.850 -13.0402
41.799999 123.808 -13.4336
42.500000 123.769 -13.8698
43.099998 123.740 -14.2577
43.700001 123.702 -14.6392
44.400002 123.649 -15.0203
45.000000 123.608 -15.3171
45.500000 123.579 -15.5987
46.200001 123.536 -16.0372
46.799999 123.490 -16.3678
47.500000 123.439 -16.6828
48.200001 123.388 -17.0264
48.700001 123.347 -17.2873
49.400002 123.291 -17.5978
50.000000 123.258 -17.8487
50.799999 123.212 -18.2616
51.500000 123.150 -18.5698
52.200001 123.093 -18.7899
53.000000 123.044 -19.1849
53.799999 122.975 -19.5660
54.500000 122.927 -19.6048
55.200001 122.915 -19.6854
56.000000 122.873 -20.1679
57.000000 122.744 -20.6985
58.000000 122.667 -20.9709
59.000000 122.610 -21.3590
60.000000 122.525 -21.6323
60.799999 122.450 -21.8311
61.500000 122.387 -21.9731
62.200001 122.340 -22.0896
63.000000 122.297 -22.2952
64.000000 122.225 -22.5887
65.000000 122.152 -22.7946
66.000000 122.077 -22.9966
67.000000 121.990 -23.0953
68.000000 121.921 -23.2599
69.000000 121.856 -23.5698
70.000000 121.796 -23.7255
71.000000 121.731 -23.8586
72.000000 121.646 -24.0218
73.000000 121.577 -24.2436
74.000000 121.507 -24.3592
75.000000 121.431 -24.3547
76.199997 121.294 -24.4515
77.500000 121.241 -24.3957
78.800003 121.192 -24.7741
80.000000 121.098 -24.8014
81.199997 121.008 -25.0158
82.500000 120.946 -24.8471
83.800003 120.862 -25.0126
85.000000 120.769 -24.9777
86.199997 120.712 -25.0425
87.500000 120.629 -24.9613
88.500000 120.558 -24.9530
90.000000 120.460 -25.0254
91.199997 120.384 -24.9672
92.500000 120.305 -24.8547
93.800003 120.225 -24.8039
95.000000 120.158 -24.8347
96.199997 120.081 -24.6340
97.500000 120.016 -24.5610
98.800003 119.932 -24.5692
100.000000 119.876 -24.3585
101.500000 119.785 -24.2044
103.000000 119.708 -24.1066
104.400002 119.635 -23.8800
106.000000 119.555 -23.7821
107.500000 119.507 -23.7509
109.000000 119.401 -23.2720
110.599998 119.334 -23.1839
112.000000 119.261 -22.4458
113.800003 119.211 -22.4655
115.000000 119.141 -22.3212
117.199997 119.065 -21.9671
118.000000 119.055 -21.8648
120.599998 118.876 -21.0710
122.000000 118.843 -21.4317
124.099998 118.807 -20.9565
125.000000 118.769 -20.6614
126.500000 118.719 -20.4380
128.000000 118.668 -20.1977
131.500000 118.559 -19.5203
132.000000 118.546 -19.4072
134.000000 118.491 -19.0559
136.000000 118.445 -18.7118
138.000000 118.404 -18.3013
140.000000 118.347 -17.9460
143.000000 118.277 -17.3288
145.000000 118.245 -17.0185
147.500000 118.194 -16.5219
150.000000 118.136 -16.0624
152.500000 118.094 -15.4750
155.000000 118.074 -15.2217
157.500000 118.033 -14.6664
160.000000 118.003 -14.2426
162.500000 117.987 -13.7644
165.000000 117.950 -13.2306
167.500000 117.914 -12.9139
170.000000 117.899 -12.5161
172.500000 117.879 -12.0991
175.000000 117.872 -11.7481
177.500000 117.850 -11.3132
180.000000 117.836 -10.9320
182.500000 117.809 -10.6995
185.000000 117.817 -10.1841
187.500000 117.785 -9.8429
190.000000 117.810 -9.5211
192.500000 117.780 -9.1623
195.000000 117.760 -8.9335
197.500000 117.760 -8.4684
200.000000 117.756 -8.2147
203.000000 117.791 -7.5454
206.000000 117.793 -8.2987
209.000000 117.651 -7.1925
212.000000 117.769 -6.8017
214.000000 117.764 -6.9157
218.000000 117.772 -6.2226
220.000000 117.760 -5.7376
224.000000 117.718 -5.5172
227.000000 117.772 -5.1492
230.000000 117.787 -4.8470
233.000000 117.755 -4.7893
236.000000 117.761 -4.3764
240.000000 117.762 -4.2190
243.000000 117.766 -3.7463
247.000000 117.785 -3.5858
250.000000 117.767 -3.3120
254.000000 117.788 -2.8232
258.000000 117.823 -2.7363
262.000000 117.835 -2.5760
265.000000 117.832 -2.4129
269.000000 117.776 -2.2837
272.000000 117.828 -1.9837
276.000000 117.823 -1.4819
280.000000 117.842 -1.1794
285.000000 117.851 -0.9149
290.000000 117.832 -0.7555
295.000000 117.823 -0.5508
300.000000 117.883 -0.2477
304.000000 117.880 0.0906
307.000000 117.890 0.3305
311.000000 117.884 0.2678
315.000000 117.889 0.6629
320.000000 117.887 0.9881
325.000000 117.895 1.0922
330.000000 117.923 1.3287
335.000000 117.915 1.5696
340.000000 117.926 1.7205
345.000000 117.929 2.0340
350.000000 117.944 2.2162
355.000000 117.943 2.4533
360.000000 117.942 2.5557
365.000000 117.949 2.7080
370.000000 117.949 3.0252
375.000000 117.960 3.1912
382.000000 117.956 3.5594
387.000000 117.968 3.7439
395.000000 117.962 4.0785
400.000000 117.972 4.3273
406.000000 117.964 4.2933
412.000000 117.960 4.6533
418.000000 117.975 4.9040
425.000000 117.978 5.0899
431.000000 117.984 5.3950
437.000000 118.004 5.4214
444.000000 118.006 5.8896
450.000000 117.991 6.0111
455.000000 118.006 6.1929
462.000000 118.006 6.5569
468.000000 118.014 6.6505
475.000000 118.022 6.9473
482.000000 118.030 7.1524
487.000000 118.032 7.2762
494.000000 118.030 7.4508
500.000000 118.036 7.7462
508.000000 118.038 8.1131
515.000000 118.038 8.3133
522.000000 118.040 8.5014
530.000000 118.033 8.7555
538.000000 118.041 9.1517
545.000000 118.044 9.2216
552.000000 118.054 9.5556
560.000000 118.053 9.6308
570.000000 118.046 10.2169
580.000000 118.042 10.4553
590.000000 118.054 10.7954
600.000000 118.053 11.2122
608.000000 118.045 11.4215
615.000000 118.030 11.8000
622.000000 118.040 12.0861
630.000000 118.042 12.2430
640.000000 118.045 12.8612
650.000000 118.041 13.1448
660.000000 118.056 13.5780
670.000000 118.043 14.0552
680.000000 118.028 14.4584
690.000000 118.050 14.9230
700.000000 118.056 15.3066
710.000000 118.067 15.9072
720.000000 118.065 16.3091
730.000000 118.084 16.8100
740.000000 118.103 17.4164
750.000000 118.095 17.8375
762.000000 118.132 18.4768
775.000000 118.146 19.1511
788.000000 118.183 19.9598
800.000000 118.226 20.5016
812.000000 118.268 21.1784
825.000000 118.313 21.9273
838.000000 118.380 22.5096
850.000000 118.410 23.1591
862.000000 118.475 23.7307
875.000000 118.551 24.4591
885.000000 118.613 24.9798
900.000000 118.694 25.7363
912.000000 118.791 26.2715
925.000000 118.864 26.8954
938.000000 118.972 27.3806
950.000000 119.049 27.8717
962.000000 119.141 28.2736
975.000000 119.271 28.6326
988.000000 119.350 29.0143
1000.000000 119.502 29.3267
1015.000000 119.584 29.6917
1030.000000 119.720 30.0214
1044.000000 119.849 30.2332
1060.000000 119.967 30.4809
1075.000000 120.102 30.5158
1090.000000 120.227 30.6581
1106.000000 120.329 30.7822
1120.000000 120.441 30.7741
1138.000000 120.563 30.6602
1150.000000 120.667 30.7391
1172.000000 120.812 30.4606
1180.000000 120.857 30.5077
1206.000000 121.033 30.1333
1220.000000 121.107 30.0866
1241.000000 121.218 29.7568
1250.000000 121.268 29.6269
1265.000000 121.339 29.5000
1280.000000 121.411 29.3192
1315.000000 121.552 28.6832
1320.000000 121.575 28.7006
1340.000000 121.650 28.3520
1360.000000 121.726 28.1378
1380.000000 121.791 27.8204
1400.000000 121.849 27.4965
1430.000000 121.910 27.2078
1450.000000 121.965 27.0033
1475.000000 122.030 26.6526
1500.000000 122.083 26.4151
1525.000000 122.144 26.0584
1550.000000 122.183 25.9667
1575.000000 122.225 25.7171
1600.000000 122.256 25.5220
1625.000000 122.296 25.3516
1650.000000 122.343 25.0865
1675.000000 122.382 24.9450
1700.000000 122.422 24.7983
1725.000000 122.443 24.7814
1750.000000 122.474 24.6882
1775.000000 122.519 24.4688
1800.000000 122.568 24.3821
1825.000000 122.609 24.2354
1850.000000 122.637 24.1954
1875.000000 122.666 24.1146
1900.000000 122.710 24.1228
1925.000000 122.757 23.9587
1950.000000 122.810 24.0181
1975.000000 122.838 23.9876
2000.000000 122.919 23.8334
2030.000000 122.951 23.8687
2060.000000 123.014 23.6476
2090.000000 123.070 23.7205
2120.000000 123.141 23.5566
2140.000000 123.177 23.4566
2180.000000 123.298 23.3180
2200.000000 123.323 23.2233
2240.000000 123.444 23.0109
2270.000000 123.506 22.8045
2300.000000 123.594 22.4259
2330.000000 123.674 22.1909
2360.000000 123.773 21.8406
2400.000000 123.880 21.2657
2430.000000 123.962 20.7690
2470.000000 124.068 20.1888
2500.000000 124.133 19.5108
2540.000000 124.237 18.6815
2580.000000 124.307 17.7749
2620.000000 124.377 16.8479
2650.000000 124.431 16.0823
2690.000000 124.478 15.0455
2720.000000 124.504 14.1473
2760.000000 124.536 13.0586
2800.000000 124.530 11.8919
2850.000000 124.509 10.5526
2900.000000 124.471 9.0522
2950.000000 124.413 7.8441
3000.000000 124.344 6.7276
3040.000000 124.263 5.6843
3070.000000 124.188 5.0920
3110.000000 124.106 4.2418
3150.000000 124.031 3.4544
3200.000000 123.894 2.6177
3250.000000 123.780 2.0174
3300.000000 123.655 1.3054
3350.000000 123.528 0.7626
3400.000000 123.414 0.3102
3450.000000 123.306 0.1676
3500.000000 123.202 -0.2303
3550.000000 123.090 -0.5589
3600.000000 122.995 -0.7416
3650.000000 122.899 -0.9134
3700.000000 122.833 -1.1021
3750.000000 122.754 -1.0796
3820.000000 122.657 -1.4279
3870.000000 122.590 -1.7187
3950.000000 122.462 -2.0309
4000.000000 122.385 -2.0917
4060.000000 122.314 -2.8718
4120.000000 122.240 -3.1458
4180.000000 122.131 -3.4885
4250.000000 121.996 -3.9296
4310.000000 121.870 -4.2510
4370.000000 121.731 -4.5655
4440.000000 121.562 -4.7094
4500.000000 121.412 -5.0117
4550.000000 121.346 -4.9430
4620.000000 121.160 -5.1977
4680.000000 121.003 -5.2248
4750.000000 120.835 -5.4528
4820.000000 120.649 -5.2648
4870.000000 120.496 -5.3343
4940.000000 120.295 -5.0689
5000.000000 120.027 -4.7184
5080.000000 119.813 -4.1712
5150.000000 119.580 -3.1762
5220.000000 119.408 -2.1495
5300.000000 119.212 -0.4431
5380.000000 119.042 0.9649
5450.000000 118.973 2.5079
5520.000000 118.958 3.6505
5600.000000 118.942 5.0189
5700.000000 118.998 6.1066
5800.000000 118.951 6.6009
5900.000000 118.890 6.8187
