* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Sep 1, 2024 4:37:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R CANTA 176
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 121.112 -137.1946
20.600000 121.147 -138.1741
20.900000 121.174 -139.0588
21.200001 121.198 -139.9264
21.400000 121.215 -140.4940
21.799999 121.252 -141.6025
22.000000 121.272 -142.1438
22.400000 121.316 -143.2040
22.700001 121.350 -143.9831
23.000000 121.381 -144.7508
23.299999 121.409 -145.5068
23.600000 121.433 -146.2501
24.000000 121.458 -147.2198
24.299999 121.474 -147.9318
24.700001 121.493 -148.8644
25.000000 121.507 -149.5547
25.400000 121.527 -150.4654
25.799999 121.547 -151.3628
26.200001 121.565 -152.2392
26.500000 121.576 -152.8770
26.900000 121.587 -153.6965
27.200001 121.594 -154.2881
27.600000 121.601 -155.0519
28.000000 121.607 -155.8008
28.500000 121.614 -156.7369
29.000000 121.620 -157.6804
29.500000 121.623 -158.6129
30.000000 121.623 -159.5090
30.400000 121.623 -160.1959
30.700001 121.622 -160.6985
31.100000 121.621 -161.3593
31.500000 121.617 -162.0103
32.000000 121.609 -162.8017
32.500000 121.601 -163.5622
33.000000 121.594 -164.3056
33.500000 121.590 -165.0516
34.000000 121.584 -165.7998
34.500000 121.576 -166.5310
35.000000 121.568 -167.2350
35.500000 121.559 -167.9180
36.000000 121.547 -168.5828
36.500000 121.531 -169.2194
37.000000 121.513 -169.8263
37.500000 121.496 -170.4264
38.200001 121.472 -171.2945
38.700001 121.452 -171.9160
39.500000 121.424 -172.8455
40.000000 121.411 -173.4034
40.599998 121.392 -174.0776
41.200001 121.366 -174.7306
41.799999 121.338 -175.3373
42.500000 121.310 -176.0245
43.099998 121.286 -176.6217
43.700001 121.260 -177.2032
44.400002 121.229 -177.8664
45.000000 121.199 -178.4550
45.500000 121.170 -178.9446
46.200001 121.126 -179.5674
46.799999 121.095 179.9554
47.500000 121.065 179.3942
48.200001 121.029 178.8171
48.700001 120.999 178.4200
49.400002 120.956 177.8996
50.000000 120.925 177.4719
50.799999 120.894 176.8782
51.500000 120.866 176.3061
52.200001 120.825 175.7533
53.000000 120.780 175.2403
53.799999 120.752 174.7474
54.500000 120.721 174.2637
55.200001 120.673 173.8295
56.000000 120.618 173.4251
57.000000 120.565 172.8365
58.000000 120.503 172.1670
59.000000 120.430 171.6785
60.000000 120.384 171.1692
60.799999 120.350 170.5762
61.500000 120.312 170.1535
62.200001 120.283 169.9157
63.000000 120.252 169.6168
64.000000 120.168 169.0640
65.000000 120.094 168.5395
66.000000 120.068 167.9921
67.000000 120.014 167.6081
68.000000 119.940 167.3974
69.000000 119.883 166.9325
70.000000 119.829 166.4182
71.000000 119.787 166.1188
72.000000 119.729 165.7523
73.000000 119.652 165.4400
74.000000 119.611 165.1385
75.000000 119.567 164.6804
76.199997 119.490 164.3174
77.500000 119.430 163.8996
78.800003 119.355 163.4482
80.000000 119.296 163.0974
81.199997 119.218 162.9627
82.500000 119.156 162.6594
83.800003 119.081 162.2272
85.000000 119.015 161.9628
86.199997 118.962 161.7381
87.500000 118.910 161.3951
88.500000 118.863 161.1839
90.000000 118.767 160.8608
91.199997 118.696 160.5892
92.500000 118.671 160.4317
93.800003 118.619 160.0431
95.000000 118.500 160.1108
96.199997 118.459 159.7708
97.500000 118.441 159.6806
98.800003 118.364 159.2857
100.000000 118.269 159.1415
101.500000 118.242 158.5620
103.000000 118.095 158.9522
104.400002 118.047 158.3759
106.000000 118.033 158.4340
107.500000 117.920 158.3616
109.000000 117.852 158.0670
110.599998 117.813 157.9156
112.000000 117.736 157.8440
113.800003 117.660 157.7467
115.000000 117.621 157.6464
117.199997 117.520 157.4530
118.000000 117.491 157.3752
120.599998 117.363 157.1553
122.000000 117.321 157.3668
124.099998 117.223 157.0667
125.000000 117.198 156.9769
126.500000 117.146 156.9068
128.000000 117.089 156.8585
131.500000 116.952 156.8818
132.000000 116.938 156.7876
134.000000 116.859 156.7803
136.000000 116.768 156.7039
138.000000 116.720 156.5269
140.000000 116.637 156.7326
143.000000 116.543 156.5948
145.000000 116.472 156.6602
147.500000 116.391 156.6353
150.000000 116.313 156.6128
152.500000 116.229 156.7371
155.000000 116.149 156.6627
157.500000 116.056 156.6132
160.000000 115.992 156.7999
162.500000 115.916 156.9675
165.000000 115.860 156.7807
167.500000 115.786 157.0486
170.000000 115.715 157.0361
172.500000 115.641 157.2739
175.000000 115.550 157.2210
177.500000 115.503 157.3882
180.000000 115.433 157.4465
182.500000 115.392 157.3907
185.000000 115.305 157.7334
187.500000 115.266 158.0417
190.000000 115.181 157.8888
192.500000 115.058 158.8192
195.000000 115.078 158.4917
197.500000 114.961 158.4538
200.000000 114.991 158.5154
203.000000 114.892 158.5207
206.000000 114.841 158.6552
209.000000 114.786 158.9174
212.000000 114.691 159.0984
214.000000 114.663 159.2419
218.000000 114.583 159.5860
220.000000 114.538 159.7131
224.000000 114.483 160.0195
227.000000 114.429 160.2213
230.000000 114.376 160.4369
233.000000 114.299 160.4915
236.000000 114.259 160.6817
240.000000 114.170 160.9368
243.000000 114.150 161.2974
247.000000 114.077 161.5228
250.000000 114.027 161.7343
254.000000 113.977 162.0999
258.000000 113.900 162.4756
262.000000 113.868 162.5371
265.000000 113.822 162.9706
269.000000 113.750 163.0385
272.000000 113.716 163.3917
276.000000 113.677 163.6485
280.000000 113.617 164.0029
285.000000 113.575 164.3280
290.000000 113.506 164.5925
295.000000 113.461 164.9271
300.000000 113.383 165.3901
304.000000 113.328 165.8031
307.000000 113.325 165.9758
311.000000 113.296 166.4871
315.000000 113.239 166.4548
320.000000 113.203 166.8455
325.000000 113.118 167.3604
330.000000 113.118 167.7410
335.000000 113.052 168.3638
340.000000 113.024 168.6237
345.000000 112.978 168.9097
350.000000 112.921 169.2537
355.000000 112.915 169.5582
360.000000 112.861 170.0057
365.000000 112.788 170.3466
370.000000 112.792 170.6798
375.000000 112.778 171.0901
382.000000 112.739 171.7514
387.000000 112.697 172.2090
395.000000 112.651 172.5721
400.000000 112.634 172.9778
406.000000 112.611 173.4021
412.000000 112.576 173.8602
418.000000 112.518 174.3848
425.000000 112.515 174.6768
431.000000 112.464 174.9829
437.000000 112.442 175.7299
444.000000 112.391 176.1279
450.000000 112.392 176.4247
455.000000 112.373 176.8116
462.000000 112.397 177.2919
468.000000 112.328 177.7858
475.000000 112.334 178.0979
482.000000 112.262 178.7985
487.000000 112.263 179.1539
494.000000 112.251 179.5677
500.000000 112.238 179.9105
508.000000 112.207 -179.4140
515.000000 112.154 -179.0705
522.000000 112.158 -178.6598
530.000000 112.208 -178.1524
538.000000 112.159 -177.5433
545.000000 112.106 -176.9422
552.000000 112.117 -176.5994
560.000000 112.120 -175.8510
570.000000 112.088 -175.5228
580.000000 112.093 -174.8043
590.000000 112.113 -174.0677
600.000000 112.086 -173.4387
608.000000 112.054 -172.8300
615.000000 112.036 -172.4461
622.000000 112.077 -172.0131
630.000000 111.995 -171.2460
640.000000 112.062 -170.6700
650.000000 112.014 -169.7516
660.000000 112.036 -169.5858
670.000000 112.023 -168.5883
680.000000 112.068 -168.0657
690.000000 112.028 -167.2871
700.000000 112.112 -166.8143
710.000000 112.083 -166.2350
720.000000 112.094 -165.3967
730.000000 112.094 -165.0111
740.000000 112.148 -164.1139
750.000000 112.164 -163.8965
762.000000 112.178 -162.7158
775.000000 112.210 -161.9355
788.000000 112.257 -161.0148
800.000000 112.292 -160.4977
812.000000 112.341 -159.3504
825.000000 112.391 -158.8057
838.000000 112.471 -158.0750
850.000000 112.473 -157.3011
862.000000 112.541 -156.7359
875.000000 112.601 -155.8916
885.000000 112.646 -155.4290
900.000000 112.749 -154.4264
912.000000 112.793 -153.5915
925.000000 112.867 -152.9425
938.000000 112.962 -152.3987
950.000000 113.017 -151.7338
962.000000 113.051 -151.2513
975.000000 113.199 -150.6405
988.000000 113.277 -150.0477
1000.000000 113.414 -148.9612
1015.000000 113.481 -148.9652
1030.000000 113.581 -148.2561
1044.000000 113.626 -147.9534
1060.000000 113.755 -147.6722
1075.000000 113.823 -147.4626
1090.000000 113.842 -146.9305
1106.000000 113.916 -145.5415
1120.000000 113.974 -144.3241
1138.000000 114.180 -142.9946
1150.000000 114.384 -142.7395
1172.000000 114.673 -142.1602
1180.000000 114.763 -141.9546
1206.000000 115.042 -141.9963
1220.000000 115.168 -141.9080
1241.000000 115.358 -142.0413
1250.000000 115.448 -142.0864
1265.000000 115.565 -142.1606
1280.000000 115.636 -142.4608
1315.000000 115.876 -142.5022
1320.000000 115.890 -142.3286
1340.000000 116.003 -142.5231
1360.000000 116.097 -142.5775
1380.000000 116.208 -142.4932
1400.000000 116.317 -142.5297
1430.000000 116.455 -142.4655
1450.000000 116.564 -142.3937
1475.000000 116.683 -142.2686
1500.000000 116.819 -142.0828
1525.000000 116.892 -142.2514
1550.000000 117.058 -142.1662
1575.000000 117.192 -142.1548
1600.000000 117.316 -142.0446
1625.000000 117.441 -141.9998
1650.000000 117.543 -142.0708
1675.000000 117.685 -142.1014
1700.000000 117.838 -142.3279
1725.000000 117.981 -142.1012
1750.000000 118.097 -142.2982
1775.000000 118.225 -142.2722
1800.000000 118.358 -142.3066
1825.000000 118.495 -142.6812
1850.000000 118.643 -142.8249
1875.000000 118.777 -143.0470
1900.000000 118.894 -143.1561
1925.000000 119.049 -143.4663
1950.000000 119.174 -143.7850
1975.000000 119.297 -144.0285
2000.000000 119.473 -144.3098
2030.000000 119.585 -144.8698
2060.000000 119.739 -145.3047
2090.000000 119.892 -145.8490
2120.000000 120.041 -146.4376
2140.000000 120.142 -146.8916
2180.000000 120.334 -147.7237
2200.000000 120.408 -148.1235
2240.000000 120.605 -149.0166
2270.000000 120.727 -149.7171
2300.000000 120.841 -150.6006
2330.000000 120.941 -151.3022
2360.000000 121.076 -152.0746
2400.000000 121.204 -153.1563
2430.000000 121.288 -154.1388
2470.000000 121.408 -155.2659
2500.000000 121.505 -156.1152
2540.000000 121.588 -157.2822
2580.000000 121.724 -158.4127
2620.000000 121.777 -159.5698
2650.000000 121.830 -160.4251
2690.000000 121.901 -161.6846
2720.000000 121.946 -162.5162
2760.000000 122.014 -163.5412
2800.000000 122.064 -164.5843
2850.000000 122.150 -165.9131
2900.000000 122.206 -167.2181
2950.000000 122.243 -168.5685
3000.000000 122.335 -169.8589
3040.000000 122.363 -170.7316
3070.000000 122.406 -171.5940
3110.000000 122.474 -172.3924
3150.000000 122.507 -173.3777
3200.000000 122.575 -174.6277
3250.000000 122.669 -175.9253
3300.000000 122.746 -177.1652
3350.000000 122.852 -178.6839
3400.000000 122.953 179.8118
3450.000000 123.043 178.3154
3500.000000 123.139 176.4227
3550.000000 123.225 174.6844
3600.000000 123.301 172.6793
3650.000000 123.335 170.4501
3700.000000 123.360 168.3018
3750.000000 123.377 166.0169
3820.000000 123.315 162.8578
3870.000000 123.259 160.7502
3950.000000 123.151 157.4716
4000.000000 123.008 155.2960
4060.000000 122.985 153.4956
4120.000000 122.900 151.3906
4180.000000 122.856 149.0130
4250.000000 122.784 146.2715
4310.000000 122.735 143.7875
4370.000000 122.670 141.1288
4440.000000 122.595 137.5494
4500.000000 122.491 134.4295
4550.000000 122.358 131.6326
4620.000000 122.143 127.6413
4680.000000 121.892 124.0470
4750.000000 121.560 119.9193
4820.000000 121.161 116.1002
4870.000000 120.843 113.2201
4940.000000 120.352 109.5396
5000.000000 119.919 106.5338
5080.000000 119.325 102.6997
5150.000000 118.736 99.8212
5220.000000 118.202 96.7444
5300.000000 117.539 93.5132
5380.000000 116.858 90.4011
5450.000000 116.308 87.7203
5520.000000 115.763 85.1013
5600.000000 115.172 81.8174
5700.000000 114.530 77.3228
5800.000000 113.903 72.2773
5900.000000 113.308 66.9486
6000.000000 112.848 61.0708
