* Measurement data measured by REW V5.31.1
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Aug 15, 2024 5:40:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L CARMEN SANCAI 165
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 95.610 50.2670
20.600000 95.658 49.6202
20.900000 95.712 48.8739
21.200001 95.762 47.9276
21.400000 95.788 47.2162
21.799999 95.822 45.7382
22.000000 95.833 45.0490
22.400000 95.863 43.9064
22.700001 95.908 43.2640
23.000000 95.981 42.7247
23.299999 96.073 42.1706
23.600000 96.166 41.5292
24.000000 96.263 40.5072
24.299999 96.300 39.6700
24.700001 96.309 38.5674
25.000000 96.303 37.7950
25.400000 96.308 36.8195
25.799999 96.347 35.8317
26.200001 96.415 34.8165
26.500000 96.475 34.0956
26.900000 96.556 33.2859
27.200001 96.615 32.8156
27.600000 96.691 32.2929
28.000000 96.752 31.6885
28.500000 96.774 30.5749
29.000000 96.708 29.1572
29.500000 96.589 27.8578
30.000000 96.509 27.0317
30.400000 96.526 26.6559
30.700001 96.589 26.4045
31.100000 96.710 25.9264
31.500000 96.830 25.1944
32.000000 96.919 23.9608
32.500000 96.920 22.5925
33.000000 96.868 21.3935
33.500000 96.827 20.5466
34.000000 96.847 19.9892
34.500000 96.910 19.4958
35.000000 96.950 18.9813
35.500000 96.926 18.5739
36.000000 96.865 18.3138
36.500000 96.824 17.8940
37.000000 96.809 16.9128
37.500000 96.777 15.4495
38.200001 96.678 13.7511
38.700001 96.634 13.3522
39.500000 96.703 13.1889
40.000000 96.753 12.7050
40.599998 96.742 11.8268
41.200001 96.690 10.9556
41.799999 96.642 10.0648
42.500000 96.575 9.0331
43.099998 96.517 8.4611
43.700001 96.513 8.0814
44.400002 96.560 7.3152
45.000000 96.556 6.3726
45.500000 96.499 5.7531
46.200001 96.401 5.3322
46.799999 96.348 4.9716
47.500000 96.285 4.1176
48.200001 96.205 3.2326
48.700001 96.184 2.8505
49.400002 96.247 2.4163
50.000000 96.326 1.8113
50.799999 96.355 0.9255
51.500000 96.339 0.4197
52.200001 96.347 -0.0865
53.000000 96.364 -0.9559
53.799999 96.342 -1.8813
54.500000 96.298 -2.5471
55.200001 96.251 -3.1181
56.000000 96.207 -3.7568
57.000000 96.170 -4.4501
58.000000 96.151 -5.2160
59.000000 96.077 -6.2421
60.000000 96.020 -6.9634
60.799999 96.025 -7.5888
61.500000 95.998 -8.0724
62.200001 95.953 -8.2374
63.000000 95.920 -8.4001
64.000000 95.826 -8.9276
65.000000 95.662 -9.1366
66.000000 95.544 -9.2316
67.000000 95.487 -9.6523
68.000000 95.454 -10.3228
69.000000 95.372 -11.1245
70.000000 95.299 -11.7183
71.000000 95.316 -12.5121
72.000000 95.297 -13.2284
73.000000 95.256 -13.5654
74.000000 95.197 -14.3083
75.000000 95.098 -15.1355
76.199997 94.967 -15.6806
77.500000 94.842 -15.8040
78.800003 94.691 -16.3602
80.000000 94.613 -16.7904
81.199997 94.585 -17.1477
82.500000 94.519 -16.6734
83.800003 94.406 -16.6920
85.000000 94.257 -17.1223
86.199997 94.145 -17.3409
87.500000 94.009 -17.6975
88.500000 93.917 -18.0786
90.000000 93.779 -19.0282
91.199997 93.700 -19.5893
92.500000 93.626 -20.0563
93.800003 93.591 -20.2919
95.000000 93.551 -20.4883
96.199997 93.564 -20.2782
97.500000 93.529 -20.3254
98.800003 93.495 -20.5209
100.000000 93.482 -20.7795
101.500000 93.424 -20.6334
103.000000 93.321 -21.0330
104.400002 93.298 -21.7400
106.000000 93.247 -22.2639
107.500000 93.193 -22.6494
109.000000 93.167 -22.9767
110.599998 93.147 -23.1545
112.000000 93.117 -23.2236
113.800003 93.063 -23.0704
115.000000 92.993 -23.0854
117.199997 92.900 -23.0151
118.000000 92.871 -22.8568
120.599998 92.757 -22.7388
122.000000 92.658 -22.9460
124.099998 92.551 -23.4652
125.000000 92.536 -23.6194
126.500000 92.503 -23.2252
128.000000 92.418 -23.2450
131.500000 92.377 -23.3788
132.000000 92.356 -23.3900
134.000000 92.245 -23.6840
136.000000 92.156 -23.6974
138.000000 92.067 -23.5557
140.000000 92.005 -23.5011
143.000000 91.861 -23.1085
145.000000 91.782 -22.8793
147.500000 91.691 -22.7607
150.000000 91.574 -22.3056
152.500000 91.475 -22.2595
155.000000 91.384 -22.3386
157.500000 91.264 -22.4059
160.000000 91.142 -22.2910
162.500000 91.027 -21.7522
165.000000 90.932 -21.3081
167.500000 90.829 -20.5345
170.000000 90.682 -19.9958
172.500000 90.635 -19.6972
175.000000 90.543 -19.3534
177.500000 90.492 -19.1265
180.000000 90.462 -19.0878
182.500000 90.391 -19.1446
185.000000 90.355 -19.0988
187.500000 90.304 -18.7838
190.000000 90.254 -18.2418
192.500000 90.214 -17.5345
195.000000 90.115 -16.8453
197.500000 90.016 -16.1979
200.000000 89.955 -15.6732
203.000000 89.882 -14.9954
206.000000 89.858 -14.4333
209.000000 89.835 -14.0362
212.000000 89.800 -14.0207
214.000000 89.802 -13.8905
218.000000 89.810 -13.2214
220.000000 89.788 -13.0035
224.000000 89.730 -12.4019
227.000000 89.659 -11.5962
230.000000 89.624 -10.7810
233.000000 89.594 -10.1745
236.000000 89.556 -9.4874
240.000000 89.520 -8.9036
243.000000 89.490 -8.7282
247.000000 89.513 -8.6037
250.000000 89.531 -8.2368
254.000000 89.510 -7.9186
258.000000 89.521 -7.2563
262.000000 89.532 -6.3991
265.000000 89.529 -5.9049
269.000000 89.500 -5.2332
272.000000 89.476 -4.8861
276.000000 89.469 -4.6475
280.000000 89.473 -4.3130
285.000000 89.441 -3.5908
290.000000 89.445 -2.9910
295.000000 89.419 -2.1891
300.000000 89.384 -1.6862
304.000000 89.395 -1.1979
307.000000 89.400 -1.0117
311.000000 89.404 -0.7179
315.000000 89.423 -0.2634
320.000000 89.472 0.1359
325.000000 89.534 0.5264
330.000000 89.592 0.9948
335.000000 89.642 1.2582
340.000000 89.703 1.5787
345.000000 89.763 1.9309
350.000000 89.803 2.2191
355.000000 89.840 2.6107
360.000000 89.870 3.0722
365.000000 89.897 3.3944
370.000000 89.936 3.5639
375.000000 89.978 3.8246
382.000000 90.010 4.2628
387.000000 90.064 4.4047
395.000000 90.096 4.7127
400.000000 90.105 5.0091
406.000000 90.119 5.4075
412.000000 90.143 5.7453
418.000000 90.179 6.0226
425.000000 90.210 6.3587
431.000000 90.260 6.5441
437.000000 90.345 6.5509
444.000000 90.417 6.5840
450.000000 90.442 6.8117
455.000000 90.467 6.9811
462.000000 90.503 7.0664
468.000000 90.511 7.2613
475.000000 90.451 7.5704
482.000000 90.416 7.8232
487.000000 90.386 7.9682
494.000000 90.325 8.2180
500.000000 90.269 8.5525
508.000000 90.197 8.9052
515.000000 90.184 9.0872
522.000000 90.217 9.3538
530.000000 90.230 9.4824
538.000000 90.260 9.5148
545.000000 90.331 9.7814
552.000000 90.399 10.0267
560.000000 90.438 10.3000
570.000000 90.470 10.4920
580.000000 90.493 10.7649
590.000000 90.513 11.4019
600.000000 90.497 11.7971
608.000000 90.496 12.0429
615.000000 90.521 12.2026
622.000000 90.515 12.4444
630.000000 90.510 12.8405
640.000000 90.537 13.4177
650.000000 90.565 13.7003
660.000000 90.587 13.9861
670.000000 90.620 14.3796
680.000000 90.665 14.8003
690.000000 90.695 15.3177
700.000000 90.680 15.6562
710.000000 90.689 15.9359
720.000000 90.675 16.6183
730.000000 90.636 17.2271
740.000000 90.628 17.7220
750.000000 90.630 18.1975
762.000000 90.645 18.6856
775.000000 90.685 19.2698
788.000000 90.718 19.9424
800.000000 90.759 20.5602
812.000000 90.799 21.1388
825.000000 90.837 21.7444
838.000000 90.879 22.4464
850.000000 90.927 23.1205
862.000000 90.966 23.7498
875.000000 91.006 24.3808
885.000000 91.056 25.0466
900.000000 91.136 26.0269
912.000000 91.213 26.6746
925.000000 91.312 27.2970
938.000000 91.423 28.0580
950.000000 91.523 28.7335
962.000000 91.620 29.3629
975.000000 91.721 29.8935
988.000000 91.839 30.3143
1000.000000 91.955 30.7653
1015.000000 92.092 30.8850
1030.000000 92.230 31.1591
1044.000000 92.352 31.4380
1060.000000 92.482 31.6351
1075.000000 92.600 31.7712
1090.000000 92.742 31.9693
1106.000000 92.890 32.0024
1120.000000 93.012 31.9523
1138.000000 93.179 31.9607
1150.000000 93.288 32.0188
1172.000000 93.466 32.0046
1180.000000 93.536 31.8881
1206.000000 93.752 31.7372
1220.000000 93.872 31.6297
1241.000000 94.013 31.3694
1250.000000 94.073 31.2847
1265.000000 94.173 31.1842
1280.000000 94.268 31.0085
1315.000000 94.497 30.3601
1320.000000 94.529 30.3395
1340.000000 94.662 30.0782
1360.000000 94.802 29.5962
1380.000000 94.931 29.1459
1400.000000 95.050 28.8271
1430.000000 95.186 28.1789
1450.000000 95.293 27.7811
1475.000000 95.409 27.1033
1500.000000 95.519 26.4042
1525.000000 95.592 25.7601
1550.000000 95.624 25.0152
1575.000000 95.656 24.3652
1600.000000 95.676 23.5359
1625.000000 95.727 22.7168
1650.000000 95.791 21.9043
1675.000000 95.881 20.9469
1700.000000 95.961 20.0086
1725.000000 96.032 19.1258
1750.000000 96.083 18.2031
1775.000000 96.140 17.2957
1800.000000 96.201 16.3128
1825.000000 96.238 15.2571
1850.000000 96.242 14.3361
1875.000000 96.197 13.4859
1900.000000 96.146 12.6250
1925.000000 96.098 11.7851
1950.000000 96.061 10.8325
1975.000000 96.024 10.0364
2000.000000 95.972 9.2538
2030.000000 95.903 8.4221
2060.000000 95.833 7.6164
2090.000000 95.749 6.8260
2120.000000 95.661 6.2761
2140.000000 95.607 5.9069
2180.000000 95.521 5.1354
2200.000000 95.481 4.8130
2240.000000 95.375 4.3675
2270.000000 95.285 3.9812
2300.000000 95.196 3.6209
2330.000000 95.084 3.4110
2360.000000 94.978 3.1886
2400.000000 94.822 2.7365
2430.000000 94.687 2.5557
2470.000000 94.469 2.4390
2500.000000 94.324 2.2928
2540.000000 94.130 2.2481
2580.000000 93.947 2.7161
2620.000000 93.789 3.3461
2650.000000 93.704 4.1116
2690.000000 93.664 5.3590
2720.000000 93.668 6.2340
2760.000000 93.728 7.3435
2800.000000 93.795 8.1966
2850.000000 93.901 8.8457
2900.000000 94.056 9.0674
2950.000000 94.194 8.8820
3000.000000 94.285 8.6873
3040.000000 94.336 8.3000
3070.000000 94.373 8.0713
3110.000000 94.410 7.7467
3150.000000 94.454 7.3938
3200.000000 94.486 7.0659
3250.000000 94.492 6.8245
3300.000000 94.492 6.5217
3350.000000 94.440 6.4551
3400.000000 94.419 6.2645
3450.000000 94.432 6.0332
3500.000000 94.479 5.8768
3550.000000 94.603 5.4893
3600.000000 94.774 4.8930
3650.000000 94.972 4.2198
3700.000000 95.182 3.1765
3750.000000 95.375 1.9319
3820.000000 95.595 -0.4532
3870.000000 95.712 -2.6852
3950.000000 95.761 -6.9304
4000.000000 95.709 -10.0565
4060.000000 95.551 -14.1284
4120.000000 95.211 -18.1273
4180.000000 94.745 -21.7289
4250.000000 94.121 -25.5154
4310.000000 93.551 -27.9824
4370.000000 92.933 -29.5890
4440.000000 92.174 -30.1705
4500.000000 91.528 -29.9445
4550.000000 91.042 -29.2862
4620.000000 90.372 -27.7436
4680.000000 89.852 -26.0269
4750.000000 89.337 -24.2569
4820.000000 88.882 -22.7973
4870.000000 88.595 -21.9963
4940.000000 88.227 -20.6599
5000.000000 87.924 -19.5890
5080.000000 87.675 -18.5447
5150.000000 87.492 -17.8808
5220.000000 87.304 -17.2903
5300.000000 87.073 -16.7385
5380.000000 86.776 -16.3664
5450.000000 86.477 -15.7197
5520.000000 86.143 -14.7596
5600.000000 85.760 -13.7084
5700.000000 85.088 -11.1595
5800.000000 84.446 -3.0036
5900.000000 85.265 4.1141
6000.000000 85.631 6.5551
6080.000000 85.909 8.2787
6150.000000 86.223 10.1892
