* Measurement data measured by REW V5.20.13
* Source: C:\Users\marcu\OneDrive\Desktop\audio_db\CCA CRA Foam R.txt
* Format: Comma/Tab/Space delimited data
* Dated: Jun 25, 2023 9:36:11 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\marcu\OneDrive\Desktop\audio_db\CCA CRA Foam R.txt Format: Comma/Tab/Space delimited data 54613 values loaded, 0 Hz to 20,000 Hz 
* Measurement: CCA CRA Foam R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	70.879	-95.0573
1.015000	70.736	-96.6768
1.030000	70.589	-98.3229
1.044000	70.447	-99.8853
1.060000	70.280	-101.7036
1.075000	70.119	-103.4420
1.090000	69.952	-105.2153
1.106000	69.768	-107.1380
1.120000	69.598	-108.7972
1.138000	69.366	-110.8932
1.150000	69.205	-112.2732
1.172000	68.895	-114.7821
1.180000	68.779	-115.6914
1.206000	68.390	-118.6544
1.220000	68.174	-120.2649
1.241000	67.844	-122.7172
1.250000	67.700	-123.7862
1.265000	67.460	-125.5978
1.280000	67.218	-127.4536
1.315000	66.655	-131.9988
1.320000	66.575	-132.6769
1.340000	66.257	-135.4720
1.360000	65.946	-138.4138
1.380000	65.642	-141.5203
1.400000	65.348	-144.8097
1.430000	64.930	-150.1262
1.450000	64.671	-153.9520
1.475000	64.366	-159.0984
1.500000	64.051	-164.7830
1.525000	63.722	-170.9685
1.550000	63.386	-177.5780
1.575000	63.050	175.4658
1.600000	62.720	168.2399
1.625000	62.402	160.8213
1.650000	62.105	153.2873
1.675000	61.833	145.7148
1.700000	61.595	138.1809
1.725000	61.396	130.7628
1.750000	61.243	123.5375
1.775000	61.142	116.5821
1.800000	61.102	109.9737
1.825000	61.127	103.7893
1.850000	61.230	97.9909
1.875000	61.418	92.3418
1.900000	61.681	86.8323
1.925000	62.009	81.4637
1.950000	62.391	76.2370
1.975000	62.817	71.1536
2.000000	63.274	66.2148
2.030000	63.852	60.4807
2.060000	64.442	54.9587
2.090000	65.026	49.6508
2.120000	65.587	44.5592
2.140000	65.938	41.2860
2.180000	66.562	35.0334
2.200000	66.824	32.0559
2.240000	67.302	26.5266
2.270000	67.642	22.7522
2.300000	67.965	19.2552
2.330000	68.274	15.9979
2.360000	68.568	12.9424
2.400000	68.938	9.1169
2.430000	69.199	6.3853
2.470000	69.528	2.8545
2.500000	69.760	0.2410
2.540000	70.051	-3.2695
2.580000	70.322	-6.8645
2.620000	70.566	-10.3719
2.650000	70.731	-12.9186
2.690000	70.931	-16.2109
2.720000	71.065	-18.6087
2.760000	71.227	-21.7191
2.800000	71.370	-24.7404
2.850000	71.526	-28.4080
2.900000	71.662	-31.9743
2.950000	71.781	-35.4583
3.000000	71.872	-38.8517
3.040000	71.926	-41.4909
3.070000	71.955	-43.4218
3.110000	71.982	-45.9265
3.150000	71.995	-48.3453
3.200000	71.994	-51.2380
3.250000	71.977	-53.9733
3.300000	71.946	-56.5387
3.350000	71.893	-58.9722
3.400000	71.814	-61.2896
3.450000	71.715	-63.4653
3.500000	71.603	-65.4741
3.550000	71.482	-67.2910
3.600000	71.360	-68.8904
3.650000	71.242	-70.2473
3.700000	71.123	-71.3401
3.750000	70.982	-72.1783
3.820000	70.769	-72.9720
3.870000	70.622	-73.3018
3.950000	70.426	-73.4878
4.000000	70.347	-73.4297
4.060000	70.309	-73.1689
4.120000	70.311	-72.4929
4.180000	70.350	-71.5161
4.250000	70.441	-70.2155
4.310000	70.559	-69.1501
4.370000	70.713	-68.3036
4.440000	70.949	-67.6863
4.500000	71.215	-67.2612
4.550000	71.470	-66.9871
4.620000	71.854	-66.7656
4.680000	72.188	-66.7633
4.750000	72.559	-67.0277
4.820000	72.907	-67.6380
4.870000	73.162	-68.2819
4.940000	73.517	-69.4066
5.000000	73.811	-70.5178
5.080000	74.176	-72.1100
5.150000	74.458	-73.5273
5.220000	74.710	-75.0841
5.300000	74.969	-77.0170
5.380000	75.197	-79.0099
5.450000	75.371	-80.7178
5.520000	75.523	-82.3308
5.600000	75.662	-84.1653
5.700000	75.791	-86.4167
5.800000	75.888	-88.5081
5.900000	75.964	-90.3324
6.000000	76.003	-91.9364
6.080000	76.017	-93.0706
6.150000	76.026	-93.9489
6.220000	76.042	-94.7162
6.300000	76.064	-95.4266
6.400000	76.088	-96.0753
6.500000	76.121	-96.5615
6.600000	76.179	-96.9954
6.700000	76.267	-97.3232
6.800000	76.375	-97.5481
6.900000	76.500	-97.7997
7.000000	76.637	-98.1893
7.100000	76.795	-98.6589
7.200000	76.964	-99.2073
7.300000	77.128	-99.8622
7.400000	77.280	-100.6548
7.500000	77.431	-101.5788
7.620000	77.598	-102.7853
7.750000	77.746	-104.1342
7.880000	77.864	-105.5828
8.000000	77.950	-106.9176
8.120000	78.013	-108.1592
8.250000	78.053	-109.4478
8.380000	78.078	-110.6353
8.500000	78.095	-111.5939
8.620000	78.102	-112.4321
8.750000	78.110	-113.2445
8.850000	78.124	-113.8151
9.000000	78.150	-114.5505
9.120000	78.178	-115.1121
9.250000	78.220	-115.7468
9.380000	78.272	-116.3788
9.500000	78.321	-117.0001
9.620000	78.372	-117.6858
9.750000	78.430	-118.4818
9.880000	78.474	-119.3143
10.000000	78.494	-120.1196
10.150000	78.499	-121.1672
10.300000	78.489	-122.1963
10.440000	78.463	-123.1446
10.600000	78.424	-124.1926
10.750000	78.385	-125.1117
10.900000	78.343	-125.9838
11.060000	78.302	-126.8752
11.200000	78.268	-127.6163
11.380000	78.228	-128.5586
11.500000	78.206	-129.1871
11.720000	78.168	-130.3439
11.800000	78.154	-130.7729
12.060000	78.109	-132.1808
12.200000	78.080	-132.9336
12.410000	78.036	-134.0498
12.500000	78.022	-134.5118
12.650000	78.008	-135.2623
12.800000	77.997	-135.9899
13.150000	77.981	-137.5957
13.200000	77.980	-137.8212
13.400000	77.978	-138.7125
13.600000	77.978	-139.6059
13.800000	77.978	-140.5117
14.000000	77.973	-141.4132
14.300000	77.958	-142.7415
14.500000	77.941	-143.5775
14.750000	77.917	-144.5504
15.000000	77.894	-145.4407
15.250000	77.877	-146.2742
15.500000	77.866	-147.0932
15.750000	77.859	-147.9193
16.000000	77.852	-148.7752
16.250000	77.843	-149.6381
16.500000	77.830	-150.4905
16.750000	77.808	-151.3013
17.000000	77.784	-152.0592
17.250000	77.761	-152.7726
17.500000	77.742	-153.4567
17.750000	77.725	-154.1442
18.000000	77.708	-154.8431
18.250000	77.692	-155.5616
18.500000	77.671	-156.2841
18.750000	77.648	-156.9987
19.000000	77.622	-157.6940
19.250000	77.597	-158.3674
19.500000	77.574	-159.0277
19.750000	77.553	-159.6816
20.000000	77.534	-160.3392
20.299999	77.511	-161.1277
20.600000	77.489	-161.9053
20.900000	77.467	-162.6588
21.200001	77.447	-163.3831
21.400000	77.435	-163.8555
21.799999	77.415	-164.7902
22.000000	77.406	-165.2563
22.400000	77.384	-166.1800
22.700001	77.365	-166.8472
23.000000	77.346	-167.4771
23.299999	77.327	-168.0725
23.600000	77.311	-168.6473
24.000000	77.292	-169.4053
24.299999	77.276	-169.9750
24.700001	77.250	-170.7239
25.000000	77.228	-171.2631
25.400000	77.197	-171.9459
25.799999	77.168	-172.6047
26.200001	77.140	-173.2635
26.500000	77.117	-173.7609
26.900000	77.084	-174.4200
27.200001	77.060	-174.9048
27.600000	77.026	-175.5382
28.000000	76.993	-176.1660
28.500000	76.953	-176.9472
29.000000	76.913	-177.7090
29.500000	76.875	-178.4468
30.000000	76.841	-179.1780
30.400000	76.814	-179.7601
30.700001	76.792	179.8139
31.100000	76.761	179.2722
31.500000	76.733	178.7594
32.000000	76.700	178.1366
32.500000	76.668	177.5140
33.000000	76.632	176.9046
33.500000	76.594	176.3271
34.000000	76.556	175.7747
34.500000	76.519	175.2297
35.000000	76.480	174.6869
35.500000	76.441	174.1516
36.000000	76.401	173.6239
36.500000	76.360	173.1049
37.000000	76.318	172.6023
37.500000	76.279	172.1153
38.200001	76.227	171.4379
38.700001	76.189	170.9559
