* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.850
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Jul 16, 2024 12:05:40 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L HYDRO DDUU Jul 16
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 132.718 -135.5986
20.600000 132.786 -135.9035
20.900000 132.851 -136.1897
21.200001 132.917 -136.4883
21.400000 132.960 -136.6935
21.799999 133.045 -137.1102
22.000000 133.087 -137.3163
22.400000 133.167 -137.7129
22.700001 133.225 -137.9937
23.000000 133.281 -138.2630
23.299999 133.338 -138.5285
23.600000 133.394 -138.7987
24.000000 133.471 -139.1771
24.299999 133.528 -139.4782
24.700001 133.604 -139.8971
25.000000 133.658 -140.2123
25.400000 133.727 -140.6125
25.799999 133.792 -140.9675
26.200001 133.855 -141.2726
26.500000 133.902 -141.4813
26.900000 133.968 -141.7614
27.200001 134.018 -141.9947
27.600000 134.084 -142.3526
28.000000 134.147 -142.7567
28.500000 134.221 -143.2771
29.000000 134.292 -143.7498
29.500000 134.367 -144.1538
30.000000 134.445 -144.5267
30.400000 134.507 -144.8411
30.700001 134.550 -145.0975
31.100000 134.600 -145.4637
31.500000 134.643 -145.8406
32.000000 134.694 -146.2971
32.500000 134.751 -146.7265
33.000000 134.818 -147.1450
33.500000 134.891 -147.5645
34.000000 134.961 -147.9735
34.500000 135.022 -148.3626
35.000000 135.077 -148.7527
35.500000 135.123 -149.1753
36.000000 135.162 -149.6198
36.500000 135.197 -150.0347
37.000000 135.239 -150.3863
37.500000 135.292 -150.7056
38.200001 135.374 -151.1992
38.700001 135.424 -151.5899
39.500000 135.489 -152.1994
40.000000 135.531 -152.5906
40.599998 135.583 -153.1154
41.200001 135.631 -153.6592
41.799999 135.673 -154.1413
42.500000 135.724 -154.6196
43.099998 135.771 -155.0259
43.700001 135.816 -155.4585
44.400002 135.865 -155.9798
45.000000 135.903 -156.4279
45.500000 135.933 -156.7961
46.200001 135.971 -157.2956
46.799999 136.003 -157.7149
47.500000 136.042 -158.2091
48.200001 136.083 -158.7095
48.700001 136.114 -159.0725
49.400002 136.156 -159.5909
50.000000 136.185 -160.0192
50.799999 136.219 -160.5298
51.500000 136.252 -160.9789
52.200001 136.282 -161.4805
53.000000 136.308 -162.0317
53.799999 136.340 -162.5108
54.500000 136.370 -162.9276
55.200001 136.397 -163.3604
56.000000 136.425 -163.9326
57.000000 136.441 -164.7492
58.000000 136.459 -165.3289
59.000000 136.507 -165.8724
60.000000 136.529 -166.4890
60.799999 136.543 -166.9235
61.500000 136.563 -167.3413
62.200001 136.580 -167.7741
63.000000 136.598 -168.2335
64.000000 136.615 -168.8208
65.000000 136.624 -169.4428
66.000000 136.634 -170.0680
67.000000 136.645 -170.6191
68.000000 136.660 -171.1067
69.000000 136.672 -171.6492
70.000000 136.672 -172.2378
71.000000 136.678 -172.7596
72.000000 136.690 -173.3320
73.000000 136.682 -173.8698
74.000000 136.682 -174.3369
75.000000 136.689 -174.8842
76.199997 136.684 -175.4797
77.500000 136.675 -176.1052
78.800003 136.664 -176.8033
80.000000 136.663 -177.3695
81.199997 136.655 -177.9563
82.500000 136.633 -178.5678
83.800003 136.627 -179.1691
85.000000 136.600 -179.6404
86.199997 136.590 179.9105
87.500000 136.576 179.1784
88.500000 136.560 178.7514
90.000000 136.538 178.1360
91.199997 136.516 177.6234
92.500000 136.486 177.0836
93.800003 136.468 176.5894
95.000000 136.434 176.0770
96.199997 136.412 175.6435
97.500000 136.378 175.0944
98.800003 136.350 174.7033
100.000000 136.322 174.1939
101.500000 136.294 173.7281
103.000000 136.241 173.1487
104.400002 136.225 172.7016
106.000000 136.161 172.1990
107.500000 136.129 171.6186
109.000000 136.067 171.2695
110.599998 136.024 170.5386
112.000000 135.958 170.3738
113.800003 135.926 169.5779
115.000000 135.855 169.4365
117.199997 135.813 168.6340
118.000000 135.757 168.5771
120.599998 135.720 167.6947
122.000000 135.562 167.6743
124.099998 135.593 166.8341
125.000000 135.520 166.7102
126.500000 135.448 166.7261
128.000000 135.458 166.1940
131.500000 135.290 166.0720
132.000000 135.330 165.7303
134.000000 135.185 164.9438
136.000000 135.075 164.8764
138.000000 135.045 164.2776
140.000000 134.949 163.7486
143.000000 134.811 163.5425
145.000000 134.763 163.2639
147.500000 134.650 162.8084
150.000000 134.541 162.4932
152.500000 134.435 162.4058
155.000000 134.368 162.0430
157.500000 134.272 161.8217
160.000000 134.137 161.6188
162.500000 134.033 161.4341
165.000000 133.909 161.2410
167.500000 133.823 161.1397
170.000000 133.724 160.8511
172.500000 133.632 161.0219
175.000000 133.512 160.9042
177.500000 133.383 160.7527
180.000000 133.310 160.7654
182.500000 133.229 160.7858
185.000000 133.096 160.9351
187.500000 133.061 160.9810
190.000000 132.988 161.3312
192.500000 132.824 161.6583
195.000000 132.670 161.4274
197.500000 132.643 161.2642
200.000000 132.559 161.3542
203.000000 132.486 162.0443
206.000000 132.364 162.5363
209.000000 132.196 163.3419
212.000000 132.082 162.9683
214.000000 132.109 162.0316
218.000000 131.988 162.7471
220.000000 131.922 163.1351
224.000000 131.844 163.5721
227.000000 131.688 163.7521
230.000000 131.617 164.0786
233.000000 131.557 164.3875
236.000000 131.488 164.8368
240.000000 131.347 165.3304
243.000000 131.305 165.6834
247.000000 131.271 166.4658
250.000000 131.170 166.5452
254.000000 131.077 167.0728
258.000000 131.021 167.7709
262.000000 130.927 168.2121
265.000000 130.891 168.6562
269.000000 130.803 169.3798
272.000000 130.732 169.8638
276.000000 130.669 170.5330
280.000000 130.630 170.9869
285.000000 130.561 171.6844
290.000000 130.519 172.4819
295.000000 130.479 173.0016
300.000000 130.423 173.9473
304.000000 130.409 174.6594
307.000000 130.375 174.9820
311.000000 130.341 175.4994
315.000000 130.314 176.1741
320.000000 130.282 176.7950
325.000000 130.288 177.4443
330.000000 130.255 177.9698
335.000000 130.251 178.7528
340.000000 130.245 179.4656
345.000000 130.225 -179.9302
350.000000 130.238 -179.4107
355.000000 130.225 -178.7266
360.000000 130.222 -178.1851
365.000000 130.211 -177.5901
370.000000 130.237 -177.1035
375.000000 130.211 -176.4895
382.000000 130.242 -175.7557
387.000000 130.252 -175.3271
395.000000 130.261 -174.4217
400.000000 130.274 -173.9143
406.000000 130.284 -173.5434
412.000000 130.266 -172.7209
418.000000 130.303 -172.7464
425.000000 130.329 -171.9159
431.000000 130.360 -171.0555
437.000000 130.380 -170.6367
444.000000 130.412 -170.3181
450.000000 130.405 -169.7791
455.000000 130.421 -169.4814
462.000000 130.451 -168.9532
468.000000 130.461 -168.4432
475.000000 130.483 -167.9899
482.000000 130.475 -167.5793
487.000000 130.555 -167.4391
494.000000 130.507 -166.5845
500.000000 130.564 -166.2723
508.000000 130.565 -165.9345
515.000000 130.619 -165.4679
522.000000 130.620 -164.9853
530.000000 130.655 -164.5199
538.000000 130.686 -164.1289
545.000000 130.681 -163.5958
552.000000 130.716 -163.3154
560.000000 130.728 -162.7561
570.000000 130.765 -162.2250
580.000000 130.824 -161.6389
590.000000 130.813 -160.9774
600.000000 130.867 -160.4185
608.000000 130.912 -160.1261
615.000000 130.909 -159.8306
622.000000 130.960 -159.3386
630.000000 130.962 -158.8453
640.000000 130.994 -158.4819
650.000000 130.996 -157.7086
660.000000 131.067 -157.3303
670.000000 131.083 -156.9424
680.000000 131.131 -156.1249
690.000000 131.167 -155.7789
700.000000 131.162 -155.1450
710.000000 131.204 -154.6174
720.000000 131.293 -154.0162
730.000000 131.313 -153.6814
740.000000 131.343 -153.1608
750.000000 131.381 -152.6922
762.000000 131.435 -151.8871
775.000000 131.480 -151.1199
788.000000 131.553 -150.4691
800.000000 131.611 -149.7912
812.000000 131.670 -149.1866
825.000000 131.736 -148.5532
838.000000 131.815 -147.6898
850.000000 131.904 -147.0699
862.000000 131.963 -146.6336
875.000000 132.058 -146.0217
885.000000 132.130 -145.5509
900.000000 132.218 -144.8393
912.000000 132.313 -144.3772
925.000000 132.382 -143.9346
938.000000 132.483 -143.3058
950.000000 132.567 -142.9117
962.000000 132.639 -142.4436
975.000000 132.729 -141.8770
988.000000 132.841 -141.3073
1000.000000 132.931 -140.9411
1015.000000 133.073 -140.3640
1030.000000 133.228 -139.7906
1044.000000 133.348 -139.4877
1060.000000 133.483 -139.1477
1075.000000 133.621 -138.8681
1090.000000 133.750 -138.6467
1106.000000 133.894 -138.4454
1120.000000 134.000 -138.3190
1138.000000 134.147 -138.1055
1150.000000 134.242 -137.9642
1172.000000 134.416 -137.8859
1180.000000 134.473 -137.8072
1206.000000 134.658 -137.7791
1220.000000 134.762 -137.7746
1241.000000 134.903 -137.7495
1250.000000 134.962 -137.7486
1265.000000 135.061 -137.6976
1280.000000 135.146 -137.7859
1315.000000 135.356 -137.8734
1320.000000 135.386 -137.8918
1340.000000 135.501 -137.9378
1360.000000 135.613 -138.0148
1380.000000 135.727 -138.0538
1400.000000 135.810 -138.1434
1430.000000 135.949 -138.2106
1450.000000 136.055 -138.2962
1475.000000 136.168 -138.3047
1500.000000 136.289 -138.4059
1525.000000 136.401 -138.4661
1550.000000 136.518 -138.5034
1575.000000 136.627 -138.5043
1600.000000 136.737 -138.6455
1625.000000 136.838 -138.6791
1650.000000 136.956 -138.7293
1675.000000 137.065 -138.8520
1700.000000 137.181 -138.8809
1725.000000 137.291 -138.9809
1750.000000 137.405 -139.0644
1775.000000 137.522 -139.1404
1800.000000 137.632 -139.2604
1825.000000 137.736 -139.3586
1850.000000 137.855 -139.5375
1875.000000 137.973 -139.6188
1900.000000 138.092 -139.8114
1925.000000 138.202 -139.9683
1950.000000 138.320 -140.1780
1975.000000 138.439 -140.3744
2000.000000 138.528 -140.5085
2030.000000 138.703 -140.9471
2060.000000 138.834 -141.2899
2090.000000 138.979 -141.6720
2120.000000 139.122 -142.0756
2140.000000 139.216 -142.3726
2180.000000 139.403 -142.9868
2200.000000 139.491 -143.3417
2240.000000 139.678 -144.0998
2270.000000 139.816 -144.6779
2300.000000 139.946 -145.3392
2330.000000 140.072 -146.0293
2360.000000 140.198 -146.7576
2400.000000 140.363 -147.7718
2430.000000 140.482 -148.5986
2470.000000 140.623 -149.7700
2500.000000 140.731 -150.6640
2540.000000 140.856 -151.9456
2580.000000 140.978 -153.2729
2620.000000 141.079 -154.6071
2650.000000 141.141 -155.6588
2690.000000 141.225 -157.0397
2720.000000 141.278 -158.1045
2760.000000 141.335 -159.5311
2800.000000 141.381 -160.9397
2850.000000 141.421 -162.7074
2900.000000 141.439 -164.4999
2950.000000 141.440 -166.2206
3000.000000 141.441 -167.7382
3040.000000 141.396 -169.2337
3070.000000 141.375 -170.2127
3110.000000 141.336 -171.4747
3150.000000 141.288 -172.6824
3200.000000 141.217 -174.1507
3250.000000 141.142 -175.5752
3300.000000 141.050 -176.8861
3350.000000 140.956 -178.1118
3400.000000 140.853 -179.2986
3450.000000 140.743 179.5904
3500.000000 140.624 178.5201
3550.000000 140.515 177.5847
3600.000000 140.395 176.6641
3650.000000 140.271 175.7871
3700.000000 140.150 175.0360
3750.000000 140.031 174.2854
3820.000000 139.855 173.3926
3870.000000 139.739 172.7452
3950.000000 139.539 171.8353
4000.000000 139.432 171.1759
4060.000000 139.273 170.8357
4120.000000 139.131 170.3016
4180.000000 138.999 169.8118
4250.000000 138.822 169.4144
4310.000000 138.692 169.0011
4370.000000 138.551 168.7274
4440.000000 138.388 168.4158
4500.000000 138.247 168.1000
4550.000000 138.138 167.9904
4620.000000 137.977 167.7819
4680.000000 137.834 167.6291
4750.000000 137.684 167.5123
4820.000000 137.522 167.5018
4870.000000 137.407 167.5038
4940.000000 137.253 167.4333
5000.000000 137.146 167.5565
5080.000000 136.940 167.7324
5150.000000 136.783 167.9405
5220.000000 136.618 168.1197
5300.000000 136.460 168.3771
5380.000000 136.279 168.9098
5450.000000 136.135 169.3003
5520.000000 135.969 169.6954
