* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.850
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Jul 16, 2024 12:08:23 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R HYDRO DDUU Jul 16
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 134.497 -133.7757
20.600000 134.577 -134.0969
20.900000 134.647 -134.3967
21.200001 134.714 -134.7024
21.400000 134.757 -134.9098
21.799999 134.840 -135.3310
22.000000 134.881 -135.5428
22.400000 134.961 -135.9625
22.700001 135.020 -136.2692
23.000000 135.078 -136.5661
23.299999 135.137 -136.8539
23.600000 135.196 -137.1357
24.000000 135.276 -137.5088
24.299999 135.337 -137.7921
24.700001 135.418 -138.1783
25.000000 135.478 -138.4731
25.400000 135.554 -138.8660
25.799999 135.625 -139.2471
26.200001 135.692 -139.6088
26.500000 135.742 -139.8698
26.900000 135.808 -140.2152
27.200001 135.859 -140.4828
27.600000 135.926 -140.8597
28.000000 135.990 -141.2554
28.500000 136.066 -141.7476
29.000000 136.139 -142.2024
29.500000 136.213 -142.6183
30.000000 136.288 -143.0282
30.400000 136.347 -143.3720
30.700001 136.390 -143.6406
31.100000 136.443 -144.0044
31.500000 136.494 -144.3640
32.000000 136.556 -144.7991
32.500000 136.620 -145.2235
33.000000 136.685 -145.6479
33.500000 136.750 -146.0762
34.000000 136.812 -146.5053
34.500000 136.871 -146.9296
35.000000 136.926 -147.3436
35.500000 136.978 -147.7444
36.000000 137.029 -148.1346
36.500000 137.081 -148.5208
37.000000 137.132 -148.9101
37.500000 137.184 -149.3076
38.200001 137.255 -149.8873
38.700001 137.302 -150.3148
39.500000 137.368 -150.9727
40.000000 137.409 -151.3471
40.599998 137.463 -151.7848
41.200001 137.518 -152.2540
41.799999 137.566 -152.7446
42.500000 137.613 -153.2774
43.099998 137.654 -153.6902
43.700001 137.701 -154.1140
44.400002 137.754 -154.6574
45.000000 137.794 -155.1322
45.500000 137.823 -155.4988
46.200001 137.867 -155.9650
46.799999 137.908 -156.3708
47.500000 137.954 -156.9009
48.200001 137.988 -157.4318
48.700001 138.011 -157.7689
49.400002 138.051 -158.2194
50.000000 138.086 -158.6432
50.799999 138.121 -159.2200
51.500000 138.152 -159.6922
52.200001 138.191 -160.2012
53.000000 138.230 -160.8140
53.799999 138.257 -161.3027
54.500000 138.282 -161.6351
55.200001 138.312 -162.0304
56.000000 138.341 -162.6647
57.000000 138.364 -163.4057
58.000000 138.419 -163.9324
59.000000 138.432 -164.6307
60.000000 138.395 -164.9965
60.799999 138.431 -165.3629
61.500000 138.466 -165.9637
62.200001 138.480 -166.4385
63.000000 138.518 -166.8441
64.000000 138.555 -167.6454
65.000000 138.560 -168.2166
66.000000 138.589 -168.8066
67.000000 138.568 -169.4609
68.000000 138.579 -169.9881
69.000000 138.614 -170.6104
70.000000 138.643 -170.9534
71.000000 138.651 -171.4128
72.000000 138.618 -171.9794
73.000000 138.630 -172.5924
74.000000 138.647 -173.3122
75.000000 138.624 -173.7697
76.199997 138.612 -174.3074
77.500000 138.618 -175.0447
78.800003 138.640 -175.6059
80.000000 138.622 -176.2045
81.199997 138.613 -176.8105
82.500000 138.616 -177.4237
83.800003 138.568 -177.9743
85.000000 138.581 -178.4745
86.199997 138.582 -179.0897
87.500000 138.541 -179.3928
88.500000 138.534 -179.7954
90.000000 138.519 179.3478
91.199997 138.486 178.8651
92.500000 138.472 178.2202
93.800003 138.466 177.8104
95.000000 138.425 177.3095
96.199997 138.388 176.7802
97.500000 138.382 176.4116
98.800003 138.354 175.9774
100.000000 138.268 175.4772
101.500000 138.315 174.8726
103.000000 138.255 174.6219
104.400002 138.205 174.0625
106.000000 138.156 173.3177
107.500000 138.094 172.9294
109.000000 138.038 172.3716
110.599998 138.024 171.6727
112.000000 137.986 171.4902
113.800003 137.953 170.8230
115.000000 137.913 170.6256
117.199997 137.847 170.0967
118.000000 137.809 169.8472
120.599998 137.710 169.2286
122.000000 137.658 168.7374
124.099998 137.606 168.3244
125.000000 137.566 168.1708
126.500000 137.512 167.6957
128.000000 137.466 167.3761
131.500000 137.339 166.7110
132.000000 137.320 166.5700
134.000000 137.244 166.2502
136.000000 137.175 165.8606
138.000000 137.094 165.3808
140.000000 137.018 165.1817
143.000000 136.894 164.6285
145.000000 136.824 164.3701
147.500000 136.748 164.0479
150.000000 136.625 163.6665
152.500000 136.524 163.4207
155.000000 136.433 163.0988
157.500000 136.342 162.8729
160.000000 136.232 162.8266
162.500000 136.135 162.4966
165.000000 136.035 162.3021
167.500000 135.950 162.1914
170.000000 135.842 162.0816
172.500000 135.746 161.9518
175.000000 135.655 161.9148
177.500000 135.561 161.7975
180.000000 135.467 161.7400
182.500000 135.357 161.7260
185.000000 135.265 161.7487
187.500000 135.169 161.7122
190.000000 135.093 161.6686
192.500000 135.002 161.9285
195.000000 134.899 161.8416
197.500000 134.821 162.0295
200.000000 134.730 162.1574
203.000000 134.620 162.1712
206.000000 134.540 162.4624
209.000000 134.451 162.3647
212.000000 134.342 162.8253
214.000000 134.290 162.9197
218.000000 134.147 163.1621
220.000000 134.096 163.2910
224.000000 133.974 163.7309
227.000000 133.890 163.9943
230.000000 133.809 164.3029
233.000000 133.720 164.6236
236.000000 133.652 164.9268
240.000000 133.538 165.4151
243.000000 133.467 165.7832
247.000000 133.391 166.1795
250.000000 133.320 166.5798
254.000000 133.230 167.1062
258.000000 133.151 167.6415
262.000000 133.075 168.1530
265.000000 133.017 168.5611
269.000000 132.943 169.0692
272.000000 132.901 169.4640
276.000000 132.833 170.0628
280.000000 132.779 170.6239
285.000000 132.715 171.2905
290.000000 132.644 172.0161
295.000000 132.589 172.6613
300.000000 132.538 173.3996
304.000000 132.507 173.9368
307.000000 132.474 174.3644
311.000000 132.451 174.8510
315.000000 132.411 175.4291
320.000000 132.383 176.1288
325.000000 132.358 176.7803
330.000000 132.334 177.4315
335.000000 132.308 178.0982
340.000000 132.287 178.6942
345.000000 132.268 179.3090
350.000000 132.260 179.8855
355.000000 132.255 -179.4873
360.000000 132.236 -178.9303
365.000000 132.234 -178.3821
370.000000 132.226 -177.8052
375.000000 132.217 -177.1983
382.000000 132.218 -176.3856
387.000000 132.210 -176.0077
395.000000 132.207 -175.2052
400.000000 132.232 -174.6801
406.000000 132.234 -174.0584
412.000000 132.232 -173.5339
418.000000 132.237 -173.0333
425.000000 132.275 -172.3407
431.000000 132.279 -171.7561
437.000000 132.275 -171.3871
444.000000 132.289 -170.7927
450.000000 132.311 -170.2225
455.000000 132.324 -169.8332
462.000000 132.329 -169.2690
468.000000 132.340 -168.8317
475.000000 132.386 -168.2089
482.000000 132.378 -167.8722
487.000000 132.400 -167.4285
494.000000 132.407 -166.9275
500.000000 132.433 -166.4478
508.000000 132.450 -165.8641
515.000000 132.468 -165.4104
522.000000 132.492 -164.9671
530.000000 132.505 -164.3793
538.000000 132.539 -163.8970
545.000000 132.562 -163.4117
552.000000 132.575 -162.9682
560.000000 132.601 -162.4437
570.000000 132.638 -161.8098
580.000000 132.653 -161.2158
590.000000 132.688 -160.5549
600.000000 132.722 -159.8949
608.000000 132.740 -159.5339
615.000000 132.798 -158.8145
622.000000 132.779 -158.3595
630.000000 132.808 -158.2768
640.000000 132.842 -157.6624
650.000000 132.932 -156.9544
660.000000 132.908 -156.1242
670.000000 132.942 -155.6848
680.000000 132.990 -155.1850
690.000000 133.030 -154.5397
700.000000 133.082 -153.9532
710.000000 133.126 -153.2809
720.000000 133.179 -152.8244
730.000000 133.215 -152.2124
740.000000 133.259 -151.5659
750.000000 133.334 -150.7652
762.000000 133.364 -150.3019
775.000000 133.454 -149.5970
788.000000 133.515 -148.8888
800.000000 133.588 -148.1809
812.000000 133.669 -147.6299
825.000000 133.754 -147.0215
838.000000 133.844 -146.3091
850.000000 133.924 -145.8095
862.000000 133.992 -145.2328
875.000000 134.088 -144.5293
885.000000 134.162 -144.0739
900.000000 134.285 -143.4462
912.000000 134.388 -143.0263
925.000000 134.499 -142.6736
938.000000 134.583 -142.4185
950.000000 134.663 -142.0392
962.000000 134.725 -141.6888
975.000000 134.787 -141.1834
988.000000 134.864 -140.6407
1000.000000 134.954 -139.9480
1015.000000 135.078 -139.4107
1030.000000 135.208 -138.9550
1044.000000 135.348 -138.3651
1060.000000 135.502 -138.0291
1075.000000 135.621 -137.6491
1090.000000 135.756 -137.3510
1106.000000 135.905 -137.1262
1120.000000 136.040 -136.9291
1138.000000 136.204 -136.6336
1150.000000 136.312 -136.5786
1172.000000 136.504 -136.4864
1180.000000 136.552 -136.5604
1206.000000 136.753 -136.5645
1220.000000 136.852 -136.5702
1241.000000 136.995 -136.6400
1250.000000 137.058 -136.6309
1265.000000 137.152 -136.6590
1280.000000 137.246 -136.7780
1315.000000 137.455 -136.8704
1320.000000 137.484 -136.8989
1340.000000 137.598 -137.0280
1360.000000 137.694 -137.1122
1380.000000 137.802 -137.2403
1400.000000 137.899 -137.2923
1430.000000 138.041 -137.4984
1450.000000 138.133 -137.6302
1475.000000 138.245 -137.6457
1500.000000 138.352 -137.7782
1525.000000 138.458 -137.8581
1550.000000 138.561 -137.9635
1575.000000 138.662 -138.0155
1600.000000 138.759 -138.1262
1625.000000 138.861 -138.1980
1650.000000 138.960 -138.2774
1675.000000 139.062 -138.3620
1700.000000 139.167 -138.4037
1725.000000 139.255 -138.5351
1750.000000 139.360 -138.5667
1775.000000 139.458 -138.6630
1800.000000 139.556 -138.7244
1825.000000 139.657 -138.8033
1850.000000 139.756 -138.9128
1875.000000 139.863 -139.0060
1900.000000 139.961 -139.1246
1925.000000 140.062 -139.2483
1950.000000 140.168 -139.3658
1975.000000 140.269 -139.5959
2000.000000 140.375 -139.8633
2030.000000 140.499 -139.9220
2060.000000 140.627 -140.1524
2090.000000 140.748 -140.4017
2120.000000 140.872 -140.6771
2140.000000 140.955 -140.9103
2180.000000 141.129 -141.3174
2200.000000 141.213 -141.5743
2240.000000 141.380 -142.1077
2270.000000 141.502 -142.5271
2300.000000 141.626 -143.0059
2330.000000 141.753 -143.4990
2360.000000 141.874 -144.0204
2400.000000 142.026 -144.7748
2430.000000 142.144 -145.3754
2470.000000 142.295 -146.2570
2500.000000 142.399 -146.9258
2540.000000 142.539 -147.8754
2580.000000 142.667 -148.9466
2620.000000 142.785 -150.0057
2650.000000 142.867 -150.8270
2690.000000 142.972 -151.9734
2720.000000 143.041 -152.8375
2760.000000 143.127 -153.9724
2800.000000 143.199 -155.1649
2850.000000 143.276 -156.7026
2900.000000 143.341 -158.2038
2950.000000 143.384 -159.7302
3000.000000 143.422 -161.1226
3040.000000 143.428 -162.3897
3070.000000 143.433 -163.2481
3110.000000 143.433 -164.3889
3150.000000 143.425 -165.5149
3200.000000 143.408 -166.9188
3250.000000 143.375 -168.2054
3300.000000 143.339 -169.4922
3350.000000 143.291 -170.7430
3400.000000 143.237 -171.9082
3450.000000 143.175 -173.0151
3500.000000 143.111 -174.1425
3550.000000 143.038 -175.1652
3600.000000 142.964 -176.1218
3650.000000 142.880 -177.0381
3700.000000 142.801 -177.9209
3750.000000 142.721 -178.7106
3820.000000 142.591 -179.8003
3870.000000 142.508 179.4657
3950.000000 142.369 178.4203
4000.000000 142.261 177.7882
4060.000000 142.168 177.1047
4120.000000 142.053 176.4551
4180.000000 141.945 175.8037
4250.000000 141.823 175.1655
4310.000000 141.709 174.6341
4370.000000 141.608 174.1266
4440.000000 141.473 173.5915
4500.000000 141.362 173.1820
4550.000000 141.272 172.8074
4620.000000 141.142 172.3420
4680.000000 141.027 171.9808
4750.000000 140.890 171.6751
4820.000000 140.752 171.3506
4870.000000 140.666 171.1505
4940.000000 140.518 170.8769
5000.000000 140.390 170.7527
5080.000000 140.226 170.5124
5150.000000 140.083 170.3752
5220.000000 139.927 170.3857
5300.000000 139.764 170.3521
5380.000000 139.591 170.5211
5450.000000 139.440 170.6437
5520.000000 139.278 170.8286
