* Measurement data measured by REW V5.31.1
* Source: Microphone (6- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Apr 29, 2026 10:26:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R CIELO OMNI 2123
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 87.496 18.4667
20.600000 87.505 16.2441
20.900000 87.352 14.7231
21.200001 87.144 14.2436
21.400000 87.047 14.4979
21.799999 87.035 15.6266
22.000000 87.130 16.0299
22.400000 87.428 15.5807
22.700001 87.609 14.0963
23.000000 87.655 12.0951
23.299999 87.555 10.2440
23.600000 87.355 9.0620
24.000000 87.075 8.9336
24.299999 86.975 9.6183
24.700001 87.054 10.5176
25.000000 87.211 10.5027
25.400000 87.413 9.3764
25.799999 87.497 7.5893
26.200001 87.457 5.9286
26.500000 87.386 5.0326
26.900000 87.290 4.2966
27.200001 87.236 3.9384
27.600000 87.186 3.5350
28.000000 87.142 3.1706
28.500000 87.100 2.8347
29.000000 87.095 2.5263
29.500000 87.121 1.9897
30.000000 87.137 1.1790
30.400000 87.131 0.4651
30.700001 87.119 -0.0554
31.100000 87.098 -0.7296
31.500000 87.067 -1.3874
32.000000 87.004 -2.0932
32.500000 86.932 -2.5036
33.000000 86.891 -2.6893
33.500000 86.892 -2.9872
34.000000 86.889 -3.5731
34.500000 86.852 -4.2189
35.000000 86.811 -4.7031
35.500000 86.798 -5.1643
36.000000 86.790 -5.8181
36.500000 86.743 -6.5044
37.000000 86.679 -6.9038
37.500000 86.655 -7.1316
38.200001 86.657 -7.9319
38.700001 86.597 -8.6799
39.500000 86.488 -8.9435
40.000000 86.513 -9.1337
40.599998 86.499 -10.2021
41.200001 86.294 -10.9676
41.799999 86.134 -10.2645
42.500000 86.301 -9.9805
43.099998 86.377 -11.9087
43.700001 86.131 -13.2878
44.400002 85.928 -12.0221
45.000000 86.135 -11.6655
45.500000 86.217 -13.4165
46.200001 85.860 -15.4722
46.799999 85.591 -13.9554
47.500000 85.913 -12.6595
48.200001 86.115 -15.3998
48.700001 85.832 -17.1732
49.400002 85.348 -15.5885
50.000000 85.511 -13.2917
50.799999 85.978 -15.4195
51.500000 85.776 -18.9155
52.200001 85.261 -18.5598
53.000000 85.267 -15.2070
53.799999 85.640 -15.9008
54.500000 85.546 -18.7111
55.200001 85.132 -19.5367
56.000000 84.932 -17.4640
57.000000 85.216 -16.7340
58.000000 85.231 -19.2881
59.000000 84.867 -20.9265
60.000000 84.559 -19.3264
60.799999 84.645 -17.0864
61.500000 84.939 -16.6279
62.200001 85.195 -18.7088
63.000000 85.043 -22.8683
64.000000 84.138 -23.7182
65.000000 83.980 -17.9133
66.000000 84.573 -17.3555
67.000000 84.724 -19.9233
68.000000 84.670 -21.9785
69.000000 84.369 -23.1033
70.000000 84.050 -22.5378
71.000000 83.846 -21.5060
72.000000 83.879 -20.1335
73.000000 84.008 -20.4543
74.000000 83.927 -20.9416
75.000000 83.942 -20.6250
76.199997 84.035 -20.9768
77.500000 83.995 -22.0242
78.800003 83.701 -23.2965
80.000000 83.493 -22.8959
81.199997 83.452 -22.6382
82.500000 83.365 -22.2666
83.800003 83.340 -22.3385
85.000000 83.227 -22.3956
86.199997 83.175 -22.1477
87.500000 83.105 -22.3749
88.500000 83.054 -22.3295
90.000000 82.920 -22.5645
91.199997 82.848 -21.9175
92.500000 82.857 -21.7833
93.800003 82.740 -21.7686
95.000000 82.751 -21.6623
96.199997 82.828 -22.2770
97.500000 82.659 -23.4890
98.800003 82.481 -23.0768
100.000000 82.496 -22.8631
101.500000 82.454 -22.1940
103.000000 82.474 -22.4639
104.400002 82.473 -21.1740
106.000000 82.274 -21.0440
107.500000 82.304 -21.1605
109.000000 82.233 -22.0521
110.599998 82.186 -22.4558
112.000000 82.132 -22.0116
113.800003 82.077 -21.0313
115.000000 82.019 -20.9799
117.199997 82.001 -21.0711
118.000000 81.971 -20.9208
120.599998 81.853 -21.4016
122.000000 81.849 -21.4203
124.099998 81.753 -20.8209
125.000000 81.711 -20.6165
126.500000 81.604 -20.4983
128.000000 81.565 -20.4413
131.500000 81.567 -20.1920
132.000000 81.551 -20.1193
134.000000 81.424 -19.7306
136.000000 81.356 -19.9458
138.000000 81.307 -19.1127
140.000000 81.186 -18.8532
143.000000 81.155 -19.0658
145.000000 81.063 -18.7333
147.500000 81.029 -19.1931
150.000000 80.882 -17.1987
152.500000 81.123 -18.7245
155.000000 80.891 -18.0902
157.500000 80.902 -17.0368
160.000000 80.730 -17.2679
162.500000 80.553 -16.9571
165.000000 80.697 -16.3193
167.500000 80.369 -14.9733
170.000000 80.367 -13.7896
172.500000 80.539 -13.2430
175.000000 80.542 -10.3716
177.500000 81.029 -11.0181
180.000000 81.135 -11.6925
182.500000 81.180 -12.2393
185.000000 81.102 -13.3920
187.500000 81.154 -14.2821
190.000000 81.079 -14.3821
192.500000 81.052 -14.7621
195.000000 80.918 -14.5139
197.500000 80.914 -14.7660
200.000000 80.820 -14.5605
203.000000 80.767 -14.5529
206.000000 80.725 -14.6038
209.000000 80.652 -14.3691
212.000000 80.621 -14.1818
214.000000 80.577 -14.1407
218.000000 80.529 -13.9674
220.000000 80.514 -13.6824
224.000000 80.461 -13.6300
227.000000 80.430 -13.4631
230.000000 80.407 -13.2978
233.000000 80.370 -13.1487
236.000000 80.302 -12.9955
240.000000 80.288 -12.8362
243.000000 80.266 -12.1790
247.000000 80.252 -12.3175
250.000000 80.214 -12.0942
254.000000 80.172 -11.9260
258.000000 80.140 -11.6546
262.000000 80.116 -11.5350
265.000000 80.086 -11.4368
269.000000 80.070 -11.0951
272.000000 80.049 -10.8863
276.000000 80.016 -10.7684
280.000000 79.983 -10.5110
285.000000 79.947 -10.4123
290.000000 79.910 -10.1989
295.000000 79.891 -9.8219
300.000000 79.869 -9.4692
304.000000 79.825 -9.3671
307.000000 79.802 -9.1334
311.000000 79.768 -8.9788
315.000000 79.771 -8.8044
320.000000 79.741 -8.4914
325.000000 79.702 -8.2161
330.000000 79.669 -8.0154
335.000000 79.678 -7.8956
340.000000 79.633 -7.6417
345.000000 79.615 -7.3206
350.000000 79.581 -6.9221
355.000000 79.554 -6.7759
360.000000 79.529 -6.5356
365.000000 79.504 -6.3552
370.000000 79.486 -6.0743
375.000000 79.473 -5.7421
382.000000 79.450 -5.5013
387.000000 79.440 -5.0617
395.000000 79.423 -4.8232
400.000000 79.385 -4.5752
406.000000 79.378 -4.3808
412.000000 79.347 -4.1931
418.000000 79.336 -3.7078
425.000000 79.307 -3.4772
431.000000 79.293 -3.2264
437.000000 79.280 -3.1637
444.000000 79.254 -2.8415
450.000000 79.225 -2.4448
455.000000 79.206 -2.2098
462.000000 79.174 -1.9361
468.000000 79.162 -1.7246
475.000000 79.129 -1.3241
482.000000 79.127 -1.0169
487.000000 79.110 -0.9225
494.000000 79.089 -0.6230
500.000000 79.077 -0.2468
508.000000 79.063 0.0852
515.000000 79.038 0.4103
522.000000 79.013 0.7640
530.000000 78.997 1.1033
538.000000 78.950 1.5352
545.000000 78.950 1.7634
552.000000 78.929 2.0866
560.000000 78.896 2.5627
570.000000 78.873 2.9517
580.000000 78.860 3.3488
590.000000 78.843 3.8449
600.000000 78.816 4.3648
608.000000 78.788 4.8121
615.000000 78.785 5.1491
622.000000 78.773 5.4013
630.000000 78.765 5.9326
640.000000 78.738 6.2701
650.000000 78.734 6.8708
660.000000 78.716 7.2619
670.000000 78.716 7.8747
680.000000 78.680 8.3432
690.000000 78.688 8.9093
700.000000 78.680 9.4929
710.000000 78.669 9.9614
720.000000 78.666 10.6551
730.000000 78.644 10.9352
740.000000 78.669 11.6439
750.000000 78.645 12.1259
762.000000 78.652 12.7632
775.000000 78.666 13.5061
788.000000 78.680 14.2914
800.000000 78.696 14.9218
812.000000 78.717 15.5765
825.000000 78.718 16.2691
838.000000 78.751 16.9955
850.000000 78.816 17.6362
862.000000 78.826 18.3074
875.000000 78.871 19.0702
885.000000 78.890 19.6138
900.000000 78.959 20.3559
912.000000 79.002 20.7857
925.000000 79.060 21.4135
938.000000 79.132 22.0012
950.000000 79.180 22.7273
962.000000 79.231 23.1349
975.000000 79.305 23.7622
988.000000 79.368 24.2402
1000.000000 79.403 25.4651
1015.000000 79.508 25.1049
1030.000000 79.614 25.5891
1044.000000 79.668 26.0129
1060.000000 79.752 26.3809
1075.000000 79.841 26.6697
1090.000000 79.903 27.0225
1106.000000 79.999 27.3237
1120.000000 80.074 27.6297
1138.000000 80.165 27.8206
1150.000000 80.216 28.1736
1172.000000 80.302 28.3341
1180.000000 80.346 28.3784
1206.000000 80.464 28.7108
1220.000000 80.506 28.8841
1241.000000 80.574 28.9857
1250.000000 80.603 29.0645
1265.000000 80.649 29.1259
1280.000000 80.706 29.3720
1315.000000 80.800 29.6528
1320.000000 80.803 29.5719
1340.000000 80.844 29.8716
1360.000000 80.896 30.0560
1380.000000 80.942 30.1106
1400.000000 80.985 30.4922
1430.000000 81.039 30.6467
1450.000000 81.067 30.9335
1475.000000 81.117 31.2748
1500.000000 81.150 31.5738
1525.000000 81.217 31.9366
1550.000000 81.250 32.3215
1575.000000 81.293 32.6294
1600.000000 81.334 33.0690
1625.000000 81.368 33.5993
1650.000000 81.433 33.8932
1675.000000 81.494 34.4216
1700.000000 81.570 34.8854
1725.000000 81.645 35.3431
1750.000000 81.707 35.6411
1775.000000 81.783 36.1040
1800.000000 81.844 36.4520
1825.000000 81.904 36.7116
1850.000000 81.949 37.2282
1875.000000 82.011 37.5670
1900.000000 82.089 38.0378
1925.000000 82.177 38.4296
1950.000000 82.263 38.8926
1975.000000 82.357 39.3278
2000.000000 82.413 39.3312
2030.000000 82.562 40.2737
2060.000000 82.685 40.5676
2090.000000 82.803 40.8755
2120.000000 82.931 41.1916
2140.000000 83.010 41.4019
2180.000000 83.185 41.9042
2200.000000 83.289 42.0535
2240.000000 83.464 42.4175
2270.000000 83.612 42.7499
2300.000000 83.783 43.0694
2330.000000 83.946 43.2967
2360.000000 84.160 43.4083
2400.000000 84.437 43.2307
2430.000000 84.639 42.8528
2470.000000 84.876 42.3350
2500.000000 85.034 41.5974
2540.000000 85.221 40.8833
2580.000000 85.404 40.0353
2620.000000 85.572 39.2948
2650.000000 85.707 38.5188
2690.000000 85.872 37.5948
2720.000000 85.977 36.7524
2760.000000 86.122 35.6339
2800.000000 86.256 34.3935
2850.000000 86.385 32.9165
2900.000000 86.488 31.2011
2950.000000 86.557 29.4757
3000.000000 86.627 28.0955
3040.000000 86.601 26.4490
3070.000000 86.599 25.4815
3110.000000 86.588 24.2540
3150.000000 86.553 23.1156
3200.000000 86.518 21.4726
3250.000000 86.468 20.0115
3300.000000 86.386 18.5278
3350.000000 86.257 17.0865
3400.000000 86.102 15.9155
3450.000000 85.955 15.0015
3500.000000 85.794 14.1457
3550.000000 85.651 13.5681
3600.000000 85.506 13.0327
3650.000000 85.350 12.5779
3700.000000 85.227 12.2569
3750.000000 85.066 11.7851
3820.000000 84.869 11.4813
3870.000000 84.714 11.3724
3950.000000 84.474 11.4050
4000.000000 84.263 11.4506
4060.000000 84.164 11.7952
4120.000000 84.022 12.3328
4180.000000 83.910 12.9844
4250.000000 83.776 13.7018
4310.000000 83.696 14.3386
4370.000000 83.648 14.9395
4440.000000 83.577 15.6170
4500.000000 83.566 16.0385
4550.000000 83.530 16.5924
4620.000000 83.505 17.2353
4680.000000 83.483 17.7084
4750.000000 83.464 18.2621
4820.000000 83.461 18.6672
4870.000000 83.463 19.1932
4940.000000 83.451 19.5627
5000.000000 83.426 20.2290
5080.000000 83.480 20.2265
5150.000000 83.478 20.6344
5220.000000 83.478 20.8120
5300.000000 83.459 21.1870
5380.000000 83.432 21.4620
5450.000000 83.373 21.7211
5520.000000 83.310 22.3095
5600.000000 83.283 23.0650
5700.000000 83.265 24.1342
5800.000000 83.242 25.6758
5900.000000 83.319 27.8134
6000.000000 83.653 30.0408
