* Measurement data measured by REW V5.31.1
* Source: Microphone (6- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Apr 8, 2026 2:12:49 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R CIELO TIP 2 2050
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 87.099 16.1754
20.600000 87.112 15.5302
20.900000 87.121 14.9391
21.200001 87.129 14.3454
21.400000 87.133 13.9561
21.799999 87.134 13.2158
22.000000 87.132 12.8730
22.400000 87.123 12.2436
22.700001 87.114 11.7945
23.000000 87.102 11.3264
23.299999 87.086 10.8116
23.600000 87.063 10.2467
24.000000 87.021 9.4456
24.299999 86.988 8.8552
24.700001 86.952 8.1355
25.000000 86.942 7.6545
25.400000 86.956 7.0585
25.799999 86.990 6.4584
26.200001 87.020 5.8485
26.500000 87.028 5.4297
26.900000 87.013 5.0013
27.200001 86.992 4.8048
27.600000 86.968 4.6563
28.000000 86.968 4.4495
28.500000 86.993 3.7866
29.000000 86.996 2.6205
29.500000 86.940 1.3626
30.000000 86.853 0.5844
30.400000 86.814 0.4081
30.700001 86.825 0.3949
31.100000 86.886 0.2172
31.500000 86.961 -0.3657
32.000000 86.995 -1.6229
32.500000 86.925 -2.9678
33.000000 86.796 -3.8223
33.500000 86.696 -4.0764
34.000000 86.669 -4.1203
34.500000 86.678 -4.3868
35.000000 86.660 -4.9298
35.500000 86.588 -5.5125
36.000000 86.497 -5.9521
36.500000 86.430 -6.3077
37.000000 86.402 -6.7531
37.500000 86.391 -7.3177
38.200001 86.367 -8.0093
38.700001 86.351 -8.3047
39.500000 86.354 -8.8629
40.000000 86.345 -9.5163
40.599998 86.286 -10.4716
41.200001 86.185 -11.2357
41.799999 86.085 -11.6550
42.500000 86.003 -11.9213
43.099998 85.956 -12.2283
43.700001 85.909 -12.6939
44.400002 85.832 -13.2360
45.000000 85.754 -13.4003
45.500000 85.706 -13.2916
46.200001 85.677 -13.1563
46.799999 85.649 -13.4246
47.500000 85.567 -14.0996
48.200001 85.464 -14.7658
48.700001 85.410 -15.1706
49.400002 85.360 -15.7432
50.000000 85.312 -16.2152
50.799999 85.238 -16.6639
51.500000 85.194 -17.0602
52.200001 85.150 -17.6851
53.000000 85.072 -18.3013
53.799999 85.064 -18.5319
54.500000 85.138 -18.9693
55.200001 85.168 -19.6377
56.000000 85.107 -19.7362
57.000000 85.039 -18.9978
58.000000 84.922 -18.7632
59.000000 84.728 -18.6638
60.000000 84.578 -18.8788
60.799999 84.476 -19.4391
61.500000 84.416 -20.0105
62.200001 84.401 -20.4746
63.000000 84.415 -20.6142
64.000000 84.404 -20.1065
65.000000 84.287 -19.6423
66.000000 84.096 -20.0605
67.000000 83.984 -20.9251
68.000000 84.005 -21.2239
69.000000 84.001 -20.9993
70.000000 83.865 -20.8667
71.000000 83.740 -21.2024
72.000000 83.674 -21.6880
73.000000 83.665 -21.3869
74.000000 83.678 -21.4088
75.000000 83.562 -21.6576
76.199997 83.432 -21.4746
77.500000 83.370 -21.3517
78.800003 83.287 -21.6273
80.000000 83.136 -21.2793
81.199997 83.003 -21.6314
82.500000 83.025 -21.7110
83.800003 82.887 -21.8742
85.000000 82.798 -20.8452
86.199997 82.762 -21.4355
87.500000 82.663 -20.9192
88.500000 82.627 -20.0773
90.000000 82.673 -20.1675
91.199997 82.593 -19.8625
92.500000 82.726 -19.2464
93.800003 82.725 -19.4747
95.000000 82.708 -19.8485
96.199997 82.689 -20.3389
97.500000 82.619 -20.5452
98.800003 82.564 -20.7786
100.000000 82.495 -20.9719
101.500000 82.439 -20.8350
103.000000 82.356 -21.1259
104.400002 82.317 -21.0001
106.000000 82.242 -20.7393
107.500000 82.170 -20.7017
109.000000 82.160 -20.3027
110.599998 82.135 -20.5973
112.000000 82.050 -20.6392
113.800003 81.982 -20.3970
115.000000 81.946 -20.4761
117.199997 81.868 -20.2660
118.000000 81.858 -20.3331
120.599998 81.813 -20.1883
122.000000 81.730 -20.1097
124.099998 81.687 -20.0799
125.000000 81.657 -19.9574
126.500000 81.627 -19.9972
128.000000 81.578 -20.0749
131.500000 81.515 -19.9477
132.000000 81.481 -20.0571
134.000000 81.445 -19.8057
136.000000 81.380 -19.5942
138.000000 81.313 -19.5429
140.000000 81.263 -19.4575
143.000000 81.180 -19.1324
145.000000 81.144 -19.0742
147.500000 81.083 -19.1251
150.000000 81.052 -18.7072
152.500000 80.993 -18.5593
155.000000 80.917 -18.3283
157.500000 80.889 -18.2106
160.000000 80.834 -18.0313
162.500000 80.789 -17.8372
165.000000 80.753 -17.6266
167.500000 80.699 -17.4161
170.000000 80.663 -17.2496
172.500000 80.609 -17.1202
175.000000 80.580 -16.8951
177.500000 80.533 -16.7234
180.000000 80.512 -16.5471
182.500000 80.479 -16.3485
185.000000 80.438 -16.2384
187.500000 80.402 -16.0403
190.000000 80.362 -15.7164
192.500000 80.321 -15.4753
195.000000 80.299 -15.2213
197.500000 80.266 -14.9340
200.000000 80.240 -14.6763
203.000000 80.233 -14.2936
206.000000 80.238 -13.9545
209.000000 80.225 -13.9051
212.000000 80.228 -13.8823
214.000000 80.232 -13.7596
218.000000 80.208 -13.6503
220.000000 80.201 -13.5532
224.000000 80.141 -13.4541
227.000000 80.108 -13.2327
230.000000 80.075 -13.0847
233.000000 80.053 -12.8670
236.000000 80.031 -12.7615
240.000000 79.987 -12.4813
243.000000 79.957 -12.2740
247.000000 79.919 -12.1272
250.000000 79.919 -11.8042
254.000000 79.898 -11.5576
258.000000 79.879 -11.4066
262.000000 79.865 -11.2284
265.000000 79.823 -11.0858
269.000000 79.803 -10.9036
272.000000 79.799 -10.5652
276.000000 79.770 -10.5794
280.000000 79.738 -10.4563
285.000000 79.702 -10.1166
290.000000 79.665 -9.9344
295.000000 79.654 -9.6598
300.000000 79.615 -9.5915
304.000000 79.595 -9.3875
307.000000 79.567 -9.1550
311.000000 79.543 -8.9871
315.000000 79.533 -8.7584
320.000000 79.494 -8.5398
325.000000 79.468 -8.2813
330.000000 79.441 -8.1288
335.000000 79.414 -7.7694
340.000000 79.399 -7.5736
345.000000 79.367 -7.3240
350.000000 79.348 -7.1815
355.000000 79.339 -6.8705
360.000000 79.307 -6.6489
365.000000 79.265 -6.4049
370.000000 79.276 -6.1991
375.000000 79.241 -5.9715
382.000000 79.213 -5.5806
387.000000 79.187 -5.4464
395.000000 79.166 -5.0993
400.000000 79.135 -4.8671
406.000000 79.112 -4.6123
412.000000 79.092 -4.3577
418.000000 79.062 -4.0526
425.000000 79.066 -3.8040
431.000000 79.017 -3.5324
437.000000 78.994 -3.2746
444.000000 78.987 -2.8525
450.000000 78.954 -2.6639
455.000000 78.946 -2.3870
462.000000 78.934 -2.1310
468.000000 78.906 -1.8788
475.000000 78.880 -1.4473
482.000000 78.854 -1.1032
487.000000 78.851 -1.0278
494.000000 78.822 -0.7275
500.000000 78.802 -0.5433
508.000000 78.793 -0.0763
515.000000 78.771 0.1886
522.000000 78.755 0.4746
530.000000 78.719 0.9529
538.000000 78.692 1.3499
545.000000 78.692 1.6171
552.000000 78.688 1.7960
560.000000 78.657 2.3711
570.000000 78.631 2.6817
580.000000 78.619 3.2190
590.000000 78.601 3.7048
600.000000 78.568 4.1140
608.000000 78.570 4.5698
615.000000 78.543 4.9587
622.000000 78.528 5.2999
630.000000 78.519 5.5681
640.000000 78.499 6.1104
650.000000 78.469 6.6900
660.000000 78.492 7.1152
670.000000 78.493 7.6091
680.000000 78.438 8.2759
690.000000 78.440 8.6652
700.000000 78.452 9.0605
710.000000 78.454 9.6830
720.000000 78.441 10.2891
730.000000 78.433 10.8000
740.000000 78.450 11.2328
750.000000 78.436 11.7068
762.000000 78.427 12.4311
775.000000 78.447 13.1889
788.000000 78.466 13.9250
800.000000 78.507 14.5486
812.000000 78.496 15.3502
825.000000 78.525 15.9121
838.000000 78.542 16.5843
850.000000 78.598 17.2171
862.000000 78.593 17.8313
875.000000 78.639 18.6208
885.000000 78.672 18.9535
900.000000 78.734 19.6652
912.000000 78.778 20.3007
925.000000 78.825 20.9285
938.000000 78.876 21.5777
950.000000 78.926 22.0580
962.000000 79.004 22.6707
975.000000 79.062 23.1224
988.000000 79.134 23.5688
1000.000000 79.155 24.8169
1015.000000 79.255 24.6470
1030.000000 79.342 24.9869
1044.000000 79.415 25.4392
1060.000000 79.511 25.8188
1075.000000 79.589 26.2290
1090.000000 79.688 26.5775
1106.000000 79.750 26.9010
1120.000000 79.826 27.0649
1138.000000 79.913 27.3115
1150.000000 79.973 27.6618
1172.000000 80.065 28.0586
1180.000000 80.090 28.0727
1206.000000 80.211 28.2993
1220.000000 80.264 28.3508
1241.000000 80.352 28.7258
1250.000000 80.372 28.7119
1265.000000 80.420 28.9550
1280.000000 80.451 29.0351
1315.000000 80.552 29.2889
1320.000000 80.575 29.2672
1340.000000 80.624 29.4824
1360.000000 80.677 29.7077
1380.000000 80.737 29.9497
1400.000000 80.764 30.0789
1430.000000 80.813 30.3415
1450.000000 80.874 30.7768
1475.000000 80.917 30.8658
1500.000000 80.967 31.2127
1525.000000 80.996 31.5009
1550.000000 81.047 31.8058
1575.000000 81.095 32.3252
1600.000000 81.157 32.5313
1625.000000 81.186 32.9207
1650.000000 81.259 33.2607
1675.000000 81.302 33.6902
1700.000000 81.375 33.9776
1725.000000 81.435 34.3950
1750.000000 81.481 34.8673
1775.000000 81.539 35.3346
1800.000000 81.598 35.6235
1825.000000 81.685 36.1008
1850.000000 81.748 36.4669
1875.000000 81.818 36.9060
1900.000000 81.891 37.2412
1925.000000 81.978 37.6207
1950.000000 82.054 38.0937
1975.000000 82.134 38.3965
2000.000000 82.243 37.9961
2030.000000 82.351 39.1862
2060.000000 82.456 39.6285
2090.000000 82.586 39.9265
2120.000000 82.708 40.2649
2140.000000 82.799 40.5753
2180.000000 82.984 40.9656
2200.000000 83.079 41.1129
2240.000000 83.291 41.3128
2270.000000 83.433 41.5083
2300.000000 83.598 41.4648
2330.000000 83.733 41.4758
2360.000000 83.902 41.5032
2400.000000 84.128 41.2588
2430.000000 84.291 41.0324
2470.000000 84.496 40.5810
2500.000000 84.633 40.0981
2540.000000 84.837 39.6195
2580.000000 85.021 38.9496
2620.000000 85.202 38.1331
2650.000000 85.344 37.4924
2690.000000 85.512 36.5160
2720.000000 85.629 35.7961
2760.000000 85.765 34.6338
2800.000000 85.891 33.5021
2850.000000 86.034 32.0077
2900.000000 86.162 30.4140
2950.000000 86.243 28.6256
3000.000000 86.328 27.0659
3040.000000 86.326 25.4252
3070.000000 86.336 24.2727
3110.000000 86.320 22.7562
3150.000000 86.276 21.4520
3200.000000 86.211 19.7201
3250.000000 86.108 18.2201
3300.000000 85.995 16.7093
3350.000000 85.845 15.4221
3400.000000 85.681 14.3262
3450.000000 85.525 13.4127
3500.000000 85.358 12.7058
3550.000000 85.211 12.0626
3600.000000 85.057 11.6315
3650.000000 84.921 11.2028
3700.000000 84.769 10.7737
3750.000000 84.616 10.4302
3820.000000 84.421 10.1457
3870.000000 84.251 9.9872
3950.000000 84.020 9.9789
4000.000000 83.835 9.9319
4060.000000 83.692 10.3705
4120.000000 83.566 10.8289
4180.000000 83.393 11.3677
4250.000000 83.274 12.1485
4310.000000 83.171 12.6108
4370.000000 83.091 13.2521
4440.000000 82.991 14.1032
4500.000000 82.961 14.9466
4550.000000 82.893 15.2223
4620.000000 82.869 16.0609
4680.000000 82.832 16.7442
4750.000000 82.791 17.4842
4820.000000 82.776 18.1376
4870.000000 82.783 18.7118
4940.000000 82.777 19.3145
5000.000000 82.735 20.1704
5080.000000 82.810 20.6308
5150.000000 82.794 21.2388
5220.000000 82.843 21.6770
5300.000000 82.834 21.8923
5380.000000 82.851 22.7330
5450.000000 82.853 23.1977
5520.000000 82.826 23.7639
5600.000000 82.851 24.6222
5700.000000 82.886 25.8293
5800.000000 82.923 27.3137
5900.000000 83.055 29.2463
6000.000000 83.454 31.2425
