* Measurement data measured by REW V5.31.1
* Source: Microphone (6- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Apr 8, 2026 1:54:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L CIELO TIP 5 2037
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 86.227 22.2163
20.600000 86.252 21.4085
20.900000 86.268 20.6923
21.200001 86.283 19.9854
21.400000 86.292 19.5137
21.799999 86.309 18.5673
22.000000 86.317 18.0943
22.400000 86.330 17.1581
22.700001 86.338 16.4727
23.000000 86.344 15.8063
23.299999 86.349 15.1566
23.600000 86.352 14.5186
24.000000 86.356 13.6772
24.299999 86.357 13.0482
24.700001 86.356 12.2117
25.000000 86.353 11.5891
25.400000 86.347 10.7715
25.799999 86.339 9.9752
26.200001 86.331 9.2044
26.500000 86.325 8.6426
26.900000 86.318 7.9121
27.200001 86.313 7.3739
27.600000 86.306 6.6645
28.000000 86.296 5.9635
28.500000 86.280 5.1085
29.000000 86.259 4.2916
29.500000 86.237 3.5120
30.000000 86.215 2.7476
30.400000 86.198 2.1334
30.700001 86.184 1.6713
31.100000 86.164 1.0622
31.500000 86.141 0.4715
32.000000 86.112 -0.2351
32.500000 86.085 -0.9178
33.000000 86.058 -1.5926
33.500000 86.030 -2.2620
34.000000 86.001 -2.9189
34.500000 85.971 -3.5589
35.000000 85.938 -4.1802
35.500000 85.902 -4.7751
36.000000 85.863 -5.3345
36.500000 85.826 -5.8645
37.000000 85.791 -6.3917
37.500000 85.758 -6.9396
38.200001 85.708 -7.7324
38.700001 85.669 -8.2798
39.500000 85.604 -9.0709
40.000000 85.566 -9.5258
40.599998 85.521 -10.0631
41.200001 85.476 -10.6083
41.799999 85.428 -11.1526
42.500000 85.369 -11.7560
43.099998 85.320 -12.2377
43.700001 85.273 -12.7116
44.400002 85.216 -13.2748
45.000000 85.161 -13.7400
45.500000 85.114 -14.0927
46.200001 85.052 -14.5533
46.799999 85.003 -14.9606
47.500000 84.943 -15.4500
48.200001 84.880 -15.9044
48.700001 84.839 -16.2062
49.400002 84.785 -16.6338
50.000000 84.736 -17.0060
50.799999 84.668 -17.4581
51.500000 84.610 -17.8181
52.200001 84.555 -18.1937
53.000000 84.486 -18.6198
53.799999 84.417 -18.9940
54.500000 84.360 -19.3167
55.200001 84.301 -19.6501
56.000000 84.231 -20.0027
57.000000 84.151 -20.4379
58.000000 84.066 -20.8539
59.000000 83.985 -21.1601
60.000000 83.911 -21.5241
60.799999 83.839 -21.8306
61.500000 83.776 -22.0358
62.200001 83.720 -22.2091
63.000000 83.662 -22.4266
64.000000 83.587 -22.7382
65.000000 83.506 -23.0238
66.000000 83.428 -23.2827
67.000000 83.346 -23.5606
68.000000 83.273 -23.7848
69.000000 83.214 -24.0188
70.000000 83.141 -24.1960
71.000000 83.064 -24.3054
72.000000 82.987 -24.5658
73.000000 82.904 -24.8193
74.000000 82.840 -24.9203
75.000000 82.783 -25.0280
76.199997 82.689 -25.2040
77.500000 82.590 -25.4150
78.800003 82.518 -25.5777
80.000000 82.449 -25.6750
81.199997 82.361 -25.7699
82.500000 82.279 -25.8312
83.800003 82.216 -25.8865
85.000000 82.145 -25.9626
86.199997 82.069 -26.1704
87.500000 81.980 -26.1482
88.500000 81.931 -26.1230
90.000000 81.854 -26.2462
91.199997 81.783 -26.3350
92.500000 81.708 -26.2934
93.800003 81.643 -26.3131
95.000000 81.576 -26.4130
96.199997 81.499 -26.3671
97.500000 81.448 -26.3331
98.800003 81.379 -26.3521
100.000000 81.326 -26.3191
101.500000 81.248 -26.3276
103.000000 81.178 -26.2688
104.400002 81.113 -26.3046
106.000000 81.041 -26.2480
107.500000 80.976 -26.2666
109.000000 80.910 -26.1900
110.599998 80.844 -26.1024
112.000000 80.777 -26.0825
113.800003 80.715 -26.0412
115.000000 80.660 -25.9266
117.199997 80.569 -25.8158
118.000000 80.537 -25.7592
120.599998 80.457 -25.6430
122.000000 80.390 -25.6133
124.099998 80.338 -25.4815
125.000000 80.296 -25.3945
126.500000 80.250 -25.2660
128.000000 80.191 -25.2074
131.500000 80.089 -24.9774
132.000000 80.072 -24.9378
134.000000 80.006 -24.6739
136.000000 79.948 -24.6314
138.000000 79.891 -24.5571
140.000000 79.828 -24.2892
143.000000 79.751 -24.1752
145.000000 79.694 -23.9333
147.500000 79.612 -23.7687
150.000000 79.560 -23.7318
152.500000 79.506 -23.3844
155.000000 79.453 -23.2930
157.500000 79.381 -23.0419
160.000000 79.328 -22.8747
162.500000 79.278 -22.6569
165.000000 79.215 -22.4624
167.500000 79.171 -22.2128
170.000000 79.122 -22.0280
172.500000 79.074 -21.8597
175.000000 79.035 -21.6227
177.500000 78.955 -21.3649
180.000000 78.930 -21.0994
182.500000 78.897 -21.0340
185.000000 78.820 -20.8529
187.500000 78.796 -20.6783
190.000000 78.762 -20.3205
192.500000 78.712 -20.2191
195.000000 78.683 -20.0734
197.500000 78.645 -19.8416
200.000000 78.597 -19.6744
203.000000 78.563 -19.3722
206.000000 78.535 -19.2063
209.000000 78.489 -18.9554
212.000000 78.444 -18.7543
214.000000 78.410 -18.6321
218.000000 78.363 -18.2559
220.000000 78.346 -18.0502
224.000000 78.296 -17.7862
227.000000 78.262 -17.6298
230.000000 78.239 -17.4450
233.000000 78.184 -17.0635
236.000000 78.169 -16.8757
240.000000 78.124 -16.6534
243.000000 78.091 -16.3557
247.000000 78.057 -16.1024
250.000000 78.029 -15.8772
254.000000 77.997 -15.7296
258.000000 77.943 -15.4597
262.000000 77.900 -15.1144
265.000000 77.887 -14.8259
269.000000 77.849 -14.5330
272.000000 77.821 -14.2605
276.000000 77.813 -13.9541
280.000000 77.773 -13.8023
285.000000 77.735 -13.4585
290.000000 77.695 -13.1021
295.000000 77.662 -12.7249
300.000000 77.607 -12.4725
304.000000 77.580 -12.4521
307.000000 77.565 -12.1650
311.000000 77.559 -11.9677
315.000000 77.529 -11.5490
320.000000 77.492 -11.3826
325.000000 77.460 -11.1741
330.000000 77.450 -10.8686
335.000000 77.411 -10.5924
340.000000 77.384 -10.3608
345.000000 77.365 -9.9551
350.000000 77.345 -9.7584
355.000000 77.285 -9.4681
360.000000 77.277 -9.0780
365.000000 77.235 -8.9715
370.000000 77.226 -8.7080
375.000000 77.215 -8.2765
382.000000 77.139 -8.0734
387.000000 77.121 -7.6638
395.000000 77.091 -7.3212
400.000000 77.046 -6.9977
406.000000 77.030 -6.5653
412.000000 77.001 -6.2687
418.000000 76.979 -5.9552
425.000000 76.932 -5.8264
431.000000 76.900 -5.3234
437.000000 76.835 -5.1126
444.000000 76.851 -4.5330
450.000000 76.812 -4.2548
455.000000 76.801 -4.0152
462.000000 76.793 -3.4700
468.000000 76.734 -3.1657
475.000000 76.724 -2.9725
482.000000 76.675 -2.4718
487.000000 76.711 -2.2754
494.000000 76.653 -1.7728
500.000000 76.629 -1.3984
508.000000 76.609 -1.0267
515.000000 76.594 -0.5836
522.000000 76.548 -0.2617
530.000000 76.518 0.2237
538.000000 76.527 0.7274
545.000000 76.496 1.1206
552.000000 76.460 1.4745
560.000000 76.436 1.9399
570.000000 76.415 2.4880
580.000000 76.349 3.1132
590.000000 76.364 3.6695
600.000000 76.317 4.2947
608.000000 76.323 4.7741
615.000000 76.296 5.2828
622.000000 76.273 5.5925
630.000000 76.268 6.0649
640.000000 76.240 6.8046
650.000000 76.230 7.3747
660.000000 76.195 7.9473
670.000000 76.178 8.6077
680.000000 76.159 9.3084
690.000000 76.152 9.7738
700.000000 76.142 10.4740
710.000000 76.127 11.1171
720.000000 76.127 11.9054
730.000000 76.136 12.3873
740.000000 76.141 13.0620
750.000000 76.136 13.6387
762.000000 76.147 14.3951
775.000000 76.136 15.3777
788.000000 76.166 16.2605
800.000000 76.166 17.0892
812.000000 76.188 17.9742
825.000000 76.187 18.5487
838.000000 76.248 19.5145
850.000000 76.306 20.3080
862.000000 76.318 21.1373
875.000000 76.350 21.9042
885.000000 76.402 22.7658
900.000000 76.458 23.5309
912.000000 76.490 24.4086
925.000000 76.538 24.9660
938.000000 76.604 25.8948
950.000000 76.674 26.2914
962.000000 76.723 27.1088
975.000000 76.819 27.6581
988.000000 76.846 28.3057
1000.000000 76.927 30.1086
1015.000000 77.036 29.5871
1030.000000 77.142 30.2071
1044.000000 77.208 30.7871
1060.000000 77.283 31.3253
1075.000000 77.376 31.9818
1090.000000 77.507 32.3934
1106.000000 77.579 32.8752
1120.000000 77.668 33.2230
1138.000000 77.734 33.6388
1150.000000 77.819 33.9647
1172.000000 77.929 34.3480
1180.000000 77.977 34.5961
1206.000000 78.114 35.0910
1220.000000 78.150 35.5713
1241.000000 78.268 35.7713
1250.000000 78.318 35.9378
1265.000000 78.371 36.2672
1280.000000 78.443 36.5439
1315.000000 78.562 37.0782
1320.000000 78.595 37.0949
1340.000000 78.639 37.6843
1360.000000 78.747 37.8554
1380.000000 78.771 38.2375
1400.000000 78.868 38.5966
1430.000000 78.970 39.1540
1450.000000 79.000 39.4841
1475.000000 79.080 39.8764
1500.000000 79.179 40.5931
1525.000000 79.266 40.9170
1550.000000 79.341 41.4269
1575.000000 79.422 41.8744
1600.000000 79.489 42.5466
1625.000000 79.598 42.9767
1650.000000 79.653 43.5126
1675.000000 79.757 44.0806
1700.000000 79.870 44.5424
1725.000000 79.953 45.1292
1750.000000 80.056 45.5761
1775.000000 80.148 46.0417
1800.000000 80.241 46.5067
1825.000000 80.363 47.0403
1850.000000 80.473 47.5062
1875.000000 80.581 47.8815
1900.000000 80.720 48.3788
1925.000000 80.830 48.7663
1950.000000 80.970 49.3148
1975.000000 81.085 49.7534
2000.000000 81.192 49.0979
2030.000000 81.379 50.5114
2060.000000 81.559 50.8922
2090.000000 81.715 51.1883
2120.000000 81.916 51.5192
2140.000000 82.042 51.6613
2180.000000 82.285 51.9595
2200.000000 82.407 52.0439
2240.000000 82.684 52.0501
2270.000000 82.871 51.9019
2300.000000 83.069 51.9462
2330.000000 83.276 51.6369
2360.000000 83.461 51.3668
2400.000000 83.719 50.8376
2430.000000 83.895 50.3390
2470.000000 84.137 49.7005
2500.000000 84.316 48.9466
2540.000000 84.505 48.0517
2580.000000 84.712 46.9329
2620.000000 84.865 45.8730
2650.000000 84.985 45.0005
2690.000000 85.105 43.8474
2720.000000 85.198 42.9804
2760.000000 85.294 41.8420
2800.000000 85.396 40.7282
2850.000000 85.491 39.5527
2900.000000 85.601 38.1555
2950.000000 85.694 36.8515
3000.000000 85.807 35.8311
3040.000000 85.833 34.2945
3070.000000 85.873 33.4350
3110.000000 85.920 32.2099
3150.000000 85.954 30.9350
3200.000000 85.943 29.2768
3250.000000 85.932 27.6654
3300.000000 85.883 26.1100
3350.000000 85.803 24.6375
3400.000000 85.707 23.4187
3450.000000 85.607 22.1653
3500.000000 85.491 21.0828
3550.000000 85.365 20.1014
3600.000000 85.241 19.2429
3650.000000 85.100 18.5532
3700.000000 84.958 17.8236
3750.000000 84.804 17.3575
3820.000000 84.590 16.8328
3870.000000 84.446 16.7926
3950.000000 84.224 16.8256
4000.000000 84.022 16.8398
4060.000000 83.971 17.2706
4120.000000 83.864 17.7453
4180.000000 83.773 18.2438
4250.000000 83.722 18.7199
4310.000000 83.676 19.2045
4370.000000 83.691 19.5385
4440.000000 83.700 19.8520
4500.000000 83.689 20.0005
4550.000000 83.700 20.2739
4620.000000 83.722 20.3762
4680.000000 83.717 20.3921
4750.000000 83.779 20.3918
4820.000000 83.771 20.1451
4870.000000 83.775 20.0821
4940.000000 83.759 19.7899
5000.000000 83.713 19.8339
5080.000000 83.727 19.2704
5150.000000 83.690 18.8878
5220.000000 83.654 18.5619
5300.000000 83.575 18.2428
5380.000000 83.451 18.0182
5450.000000 83.338 17.9928
5520.000000 83.245 18.1073
5600.000000 83.123 18.6918
5700.000000 82.996 19.6473
5800.000000 82.939 20.8626
5900.000000 82.978 22.2972
