* Measurement data measured by REW V5.31.1
* Source: Microphone (6- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Apr 21, 2026 12:48:54 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R CIELO TW51 2079
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 89.062 17.0786
20.600000 89.080 16.5119
20.900000 89.091 15.9669
21.200001 89.099 15.4040
21.400000 89.104 15.0231
21.799999 89.117 14.2524
22.000000 89.124 13.8651
22.400000 89.139 13.0906
22.700001 89.146 12.5177
23.000000 89.148 11.9651
23.299999 89.145 11.4454
23.600000 89.138 10.9623
24.000000 89.126 10.3630
24.299999 89.119 9.9216
24.700001 89.113 9.3043
25.000000 89.110 8.8037
25.400000 89.102 8.0944
25.799999 89.087 7.3824
26.200001 89.067 6.7201
26.500000 89.054 6.2702
26.900000 89.041 5.7195
27.200001 89.036 5.3179
27.600000 89.035 4.7631
28.000000 89.031 4.1711
28.500000 89.016 3.4151
29.000000 88.988 2.7219
29.500000 88.959 2.1237
30.000000 88.936 1.5605
30.400000 88.921 1.0801
30.700001 88.907 0.6961
31.100000 88.883 0.1803
31.500000 88.856 -0.3054
32.000000 88.828 -0.8636
32.500000 88.811 -1.4356
33.000000 88.789 -2.0657
33.500000 88.749 -2.6681
34.000000 88.703 -3.1196
34.500000 88.674 -3.4677
35.000000 88.667 -3.9122
35.500000 88.647 -4.5434
36.000000 88.589 -5.1636
36.500000 88.515 -5.5209
37.000000 88.476 -5.6727
37.500000 88.484 -5.9822
38.200001 88.478 -6.9994
38.700001 88.404 -7.7308
39.500000 88.271 -7.9947
40.000000 88.263 -7.9751
40.599998 88.287 -8.4523
41.200001 88.243 -9.3334
41.799999 88.135 -9.9549
42.500000 88.046 -10.1572
43.099998 88.028 -10.3726
43.700001 88.004 -10.7519
44.400002 87.958 -11.1323
45.000000 87.934 -11.4884
45.500000 87.909 -11.9623
46.200001 87.824 -12.6301
46.799999 87.730 -12.7870
47.500000 87.678 -12.6464
48.200001 87.672 -12.8081
48.700001 87.653 -13.1721
49.400002 87.593 -13.7458
50.000000 87.531 -14.1688
50.799999 87.436 -14.5781
51.500000 87.347 -14.6925
52.200001 87.278 -14.6945
53.000000 87.226 -14.8402
53.799999 87.191 -15.1256
54.500000 87.174 -15.4167
55.200001 87.151 -15.7445
56.000000 87.091 -16.0794
57.000000 86.982 -16.3273
58.000000 86.904 -16.5443
59.000000 86.855 -16.9359
60.000000 86.771 -17.2296
60.799999 86.690 -17.2544
61.500000 86.630 -17.2596
62.200001 86.582 -17.2978
63.000000 86.543 -17.3250
64.000000 86.494 -17.4501
65.000000 86.399 -17.6130
66.000000 86.339 -17.4984
67.000000 86.323 -17.4172
68.000000 86.251 -17.2859
69.000000 86.164 -17.3053
70.000000 86.130 -17.5506
71.000000 86.133 -17.8823
72.000000 86.061 -17.8579
73.000000 86.039 -18.1256
74.000000 85.971 -19.4217
75.000000 85.883 -19.6550
76.199997 85.894 -19.5513
77.500000 85.820 -19.3788
78.800003 85.760 -19.5157
80.000000 85.664 -19.4359
81.199997 85.596 -19.6617
82.500000 85.526 -19.8182
83.800003 85.455 -19.6971
85.000000 85.407 -19.6546
86.199997 85.333 -19.7417
87.500000 85.266 -19.8134
88.500000 85.233 -19.8708
90.000000 85.151 -19.8436
91.199997 85.120 -19.8851
92.500000 85.059 -19.7850
93.800003 84.993 -19.7984
95.000000 84.924 -19.8664
96.199997 84.886 -20.0270
97.500000 84.825 -19.5507
98.800003 84.771 -19.8073
100.000000 84.725 -19.7570
101.500000 84.681 -19.6832
103.000000 84.601 -19.5069
104.400002 84.572 -19.6523
106.000000 84.510 -19.3762
107.500000 84.456 -19.4561
109.000000 84.399 -19.2779
110.599998 84.365 -19.2703
112.000000 84.294 -19.1718
113.800003 84.272 -19.0450
115.000000 84.204 -19.0121
117.199997 84.158 -18.8835
118.000000 84.140 -18.8507
120.599998 84.051 -18.5672
122.000000 84.028 -18.5011
124.099998 83.936 -18.4403
125.000000 83.916 -18.2647
126.500000 83.905 -18.2115
128.000000 83.855 -18.2552
131.500000 83.797 -17.8296
132.000000 83.790 -17.8851
134.000000 83.683 -17.8175
136.000000 83.683 -17.2988
138.000000 83.651 -17.7643
140.000000 83.555 -17.0262
143.000000 83.563 -16.9808
145.000000 83.481 -17.1794
147.500000 83.382 -16.3461
150.000000 83.427 -16.3954
152.500000 83.369 -16.6196
155.000000 83.269 -16.3130
157.500000 83.240 -15.7933
160.000000 83.248 -15.6166
162.500000 83.225 -15.6526
165.000000 83.185 -15.7028
167.500000 83.110 -15.5633
170.000000 83.047 -15.2399
172.500000 83.014 -14.9278
175.000000 82.959 -14.7453
177.500000 82.916 -14.6152
180.000000 82.889 -14.3234
182.500000 82.860 -14.0266
185.000000 82.855 -13.8105
187.500000 82.785 -13.8982
190.000000 82.772 -13.7596
192.500000 82.746 -13.7668
195.000000 82.737 -13.6685
197.500000 82.753 -13.5114
200.000000 82.745 -13.0947
203.000000 82.710 -12.6719
206.000000 82.639 -12.4920
209.000000 82.616 -12.5547
212.000000 82.627 -12.4017
214.000000 82.603 -12.0107
218.000000 82.513 -11.9243
220.000000 82.517 -12.0246
224.000000 82.487 -11.3859
227.000000 82.452 -11.5207
230.000000 82.490 -11.1273
233.000000 82.404 -11.0349
236.000000 82.428 -10.7212
240.000000 82.353 -10.7708
243.000000 82.387 -10.1048
247.000000 82.351 -10.3734
250.000000 82.315 -9.9762
254.000000 82.286 -9.8556
258.000000 82.250 -9.5045
262.000000 82.234 -9.3359
265.000000 82.217 -9.1881
269.000000 82.177 -8.9252
272.000000 82.188 -8.8344
276.000000 82.137 -8.4028
280.000000 82.121 -8.3863
285.000000 82.114 -7.9742
290.000000 82.072 -7.6489
295.000000 82.032 -7.4378
300.000000 82.016 -7.2694
304.000000 82.005 -6.5835
307.000000 82.022 -6.6472
311.000000 81.976 -6.4860
315.000000 81.982 -6.0055
320.000000 81.938 -5.4461
325.000000 81.907 -5.6693
330.000000 81.964 -5.4536
335.000000 81.999 -4.3175
340.000000 81.815 -5.0109
345.000000 81.972 -5.4943
350.000000 81.777 -4.0007
355.000000 81.865 -4.8702
360.000000 81.859 -4.4347
365.000000 81.820 -3.9550
370.000000 81.834 -3.9632
375.000000 81.781 -3.9751
382.000000 81.773 -3.5913
387.000000 81.745 -3.4591
395.000000 81.741 -3.2483
400.000000 81.662 -2.9747
406.000000 81.632 -2.3283
412.000000 81.633 -2.1560
418.000000 81.652 -1.7686
425.000000 81.613 -2.0943
431.000000 81.545 -1.4786
437.000000 81.557 -1.2599
444.000000 81.497 -0.8944
450.000000 81.496 -0.6628
455.000000 81.554 -0.2637
462.000000 81.490 -0.0426
468.000000 81.449 0.6179
475.000000 81.470 0.9111
482.000000 81.422 0.9354
487.000000 81.425 1.1354
494.000000 81.385 1.3882
500.000000 81.397 1.6390
508.000000 81.378 2.1121
515.000000 81.352 2.3034
522.000000 81.350 2.6328
530.000000 81.323 3.0188
538.000000 81.295 3.2831
545.000000 81.271 3.6480
552.000000 81.286 4.0633
560.000000 81.261 4.4086
570.000000 81.245 4.7985
580.000000 81.211 5.2803
590.000000 81.185 5.7819
600.000000 81.181 6.3480
608.000000 81.155 6.6843
615.000000 81.138 7.0152
622.000000 81.137 7.3951
630.000000 81.125 7.7663
640.000000 81.112 8.3108
650.000000 81.093 8.8334
660.000000 81.081 9.2921
670.000000 81.080 9.8107
680.000000 81.079 10.4043
690.000000 81.063 10.7993
700.000000 81.069 11.4186
710.000000 81.093 11.9449
720.000000 81.062 12.5801
730.000000 81.062 12.9765
740.000000 81.065 13.6797
750.000000 81.062 14.1218
762.000000 81.098 14.8241
775.000000 81.091 15.6055
788.000000 81.102 16.1253
800.000000 81.106 16.8325
812.000000 81.133 17.5210
825.000000 81.177 18.3944
838.000000 81.213 19.0813
850.000000 81.229 19.7687
862.000000 81.290 20.3491
875.000000 81.325 21.0595
885.000000 81.362 21.5558
900.000000 81.425 22.3591
912.000000 81.477 22.8983
925.000000 81.546 23.5448
938.000000 81.595 24.1344
950.000000 81.663 24.6878
962.000000 81.737 25.2429
975.000000 81.802 25.7628
988.000000 81.871 26.1968
1000.000000 82.022 26.5294
1015.000000 82.038 27.1524
1030.000000 82.120 27.6838
1044.000000 82.196 28.0076
1060.000000 82.302 28.3473
1075.000000 82.374 28.8272
1090.000000 82.467 29.0007
1106.000000 82.575 29.3928
1120.000000 82.631 29.5735
1138.000000 82.720 29.8517
1150.000000 82.791 30.0625
1172.000000 82.899 30.2494
1180.000000 82.942 30.3773
1206.000000 83.062 30.5781
1220.000000 83.106 30.7363
1241.000000 83.202 30.7935
1250.000000 83.218 30.9455
1265.000000 83.283 31.0795
1280.000000 83.345 31.2066
1315.000000 83.446 31.4456
1320.000000 83.470 31.4187
1340.000000 83.524 31.5136
1360.000000 83.583 31.7128
1380.000000 83.623 31.8910
1400.000000 83.678 32.0085
1430.000000 83.755 32.2886
1450.000000 83.788 32.4650
1475.000000 83.851 32.6887
1500.000000 83.906 32.9271
1525.000000 83.970 33.2582
1550.000000 84.023 33.5748
1575.000000 84.081 33.8088
1600.000000 84.142 34.2091
1625.000000 84.195 34.4334
1650.000000 84.265 34.7799
1675.000000 84.326 35.0770
1700.000000 84.383 35.4385
1725.000000 84.445 35.8082
1750.000000 84.521 36.1583
1775.000000 84.593 36.4632
1800.000000 84.666 36.8825
1825.000000 84.741 37.1337
1850.000000 84.812 37.5442
1875.000000 84.907 37.7407
1900.000000 84.979 38.1185
1925.000000 85.073 38.3950
1950.000000 85.166 38.7125
1975.000000 85.267 38.9895
2000.000000 85.374 39.5083
2030.000000 85.473 39.6442
2060.000000 85.609 39.9641
2090.000000 85.731 40.1554
2120.000000 85.863 40.3764
2140.000000 85.958 40.4852
2180.000000 86.154 40.6520
2200.000000 86.251 40.7260
2240.000000 86.459 40.7837
2270.000000 86.608 40.7334
2300.000000 86.766 40.5354
2330.000000 86.916 40.4403
2360.000000 87.073 40.2116
2400.000000 87.275 39.7671
2430.000000 87.422 39.3948
2470.000000 87.611 38.8270
2500.000000 87.746 38.2647
2540.000000 87.928 37.5153
2580.000000 88.093 36.6905
2620.000000 88.252 35.7924
2650.000000 88.357 34.9558
2690.000000 88.498 33.9175
2720.000000 88.584 33.0809
2760.000000 88.704 31.8435
2800.000000 88.802 30.5847
2850.000000 88.894 29.0025
2900.000000 88.959 27.2504
2950.000000 88.999 25.5942
3000.000000 88.992 24.0150
3040.000000 88.986 22.5366
3070.000000 88.963 21.5402
3110.000000 88.922 20.3112
3150.000000 88.857 19.1199
3200.000000 88.769 17.7915
3250.000000 88.655 16.5375
3300.000000 88.532 15.4919
3350.000000 88.400 14.5482
3400.000000 88.278 13.7078
3450.000000 88.151 13.0207
3500.000000 88.034 12.4187
3550.000000 87.917 11.8407
3600.000000 87.781 11.2839
3650.000000 87.641 10.7937
3700.000000 87.512 10.3900
3750.000000 87.365 10.0629
3820.000000 87.163 9.8981
3870.000000 87.028 9.9208
3950.000000 86.835 10.0390
4000.000000 86.706 10.5690
4060.000000 86.596 10.7132
4120.000000 86.494 11.1238
4180.000000 86.432 11.5548
4250.000000 86.368 11.9788
4310.000000 86.315 12.3414
4370.000000 86.302 12.6489
4440.000000 86.282 12.6877
4500.000000 86.253 12.8030
4550.000000 86.246 12.9010
4620.000000 86.208 12.8810
4680.000000 86.180 12.7351
4750.000000 86.120 12.6731
4820.000000 86.052 12.4811
4870.000000 85.975 12.5804
4940.000000 85.880 12.6691
5000.000000 85.849 12.6229
5080.000000 85.744 12.9912
5150.000000 85.658 12.9147
5220.000000 85.573 13.0602
5300.000000 85.460 13.1673
5380.000000 85.306 13.4094
5450.000000 85.173 13.7735
5520.000000 85.032 14.4143
5600.000000 84.852 15.2820
5700.000000 84.674 16.6782
5800.000000 84.554 18.7824
5900.000000 84.574 21.6914
6000.000000 84.873 24.4172
