* Measurement data measured by REW V5.31.1
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Feb 5, 2025 11:38:16 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R CK2V 548
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 88.136 -175.5799
20.600000 88.133 -176.1671
20.900000 88.127 -176.7076
21.200001 88.121 -177.2607
21.400000 88.118 -177.6358
21.799999 88.114 -178.3900
22.000000 88.112 -178.7613
22.400000 88.107 -179.4765
22.700001 88.104 -179.9835
23.000000 88.099 179.5328
23.299999 88.094 179.0646
23.600000 88.087 178.6047
24.000000 88.076 177.9947
24.299999 88.066 177.5348
24.700001 88.053 176.9157
25.000000 88.044 176.4471
25.400000 88.032 175.8212
25.799999 88.021 175.2064
26.200001 88.010 174.6189
26.500000 88.002 174.2010
26.900000 87.993 173.6686
27.200001 87.986 173.2763
27.600000 87.976 172.7460
28.000000 87.962 172.1997
28.500000 87.935 171.5124
29.000000 87.901 170.8564
29.500000 87.868 170.2404
30.000000 87.840 169.6337
30.400000 87.821 169.1354
30.700001 87.807 168.7545
31.100000 87.786 168.2488
31.500000 87.766 167.7581
32.000000 87.740 167.1725
32.500000 87.716 166.6091
33.000000 87.691 166.0588
33.500000 87.663 165.5204
34.000000 87.634 164.9903
34.500000 87.603 164.4588
35.000000 87.571 163.9220
35.500000 87.538 163.3882
36.000000 87.506 162.8672
36.500000 87.476 162.3589
37.000000 87.445 161.8594
37.500000 87.412 161.3722
38.200001 87.362 160.7214
38.700001 87.327 160.2672
39.500000 87.275 159.5092
40.000000 87.241 159.0210
40.599998 87.196 158.4628
41.200001 87.151 157.9607
41.799999 87.109 157.4876
42.500000 87.059 156.9144
43.099998 87.012 156.3979
43.700001 86.963 155.8840
44.400002 86.907 155.3011
45.000000 86.863 154.8158
45.500000 86.825 154.4305
46.200001 86.773 153.9207
46.799999 86.728 153.4796
47.500000 86.669 152.9397
48.200001 86.602 152.4276
48.700001 86.558 152.0969
49.400002 86.505 151.6315
50.000000 86.461 151.1922
50.799999 86.391 150.6108
51.500000 86.327 150.1698
52.200001 86.270 149.7464
53.000000 86.206 149.2239
53.799999 86.135 148.7167
54.500000 86.075 148.3163
55.200001 86.016 147.9113
56.000000 85.941 147.4363
57.000000 85.843 146.9091
58.000000 85.759 146.3459
59.000000 85.665 145.7299
60.000000 85.565 145.2625
60.799999 85.493 144.9199
61.500000 85.431 144.5834
62.200001 85.366 144.2299
63.000000 85.291 143.8338
64.000000 85.198 143.3901
65.000000 85.106 142.9910
66.000000 85.009 142.5928
67.000000 84.910 142.1841
68.000000 84.813 141.7775
69.000000 84.715 141.4395
70.000000 84.619 141.1266
71.000000 84.522 140.7725
72.000000 84.428 140.4181
73.000000 84.334 140.0928
74.000000 84.238 139.8052
75.000000 84.142 139.4948
76.199997 84.024 139.1927
77.500000 83.896 138.9071
78.800003 83.750 138.5794
80.000000 83.623 138.2928
81.199997 83.546 137.9720
82.500000 83.421 137.5952
83.800003 83.300 137.6898
85.000000 83.172 137.5044
86.199997 83.029 137.1400
87.500000 82.905 136.9629
88.500000 82.837 136.7852
90.000000 82.708 136.8160
91.199997 82.585 136.6863
92.500000 82.437 136.7261
93.800003 82.296 136.5045
95.000000 82.233 136.3786
96.199997 82.104 136.2922
97.500000 81.980 136.7379
98.800003 81.841 136.5519
100.000000 81.758 136.4176
101.500000 81.644 136.3195
103.000000 81.512 136.6338
104.400002 81.348 136.6675
106.000000 81.241 136.7889
107.500000 81.114 136.8980
109.000000 80.963 137.2098
110.599998 80.873 137.1179
112.000000 80.723 137.6983
113.800003 80.550 137.4141
115.000000 80.501 137.5898
117.199997 80.291 138.6796
118.000000 80.191 138.2666
120.599998 80.110 139.2877
122.000000 79.917 139.1932
124.099998 79.838 139.7096
125.000000 79.763 140.2415
126.500000 79.643 139.9505
128.000000 79.587 140.4033
131.500000 79.351 141.3887
132.000000 79.327 141.5532
134.000000 79.174 142.2629
136.000000 79.092 142.6241
138.000000 78.984 143.2718
140.000000 78.877 143.8367
143.000000 78.732 144.6238
145.000000 78.638 145.2058
147.500000 78.531 145.9922
150.000000 78.434 146.9055
152.500000 78.341 147.6153
155.000000 78.265 148.6474
157.500000 78.163 149.4110
160.000000 78.088 150.0380
162.500000 78.083 150.9190
165.000000 77.943 151.7513
167.500000 78.007 152.4873
170.000000 77.846 152.8495
172.500000 77.803 154.1187
175.000000 77.803 154.8027
177.500000 77.792 155.3802
180.000000 77.787 155.9776
182.500000 77.747 156.7271
185.000000 77.720 157.3352
187.500000 77.706 157.9742
190.000000 77.697 158.7108
192.500000 77.677 159.3071
195.000000 77.662 159.8389
197.500000 77.644 160.5091
200.000000 77.645 161.1361
203.000000 77.626 161.5100
206.000000 77.632 162.0522
209.000000 77.643 162.7129
212.000000 77.650 163.4062
214.000000 77.658 163.9318
218.000000 77.694 164.4703
220.000000 77.666 164.6762
224.000000 77.709 165.3062
227.000000 77.713 165.8763
230.000000 77.713 166.4097
233.000000 77.761 166.9311
236.000000 77.786 167.1565
240.000000 77.798 167.6026
243.000000 77.791 167.8739
247.000000 77.835 168.3300
250.000000 77.873 168.6890
254.000000 77.857 169.2657
258.000000 77.907 169.3875
262.000000 77.929 170.0145
265.000000 77.934 170.2959
269.000000 77.956 170.4227
272.000000 78.011 170.7326
276.000000 77.994 171.1433
280.000000 78.007 171.2797
285.000000 78.073 171.5519
290.000000 78.061 172.1494
295.000000 78.135 172.1944
300.000000 78.115 172.4016
304.000000 78.114 172.5447
307.000000 78.158 172.8013
311.000000 78.182 172.9631
315.000000 78.175 173.1832
320.000000 78.185 173.3912
325.000000 78.206 173.6189
330.000000 78.231 173.8380
335.000000 78.226 173.9818
340.000000 78.258 174.0307
345.000000 78.252 174.2116
350.000000 78.272 174.5276
355.000000 78.285 174.7772
360.000000 78.277 174.7923
365.000000 78.295 174.9260
370.000000 78.315 174.8935
375.000000 78.297 175.2368
382.000000 78.321 175.1699
387.000000 78.358 175.4676
395.000000 78.337 175.5235
400.000000 78.346 175.8676
406.000000 78.372 175.6080
412.000000 78.364 175.6630
418.000000 78.356 176.0281
425.000000 78.352 176.2251
431.000000 78.332 176.2826
437.000000 78.348 176.3506
444.000000 78.343 176.6051
450.000000 78.313 176.7902
455.000000 78.333 176.5945
462.000000 78.334 176.7921
468.000000 78.311 176.9559
475.000000 78.293 177.2473
482.000000 78.314 177.1978
487.000000 78.302 177.3781
494.000000 78.271 177.4279
500.000000 78.266 177.5889
508.000000 78.252 177.8882
515.000000 78.240 177.8898
522.000000 78.215 178.1076
530.000000 78.215 178.2216
538.000000 78.183 178.4514
545.000000 78.160 178.6266
552.000000 78.145 178.9057
560.000000 78.134 178.8830
570.000000 78.105 179.3311
580.000000 78.079 179.6147
590.000000 78.042 179.9943
600.000000 78.048 -179.8515
608.000000 78.031 -179.5089
615.000000 78.007 -179.2295
622.000000 77.988 -179.0813
630.000000 77.966 -178.7576
640.000000 77.948 -178.5260
650.000000 77.948 -178.0385
660.000000 77.929 -177.7090
670.000000 77.912 -177.3459
680.000000 77.871 -176.8622
690.000000 77.894 -176.5115
700.000000 77.851 -176.2833
710.000000 77.859 -175.7305
720.000000 77.849 -175.4517
730.000000 77.839 -174.8656
740.000000 77.854 -174.4112
750.000000 77.862 -174.1705
762.000000 77.829 -173.4837
775.000000 77.863 -173.0352
788.000000 77.880 -172.4891
800.000000 77.884 -171.8497
812.000000 77.884 -171.3802
825.000000 77.944 -170.8225
838.000000 77.951 -170.2994
850.000000 77.970 -169.8185
862.000000 77.992 -169.2645
875.000000 78.025 -168.9323
885.000000 78.065 -168.6284
900.000000 78.097 -168.0981
912.000000 78.122 -167.5821
925.000000 78.159 -167.0883
938.000000 78.182 -166.8492
950.000000 78.219 -166.2958
962.000000 78.281 -166.1024
975.000000 78.308 -165.4755
988.000000 78.357 -165.0004
1000.000000 78.422 -164.2534
1015.000000 78.459 -164.2535
1030.000000 78.504 -163.8579
1044.000000 78.582 -163.5012
1060.000000 78.639 -163.0660
1075.000000 78.704 -162.8591
1090.000000 78.782 -162.5324
1106.000000 78.839 -162.2159
1120.000000 78.899 -162.0243
1138.000000 78.993 -161.8008
1150.000000 79.032 -161.6281
1172.000000 79.128 -161.4607
1180.000000 79.145 -161.2742
1206.000000 79.247 -161.2787
1220.000000 79.301 -161.0011
1241.000000 79.385 -160.8885
1250.000000 79.409 -160.7850
1265.000000 79.449 -160.8034
1280.000000 79.490 -160.7083
1315.000000 79.583 -160.5512
1320.000000 79.577 -160.5211
1340.000000 79.640 -160.3359
1360.000000 79.693 -160.2358
1380.000000 79.747 -160.2074
1400.000000 79.804 -160.0112
1430.000000 79.833 -159.8496
1450.000000 79.894 -159.6713
1475.000000 79.956 -159.3962
1500.000000 79.999 -159.2894
1525.000000 80.067 -158.9651
1550.000000 80.124 -158.8039
1575.000000 80.169 -158.5656
1600.000000 80.243 -158.2841
1625.000000 80.302 -158.1866
1650.000000 80.374 -157.8055
1675.000000 80.447 -157.6080
1700.000000 80.509 -157.3664
1725.000000 80.597 -157.1248
1750.000000 80.660 -156.8944
1775.000000 80.751 -156.7059
1800.000000 80.826 -156.6019
1825.000000 80.920 -156.2960
1850.000000 81.012 -156.1094
1875.000000 81.111 -155.9464
1900.000000 81.198 -155.8410
1925.000000 81.307 -155.7690
1950.000000 81.403 -155.5255
1975.000000 81.510 -155.5400
2000.000000 81.698 -155.3099
2030.000000 81.762 -155.4620
2060.000000 81.921 -155.5965
2090.000000 82.028 -155.6431
2120.000000 82.183 -155.7891
2140.000000 82.293 -155.8196
2180.000000 82.470 -156.1548
2200.000000 82.584 -156.4746
2240.000000 82.769 -156.9139
2270.000000 82.916 -157.2434
2300.000000 83.068 -157.8086
2330.000000 83.221 -158.4512
2360.000000 83.363 -158.9906
2400.000000 83.536 -160.0298
2430.000000 83.674 -160.7722
2470.000000 83.853 -162.0311
2500.000000 83.983 -162.8556
2540.000000 84.104 -164.3468
2580.000000 84.240 -165.8625
2620.000000 84.345 -167.3928
2650.000000 84.409 -168.6068
2690.000000 84.484 -170.3377
2720.000000 84.515 -171.5786
2760.000000 84.546 -173.2647
2800.000000 84.546 -175.0339
2850.000000 84.519 -177.2923
2900.000000 84.449 -179.2216
2950.000000 84.366 178.8563
3000.000000 84.278 176.9813
3040.000000 84.116 175.7096
3070.000000 84.019 174.7317
3110.000000 83.901 173.5996
3150.000000 83.736 172.6424
3200.000000 83.564 171.4019
3250.000000 83.372 170.5430
3300.000000 83.171 169.7396
3350.000000 82.970 169.1083
3400.000000 82.808 168.7236
3450.000000 82.634 168.3032
3500.000000 82.455 167.9328
3550.000000 82.286 167.8470
3600.000000 82.148 167.9237
3650.000000 82.002 168.0098
3700.000000 81.852 168.2547
3750.000000 81.736 168.4149
3820.000000 81.621 168.7096
3870.000000 81.520 168.9611
3950.000000 81.437 169.5118
4000.000000 81.355 170.0404
4060.000000 81.335 170.4740
4120.000000 81.301 170.8181
4180.000000 81.305 171.1459
4250.000000 81.289 171.8307
4310.000000 81.324 172.0533
4370.000000 81.383 172.4458
4440.000000 81.453 172.6647
4500.000000 81.523 173.0194
4550.000000 81.585 173.2526
4620.000000 81.727 173.2472
4680.000000 81.857 173.1350
4750.000000 82.051 172.8037
4820.000000 82.205 172.1273
4870.000000 82.365 171.3462
4940.000000 82.566 170.1747
5000.000000 82.720 169.0164
5080.000000 82.829 166.2616
5150.000000 82.898 163.8978
5220.000000 82.865 160.8812
5300.000000 82.684 157.7429
5380.000000 82.331 154.4243
5450.000000 81.936 152.4709
5520.000000 81.447 151.3569
5600.000000 80.913 150.9283
5700.000000 80.326 151.7370
5800.000000 79.898 153.3124
5900.000000 79.553 154.8350
6000.000000 79.337 156.7020
6080.000000 79.186 157.7431
6150.000000 79.026 158.7660
6220.000000 78.951 159.6992
6300.000000 78.801 160.9607
6400.000000 78.626 162.2114
