* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 12, 2025 4:01:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R cp500 985
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 128.633 60.1828
20.600000 128.658 58.7873
20.900000 128.632 57.6920
21.200001 128.591 56.8986
21.400000 128.574 56.5102
21.799999 128.579 55.8886
22.000000 128.604 55.5552
22.400000 128.678 54.6733
22.700001 128.734 53.8310
23.000000 128.779 52.9385
23.299999 128.819 52.1083
23.600000 128.869 51.3747
24.000000 128.967 50.4837
24.299999 129.062 49.7590
24.700001 129.190 48.6008
25.000000 129.258 47.6186
25.400000 129.288 46.3359
25.799999 129.254 45.3385
26.200001 129.195 44.7477
26.500000 129.161 44.5031
26.900000 129.149 44.2490
27.200001 129.165 43.9713
27.600000 129.207 43.3753
28.000000 129.256 42.5055
28.500000 129.306 41.1129
29.000000 129.328 39.5776
29.500000 129.319 38.2191
30.000000 129.320 37.3438
30.400000 129.369 36.9502
30.700001 129.442 36.6838
31.100000 129.560 36.1611
31.500000 129.653 35.4203
32.000000 129.681 34.4944
32.500000 129.632 33.9874
33.000000 129.596 33.7944
33.500000 129.609 33.2950
34.000000 129.614 32.1503
34.500000 129.565 30.7820
35.000000 129.508 29.7608
35.500000 129.519 29.1059
36.000000 129.590 28.3751
36.500000 129.634 27.4482
37.000000 129.598 26.7280
37.500000 129.533 26.5259
38.200001 129.533 26.5220
38.700001 129.595 26.0430
39.500000 129.668 24.4315
40.000000 129.676 23.3387
40.599998 129.658 22.2780
41.200001 129.630 21.7436
41.799999 129.643 21.7128
42.500000 129.728 21.6826
43.099998 129.780 21.3081
43.700001 129.761 20.8669
44.400002 129.681 20.4813
45.000000 129.598 20.1644
45.500000 129.546 19.8694
46.200001 129.550 19.1464
46.799999 129.598 17.8564
47.500000 129.578 16.0720
48.200001 129.514 15.2378
48.700001 129.528 15.1974
49.400002 129.603 15.0257
50.000000 129.607 14.7694
50.799999 129.575 14.7115
51.500000 129.590 14.0265
52.200001 129.538 12.5637
53.000000 129.454 11.6187
53.799999 129.562 11.4446
54.500000 129.650 10.9255
55.200001 129.552 10.6716
56.000000 129.395 11.0690
57.000000 129.393 10.3628
58.000000 129.414 8.9705
59.000000 129.471 9.0418
60.000000 129.497 8.6011
60.799999 129.401 7.5817
61.500000 129.365 6.8294
62.200001 129.413 6.1297
63.000000 129.402 5.4969
64.000000 129.229 5.7175
65.000000 129.144 5.6432
66.000000 129.106 4.4366
67.000000 129.043 3.7854
68.000000 129.023 3.7298
69.000000 129.047 3.1524
70.000000 129.054 2.4427
71.000000 129.115 2.1946
72.000000 129.149 1.7125
73.000000 129.119 1.4613
74.000000 129.104 1.0169
75.000000 129.013 0.3493
76.199997 128.919 -0.4159
77.500000 128.871 -1.4134
78.800003 128.928 -2.4303
80.000000 128.934 -3.2708
81.199997 128.946 -3.6420
82.500000 128.914 -4.1561
83.800003 128.931 -4.5265
85.000000 128.926 -4.7252
86.199997 128.920 -4.5362
87.500000 128.847 -4.4643
88.500000 128.814 -4.6355
90.000000 128.691 -5.1814
91.199997 128.659 -5.5806
92.500000 128.564 -6.1587
93.800003 128.552 -6.9109
95.000000 128.587 -7.3237
96.199997 128.615 -7.1143
97.500000 128.539 -6.6632
98.800003 128.401 -6.8787
100.000000 128.365 -7.5368
101.500000 128.386 -8.2096
103.000000 128.331 -7.7307
104.400002 128.156 -8.5064
106.000000 128.162 -9.1544
107.500000 128.224 -9.2655
109.000000 128.063 -8.9992
110.599998 128.107 -9.8275
112.000000 128.083 -9.3108
113.800003 127.914 -10.0442
115.000000 127.923 -10.1956
117.199997 127.761 -10.4409
118.000000 127.747 -10.9214
120.599998 127.736 -10.9941
122.000000 127.676 -11.2446
124.099998 127.666 -11.1264
125.000000 127.640 -11.0864
126.500000 127.590 -11.0970
128.000000 127.579 -11.2553
131.500000 127.464 -11.2706
132.000000 127.451 -11.2870
134.000000 127.401 -11.2336
136.000000 127.292 -11.4736
138.000000 127.247 -11.9936
140.000000 127.161 -12.2534
143.000000 127.086 -12.7366
145.000000 127.094 -12.7700
147.500000 127.067 -12.9938
150.000000 127.000 -13.1183
152.500000 126.925 -12.8514
155.000000 126.815 -13.0620
157.500000 126.778 -13.3659
160.000000 126.707 -13.5710
162.500000 126.678 -13.6576
165.000000 126.608 -13.8782
167.500000 126.584 -13.7769
170.000000 126.527 -13.7197
172.500000 126.491 -13.7165
175.000000 126.454 -13.5450
177.500000 126.415 -13.4002
180.000000 126.343 -13.4960
182.500000 126.334 -13.3296
185.000000 126.273 -13.0085
187.500000 126.200 -12.6646
190.000000 126.194 -12.4353
192.500000 126.153 -12.3240
195.000000 126.128 -12.4609
197.500000 126.073 -12.3521
200.000000 126.029 -12.3764
203.000000 126.001 -12.3335
206.000000 125.925 -12.2460
209.000000 125.879 -12.5003
212.000000 125.813 -12.2921
214.000000 125.788 -12.2886
218.000000 125.741 -12.5783
220.000000 125.724 -12.5756
224.000000 125.670 -12.5790
227.000000 125.651 -12.4100
230.000000 125.623 -12.2321
233.000000 125.618 -12.0403
236.000000 125.597 -11.8135
240.000000 125.532 -11.5798
243.000000 125.485 -11.6128
247.000000 125.446 -11.6648
250.000000 125.411 -11.5096
254.000000 125.357 -11.3834
258.000000 125.304 -11.3790
262.000000 125.271 -11.1757
265.000000 125.216 -11.1089
269.000000 125.168 -11.1939
272.000000 125.147 -11.0911
276.000000 125.110 -11.1533
280.000000 125.080 -10.8610
285.000000 125.047 -10.5385
290.000000 125.002 -10.2715
295.000000 124.951 -10.0110
300.000000 124.913 -9.9282
304.000000 124.884 -9.7714
307.000000 124.868 -9.5679
311.000000 124.844 -9.3853
315.000000 124.810 -9.1383
320.000000 124.759 -8.9229
325.000000 124.703 -8.6998
330.000000 124.687 -8.4172
335.000000 124.666 -8.2584
340.000000 124.643 -8.0015
345.000000 124.617 -7.7343
350.000000 124.593 -7.6030
355.000000 124.555 -7.3320
360.000000 124.515 -7.0792
365.000000 124.468 -6.9418
370.000000 124.411 -6.5253
375.000000 124.360 -6.2093
382.000000 124.303 -5.8620
387.000000 124.264 -5.6424
395.000000 124.238 -5.3026
400.000000 124.231 -5.2266
406.000000 124.228 -5.1325
412.000000 124.226 -4.8236
418.000000 124.247 -4.4864
425.000000 124.199 -4.0510
431.000000 124.179 -3.6943
437.000000 124.139 -3.3688
444.000000 124.065 -2.8863
450.000000 124.038 -2.6746
455.000000 123.997 -2.2550
462.000000 123.949 -1.9221
468.000000 123.925 -1.7543
475.000000 123.900 -1.4730
482.000000 123.880 -1.0610
487.000000 123.861 -0.8211
494.000000 123.853 -0.4401
500.000000 123.847 0.0621
508.000000 123.825 0.6158
515.000000 123.830 1.0910
522.000000 123.824 1.4190
530.000000 123.827 1.8312
538.000000 123.858 2.3295
545.000000 123.848 2.5614
552.000000 123.831 2.7310
560.000000 123.778 3.0000
570.000000 123.689 3.3442
580.000000 123.641 3.9021
590.000000 123.600 4.6490
600.000000 123.608 5.4498
608.000000 123.623 6.0066
615.000000 123.631 6.3246
622.000000 123.648 6.7332
630.000000 123.647 7.1873
640.000000 123.645 7.8451
650.000000 123.612 8.3897
660.000000 123.582 8.9550
670.000000 123.563 9.5366
680.000000 123.544 10.1502
690.000000 123.540 10.6685
700.000000 123.554 11.2181
710.000000 123.586 11.8396
720.000000 123.601 12.3890
730.000000 123.623 12.9953
740.000000 123.651 13.5391
750.000000 123.656 14.2319
762.000000 123.694 14.9388
775.000000 123.719 15.7370
788.000000 123.750 16.4490
800.000000 123.785 17.2662
812.000000 123.795 18.0076
825.000000 123.809 18.8283
838.000000 123.865 19.4821
850.000000 123.881 20.2710
862.000000 123.946 21.0282
875.000000 124.008 21.7602
885.000000 124.061 22.2645
900.000000 124.151 23.1284
912.000000 124.270 23.7172
925.000000 124.337 24.2926
938.000000 124.416 25.0021
950.000000 124.496 25.5770
962.000000 124.550 26.2727
975.000000 124.616 26.8054
988.000000 124.709 27.3816
1000.000000 124.749 27.8410
1015.000000 124.909 28.3957
1030.000000 125.044 28.7950
1044.000000 125.150 29.2986
1060.000000 125.287 29.6820
1075.000000 125.417 30.0723
1090.000000 125.525 30.3864
1106.000000 125.660 30.6840
1120.000000 125.747 30.9754
1138.000000 125.868 31.2617
1150.000000 125.961 31.4708
1172.000000 126.118 31.5965
1180.000000 126.179 31.6306
1206.000000 126.368 31.8427
1220.000000 126.446 31.8528
1241.000000 126.563 32.0347
1250.000000 126.622 31.9251
1265.000000 126.728 31.8989
1280.000000 126.796 31.8285
1315.000000 126.980 31.9796
1320.000000 127.006 31.9308
1340.000000 127.123 31.8046
1360.000000 127.241 31.8012
1380.000000 127.351 31.6624
1400.000000 127.445 31.6167
1430.000000 127.562 31.5397
1450.000000 127.619 31.4223
1475.000000 127.717 31.3658
1500.000000 127.783 31.2558
1525.000000 127.894 31.1992
1550.000000 127.980 30.9974
1575.000000 128.078 30.9101
1600.000000 128.148 30.9023
1625.000000 128.232 30.6725
1650.000000 128.349 30.5671
1675.000000 128.450 30.3598
1700.000000 128.546 30.2072
1725.000000 128.631 30.1192
1750.000000 128.721 29.8634
1775.000000 128.804 29.6671
1800.000000 128.886 29.4920
1825.000000 128.969 29.2243
1850.000000 129.038 28.9642
1875.000000 129.127 28.7128
1900.000000 129.200 28.4657
1925.000000 129.281 28.0907
1950.000000 129.345 27.8257
1975.000000 129.418 27.4947
2000.000000 129.487 27.1708
2030.000000 129.569 26.6004
2060.000000 129.630 26.2915
2090.000000 129.695 25.6953
2120.000000 129.788 25.2257
2140.000000 129.830 24.8778
2180.000000 129.935 24.1420
2200.000000 129.978 23.7807
2240.000000 130.056 23.0291
2270.000000 130.110 22.4657
2300.000000 130.159 21.8780
2330.000000 130.193 21.3421
2360.000000 130.215 20.7978
2400.000000 130.216 20.0539
2430.000000 130.222 19.5541
2470.000000 130.253 18.7684
2500.000000 130.292 18.1892
2540.000000 130.331 17.4525
2580.000000 130.390 16.7631
2620.000000 130.442 15.9289
2650.000000 130.489 15.3263
2690.000000 130.534 14.4934
2720.000000 130.575 13.7011
2760.000000 130.624 12.4975
2800.000000 130.619 11.3194
2850.000000 130.522 10.0631
2900.000000 130.402 9.0436
2950.000000 130.304 8.1513
3000.000000 130.210 7.7144
3040.000000 130.143 7.1429
3070.000000 130.100 6.9412
3110.000000 130.040 6.7932
3150.000000 129.989 6.6111
3200.000000 129.992 6.3872
3250.000000 130.042 6.2016
3300.000000 130.041 6.0951
3350.000000 130.035 5.9719
3400.000000 129.982 5.7949
3450.000000 129.955 5.7899
3500.000000 129.981 5.2771
3550.000000 130.013 5.1212
3600.000000 130.053 4.6783
3650.000000 130.117 4.0805
3700.000000 130.178 3.5738
3750.000000 130.254 2.8266
3820.000000 130.383 1.7344
3870.000000 130.458 0.7999
3950.000000 130.561 -0.7339
4000.000000 130.588 -1.7774
4060.000000 130.585 -2.9700
4120.000000 130.567 -4.2786
4180.000000 130.556 -5.2527
4250.000000 130.642 -7.2755
4310.000000 130.586 -9.3640
4370.000000 130.488 -11.1678
4440.000000 130.362 -13.5353
4500.000000 130.219 -15.4410
4550.000000 130.054 -16.8970
4620.000000 129.852 -19.0564
4680.000000 129.632 -20.6211
4750.000000 129.339 -22.1228
4820.000000 129.041 -23.5779
4870.000000 128.790 -24.1592
4940.000000 128.403 -24.9236
5000.000000 128.073 -25.2790
5080.000000 127.614 -25.4394
5150.000000 127.191 -25.1320
5220.000000 126.801 -24.6389
5300.000000 126.377 -23.6420
5380.000000 126.017 -22.4612
5450.000000 125.740 -21.2691
5520.000000 125.500 -19.9284
5600.000000 125.223 -18.2857
5700.000000 124.949 -16.2885
5800.000000 124.668 -13.9911
5900.000000 124.428 -11.7195
6000.000000 124.294 -9.4222
6080.000000 124.146 -7.7151
6150.000000 124.032 -6.2436
