* Measurement data measured by REW V5.31.1
* Source: Microphone (5- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Jun 26, 2025 3:14:58 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R CU8 772
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 92.679 38.9570
20.600000 92.737 38.1519
20.900000 92.788 37.4141
21.200001 92.836 36.6629
21.400000 92.868 36.1516
21.799999 92.930 35.1095
22.000000 92.961 34.5844
22.400000 93.019 33.5433
22.700001 93.060 32.7826
23.000000 93.099 32.0455
23.299999 93.136 31.3292
23.600000 93.171 30.6277
24.000000 93.214 29.7043
24.299999 93.244 29.0147
24.700001 93.281 28.0982
25.000000 93.306 27.4166
25.400000 93.338 26.5209
25.799999 93.369 25.6427
26.200001 93.399 24.7789
26.500000 93.421 24.1377
26.900000 93.448 23.2897
27.200001 93.466 22.6595
27.600000 93.487 21.8297
28.000000 93.505 21.0151
28.500000 93.525 20.0210
29.000000 93.543 19.0535
29.500000 93.560 18.1094
30.000000 93.572 17.1844
30.400000 93.579 16.4554
30.700001 93.582 15.9143
31.100000 93.585 15.1993
31.500000 93.588 14.4906
32.000000 93.590 13.6141
32.500000 93.592 12.7545
33.000000 93.593 11.9217
33.500000 93.593 11.1150
34.000000 93.591 10.3175
34.500000 93.584 9.5148
35.000000 93.573 8.7171
35.500000 93.559 7.9501
36.000000 93.549 7.2184
36.500000 93.545 6.4954
37.000000 93.540 5.7587
37.500000 93.526 5.0248
38.200001 93.496 4.0645
38.700001 93.473 3.4228
39.500000 93.443 2.3781
40.000000 93.425 1.7084
40.599998 93.401 0.9226
41.200001 93.378 0.1635
41.799999 93.354 -0.5764
42.500000 93.321 -1.4042
43.099998 93.293 -2.0993
43.700001 93.263 -2.8126
44.400002 93.218 -3.6274
45.000000 93.179 -4.2648
45.500000 93.153 -4.7915
46.200001 93.116 -5.5877
46.799999 93.071 -6.2534
47.500000 93.016 -6.8712
48.200001 92.984 -7.4251
48.700001 92.969 -7.8971
49.400002 92.935 -8.6460
50.000000 92.893 -9.2461
50.799999 92.844 -9.9563
51.500000 92.807 -10.5898
52.200001 92.759 -11.1986
53.000000 92.698 -11.7664
53.799999 92.649 -12.3357
54.500000 92.606 -12.9429
55.200001 92.556 -13.5415
56.000000 92.507 -14.1479
57.000000 92.445 -14.9631
58.000000 92.358 -15.6414
59.000000 92.307 -16.2175
60.000000 92.251 -16.9647
60.799999 92.186 -17.4773
61.500000 92.137 -17.8913
62.200001 92.094 -18.3580
63.000000 92.043 -18.9037
64.000000 91.968 -19.5001
65.000000 91.891 -20.0312
66.000000 91.819 -20.6295
67.000000 91.751 -21.2071
68.000000 91.688 -21.8092
69.000000 91.604 -22.4025
70.000000 91.530 -22.7862
71.000000 91.469 -23.1656
72.000000 91.394 -23.5738
73.000000 91.323 -24.0524
74.000000 91.257 -24.5749
75.000000 91.183 -25.0091
76.199997 91.081 -25.4244
77.500000 90.993 -25.9115
78.800003 90.906 -26.4595
80.000000 90.816 -26.8282
81.199997 90.742 -27.3430
82.500000 90.650 -27.7446
83.800003 90.570 -28.0775
85.000000 90.458 -28.5893
86.199997 90.368 -28.8595
87.500000 90.287 -29.1895
88.500000 90.221 -29.4278
90.000000 90.128 -29.8590
91.199997 90.024 -29.9859
92.500000 89.962 -30.2511
93.800003 89.835 -30.5843
95.000000 89.742 -30.8926
96.199997 89.630 -30.9947
97.500000 89.682 -31.1987
98.800003 89.543 -31.4933
100.000000 89.512 -31.5966
101.500000 89.381 -31.9111
103.000000 89.322 -32.3807
104.400002 89.224 -32.4788
106.000000 89.117 -32.6877
107.500000 89.037 -32.9932
109.000000 88.966 -32.9253
110.599998 88.850 -33.3668
112.000000 88.765 -33.4302
113.800003 88.633 -33.5495
115.000000 88.591 -33.6997
117.199997 88.446 -33.7504
118.000000 88.393 -33.7896
120.599998 88.254 -34.6871
122.000000 88.205 -34.1245
124.099998 88.057 -34.4101
125.000000 88.027 -34.4613
126.500000 87.913 -34.4053
128.000000 87.858 -34.5775
131.500000 87.648 -34.5295
132.000000 87.626 -34.4646
134.000000 87.522 -34.5155
136.000000 87.417 -34.5292
138.000000 87.328 -34.5168
140.000000 87.199 -34.3621
143.000000 87.078 -34.5383
145.000000 86.984 -34.5213
147.500000 86.882 -34.3706
150.000000 86.772 -34.2058
152.500000 86.634 -34.1387
155.000000 86.536 -34.0439
157.500000 86.420 -33.7414
160.000000 86.306 -33.6151
162.500000 86.218 -33.4868
165.000000 86.104 -33.3030
167.500000 86.015 -33.1277
170.000000 85.900 -32.9269
172.500000 85.809 -32.7776
175.000000 85.737 -32.4128
177.500000 85.631 -32.3057
180.000000 85.537 -31.9045
182.500000 85.469 -31.7334
185.000000 85.350 -31.5141
187.500000 85.309 -31.2622
190.000000 85.211 -30.9080
192.500000 85.135 -30.7088
195.000000 85.045 -30.4183
197.500000 84.969 -30.0735
200.000000 84.906 -29.7737
203.000000 84.811 -29.4247
206.000000 84.710 -28.9633
209.000000 84.647 -28.6097
212.000000 84.565 -28.2283
214.000000 84.513 -27.9636
218.000000 84.411 -27.4701
220.000000 84.366 -27.1683
224.000000 84.287 -26.6512
227.000000 84.206 -26.2804
230.000000 84.144 -25.8865
233.000000 84.079 -25.4820
236.000000 84.019 -25.1233
240.000000 83.943 -24.4156
243.000000 83.877 -24.1224
247.000000 83.807 -23.4820
250.000000 83.754 -23.0898
254.000000 83.690 -22.4554
258.000000 83.616 -21.8253
262.000000 83.559 -21.2579
265.000000 83.509 -20.7962
269.000000 83.477 -20.1249
272.000000 83.467 -19.6154
276.000000 83.429 -18.8482
280.000000 83.395 -18.7496
285.000000 83.338 -17.8180
290.000000 83.308 -17.2600
295.000000 83.288 -16.6056
300.000000 83.270 -16.0409
304.000000 83.245 -15.8579
307.000000 83.224 -15.5624
311.000000 83.195 -15.0438
315.000000 83.170 -14.7009
320.000000 83.125 -14.1645
325.000000 83.091 -13.6405
330.000000 83.066 -13.1825
335.000000 83.011 -12.6187
340.000000 82.997 -12.0730
345.000000 82.965 -11.5637
350.000000 82.939 -10.9517
355.000000 82.910 -10.2652
360.000000 82.882 -9.5800
365.000000 82.903 -8.9607
370.000000 82.918 -8.5609
375.000000 82.917 -8.1269
382.000000 82.902 -7.7328
387.000000 82.890 -7.2681
395.000000 82.878 -6.6038
400.000000 82.855 -6.2280
406.000000 82.856 -5.7120
412.000000 82.836 -5.1725
418.000000 82.833 -4.6504
425.000000 82.831 -4.0998
431.000000 82.834 -3.6583
437.000000 82.834 -3.2580
444.000000 82.829 -2.6993
450.000000 82.821 -2.3112
455.000000 82.813 -1.9092
462.000000 82.811 -1.4361
468.000000 82.814 -0.9876
475.000000 82.797 -0.5262
482.000000 82.784 -0.0052
487.000000 82.784 0.3658
494.000000 82.794 0.8404
500.000000 82.789 1.2558
508.000000 82.794 1.8284
515.000000 82.805 2.3245
522.000000 82.816 2.7807
530.000000 82.829 3.2181
538.000000 82.834 3.7384
545.000000 82.841 4.2553
552.000000 82.822 4.6302
560.000000 82.826 5.1117
570.000000 82.829 5.8009
580.000000 82.829 6.3510
590.000000 82.856 7.0205
600.000000 82.872 7.5233
608.000000 82.887 8.0117
615.000000 82.889 8.3846
622.000000 82.892 8.7422
630.000000 82.911 9.1598
640.000000 82.920 9.7302
650.000000 82.936 10.2406
660.000000 82.952 10.8394
670.000000 82.942 11.3947
680.000000 82.958 12.0874
690.000000 82.976 12.5207
700.000000 82.982 13.1738
710.000000 82.995 13.7576
720.000000 82.999 14.3266
730.000000 83.045 15.0060
740.000000 83.069 15.6723
750.000000 83.094 16.1981
762.000000 83.127 16.9129
775.000000 83.176 17.8128
788.000000 83.224 18.3777
800.000000 83.271 19.0498
812.000000 83.302 19.7814
825.000000 83.349 20.4664
838.000000 83.406 21.1844
850.000000 83.460 21.8004
862.000000 83.522 22.4385
875.000000 83.596 23.1138
885.000000 83.647 23.6556
900.000000 83.725 24.3607
912.000000 83.799 24.9778
925.000000 83.866 25.5598
938.000000 83.966 26.1842
950.000000 84.033 26.7117
962.000000 84.115 27.2470
975.000000 84.196 27.7680
988.000000 84.294 28.1192
1000.000000 84.380 28.2877
1015.000000 84.486 29.0293
1030.000000 84.608 29.4829
1044.000000 84.694 29.8310
1060.000000 84.827 30.2345
1075.000000 84.923 30.5431
1090.000000 85.032 30.8537
1106.000000 85.140 31.1285
1120.000000 85.236 31.2380
1138.000000 85.347 31.5098
1150.000000 85.418 31.5985
1172.000000 85.551 31.7657
1180.000000 85.610 31.8899
1206.000000 85.749 31.9833
1220.000000 85.832 31.9810
1241.000000 85.940 32.1875
1250.000000 85.979 32.1508
1265.000000 86.044 32.1680
1280.000000 86.115 32.2827
1315.000000 86.265 32.3990
1320.000000 86.290 32.3459
1340.000000 86.360 32.4462
1360.000000 86.429 32.5465
1380.000000 86.515 32.5809
1400.000000 86.582 32.7008
1430.000000 86.679 32.8152
1450.000000 86.763 32.9376
1475.000000 86.841 33.0503
1500.000000 86.920 33.3004
1525.000000 87.004 33.3277
1550.000000 87.091 33.5894
1575.000000 87.173 33.7869
1600.000000 87.259 33.9641
1625.000000 87.349 34.1883
1650.000000 87.453 34.3190
1675.000000 87.538 34.5246
1700.000000 87.631 34.6689
1725.000000 87.734 34.9057
1750.000000 87.831 35.0531
1775.000000 87.929 35.2117
1800.000000 88.038 35.4445
1825.000000 88.148 35.5094
1850.000000 88.257 35.6417
1875.000000 88.368 35.7548
1900.000000 88.476 35.7923
1925.000000 88.602 35.8144
1950.000000 88.720 35.8610
1975.000000 88.842 35.7963
2000.000000 88.956 35.6051
2030.000000 89.112 35.6886
2060.000000 89.268 35.5107
2090.000000 89.424 35.3301
2120.000000 89.588 35.1262
2140.000000 89.691 34.8957
2180.000000 89.902 34.4006
2200.000000 90.008 34.1376
2240.000000 90.206 33.4827
2270.000000 90.362 32.9020
2300.000000 90.515 32.2828
2330.000000 90.654 31.5114
2360.000000 90.795 30.7243
2400.000000 90.967 29.5862
2430.000000 91.094 28.6694
2470.000000 91.240 27.2996
2500.000000 91.343 26.1698
2540.000000 91.468 24.6173
2580.000000 91.565 23.0579
2620.000000 91.638 21.3849
2650.000000 91.689 20.0664
2690.000000 91.725 18.4195
2720.000000 91.735 17.0973
2760.000000 91.722 15.3778
2800.000000 91.698 13.7385
2850.000000 91.632 11.7073
2900.000000 91.544 9.7949
2950.000000 91.425 8.0135
3000.000000 91.296 6.2084
3040.000000 91.171 5.2645
3070.000000 91.067 4.4492
3110.000000 90.942 3.5584
3150.000000 90.810 2.6537
3200.000000 90.623 1.7498
3250.000000 90.456 1.0370
3300.000000 90.287 0.3421
3350.000000 90.104 -0.2626
3400.000000 89.924 -0.6718
3450.000000 89.731 -0.9966
3500.000000 89.529 -1.0924
3550.000000 89.334 -0.9279
3600.000000 89.157 -0.4569
3650.000000 89.020 0.1356
3700.000000 88.918 0.9291
3750.000000 88.862 1.6211
3820.000000 88.796 2.4049
3870.000000 88.770 3.0171
3950.000000 88.764 3.8444
4000.000000 88.749 4.1159
4060.000000 88.787 4.8169
4120.000000 88.821 5.3233
4180.000000 88.877 5.8291
4250.000000 88.957 6.2877
4310.000000 89.049 6.4573
4370.000000 89.147 6.7218
4440.000000 89.279 6.7671
4500.000000 89.400 6.6493
4550.000000 89.506 6.4772
4620.000000 89.671 5.9827
4680.000000 89.800 5.2975
4750.000000 89.932 4.3687
4820.000000 90.056 3.1780
4870.000000 90.138 2.1468
4940.000000 90.211 0.6217
5000.000000 90.274 -0.6790
5080.000000 90.249 -2.8709
5150.000000 90.205 -4.7189
5220.000000 90.118 -6.6304
5300.000000 89.940 -8.5487
5380.000000 89.727 -10.4092
5450.000000 89.517 -11.7084
5520.000000 89.282 -12.8584
5600.000000 88.974 -13.8506
5700.000000 88.579 -14.6962
5800.000000 88.163 -15.1119
5900.000000 87.744 -15.1436
6000.000000 87.308 -14.5008
