* Measurement data measured by REW V5.31.1
* Source: Microphone (6- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Apr 9, 2026 7:20:31 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L CRIN REFERENCE wide 206
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 86.485 -132.9442
20.600000 86.537 -133.6989
20.900000 86.583 -134.4235
21.200001 86.625 -135.1555
21.400000 86.651 -135.6343
21.799999 86.702 -136.5526
22.000000 86.727 -136.9873
22.400000 86.780 -137.8112
22.700001 86.820 -138.4030
23.000000 86.860 -138.9854
23.299999 86.897 -139.5631
23.600000 86.931 -140.1343
24.000000 86.972 -140.8796
24.299999 87.001 -141.4230
24.700001 87.040 -142.1294
25.000000 87.069 -142.6505
25.400000 87.107 -143.3367
25.799999 87.142 -144.0050
26.200001 87.173 -144.6403
26.500000 87.195 -145.0920
26.900000 87.224 -145.6718
27.200001 87.246 -146.1064
27.600000 87.275 -146.7078
28.000000 87.300 -147.3430
28.500000 87.327 -148.1573
29.000000 87.352 -148.9384
29.500000 87.385 -149.6623
30.000000 87.428 -150.3551
30.400000 87.465 -150.9093
30.700001 87.488 -151.3245
31.100000 87.510 -151.8598
31.500000 87.520 -152.3544
32.000000 87.524 -152.9097
32.500000 87.529 -153.4411
33.000000 87.542 -154.0205
33.500000 87.561 -154.6693
34.000000 87.579 -155.3362
34.500000 87.597 -155.9525
35.000000 87.615 -156.5019
35.500000 87.631 -157.0143
36.000000 87.638 -157.5067
36.500000 87.638 -157.9648
37.000000 87.640 -158.3944
37.500000 87.652 -158.8486
38.200001 87.671 -159.5883
38.700001 87.675 -160.1221
39.500000 87.676 -160.8314
40.000000 87.686 -161.2498
40.599998 87.700 -161.8073
41.200001 87.710 -162.3794
41.799999 87.719 -162.9323
42.500000 87.722 -163.5911
43.099998 87.710 -164.1042
43.700001 87.703 -164.5099
44.400002 87.719 -165.0179
45.000000 87.728 -165.5684
45.500000 87.719 -165.9762
46.200001 87.708 -166.3869
46.799999 87.711 -166.7904
47.500000 87.694 -167.3806
48.200001 87.667 -167.8025
48.700001 87.670 -168.0445
49.400002 87.691 -168.5780
50.000000 87.678 -169.0937
50.799999 87.648 -169.4816
51.500000 87.658 -169.8217
52.200001 87.656 -170.3898
53.000000 87.618 -170.8978
53.799999 87.606 -171.2023
54.500000 87.611 -171.6081
55.200001 87.595 -172.0839
56.000000 87.564 -172.5306
57.000000 87.537 -172.9551
58.000000 87.539 -173.4081
59.000000 87.526 -174.0589
60.000000 87.477 -174.4667
60.799999 87.477 -174.6594
61.500000 87.492 -175.0479
62.200001 87.473 -175.5542
63.000000 87.418 -175.9286
64.000000 87.377 -176.1467
65.000000 87.374 -176.4942
66.000000 87.367 -177.0107
67.000000 87.327 -177.4617
68.000000 87.282 -177.7746
69.000000 87.244 -178.1471
70.000000 87.224 -178.4869
71.000000 87.227 -178.7991
72.000000 87.211 -179.2056
73.000000 87.149 -179.5941
74.000000 87.098 -179.7580
75.000000 87.064 -179.8706
76.199997 87.043 179.7740
77.500000 86.978 179.0609
78.800003 86.993 179.4834
80.000000 86.958 179.0044
81.199997 86.847 178.5071
82.500000 86.843 177.8973
83.800003 86.790 177.7992
85.000000 86.751 177.6608
86.199997 86.720 177.3047
87.500000 86.669 177.2068
88.500000 86.636 177.0635
90.000000 86.569 176.7720
91.199997 86.537 176.6756
92.500000 86.500 176.4297
93.800003 86.463 176.2881
95.000000 86.420 176.0988
96.199997 86.386 175.9612
97.500000 86.338 175.8008
98.800003 86.291 175.7382
100.000000 86.256 175.6175
101.500000 86.216 175.4832
103.000000 86.178 175.3397
104.400002 86.130 175.2775
106.000000 86.080 175.2373
107.500000 86.047 175.2454
109.000000 85.973 175.1169
110.599998 85.935 175.0627
112.000000 85.882 175.0289
113.800003 85.840 174.9729
115.000000 85.811 174.9382
117.199997 85.747 175.1308
118.000000 85.728 175.1470
120.599998 85.626 175.0797
122.000000 85.606 174.9588
124.099998 85.570 175.3031
125.000000 85.527 175.2790
126.500000 85.438 175.2889
128.000000 85.427 175.2437
131.500000 85.310 175.7584
132.000000 85.296 175.7040
134.000000 85.289 175.7245
136.000000 85.215 176.4515
138.000000 85.242 176.2259
140.000000 85.177 177.1249
143.000000 85.115 176.7786
145.000000 85.005 177.1182
147.500000 84.970 177.6100
150.000000 84.919 178.1546
152.500000 84.805 179.0124
155.000000 84.844 -179.7965
157.500000 84.880 -179.0107
160.000000 85.017 -177.7966
162.500000 85.179 -177.7735
165.000000 85.288 -178.1428
167.500000 85.340 -178.5558
170.000000 85.360 -178.8275
172.500000 85.355 -178.9972
175.000000 85.330 -179.2759
177.500000 85.336 -179.3210
180.000000 85.325 -179.2402
182.500000 85.317 -179.2513
185.000000 85.293 -179.2034
187.500000 85.288 -179.3437
190.000000 85.284 -179.1242
192.500000 85.292 -178.9840
195.000000 85.283 -178.8131
197.500000 85.276 -178.8208
200.000000 85.280 -178.7354
203.000000 85.290 -178.5331
206.000000 85.283 -178.4385
209.000000 85.294 -178.3043
212.000000 85.299 -178.2633
214.000000 85.297 -178.1671
218.000000 85.305 -177.9770
220.000000 85.319 -177.9375
224.000000 85.331 -177.7873
227.000000 85.345 -177.6512
230.000000 85.353 -177.6433
233.000000 85.370 -177.5491
236.000000 85.388 -177.4446
240.000000 85.399 -177.3537
243.000000 85.417 -177.2203
247.000000 85.430 -177.1567
250.000000 85.458 -177.1167
254.000000 85.457 -177.2248
258.000000 85.497 -177.0967
262.000000 85.491 -176.7379
265.000000 85.530 -176.6199
269.000000 85.550 -177.2606
272.000000 85.560 -177.1386
276.000000 85.570 -177.1456
280.000000 85.547 -176.8293
285.000000 85.604 -176.9787
290.000000 85.614 -176.9060
295.000000 85.655 -177.0069
300.000000 85.673 -177.1862
304.000000 85.671 -177.0936
307.000000 85.672 -177.0645
311.000000 85.679 -177.1981
315.000000 85.694 -177.2504
320.000000 85.707 -177.2594
325.000000 85.722 -177.3154
330.000000 85.735 -177.4182
335.000000 85.747 -177.4216
340.000000 85.755 -177.4571
345.000000 85.761 -177.5588
350.000000 85.775 -177.6419
355.000000 85.771 -177.7043
360.000000 85.780 -177.8468
365.000000 85.794 -177.9583
370.000000 85.792 -177.9973
375.000000 85.799 -178.0633
382.000000 85.803 -178.2675
387.000000 85.811 -178.2837
395.000000 85.791 -178.4607
400.000000 85.803 -178.5887
406.000000 85.792 -178.6650
412.000000 85.786 -178.7075
418.000000 85.771 -178.8279
425.000000 85.770 -178.9184
431.000000 85.762 -179.0145
437.000000 85.751 -179.0778
444.000000 85.735 -179.1316
450.000000 85.734 -179.1693
455.000000 85.725 -179.1652
462.000000 85.726 -179.2404
468.000000 85.722 -179.3339
475.000000 85.709 -179.5267
482.000000 85.696 -179.7148
487.000000 85.681 -179.7893
494.000000 85.659 -179.8770
500.000000 85.648 179.9870
508.000000 85.611 179.8639
515.000000 85.583 179.8978
522.000000 85.562 179.9011
530.000000 85.591 179.4993
538.000000 85.534 179.8897
545.000000 85.486 179.5636
552.000000 85.391 179.3524
560.000000 85.391 179.4214
570.000000 85.366 179.5423
580.000000 85.318 179.6967
590.000000 85.253 179.7274
600.000000 85.215 179.7870
608.000000 85.177 179.7252
615.000000 85.152 179.9080
622.000000 85.111 179.9486
630.000000 85.069 -179.9671
640.000000 85.029 -179.8126
650.000000 84.986 -179.6627
660.000000 84.930 -179.4439
670.000000 84.895 -179.2911
680.000000 84.850 -179.0078
690.000000 84.788 -178.8537
700.000000 84.752 -178.6076
710.000000 84.708 -178.3170
720.000000 84.672 -177.9927
730.000000 84.640 -177.7744
740.000000 84.584 -177.4830
750.000000 84.545 -176.9489
762.000000 84.518 -176.7000
775.000000 84.467 -176.1277
788.000000 84.433 -175.5522
800.000000 84.404 -175.0656
812.000000 84.371 -174.4928
825.000000 84.339 -174.0632
838.000000 84.323 -173.5223
850.000000 84.317 -172.8205
862.000000 84.329 -172.2841
875.000000 84.334 -171.7169
885.000000 84.326 -171.3065
900.000000 84.342 -170.5319
912.000000 84.347 -169.9738
925.000000 84.374 -169.4258
938.000000 84.414 -168.8962
950.000000 84.453 -168.3468
962.000000 84.483 -167.7848
975.000000 84.530 -167.2559
988.000000 84.551 -166.8157
1000.000000 84.625 -166.7865
1015.000000 84.671 -165.8277
1030.000000 84.753 -165.4907
1044.000000 84.842 -165.1539
1060.000000 84.893 -164.7927
1075.000000 84.971 -164.5174
1090.000000 85.040 -164.2441
1106.000000 85.112 -164.0193
1120.000000 85.172 -163.8487
1138.000000 85.252 -163.7100
1150.000000 85.291 -163.5474
1172.000000 85.393 -163.4189
1180.000000 85.431 -163.3464
1206.000000 85.520 -163.2938
1220.000000 85.571 -163.2829
1241.000000 85.635 -163.1702
1250.000000 85.662 -163.3955
1265.000000 85.713 -163.3704
1280.000000 85.728 -163.2802
1315.000000 85.806 -163.3008
1320.000000 85.828 -163.2806
1340.000000 85.860 -163.3157
1360.000000 85.888 -163.2760
1380.000000 85.922 -163.2781
1400.000000 85.939 -163.1392
1430.000000 85.984 -163.0743
1450.000000 86.009 -163.0914
1475.000000 86.026 -162.9211
1500.000000 86.059 -162.7954
1525.000000 86.089 -162.6269
1550.000000 86.104 -162.5068
1575.000000 86.145 -162.2998
1600.000000 86.169 -162.0674
1625.000000 86.214 -161.7518
1650.000000 86.251 -161.6072
1675.000000 86.290 -161.3110
1700.000000 86.332 -161.0201
1725.000000 86.375 -160.6798
1750.000000 86.424 -160.3613
1775.000000 86.473 -160.0861
1800.000000 86.540 -159.8288
1825.000000 86.599 -159.5844
1850.000000 86.658 -159.3069
1875.000000 86.740 -158.9811
1900.000000 86.815 -158.6298
1925.000000 86.882 -158.4409
1950.000000 86.961 -158.1684
1975.000000 87.052 -157.9689
2000.000000 87.113 -157.3506
2030.000000 87.242 -157.4972
2060.000000 87.371 -157.2471
2090.000000 87.478 -157.0530
2120.000000 87.611 -156.9223
2140.000000 87.696 -156.8115
2180.000000 87.885 -156.7225
2200.000000 87.963 -156.6657
2240.000000 88.161 -156.6526
2270.000000 88.303 -156.6575
2300.000000 88.456 -156.8342
2330.000000 88.618 -157.0029
2360.000000 88.768 -157.1865
2400.000000 88.992 -157.5705
2430.000000 89.151 -157.9149
2470.000000 89.370 -158.4598
2500.000000 89.530 -158.9989
2540.000000 89.747 -159.7741
2580.000000 89.961 -160.6926
2620.000000 90.171 -161.7770
2650.000000 90.316 -162.6155
2690.000000 90.517 -163.8973
2720.000000 90.658 -165.0032
2760.000000 90.821 -166.4524
2800.000000 90.979 -168.1078
2850.000000 91.140 -170.3135
2900.000000 91.282 -172.5986
2950.000000 91.382 -175.0724
3000.000000 91.423 -177.6683
3040.000000 91.451 -179.5686
3070.000000 91.446 178.9266
3110.000000 91.417 176.9976
3150.000000 91.373 175.0517
3200.000000 91.277 172.7187
3250.000000 91.155 170.5453
3300.000000 91.014 168.5306
3350.000000 90.841 166.6806
3400.000000 90.665 165.0315
3450.000000 90.467 163.5416
3500.000000 90.269 162.1806
3550.000000 90.058 161.0557
3600.000000 89.850 160.0695
3650.000000 89.639 159.1846
3700.000000 89.433 158.4262
3750.000000 89.231 157.8193
3820.000000 88.950 157.2438
3870.000000 88.758 156.8953
3950.000000 88.481 156.7044
4000.000000 88.366 156.7392
4060.000000 88.154 156.9170
4120.000000 88.030 157.2582
4180.000000 87.945 157.5325
4250.000000 87.908 157.6340
4310.000000 87.896 157.4042
4370.000000 87.881 156.8632
4440.000000 87.835 155.8544
4500.000000 87.747 154.8330
4550.000000 87.624 154.2293
4620.000000 87.466 153.3925
4680.000000 87.332 152.7191
4750.000000 87.164 151.9000
4820.000000 86.976 151.2102
4870.000000 86.807 150.6395
4940.000000 86.560 150.1500
5000.000000 86.384 149.7356
5080.000000 86.046 149.5260
5150.000000 85.752 149.4850
5220.000000 85.494 149.4944
5300.000000 85.180 149.8848
5380.000000 84.876 150.2994
