* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 13, 2024 11:01:36 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L DK62 SANCAI WIDE 389
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 123.998 -167.4319
20.600000 123.996 -168.1067
20.900000 123.991 -168.7193
21.200001 123.987 -169.3452
21.400000 123.985 -169.7701
21.799999 123.980 -170.6160
22.000000 123.977 -171.0231
22.400000 123.973 -171.7787
22.700001 123.973 -172.2952
23.000000 123.977 -172.7928
23.299999 123.982 -173.3031
23.600000 123.983 -173.8410
24.000000 123.970 -174.5930
24.299999 123.951 -175.1513
24.700001 123.917 -175.8473
25.000000 123.896 -176.3338
25.400000 123.882 -176.9810
25.799999 123.882 -177.6875
26.200001 123.882 -178.4401
26.500000 123.874 -178.9666
26.900000 123.856 -179.5177
27.200001 123.845 -179.7913
27.600000 123.847 179.9619
28.000000 123.868 179.6632
28.500000 123.890 178.9774
29.000000 123.863 177.9928
29.500000 123.785 177.0243
30.000000 123.709 176.3049
30.400000 123.686 175.8499
30.700001 123.691 175.4955
31.100000 123.712 174.9422
31.500000 123.725 174.3255
32.000000 123.707 173.6042
32.500000 123.658 173.0483
33.000000 123.599 172.6136
33.500000 123.548 172.1731
34.000000 123.514 171.6422
34.500000 123.495 171.0211
35.000000 123.486 170.3612
35.500000 123.474 169.7407
36.000000 123.453 169.2170
36.500000 123.424 168.7746
37.000000 123.390 168.3336
37.500000 123.350 167.8462
38.200001 123.295 167.1571
38.700001 123.272 166.7070
39.500000 123.261 165.9483
40.000000 123.240 165.4704
40.599998 123.193 165.0551
41.200001 123.162 164.7686
41.799999 123.156 164.2679
42.500000 123.118 163.2929
43.099998 123.027 162.6265
43.700001 122.949 162.4335
44.400002 122.940 162.2986
45.000000 122.954 161.7694
45.500000 122.932 161.1752
46.200001 122.871 160.5406
46.799999 122.842 160.1516
47.500000 122.821 159.5590
48.200001 122.770 158.9576
48.700001 122.728 158.6610
49.400002 122.694 158.3088
50.000000 122.676 157.9323
50.799999 122.650 157.4246
51.500000 122.628 156.9783
52.200001 122.588 156.4527
53.000000 122.508 155.9368
53.799999 122.440 155.5421
54.500000 122.403 155.0952
55.200001 122.367 154.5855
56.000000 122.326 154.0735
57.000000 122.282 153.5198
58.000000 122.234 152.9331
59.000000 122.155 152.3590
60.000000 122.082 152.0710
60.799999 122.056 151.7444
61.500000 122.022 151.2998
62.200001 121.975 150.8955
63.000000 121.931 150.5112
64.000000 121.877 150.0775
65.000000 121.826 149.6809
66.000000 121.765 149.0806
67.000000 121.694 148.5559
68.000000 121.659 148.1485
69.000000 121.625 147.6278
70.000000 121.553 147.0886
71.000000 121.476 146.7639
72.000000 121.437 146.4185
73.000000 121.387 145.9771
74.000000 121.341 145.6828
75.000000 121.300 145.3476
76.199997 121.246 144.8772
77.500000 121.148 144.1849
78.800003 121.092 143.9392
80.000000 121.010 143.3393
81.199997 120.947 143.1406
82.500000 120.928 142.5263
83.800003 120.846 142.1691
85.000000 120.779 141.6602
86.199997 120.726 141.0824
87.500000 120.639 140.7602
88.500000 120.604 140.8188
90.000000 120.569 140.0190
91.199997 120.472 139.6572
92.500000 120.375 139.5695
93.800003 120.352 139.5989
95.000000 120.333 138.7448
96.199997 120.278 138.4877
97.500000 120.199 138.0757
98.800003 120.119 137.8039
100.000000 120.105 137.2778
101.500000 120.040 137.1811
103.000000 120.035 137.0116
104.400002 119.947 136.5376
106.000000 119.781 135.9499
107.500000 119.710 135.3776
109.000000 119.689 135.2319
110.599998 119.656 135.0267
112.000000 119.588 134.6617
113.800003 119.550 134.3428
115.000000 119.486 133.8011
117.199997 119.405 133.4686
118.000000 119.369 133.3852
120.599998 119.269 132.7004
122.000000 119.217 132.4691
124.099998 119.129 132.0255
125.000000 119.086 131.8645
126.500000 119.070 131.7371
128.000000 118.957 131.6049
131.500000 118.883 130.8619
132.000000 118.865 130.7010
134.000000 118.801 130.1920
136.000000 118.746 129.9545
138.000000 118.648 129.5790
140.000000 118.619 129.1830
143.000000 118.500 128.8946
145.000000 118.435 128.4480
147.500000 118.338 127.9069
150.000000 118.287 127.6993
152.500000 118.251 127.3489
155.000000 118.116 127.0650
157.500000 118.060 126.4175
160.000000 117.988 126.0110
162.500000 117.926 125.8751
165.000000 117.810 125.5427
167.500000 117.750 125.1840
170.000000 117.634 124.9789
172.500000 117.601 124.6485
175.000000 117.522 124.4617
177.500000 117.441 124.3493
180.000000 117.378 124.0526
182.500000 117.283 123.6480
185.000000 117.253 123.6634
187.500000 117.204 123.8356
190.000000 117.137 123.9064
192.500000 117.083 123.9061
195.000000 117.093 124.2879
197.500000 117.120 124.2267
200.000000 117.144 123.9361
203.000000 117.184 123.8095
206.000000 117.210 123.3145
209.000000 117.163 122.5328
212.000000 117.148 121.6902
214.000000 117.157 121.4846
218.000000 117.073 120.5990
220.000000 117.058 120.4302
224.000000 116.950 119.8027
227.000000 116.938 119.2609
230.000000 116.877 118.6712
233.000000 116.807 118.3158
236.000000 116.775 117.8061
240.000000 116.711 117.4815
243.000000 116.661 117.0616
247.000000 116.617 116.5217
250.000000 116.562 116.1786
254.000000 116.502 115.7878
258.000000 116.448 115.3507
262.000000 116.392 114.8638
265.000000 116.358 114.6339
269.000000 116.298 114.2038
272.000000 116.257 113.8466
276.000000 116.209 113.4450
280.000000 116.180 113.0118
285.000000 116.120 112.5607
290.000000 116.041 112.1363
295.000000 115.994 111.4805
300.000000 115.955 111.1474
304.000000 115.912 110.7617
307.000000 115.873 110.5233
311.000000 115.833 110.1086
315.000000 115.814 109.8007
320.000000 115.782 109.4065
325.000000 115.721 108.9228
330.000000 115.702 108.4992
335.000000 115.643 108.0308
340.000000 115.618 107.5576
345.000000 115.583 107.1018
350.000000 115.564 106.8014
355.000000 115.533 106.1973
360.000000 115.490 105.8925
365.000000 115.472 105.2979
370.000000 115.431 104.8210
375.000000 115.398 104.4481
382.000000 115.359 103.8989
387.000000 115.320 103.4433
395.000000 115.264 102.6559
400.000000 115.290 102.4477
406.000000 115.213 101.9814
412.000000 115.174 101.2845
418.000000 115.133 101.0672
425.000000 115.112 100.3198
431.000000 115.090 99.9901
437.000000 115.059 99.4765
444.000000 115.019 99.1664
450.000000 114.990 98.5458
455.000000 114.944 98.3712
462.000000 114.913 97.9435
468.000000 114.904 97.7316
475.000000 114.886 97.3303
482.000000 114.860 96.9960
487.000000 114.880 96.7581
494.000000 114.840 96.1748
500.000000 114.850 95.6783
508.000000 114.830 95.1524
515.000000 114.809 94.7387
522.000000 114.777 94.3458
530.000000 114.764 93.7981
538.000000 114.728 93.3627
545.000000 114.693 92.9629
552.000000 114.679 92.6571
560.000000 114.693 92.2280
570.000000 114.609 91.7091
580.000000 114.565 91.3859
590.000000 114.538 90.9287
600.000000 114.517 90.4866
608.000000 114.501 90.3611
615.000000 114.489 89.8491
622.000000 114.477 89.7433
630.000000 114.451 89.7642
640.000000 114.436 89.4245
650.000000 114.424 89.3341
660.000000 114.369 89.1942
670.000000 114.434 89.1360
680.000000 114.358 88.8081
690.000000 114.414 88.8866
700.000000 114.423 88.8928
710.000000 114.425 88.8488
720.000000 114.493 88.8449
730.000000 114.485 88.9211
740.000000 114.534 88.8238
750.000000 114.603 88.6439
762.000000 114.625 88.6295
775.000000 114.703 88.5105
788.000000 114.752 88.3942
800.000000 114.802 88.3645
812.000000 114.905 88.2869
825.000000 114.945 88.0333
838.000000 115.065 88.0150
850.000000 115.125 87.9119
862.000000 115.196 87.7391
875.000000 115.286 87.6024
885.000000 115.343 87.4322
900.000000 115.457 87.1967
912.000000 115.546 86.9204
925.000000 115.622 86.9783
938.000000 115.753 86.5640
950.000000 115.849 86.3849
962.000000 115.903 85.8957
975.000000 115.998 85.7462
988.000000 116.100 85.5930
1000.000000 116.248 85.7562
1015.000000 116.307 84.9347
1030.000000 116.432 84.5776
1044.000000 116.564 84.2632
1060.000000 116.688 83.6716
1075.000000 116.817 83.2941
1090.000000 116.930 82.8056
1106.000000 117.066 82.3637
1120.000000 117.136 81.7525
1138.000000 117.292 81.0497
1150.000000 117.375 80.6838
1172.000000 117.509 79.9316
1180.000000 117.544 79.5044
1206.000000 117.721 78.5350
1220.000000 117.823 78.0750
1241.000000 117.927 77.3117
1250.000000 118.004 76.8984
1265.000000 118.090 76.4836
1280.000000 118.166 75.8326
1315.000000 118.313 74.5834
1320.000000 118.342 74.3141
1340.000000 118.449 73.7409
1360.000000 118.544 73.1293
1380.000000 118.644 72.4077
1400.000000 118.729 71.8383
1430.000000 118.849 70.9084
1450.000000 118.914 70.2846
1475.000000 119.056 69.5952
1500.000000 119.145 68.9672
1525.000000 119.242 68.3603
1550.000000 119.368 67.8292
1575.000000 119.474 67.0523
1600.000000 119.588 66.5573
1625.000000 119.712 65.9471
1650.000000 119.830 65.5011
1675.000000 119.949 64.7520
1700.000000 120.062 64.4135
1725.000000 120.186 63.8181
1750.000000 120.322 63.2004
1775.000000 120.438 62.6381
1800.000000 120.583 62.1417
1825.000000 120.729 61.4299
1850.000000 120.882 60.8850
1875.000000 121.019 60.3119
1900.000000 121.181 59.6259
1925.000000 121.302 58.9594
1950.000000 121.462 58.0952
1975.000000 121.614 57.5443
2000.000000 121.778 56.4172
2030.000000 121.960 55.7771
2060.000000 122.171 54.7611
2090.000000 122.335 53.6919
2120.000000 122.513 52.4704
2140.000000 122.647 51.7483
2180.000000 122.884 49.9171
2200.000000 123.013 49.0693
2240.000000 123.229 47.0111
2270.000000 123.391 45.4617
2300.000000 123.531 43.9282
2330.000000 123.668 42.2153
2360.000000 123.797 40.4397
2400.000000 123.929 38.0605
2430.000000 124.032 36.2606
2470.000000 124.133 33.7149
2500.000000 124.182 31.9396
2540.000000 124.229 29.3272
2580.000000 124.217 26.8560
2620.000000 124.216 24.3882
2650.000000 124.184 22.7024
2690.000000 124.112 20.3824
2720.000000 124.038 18.8127
2760.000000 123.958 16.7503
2800.000000 123.854 14.8774
2850.000000 123.691 12.6549
2900.000000 123.534 10.7306
2950.000000 123.351 8.9908
3000.000000 123.179 7.6914
3040.000000 123.033 6.5160
3070.000000 122.936 5.8115
3110.000000 122.819 5.0947
3150.000000 122.676 4.3722
3200.000000 122.544 3.6160
3250.000000 122.407 3.0267
3300.000000 122.323 2.5394
3350.000000 122.226 2.0605
3400.000000 122.173 1.8287
3450.000000 122.124 1.4050
3500.000000 122.089 1.0764
3550.000000 122.070 0.8475
3600.000000 122.079 0.3139
3650.000000 122.117 0.1215
3700.000000 122.123 -0.3922
3750.000000 122.175 -0.9288
3820.000000 122.256 -1.6905
3870.000000 122.328 -2.3642
3950.000000 122.463 -3.6583
4000.000000 122.558 -4.4252
4060.000000 122.607 -5.9427
4120.000000 122.734 -7.3876
4180.000000 122.796 -9.2316
4250.000000 122.841 -11.4808
4310.000000 122.873 -13.6992
4370.000000 122.878 -16.1348
4440.000000 122.807 -19.1265
4500.000000 122.661 -21.8912
4550.000000 122.497 -24.2427
4620.000000 122.162 -27.1980
4680.000000 121.789 -29.3969
4750.000000 121.298 -31.5586
4820.000000 120.753 -32.8356
4870.000000 120.346 -33.3763
4940.000000 119.743 -33.4443
5000.000000 119.251 -32.5211
5080.000000 118.730 -31.2418
5150.000000 118.270 -29.3754
5220.000000 117.864 -27.2015
5300.000000 117.557 -24.2468
5380.000000 117.349 -20.7345
5450.000000 117.270 -17.8387
5520.000000 117.285 -15.0812
5600.000000 117.352 -12.2876
5700.000000 117.581 -9.2012
5800.000000 117.914 -6.9796
5900.000000 118.228 -5.6980
6000.000000 118.522 -5.2319
6080.000000 118.709 -4.9150
6150.000000 118.824 -5.4460
6220.000000 118.889 -5.2684
6300.000000 118.948 -5.4114
6400.000000 118.958 -5.4095
6500.000000 118.960 -5.1477
6600.000000 118.989 -4.5770
6700.000000 118.955 -3.3356
