* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 13, 2024 11:13:20 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R DK62 STOCK 396
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 123.918 -167.6510
20.600000 123.924 -168.3414
20.900000 123.920 -168.9509
21.200001 123.913 -169.5515
21.400000 123.908 -169.9547
21.799999 123.899 -170.7687
22.000000 123.894 -171.1759
22.400000 123.888 -171.9732
22.700001 123.886 -172.5433
23.000000 123.890 -173.0862
23.299999 123.896 -173.6088
23.600000 123.902 -174.1156
24.000000 123.904 -174.7667
24.299999 123.897 -175.2310
24.700001 123.878 -175.8236
25.000000 123.859 -176.2780
25.400000 123.832 -176.9650
25.799999 123.801 -177.8076
26.200001 123.759 -178.7648
26.500000 123.720 -179.4492
26.900000 123.673 179.8560
27.200001 123.658 179.5760
27.600000 123.691 179.4803
28.000000 123.789 179.4473
28.500000 123.941 179.0493
29.000000 124.015 178.1397
29.500000 123.952 177.0886
30.000000 123.797 176.3404
30.400000 123.676 175.9888
30.700001 123.614 175.7590
31.100000 123.571 175.3441
31.500000 123.555 174.7791
32.000000 123.540 174.0372
32.500000 123.523 173.4756
33.000000 123.515 173.0689
33.500000 123.507 172.6257
34.000000 123.481 172.0767
34.500000 123.441 171.5274
35.000000 123.410 171.0457
35.500000 123.397 170.5788
36.000000 123.385 170.0917
36.500000 123.361 169.6534
37.000000 123.332 169.3055
37.500000 123.316 168.9383
38.200001 123.308 168.1345
38.700001 123.288 167.4267
39.500000 123.233 166.5612
40.000000 123.208 166.2189
40.599998 123.189 165.8080
41.200001 123.162 165.2820
41.799999 123.121 164.7050
42.500000 123.074 164.0880
43.099998 123.046 163.6352
43.700001 123.025 163.2040
44.400002 122.995 162.6505
45.000000 122.953 162.1439
45.500000 122.911 161.7523
46.200001 122.863 161.2671
46.799999 122.836 160.8570
47.500000 122.808 160.3564
48.200001 122.775 159.8638
48.700001 122.749 159.5227
49.400002 122.708 159.0665
50.000000 122.673 158.7054
50.799999 122.630 158.2096
51.500000 122.585 157.7353
52.200001 122.537 157.3285
53.000000 122.509 156.9337
53.799999 122.490 156.3723
54.500000 122.434 155.8446
55.200001 122.358 155.5320
56.000000 122.311 155.2433
57.000000 122.282 154.5435
58.000000 122.241 153.9798
59.000000 122.211 153.5490
60.000000 122.139 153.0579
60.799999 122.080 152.7354
61.500000 122.045 152.3596
62.200001 122.007 151.9087
63.000000 121.964 151.4458
64.000000 121.921 150.8915
65.000000 121.865 150.4412
66.000000 121.816 150.1544
67.000000 121.769 149.7186
68.000000 121.707 149.2745
69.000000 121.658 148.8736
70.000000 121.601 148.4578
71.000000 121.562 148.0897
72.000000 121.513 147.5595
73.000000 121.425 147.4116
74.000000 121.393 147.2244
75.000000 121.339 146.5552
76.199997 121.285 146.0634
77.500000 121.252 145.5145
78.800003 121.173 145.1710
80.000000 121.093 144.7000
81.199997 121.050 144.2385
82.500000 121.021 143.9207
83.800003 120.957 143.6557
85.000000 120.865 142.9775
86.199997 120.889 142.8237
87.500000 120.851 142.1976
88.500000 120.707 142.1490
90.000000 120.642 141.6252
91.199997 120.608 141.1323
92.500000 120.542 140.7903
93.800003 120.470 140.4442
95.000000 120.434 140.3446
96.199997 120.412 139.9836
97.500000 120.329 139.6548
98.800003 120.275 139.2005
100.000000 120.239 138.9214
101.500000 120.172 138.6670
103.000000 120.107 138.1350
104.400002 120.070 137.8270
106.000000 119.989 137.3720
107.500000 119.906 136.7343
109.000000 119.897 136.8066
110.599998 119.807 136.4165
112.000000 119.780 136.0103
113.800003 119.696 135.7569
115.000000 119.653 135.4900
117.199997 119.589 135.0550
118.000000 119.564 134.8725
120.599998 119.473 134.3581
122.000000 119.417 134.0435
124.099998 119.344 133.6334
125.000000 119.320 133.4930
126.500000 119.258 133.2104
128.000000 119.219 132.9568
131.500000 119.096 132.3105
132.000000 119.083 132.2406
134.000000 119.013 131.8173
136.000000 118.941 131.4634
138.000000 118.909 131.1985
140.000000 118.816 130.8797
143.000000 118.739 130.3269
145.000000 118.680 130.1274
147.500000 118.607 129.7520
150.000000 118.531 129.3492
152.500000 118.471 128.9053
155.000000 118.376 128.6756
157.500000 118.326 128.1957
160.000000 118.277 127.8776
162.500000 118.198 127.5446
165.000000 118.137 127.1683
167.500000 118.058 126.7932
170.000000 118.000 126.4956
172.500000 117.937 126.1886
175.000000 117.874 125.8459
177.500000 117.809 125.6064
180.000000 117.747 125.2812
182.500000 117.680 124.9825
185.000000 117.616 124.7356
187.500000 117.564 124.5182
190.000000 117.496 124.2167
192.500000 117.439 124.0381
195.000000 117.358 123.9081
197.500000 117.325 123.6809
200.000000 117.275 123.6036
203.000000 117.224 123.7171
206.000000 117.182 123.6281
209.000000 117.181 123.6421
212.000000 117.198 123.4514
214.000000 117.207 123.0948
218.000000 117.220 122.7034
220.000000 117.200 122.1803
224.000000 117.177 121.4992
227.000000 117.120 120.8892
230.000000 117.064 120.5848
233.000000 117.016 120.1225
236.000000 116.972 119.8270
240.000000 116.930 119.3674
243.000000 116.880 118.9523
247.000000 116.831 118.5133
250.000000 116.806 117.9146
254.000000 116.730 117.5011
258.000000 116.702 117.2005
262.000000 116.635 116.7177
265.000000 116.605 116.4346
269.000000 116.542 116.1143
272.000000 116.502 115.6779
276.000000 116.448 115.3194
280.000000 116.434 114.9088
285.000000 116.372 114.3736
290.000000 116.323 113.9507
295.000000 116.281 113.5747
300.000000 116.222 113.0652
304.000000 116.174 112.7114
307.000000 116.150 112.5445
311.000000 116.123 112.0721
315.000000 116.100 111.7275
320.000000 116.075 111.4241
325.000000 116.028 110.9627
330.000000 115.981 110.4635
335.000000 115.954 110.0683
340.000000 115.921 109.6339
345.000000 115.872 109.1942
350.000000 115.844 108.7780
355.000000 115.816 108.4175
360.000000 115.778 107.9247
365.000000 115.756 107.6153
370.000000 115.721 107.1678
375.000000 115.704 106.7074
382.000000 115.672 106.2274
387.000000 115.635 105.8931
395.000000 115.585 105.1242
400.000000 115.559 104.7787
406.000000 115.536 104.3996
412.000000 115.529 103.9147
418.000000 115.476 103.5197
425.000000 115.442 102.9670
431.000000 115.415 102.7497
437.000000 115.402 102.3190
444.000000 115.377 101.7782
450.000000 115.355 101.3308
455.000000 115.335 101.0729
462.000000 115.312 100.4504
468.000000 115.291 100.2242
475.000000 115.262 99.6270
482.000000 115.245 99.1740
487.000000 115.221 98.9672
494.000000 115.217 98.6801
500.000000 115.189 98.4525
508.000000 115.175 97.9361
515.000000 115.150 97.4234
522.000000 115.145 97.1070
530.000000 115.100 96.6068
538.000000 115.101 96.3350
545.000000 115.090 95.8190
552.000000 115.046 95.5977
560.000000 115.039 95.1641
570.000000 115.019 94.7251
580.000000 114.989 94.2438
590.000000 114.941 93.8272
600.000000 114.956 93.5880
608.000000 114.930 93.3199
615.000000 114.881 93.0701
622.000000 114.878 92.8201
630.000000 114.855 92.7958
640.000000 114.830 92.2860
650.000000 114.819 92.1404
660.000000 114.815 91.9536
670.000000 114.759 92.0916
680.000000 114.765 91.9522
690.000000 114.775 91.8774
700.000000 114.782 91.8842
710.000000 114.755 92.1696
720.000000 114.800 92.2700
730.000000 114.830 92.1206
740.000000 114.851 92.3616
750.000000 114.891 92.4924
762.000000 114.964 92.6870
775.000000 115.018 92.5876
788.000000 115.128 92.7868
800.000000 115.202 92.8877
812.000000 115.269 92.7710
825.000000 115.386 92.6200
838.000000 115.477 92.6727
850.000000 115.574 92.5434
862.000000 115.660 92.3036
875.000000 115.761 92.2170
885.000000 115.867 92.1985
900.000000 115.928 91.9429
912.000000 116.044 91.7424
925.000000 116.175 91.6470
938.000000 116.253 91.4623
950.000000 116.373 91.2878
962.000000 116.476 90.8763
975.000000 116.562 90.7986
988.000000 116.704 90.5858
1000.000000 116.873 90.5964
1015.000000 116.954 89.9051
1030.000000 117.067 89.6708
1044.000000 117.214 89.1595
1060.000000 117.345 88.7543
1075.000000 117.455 88.4596
1090.000000 117.577 87.8781
1106.000000 117.715 87.3327
1120.000000 117.823 86.9824
1138.000000 117.976 86.3203
1150.000000 118.043 85.9897
1172.000000 118.226 85.2073
1180.000000 118.294 84.9194
1206.000000 118.456 84.0283
1220.000000 118.558 83.3799
1241.000000 118.708 82.6745
1250.000000 118.773 82.3180
1265.000000 118.841 81.7934
1280.000000 118.952 81.2508
1315.000000 119.158 80.0453
1320.000000 119.169 79.8977
1340.000000 119.273 79.2552
1360.000000 119.390 78.5686
1380.000000 119.518 77.9600
1400.000000 119.602 77.2812
1430.000000 119.738 76.3775
1450.000000 119.858 76.0253
1475.000000 119.986 75.1609
1500.000000 120.113 74.5958
1525.000000 120.227 74.0393
1550.000000 120.372 73.4008
1575.000000 120.495 72.7214
1600.000000 120.618 72.2348
1625.000000 120.767 71.6393
1650.000000 120.894 71.0405
1675.000000 121.046 70.5413
1700.000000 121.188 70.0016
1725.000000 121.330 69.3755
1750.000000 121.481 68.8203
1775.000000 121.636 68.2004
1800.000000 121.787 67.5252
1825.000000 121.948 67.0417
1850.000000 122.133 66.4105
1875.000000 122.294 65.7559
1900.000000 122.468 64.9903
1925.000000 122.654 64.2925
1950.000000 122.828 63.5650
1975.000000 122.996 62.6029
2000.000000 123.169 61.7139
2030.000000 123.394 60.7097
2060.000000 123.622 59.3767
2090.000000 123.838 58.0937
2120.000000 124.044 56.7149
2140.000000 124.169 55.7867
2180.000000 124.442 53.5784
2200.000000 124.569 52.5474
2240.000000 124.802 50.2072
2270.000000 124.955 48.4580
2300.000000 125.106 46.5222
2330.000000 125.256 44.5284
2360.000000 125.369 42.4554
2400.000000 125.488 39.7676
2430.000000 125.550 37.6003
2470.000000 125.613 34.8052
2500.000000 125.635 32.7083
2540.000000 125.617 29.9574
2580.000000 125.586 27.2266
2620.000000 125.525 24.7056
2650.000000 125.455 22.9599
2690.000000 125.341 20.5963
2720.000000 125.255 19.0742
2760.000000 125.134 17.1207
2800.000000 124.991 15.3140
2850.000000 124.814 13.2084
2900.000000 124.629 11.3754
2950.000000 124.438 9.8690
3000.000000 124.255 8.6177
3040.000000 124.116 7.4241
3070.000000 124.012 6.8770
3110.000000 123.899 6.0562
3150.000000 123.776 5.4969
3200.000000 123.637 4.7468
3250.000000 123.526 4.2021
3300.000000 123.437 3.6813
3350.000000 123.355 3.3269
3400.000000 123.296 3.0745
3450.000000 123.304 2.6659
3500.000000 123.313 2.2887
3550.000000 123.340 1.6620
3600.000000 123.372 1.0904
3650.000000 123.442 0.5023
3700.000000 123.493 -0.6700
3750.000000 123.561 -1.5594
3820.000000 123.662 -3.2843
3870.000000 123.715 -4.6935
3950.000000 123.792 -7.2563
4000.000000 123.781 -9.3152
4060.000000 123.825 -11.3294
4120.000000 123.769 -13.6459
4180.000000 123.705 -16.4008
4250.000000 123.554 -19.4747
4310.000000 123.361 -22.3959
4370.000000 123.093 -25.2529
4440.000000 122.669 -28.3580
4500.000000 122.244 -30.7159
4550.000000 121.819 -32.1816
4620.000000 121.219 -33.7280
4680.000000 120.631 -34.4899
4750.000000 119.975 -34.7327
4820.000000 119.346 -34.2489
4870.000000 118.843 -33.2310
4940.000000 118.256 -31.7104
5000.000000 117.764 -30.0416
5080.000000 117.308 -26.3497
5150.000000 116.947 -23.3539
5220.000000 116.633 -19.9717
5300.000000 116.456 -15.8454
5380.000000 116.349 -11.5863
5450.000000 116.384 -7.9542
5520.000000 116.541 -4.8632
5600.000000 116.776 -1.6376
5700.000000 117.213 1.1937
5800.000000 117.668 2.9963
5900.000000 118.041 3.0930
6000.000000 118.358 3.2054
6080.000000 118.405 2.4575
6150.000000 118.462 1.4209
6220.000000 118.437 1.0609
6300.000000 118.299 0.7137
6400.000000 118.085 0.6372
6500.000000 117.892 1.7063
6600.000000 117.675 3.2589
6700.000000 117.537 4.9888
6800.000000 117.384 7.2899
