* Measurement data measured by REW V5.31.1
* Source: Microphone (5- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Jul 24, 2025 3:25:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L DAYBREAK STOCK 811
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 88.203 -157.1574
20.600000 88.216 -157.9175
20.900000 88.221 -158.6107
21.200001 88.225 -159.3087
21.400000 88.227 -159.7766
21.799999 88.229 -160.7086
22.000000 88.231 -161.1666
22.400000 88.233 -162.0535
22.700001 88.236 -162.6896
23.000000 88.240 -163.3048
23.299999 88.243 -163.9076
23.600000 88.246 -164.5043
24.000000 88.246 -165.2946
24.299999 88.243 -165.8804
24.700001 88.236 -166.6454
25.000000 88.231 -167.2045
25.400000 88.224 -167.9346
25.799999 88.220 -168.6574
26.200001 88.217 -169.3786
26.500000 88.212 -169.9149
26.900000 88.203 -170.6131
27.200001 88.194 -171.1169
27.600000 88.180 -171.7599
28.000000 88.168 -172.3811
28.500000 88.153 -173.1555
29.000000 88.138 -173.9473
29.500000 88.119 -174.7419
30.000000 88.095 -175.5015
30.400000 88.077 -176.0697
30.700001 88.063 -176.4764
31.100000 88.048 -177.0077
31.500000 88.033 -177.5400
32.000000 88.011 -178.2106
32.500000 87.985 -178.8712
33.000000 87.960 -179.5118
33.500000 87.937 179.8503
34.000000 87.915 179.1981
34.500000 87.887 178.5565
35.000000 87.853 177.9748
35.500000 87.821 177.4621
36.000000 87.796 176.9563
36.500000 87.772 176.3909
37.000000 87.740 175.7766
37.500000 87.699 175.1888
38.200001 87.647 174.4757
38.700001 87.619 173.9815
39.500000 87.565 173.1501
40.000000 87.517 172.7014
40.599998 87.463 172.2804
41.200001 87.425 171.8566
41.799999 87.395 171.3148
42.500000 87.348 170.5911
43.099998 87.301 169.9979
43.700001 87.253 169.4639
44.400002 87.201 168.9300
45.000000 87.163 168.5224
45.500000 87.135 168.1599
46.200001 87.087 167.5921
46.799999 87.038 167.1038
47.500000 86.986 166.5299
48.200001 86.935 165.8868
48.700001 86.889 165.4452
49.400002 86.817 164.9922
50.000000 86.767 164.7291
50.799999 86.710 164.3900
51.500000 86.654 164.0814
52.200001 86.591 163.7336
53.000000 86.503 163.2149
53.799999 86.407 162.7033
54.500000 86.358 162.3088
55.200001 86.341 161.8341
56.000000 86.308 161.2686
57.000000 86.219 160.9172
58.000000 86.128 160.6544
59.000000 86.025 160.1659
60.000000 85.940 159.7407
60.799999 85.888 159.3544
61.500000 85.828 159.0603
62.200001 85.774 158.8992
63.000000 85.731 158.6407
64.000000 85.645 158.1451
65.000000 85.542 157.8579
66.000000 85.462 157.5528
67.000000 85.389 157.2092
68.000000 85.319 156.7896
69.000000 85.228 156.5411
70.000000 85.172 156.4794
71.000000 85.106 156.1561
72.000000 85.004 155.9535
73.000000 84.946 155.7773
74.000000 84.878 155.4445
75.000000 84.780 155.3813
76.199997 84.679 155.2144
77.500000 84.576 154.7726
78.800003 84.504 154.6152
80.000000 84.433 154.4133
81.199997 84.306 154.2141
82.500000 84.230 154.2944
83.800003 84.140 154.1853
85.000000 84.046 153.9641
86.199997 83.951 153.8428
87.500000 83.869 153.8162
88.500000 83.794 153.7761
90.000000 83.706 153.6997
91.199997 83.624 153.6041
92.500000 83.522 153.7018
93.800003 83.459 153.6501
95.000000 83.380 153.5177
96.199997 83.301 153.6006
97.500000 83.210 153.6175
98.800003 83.131 153.6654
100.000000 83.069 153.7139
101.500000 82.980 153.8389
103.000000 82.895 153.8671
104.400002 82.823 153.9819
106.000000 82.728 154.0576
107.500000 82.648 154.2119
109.000000 82.569 154.3112
110.599998 82.487 154.4802
112.000000 82.425 154.6523
113.800003 82.323 154.8739
115.000000 82.277 155.0160
117.199997 82.187 155.2242
118.000000 82.153 155.2829
120.599998 82.024 155.6334
122.000000 81.976 155.7995
124.099998 81.880 156.0559
125.000000 81.845 156.1384
126.500000 81.807 156.4141
128.000000 81.751 156.6925
131.500000 81.620 157.1226
132.000000 81.598 157.2378
134.000000 81.543 157.5375
136.000000 81.481 157.8674
138.000000 81.428 158.0822
140.000000 81.380 158.4173
143.000000 81.299 158.9587
145.000000 81.243 159.2858
147.500000 81.191 159.5621
150.000000 81.130 159.9913
152.500000 81.074 160.3904
155.000000 81.031 160.7454
157.500000 80.974 161.1233
160.000000 80.947 161.5020
162.500000 80.898 161.8597
165.000000 80.873 162.1492
167.500000 80.838 162.5652
170.000000 80.799 162.9156
172.500000 80.776 163.1872
175.000000 80.740 163.5659
177.500000 80.717 163.9193
180.000000 80.687 164.1673
182.500000 80.674 164.4969
185.000000 80.658 164.8610
187.500000 80.640 165.1081
190.000000 80.617 165.3420
192.500000 80.614 165.7188
195.000000 80.579 165.9820
197.500000 80.572 166.2036
200.000000 80.557 166.4841
203.000000 80.543 166.7625
206.000000 80.526 167.0354
209.000000 80.512 167.3933
212.000000 80.511 167.6318
214.000000 80.499 167.8531
218.000000 80.484 168.1366
220.000000 80.487 168.2687
224.000000 80.464 168.6219
227.000000 80.470 168.8885
230.000000 80.450 169.1563
233.000000 80.457 169.3083
236.000000 80.442 169.5129
240.000000 80.437 169.8043
243.000000 80.437 169.9897
247.000000 80.430 170.2269
250.000000 80.436 170.4070
254.000000 80.427 170.6639
258.000000 80.419 170.9050
262.000000 80.417 171.0569
265.000000 80.419 171.2120
269.000000 80.413 171.4065
272.000000 80.407 171.5555
276.000000 80.409 171.7078
280.000000 80.389 171.9382
285.000000 80.382 172.1435
290.000000 80.386 172.3227
295.000000 80.365 172.4113
300.000000 80.380 172.6530
304.000000 80.363 172.8990
307.000000 80.380 172.8730
311.000000 80.348 173.0904
315.000000 80.366 173.2320
320.000000 80.344 173.3846
325.000000 80.353 173.5253
330.000000 80.335 173.7532
335.000000 80.338 173.8298
340.000000 80.316 173.9917
345.000000 80.310 174.1192
350.000000 80.300 174.2711
355.000000 80.288 174.4741
360.000000 80.293 174.5053
365.000000 80.281 174.7466
370.000000 80.286 174.8494
375.000000 80.283 174.9574
382.000000 80.269 175.1084
387.000000 80.253 175.2159
395.000000 80.248 175.4413
400.000000 80.234 175.4767
406.000000 80.222 175.6619
412.000000 80.206 175.7853
418.000000 80.193 175.8094
425.000000 80.179 176.0903
431.000000 80.175 176.1461
437.000000 80.146 176.2990
444.000000 80.129 176.4178
450.000000 80.129 176.4860
455.000000 80.108 176.5818
462.000000 80.077 176.8246
468.000000 80.065 176.9143
475.000000 80.047 176.9397
482.000000 80.022 177.1181
487.000000 80.013 177.2917
494.000000 79.979 177.3813
500.000000 79.956 177.5513
508.000000 79.954 177.7903
515.000000 79.924 177.7959
522.000000 79.892 177.9918
530.000000 79.859 178.2106
538.000000 79.834 178.4477
545.000000 79.811 178.5495
552.000000 79.800 178.8883
560.000000 79.766 179.0985
570.000000 79.729 179.4026
580.000000 79.705 179.6417
590.000000 79.679 -179.9335
600.000000 79.627 -179.7973
608.000000 79.621 -179.5054
615.000000 79.587 -179.3297
622.000000 79.578 -179.2144
630.000000 79.529 -179.1107
640.000000 79.493 -178.6844
650.000000 79.452 -178.4052
660.000000 79.397 -178.0581
670.000000 79.363 -177.5313
680.000000 79.330 -177.2048
690.000000 79.279 -176.6373
700.000000 79.258 -176.3444
710.000000 79.227 -175.7227
720.000000 79.202 -175.2032
730.000000 79.175 -174.7621
740.000000 79.135 -174.3599
750.000000 79.105 -173.7498
762.000000 79.091 -173.1018
775.000000 79.057 -172.3179
788.000000 79.048 -171.6405
800.000000 79.028 -170.8768
812.000000 79.004 -170.1438
825.000000 79.015 -169.3999
838.000000 79.020 -168.6602
850.000000 79.007 -167.9119
862.000000 79.015 -167.0991
875.000000 79.060 -166.3501
885.000000 79.055 -165.6658
900.000000 79.113 -164.8171
912.000000 79.142 -164.0833
925.000000 79.156 -163.2720
938.000000 79.222 -162.5087
950.000000 79.263 -161.8598
962.000000 79.336 -161.1341
975.000000 79.390 -160.5596
988.000000 79.460 -159.8026
1000.000000 79.416 -159.3552
1015.000000 79.599 -158.5878
1030.000000 79.709 -157.8515
1044.000000 79.777 -157.3210
1060.000000 79.877 -156.8223
1075.000000 79.989 -156.2754
1090.000000 80.079 -155.8855
1106.000000 80.203 -155.5567
1120.000000 80.266 -155.1662
1138.000000 80.378 -154.8044
1150.000000 80.464 -154.6105
1172.000000 80.586 -154.1056
1180.000000 80.641 -153.9537
1206.000000 80.791 -153.7516
1220.000000 80.882 -153.5999
1241.000000 80.981 -153.3710
1250.000000 81.017 -153.2355
1265.000000 81.106 -153.1542
1280.000000 81.174 -153.0074
1315.000000 81.341 -152.8756
1320.000000 81.352 -152.8570
1340.000000 81.420 -152.7705
1360.000000 81.518 -152.7298
1380.000000 81.560 -152.4645
1400.000000 81.668 -152.4276
1430.000000 81.766 -152.1724
1450.000000 81.832 -152.0489
1475.000000 81.905 -152.0300
1500.000000 81.987 -151.8147
1525.000000 82.056 -151.6217
1550.000000 82.137 -151.3977
1575.000000 82.221 -151.3481
1600.000000 82.304 -151.0125
1625.000000 82.390 -150.8345
1650.000000 82.464 -150.6269
1675.000000 82.558 -150.5000
1700.000000 82.648 -150.2997
1725.000000 82.751 -150.0713
1750.000000 82.832 -149.8368
1775.000000 82.930 -149.8508
1800.000000 83.023 -149.5560
1825.000000 83.117 -149.4454
1850.000000 83.201 -149.2279
1875.000000 83.317 -149.0720
1900.000000 83.421 -148.9903
1925.000000 83.550 -148.7450
1950.000000 83.621 -148.7247
1975.000000 83.748 -148.5473
2000.000000 83.863 -148.8690
2030.000000 84.003 -148.5735
2060.000000 84.150 -148.5064
2090.000000 84.292 -148.4952
2120.000000 84.443 -148.5753
2140.000000 84.542 -148.6894
2180.000000 84.734 -148.8504
2200.000000 84.862 -148.9520
2240.000000 85.063 -149.2159
2270.000000 85.224 -149.5294
2300.000000 85.390 -149.8902
2330.000000 85.538 -150.2580
2360.000000 85.702 -150.7095
2400.000000 85.920 -151.3562
2430.000000 86.077 -151.9695
2470.000000 86.284 -152.8998
2500.000000 86.425 -153.6031
2540.000000 86.624 -154.7141
2580.000000 86.816 -155.8812
2620.000000 86.987 -157.1074
2650.000000 87.109 -158.2205
2690.000000 87.248 -159.6187
2720.000000 87.355 -160.7932
2760.000000 87.480 -162.2815
2800.000000 87.574 -163.9384
2850.000000 87.678 -166.0478
2900.000000 87.751 -168.1603
2950.000000 87.781 -170.3835
3000.000000 87.820 -172.3873
3040.000000 87.795 -174.0812
3070.000000 87.770 -175.3131
3110.000000 87.730 -176.8627
3150.000000 87.678 -178.4460
3200.000000 87.608 179.6463
3250.000000 87.506 177.8776
3300.000000 87.391 176.2749
3350.000000 87.265 174.8373
3400.000000 87.140 173.3946
3450.000000 87.018 172.1565
3500.000000 86.875 170.9472
3550.000000 86.730 169.8327
3600.000000 86.609 168.8317
3650.000000 86.481 167.9774
3700.000000 86.336 167.0118
3750.000000 86.211 166.0996
3820.000000 86.018 165.0020
3870.000000 85.901 164.2470
3950.000000 85.686 163.1740
4000.000000 85.515 162.8277
4060.000000 85.402 161.6937
4120.000000 85.233 160.8483
4180.000000 85.049 160.1137
4250.000000 84.834 159.4039
4310.000000 84.659 158.6993
4370.000000 84.463 158.3278
4440.000000 84.222 157.8683
4500.000000 84.021 157.5779
4550.000000 83.825 157.4075
4620.000000 83.602 157.3922
4680.000000 83.406 157.4212
4750.000000 83.182 157.5138
4820.000000 82.985 157.8958
4870.000000 82.829 157.9686
4940.000000 82.663 158.3278
5000.000000 82.581 158.9839
5080.000000 82.313 159.1764
5150.000000 82.175 159.7593
5220.000000 81.973 160.1407
5300.000000 81.812 160.6194
5380.000000 81.635 161.2144
5450.000000 81.463 161.7884
5520.000000 81.306 162.1373
5600.000000 81.123 163.0503
5700.000000 80.924 164.0473
5800.000000 80.690 165.1715
5900.000000 80.433 166.5766
6000.000000 80.171 168.5543
6080.000000 80.079 169.4222
6150.000000 79.956 170.7777
