* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Oct 31, 2024 2:15:30 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R DEUCE 336
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 124.670 176.4009
20.600000 124.651 175.6644
20.900000 124.626 174.9871
21.200001 124.599 174.3054
21.400000 124.581 173.8501
21.799999 124.546 172.9455
22.000000 124.530 172.5008
22.400000 124.499 171.6350
22.700001 124.478 171.0089
23.000000 124.457 170.4013
23.299999 124.436 169.8084
23.600000 124.415 169.2257
24.000000 124.384 168.4573
24.299999 124.359 167.8833
24.700001 124.323 167.1204
25.000000 124.294 166.5542
25.400000 124.254 165.8156
25.799999 124.214 165.1030
26.200001 124.177 164.4129
26.500000 124.151 163.9024
26.900000 124.116 163.2227
27.200001 124.088 162.7149
27.600000 124.046 162.0521
28.000000 123.999 161.4212
28.500000 123.943 160.6730
29.000000 123.894 159.9143
29.500000 123.849 159.0912
30.000000 123.800 158.2242
30.400000 123.754 157.5563
30.700001 123.719 157.0954
31.100000 123.673 156.5372
31.500000 123.632 156.0193
32.000000 123.581 155.3792
32.500000 123.525 154.7232
33.000000 123.464 154.0611
33.500000 123.402 153.3959
34.000000 123.345 152.7137
34.500000 123.291 152.0217
35.000000 123.237 151.3604
35.500000 123.184 150.7628
36.000000 123.131 150.2093
36.500000 123.077 149.6514
37.000000 123.016 149.0639
37.500000 122.947 148.4639
38.200001 122.852 147.6491
38.700001 122.791 147.0896
39.500000 122.700 146.2227
40.000000 122.641 145.7029
40.599998 122.566 145.0946
41.200001 122.487 144.4828
41.799999 122.409 143.8631
42.500000 122.324 143.1453
43.099998 122.254 142.5443
43.700001 122.181 141.9621
44.400002 122.089 141.3134
45.000000 122.007 140.7792
45.500000 121.941 140.3376
46.200001 121.855 139.7112
46.799999 121.783 139.1700
47.500000 121.693 138.5606
48.200001 121.598 137.9921
48.700001 121.530 137.5937
49.400002 121.438 137.0099
50.000000 121.361 136.4928
50.799999 121.258 135.8393
51.500000 121.170 135.3112
52.200001 121.080 134.7961
53.000000 120.972 134.2277
53.799999 120.862 133.6978
54.500000 120.765 133.2646
55.200001 120.673 132.8385
56.000000 120.574 132.2797
57.000000 120.437 131.5201
58.000000 120.304 130.9541
59.000000 120.187 130.3613
60.000000 120.040 129.7505
60.799999 119.930 129.3562
61.500000 119.842 128.9469
62.200001 119.746 128.5280
63.000000 119.636 128.1547
64.000000 119.509 127.6467
65.000000 119.361 127.1186
66.000000 119.221 126.6860
67.000000 119.086 126.2004
68.000000 118.951 125.7699
69.000000 118.821 125.2851
70.000000 118.679 124.8591
71.000000 118.552 124.5265
72.000000 118.418 124.1635
73.000000 118.273 123.8303
74.000000 118.133 123.5035
75.000000 118.008 123.1641
76.199997 117.848 122.7471
77.500000 117.674 122.3818
78.800003 117.489 122.0402
80.000000 117.331 121.7796
81.199997 117.156 121.4883
82.500000 117.007 121.1590
83.800003 116.822 120.9185
85.000000 116.667 120.6575
86.199997 116.511 120.3791
87.500000 116.357 120.1993
88.500000 116.203 120.1515
90.000000 116.012 120.0047
91.199997 115.866 119.8859
92.500000 115.698 119.8870
93.800003 115.503 119.7714
95.000000 115.350 119.6259
96.199997 115.195 119.6289
97.500000 115.065 119.6767
98.800003 114.875 119.6197
100.000000 114.725 119.7587
101.500000 114.543 119.7138
103.000000 114.357 119.8321
104.400002 114.166 119.8227
106.000000 113.993 119.9697
107.500000 113.815 120.2840
109.000000 113.654 120.4107
110.599998 113.432 120.6071
112.000000 113.249 120.7861
113.800003 113.102 121.2459
115.000000 112.969 121.3729
117.199997 112.711 121.8910
118.000000 112.633 122.0450
120.599998 112.329 122.8537
122.000000 112.252 122.9851
124.099998 111.998 123.8053
125.000000 111.900 123.9331
126.500000 111.725 124.5173
128.000000 111.618 125.0718
131.500000 111.321 126.1616
132.000000 111.291 126.2934
134.000000 111.111 127.1151
136.000000 110.892 127.6625
138.000000 110.783 128.4650
140.000000 110.613 129.2897
143.000000 110.403 130.1122
145.000000 110.255 131.3380
147.500000 110.124 132.3645
150.000000 109.913 133.6060
152.500000 109.822 134.2058
155.000000 109.639 135.4677
157.500000 109.546 136.5026
160.000000 109.415 137.7437
162.500000 109.277 138.7003
165.000000 109.208 139.5951
167.500000 109.120 140.5783
170.000000 109.050 141.8714
172.500000 108.962 142.9384
175.000000 108.914 144.0560
177.500000 108.845 145.1810
180.000000 108.725 145.8275
182.500000 108.744 146.7716
185.000000 108.683 147.6504
187.500000 108.634 148.4944
190.000000 108.670 149.5356
192.500000 108.610 150.4464
195.000000 108.564 151.2571
197.500000 108.562 152.0378
200.000000 108.543 152.8902
203.000000 108.496 153.7818
206.000000 108.477 154.6715
209.000000 108.532 155.4577
212.000000 108.486 156.3455
214.000000 108.475 156.9289
218.000000 108.439 157.9606
220.000000 108.482 158.4868
224.000000 108.489 159.3667
227.000000 108.478 159.9760
230.000000 108.464 160.7676
233.000000 108.487 161.7825
236.000000 108.524 162.1918
240.000000 108.491 162.9381
243.000000 108.523 163.5077
247.000000 108.510 163.9619
250.000000 108.508 164.6479
254.000000 108.544 165.5302
258.000000 108.508 166.2683
262.000000 108.553 166.8246
265.000000 108.535 167.2934
269.000000 108.569 167.6619
272.000000 108.591 168.0279
276.000000 108.589 168.6153
280.000000 108.691 168.9383
285.000000 108.634 169.6168
290.000000 108.676 170.4824
295.000000 108.698 171.1453
300.000000 108.704 171.8130
304.000000 108.737 172.2260
307.000000 108.713 172.0959
311.000000 108.737 172.6928
315.000000 108.793 172.8784
320.000000 108.784 173.6276
325.000000 108.786 174.2435
330.000000 108.825 174.5586
335.000000 108.809 175.1916
340.000000 108.844 175.4637
345.000000 108.841 175.8380
350.000000 108.889 176.3063
355.000000 108.911 176.7514
360.000000 108.872 176.8590
365.000000 108.930 177.4874
370.000000 108.936 177.8193
375.000000 108.943 178.0384
382.000000 108.971 178.4110
387.000000 108.982 178.7266
395.000000 108.975 179.2089
400.000000 109.006 179.9254
406.000000 109.019 -179.5099
412.000000 109.027 -179.6310
418.000000 109.040 -179.0924
425.000000 109.056 -178.7820
431.000000 109.073 -178.3253
437.000000 109.095 -178.0870
444.000000 109.080 -177.9129
450.000000 109.136 -177.8382
455.000000 109.154 -177.0905
462.000000 109.126 -177.0399
468.000000 109.148 -176.7910
475.000000 109.148 -176.2578
482.000000 109.139 -176.1287
487.000000 109.167 -175.7071
494.000000 109.172 -175.5325
500.000000 109.205 -175.3766
508.000000 109.171 -174.8594
515.000000 109.218 -174.4896
522.000000 109.200 -174.1425
530.000000 109.158 -173.5787
538.000000 109.219 -173.3347
545.000000 109.213 -173.2018
552.000000 109.222 -173.0415
560.000000 109.164 -172.7988
570.000000 109.260 -172.0232
580.000000 109.271 -171.6592
590.000000 109.269 -171.4196
600.000000 109.258 -170.7428
608.000000 109.237 -170.4053
615.000000 109.228 -169.7828
622.000000 109.270 -169.5633
630.000000 109.266 -169.6859
640.000000 109.266 -168.8734
650.000000 109.296 -168.6528
660.000000 109.262 -167.8625
670.000000 109.218 -167.6100
680.000000 109.209 -166.7368
690.000000 109.279 -166.3428
700.000000 109.256 -166.0316
710.000000 109.270 -165.1756
720.000000 109.326 -164.7167
730.000000 109.293 -164.2869
740.000000 109.314 -163.8982
750.000000 109.329 -163.0923
762.000000 109.366 -162.3672
775.000000 109.384 -161.9729
788.000000 109.371 -160.8946
800.000000 109.417 -160.6209
812.000000 109.476 -159.9984
825.000000 109.545 -159.5630
838.000000 109.512 -158.5268
850.000000 109.630 -158.1758
862.000000 109.653 -157.4832
875.000000 109.708 -156.5583
885.000000 109.747 -156.2838
900.000000 109.783 -155.6423
912.000000 109.854 -155.1055
925.000000 109.901 -154.1322
938.000000 110.002 -153.5685
950.000000 110.064 -153.2891
962.000000 110.117 -152.7189
975.000000 110.234 -152.1402
988.000000 110.280 -151.8038
1000.000000 110.465 -150.5200
1015.000000 110.493 -150.6852
1030.000000 110.492 -150.2233
1044.000000 110.656 -149.5919
1060.000000 110.752 -149.4735
1075.000000 110.847 -149.1282
1090.000000 110.919 -148.6611
1106.000000 111.014 -148.0707
1120.000000 111.125 -148.2245
1138.000000 111.223 -147.6034
1150.000000 111.260 -147.2208
1172.000000 111.426 -147.1031
1180.000000 111.449 -147.0528
1206.000000 111.617 -146.6328
1220.000000 111.713 -146.4346
1241.000000 111.776 -146.4810
1250.000000 111.825 -146.2973
1265.000000 111.896 -146.3352
1280.000000 111.937 -145.8289
1315.000000 112.131 -145.6158
1320.000000 112.133 -145.4546
1340.000000 112.199 -145.3755
1360.000000 112.287 -145.3633
1380.000000 112.400 -145.3257
1400.000000 112.478 -144.6742
1430.000000 112.609 -144.6084
1450.000000 112.649 -144.5120
1475.000000 112.769 -144.1299
1500.000000 112.868 -143.8764
1525.000000 112.981 -143.8498
1550.000000 113.109 -143.5975
1575.000000 113.233 -143.3887
1600.000000 113.328 -143.0994
1625.000000 113.451 -142.7124
1650.000000 113.584 -142.6761
1675.000000 113.682 -142.7751
1700.000000 113.741 -142.4192
1725.000000 113.900 -142.6133
1750.000000 113.969 -142.8375
1775.000000 114.094 -142.4161
1800.000000 114.202 -142.6156
1825.000000 114.306 -142.5234
1850.000000 114.427 -142.7059
1875.000000 114.499 -142.2253
1900.000000 114.627 -142.4424
1925.000000 114.736 -142.7494
1950.000000 114.831 -142.3923
1975.000000 114.919 -142.6509
2000.000000 115.111 -142.5156
2030.000000 115.135 -142.8408
2060.000000 115.255 -142.8590
2090.000000 115.371 -142.9743
2120.000000 115.506 -142.9452
2140.000000 115.586 -143.1374
2180.000000 115.748 -143.4467
2200.000000 115.835 -143.2269
2240.000000 116.028 -143.5916
2270.000000 116.104 -143.9592
2300.000000 116.248 -144.0120
2330.000000 116.381 -144.3609
2360.000000 116.537 -144.5843
2400.000000 116.708 -144.9356
2430.000000 116.831 -145.4840
2470.000000 116.985 -146.0064
2500.000000 117.124 -146.5048
2540.000000 117.310 -147.1796
2580.000000 117.436 -148.0090
2620.000000 117.626 -148.5558
2650.000000 117.723 -149.4835
2690.000000 117.870 -150.1475
2720.000000 117.982 -150.7521
2760.000000 118.130 -151.7033
2800.000000 118.261 -152.7061
2850.000000 118.442 -154.0938
2900.000000 118.539 -155.2241
2950.000000 118.703 -156.7273
3000.000000 118.828 -158.2619
3040.000000 118.895 -159.4775
3070.000000 118.977 -160.2988
3110.000000 119.070 -161.5117
3150.000000 119.124 -162.8054
3200.000000 119.228 -164.4818
3250.000000 119.261 -166.0411
3300.000000 119.315 -167.8614
3350.000000 119.359 -169.5555
3400.000000 119.363 -171.0188
3450.000000 119.391 -172.8271
3500.000000 119.360 -174.5466
3550.000000 119.332 -176.3486
3600.000000 119.317 -178.0406
3650.000000 119.230 -179.5666
3700.000000 119.178 178.7393
3750.000000 119.100 177.1456
3820.000000 118.966 175.1587
3870.000000 118.859 173.6089
3950.000000 118.653 171.3332
4000.000000 118.521 170.2798
4060.000000 118.378 168.5450
4120.000000 118.183 167.0923
4180.000000 117.990 165.8219
4250.000000 117.732 164.4614
4310.000000 117.512 163.4713
4370.000000 117.246 162.3570
4440.000000 117.021 161.2901
4500.000000 116.802 160.6895
4550.000000 116.589 160.1240
4620.000000 116.331 159.5290
4680.000000 116.099 159.2301
4750.000000 115.784 158.7994
4820.000000 115.505 158.6417
4870.000000 115.332 158.3849
4940.000000 115.059 158.3804
5000.000000 114.802 158.4793
5080.000000 114.517 158.6558
5150.000000 114.230 159.1123
5220.000000 114.035 159.4090
5300.000000 113.808 160.3248
5380.000000 113.503 160.9611
5450.000000 113.248 161.3816
5520.000000 113.132 162.3064
5600.000000 112.803 163.5168
5700.000000 112.605 165.1197
5800.000000 112.347 166.8357
5900.000000 112.188 168.0402
6000.000000 111.987 170.0476
6080.000000 111.833 171.1653
6150.000000 111.775 172.6574
6220.000000 111.696 174.0256
