* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.850
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Jul 26, 2024 8:11:32 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L DOSCINCO NEW UNIT 94
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 145.817 43.3372
20.600000 145.859 42.4829
20.900000 145.894 41.7199
21.200001 145.928 40.9657
21.400000 145.952 40.4624
21.799999 146.003 39.4539
22.000000 146.028 38.9508
22.400000 146.079 37.9580
22.700001 146.116 37.2364
23.000000 146.151 36.5413
23.299999 146.184 35.8715
23.600000 146.217 35.2225
24.000000 146.258 34.3804
24.299999 146.287 33.7609
24.700001 146.325 32.9481
25.000000 146.352 32.3468
25.400000 146.387 31.5523
25.799999 146.420 30.7611
26.200001 146.448 29.9743
26.500000 146.466 29.3947
26.900000 146.485 28.6488
27.200001 146.499 28.1149
27.600000 146.520 27.4316
28.000000 146.545 26.7591
28.500000 146.580 25.8996
29.000000 146.610 25.0228
29.500000 146.630 24.1759
30.000000 146.645 23.3912
30.400000 146.658 22.7895
30.700001 146.669 22.3346
31.100000 146.683 21.7148
31.500000 146.695 21.0986
32.000000 146.705 20.3840
32.500000 146.718 19.7419
33.000000 146.737 19.0955
33.500000 146.750 18.3747
34.000000 146.748 17.6225
34.500000 146.742 16.9450
35.000000 146.755 16.3465
35.500000 146.791 15.7068
36.000000 146.820 14.9862
36.500000 146.810 14.3651
37.000000 146.774 14.0752
37.500000 146.759 14.0493
38.200001 146.813 13.6738
38.700001 146.854 12.8140
39.500000 146.829 11.1333
40.000000 146.797 10.4184
40.599998 146.799 9.8607
41.200001 146.823 9.2789
41.799999 146.823 8.6424
42.500000 146.800 7.9989
43.099998 146.795 7.4407
43.700001 146.795 6.7795
44.400002 146.784 6.0403
45.000000 146.774 5.5363
45.500000 146.771 5.1339
46.200001 146.764 4.5101
46.799999 146.751 3.9628
47.500000 146.740 3.3509
48.200001 146.735 2.7230
48.700001 146.728 2.2682
49.400002 146.711 1.6670
50.000000 146.697 1.1899
50.799999 146.683 0.5750
51.500000 146.675 0.0378
52.200001 146.666 -0.5076
53.000000 146.646 -1.1239
53.799999 146.620 -1.6913
54.500000 146.600 -2.1721
55.200001 146.583 -2.6944
56.000000 146.561 -3.3186
57.000000 146.538 -4.0459
58.000000 146.512 -4.7148
59.000000 146.474 -5.2365
60.000000 146.449 -5.8092
60.799999 146.423 -6.4214
61.500000 146.395 -6.9218
62.200001 146.373 -7.3329
63.000000 146.356 -7.7768
64.000000 146.325 -8.3607
65.000000 146.286 -8.9741
66.000000 146.248 -9.5917
67.000000 146.211 -10.1210
68.000000 146.181 -10.6370
69.000000 146.147 -11.1954
70.000000 146.111 -11.7043
71.000000 146.073 -12.2404
72.000000 146.023 -12.7519
73.000000 145.983 -13.2361
74.000000 145.941 -13.6898
75.000000 145.909 -14.1739
76.199997 145.851 -14.9641
77.500000 145.790 -15.3882
78.800003 145.750 -15.8895
80.000000 145.688 -16.4191
81.199997 145.647 -16.9837
82.500000 145.586 -17.4654
83.800003 145.522 -17.9798
85.000000 145.462 -18.4195
86.199997 145.414 -18.8308
87.500000 145.352 -19.3341
88.500000 145.307 -19.7563
90.000000 145.239 -20.2653
91.199997 145.178 -20.6143
92.500000 145.113 -21.1018
93.800003 145.050 -21.5169
95.000000 145.005 -21.8996
96.199997 144.935 -22.2399
97.500000 144.878 -22.6861
98.800003 144.808 -23.0152
100.000000 144.755 -23.3802
101.500000 144.667 -23.7300
103.000000 144.600 -24.1929
104.400002 144.523 -24.2890
106.000000 144.460 -24.9848
107.500000 144.350 -25.0836
109.000000 144.318 -25.6094
110.599998 144.162 -25.9653
112.000000 144.136 -25.7764
113.800003 144.068 -26.8017
115.000000 143.948 -26.8401
117.199997 143.918 -26.8686
118.000000 143.880 -27.1724
120.599998 143.636 -28.7477
122.000000 143.579 -27.8634
124.099998 143.481 -27.8755
125.000000 143.454 -28.0435
126.500000 143.398 -28.1712
128.000000 143.327 -28.4544
131.500000 143.152 -28.9229
132.000000 143.130 -29.0175
134.000000 143.023 -29.1771
136.000000 142.902 -29.3881
138.000000 142.804 -29.5451
140.000000 142.707 -29.5688
143.000000 142.568 -29.7839
145.000000 142.455 -29.8922
147.500000 142.348 -29.9243
150.000000 142.223 -29.9439
152.500000 142.088 -29.9961
155.000000 141.991 -30.0143
157.500000 141.872 -29.8988
160.000000 141.766 -29.9035
162.500000 141.647 -29.8239
165.000000 141.545 -29.8415
167.500000 141.440 -29.7308
170.000000 141.328 -29.5029
172.500000 141.231 -29.4579
175.000000 141.120 -29.2719
177.500000 141.016 -29.0659
180.000000 140.906 -28.9105
182.500000 140.830 -28.6761
185.000000 140.729 -28.3562
187.500000 140.629 -28.1448
190.000000 140.555 -27.9830
192.500000 140.467 -27.8214
195.000000 140.377 -27.4041
197.500000 140.305 -27.1101
200.000000 140.236 -26.8537
203.000000 140.162 -26.5158
206.000000 140.060 -25.8517
209.000000 139.912 -25.4280
212.000000 139.852 -25.4078
214.000000 139.851 -25.2313
218.000000 139.672 -24.5964
220.000000 139.695 -24.5520
224.000000 139.552 -23.4728
227.000000 139.574 -22.9515
230.000000 139.536 -22.7323
233.000000 139.392 -22.5387
236.000000 139.350 -21.7083
240.000000 139.307 -21.4632
243.000000 139.226 -20.8507
247.000000 139.199 -21.0364
250.000000 139.099 -20.0843
254.000000 139.115 -19.7685
258.000000 139.027 -18.6080
262.000000 138.947 -18.8232
265.000000 138.905 -17.9254
269.000000 138.991 -17.4908
272.000000 138.913 -17.4177
276.000000 138.873 -16.0671
280.000000 138.836 -16.3235
285.000000 138.900 -15.5167
290.000000 138.795 -14.4648
295.000000 138.653 -13.3407
300.000000 138.457 -13.4661
304.000000 138.952 -13.5023
307.000000 138.776 -14.0184
311.000000 138.672 -11.7352
315.000000 138.672 -12.4356
320.000000 138.649 -11.5294
325.000000 138.636 -10.9308
330.000000 138.591 -10.6020
335.000000 138.622 -10.1408
340.000000 138.641 -9.7493
345.000000 138.606 -9.4276
350.000000 138.571 -8.8499
355.000000 138.575 -8.4903
360.000000 138.599 -8.2528
365.000000 138.616 -7.7577
370.000000 138.560 -7.5179
375.000000 138.534 -7.0037
382.000000 138.491 -5.9281
387.000000 138.584 -6.3468
395.000000 138.584 -5.6480
400.000000 138.579 -5.5474
406.000000 138.568 -4.9446
412.000000 138.571 -4.6912
418.000000 138.564 -4.4505
425.000000 138.522 -4.1870
431.000000 138.594 -3.6794
437.000000 138.528 -3.4455
444.000000 138.581 -3.2575
450.000000 138.540 -2.6791
455.000000 138.529 -2.6427
462.000000 138.530 -2.3787
468.000000 138.563 -1.8123
475.000000 138.533 -1.8275
482.000000 138.442 -1.4799
487.000000 138.509 -0.9095
494.000000 138.547 -0.3739
500.000000 138.512 0.3344
508.000000 138.480 0.3343
515.000000 138.448 0.5100
522.000000 138.410 1.0594
530.000000 138.473 1.5203
538.000000 138.497 1.5347
545.000000 138.466 2.2697
552.000000 138.454 2.6307
560.000000 138.462 2.8108
570.000000 138.430 3.4650
580.000000 138.544 3.7691
590.000000 138.533 3.5028
600.000000 138.444 3.9854
608.000000 138.451 5.1111
615.000000 138.406 5.0431
622.000000 138.460 5.3950
630.000000 138.428 6.0548
640.000000 138.453 6.2834
650.000000 138.380 6.7427
660.000000 138.444 7.1713
670.000000 138.438 7.5810
680.000000 138.444 8.3251
690.000000 138.421 8.8974
700.000000 138.455 9.3129
710.000000 138.440 9.8186
720.000000 138.473 10.3123
730.000000 138.488 10.8888
740.000000 138.502 11.2380
750.000000 138.521 11.6967
762.000000 138.529 12.2558
775.000000 138.548 12.7986
788.000000 138.568 13.5263
800.000000 138.588 14.1155
812.000000 138.593 14.7730
825.000000 138.624 15.3949
838.000000 138.661 16.0354
850.000000 138.686 16.6976
862.000000 138.728 17.2527
875.000000 138.786 18.1158
885.000000 138.799 18.7665
900.000000 138.862 19.4939
912.000000 138.916 19.8466
925.000000 138.993 20.5621
938.000000 139.070 21.2129
950.000000 139.148 21.6409
962.000000 139.214 22.0931
975.000000 139.304 22.5910
988.000000 139.388 23.1530
1000.000000 139.401 23.4767
1015.000000 139.549 24.0203
1030.000000 139.661 24.6604
1044.000000 139.754 24.9882
1060.000000 139.859 25.5299
1075.000000 139.968 25.7901
1090.000000 140.076 26.0772
1106.000000 140.164 26.4263
1120.000000 140.262 26.5326
1138.000000 140.388 26.7672
1150.000000 140.485 26.7297
1172.000000 140.633 27.1050
1180.000000 140.660 27.2136
1206.000000 140.819 27.3871
1220.000000 140.889 27.2822
1241.000000 141.002 27.3698
1250.000000 141.050 27.4181
1265.000000 141.129 27.3934
1280.000000 141.191 27.4274
1315.000000 141.342 27.2899
1320.000000 141.386 27.3366
1340.000000 141.475 27.4595
1360.000000 141.555 27.3214
1380.000000 141.635 27.3017
1400.000000 141.720 27.2672
1430.000000 141.826 27.2151
1450.000000 141.905 27.2015
1475.000000 141.988 27.1386
1500.000000 142.080 27.0646
1525.000000 142.168 27.0324
1550.000000 142.253 26.9816
1575.000000 142.333 26.9490
1600.000000 142.418 26.8817
1625.000000 142.497 26.7915
1650.000000 142.581 26.7354
1675.000000 142.662 26.6528
1700.000000 142.741 26.5334
1725.000000 142.822 26.4525
1750.000000 142.902 26.3543
1775.000000 142.985 26.2177
1800.000000 143.061 26.1033
1825.000000 143.143 25.9869
1850.000000 143.214 25.7902
1875.000000 143.292 25.6465
1900.000000 143.368 25.4778
1925.000000 143.443 25.2405
1950.000000 143.520 25.0404
1975.000000 143.595 24.8256
2000.000000 143.641 24.7630
2030.000000 143.751 24.2725
2060.000000 143.833 23.9767
2090.000000 143.915 23.6291
2120.000000 143.997 23.2549
2140.000000 144.047 23.0139
2180.000000 144.147 22.4843
2200.000000 144.196 22.1863
2240.000000 144.284 21.6309
2270.000000 144.353 21.1610
2300.000000 144.415 20.6955
2330.000000 144.473 20.2174
2360.000000 144.530 19.7237
2400.000000 144.595 19.0445
2430.000000 144.640 18.5553
2470.000000 144.698 17.8670
2500.000000 144.739 17.3472
2540.000000 144.784 16.6606
2580.000000 144.829 15.9681
2620.000000 144.871 15.2797
2650.000000 144.899 14.7495
2690.000000 144.934 14.0497
2720.000000 144.954 13.5201
2760.000000 144.984 12.8003
2800.000000 145.007 12.0435
2850.000000 145.030 11.0699
2900.000000 145.046 10.1249
2950.000000 145.048 9.1251
3000.000000 145.068 8.3121
3040.000000 145.030 7.3742
3070.000000 145.014 6.8318
3110.000000 144.992 6.0716
3150.000000 144.966 5.3178
3200.000000 144.902 4.4396
3250.000000 144.843 3.6244
3300.000000 144.768 2.8955
3350.000000 144.696 2.2692
3400.000000 144.618 1.7341
3450.000000 144.543 1.2808
3500.000000 144.467 0.8927
3550.000000 144.401 0.5736
3600.000000 144.344 0.3101
3650.000000 144.293 0.1244
3700.000000 144.247 -0.0952
3750.000000 144.211 -0.3281
3820.000000 144.167 -0.5750
3870.000000 144.144 -0.8344
3950.000000 144.107 -1.4128
4000.000000 144.070 -1.9460
4060.000000 144.014 -2.2305
4120.000000 143.894 -2.5737
4180.000000 143.755 -1.8863
4250.000000 143.910 -1.2664
4310.000000 143.977 -1.6754
4370.000000 144.023 -2.2155
4440.000000 144.064 -2.9876
4500.000000 144.085 -3.7450
4550.000000 144.095 -4.4999
4620.000000 144.065 -5.6652
4680.000000 144.006 -6.6519
4750.000000 143.900 -7.7438
4820.000000 143.771 -8.7495
4870.000000 143.666 -9.4306
4940.000000 143.480 -10.1613
5000.000000 143.325 -10.6976
5080.000000 143.059 -10.9619
5150.000000 142.836 -10.9891
5220.000000 142.628 -10.6394
5300.000000 142.427 -9.9690
5380.000000 142.257 -9.0649
5450.000000 142.152 -8.1294
5520.000000 142.095 -7.0902
5600.000000 142.085 -6.0017
5700.000000 142.184 -4.8396
5800.000000 142.369 -4.3251
5900.000000 142.612 -4.9620
6000.000000 142.813 -7.0025
