* Measurement data measured by REW V5.20.13
* Source: C:\Users\marcu\OneDrive\Desktop\audio_db\DUNU Kima Foam L.txt
* Format: Comma/Tab/Space delimited data
* Dated: Jul 4, 2023 9:04:08 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\marcu\OneDrive\Desktop\audio_db\DUNU Kima Foam L.txt Format: Comma/Tab/Space delimited data 54613 values loaded, 0 Hz to 20,000 Hz 
* Measurement: DUNU Kima Foam L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	59.393	121.8724
1.015000	59.228	120.9280
1.030000	59.057	119.9726
1.044000	58.893	119.0700
1.060000	58.700	118.0249
1.075000	58.512	117.0310
1.090000	58.318	116.0226
1.106000	58.105	114.9397
1.120000	57.916	114.0380
1.138000	57.670	112.9456
1.150000	57.503	112.2519
1.172000	57.193	111.0343
1.180000	57.078	110.6044
1.206000	56.697	109.2314
1.220000	56.487	108.4954
1.241000	56.164	107.3752
1.250000	56.022	106.8837
1.265000	55.782	106.0421
1.280000	55.537	105.1644
1.315000	54.941	102.9240
1.320000	54.853	102.5769
1.340000	54.493	101.1074
1.360000	54.120	99.4916
1.380000	53.735	97.7076
1.400000	53.335	95.7334
1.430000	52.706	92.3680
1.450000	52.268	89.8229
1.475000	51.688	86.2665
1.500000	51.019	82.3021
1.525000	50.263	77.9692
1.550000	49.439	73.3066
1.575000	48.567	68.3531
1.600000	47.666	63.1478
1.625000	46.755	57.7295
1.650000	45.853	52.1370
1.675000	44.980	46.4093
1.700000	44.154	40.5852
1.725000	43.395	34.7037
1.750000	42.723	28.8037
1.775000	42.156	22.9239
1.800000	41.713	17.1034
1.825000	41.415	11.3809
1.850000	41.275	5.6363
1.875000	41.286	-0.4513
1.900000	41.429	-6.8218
1.925000	41.685	-13.3985
1.950000	42.036	-20.1050
1.975000	42.462	-26.8645
2.000000	42.947	-33.6004
2.030000	43.578	-41.5446
2.060000	44.234	-49.2121
2.090000	44.882	-56.4705
2.120000	45.491	-63.1875
2.140000	45.858	-67.2994
2.180000	46.460	-74.4677
2.200000	46.676	-77.4467
2.240000	47.029	-82.3474
2.270000	47.262	-85.2417
2.300000	47.468	-87.5443
2.330000	47.649	-89.3255
2.360000	47.806	-90.6556
2.400000	47.983	-91.8487
2.430000	48.092	-92.3992
2.470000	48.209	-92.8079
2.500000	48.277	-92.9614
2.540000	48.345	-93.0956
2.580000	48.383	-93.2456
2.620000	48.342	-93.0467
2.650000	48.264	-92.6253
2.690000	48.115	-91.7360
2.720000	47.984	-90.8479
2.760000	47.799	-89.4044
2.800000	47.627	-87.7055
2.850000	47.465	-85.2901
