* Measurement data measured by REW V5.20.13
* Source: C:\Users\marcu\OneDrive\Desktop\audio_db\DUNU SA6 s.Off Foam R.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 5:52:16 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\marcu\OneDrive\Desktop\audio_db\DUNU SA6 s.Off Foam R.txt Format: Comma/Tab/Space delimited data 54613 values loaded, 0 Hz to 20,000 Hz 
* Measurement: DUNU SA6 s.Off Foam R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	68.493	-94.1864
1.015000	68.389	-95.6020
1.030000	68.281	-97.0205
1.044000	68.177	-98.3474
1.060000	68.055	-99.8676
1.075000	67.935	-101.2966
1.090000	67.811	-102.7297
1.106000	67.675	-104.2597
1.120000	67.557	-105.5814
1.138000	67.408	-107.2561
1.150000	67.309	-108.3597
1.172000	67.127	-110.3624
1.180000	67.061	-111.0856
1.206000	66.843	-113.4258
1.220000	66.723	-114.6836
1.241000	66.537	-116.5746
1.250000	66.455	-117.3884
1.265000	66.315	-118.7520
1.280000	66.169	-120.1274
1.315000	65.803	-123.4007
1.320000	65.748	-123.8774
1.340000	65.517	-125.8118
1.360000	65.270	-127.7960
1.380000	65.005	-129.8376
1.400000	64.720	-131.9445
1.430000	64.253	-135.2440
1.450000	63.912	-137.5476
1.475000	63.445	-140.5197
1.500000	62.886	-143.2954
1.525000	62.242	-145.8706
1.550000	61.529	-148.3259
1.575000	60.765	-150.7417
1.600000	59.967	-153.1987
1.625000	59.153	-155.7774
1.650000	58.339	-158.5582
1.675000	57.544	-161.6218
1.700000	56.785	-165.0487
1.725000	56.080	-168.9194
1.750000	55.445	-173.3144
1.775000	54.898	-178.3143
1.800000	54.456	176.0004
1.825000	54.138	169.5491
1.850000	53.945	162.0958
1.875000	53.847	153.3374
1.900000	53.834	143.4615
1.925000	53.899	132.6743
1.950000	54.033	121.1823
1.975000	54.227	109.1917
2.000000	54.473	96.9090
2.030000	54.826	82.0745
2.060000	55.228	67.4728
2.090000	55.665	53.4604
2.120000	56.121	40.3939
2.140000	56.430	32.3844
2.180000	57.038	18.5246
2.200000	57.329	12.8823
2.240000	57.979	3.6895
2.270000	58.542	-1.7639
2.300000	59.154	-6.1694
2.330000	59.802	-9.6963
2.360000	60.473	-12.5132
2.400000	61.379	-15.4568
2.430000	62.050	-17.2741
