* Measurement data measured by REW V5.20.13
* Source: C:\Users\marcu\OneDrive\Desktop\audio_db\DUNU SA6 s.On Foam L.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 5:52:16 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\marcu\OneDrive\Desktop\audio_db\DUNU SA6 s.On Foam L.txt Format: Comma/Tab/Space delimited data 54613 values loaded, 0 Hz to 20,000 Hz 
* Measurement: DUNU SA6 s.On Foam L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1.000000	67.849	-119.3357
1.015000	67.821	-120.7925
1.030000	67.790	-122.2487
1.044000	67.758	-123.6081
1.060000	67.718	-125.1629
1.075000	67.676	-126.6227
1.090000	67.629	-128.0855
1.106000	67.576	-129.6469
1.120000	67.528	-130.9978
1.138000	67.465	-132.7117
1.150000	67.422	-133.8417
1.172000	67.341	-135.8915
1.180000	67.310	-136.6310
1.206000	67.206	-139.0185
1.220000	67.147	-140.2970
1.241000	67.053	-142.2106
1.250000	67.011	-143.0305
1.265000	66.938	-144.3985
1.280000	66.861	-145.7705
1.315000	66.664	-148.9999
1.320000	66.634	-149.4657
1.340000	66.507	-151.3435
1.360000	66.371	-153.2487
1.380000	66.225	-155.1866
1.400000	66.068	-157.1628
1.430000	65.810	-160.2105
1.450000	65.622	-162.3060
1.475000	65.367	-164.9797
1.500000	65.078	-167.5025
1.525000	64.757	-169.8714
1.550000	64.409	-172.1433
1.575000	64.039	-174.3752
1.600000	63.651	-176.6240
1.625000	63.250	-178.9464
1.650000	62.842	178.6007
1.675000	62.431	175.9602
1.700000	62.023	173.0755
1.725000	61.620	169.8895
1.750000	61.230	166.3455
1.775000	60.856	162.3865
1.800000	60.504	157.9556
1.825000	60.178	152.9960
1.850000	59.863	147.3805
1.875000	59.522	140.9737
1.900000	59.162	133.8828
1.925000	58.791	126.2237
1.950000	58.418	118.1125
1.975000	58.052	109.6651
2.000000	57.704	100.9976
2.030000	57.319	90.4694
2.060000	56.988	79.9915
2.090000	56.724	69.7646
2.120000	56.544	59.9890
2.140000	56.478	53.8216
2.180000	56.497	42.5935
2.200000	56.592	37.6487
2.240000	56.992	28.6047
2.270000	57.463	22.3389
2.300000	58.050	16.4796
2.330000	58.730	10.9939
2.360000	59.477	5.8489
2.400000	60.533	-0.5380
2.430000	61.338	-5.0160
2.470000	62.380	-10.6331
2.500000	63.106	-14.6235
2.540000	63.952	-19.7099
2.580000	64.617	-24.5554
2.620000	65.190	-28.8518
2.650000	65.582	-31.7112
2.690000	66.057	-35.1164
2.720000	66.382	-37.4172
2.760000	66.780	-40.2244
2.800000	67.144	-42.8213
2.850000	67.561	-45.9179
2.900000	67.950	-49.0227
2.950000	68.320	-52.2802
3.000000	68.644	-55.4382
3.040000	68.870	-57.8447
3.070000	69.021	-59.5847
3.110000	69.202	-61.8240
3.150000	69.362	-63.9781
3.200000	69.538	-66.5625
3.250000	69.693	-69.0403
3.300000	69.835	-71.4261
3.350000	69.953	-73.7197
3.400000	70.041	-75.9089
3.450000	70.103	-77.9865
3.500000	70.145	-79.9451
3.550000	70.170	-81.7773
3.600000	70.185	-83.4761
3.650000	70.193	-85.0339
3.700000	70.193	-86.4473
3.750000	70.170	-87.7232
3.820000	70.113	-89.2847
3.870000	70.062	-90.2436
3.950000	69.982	-91.5151
4.000000	69.943	-92.1504
4.060000	69.912	-92.7366
4.120000	69.879	-93.0583
4.180000	69.847	-93.1661
4.250000	69.823	-93.1121
4.310000	69.822	-92.9895
4.370000	69.846	-92.8684
4.440000	69.915	-92.7411
4.500000	70.004	-92.5111
4.550000	70.096	-92.2712
4.620000	70.245	-91.9392
4.680000	70.386	-91.7303
4.750000	70.558	-91.6683
4.820000	70.744	-91.8280
4.870000	70.893	-92.0244
4.940000	71.114	-92.4095
5.000000	71.307	-92.8395
5.080000	71.553	-93.5516
5.150000	71.746	-94.3055
5.220000	71.931	-95.2290
5.300000	72.132	-96.4561
