* Measurement data measured by REW V5.31.1
* Source: Microphone (4- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Dec 16, 2025 11:41:25 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L kz duonic 1122 1345
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 86.216 -163.5202
20.600000 86.232 -164.0726
20.900000 86.243 -164.6486
21.200001 86.245 -165.2584
21.400000 86.241 -165.6509
21.799999 86.228 -166.3546
22.000000 86.221 -166.6536
22.400000 86.218 -167.1653
22.700001 86.227 -167.5297
23.000000 86.240 -167.9318
23.299999 86.250 -168.3847
23.600000 86.254 -168.8688
24.000000 86.244 -169.5072
24.299999 86.230 -169.9408
24.700001 86.211 -170.4475
25.000000 86.202 -170.7955
25.400000 86.196 -171.2528
25.799999 86.192 -171.7171
26.200001 86.188 -172.1762
26.500000 86.187 -172.5155
26.900000 86.189 -172.9807
27.200001 86.191 -173.3579
27.600000 86.190 -173.9009
28.000000 86.177 -174.4400
28.500000 86.149 -174.9963
29.000000 86.130 -175.3954
29.500000 86.130 -175.7742
30.000000 86.137 -176.2735
30.400000 86.131 -176.7336
30.700001 86.119 -177.0623
31.100000 86.102 -177.4374
31.500000 86.096 -177.7691
32.000000 86.102 -178.2392
32.500000 86.100 -178.8184
33.000000 86.072 -179.3578
33.500000 86.034 -179.6958
34.000000 86.021 -179.9080
34.500000 86.035 179.7430
35.000000 86.038 179.1633
35.500000 86.003 178.5755
36.000000 85.954 178.2380
36.500000 85.937 178.0853
37.000000 85.955 177.7847
37.500000 85.960 177.2039
38.200001 85.892 176.4591
38.700001 85.840 176.3257
39.500000 85.864 176.1494
40.000000 85.891 175.6234
40.599998 85.862 174.8562
41.200001 85.797 174.4390
41.799999 85.766 174.2575
42.500000 85.764 173.8840
43.099998 85.746 173.4932
43.700001 85.724 173.2376
44.400002 85.726 172.9703
45.000000 85.738 172.5106
45.500000 85.719 171.9440
46.200001 85.622 171.3109
46.799999 85.539 171.3981
47.500000 85.588 171.6471
48.200001 85.675 170.8534
48.700001 85.633 170.0464
49.400002 85.513 169.8542
50.000000 85.535 169.9829
50.799999 85.565 168.9478
51.500000 85.420 168.5431
52.200001 85.421 169.1821
53.000000 85.543 168.3130
53.799999 85.366 167.4016
54.500000 85.340 168.2104
55.200001 85.511 167.5494
56.000000 85.369 165.8995
57.000000 85.291 167.2543
58.000000 85.501 165.2812
59.000000 85.104 164.6087
60.000000 85.311 165.6667
60.799999 85.322 163.4420
61.500000 85.027 163.2628
62.200001 85.023 164.7642
63.000000 85.259 164.0625
64.000000 85.050 161.8990
65.000000 84.875 163.2169
66.000000 85.102 163.0552
67.000000 84.986 161.1947
68.000000 84.774 161.3651
69.000000 84.886 161.4500
70.000000 84.953 160.1475
71.000000 84.803 159.2928
72.000000 84.644 159.6169
73.000000 84.714 159.9124
74.000000 84.859 158.6134
75.000000 84.727 157.2238
76.199997 84.505 158.5657
77.500000 84.719 159.2184
78.800003 84.610 157.1547
80.000000 84.118 157.4781
81.199997 84.160 159.0129
82.500000 84.140 157.6355
83.800003 84.155 158.8876
85.000000 84.180 157.5435
86.199997 84.224 158.2591
87.500000 84.273 157.6581
88.500000 84.420 158.0212
90.000000 84.809 154.7937
91.199997 84.552 155.2982
92.500000 84.252 156.2074
93.800003 84.181 154.6530
95.000000 84.450 153.3580
96.199997 84.459 153.5557
97.500000 84.000 153.3978
98.800003 84.075 151.0535
100.000000 84.402 151.5346
101.500000 83.993 152.3814
103.000000 83.813 150.3689
104.400002 83.946 150.3662
106.000000 83.768 150.3571
107.500000 83.749 148.4301
109.000000 83.836 149.1239
110.599998 83.634 149.1296
112.000000 83.634 148.5726
113.800003 83.476 147.7150
115.000000 83.413 147.5403
117.199997 83.301 146.7341
118.000000 83.285 146.6753
120.599998 83.288 145.0685
122.000000 83.085 145.7748
124.099998 82.983 145.0684
125.000000 82.976 145.3558
126.500000 82.895 144.1241
128.000000 82.972 144.2584
131.500000 82.732 143.1487
132.000000 82.644 143.2397
134.000000 82.531 142.6707
136.000000 82.557 142.9327
138.000000 82.295 142.1329
140.000000 82.335 141.6090
143.000000 82.272 141.5835
145.000000 82.041 141.9110
147.500000 81.949 140.9826
150.000000 81.887 140.1060
152.500000 81.814 140.0268
155.000000 81.689 139.4525
157.500000 81.577 139.0756
160.000000 81.492 138.6578
162.500000 81.341 138.3310
165.000000 81.228 138.0091
167.500000 81.110 137.7700
170.000000 80.992 137.1466
172.500000 80.851 137.1558
175.000000 80.744 136.7209
177.500000 80.601 136.4919
180.000000 80.496 136.4347
182.500000 80.366 136.0925
185.000000 80.193 135.9125
187.500000 80.112 135.6694
190.000000 79.976 135.4040
192.500000 79.849 135.5443
195.000000 79.765 135.3686
197.500000 79.621 135.2286
200.000000 79.507 135.0799
203.000000 79.352 135.0363
206.000000 79.218 134.9733
209.000000 79.066 134.7012
212.000000 78.929 135.0389
214.000000 78.838 134.7571
218.000000 78.646 134.8745
220.000000 78.527 134.9166
224.000000 78.316 135.1639
227.000000 78.193 135.2812
230.000000 78.060 135.2602
233.000000 77.904 135.4422
236.000000 77.767 135.7432
240.000000 77.590 135.7929
243.000000 77.445 135.9199
247.000000 77.288 136.6200
250.000000 77.162 136.5929
254.000000 76.991 136.8534
258.000000 76.854 137.2222
262.000000 76.670 137.6323
265.000000 76.562 138.1803
269.000000 76.387 138.4181
272.000000 76.301 138.8877
276.000000 76.174 139.3347
280.000000 75.987 139.8199
285.000000 75.821 140.5665
290.000000 75.623 141.3441
295.000000 75.484 142.3627
300.000000 75.347 142.8023
304.000000 75.197 143.5034
307.000000 75.100 144.1071
311.000000 74.983 144.4315
315.000000 74.877 145.2424
320.000000 74.746 146.4180
325.000000 74.624 147.0091
330.000000 74.526 147.9095
335.000000 74.427 148.8721
340.000000 74.318 149.6524
345.000000 74.250 150.6522
350.000000 74.142 151.5965
355.000000 74.010 152.5294
360.000000 73.963 153.4017
365.000000 73.906 154.2895
370.000000 73.769 155.3337
375.000000 73.732 156.2592
382.000000 73.648 157.1852
387.000000 73.645 158.3707
395.000000 73.574 159.5740
400.000000 73.527 160.2768
406.000000 73.473 161.6052
412.000000 73.400 162.7306
418.000000 73.424 163.4939
425.000000 73.352 164.6074
431.000000 73.378 165.4536
437.000000 73.354 166.6031
444.000000 73.320 167.6703
450.000000 73.325 168.2359
455.000000 73.300 168.9821
462.000000 73.329 170.1814
468.000000 73.297 170.9859
475.000000 73.370 171.8699
482.000000 73.319 172.7583
487.000000 73.355 173.3698
494.000000 73.383 174.0520
500.000000 73.356 174.8305
508.000000 73.377 175.6978
515.000000 73.410 176.2465
522.000000 73.433 176.8414
530.000000 73.480 177.4590
538.000000 73.483 178.1911
545.000000 73.485 179.0179
552.000000 73.525 179.4296
560.000000 73.522 -179.6357
570.000000 73.482 -178.8078
580.000000 73.518 -178.2441
590.000000 73.567 -177.2653
600.000000 73.552 -176.3273
608.000000 73.576 -175.5782
615.000000 73.575 -175.4464
622.000000 73.627 -174.9169
630.000000 73.622 -174.2292
640.000000 73.677 -173.3536
650.000000 73.686 -172.6956
660.000000 73.714 -172.0217
670.000000 73.751 -171.0950
680.000000 73.809 -170.4485
690.000000 73.833 -169.8306
700.000000 73.820 -169.0611
710.000000 73.870 -168.3306
720.000000 73.848 -167.9173
730.000000 73.924 -167.2612
740.000000 73.980 -166.2574
750.000000 74.005 -165.6318
762.000000 74.039 -164.8827
775.000000 74.085 -164.1820
788.000000 74.170 -163.1233
800.000000 74.213 -162.5707
812.000000 74.290 -161.6714
825.000000 74.365 -160.8771
838.000000 74.435 -160.1628
850.000000 74.500 -159.4500
862.000000 74.593 -158.7745
875.000000 74.617 -157.8320
885.000000 74.721 -157.2574
900.000000 74.786 -156.5829
912.000000 74.886 -155.8708
925.000000 74.970 -155.2958
938.000000 75.052 -154.5345
950.000000 75.150 -153.9585
962.000000 75.229 -153.4111
975.000000 75.361 -153.0838
988.000000 75.496 -152.3924
1000.000000 75.742 -151.6409
1015.000000 75.714 -151.2736
1030.000000 75.866 -151.0656
1044.000000 75.994 -150.6396
1060.000000 76.108 -150.1798
1075.000000 76.249 -149.7547
1090.000000 76.409 -149.5950
1106.000000 76.544 -149.3275
1120.000000 76.699 -149.4124
1138.000000 76.902 -149.6813
1150.000000 77.010 -149.7360
1172.000000 77.153 -151.0345
1180.000000 77.182 -151.3473
1206.000000 77.107 -152.6526
1220.000000 77.010 -152.7428
1241.000000 76.898 -151.8013
1250.000000 76.908 -151.1583
1265.000000 76.941 -150.4145
1280.000000 77.005 -149.8212
1315.000000 77.165 -148.6440
1320.000000 77.228 -148.6497
1340.000000 77.342 -148.0693
1360.000000 77.441 -147.8967
1380.000000 77.547 -147.4047
1400.000000 77.679 -147.2896
1430.000000 77.828 -146.8064
1450.000000 77.933 -146.6664
1475.000000 78.050 -146.5454
1500.000000 78.190 -146.1630
1525.000000 78.305 -146.1486
1550.000000 78.411 -145.8061
1575.000000 78.562 -145.5514
1600.000000 78.679 -145.3965
1625.000000 78.795 -145.4871
1650.000000 78.915 -145.2681
1675.000000 79.054 -145.1097
1700.000000 79.175 -145.0043
1725.000000 79.303 -144.9613
1750.000000 79.394 -144.8375
1775.000000 79.540 -144.9076
1800.000000 79.678 -144.7588
1825.000000 79.782 -145.0406
1850.000000 79.938 -144.8637
1875.000000 80.081 -144.7702
1900.000000 80.220 -144.9381
1925.000000 80.371 -145.0512
1950.000000 80.548 -145.2314
1975.000000 80.659 -145.5208
2000.000000 80.887 -146.2887
2030.000000 80.992 -146.0997
2060.000000 81.167 -146.5520
2090.000000 81.310 -147.1213
2120.000000 81.465 -147.6734
2140.000000 81.581 -147.8785
2180.000000 81.799 -148.8391
2200.000000 81.898 -149.3284
2240.000000 82.109 -150.3098
2270.000000 82.240 -151.1683
2300.000000 82.377 -152.1208
2330.000000 82.501 -152.9568
2360.000000 82.628 -154.0713
2400.000000 82.796 -155.5041
2430.000000 82.895 -156.6203
2470.000000 83.016 -158.2007
2500.000000 83.092 -159.4577
2540.000000 83.153 -161.1495
2580.000000 83.206 -162.7660
2620.000000 83.234 -164.6536
2650.000000 83.245 -165.8396
2690.000000 83.241 -167.4717
2720.000000 83.203 -168.6983
2760.000000 83.160 -170.1386
2800.000000 83.123 -171.4834
2850.000000 83.019 -173.1313
2900.000000 82.936 -174.8639
2950.000000 82.850 -176.4487
3000.000000 82.654 -178.1952
3040.000000 82.566 -179.0245
3070.000000 82.462 -179.6452
3110.000000 82.321 179.4979
3150.000000 82.206 178.9386
3200.000000 82.059 177.9799
3250.000000 81.908 177.2010
3300.000000 81.733 176.5667
3350.000000 81.552 176.2581
3400.000000 81.417 175.6675
3450.000000 81.255 175.5414
3500.000000 81.103 175.4294
3550.000000 80.972 175.3784
3600.000000 80.849 175.1761
3650.000000 80.747 175.0599
3700.000000 80.651 174.9737
3750.000000 80.530 175.1740
3820.000000 80.385 174.9838
3870.000000 80.299 175.3330
3950.000000 80.162 175.2711
4000.000000 80.132 175.8391
4060.000000 79.975 175.8351
4120.000000 79.918 175.7974
4180.000000 79.806 175.9781
4250.000000 79.740 176.4993
4310.000000 79.678 176.7000
4370.000000 79.614 177.0544
4440.000000 79.531 177.2584
4500.000000 79.491 177.9771
4550.000000 79.478 178.2500
4620.000000 79.420 178.3126
4680.000000 79.415 178.8600
4750.000000 79.406 179.1028
4820.000000 79.358 179.5835
4870.000000 79.368 179.6587
4940.000000 79.388 -179.8991
5000.000000 79.341 -179.5052
5080.000000 79.362 -179.5950
5150.000000 79.369 -179.4556
5220.000000 79.325 -179.4260
5300.000000 79.329 -179.3674
5380.000000 79.312 -179.1389
5450.000000 79.331 -178.9292
5520.000000 79.316 -178.6413
5600.000000 79.274 -178.6270
5700.000000 79.260 -178.2173
5800.000000 79.215 -178.3425
5900.000000 79.161 -177.9645
6000.000000 79.076 -177.2030
6080.000000 79.091 -177.4423
