* Measurement data measured by REW V5.31.1
* Source: Microphone (4- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Dec 16, 2025 11:40:56 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L kz duonic all off 1344
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 82.463 -158.0707
20.600000 82.515 -158.3376
20.900000 82.571 -158.4332
21.200001 82.626 -158.5329
21.400000 82.653 -158.6540
21.799999 82.675 -159.0399
22.000000 82.665 -159.2893
22.400000 82.607 -159.8121
22.700001 82.547 -160.1480
23.000000 82.494 -160.4015
23.299999 82.465 -160.6111
23.600000 82.465 -160.8407
24.000000 82.504 -161.2698
24.299999 82.547 -161.7029
24.700001 82.601 -162.3563
25.000000 82.629 -162.8076
25.400000 82.654 -163.2457
25.799999 82.678 -163.4619
26.200001 82.709 -163.5353
26.500000 82.736 -163.5763
26.900000 82.766 -163.6864
27.200001 82.774 -163.8250
27.600000 82.763 -164.0603
28.000000 82.731 -164.3045
28.500000 82.685 -164.5811
29.000000 82.664 -164.8463
29.500000 82.683 -165.1488
30.000000 82.735 -165.5196
30.400000 82.783 -165.8643
30.700001 82.814 -166.1407
31.100000 82.837 -166.5035
31.500000 82.834 -166.8175
32.000000 82.806 -167.0833
32.500000 82.778 -167.2132
33.000000 82.776 -167.3116
33.500000 82.802 -167.4854
34.000000 82.838 -167.7435
34.500000 82.866 -168.0079
35.000000 82.887 -168.2343
35.500000 82.904 -168.4689
36.000000 82.918 -168.7802
36.500000 82.928 -169.1654
37.000000 82.935 -169.5549
37.500000 82.943 -169.8868
38.200001 82.953 -170.1958
38.700001 82.954 -170.2738
39.500000 82.963 -170.2441
40.000000 82.981 -170.3249
40.599998 82.993 -170.6304
41.200001 82.984 -170.9665
41.799999 82.982 -171.1376
42.500000 83.025 -171.2903
43.099998 83.070 -171.5943
43.700001 83.087 -171.9404
44.400002 83.087 -172.2187
45.000000 83.089 -172.4479
45.500000 83.090 -172.6927
46.200001 83.088 -173.0001
46.799999 83.108 -173.1903
47.500000 83.151 -173.4727
48.200001 83.175 -173.7651
48.700001 83.179 -173.8704
49.400002 83.190 -173.9583
50.000000 83.204 -174.1767
50.799999 83.202 -174.6373
51.500000 83.197 -174.9682
52.200001 83.212 -175.2419
53.000000 83.232 -175.6114
53.799999 83.231 -175.9357
54.500000 83.228 -176.1168
55.200001 83.237 -176.3302
56.000000 83.243 -176.6450
57.000000 83.252 -176.8763
58.000000 83.276 -177.1371
59.000000 83.258 -177.2665
60.000000 83.282 -177.3990
60.799999 83.286 -177.9395
61.500000 83.265 -178.2258
62.200001 83.294 -178.2664
63.000000 83.360 -178.4450
64.000000 83.399 -178.5455
65.000000 83.404 -178.7030
66.000000 83.338 -179.1162
67.000000 83.347 -179.8062
68.000000 83.395 179.6511
69.000000 83.518 179.9669
70.000000 83.448 179.2056
71.000000 83.172 179.0988
72.000000 83.329 178.7047
73.000000 83.514 177.3440
74.000000 83.547 177.3600
75.000000 83.527 177.0378
76.199997 83.485 176.4084
77.500000 83.574 175.3661
78.800003 83.473 175.1118
80.000000 83.592 175.4691
81.199997 83.588 174.1940
82.500000 83.415 173.5959
83.800003 83.409 172.1613
85.000000 83.381 172.9592
86.199997 83.587 172.8235
87.500000 83.367 172.2288
88.500000 83.366 172.5047
90.000000 83.395 172.0356
91.199997 83.451 172.1273
92.500000 83.489 171.8698
93.800003 83.526 171.1785
95.000000 83.545 170.8960
96.199997 83.577 170.3311
97.500000 83.612 169.5831
98.800003 83.604 169.0178
100.000000 83.617 168.6737
101.500000 83.610 167.7434
103.000000 83.606 166.9666
104.400002 83.590 166.4073
106.000000 83.548 165.5752
107.500000 83.557 165.0857
109.000000 83.510 164.4583
110.599998 83.463 164.0594
112.000000 83.428 163.4900
113.800003 83.376 162.8764
115.000000 83.359 162.4449
117.199997 83.309 161.6830
118.000000 83.292 161.3246
120.599998 83.280 160.8002
122.000000 83.169 160.1385
124.099998 83.122 159.4176
125.000000 83.103 159.2110
126.500000 83.046 158.6996
128.000000 82.999 158.3485
131.500000 82.916 157.2220
132.000000 82.900 157.0822
134.000000 82.842 156.5262
136.000000 82.780 155.9879
138.000000 82.710 155.5345
140.000000 82.642 155.0108
143.000000 82.532 154.2483
145.000000 82.463 153.7786
147.500000 82.375 153.2189
150.000000 82.289 152.6314
152.500000 82.211 152.1669
155.000000 82.118 151.7890
157.500000 82.026 151.2614
160.000000 81.925 150.8230
162.500000 81.854 150.2467
165.000000 81.778 149.7149
167.500000 81.700 149.3281
170.000000 81.619 148.6569
172.500000 81.535 148.4429
175.000000 81.407 147.9148
177.500000 81.316 147.4427
180.000000 81.240 147.1849
182.500000 81.150 146.8809
185.000000 81.013 146.6407
187.500000 80.944 146.3501
190.000000 80.781 146.0346
192.500000 80.673 145.5527
195.000000 80.589 144.8800
197.500000 80.488 144.5687
200.000000 80.424 144.3840
203.000000 80.273 144.6552
206.000000 80.164 144.1360
209.000000 80.046 143.4341
212.000000 79.939 143.2557
214.000000 79.843 143.2285
218.000000 79.653 142.9596
220.000000 79.584 142.8368
224.000000 79.397 142.7003
227.000000 79.270 142.4778
230.000000 79.140 142.5163
233.000000 79.036 142.1977
236.000000 78.918 142.3087
240.000000 78.757 142.4101
243.000000 78.625 142.3313
247.000000 78.445 142.3832
250.000000 78.333 142.2369
254.000000 78.199 142.6151
258.000000 78.061 142.4876
262.000000 77.851 142.5508
265.000000 77.747 142.8938
269.000000 77.609 143.0034
272.000000 77.475 143.0470
276.000000 77.342 143.3961
280.000000 77.186 143.6465
285.000000 77.012 143.9884
290.000000 76.822 144.4826
295.000000 76.663 144.8277
300.000000 76.505 145.2733
304.000000 76.386 145.7355
307.000000 76.291 145.9191
311.000000 76.177 146.4619
315.000000 76.084 147.0421
320.000000 75.900 147.4541
325.000000 75.764 148.2108
330.000000 75.625 148.7021
335.000000 75.504 149.3506
340.000000 75.372 150.0400
345.000000 75.242 150.7126
350.000000 75.132 151.5839
355.000000 75.042 152.1612
360.000000 74.928 152.8196
365.000000 74.853 153.5411
370.000000 74.743 154.3661
375.000000 74.629 155.1236
382.000000 74.529 156.1557
387.000000 74.487 156.8740
395.000000 74.355 158.0929
400.000000 74.313 159.0214
406.000000 74.210 159.8799
412.000000 74.125 160.5516
418.000000 74.091 161.5261
425.000000 74.029 162.5356
431.000000 73.972 163.4587
437.000000 73.928 164.2375
444.000000 73.896 165.3416
450.000000 73.886 166.2781
455.000000 73.783 166.9364
462.000000 73.786 167.9805
468.000000 73.763 168.5377
475.000000 73.772 169.4165
482.000000 73.775 170.5295
487.000000 73.736 171.0597
494.000000 73.727 171.8204
500.000000 73.737 172.4769
508.000000 73.718 173.5154
515.000000 73.735 174.1313
522.000000 73.712 175.0902
530.000000 73.733 175.8328
538.000000 73.703 176.4465
545.000000 73.768 177.2348
552.000000 73.711 177.8895
560.000000 73.765 178.6767
570.000000 73.763 179.4703
580.000000 73.764 -179.8284
590.000000 73.790 -178.8855
600.000000 73.753 -177.8578
608.000000 73.796 -177.1064
615.000000 73.797 -176.7028
622.000000 73.813 -176.1844
630.000000 73.818 -175.7090
640.000000 73.845 -174.6790
650.000000 73.830 -173.9879
660.000000 73.878 -173.0785
670.000000 73.883 -172.2990
680.000000 73.900 -171.7889
690.000000 73.943 -170.8998
700.000000 73.939 -170.0700
710.000000 73.994 -169.4101
720.000000 74.033 -168.5473
730.000000 74.046 -167.9307
740.000000 74.076 -167.4143
750.000000 74.124 -166.4867
762.000000 74.188 -165.7403
775.000000 74.233 -164.5862
788.000000 74.289 -164.1759
800.000000 74.344 -163.1853
812.000000 74.392 -162.4605
825.000000 74.470 -161.6178
838.000000 74.542 -160.6747
850.000000 74.612 -160.0119
862.000000 74.661 -159.2952
875.000000 74.766 -158.6969
885.000000 74.821 -157.8854
900.000000 74.923 -157.1271
912.000000 75.027 -156.6784
925.000000 75.087 -156.1510
938.000000 75.187 -155.7021
950.000000 75.233 -154.8471
962.000000 75.284 -154.2451
975.000000 75.409 -153.6585
988.000000 75.509 -152.9722
1000.000000 75.574 -153.3398
1015.000000 75.707 -151.9061
1030.000000 75.850 -151.3919
1044.000000 75.989 -150.8936
1060.000000 76.129 -150.3817
1075.000000 76.293 -150.0987
1090.000000 76.432 -149.9215
1106.000000 76.555 -149.5144
1120.000000 76.710 -149.5012
1138.000000 76.892 -149.5969
1150.000000 76.995 -149.3721
1172.000000 77.198 -149.9163
1180.000000 77.254 -150.4815
1206.000000 77.292 -151.6514
1220.000000 77.240 -151.9908
1241.000000 77.146 -151.6922
1250.000000 77.107 -151.3764
1265.000000 77.119 -150.6640
1280.000000 77.149 -150.0212
1315.000000 77.324 -148.9027
1320.000000 77.366 -148.7103
1340.000000 77.492 -148.5126
1360.000000 77.570 -147.9971
1380.000000 77.683 -147.8429
1400.000000 77.799 -147.5015
1430.000000 77.956 -147.1501
1450.000000 78.076 -146.9576
1475.000000 78.189 -146.5878
1500.000000 78.308 -146.5352
1525.000000 78.421 -146.2612
1550.000000 78.553 -146.2085
1575.000000 78.682 -146.0645
1600.000000 78.767 -145.7841
1625.000000 78.917 -145.6105
1650.000000 79.036 -145.5783
1675.000000 79.152 -145.3916
1700.000000 79.290 -145.2265
1725.000000 79.427 -145.2757
1750.000000 79.531 -145.0842
1775.000000 79.651 -144.9957
1800.000000 79.778 -145.2556
1825.000000 79.944 -145.1216
1850.000000 80.050 -145.2298
1875.000000 80.195 -145.2069
1900.000000 80.342 -145.2524
1925.000000 80.499 -145.3771
1950.000000 80.643 -145.3796
1975.000000 80.787 -145.8282
2000.000000 80.949 -145.2944
2030.000000 81.091 -146.3537
2060.000000 81.249 -146.9001
2090.000000 81.436 -147.2704
2120.000000 81.586 -147.8694
2140.000000 81.690 -148.2640
2180.000000 81.912 -149.0838
2200.000000 82.007 -149.6530
2240.000000 82.220 -150.6369
2270.000000 82.339 -151.5131
2300.000000 82.475 -152.3689
2330.000000 82.632 -153.3891
2360.000000 82.748 -154.4021
2400.000000 82.895 -155.8203
2430.000000 82.997 -156.9077
2470.000000 83.119 -158.6326
2500.000000 83.195 -159.8517
2540.000000 83.292 -161.5485
2580.000000 83.338 -163.3043
2620.000000 83.381 -164.9085
2650.000000 83.364 -166.1431
2690.000000 83.366 -167.8877
2720.000000 83.347 -169.1572
2760.000000 83.292 -170.5725
2800.000000 83.225 -172.1010
2850.000000 83.132 -173.8181
2900.000000 83.043 -175.4636
2950.000000 82.940 -177.0785
3000.000000 82.739 -178.7419
3040.000000 82.637 -179.4680
3070.000000 82.539 179.8631
3110.000000 82.406 179.0258
3150.000000 82.276 178.5119
3200.000000 82.144 177.8889
3250.000000 82.015 177.0294
3300.000000 81.879 176.3416
3350.000000 81.742 175.7031
3400.000000 81.605 174.8664
3450.000000 81.437 174.4506
3500.000000 81.264 173.9788
3550.000000 81.100 173.8054
3600.000000 80.937 173.5889
3650.000000 80.768 173.6979
3700.000000 80.632 173.4983
3750.000000 80.485 173.8440
3820.000000 80.363 174.0349
3870.000000 80.234 174.3876
3950.000000 80.133 174.8454
4000.000000 80.097 174.8317
4060.000000 79.968 175.0867
4120.000000 79.888 175.2771
4180.000000 79.773 175.2573
4250.000000 79.729 175.7712
4310.000000 79.657 176.1140
4370.000000 79.597 176.5663
4440.000000 79.538 176.7344
4500.000000 79.469 177.2109
4550.000000 79.468 177.5898
4620.000000 79.410 177.7856
4680.000000 79.354 178.1038
4750.000000 79.316 178.5777
4820.000000 79.327 178.8185
4870.000000 79.344 179.2794
4940.000000 79.309 179.4599
5000.000000 79.270 179.2001
5080.000000 79.311 179.7518
5150.000000 79.289 -179.7632
5220.000000 79.280 -179.6744
5300.000000 79.281 -179.4012
5380.000000 79.242 -179.4578
5450.000000 79.252 -179.3993
5520.000000 79.204 -179.2928
5600.000000 79.188 -178.9240
5700.000000 79.170 -178.5103
5800.000000 79.150 -178.4872
5900.000000 79.135 -178.1913
