* Measurement data measured by REW V5.30
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.850
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Apr 26, 2024 1:13:51 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L DUSK 2nd unit Apr 26
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 139.702 37.1709
20.600000 139.732 36.3456
20.900000 139.756 35.6116
21.200001 139.781 34.8837
21.400000 139.798 34.3953
21.799999 139.832 33.4111
22.000000 139.849 32.9194
22.400000 139.880 31.9546
22.700001 139.900 31.2626
23.000000 139.918 30.6055
23.299999 139.935 29.9773
23.600000 139.952 29.3662
24.000000 139.973 28.5572
24.299999 139.986 27.9449
24.700001 139.999 27.1236
25.000000 140.006 26.5145
25.400000 140.015 25.7267
25.799999 140.026 24.9727
26.200001 140.040 24.2448
26.500000 140.053 23.7086
26.900000 140.068 23.0021
27.200001 140.078 22.4804
27.600000 140.086 21.8010
28.000000 140.089 21.1431
28.500000 140.089 20.3440
29.000000 140.088 19.5558
29.500000 140.088 18.7717
30.000000 140.090 17.9963
30.400000 140.093 17.3869
30.700001 140.096 16.9382
31.100000 140.098 16.3550
31.500000 140.097 15.7927
32.000000 140.093 15.1206
32.500000 140.086 14.4719
33.000000 140.078 13.8277
33.500000 140.070 13.1802
34.000000 140.062 12.5376
34.500000 140.056 11.9113
35.000000 140.049 11.3068
35.500000 140.041 10.7293
36.000000 140.028 10.1859
36.500000 140.013 9.6711
37.000000 139.999 9.1544
37.500000 139.987 8.6037
38.200001 139.966 7.7852
38.700001 139.948 7.2231
39.500000 139.923 6.4371
40.000000 139.913 5.9853
40.599998 139.898 5.4410
41.200001 139.876 4.9019
41.799999 139.851 4.3904
42.500000 139.826 3.8087
43.099998 139.807 3.2878
43.700001 139.785 2.7577
44.400002 139.755 2.1716
45.000000 139.731 1.6980
45.500000 139.711 1.3044
46.200001 139.683 0.7596
46.799999 139.657 0.3213
47.500000 139.630 -0.1787
48.200001 139.601 -0.7057
48.700001 139.578 -1.0759
49.400002 139.546 -1.5407
50.000000 139.525 -1.9186
50.799999 139.495 -2.4513
51.500000 139.458 -2.8947
52.200001 139.423 -3.2987
53.000000 139.387 -3.7866
53.799999 139.346 -4.2636
54.500000 139.315 -4.6365
55.200001 139.287 -5.0400
56.000000 139.245 -5.5108
57.000000 139.196 -5.9956
58.000000 139.152 -6.5196
59.000000 139.096 -6.9982
60.000000 139.050 -7.5267
60.799999 139.002 -7.9488
61.500000 138.967 -8.1991
62.200001 138.945 -8.4872
63.000000 138.901 -8.9035
64.000000 138.837 -9.2520
65.000000 138.806 -9.6883
66.000000 138.744 -10.1459
67.000000 138.687 -10.3913
68.000000 138.645 -10.8040
69.000000 138.593 -11.2095
70.000000 138.544 -11.5215
71.000000 138.493 -11.8191
72.000000 138.441 -12.2683
73.000000 138.376 -12.6362
74.000000 138.336 -12.7973
75.000000 138.297 -13.0673
76.199997 138.223 -13.4253
77.500000 138.160 -13.7437
78.800003 138.098 -14.0795
80.000000 138.036 -14.3433
81.199997 137.972 -14.6730
82.500000 137.906 -14.9173
83.800003 137.837 -15.1959
85.000000 137.780 -15.4307
86.199997 137.720 -15.6952
87.500000 137.668 -15.9183
88.500000 137.605 -16.0853
90.000000 137.539 -16.3014
91.199997 137.474 -16.5561
92.500000 137.427 -16.6399
93.800003 137.353 -16.9265
95.000000 137.297 -17.0015
96.199997 137.247 -17.2609
97.500000 137.172 -17.2997
98.800003 137.127 -17.4896
100.000000 137.045 -17.6261
101.500000 137.001 -17.6586
103.000000 136.909 -17.8941
104.400002 136.873 -17.8041
106.000000 136.786 -18.1740
107.500000 136.724 -17.9686
109.000000 136.672 -18.3130
110.599998 136.577 -18.2121
112.000000 136.548 -18.3576
113.800003 136.442 -18.4150
115.000000 136.402 -18.3384
117.199997 136.321 -18.5429
118.000000 136.276 -18.6006
120.599998 136.197 -18.4826
122.000000 136.106 -18.7464
124.099998 136.055 -18.3829
125.000000 136.042 -18.5005
126.500000 135.955 -18.7107
128.000000 135.888 -18.4494
131.500000 135.784 -18.4224
132.000000 135.761 -18.4146
134.000000 135.679 -18.3710
136.000000 135.620 -18.2198
138.000000 135.568 -18.1418
140.000000 135.498 -18.1419
143.000000 135.382 -17.8684
145.000000 135.327 -17.7095
147.500000 135.274 -17.6223
150.000000 135.195 -17.5256
152.500000 135.113 -17.3595
155.000000 135.049 -17.0824
157.500000 134.979 -16.8181
160.000000 134.925 -16.6950
162.500000 134.873 -16.5004
165.000000 134.805 -16.2814
167.500000 134.750 -16.1051
170.000000 134.689 -15.8538
172.500000 134.638 -15.6189
175.000000 134.586 -15.3919
177.500000 134.532 -15.1031
180.000000 134.496 -14.8550
182.500000 134.431 -14.6327
185.000000 134.393 -14.4058
187.500000 134.354 -14.2107
190.000000 134.332 -13.8947
192.500000 134.286 -13.5664
195.000000 134.242 -13.3273
197.500000 134.187 -13.1137
200.000000 134.145 -12.9843
203.000000 134.136 -12.6110
206.000000 134.092 -12.2748
209.000000 134.041 -11.9915
212.000000 134.009 -11.7824
214.000000 134.003 -11.5068
218.000000 133.953 -11.1159
220.000000 133.939 -10.9452
224.000000 133.895 -10.4568
227.000000 133.879 -10.2201
230.000000 133.861 -9.9804
233.000000 133.827 -9.6955
236.000000 133.809 -9.3941
240.000000 133.780 -9.0852
243.000000 133.759 -8.8165
247.000000 133.742 -8.3682
250.000000 133.733 -8.1528
254.000000 133.709 -7.8030
258.000000 133.692 -7.5364
262.000000 133.659 -7.2245
265.000000 133.668 -6.8413
269.000000 133.651 -6.5222
272.000000 133.638 -6.3426
276.000000 133.624 -6.0063
280.000000 133.619 -5.7245
285.000000 133.596 -5.3083
290.000000 133.596 -4.9864
295.000000 133.590 -4.5967
300.000000 133.585 -4.2898
304.000000 133.578 -4.0031
307.000000 133.569 -3.8479
311.000000 133.562 -3.5908
315.000000 133.567 -3.3174
320.000000 133.565 -3.1192
325.000000 133.554 -2.7360
330.000000 133.556 -2.5229
335.000000 133.560 -2.2148
340.000000 133.554 -1.9524
345.000000 133.556 -1.6629
350.000000 133.554 -1.3743
355.000000 133.556 -1.1856
360.000000 133.548 -0.9207
365.000000 133.551 -0.7194
370.000000 133.558 -0.4710
375.000000 133.555 -0.2138
382.000000 133.555 0.0896
387.000000 133.556 0.2315
395.000000 133.551 0.7631
400.000000 133.572 0.8963
406.000000 133.552 1.0656
412.000000 133.556 1.2715
418.000000 133.564 1.5413
425.000000 133.561 1.7970
431.000000 133.563 2.0230
437.000000 133.558 2.2714
444.000000 133.546 2.5170
450.000000 133.564 2.6829
455.000000 133.564 2.8636
462.000000 133.561 3.1558
468.000000 133.561 3.2991
475.000000 133.565 3.5639
482.000000 133.559 3.8533
487.000000 133.555 3.9964
494.000000 133.563 4.2139
500.000000 133.560 4.3889
508.000000 133.566 4.5988
515.000000 133.560 4.9709
522.000000 133.561 5.1617
530.000000 133.558 5.4094
538.000000 133.565 5.6376
545.000000 133.559 5.8947
552.000000 133.553 6.1701
560.000000 133.556 6.3861
570.000000 133.560 6.6372
580.000000 133.519 7.2483
590.000000 133.538 7.5448
600.000000 133.547 7.8363
608.000000 133.547 8.1345
615.000000 133.545 8.3142
622.000000 133.549 8.3430
630.000000 133.547 8.9790
640.000000 133.547 9.2457
650.000000 133.550 9.7053
660.000000 133.572 10.0336
670.000000 133.551 10.3929
680.000000 133.558 10.7660
690.000000 133.559 11.2491
700.000000 133.563 11.5742
710.000000 133.571 11.9514
720.000000 133.588 12.3780
730.000000 133.594 12.7458
740.000000 133.612 13.1958
750.000000 133.615 13.6355
762.000000 133.641 14.2117
775.000000 133.661 14.7715
788.000000 133.686 15.3413
800.000000 133.717 15.8469
812.000000 133.737 16.3760
825.000000 133.780 16.8652
838.000000 133.812 17.5542
850.000000 133.857 17.9008
862.000000 133.914 18.5620
875.000000 133.975 19.0711
885.000000 134.012 19.5659
900.000000 134.071 20.0751
912.000000 134.145 20.5399
925.000000 134.213 21.0399
938.000000 134.283 21.4633
950.000000 134.364 21.9264
962.000000 134.428 22.2771
975.000000 134.504 22.7268
988.000000 134.599 23.0022
1000.000000 134.651 23.2146
1015.000000 134.775 23.6333
1030.000000 134.874 23.8599
1044.000000 134.956 24.0551
1060.000000 135.090 24.3074
1075.000000 135.176 24.5372
1090.000000 135.281 24.6152
1106.000000 135.378 24.6841
1120.000000 135.469 24.7013
1138.000000 135.592 24.7115
1150.000000 135.653 24.6468
1172.000000 135.772 24.6242
1180.000000 135.807 24.6101
1206.000000 135.933 24.4174
1220.000000 136.002 24.2801
1241.000000 136.093 24.1430
1250.000000 136.133 23.9910
1265.000000 136.184 23.9134
1280.000000 136.233 23.7910
1315.000000 136.345 23.3908
1320.000000 136.357 23.4351
1340.000000 136.419 23.1690
1360.000000 136.474 23.0034
1380.000000 136.515 22.9102
1400.000000 136.566 22.7269
1430.000000 136.617 22.5350
1450.000000 136.648 22.4063
1475.000000 136.696 22.2347
1500.000000 136.754 22.2134
1525.000000 136.779 22.0851
1550.000000 136.822 22.0257
1575.000000 136.865 22.0167
1600.000000 136.904 21.9897
1625.000000 136.930 21.9365
1650.000000 136.981 21.9149
1675.000000 137.021 21.8907
1700.000000 137.058 22.0338
1725.000000 137.098 22.0210
1750.000000 137.133 22.0710
1775.000000 137.189 22.1145
1800.000000 137.233 22.1463
1825.000000 137.274 22.1819
1850.000000 137.326 22.1921
1875.000000 137.379 22.2591
1900.000000 137.424 22.2685
1925.000000 137.481 22.2857
1950.000000 137.531 22.3266
1975.000000 137.585 22.3668
2000.000000 137.629 22.4743
2030.000000 137.717 22.3662
2060.000000 137.792 22.4051
2090.000000 137.860 22.4231
2120.000000 137.932 22.4025
2140.000000 137.991 22.3314
2180.000000 138.090 22.2933
2200.000000 138.140 22.2421
2240.000000 138.252 22.1003
2270.000000 138.334 21.9631
2300.000000 138.414 21.8463
2330.000000 138.503 21.6627
2360.000000 138.581 21.5185
2400.000000 138.696 21.2590
2430.000000 138.770 20.9613
2470.000000 138.891 20.6653
2500.000000 138.973 20.3703
2540.000000 139.082 19.9118
2580.000000 139.178 19.4492
2620.000000 139.285 19.0220
2650.000000 139.357 18.5552
2690.000000 139.453 17.9767
2720.000000 139.523 17.5608
2760.000000 139.613 16.9344
2800.000000 139.697 16.2760
2850.000000 139.786 15.4318
2900.000000 139.882 14.5024
2950.000000 139.960 13.6045
3000.000000 140.024 12.6674
3040.000000 140.064 11.8299
3070.000000 140.096 11.3000
3110.000000 140.133 10.5082
3150.000000 140.153 9.7833
3200.000000 140.180 8.8479
3250.000000 140.200 7.9446
3300.000000 140.212 7.1085
3350.000000 140.219 6.3200
3400.000000 140.229 5.5716
3450.000000 140.237 4.7498
3500.000000 140.242 3.9802
3550.000000 140.232 3.2610
3600.000000 140.246 2.5164
3650.000000 140.234 1.7936
3700.000000 140.225 1.1197
3750.000000 140.202 0.4665
3820.000000 140.191 -0.4387
3870.000000 140.172 -0.9465
3950.000000 140.159 -1.8503
4000.000000 140.147 -2.4589
4060.000000 140.122 -2.8864
4120.000000 140.120 -3.4739
4180.000000 140.124 -4.0455
4250.000000 140.123 -4.5989
4310.000000 140.129 -5.1166
4370.000000 140.152 -5.7092
4440.000000 140.186 -6.3759
4500.000000 140.212 -6.9911
4550.000000 140.253 -7.5970
4620.000000 140.291 -8.5420
4680.000000 140.319 -9.5015
4750.000000 140.335 -10.6725
4820.000000 140.329 -11.9889
4870.000000 140.308 -12.9932
4940.000000 140.251 -14.3019
5000.000000 140.177 -15.2332
5080.000000 140.064 -16.5206
5150.000000 139.981 -17.4721
5220.000000 139.893 -18.3855
5300.000000 139.790 -19.5106
5380.000000 139.696 -20.5575
5450.000000 139.601 -21.6366
5520.000000 139.498 -22.7423
5600.000000 139.355 -24.1267
5700.000000 139.153 -25.9487
5800.000000 138.872 -28.0628
5900.000000 138.475 -29.9870
6000.000000 137.957 -31.6233
6080.000000 137.427 -32.4456
