* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 12, 2025 12:37:50 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R dv regular 908
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 137.119 35.3631
20.600000 137.160 34.0600
20.900000 137.164 32.9382
21.200001 137.150 32.1193
21.400000 137.144 31.7896
21.799999 137.167 31.5145
22.000000 137.202 31.4454
22.400000 137.311 31.0929
22.700001 137.391 30.4382
23.000000 137.435 29.4193
23.299999 137.428 28.1900
23.600000 137.377 26.9351
24.000000 137.283 25.4751
24.299999 137.233 24.6060
24.700001 137.231 23.6252
25.000000 137.269 22.8803
25.400000 137.331 21.8046
25.799999 137.352 20.8216
26.200001 137.325 20.2518
26.500000 137.301 20.1787
26.900000 137.311 20.3823
27.200001 137.364 20.4751
27.600000 137.478 20.1528
28.000000 137.577 19.2065
28.500000 137.611 17.5714
29.000000 137.554 16.1799
29.500000 137.493 15.3012
30.000000 137.480 14.5498
30.400000 137.480 13.7639
30.700001 137.464 13.0844
31.100000 137.415 12.2506
31.500000 137.360 11.6576
32.000000 137.343 11.1629
32.500000 137.400 10.4259
33.000000 137.449 9.1035
33.500000 137.399 7.5819
34.000000 137.256 6.6859
34.500000 137.143 6.7740
35.000000 137.166 7.1921
35.500000 137.272 6.8559
36.000000 137.294 5.5637
36.500000 137.144 4.1781
37.000000 136.921 3.7680
37.500000 136.841 4.3489
38.200001 137.114 4.3984
38.700001 137.360 2.7887
39.500000 137.371 -0.5717
40.000000 137.173 -1.5467
40.599998 136.928 -1.2877
41.200001 136.791 -0.5864
41.799999 136.734 -0.4234
42.500000 136.711 -1.3319
43.099998 136.701 -2.9243
43.700001 136.680 -4.6415
44.400002 136.668 -5.9525
45.000000 136.672 -6.3692
45.500000 136.643 -6.3606
46.200001 136.542 -5.8289
46.799999 136.502 -5.3220
47.500000 136.576 -5.9868
48.200001 136.648 -8.0870
48.700001 136.643 -9.5902
49.400002 136.583 -10.7282
50.000000 136.486 -10.8323
50.799999 136.279 -10.1176
51.500000 136.134 -9.3531
52.200001 136.093 -9.6771
53.000000 136.054 -11.3866
53.799999 136.025 -12.7486
54.500000 136.107 -13.4057
55.200001 136.201 -14.2769
56.000000 136.154 -15.2387
57.000000 135.988 -15.5607
58.000000 135.901 -16.1788
59.000000 135.808 -16.9684
60.000000 135.745 -17.2544
60.799999 135.610 -17.7063
61.500000 135.412 -18.0254
62.200001 135.284 -18.3443
63.000000 135.276 -19.2505
64.000000 135.298 -20.1317
65.000000 135.337 -20.2250
66.000000 135.270 -21.0370
67.000000 135.213 -21.2276
68.000000 135.387 -21.1727
69.000000 135.359 -21.2355
70.000000 135.168 -20.6338
71.000000 135.008 -21.1759
72.000000 134.830 -22.1171
73.000000 134.768 -23.1099
74.000000 134.730 -24.5004
75.000000 134.772 -25.4779
76.199997 134.853 -26.3737
77.500000 134.864 -26.2633
78.800003 134.729 -25.9498
80.000000 134.457 -26.0632
81.199997 134.291 -27.1905
82.500000 134.427 -28.5330
83.800003 134.449 -28.0764
85.000000 134.261 -26.8469
86.199997 134.085 -26.6082
87.500000 133.884 -27.9993
88.500000 133.797 -29.2690
90.000000 133.922 -30.2535
91.199997 133.864 -28.8200
92.500000 133.422 -29.1479
93.800003 133.377 -32.2592
95.000000 133.602 -31.5028
96.199997 133.375 -29.6964
97.500000 133.055 -31.4011
98.800003 133.300 -32.1112
100.000000 133.201 -30.2834
101.500000 132.862 -31.4722
103.000000 133.024 -32.0186
104.400002 132.804 -31.0062
106.000000 132.712 -32.6837
107.500000 132.701 -32.5056
109.000000 132.456 -33.1685
110.599998 132.448 -34.1751
112.000000 132.316 -33.8220
113.800003 132.214 -33.8756
115.000000 132.149 -33.7062
117.199997 132.090 -33.6302
118.000000 132.054 -33.3610
120.599998 131.853 -32.8921
122.000000 131.746 -32.9372
124.099998 131.663 -33.5715
125.000000 131.606 -33.7776
126.500000 131.542 -34.1583
128.000000 131.498 -34.5102
131.500000 131.336 -35.0406
132.000000 131.337 -35.1123
134.000000 131.271 -34.8424
136.000000 131.269 -34.6692
138.000000 131.188 -34.3056
140.000000 131.060 -34.2485
143.000000 130.915 -33.8631
145.000000 130.789 -34.3511
147.500000 130.661 -34.7498
150.000000 130.601 -35.1176
152.500000 130.475 -34.5471
155.000000 130.333 -34.1456
157.500000 130.275 -33.5784
160.000000 130.106 -33.4467
162.500000 130.157 -33.0908
165.000000 130.114 -33.4025
167.500000 130.021 -34.0448
170.000000 129.977 -34.7959
172.500000 129.872 -34.7154
175.000000 129.796 -34.4045
177.500000 129.713 -34.3098
180.000000 129.611 -33.9069
182.500000 129.606 -32.7970
185.000000 129.424 -32.5704
187.500000 129.295 -31.7769
190.000000 129.168 -31.8019
192.500000 129.109 -32.0227
195.000000 129.044 -32.4047
197.500000 129.040 -32.4181
200.000000 129.068 -32.4363
203.000000 129.042 -32.3602
206.000000 128.989 -32.0835
209.000000 128.859 -31.7297
212.000000 128.691 -31.6900
214.000000 128.609 -31.5852
218.000000 128.473 -30.4488
220.000000 128.421 -29.9151
224.000000 128.193 -29.3250
227.000000 128.138 -29.1834
230.000000 128.090 -29.0107
233.000000 127.991 -28.8229
236.000000 127.999 -29.1689
240.000000 128.009 -28.7498
243.000000 128.050 -28.8561
247.000000 128.055 -28.3914
250.000000 128.073 -28.1728
254.000000 128.009 -28.2052
258.000000 127.861 -28.2073
262.000000 127.774 -27.5269
265.000000 127.671 -26.8040
269.000000 127.502 -26.1383
272.000000 127.405 -25.3950
276.000000 127.245 -24.7887
280.000000 127.188 -24.0527
285.000000 127.105 -24.1208
290.000000 127.141 -24.1869
295.000000 127.195 -24.0805
300.000000 127.261 -23.4003
304.000000 127.303 -23.1146
307.000000 127.277 -22.9900
311.000000 127.254 -22.6913
315.000000 127.230 -22.2306
320.000000 127.131 -21.5218
325.000000 127.025 -20.9359
330.000000 126.986 -20.3888
335.000000 126.895 -19.4674
340.000000 126.821 -19.3266
345.000000 126.809 -18.9985
350.000000 126.817 -18.7972
355.000000 126.833 -18.5561
360.000000 126.805 -18.3459
365.000000 126.801 -17.8288
370.000000 126.817 -17.6767
375.000000 126.770 -17.4110
382.000000 126.650 -16.6656
387.000000 126.609 -16.3431
395.000000 126.487 -15.2792
400.000000 126.468 -14.9323
406.000000 126.391 -14.4525
412.000000 126.350 -14.1393
418.000000 126.317 -14.2075
425.000000 126.261 -13.4373
431.000000 126.222 -12.7789
437.000000 126.116 -12.3079
444.000000 126.016 -11.7790
450.000000 125.928 -11.0575
455.000000 125.867 -10.6701
462.000000 125.845 -10.1893
468.000000 125.799 -9.6416
475.000000 125.796 -9.1360
482.000000 125.794 -8.8921
487.000000 125.785 -8.7021
494.000000 125.853 -7.8326
500.000000 125.857 -7.3135
508.000000 125.830 -7.1428
515.000000 125.814 -6.4890
522.000000 125.767 -5.7674
530.000000 125.748 -5.1240
538.000000 125.685 -4.3520
545.000000 125.662 -3.5172
552.000000 125.637 -3.1588
560.000000 125.672 -2.7690
570.000000 125.712 -2.0329
580.000000 125.721 -1.8787
590.000000 125.752 -1.2639
600.000000 125.757 -0.5551
608.000000 125.727 0.0243
615.000000 125.719 0.7238
622.000000 125.718 1.5076
630.000000 125.699 1.8773
640.000000 125.633 2.7576
650.000000 125.572 3.4096
660.000000 125.529 4.4781
670.000000 125.492 5.4393
680.000000 125.481 6.0031
690.000000 125.536 6.6074
700.000000 125.628 7.2203
710.000000 125.684 7.8858
720.000000 125.747 8.4806
730.000000 125.809 9.2408
740.000000 125.815 9.7687
750.000000 125.837 10.7278
762.000000 125.796 11.4645
775.000000 125.778 12.5857
788.000000 125.814 13.7185
800.000000 125.875 14.1462
812.000000 125.930 14.8232
825.000000 125.999 15.7330
838.000000 126.043 16.8456
850.000000 126.071 17.5593
862.000000 126.131 18.2775
875.000000 126.200 19.0697
885.000000 126.229 19.8388
900.000000 126.305 20.6308
912.000000 126.353 21.3823
925.000000 126.405 22.1898
938.000000 126.500 23.0156
950.000000 126.604 23.6024
962.000000 126.730 24.0632
975.000000 126.852 24.4306
988.000000 126.946 25.1766
1000.000000 127.021 25.6867
1015.000000 127.126 26.3666
1030.000000 127.221 26.7421
1044.000000 127.276 27.2631
1060.000000 127.363 28.1263
1075.000000 127.451 28.4380
1090.000000 127.569 28.7932
1106.000000 127.744 28.9861
1120.000000 127.899 29.2734
1138.000000 128.054 29.5362
1150.000000 128.165 29.6160
1172.000000 128.304 30.0645
1180.000000 128.365 30.0828
1206.000000 128.496 30.3030
1220.000000 128.503 30.1716
1241.000000 128.533 31.1509
1250.000000 128.600 31.2630
1265.000000 128.700 31.1614
1280.000000 128.858 30.7264
1315.000000 129.236 31.1166
1320.000000 129.254 31.1774
1340.000000 129.392 30.9324
1360.000000 129.523 31.1489
1380.000000 129.620 31.1856
1400.000000 129.682 31.1564
1430.000000 129.783 31.3214
1450.000000 129.754 31.3549
1475.000000 129.830 31.7563
1500.000000 129.899 31.6445
1525.000000 130.054 31.6345
1550.000000 130.175 31.8480
1575.000000 130.337 31.6094
1600.000000 130.447 31.7487
1625.000000 130.531 31.8304
1650.000000 130.618 31.7251
1675.000000 130.672 31.7101
1700.000000 130.690 31.8780
1725.000000 130.738 31.9250
1750.000000 130.816 31.8128
1775.000000 130.965 31.7534
1800.000000 131.111 31.5878
1825.000000 131.282 31.3707
1850.000000 131.424 31.3162
1875.000000 131.539 31.0234
1900.000000 131.627 30.9046
1925.000000 131.695 30.7176
1950.000000 131.726 30.5315
1975.000000 131.765 30.3587
2000.000000 131.805 30.1076
2030.000000 131.874 29.6405
2060.000000 131.955 29.4294
2090.000000 132.055 28.9251
2120.000000 132.170 28.4978
2140.000000 132.246 28.2341
2180.000000 132.382 27.7015
2200.000000 132.490 27.4221
2240.000000 132.705 26.4659
2270.000000 132.855 26.0352
2300.000000 132.921 25.5425
2330.000000 133.004 25.0279
2360.000000 133.052 24.4721
2400.000000 133.121 23.8010
2430.000000 133.130 23.2198
2470.000000 133.190 22.6501
2500.000000 133.215 21.9951
2540.000000 133.268 21.3832
2580.000000 133.273 20.7413
2620.000000 133.373 20.0370
2650.000000 133.444 19.2811
2690.000000 133.498 18.6206
2720.000000 133.473 18.0359
2760.000000 133.441 17.1241
2800.000000 133.395 16.2906
2850.000000 133.318 15.2458
2900.000000 133.201 14.5387
2950.000000 133.102 13.8618
3000.000000 133.024 13.2320
3040.000000 132.973 12.9655
3070.000000 132.983 12.8558
3110.000000 133.020 12.2840
3150.000000 133.066 12.0885
3200.000000 133.071 12.1427
3250.000000 133.113 11.8224
3300.000000 133.118 12.0270
3350.000000 133.114 11.8811
3400.000000 133.143 11.8792
3450.000000 133.129 11.8066
3500.000000 133.140 11.7686
3550.000000 133.204 11.5926
3600.000000 133.288 11.2114
3650.000000 133.366 11.1520
3700.000000 133.527 10.4698
3750.000000 133.679 9.9330
3820.000000 133.835 8.9763
3870.000000 133.939 8.2436
3950.000000 134.076 6.6633
4000.000000 134.179 5.6965
4060.000000 134.246 4.1303
4120.000000 134.240 2.8762
4180.000000 134.197 1.4205
4250.000000 134.200 0.3106
4310.000000 134.218 -1.4534
4370.000000 134.167 -2.7989
4440.000000 134.100 -4.8362
4500.000000 134.015 -6.2269
4550.000000 133.952 -7.7833
4620.000000 133.778 -9.5361
4680.000000 133.579 -11.0506
4750.000000 133.357 -12.6451
4820.000000 133.066 -13.8875
4870.000000 132.842 -14.4759
4940.000000 132.515 -15.1258
5000.000000 132.255 -15.3305
5080.000000 131.958 -15.4528
5150.000000 131.681 -15.1801
5220.000000 131.407 -14.5365
5300.000000 131.117 -13.6859
5380.000000 130.854 -12.4170
5450.000000 130.621 -11.1218
5520.000000 130.445 -9.7087
5600.000000 130.265 -8.0672
5700.000000 130.059 -5.8334
5800.000000 129.866 -3.5406
5900.000000 129.779 -1.4229
