* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Apr 4, 2025 3:23:53 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L DX1 602
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 121.159 -137.1169
20.600000 121.209 -137.9922
20.900000 121.244 -138.7850
21.200001 121.272 -139.5387
21.400000 121.290 -140.0078
21.799999 121.330 -140.8621
22.000000 121.355 -141.2543
22.400000 121.421 -142.0076
22.700001 121.481 -142.5948
23.000000 121.541 -143.2407
23.299999 121.590 -143.9417
23.600000 121.622 -144.6571
24.000000 121.634 -145.5370
24.299999 121.629 -146.0788
24.700001 121.630 -146.6563
25.000000 121.650 -147.0793
25.400000 121.705 -147.8049
25.799999 121.766 -148.8023
26.200001 121.801 -149.9038
26.500000 121.807 -150.5872
26.900000 121.810 -151.1004
27.200001 121.833 -151.1989
27.600000 121.904 -151.2052
28.000000 121.985 -151.4797
28.500000 121.982 -152.4026
29.000000 121.784 -153.3379
29.500000 121.498 -153.4233
30.000000 121.377 -152.8067
30.400000 121.487 -152.7406
30.700001 121.650 -153.3476
31.100000 121.866 -154.9505
31.500000 121.998 -156.8950
32.000000 122.020 -158.7435
32.500000 121.977 -159.3950
33.000000 121.975 -159.3757
33.500000 122.006 -159.5334
34.000000 122.006 -160.1073
34.500000 121.970 -160.7741
35.000000 121.946 -161.3431
35.500000 121.958 -161.9355
36.000000 121.972 -162.6213
36.500000 121.962 -163.2290
37.000000 121.948 -163.6244
37.500000 121.959 -163.9625
38.200001 121.993 -164.7470
38.700001 121.984 -165.4281
39.500000 121.921 -166.1094
40.000000 121.898 -166.3500
40.599998 121.889 -166.7817
41.200001 121.870 -167.4098
41.799999 121.838 -167.9931
42.500000 121.813 -168.4624
43.099998 121.807 -168.8132
43.700001 121.795 -169.2117
44.400002 121.770 -169.6958
45.000000 121.759 -170.1279
45.500000 121.757 -170.5490
46.200001 121.739 -171.1685
46.799999 121.703 -171.5485
47.500000 121.673 -171.8100
48.200001 121.668 -172.1753
48.700001 121.660 -172.5361
49.400002 121.632 -172.9633
50.000000 121.613 -173.2093
50.799999 121.593 -173.6150
51.500000 121.554 -174.0305
52.200001 121.518 -174.3227
53.000000 121.512 -174.6530
53.799999 121.499 -175.0969
54.500000 121.464 -175.3846
55.200001 121.433 -175.5985
56.000000 121.404 -175.9389
57.000000 121.367 -176.3552
58.000000 121.348 -176.7732
59.000000 121.302 -177.2594
60.000000 121.250 -177.5718
60.799999 121.228 -177.8675
61.500000 121.205 -178.1518
62.200001 121.180 -178.3735
63.000000 121.154 -178.5862
64.000000 121.115 -178.8244
65.000000 121.080 -178.9811
66.000000 121.057 -179.2413
67.000000 121.010 -179.6135
68.000000 120.978 -179.7671
69.000000 120.980 179.9791
70.000000 120.933 179.6873
71.000000 120.889 179.5005
72.000000 120.854 179.1902
73.000000 120.820 179.1122
74.000000 120.782 178.9438
75.000000 120.744 178.7736
76.199997 120.777 178.2888
77.500000 120.691 178.1269
78.800003 120.636 178.2714
80.000000 120.600 177.9138
81.199997 120.564 177.7688
82.500000 120.511 177.7409
83.800003 120.485 177.4812
85.000000 120.451 177.2714
86.199997 120.421 177.2933
87.500000 120.388 177.0977
88.500000 120.299 177.1027
90.000000 120.354 176.7061
91.199997 120.307 176.4141
92.500000 120.219 176.9083
93.800003 120.123 177.1672
95.000000 120.160 176.6782
96.199997 120.082 176.8986
97.500000 120.043 177.0804
98.800003 120.001 177.3637
100.000000 120.090 177.6753
101.500000 120.075 177.6277
103.000000 120.169 177.0218
104.400002 120.041 176.4573
106.000000 120.117 176.5538
107.500000 120.184 178.7419
109.000000 120.056 176.7022
110.599998 119.969 175.9465
112.000000 119.960 176.1860
113.800003 119.882 176.0072
115.000000 119.911 175.9146
117.199997 119.822 175.8350
118.000000 119.745 175.2901
120.599998 120.207 175.3422
122.000000 119.663 176.9337
124.099998 119.732 176.0662
125.000000 119.726 176.4780
126.500000 119.619 176.2295
128.000000 119.611 176.1856
131.500000 119.569 176.1848
132.000000 119.552 176.3390
134.000000 119.453 176.3491
136.000000 119.422 176.0977
138.000000 119.405 176.8375
140.000000 119.363 176.7705
143.000000 119.375 177.0175
145.000000 119.364 177.3679
147.500000 119.381 177.7140
150.000000 119.397 177.6757
152.500000 119.449 176.8096
155.000000 119.467 177.4546
157.500000 119.436 177.2844
160.000000 119.419 177.2253
162.500000 119.401 176.9435
165.000000 119.410 176.8413
167.500000 119.361 176.9457
170.000000 119.345 176.8239
172.500000 119.324 176.8261
175.000000 119.290 176.7200
177.500000 119.251 176.6594
180.000000 119.233 176.8451
182.500000 119.223 176.6543
185.000000 119.158 176.7950
187.500000 119.140 176.8950
190.000000 119.143 177.0872
192.500000 119.137 176.9995
195.000000 119.105 177.0119
197.500000 119.076 177.0336
200.000000 119.060 177.2115
203.000000 119.048 177.3163
206.000000 119.034 177.3737
209.000000 118.996 177.5435
212.000000 118.976 177.5999
214.000000 118.966 177.5964
218.000000 118.940 177.6169
220.000000 118.933 177.6315
224.000000 118.920 177.9704
227.000000 118.891 177.9688
230.000000 118.882 178.0957
233.000000 118.855 178.1257
236.000000 118.841 178.2396
240.000000 118.834 178.4301
243.000000 118.820 178.4138
247.000000 118.803 178.4888
250.000000 118.789 178.7065
254.000000 118.782 178.7950
258.000000 118.759 178.9004
262.000000 118.747 179.0280
265.000000 118.734 179.1559
269.000000 118.725 179.3568
272.000000 118.703 179.3793
276.000000 118.688 179.5235
280.000000 118.692 179.6454
285.000000 118.659 179.7661
290.000000 118.648 -179.9988
295.000000 118.632 -179.9477
300.000000 118.619 -179.7441
304.000000 118.608 -179.4769
307.000000 118.596 -179.5079
311.000000 118.588 -179.3145
315.000000 118.602 -179.2770
320.000000 118.589 -179.1065
325.000000 118.565 -178.9402
330.000000 118.551 -178.8286
335.000000 118.538 -178.5651
340.000000 118.544 -178.5073
345.000000 118.536 -178.2588
350.000000 118.531 -178.0631
355.000000 118.504 -177.9807
360.000000 118.501 -177.9120
365.000000 118.513 -177.7364
370.000000 118.493 -177.4103
375.000000 118.481 -177.2518
382.000000 118.482 -177.1477
387.000000 118.479 -176.9564
395.000000 118.468 -176.7157
400.000000 118.455 -176.5618
406.000000 118.450 -176.4271
412.000000 118.452 -176.1967
418.000000 118.440 -176.0089
425.000000 118.444 -175.8077
431.000000 118.423 -175.7457
437.000000 118.423 -175.4456
444.000000 118.417 -175.2551
450.000000 118.409 -175.0519
455.000000 118.400 -174.8750
462.000000 118.413 -174.6055
468.000000 118.412 -174.4289
475.000000 118.403 -174.2271
482.000000 118.405 -174.0355
487.000000 118.402 -173.8520
494.000000 118.391 -173.7438
500.000000 118.399 -173.5518
508.000000 118.396 -173.2747
515.000000 118.388 -173.0123
522.000000 118.393 -172.7290
530.000000 118.393 -172.5842
538.000000 118.401 -172.2609
545.000000 118.389 -172.0373
552.000000 118.382 -171.7975
560.000000 118.401 -171.5521
570.000000 118.408 -171.2194
580.000000 118.407 -170.9337
590.000000 118.409 -170.6010
600.000000 118.422 -170.2085
608.000000 118.412 -170.0122
615.000000 118.429 -169.8015
622.000000 118.415 -169.6858
630.000000 118.433 -169.1594
640.000000 118.446 -168.9017
650.000000 118.434 -168.5672
660.000000 118.442 -168.1639
670.000000 118.452 -167.8608
680.000000 118.488 -167.6457
690.000000 118.474 -167.1538
700.000000 118.494 -166.7088
710.000000 118.504 -166.4622
720.000000 118.533 -165.9931
730.000000 118.521 -165.4902
740.000000 118.561 -165.2061
750.000000 118.591 -164.7753
762.000000 118.612 -164.4171
775.000000 118.675 -163.8303
788.000000 118.696 -163.1206
800.000000 118.737 -162.8292
812.000000 118.792 -162.3103
825.000000 118.849 -161.7908
838.000000 118.914 -161.3695
850.000000 118.958 -161.0123
862.000000 119.019 -160.5482
875.000000 119.096 -160.1360
885.000000 119.140 -159.8941
900.000000 119.211 -159.4143
912.000000 119.290 -159.0484
925.000000 119.374 -158.7614
938.000000 119.452 -158.3796
950.000000 119.509 -158.1249
962.000000 119.600 -157.7800
975.000000 119.689 -157.4908
988.000000 119.763 -157.1956
1000.000000 119.877 -157.2775
1015.000000 119.965 -156.9474
1030.000000 120.076 -156.6912
1044.000000 120.162 -156.6992
1060.000000 120.294 -156.5783
1075.000000 120.394 -156.5760
1090.000000 120.482 -156.4622
1106.000000 120.605 -156.5165
1120.000000 120.693 -156.6465
1138.000000 120.803 -156.7270
1150.000000 120.878 -156.9336
1172.000000 120.994 -157.0602
1180.000000 121.043 -157.0381
1206.000000 121.192 -157.4403
1220.000000 121.248 -157.6668
1241.000000 121.363 -157.9273
1250.000000 121.409 -158.0221
1265.000000 121.470 -158.3317
1280.000000 121.544 -158.5498
1315.000000 121.678 -159.0607
1320.000000 121.707 -159.2327
1340.000000 121.772 -159.5624
1360.000000 121.856 -159.8641
1380.000000 121.916 -160.1902
1400.000000 121.987 -160.5451
1430.000000 122.083 -161.0093
1450.000000 122.163 -161.4932
1475.000000 122.235 -161.9362
1500.000000 122.288 -162.4014
1525.000000 122.363 -162.8320
1550.000000 122.420 -163.2762
1575.000000 122.500 -163.8201
1600.000000 122.542 -164.2223
1625.000000 122.607 -164.7287
1650.000000 122.670 -165.2795
1675.000000 122.709 -165.8176
1700.000000 122.753 -166.3719
1725.000000 122.808 -167.0533
1750.000000 122.862 -167.5566
1775.000000 122.888 -168.0972
1800.000000 122.928 -168.7295
1825.000000 122.973 -169.3814
1850.000000 122.982 -169.9281
1875.000000 123.010 -170.6503
1900.000000 123.015 -171.2670
1925.000000 123.049 -171.9008
1950.000000 123.057 -172.5284
1975.000000 123.072 -173.1550
2000.000000 123.060 -173.6925
2030.000000 123.050 -174.6060
2060.000000 123.053 -175.3762
2090.000000 123.024 -176.2454
2120.000000 122.988 -176.9796
2140.000000 122.983 -177.4749
2180.000000 122.930 -178.5134
2200.000000 122.899 -178.9113
2240.000000 122.836 -179.9882
2270.000000 122.789 179.4033
2300.000000 122.726 178.6680
2330.000000 122.647 178.0942
2360.000000 122.572 177.5342
2400.000000 122.451 176.8115
2430.000000 122.385 176.2930
2470.000000 122.266 175.5682
2500.000000 122.192 175.2270
2540.000000 122.057 174.7859
2580.000000 121.935 174.3658
2620.000000 121.773 174.1685
2650.000000 121.681 173.8836
2690.000000 121.564 173.7871
2720.000000 121.442 173.6422
2760.000000 121.330 173.8022
2800.000000 121.201 173.7821
2850.000000 121.079 173.7079
2900.000000 120.943 174.0577
2950.000000 120.816 174.4254
3000.000000 120.730 174.6612
3040.000000 120.639 174.7680
3070.000000 120.583 174.8945
3110.000000 120.502 175.3197
3150.000000 120.408 175.5172
3200.000000 120.347 176.0621
3250.000000 120.237 176.5844
3300.000000 120.173 177.3355
3350.000000 120.140 177.9532
3400.000000 120.100 178.5674
3450.000000 120.088 179.1841
3500.000000 120.111 179.7538
3550.000000 120.120 -179.6164
3600.000000 120.134 -178.8206
3650.000000 120.176 -178.3519
3700.000000 120.220 -177.9044
3750.000000 120.268 -177.3826
3820.000000 120.364 -176.5479
3870.000000 120.470 -176.1855
3950.000000 120.679 -175.6491
4000.000000 120.836 -176.0999
4060.000000 121.026 -175.6595
4120.000000 121.192 -176.3896
4180.000000 121.391 -177.1326
4250.000000 121.594 -178.4787
4310.000000 121.726 179.8080
4370.000000 121.798 177.7771
4440.000000 121.760 175.0719
4500.000000 121.632 172.5495
4550.000000 121.412 170.6837
4620.000000 120.998 168.5745
4680.000000 120.487 167.4817
4750.000000 119.885 167.4020
4820.000000 119.287 169.2259
4870.000000 118.900 171.1846
4940.000000 118.482 174.9453
5000.000000 118.295 178.2105
5080.000000 118.354 -176.3457
5150.000000 118.556 -172.0670
5220.000000 118.923 -168.2839
5300.000000 119.594 -165.2952
5380.000000 120.308 -163.5257
5450.000000 120.961 -163.0880
5520.000000 121.630 -163.8226
5600.000000 122.355 -166.1221
