* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.850
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Jul 11, 2024 5:48:24 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L DAVINCI Jul 11
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 144.613 -162.5993
20.600000 144.617 -163.1345
20.900000 144.618 -163.6134
21.200001 144.617 -164.0947
21.400000 144.617 -164.4207
21.799999 144.617 -165.0823
22.000000 144.617 -165.4145
22.400000 144.617 -166.0701
22.700001 144.617 -166.5468
23.000000 144.616 -167.0074
23.299999 144.615 -167.4532
23.600000 144.614 -167.8858
24.000000 144.612 -168.4436
24.299999 144.610 -168.8482
24.700001 144.607 -169.3716
25.000000 144.606 -169.7569
25.400000 144.605 -170.2703
25.799999 144.605 -170.7914
26.200001 144.602 -171.3177
26.500000 144.598 -171.7078
26.900000 144.591 -172.2096
27.200001 144.585 -172.5667
27.600000 144.579 -173.0176
28.000000 144.574 -173.4501
28.500000 144.568 -173.9886
29.000000 144.561 -174.5434
29.500000 144.548 -175.1079
30.000000 144.533 -175.6517
30.400000 144.523 -176.0561
30.700001 144.519 -176.3439
31.100000 144.516 -176.7223
31.500000 144.513 -177.1061
32.000000 144.500 -177.5829
32.500000 144.477 -178.0222
33.000000 144.457 -178.4371
33.500000 144.447 -178.9110
34.000000 144.441 -179.4861
34.500000 144.427 179.9561
35.000000 144.408 179.5803
35.500000 144.403 179.3655
36.000000 144.405 179.0662
36.500000 144.375 178.5220
37.000000 144.283 177.9064
37.500000 144.164 177.5421
38.200001 144.100 177.4536
38.700001 144.164 177.1926
39.500000 144.276 176.0682
40.000000 144.274 175.4501
40.599998 144.233 175.1650
41.200001 144.210 175.0319
41.799999 144.195 174.6485
42.500000 144.157 174.0117
43.099998 144.130 173.5746
43.700001 144.120 173.2039
44.400002 144.105 172.7572
45.000000 144.074 172.3997
45.500000 144.047 172.1189
46.200001 144.014 171.6859
46.799999 143.989 171.2872
47.500000 143.960 170.8695
48.200001 143.936 170.5013
48.700001 143.919 170.2358
49.400002 143.893 169.8409
50.000000 143.867 169.5006
50.799999 143.831 169.0871
51.500000 143.803 168.7372
52.200001 143.774 168.3536
53.000000 143.737 167.9316
53.799999 143.705 167.5567
54.500000 143.679 167.1779
55.200001 143.640 166.7736
56.000000 143.591 166.4089
57.000000 143.557 165.9799
58.000000 143.520 165.4796
59.000000 143.475 165.1342
60.000000 143.439 164.7300
60.799999 143.396 164.3316
61.500000 143.357 164.0202
62.200001 143.323 163.7122
63.000000 143.286 163.3543
64.000000 143.240 162.9786
65.000000 143.198 162.5963
66.000000 143.146 162.2120
67.000000 143.094 161.8495
68.000000 143.042 161.4893
69.000000 143.000 161.1392
70.000000 142.959 160.7538
71.000000 142.908 160.4388
72.000000 142.853 160.1299
73.000000 142.806 159.7745
74.000000 142.761 159.3990
75.000000 142.713 159.3426
76.199997 142.683 159.0762
77.500000 142.569 158.4240
78.800003 142.515 158.0010
80.000000 142.446 157.6765
81.199997 142.386 157.3792
82.500000 142.315 157.0265
83.800003 142.262 156.7470
85.000000 142.194 156.4429
86.199997 142.129 156.1164
87.500000 142.063 155.8919
88.500000 142.013 155.6539
90.000000 141.932 155.3334
91.199997 141.869 155.0660
92.500000 141.793 154.9141
93.800003 141.727 154.7193
95.000000 141.691 154.3255
96.199997 141.639 154.0208
97.500000 141.559 153.8839
98.800003 141.468 153.7884
100.000000 141.417 153.4214
101.500000 141.343 153.2014
103.000000 141.258 153.0673
104.400002 141.186 152.8371
106.000000 141.102 152.6641
107.500000 141.033 152.4369
109.000000 140.948 152.3734
110.599998 140.853 152.0939
112.000000 140.814 151.9220
113.800003 140.642 152.6696
115.000000 140.636 151.8788
117.199997 140.526 151.4689
118.000000 140.441 151.4825
120.599998 140.345 150.7256
122.000000 140.296 151.4548
124.099998 140.179 151.1315
125.000000 140.141 151.1620
126.500000 140.059 151.1546
128.000000 139.977 150.9124
131.500000 139.784 151.0344
132.000000 139.750 150.9499
134.000000 139.657 151.0766
136.000000 139.569 150.9661
138.000000 139.490 151.1070
140.000000 139.392 150.9322
143.000000 139.257 151.0676
145.000000 139.169 151.2230
147.500000 139.034 151.3163
150.000000 138.937 151.3414
152.500000 138.868 151.5034
155.000000 138.719 151.6074
157.500000 138.637 151.8860
160.000000 138.515 152.1827
162.500000 138.395 152.3620
165.000000 138.292 152.5292
167.500000 138.206 152.8321
170.000000 138.105 153.1388
172.500000 138.013 153.3765
175.000000 137.941 153.6149
177.500000 137.841 154.0324
180.000000 137.778 154.5063
182.500000 137.684 154.5325
185.000000 137.613 155.0538
187.500000 137.511 155.4999
190.000000 137.405 155.5581
192.500000 137.375 156.2085
195.000000 137.312 156.2170
197.500000 137.249 157.0199
200.000000 137.157 157.2001
203.000000 137.086 157.8466
206.000000 137.038 158.2523
209.000000 136.999 158.6416
212.000000 136.887 159.0887
214.000000 136.881 159.7585
218.000000 136.756 160.1787
220.000000 136.747 160.6378
224.000000 136.648 161.1634
227.000000 136.638 161.8231
230.000000 136.604 162.1729
233.000000 136.523 162.7047
236.000000 136.508 163.2621
240.000000 136.422 163.2684
243.000000 136.430 164.5199
247.000000 136.399 165.4169
250.000000 136.373 165.3974
254.000000 136.349 166.0640
258.000000 136.307 166.6447
262.000000 136.280 167.3683
265.000000 136.299 167.8556
269.000000 136.223 168.2362
272.000000 136.231 168.6664
276.000000 136.235 169.3234
280.000000 136.222 169.7213
285.000000 136.189 170.0807
290.000000 136.198 171.0472
295.000000 136.192 171.7490
300.000000 136.205 172.1111
304.000000 136.095 172.1330
307.000000 136.198 173.0043
311.000000 136.207 173.2702
315.000000 136.202 173.8683
320.000000 136.201 174.0699
325.000000 136.242 174.3928
330.000000 136.261 174.9275
335.000000 136.246 175.2844
340.000000 136.256 175.6268
345.000000 136.278 176.1837
350.000000 136.274 176.4913
355.000000 136.284 176.8907
360.000000 136.359 176.9691
365.000000 136.268 177.5131
370.000000 136.320 177.5143
375.000000 136.316 178.1033
382.000000 136.311 178.3963
387.000000 136.335 178.6459
395.000000 136.333 178.7583
400.000000 136.363 179.1168
406.000000 136.342 179.4851
412.000000 136.386 179.6670
418.000000 136.385 -179.7891
425.000000 136.392 -179.7222
431.000000 136.386 -179.5096
437.000000 136.364 -179.4488
444.000000 136.398 -178.9699
450.000000 136.387 -178.7963
455.000000 136.368 -178.6016
462.000000 136.396 -178.0926
468.000000 136.354 -178.2451
475.000000 136.367 -178.0680
482.000000 136.369 -177.8298
487.000000 136.340 -177.5183
494.000000 136.383 -177.4024
500.000000 136.344 -177.0905
508.000000 136.341 -176.8759
515.000000 136.307 -176.8262
522.000000 136.322 -176.5219
530.000000 136.275 -175.9860
538.000000 136.274 -175.8023
545.000000 136.260 -175.6365
552.000000 136.269 -175.3766
560.000000 136.237 -175.1735
570.000000 136.227 -174.8029
580.000000 136.176 -174.4458
590.000000 136.161 -174.1564
600.000000 136.127 -173.8257
608.000000 136.105 -173.4653
615.000000 136.090 -173.1536
622.000000 136.065 -173.0164
630.000000 136.053 -172.6151
640.000000 136.013 -172.1795
650.000000 135.995 -171.9401
660.000000 135.954 -171.4918
670.000000 135.937 -170.9669
680.000000 135.889 -170.5765
690.000000 135.879 -170.0562
700.000000 135.846 -169.6190
710.000000 135.813 -169.0852
720.000000 135.785 -168.6283
730.000000 135.758 -168.0725
740.000000 135.737 -167.5211
750.000000 135.723 -166.9824
762.000000 135.690 -166.3077
775.000000 135.677 -165.5513
788.000000 135.663 -164.8399
800.000000 135.642 -164.1547
812.000000 135.629 -163.3944
825.000000 135.619 -162.6672
838.000000 135.613 -161.9045
850.000000 135.623 -161.1711
862.000000 135.623 -160.4329
875.000000 135.629 -159.6315
885.000000 135.647 -159.0491
900.000000 135.649 -158.0949
912.000000 135.679 -157.4999
925.000000 135.702 -156.6147
938.000000 135.727 -155.8717
950.000000 135.755 -155.1582
962.000000 135.791 -154.4365
975.000000 135.825 -153.7207
988.000000 135.871 -152.9724
1000.000000 135.920 -152.2782
1015.000000 135.971 -151.4487
1030.000000 136.021 -150.7381
1044.000000 136.100 -150.0292
1060.000000 136.170 -149.2450
1075.000000 136.234 -148.4983
1090.000000 136.317 -147.8123
1106.000000 136.400 -147.1737
1120.000000 136.483 -146.6296
1138.000000 136.583 -145.9979
1150.000000 136.646 -145.5708
1172.000000 136.781 -145.0744
1180.000000 136.823 -144.9148
1206.000000 136.962 -144.3425
1220.000000 137.030 -144.1119
1241.000000 137.109 -143.7991
1250.000000 137.137 -143.7421
1265.000000 137.190 -143.4627
1280.000000 137.234 -143.2291
1315.000000 137.315 -142.5296
1320.000000 137.331 -142.5098
1340.000000 137.373 -142.1258
1360.000000 137.417 -141.6391
1380.000000 137.458 -141.1628
1400.000000 137.506 -140.7410
1430.000000 137.572 -139.9345
1450.000000 137.620 -139.4130
1475.000000 137.690 -138.7951
1500.000000 137.755 -138.1443
1525.000000 137.828 -137.3582
1550.000000 137.899 -136.6829
1575.000000 137.975 -136.0148
1600.000000 138.069 -135.3487
1625.000000 138.163 -134.6952
1650.000000 138.252 -134.0013
1675.000000 138.352 -133.3793
1700.000000 138.464 -132.7489
1725.000000 138.573 -132.1735
1750.000000 138.688 -131.6399
1775.000000 138.803 -131.1169
1800.000000 138.940 -130.6366
1825.000000 139.071 -130.1869
1850.000000 139.203 -129.7810
1875.000000 139.332 -129.4500
1900.000000 139.473 -129.1208
1925.000000 139.612 -128.8702
1950.000000 139.746 -128.7068
1975.000000 139.890 -128.5909
2000.000000 140.033 -128.4568
2030.000000 140.188 -128.4375
2060.000000 140.339 -128.4664
2090.000000 140.491 -128.6056
2120.000000 140.641 -128.8360
2140.000000 140.735 -128.9363
2180.000000 140.905 -129.3116
2200.000000 140.986 -129.4823
2240.000000 141.142 -129.9484
2270.000000 141.240 -130.3103
2300.000000 141.338 -130.6688
2330.000000 141.428 -131.0408
2360.000000 141.509 -131.4228
2400.000000 141.614 -131.9178
2430.000000 141.687 -132.2974
2470.000000 141.780 -132.7663
2500.000000 141.849 -133.0800
2540.000000 141.943 -133.5963
2580.000000 142.034 -134.1087
2620.000000 142.128 -134.6934
2650.000000 142.194 -135.1504
2690.000000 142.289 -135.8975
2720.000000 142.353 -136.5102
2760.000000 142.429 -137.4219
2800.000000 142.481 -138.4696
2850.000000 142.500 -139.8644
2900.000000 142.454 -141.2283
2950.000000 142.374 -142.2996
3000.000000 142.270 -142.9698
3040.000000 142.191 -143.2128
3070.000000 142.160 -143.3248
3110.000000 142.133 -143.3944
3150.000000 142.129 -143.4612
3200.000000 142.160 -143.7640
3250.000000 142.191 -144.2219
3300.000000 142.223 -144.8194
3350.000000 142.249 -145.5696
3400.000000 142.250 -146.3924
3450.000000 142.231 -147.2972
3500.000000 142.189 -148.1534
3550.000000 142.138 -148.9837
3600.000000 142.072 -149.7685
3650.000000 141.999 -150.3582
3700.000000 141.919 -151.0042
3750.000000 141.839 -151.5222
3820.000000 141.737 -152.0730
3870.000000 141.677 -152.4087
3950.000000 141.587 -152.9417
4000.000000 141.545 -153.2455
4060.000000 141.517 -153.6494
4120.000000 141.499 -154.0930
4180.000000 141.500 -154.6596
4250.000000 141.492 -155.5115
4310.000000 141.489 -156.4373
4370.000000 141.489 -157.5226
4440.000000 141.453 -158.9673
4500.000000 141.396 -160.3474
4550.000000 141.329 -161.6254
4620.000000 141.211 -163.2814
4680.000000 141.083 -164.6919
4750.000000 140.911 -166.3549
4820.000000 140.713 -167.9884
4870.000000 140.556 -169.1737
4940.000000 140.320 -170.7085
5000.000000 140.085 -172.0217
5080.000000 139.756 -173.4925
5150.000000 139.432 -174.7768
5220.000000 139.096 -175.8385
5300.000000 138.655 -176.7616
5380.000000 138.221 -177.1353
5450.000000 137.861 -177.2773
5520.000000 137.512 -177.0590
5600.000000 137.139 -176.7032
5700.000000 136.723 -175.9883
5800.000000 136.342 -175.0011
