* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0.850
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Jul 11, 2024 5:47:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R DAVINCI Jul 11
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 144.949 -165.1550
20.600000 144.950 -165.6761
20.900000 144.945 -166.1431
21.200001 144.941 -166.6071
21.400000 144.939 -166.9158
21.799999 144.936 -167.5290
22.000000 144.936 -167.8315
22.400000 144.938 -168.4243
22.700001 144.940 -168.8571
23.000000 144.941 -169.2806
23.299999 144.941 -169.6955
23.600000 144.939 -170.1014
24.000000 144.935 -170.6276
24.299999 144.931 -171.0103
24.700001 144.925 -171.5050
25.000000 144.921 -171.8654
25.400000 144.916 -172.3340
25.799999 144.910 -172.7936
26.200001 144.905 -173.2522
26.500000 144.902 -173.6012
26.900000 144.896 -174.0756
27.200001 144.891 -174.4333
27.600000 144.883 -174.8995
28.000000 144.874 -175.3389
28.500000 144.865 -175.8506
29.000000 144.855 -176.3471
29.500000 144.841 -176.8447
30.000000 144.823 -177.3330
30.400000 144.811 -177.7171
30.700001 144.807 -178.0117
31.100000 144.804 -178.4230
31.500000 144.799 -178.8385
32.000000 144.785 -179.2935
32.500000 144.765 -179.6333
33.000000 144.750 -179.9532
33.500000 144.736 179.6012
34.000000 144.711 179.0372
34.500000 144.686 178.5292
35.000000 144.688 178.1563
35.500000 144.719 177.7851
36.000000 144.725 177.3361
36.500000 144.654 177.0488
37.000000 144.533 177.2599
37.500000 144.455 177.8301
38.200001 144.504 177.8696
38.700001 144.565 176.8208
39.500000 144.533 174.7492
40.000000 144.487 174.1536
40.599998 144.489 174.0155
41.200001 144.516 173.7907
41.799999 144.493 173.3625
42.500000 144.428 172.9150
43.099998 144.402 172.5238
43.700001 144.393 172.0290
44.400002 144.371 171.5287
45.000000 144.346 171.2558
45.500000 144.327 171.0287
46.200001 144.295 170.6125
46.799999 144.264 170.2166
47.500000 144.232 169.7856
48.200001 144.202 169.4247
48.700001 144.181 169.2027
49.400002 144.155 168.8575
50.000000 144.127 168.5040
50.799999 144.082 168.0942
51.500000 144.057 167.8208
52.200001 144.041 167.4889
53.000000 144.013 167.0444
53.799999 143.980 166.6463
54.500000 143.952 166.2916
55.200001 143.915 165.9267
56.000000 143.865 165.5867
57.000000 143.819 165.1938
58.000000 143.784 164.7277
59.000000 143.746 164.3010
60.000000 143.700 163.8758
60.799999 143.655 163.5502
61.500000 143.619 163.2782
62.200001 143.589 162.9908
63.000000 143.557 162.6528
64.000000 143.513 162.2665
65.000000 143.467 161.9440
66.000000 143.420 161.6178
67.000000 143.366 161.2372
68.000000 143.310 160.8319
69.000000 143.261 160.4831
70.000000 143.225 160.1933
71.000000 143.180 159.8774
72.000000 143.122 159.5555
73.000000 143.062 159.2218
74.000000 143.017 158.9509
75.000000 142.986 158.5028
76.199997 142.892 158.0421
77.500000 142.842 157.9367
78.800003 142.779 157.4738
80.000000 142.718 157.2244
81.199997 142.656 156.9011
82.500000 142.586 156.6324
83.800003 142.527 156.2568
85.000000 142.461 155.9622
86.199997 142.400 155.7396
87.500000 142.335 155.3899
88.500000 142.284 155.2214
90.000000 142.213 154.9217
91.199997 142.138 154.6539
92.500000 142.083 154.4427
93.800003 142.001 154.1037
95.000000 141.935 154.2007
96.199997 141.898 153.8127
97.500000 141.825 153.5930
98.800003 141.760 153.3336
100.000000 141.681 153.2119
101.500000 141.613 152.9464
103.000000 141.536 152.7289
104.400002 141.452 152.5016
106.000000 141.382 152.3558
107.500000 141.292 152.1302
109.000000 141.217 151.9819
110.599998 141.138 151.8836
112.000000 141.071 151.5894
113.800003 140.992 151.6774
115.000000 140.924 151.5640
117.199997 140.787 151.3542
118.000000 140.769 151.3108
120.599998 140.608 151.4179
122.000000 140.540 150.9648
124.099998 140.444 150.9298
125.000000 140.393 150.9422
126.500000 140.319 150.8588
128.000000 140.252 150.8313
131.500000 140.071 150.8395
132.000000 140.058 150.7815
134.000000 139.964 150.5132
136.000000 139.870 150.6718
138.000000 139.771 150.8488
140.000000 139.659 150.8342
143.000000 139.523 150.8112
145.000000 139.434 151.0854
147.500000 139.316 151.1275
150.000000 139.194 151.1844
152.500000 139.098 151.5480
155.000000 138.977 151.6416
157.500000 138.878 151.6475
160.000000 138.777 152.0384
162.500000 138.673 152.1418
165.000000 138.574 152.4217
167.500000 138.489 152.7792
170.000000 138.377 153.3382
172.500000 138.273 153.3939
175.000000 138.205 153.6649
177.500000 138.127 153.9406
180.000000 138.009 154.3624
182.500000 137.937 154.6746
185.000000 137.837 155.0684
187.500000 137.770 155.4539
190.000000 137.677 155.6448
192.500000 137.622 156.0550
195.000000 137.537 156.4543
197.500000 137.497 156.8987
200.000000 137.399 157.3972
203.000000 137.335 157.8400
206.000000 137.265 158.3512
209.000000 137.194 158.8010
212.000000 137.153 159.3206
214.000000 137.095 159.6878
218.000000 137.015 160.4479
220.000000 136.984 160.7945
224.000000 136.917 161.3832
227.000000 136.877 162.0945
230.000000 136.806 162.4937
233.000000 136.780 163.0572
236.000000 136.761 163.6719
240.000000 136.713 164.1271
243.000000 136.672 164.7643
247.000000 136.639 165.4879
250.000000 136.598 165.8034
254.000000 136.578 166.6288
258.000000 136.541 167.1878
262.000000 136.523 167.7843
265.000000 136.520 168.3175
269.000000 136.498 168.8963
272.000000 136.482 169.2400
276.000000 136.482 169.8350
280.000000 136.471 170.3885
285.000000 136.465 171.0755
290.000000 136.455 171.6820
295.000000 136.478 172.2747
300.000000 136.479 172.7637
304.000000 136.516 172.8828
307.000000 136.465 173.6759
311.000000 136.497 174.0920
315.000000 136.513 174.3676
320.000000 136.508 175.0429
325.000000 136.529 175.3734
330.000000 136.537 175.8139
335.000000 136.538 176.1601
340.000000 136.582 176.5604
345.000000 136.564 176.9578
350.000000 136.565 177.2682
355.000000 136.604 177.6484
360.000000 136.638 177.7211
365.000000 136.634 178.0861
370.000000 136.626 178.3816
375.000000 136.673 178.7856
382.000000 136.668 179.1400
387.000000 136.667 179.3861
395.000000 136.672 179.6760
400.000000 136.681 179.8337
406.000000 136.698 -179.7580
412.000000 136.692 -179.6134
418.000000 136.697 -179.2641
425.000000 136.708 -179.2074
431.000000 136.705 -178.9773
437.000000 136.690 -178.8391
444.000000 136.690 -178.5138
450.000000 136.682 -178.4831
455.000000 136.680 -178.0767
462.000000 136.654 -177.8166
468.000000 136.626 -177.6863
475.000000 136.619 -177.5124
482.000000 136.599 -177.0383
487.000000 136.523 -177.0869
494.000000 136.616 -175.5543
500.000000 136.553 -176.2446
508.000000 136.534 -175.7740
515.000000 136.516 -175.6748
522.000000 136.566 -175.0518
530.000000 136.471 -174.8223
538.000000 136.486 -174.1983
545.000000 136.528 -173.8898
552.000000 136.526 -173.6664
560.000000 136.535 -173.5325
570.000000 136.499 -172.6268
580.000000 136.523 -172.7686
590.000000 136.484 -172.4178
600.000000 136.442 -171.9764
608.000000 136.454 -171.5210
615.000000 136.449 -171.5209
622.000000 136.423 -171.2911
630.000000 136.396 -170.8549
640.000000 136.403 -170.6878
650.000000 136.380 -170.2824
660.000000 136.334 -169.7735
670.000000 136.343 -169.4110
680.000000 136.292 -168.9053
690.000000 136.288 -168.3989
700.000000 136.262 -167.9561
710.000000 136.233 -167.3632
720.000000 136.216 -167.0671
730.000000 136.194 -166.3817
740.000000 136.180 -165.9346
750.000000 136.165 -165.4984
762.000000 136.125 -164.6953
775.000000 136.102 -164.0248
788.000000 136.089 -163.2947
800.000000 136.078 -162.5420
812.000000 136.074 -161.8913
825.000000 136.070 -161.1023
838.000000 136.068 -160.3971
850.000000 136.070 -159.6768
862.000000 136.079 -158.9633
875.000000 136.093 -158.0476
885.000000 136.098 -157.4597
900.000000 136.132 -156.6420
912.000000 136.167 -155.5983
925.000000 136.171 -155.1105
938.000000 136.203 -154.3660
950.000000 136.234 -153.6458
962.000000 136.271 -152.9775
975.000000 136.308 -152.1609
988.000000 136.351 -151.5344
1000.000000 136.409 -150.8775
1015.000000 136.451 -150.1229
1030.000000 136.532 -149.3267
1044.000000 136.592 -148.5662
1060.000000 136.674 -147.8448
1075.000000 136.744 -147.1755
1090.000000 136.826 -146.5716
1106.000000 136.902 -145.9449
1120.000000 136.981 -145.4572
1138.000000 137.086 -144.7578
1150.000000 137.164 -144.4433
1172.000000 137.286 -143.8522
1180.000000 137.326 -143.6684
1206.000000 137.462 -143.1258
1220.000000 137.530 -142.9794
1241.000000 137.613 -142.6535
1250.000000 137.641 -142.5428
1265.000000 137.702 -142.2688
1280.000000 137.742 -142.0476
1315.000000 137.836 -141.4899
1320.000000 137.843 -141.4779
1340.000000 137.893 -141.0482
1360.000000 137.945 -140.6427
1380.000000 137.977 -140.2267
1400.000000 138.022 -139.8237
1430.000000 138.091 -139.1189
1450.000000 138.134 -138.6705
1475.000000 138.200 -138.0753
1500.000000 138.255 -137.4587
1525.000000 138.322 -136.8128
1550.000000 138.391 -136.2427
1575.000000 138.453 -135.5341
1600.000000 138.529 -134.9659
1625.000000 138.613 -134.3360
1650.000000 138.698 -133.7272
1675.000000 138.783 -133.1534
1700.000000 138.876 -132.5719
1725.000000 138.966 -132.0055
1750.000000 139.060 -131.5022
1775.000000 139.162 -130.9892
1800.000000 139.271 -130.5392
1825.000000 139.376 -130.0302
1850.000000 139.484 -129.6703
1875.000000 139.590 -129.3005
1900.000000 139.705 -128.9565
1925.000000 139.812 -128.6483
1950.000000 139.927 -128.3857
1975.000000 140.037 -128.1167
2000.000000 140.144 -127.9275
2030.000000 140.284 -127.7195
2060.000000 140.416 -127.5381
2090.000000 140.539 -127.4867
2120.000000 140.663 -127.4306
2140.000000 140.742 -127.4117
2180.000000 140.902 -127.4151
2200.000000 140.975 -127.4116
2240.000000 141.120 -127.4563
2270.000000 141.229 -127.5407
2300.000000 141.333 -127.6316
2330.000000 141.434 -127.7213
2360.000000 141.534 -127.8426
2400.000000 141.656 -128.0044
2430.000000 141.755 -128.1636
2470.000000 141.887 -128.3885
2500.000000 141.983 -128.5685
2540.000000 142.113 -128.9468
2580.000000 142.248 -129.2749
2620.000000 142.381 -129.7609
2650.000000 142.477 -130.2010
2690.000000 142.603 -130.8875
2720.000000 142.691 -131.5231
2760.000000 142.792 -132.4382
2800.000000 142.860 -133.4697
2850.000000 142.900 -134.9135
2900.000000 142.880 -136.1513
2950.000000 142.824 -137.0831
3000.000000 142.775 -137.6247
3040.000000 142.747 -137.8869
3070.000000 142.744 -138.0596
3110.000000 142.765 -138.3377
3150.000000 142.805 -138.6911
3200.000000 142.853 -139.3025
3250.000000 142.897 -140.1751
3300.000000 142.915 -141.1040
3350.000000 142.912 -142.1711
3400.000000 142.884 -143.2230
3450.000000 142.829 -144.2167
3500.000000 142.757 -145.1349
3550.000000 142.668 -146.0338
3600.000000 142.572 -146.7005
3650.000000 142.469 -147.2879
3700.000000 142.370 -147.8003
3750.000000 142.271 -148.1636
3820.000000 142.152 -148.6081
3870.000000 142.074 -148.8289
3950.000000 141.989 -149.1470
4000.000000 141.944 -149.3195
4060.000000 141.924 -149.6739
4120.000000 141.903 -150.1116
4180.000000 141.900 -150.6707
4250.000000 141.897 -151.5461
4310.000000 141.881 -152.4801
4370.000000 141.854 -153.5664
4440.000000 141.803 -155.0104
4500.000000 141.725 -156.3469
4550.000000 141.639 -157.4958
4620.000000 141.489 -159.1110
4680.000000 141.332 -160.4210
4750.000000 141.114 -161.9023
4820.000000 140.897 -163.2731
4870.000000 140.723 -164.2078
4940.000000 140.467 -165.3810
5000.000000 140.233 -166.2952
5080.000000 139.919 -167.4489
5150.000000 139.617 -168.2640
5220.000000 139.317 -169.0593
5300.000000 138.964 -169.6690
5380.000000 138.591 -170.1476
5450.000000 138.273 -170.3018
5520.000000 137.973 -170.3503
5600.000000 137.627 -170.1640
5700.000000 137.253 -169.8139
5800.000000 136.895 -169.1009
