* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Oct 31, 2024 6:56:04 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R E20 342
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 121.867 -156.0403
20.600000 121.888 -156.7849
20.900000 121.901 -157.4519
21.200001 121.913 -158.1073
21.400000 121.921 -158.5390
21.799999 121.941 -159.3912
22.000000 121.952 -159.8122
22.400000 121.977 -160.6460
22.700001 121.995 -161.2660
23.000000 122.011 -161.8817
23.299999 122.024 -162.4898
23.600000 122.034 -163.0848
24.000000 122.043 -163.8498
24.299999 122.049 -164.4015
24.700001 122.061 -165.1195
25.000000 122.074 -165.6606
25.400000 122.094 -166.4046
25.799999 122.113 -167.1765
26.200001 122.124 -167.9515
26.500000 122.126 -168.5116
26.900000 122.124 -169.2101
27.200001 122.121 -169.6988
27.600000 122.118 -170.3241
28.000000 122.118 -170.9537
28.500000 122.119 -171.7781
29.000000 122.116 -172.6276
29.500000 122.109 -173.4589
30.000000 122.102 -174.2476
30.400000 122.098 -174.8519
30.700001 122.095 -175.2936
31.100000 122.089 -175.8687
31.500000 122.082 -176.4268
32.000000 122.071 -177.1054
32.500000 122.060 -177.7816
33.000000 122.045 -178.4728
33.500000 122.026 -179.1717
34.000000 122.002 -179.8490
34.500000 121.979 179.5157
35.000000 121.962 178.9120
35.500000 121.951 178.3100
36.000000 121.941 177.6956
36.500000 121.925 177.0865
37.000000 121.901 176.5099
37.500000 121.874 175.9641
38.200001 121.835 175.1833
38.700001 121.805 174.5812
39.500000 121.755 173.6037
40.000000 121.730 173.0195
40.599998 121.708 172.3278
41.200001 121.681 171.6464
41.799999 121.643 171.0397
42.500000 121.597 170.4494
43.099998 121.564 169.9343
43.700001 121.529 169.3465
44.400002 121.475 168.6604
45.000000 121.431 168.1335
45.500000 121.400 167.6932
46.200001 121.358 167.0200
46.799999 121.316 166.4368
47.500000 121.268 165.8049
48.200001 121.222 165.1799
48.700001 121.183 164.7356
49.400002 121.118 164.1725
50.000000 121.068 163.7328
50.799999 121.014 163.0889
51.500000 120.968 162.4848
52.200001 120.917 161.9690
53.000000 120.864 161.4927
53.799999 120.809 160.9908
54.500000 120.750 160.4904
55.200001 120.685 159.9665
56.000000 120.612 159.3795
57.000000 120.524 158.7311
58.000000 120.445 158.0926
59.000000 120.356 157.3726
60.000000 120.259 156.7698
60.799999 120.193 156.3626
61.500000 120.137 155.9882
62.200001 120.077 155.5925
63.000000 120.009 155.1292
64.000000 119.923 154.5601
65.000000 119.832 154.0532
66.000000 119.736 153.6457
67.000000 119.647 153.2104
68.000000 119.551 152.6446
69.000000 119.452 152.1535
70.000000 119.367 151.7394
71.000000 119.271 151.3409
72.000000 119.168 150.9330
73.000000 119.070 150.5127
74.000000 118.980 150.1683
75.000000 118.887 149.8158
76.199997 118.760 149.3915
77.500000 118.650 149.0379
78.800003 118.523 148.5853
80.000000 118.405 148.2221
81.199997 118.288 148.0779
82.500000 118.190 147.9041
83.800003 118.014 147.3040
85.000000 117.927 147.1221
86.199997 117.810 146.7826
87.500000 117.677 146.5922
88.500000 117.569 146.3089
90.000000 117.441 146.2271
91.199997 117.321 145.9980
92.500000 117.177 145.7746
93.800003 117.058 145.6813
95.000000 116.943 145.6070
96.199997 116.834 145.5900
97.500000 116.707 145.3496
98.800003 116.570 145.2892
100.000000 116.456 145.3349
101.500000 116.318 145.3578
103.000000 116.169 145.3422
104.400002 116.035 145.3178
106.000000 115.895 145.3968
107.500000 115.756 145.4767
109.000000 115.591 145.5512
110.599998 115.476 145.6611
112.000000 115.340 145.9355
113.800003 115.165 146.1454
115.000000 115.071 146.2751
117.199997 114.884 146.6061
118.000000 114.824 146.7072
120.599998 114.575 147.3372
122.000000 114.475 147.4174
124.099998 114.314 148.0181
125.000000 114.227 148.2648
126.500000 114.096 148.5878
128.000000 113.987 149.0450
131.500000 113.725 149.9066
132.000000 113.687 150.0250
134.000000 113.570 150.7856
136.000000 113.435 151.5326
138.000000 113.273 152.2137
140.000000 113.093 152.7068
143.000000 112.972 154.0727
145.000000 112.877 154.7767
147.500000 112.750 155.8984
150.000000 112.613 156.7176
152.500000 112.497 157.5969
155.000000 112.403 158.7736
157.500000 112.315 159.8989
160.000000 112.252 161.0416
162.500000 112.148 161.9855
165.000000 112.096 163.1147
167.500000 112.080 164.3375
170.000000 111.993 165.4747
172.500000 111.981 166.4708
175.000000 111.946 167.5162
177.500000 111.920 168.2832
180.000000 111.915 169.4487
182.500000 111.901 170.5289
185.000000 111.881 171.1740
187.500000 111.934 172.2926
190.000000 111.930 172.9497
192.500000 111.960 173.9185
195.000000 111.982 174.8077
197.500000 112.002 175.8399
200.000000 112.006 176.2028
203.000000 112.055 177.1480
206.000000 112.082 178.1482
209.000000 112.114 178.9026
212.000000 112.173 179.7206
214.000000 112.251 179.9908
218.000000 112.321 -179.3310
220.000000 112.339 -178.3051
224.000000 112.415 -177.6021
227.000000 112.435 -177.3613
230.000000 112.543 -177.0609
233.000000 112.594 -176.2879
236.000000 112.653 -176.0847
240.000000 112.729 -175.3087
243.000000 112.785 -174.9355
247.000000 112.869 -174.5852
250.000000 112.882 -174.3115
254.000000 112.972 -173.8219
258.000000 113.070 -173.2788
262.000000 113.115 -173.0174
265.000000 113.173 -172.9029
269.000000 113.187 -172.6073
272.000000 113.255 -172.3740
276.000000 113.327 -172.1078
280.000000 113.336 -171.8939
285.000000 113.435 -171.5834
290.000000 113.468 -171.4772
295.000000 113.548 -171.1485
300.000000 113.597 -171.1601
304.000000 113.656 -171.0014
307.000000 113.668 -170.9513
311.000000 113.682 -170.7289
315.000000 113.715 -170.6753
320.000000 113.764 -170.3478
325.000000 113.807 -170.4190
330.000000 113.803 -170.1099
335.000000 113.882 -170.2538
340.000000 113.884 -170.0553
345.000000 113.915 -170.0868
350.000000 113.916 -170.0113
355.000000 113.993 -169.9651
360.000000 113.990 -169.7842
365.000000 113.986 -169.5973
370.000000 114.018 -169.4499
375.000000 114.014 -169.4154
382.000000 114.035 -169.3969
387.000000 114.041 -169.1560
395.000000 114.076 -169.0432
400.000000 114.086 -168.8827
406.000000 114.103 -168.9379
412.000000 114.085 -168.6907
418.000000 114.089 -168.5437
425.000000 114.079 -168.4644
431.000000 114.115 -168.1354
437.000000 114.089 -168.2786
444.000000 114.076 -168.1255
450.000000 114.097 -167.6987
455.000000 114.062 -167.6916
462.000000 114.059 -167.5381
468.000000 114.074 -167.2020
475.000000 114.090 -167.2311
482.000000 114.075 -166.8398
487.000000 114.060 -166.7880
494.000000 114.069 -166.4551
500.000000 114.060 -166.3114
508.000000 114.048 -165.8421
515.000000 114.049 -165.6198
522.000000 114.012 -165.4869
530.000000 114.012 -165.1779
538.000000 114.024 -164.9142
545.000000 113.994 -164.4879
552.000000 113.995 -164.1139
560.000000 114.002 -163.7703
570.000000 113.977 -163.1900
580.000000 113.984 -163.0715
590.000000 113.990 -162.5028
600.000000 113.974 -162.1830
608.000000 113.983 -161.8115
615.000000 113.989 -161.3075
622.000000 113.974 -160.9117
630.000000 113.962 -160.5484
640.000000 113.971 -159.8093
650.000000 113.967 -159.4449
660.000000 113.973 -159.0219
670.000000 113.986 -158.4360
680.000000 114.006 -157.8472
690.000000 113.976 -157.0861
700.000000 114.023 -156.6805
710.000000 114.004 -156.1278
720.000000 114.027 -155.4259
730.000000 114.061 -155.0996
740.000000 114.039 -154.3380
750.000000 114.065 -153.7869
762.000000 114.129 -153.0750
775.000000 114.159 -152.1963
788.000000 114.211 -151.4342
800.000000 114.243 -150.6551
812.000000 114.299 -149.9131
825.000000 114.342 -149.1862
838.000000 114.392 -148.5543
850.000000 114.472 -147.7027
862.000000 114.518 -146.9602
875.000000 114.573 -146.0737
885.000000 114.704 -145.7345
900.000000 114.748 -144.7069
912.000000 114.829 -144.1669
925.000000 114.927 -143.6669
938.000000 115.022 -142.9534
950.000000 115.116 -142.5467
962.000000 115.202 -141.7561
975.000000 115.333 -141.2051
988.000000 115.413 -140.6082
1000.000000 115.490 -140.5649
1015.000000 115.651 -139.7063
1030.000000 115.748 -139.0881
1044.000000 115.875 -138.5525
1060.000000 116.029 -138.1506
1075.000000 116.154 -137.9603
1090.000000 116.279 -137.3806
1106.000000 116.435 -137.1063
1120.000000 116.527 -136.8859
1138.000000 116.665 -136.6333
1150.000000 116.762 -136.6043
1172.000000 116.950 -136.3116
1180.000000 116.980 -136.1675
1206.000000 117.186 -135.9942
1220.000000 117.278 -135.8401
1241.000000 117.416 -135.7456
1250.000000 117.504 -135.8270
1265.000000 117.564 -135.5090
1280.000000 117.672 -135.6462
1315.000000 117.895 -135.6475
1320.000000 117.952 -135.5647
1340.000000 118.067 -135.3736
1360.000000 118.174 -135.2915
1380.000000 118.284 -135.1998
1400.000000 118.362 -135.2053
1430.000000 118.559 -135.1370
1450.000000 118.648 -135.1209
1475.000000 118.806 -134.9603
1500.000000 118.930 -134.9766
1525.000000 119.061 -134.8564
1550.000000 119.189 -134.8062
1575.000000 119.319 -134.7968
1600.000000 119.467 -134.7725
1625.000000 119.585 -134.7613
1650.000000 119.720 -134.8645
1675.000000 119.891 -134.7735
1700.000000 120.007 -134.8189
1725.000000 120.144 -134.9379
1750.000000 120.262 -134.9435
1775.000000 120.433 -135.0317
1800.000000 120.557 -135.2367
1825.000000 120.703 -135.2744
1850.000000 120.833 -135.5194
1875.000000 120.974 -135.6022
1900.000000 121.119 -135.7541
1925.000000 121.273 -136.2509
1950.000000 121.354 -136.4372
1975.000000 121.525 -136.8132
2000.000000 121.692 -137.0654
2030.000000 121.815 -137.5880
2060.000000 121.987 -138.0454
2090.000000 122.120 -138.6830
2120.000000 122.285 -139.3638
2140.000000 122.369 -139.7454
2180.000000 122.560 -140.5850
2200.000000 122.650 -141.0743
2240.000000 122.819 -142.1080
2270.000000 122.942 -142.9137
2300.000000 123.064 -143.7871
2330.000000 123.178 -144.5972
2360.000000 123.275 -145.3864
2400.000000 123.400 -146.7303
2430.000000 123.484 -147.5532
2470.000000 123.562 -148.7763
2500.000000 123.639 -149.8273
2540.000000 123.718 -151.0374
2580.000000 123.789 -152.3039
2620.000000 123.839 -153.5807
2650.000000 123.862 -154.4315
2690.000000 123.888 -155.5574
2720.000000 123.903 -156.5716
2760.000000 123.917 -157.7030
2800.000000 123.884 -158.7026
2850.000000 123.895 -160.0223
2900.000000 123.880 -161.2254
2950.000000 123.830 -162.4245
3000.000000 123.774 -163.4306
3040.000000 123.764 -164.1703
3070.000000 123.755 -164.7250
3110.000000 123.701 -165.4108
3150.000000 123.667 -166.0402
3200.000000 123.631 -166.7667
3250.000000 123.593 -167.5654
3300.000000 123.556 -168.1571
3350.000000 123.503 -168.7201
3400.000000 123.482 -169.2120
3450.000000 123.443 -169.6147
3500.000000 123.424 -170.1116
3550.000000 123.395 -170.5451
3600.000000 123.371 -170.9901
3650.000000 123.365 -171.2847
3700.000000 123.382 -171.7419
3750.000000 123.366 -172.0599
3820.000000 123.393 -172.7454
3870.000000 123.398 -173.1246
3950.000000 123.422 -173.8508
4000.000000 123.448 -174.4394
4060.000000 123.495 -174.9258
4120.000000 123.546 -175.5448
4180.000000 123.585 -176.2312
4250.000000 123.629 -177.2270
4310.000000 123.672 -178.1928
4370.000000 123.693 -178.9819
4440.000000 123.705 179.8008
4500.000000 123.721 178.6359
4550.000000 123.733 177.8031
4620.000000 123.713 176.3591
4680.000000 123.721 175.2019
4750.000000 123.670 173.7567
4820.000000 123.609 172.2289
4870.000000 123.535 171.1375
4940.000000 123.432 169.4973
5000.000000 123.327 167.9219
5080.000000 123.142 166.5944
5150.000000 122.958 165.3450
5220.000000 122.751 164.0383
5300.000000 122.508 162.8073
5380.000000 122.246 161.6655
5450.000000 121.936 160.9133
5520.000000 121.742 160.4922
5600.000000 121.402 160.0076
5700.000000 121.004 159.7332
