* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Sep 18, 2025 3:05:01 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R SIMGOT EG280 837
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 123.116 -142.5030
20.600000 123.143 -143.2892
20.900000 123.163 -143.9662
21.200001 123.184 -144.6168
21.400000 123.202 -145.0480
21.799999 123.243 -145.9207
22.000000 123.267 -146.3677
22.400000 123.316 -147.2823
22.700001 123.350 -147.9758
23.000000 123.381 -148.6634
23.299999 123.407 -149.3360
23.600000 123.427 -149.9884
24.000000 123.449 -150.8219
24.299999 123.462 -151.4202
24.700001 123.479 -152.1899
25.000000 123.494 -152.7566
25.400000 123.517 -153.5132
25.799999 123.540 -154.2787
26.200001 123.560 -155.0416
26.500000 123.571 -155.5960
26.900000 123.582 -156.2941
27.200001 123.589 -156.7848
27.600000 123.600 -157.4098
28.000000 123.612 -158.0311
28.500000 123.628 -158.8349
29.000000 123.641 -159.6580
29.500000 123.649 -160.4587
30.000000 123.656 -161.2121
30.400000 123.664 -161.7894
30.700001 123.670 -162.2159
31.100000 123.675 -162.7810
31.500000 123.678 -163.3390
32.000000 123.676 -164.0177
32.500000 123.674 -164.6790
33.000000 123.675 -165.3425
33.500000 123.676 -166.0175
34.000000 123.674 -166.6804
34.500000 123.669 -167.2913
35.000000 123.664 -167.8391
35.500000 123.663 -168.3628
36.000000 123.661 -168.9162
36.500000 123.654 -169.5118
37.000000 123.638 -170.1111
37.500000 123.620 -170.6758
38.200001 123.608 -171.4292
38.700001 123.607 -171.9862
39.500000 123.599 -172.8862
40.000000 123.587 -173.3957
40.599998 123.572 -173.9457
41.200001 123.556 -174.4771
41.799999 123.539 -175.0203
42.500000 123.519 -175.6749
43.099998 123.501 -176.2542
43.700001 123.483 -176.8253
44.400002 123.461 -177.4333
45.000000 123.446 -177.9145
45.500000 123.434 -178.3208
46.200001 123.409 -178.8982
46.799999 123.381 -179.3607
47.500000 123.352 -179.8614
48.200001 123.333 179.6117
48.700001 123.321 179.2031
49.400002 123.300 178.6254
50.000000 123.279 178.1656
50.799999 123.251 177.6156
51.500000 123.224 177.1658
52.200001 123.196 176.7274
53.000000 123.163 176.2311
53.799999 123.133 175.7003
54.500000 123.102 175.2145
55.200001 123.066 174.7827
56.000000 123.034 174.3532
57.000000 123.002 173.7328
58.000000 122.950 173.1301
59.000000 122.900 172.6644
60.000000 122.860 172.1311
60.799999 122.825 171.6839
61.500000 122.797 171.3146
62.200001 122.769 170.9541
63.000000 122.730 170.5604
64.000000 122.679 170.1019
65.000000 122.636 169.6186
66.000000 122.592 169.1252
67.000000 122.544 168.7224
68.000000 122.498 168.3188
69.000000 122.448 167.8862
70.000000 122.402 167.4691
71.000000 122.360 167.0888
72.000000 122.321 166.7020
73.000000 122.263 166.2786
74.000000 122.211 165.9767
75.000000 122.177 165.5849
76.199997 122.111 165.1974
77.500000 122.058 164.7774
78.800003 121.998 164.3315
80.000000 121.945 163.9646
81.199997 121.875 163.6307
82.500000 121.821 163.2404
83.800003 121.771 162.8611
85.000000 121.707 162.5738
86.199997 121.657 162.2918
87.500000 121.581 161.8942
88.500000 121.535 161.7184
90.000000 121.469 161.3400
91.199997 121.425 161.2228
92.500000 121.364 160.8326
93.800003 121.297 160.5173
95.000000 121.246 160.2444
96.199997 121.189 160.0307
97.500000 121.125 159.7948
98.800003 121.073 159.5251
100.000000 121.012 159.3070
101.500000 120.955 159.0195
103.000000 120.898 158.9209
104.400002 120.836 158.6111
106.000000 120.765 158.3117
107.500000 120.698 158.1678
109.000000 120.624 157.9564
110.599998 120.569 157.7086
112.000000 120.507 157.7102
113.800003 120.431 157.3348
115.000000 120.385 157.2020
117.199997 120.305 156.9681
118.000000 120.272 156.8291
120.599998 120.160 156.5872
122.000000 120.113 156.5446
124.099998 120.014 156.3005
125.000000 119.990 156.2034
126.500000 119.935 156.2136
128.000000 119.873 156.0029
131.500000 119.746 155.7779
132.000000 119.719 155.7886
134.000000 119.644 155.5691
136.000000 119.583 155.6207
138.000000 119.483 155.5119
140.000000 119.430 155.2832
143.000000 119.326 155.2139
145.000000 119.239 155.3022
147.500000 119.144 155.0282
150.000000 119.109 155.0510
152.500000 118.994 155.1494
155.000000 118.884 154.9785
157.500000 118.861 154.9418
160.000000 118.728 155.0280
162.500000 118.690 154.8744
165.000000 118.604 155.0679
167.500000 118.527 154.9179
170.000000 118.417 155.1071
172.500000 118.364 154.8759
175.000000 118.288 155.1024
177.500000 118.202 155.1503
180.000000 118.154 155.2923
182.500000 118.089 155.3136
185.000000 118.015 155.6572
187.500000 117.903 155.5417
190.000000 117.894 155.5563
192.500000 117.804 155.5791
195.000000 117.730 155.7585
197.500000 117.663 155.9848
200.000000 117.596 156.0865
203.000000 117.530 156.0252
206.000000 117.469 156.2455
209.000000 117.409 156.5491
212.000000 117.354 156.7656
214.000000 117.286 156.6782
218.000000 117.221 157.0269
220.000000 117.199 157.3119
224.000000 117.144 157.4131
227.000000 117.075 157.4070
230.000000 117.032 157.6562
233.000000 116.971 157.6964
236.000000 116.923 157.8467
240.000000 116.852 158.0043
243.000000 116.803 158.2882
247.000000 116.700 158.5829
250.000000 116.636 158.7516
254.000000 116.536 158.6758
258.000000 116.478 158.6639
262.000000 116.456 159.2028
265.000000 116.390 159.4865
269.000000 116.294 159.7625
272.000000 116.259 159.5884
276.000000 116.223 160.1294
280.000000 116.121 160.4290
285.000000 116.087 160.5482
290.000000 116.000 161.0135
295.000000 115.921 161.4768
300.000000 115.866 161.6009
304.000000 115.794 161.8372
307.000000 115.739 162.2543
311.000000 115.723 162.5227
315.000000 115.645 162.6685
320.000000 115.594 163.1117
325.000000 115.544 163.4767
330.000000 115.472 163.7010
335.000000 115.443 163.9795
340.000000 115.390 164.2772
345.000000 115.351 164.8217
350.000000 115.273 165.3775
355.000000 115.201 165.7337
360.000000 115.165 166.0049
365.000000 115.122 166.2707
370.000000 115.063 166.6667
375.000000 115.018 167.0827
382.000000 115.010 167.6938
387.000000 114.972 168.1531
395.000000 114.878 168.6741
400.000000 114.790 169.3043
406.000000 114.723 169.4381
412.000000 114.724 169.9591
418.000000 114.686 170.2656
425.000000 114.642 170.9009
431.000000 114.615 171.3188
437.000000 114.577 171.7620
444.000000 114.518 172.3698
450.000000 114.497 172.9859
455.000000 114.467 173.1669
462.000000 114.480 173.9710
468.000000 114.375 174.0767
475.000000 114.439 174.5720
482.000000 114.224 174.8682
487.000000 114.134 175.7818
494.000000 114.400 176.2711
500.000000 114.274 177.3435
508.000000 114.225 176.5633
515.000000 114.204 177.3088
522.000000 114.206 178.0002
530.000000 114.119 178.7947
538.000000 114.145 178.9998
545.000000 114.100 179.3524
552.000000 114.095 179.7656
560.000000 114.009 -179.2856
570.000000 114.017 -178.1036
580.000000 113.944 -177.8189
590.000000 113.915 -177.2814
600.000000 114.011 -176.6355
608.000000 113.971 -175.7185
615.000000 113.934 -175.0741
622.000000 113.929 -174.7958
630.000000 113.918 -174.0568
640.000000 113.922 -173.3488
650.000000 113.881 -172.6238
660.000000 113.906 -171.9500
670.000000 113.910 -170.9574
680.000000 113.931 -170.1610
690.000000 113.901 -169.5796
700.000000 113.894 -168.8671
710.000000 113.931 -168.1547
720.000000 113.941 -167.3233
730.000000 113.957 -166.5150
740.000000 113.957 -165.8626
750.000000 113.961 -165.0228
762.000000 114.026 -164.1694
775.000000 114.031 -163.0411
788.000000 114.098 -162.2420
800.000000 114.133 -161.3821
812.000000 114.168 -160.5849
825.000000 114.265 -159.6266
838.000000 114.290 -158.6964
850.000000 114.329 -157.7708
862.000000 114.415 -157.0104
875.000000 114.499 -156.1590
885.000000 114.576 -155.6336
900.000000 114.639 -154.6679
912.000000 114.767 -153.9978
925.000000 114.842 -153.1833
938.000000 114.942 -152.5045
950.000000 115.019 -151.8491
962.000000 115.125 -151.2682
975.000000 115.205 -150.6528
988.000000 115.294 -150.0835
1000.000000 115.480 -149.5250
1015.000000 115.553 -149.2714
1030.000000 115.651 -148.6629
1044.000000 115.749 -148.2198
1060.000000 115.900 -147.7552
1075.000000 116.050 -147.2124
1090.000000 116.141 -147.0106
1106.000000 116.269 -146.7464
1120.000000 116.369 -146.2675
1138.000000 116.504 -146.1057
1150.000000 116.584 -145.8923
1172.000000 116.746 -145.6159
1180.000000 116.773 -145.4604
1206.000000 116.964 -145.2254
1220.000000 117.034 -144.8462
1241.000000 117.155 -144.7494
1250.000000 117.217 -144.5539
1265.000000 117.308 -144.4377
1280.000000 117.386 -144.2215
1315.000000 117.601 -143.8105
1320.000000 117.637 -143.7248
1340.000000 117.763 -143.6251
1360.000000 117.862 -143.3246
1380.000000 117.967 -143.2878
1400.000000 118.079 -142.9492
1430.000000 118.270 -142.8234
1450.000000 118.370 -142.7939
1475.000000 118.486 -142.6438
1500.000000 118.630 -142.4476
1525.000000 118.746 -142.1517
1550.000000 118.916 -142.0746
1575.000000 119.034 -141.8827
1600.000000 119.180 -141.9315
1625.000000 119.328 -141.7449
1650.000000 119.471 -141.7115
1675.000000 119.619 -141.6104
1700.000000 119.760 -141.7077
1725.000000 119.891 -141.6813
1750.000000 120.046 -141.7088
1775.000000 120.218 -141.5614
1800.000000 120.366 -141.7787
1825.000000 120.512 -141.8551
1850.000000 120.660 -142.0527
1875.000000 120.820 -142.2171
1900.000000 120.989 -142.2352
1925.000000 121.140 -142.6391
1950.000000 121.311 -142.8429
1975.000000 121.439 -143.2362
2000.000000 121.593 -143.9204
2030.000000 121.804 -144.0481
2060.000000 121.986 -144.6401
2090.000000 122.173 -145.1830
2120.000000 122.355 -145.7552
2140.000000 122.459 -146.3731
2180.000000 122.692 -147.5658
2200.000000 122.806 -148.0750
2240.000000 123.024 -149.3743
2270.000000 123.177 -150.3898
2300.000000 123.309 -151.3206
2330.000000 123.445 -152.4892
2360.000000 123.574 -153.7102
2400.000000 123.715 -155.3534
2430.000000 123.831 -156.4563
2470.000000 123.945 -158.3627
2500.000000 124.038 -159.5905
2540.000000 124.112 -161.3702
2580.000000 124.172 -163.1608
2620.000000 124.214 -164.9105
2650.000000 124.240 -166.2306
2690.000000 124.246 -167.9754
2720.000000 124.254 -169.1721
2760.000000 124.222 -170.8758
2800.000000 124.184 -172.4234
2850.000000 124.117 -174.3145
2900.000000 124.038 -176.1565
2950.000000 123.960 -177.7322
3000.000000 123.833 -179.1273
3040.000000 123.756 179.7089
3070.000000 123.694 178.8639
3110.000000 123.583 177.8812
3150.000000 123.493 177.0739
3200.000000 123.404 175.9977
3250.000000 123.265 175.0897
3300.000000 123.178 174.2581
3350.000000 123.058 173.3192
3400.000000 122.950 172.8094
3450.000000 122.867 172.0866
3500.000000 122.765 171.4956
3550.000000 122.693 170.9645
3600.000000 122.634 170.4427
3650.000000 122.592 169.9040
3700.000000 122.553 169.1848
3750.000000 122.502 168.6297
3820.000000 122.421 167.5355
3870.000000 122.380 166.9803
3950.000000 122.311 165.7547
4000.000000 122.275 164.7427
4060.000000 122.207 164.0728
4120.000000 122.121 163.0664
4180.000000 122.082 162.1211
4250.000000 121.992 160.6675
4310.000000 121.916 159.3932
4370.000000 121.813 158.3119
4440.000000 121.688 156.8174
4500.000000 121.537 155.4437
4550.000000 121.437 154.4197
4620.000000 121.263 153.0662
4680.000000 121.056 151.6465
4750.000000 120.791 150.4656
4820.000000 120.538 149.1541
4870.000000 120.320 148.2363
4940.000000 120.001 147.2615
5000.000000 119.711 146.6213
5080.000000 119.312 145.5813
5150.000000 118.971 145.2139
5220.000000 118.572 145.0845
5300.000000 118.152 144.9041
5380.000000 117.703 145.1056
5450.000000 117.310 145.6465
5520.000000 116.971 146.2756
5600.000000 116.613 147.3948
5700.000000 116.084 148.3447
5800.000000 115.610 150.0655
5900.000000 115.138 152.1212
6000.000000 114.644 154.5587
6080.000000 114.339 155.7863
