* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Sep 18, 2025 3:03:33 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R ELUA ULTRA 835
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 119.126 -149.1098
20.600000 119.147 -149.8985
20.900000 119.165 -150.5936
21.200001 119.188 -151.2883
21.400000 119.207 -151.7670
21.799999 119.248 -152.7710
22.000000 119.267 -153.2930
22.400000 119.297 -154.3465
22.700001 119.312 -155.1071
23.000000 119.322 -155.8129
23.299999 119.330 -156.4621
23.600000 119.342 -157.0720
24.000000 119.363 -157.8676
24.299999 119.383 -158.4839
24.700001 119.409 -159.3497
25.000000 119.426 -160.0226
25.400000 119.441 -160.9221
25.799999 119.451 -161.7901
26.200001 119.457 -162.6059
26.500000 119.460 -163.1805
26.900000 119.464 -163.8999
27.200001 119.468 -164.4111
27.600000 119.475 -165.0703
28.000000 119.484 -165.7271
28.500000 119.491 -166.5721
29.000000 119.491 -167.4377
29.500000 119.483 -168.2892
30.000000 119.475 -169.1111
30.400000 119.471 -169.7630
30.700001 119.470 -170.2578
31.100000 119.466 -170.9210
31.500000 119.460 -171.5685
32.000000 119.449 -172.3290
32.500000 119.440 -173.0505
33.000000 119.431 -173.7849
33.500000 119.416 -174.5443
34.000000 119.392 -175.2725
34.500000 119.369 -175.9146
35.000000 119.359 -176.4970
35.500000 119.358 -177.1082
36.000000 119.351 -177.7929
36.500000 119.324 -178.5036
37.000000 119.279 -179.1577
37.500000 119.233 -179.7336
38.200001 119.195 179.4784
38.700001 119.188 178.8498
39.500000 119.179 177.7961
40.000000 119.165 177.2163
40.599998 119.142 176.6439
41.200001 119.118 176.1199
41.799999 119.092 175.5310
42.500000 119.048 174.7554
43.099998 119.003 174.1158
43.700001 118.967 173.5249
44.400002 118.932 172.8251
45.000000 118.895 172.2263
45.500000 118.860 171.7844
46.200001 118.820 171.2213
46.799999 118.790 170.6761
47.500000 118.736 169.9821
48.200001 118.671 169.3907
48.700001 118.637 169.0228
49.400002 118.609 168.4542
50.000000 118.584 167.9289
50.799999 118.540 167.3211
51.500000 118.498 166.8206
52.200001 118.442 166.2625
53.000000 118.368 165.6697
53.799999 118.321 165.1196
54.500000 118.291 164.5593
55.200001 118.241 164.0422
56.000000 118.176 163.6318
57.000000 118.109 163.0629
58.000000 118.032 162.3209
59.000000 117.954 161.6400
60.000000 117.889 161.1033
60.799999 117.845 160.6598
61.500000 117.788 160.2090
62.200001 117.714 159.8790
63.000000 117.658 159.5789
64.000000 117.599 158.9161
65.000000 117.510 158.4456
66.000000 117.447 158.0296
67.000000 117.360 157.5150
68.000000 117.293 157.0431
69.000000 117.202 156.5630
70.000000 117.130 156.4438
71.000000 117.065 155.7591
72.000000 116.924 155.2198
73.000000 116.877 155.0002
74.000000 116.832 154.5622
75.000000 116.774 154.4606
76.199997 116.709 153.9494
77.500000 116.573 153.5707
78.800003 116.491 153.3451
80.000000 116.424 152.8523
81.199997 116.329 152.3687
82.500000 116.242 151.9929
83.800003 116.131 151.8699
85.000000 116.064 151.5774
86.199997 115.972 151.1879
87.500000 115.901 150.9752
88.500000 115.822 150.6625
90.000000 115.713 150.4503
91.199997 115.631 150.0476
92.500000 115.514 149.9283
93.800003 115.452 149.5433
95.000000 115.371 149.4944
96.199997 115.289 149.3688
97.500000 115.200 149.0844
98.800003 115.111 148.8747
100.000000 115.030 148.8933
101.500000 114.916 148.6120
103.000000 114.839 148.2875
104.400002 114.750 148.1970
106.000000 114.635 147.9281
107.500000 114.547 147.9062
109.000000 114.459 147.8932
110.599998 114.343 147.5383
112.000000 114.294 147.6287
113.800003 114.145 147.6254
115.000000 114.083 147.5114
117.199997 113.979 147.4384
118.000000 113.903 147.2844
120.599998 113.739 147.2942
122.000000 113.655 147.3202
124.099998 113.560 147.4005
125.000000 113.496 147.4431
126.500000 113.416 147.4460
128.000000 113.345 147.2834
131.500000 113.136 147.4301
132.000000 113.120 147.5026
134.000000 113.006 147.4460
136.000000 112.924 147.6169
138.000000 112.814 147.8606
140.000000 112.705 147.8064
143.000000 112.577 147.9307
145.000000 112.470 148.1474
147.500000 112.397 148.4729
150.000000 112.243 148.7503
152.500000 112.147 148.9326
155.000000 112.049 148.9037
157.500000 111.933 149.4432
160.000000 111.846 149.5220
162.500000 111.732 149.8427
165.000000 111.644 149.9322
167.500000 111.561 150.3961
170.000000 111.445 150.5704
172.500000 111.380 150.9139
175.000000 111.277 151.2375
177.500000 111.233 151.5368
180.000000 111.098 151.7640
182.500000 111.012 152.0399
185.000000 110.979 152.4519
187.500000 110.890 152.6656
190.000000 110.815 152.6499
192.500000 110.766 153.4982
195.000000 110.642 153.8683
197.500000 110.583 153.9801
200.000000 110.561 154.4920
203.000000 110.455 154.9521
206.000000 110.434 155.3700
209.000000 110.330 155.4352
212.000000 110.288 155.9141
214.000000 110.248 156.0800
218.000000 110.146 156.8986
220.000000 110.109 157.2838
224.000000 110.044 157.4930
227.000000 109.980 158.0042
230.000000 109.896 158.6242
233.000000 109.865 158.8524
236.000000 109.765 159.4685
240.000000 109.711 159.7235
243.000000 109.682 160.0377
247.000000 109.637 160.4614
250.000000 109.579 160.8450
254.000000 109.566 161.6255
258.000000 109.447 162.2286
262.000000 109.413 162.5380
265.000000 109.369 162.8686
269.000000 109.392 163.4448
272.000000 109.327 163.8338
276.000000 109.314 164.3953
280.000000 109.251 165.0193
285.000000 109.174 165.1128
290.000000 109.072 166.4213
295.000000 108.987 167.0570
300.000000 109.041 166.8622
304.000000 109.059 168.1924
307.000000 108.945 168.0428
311.000000 109.036 168.9466
315.000000 109.044 170.6246
320.000000 108.958 170.9391
325.000000 108.893 170.4009
330.000000 108.898 170.6042
335.000000 108.838 171.1586
340.000000 108.836 171.8866
345.000000 108.890 172.4598
350.000000 108.784 172.3373
355.000000 108.823 173.1307
360.000000 108.792 173.5321
365.000000 108.714 174.6423
370.000000 108.808 174.7275
375.000000 108.735 175.1251
382.000000 108.800 175.7148
387.000000 108.687 176.2912
395.000000 108.766 177.1430
400.000000 108.728 177.4109
406.000000 108.669 177.9282
412.000000 108.658 178.9402
418.000000 108.693 179.0404
425.000000 108.698 179.7246
431.000000 108.599 179.5715
437.000000 108.620 -179.5028
444.000000 108.631 -179.5023
450.000000 108.638 -178.3913
455.000000 108.623 -178.3394
462.000000 108.643 -177.3580
468.000000 108.566 -176.4760
475.000000 108.670 -175.8336
482.000000 108.591 -176.0141
487.000000 108.656 -175.6020
494.000000 108.657 -175.6933
500.000000 108.651 -174.8220
508.000000 108.625 -174.2870
515.000000 108.685 -173.9331
522.000000 108.631 -173.5034
530.000000 108.693 -172.8733
538.000000 108.676 -172.4385
545.000000 108.668 -172.3905
552.000000 108.666 -170.7351
560.000000 108.689 -170.5943
570.000000 108.634 -170.7222
580.000000 108.810 -169.5392
590.000000 108.567 -168.9065
600.000000 108.780 -168.4754
608.000000 108.810 -167.0740
615.000000 108.751 -167.7121
622.000000 108.700 -167.0670
630.000000 108.646 -165.8785
640.000000 108.788 -166.0054
650.000000 108.765 -164.9176
660.000000 108.801 -164.4829
670.000000 108.830 -163.8752
680.000000 108.858 -162.8608
690.000000 108.889 -162.7622
700.000000 108.878 -161.7515
710.000000 108.949 -161.7283
720.000000 108.990 -160.8584
730.000000 109.001 -160.4880
740.000000 109.025 -159.4220
750.000000 109.074 -158.8941
762.000000 109.047 -157.7313
775.000000 109.168 -157.0961
788.000000 109.170 -156.5439
800.000000 109.208 -155.9483
812.000000 109.264 -154.7689
825.000000 109.378 -154.3454
838.000000 109.399 -153.3922
850.000000 109.502 -152.9124
862.000000 109.571 -152.1218
875.000000 109.635 -151.1220
885.000000 109.756 -150.5852
900.000000 109.806 -150.4187
912.000000 109.897 -149.5331
925.000000 109.960 -148.7890
938.000000 110.100 -148.3340
950.000000 110.162 -147.6195
962.000000 110.239 -147.2420
975.000000 110.332 -146.4585
988.000000 110.496 -146.1936
1000.000000 110.441 -145.1658
1015.000000 110.708 -144.8011
1030.000000 110.885 -144.5971
1044.000000 110.962 -144.0016
1060.000000 111.056 -143.5600
1075.000000 111.161 -143.1358
1090.000000 111.348 -142.8968
1106.000000 111.479 -142.4995
1120.000000 111.566 -142.1489
1138.000000 111.740 -141.8654
1150.000000 111.843 -141.8727
1172.000000 112.022 -141.7686
1180.000000 112.074 -141.8098
1206.000000 112.260 -141.2103
1220.000000 112.368 -141.5589
1241.000000 112.546 -141.4125
1250.000000 112.609 -141.6654
1265.000000 112.692 -141.5911
1280.000000 112.776 -141.4904
1315.000000 112.943 -141.4442
1320.000000 113.007 -141.3376
1340.000000 113.143 -141.5126
1360.000000 113.260 -141.4016
1380.000000 113.390 -141.6063
1400.000000 113.497 -141.6671
1430.000000 113.655 -141.3952
1450.000000 113.726 -141.7066
1475.000000 113.862 -141.5392
1500.000000 113.996 -141.7035
1525.000000 114.153 -141.9118
1550.000000 114.248 -141.9064
1575.000000 114.325 -141.9084
1600.000000 114.503 -141.9377
1625.000000 114.607 -142.1460
1650.000000 114.737 -142.3759
1675.000000 114.852 -142.5492
1700.000000 114.990 -142.5397
1725.000000 115.111 -142.8396
1750.000000 115.213 -143.0867
1775.000000 115.370 -143.1752
1800.000000 115.479 -143.4857
1825.000000 115.596 -143.7523
1850.000000 115.710 -143.9312
1875.000000 115.824 -144.2970
1900.000000 115.967 -144.8262
1925.000000 116.053 -144.9824
1950.000000 116.161 -145.3163
1975.000000 116.245 -145.7580
2000.000000 116.333 -145.8407
2030.000000 116.482 -146.6422
2060.000000 116.609 -147.3900
2090.000000 116.769 -147.9383
2120.000000 116.868 -148.5036
2140.000000 116.928 -149.0455
2180.000000 117.108 -149.9980
2200.000000 117.155 -150.4396
2240.000000 117.269 -151.5035
2270.000000 117.348 -152.3381
2300.000000 117.481 -153.0388
2330.000000 117.565 -153.9423
2360.000000 117.584 -154.6733
2400.000000 117.695 -155.9235
2430.000000 117.742 -156.6862
2470.000000 117.820 -157.8261
2500.000000 117.858 -158.7911
2540.000000 117.879 -159.6872
2580.000000 117.905 -160.8559
2620.000000 117.940 -162.0474
2650.000000 117.934 -162.8958
2690.000000 117.970 -163.9907
2720.000000 117.955 -164.4462
2760.000000 117.936 -165.5899
2800.000000 117.904 -166.6954
2850.000000 117.924 -167.8121
2900.000000 117.877 -168.9115
2950.000000 117.879 -169.8293
3000.000000 117.791 -170.9883
3040.000000 117.764 -171.6984
3070.000000 117.750 -172.2714
3110.000000 117.688 -173.0829
3150.000000 117.677 -173.7311
3200.000000 117.584 -174.6472
3250.000000 117.533 -175.4775
3300.000000 117.466 -175.9584
3350.000000 117.418 -176.6269
3400.000000 117.349 -177.1231
3450.000000 117.293 -177.9490
3500.000000 117.246 -178.2914
3550.000000 117.158 -178.8831
3600.000000 117.110 -179.3064
3650.000000 117.086 -179.8442
3700.000000 117.037 179.6568
3750.000000 116.990 179.0920
3820.000000 116.955 178.5092
3870.000000 116.867 178.1157
3950.000000 116.783 177.2975
4000.000000 116.688 177.3176
4060.000000 116.640 176.4616
4120.000000 116.693 175.9889
4180.000000 116.585 175.5696
4250.000000 116.530 175.0354
4310.000000 116.489 174.3743
4370.000000 116.403 174.1311
4440.000000 116.366 173.3079
4500.000000 116.282 172.8204
4550.000000 116.222 172.3061
4620.000000 116.138 171.8015
4680.000000 116.011 171.2846
4750.000000 115.929 170.5750
4820.000000 115.838 170.1970
4870.000000 115.723 169.5881
4940.000000 115.595 169.0055
5000.000000 115.455 168.4944
5080.000000 115.279 168.2142
5150.000000 115.076 167.9792
5220.000000 114.978 167.7464
5300.000000 114.737 168.1184
5380.000000 114.502 167.9796
5450.000000 114.394 168.0908
5520.000000 114.181 168.3006
5600.000000 114.014 168.6282
5700.000000 113.802 169.3915
5800.000000 113.565 170.4395
5900.000000 113.330 171.1494
6000.000000 113.123 172.7440
