* Measurement data measured by REW V5.31.1
* Source: Microphone (5- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Jul 6, 2025 8:41:56 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R EM6L 2ND 795
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 84.535 -142.6298
20.600000 84.568 -143.4901
20.900000 84.593 -144.2554
21.200001 84.618 -145.0030
21.400000 84.636 -145.4968
21.799999 84.675 -146.4789
22.000000 84.696 -146.9683
22.400000 84.737 -147.9399
22.700001 84.765 -148.6529
23.000000 84.789 -149.3429
23.299999 84.810 -150.0060
23.600000 84.828 -150.6448
24.000000 84.852 -151.4710
24.299999 84.870 -152.0853
24.700001 84.896 -152.9119
25.000000 84.915 -153.5398
25.400000 84.938 -154.3777
25.799999 84.956 -155.1937
26.200001 84.970 -155.9666
26.500000 84.979 -156.5156
26.900000 84.989 -157.2183
27.200001 84.998 -157.7387
27.600000 85.009 -158.4428
28.000000 85.018 -159.1667
28.500000 85.024 -160.0795
29.000000 85.026 -160.9559
29.500000 85.027 -161.7714
30.000000 85.031 -162.5446
30.400000 85.035 -163.1584
30.700001 85.036 -163.6233
31.100000 85.034 -164.2447
31.500000 85.030 -164.8543
32.000000 85.023 -165.5824
32.500000 85.021 -166.2795
33.000000 85.022 -166.9742
33.500000 85.019 -167.6756
34.000000 85.006 -168.3534
34.500000 84.986 -168.9748
35.000000 84.970 -169.5568
35.500000 84.963 -170.1647
36.000000 84.959 -170.8361
36.500000 84.949 -171.5268
37.000000 84.932 -172.1477
37.500000 84.916 -172.6661
38.200001 84.906 -173.3376
38.700001 84.898 -173.8746
39.500000 84.863 -174.7884
40.000000 84.834 -175.3083
40.599998 84.807 -175.8742
41.200001 84.789 -176.4351
41.799999 84.767 -176.9997
42.500000 84.734 -177.6144
43.099998 84.708 -178.1135
43.700001 84.686 -178.6517
44.400002 84.658 -179.3337
45.000000 84.627 -179.8769
45.500000 84.603 179.7354
46.200001 84.579 179.2131
46.799999 84.556 178.7083
47.500000 84.514 178.1284
48.200001 84.472 177.6596
48.700001 84.453 177.3430
49.400002 84.434 176.8251
50.000000 84.407 176.3571
50.799999 84.365 175.8221
51.500000 84.333 175.3866
52.200001 84.299 174.9147
53.000000 84.249 174.4024
53.799999 84.203 173.9467
54.500000 84.171 173.5021
55.200001 84.132 173.0106
56.000000 84.077 172.5454
57.000000 84.024 172.1342
58.000000 83.985 171.6396
59.000000 83.935 171.0749
60.000000 83.875 170.5155
60.799999 83.828 170.1880
61.500000 83.801 169.9390
62.200001 83.773 169.6125
63.000000 83.722 169.2319
64.000000 83.667 168.7997
65.000000 83.619 168.2993
66.000000 83.570 167.9441
67.000000 83.523 167.5885
68.000000 83.463 167.2189
69.000000 83.414 166.8750
70.000000 83.369 166.5361
71.000000 83.321 166.1847
72.000000 83.259 165.8198
73.000000 83.207 165.5392
74.000000 83.157 165.2062
75.000000 83.099 164.9157
76.199997 83.053 164.5970
77.500000 82.993 164.2651
78.800003 82.917 163.9475
80.000000 82.861 163.5963
81.199997 82.810 163.2816
82.500000 82.749 163.0255
83.800003 82.682 162.7035
85.000000 82.619 162.4874
86.199997 82.568 162.2535
87.500000 82.506 161.9523
88.500000 82.464 161.7822
90.000000 82.406 161.4916
91.199997 82.345 161.2952
92.500000 82.287 161.0921
93.800003 82.226 160.9044
95.000000 82.171 160.7632
96.199997 82.123 160.5616
97.500000 82.072 160.3420
98.800003 82.010 160.2452
100.000000 81.963 160.0828
101.500000 81.892 159.8135
103.000000 81.829 159.7302
104.400002 81.780 159.5530
106.000000 81.718 159.2803
107.500000 81.649 159.2231
109.000000 81.591 159.1593
110.599998 81.530 158.9639
112.000000 81.489 158.9199
113.800003 81.414 158.6994
115.000000 81.388 158.5549
117.199997 81.277 158.5338
118.000000 81.261 158.4828
120.599998 81.159 158.3328
122.000000 81.133 158.2542
124.099998 81.035 157.9738
125.000000 80.996 158.0731
126.500000 80.976 157.9763
128.000000 80.894 157.7713
131.500000 80.812 157.7317
132.000000 80.790 157.7065
134.000000 80.726 157.8587
136.000000 80.674 157.6721
138.000000 80.593 157.6803
140.000000 80.553 157.5199
143.000000 80.457 157.4587
145.000000 80.395 157.5278
147.500000 80.335 157.3113
150.000000 80.270 157.4908
152.500000 80.199 157.5534
155.000000 80.127 157.3683
157.500000 80.065 157.5911
160.000000 80.028 157.4918
162.500000 79.927 157.3874
165.000000 79.876 157.4984
167.500000 79.826 157.5739
170.000000 79.779 157.4980
172.500000 79.704 157.5298
175.000000 79.618 157.7236
177.500000 79.585 157.8950
180.000000 79.551 157.7745
182.500000 79.481 157.7888
185.000000 79.444 157.7454
187.500000 79.356 157.8111
190.000000 79.339 157.9119
192.500000 79.301 158.0677
195.000000 79.254 158.0683
197.500000 79.204 158.0041
200.000000 79.155 158.2847
203.000000 79.089 158.2021
206.000000 79.037 158.3964
209.000000 78.966 158.4662
212.000000 78.925 158.5135
214.000000 78.896 158.5941
218.000000 78.826 158.8879
220.000000 78.774 158.8072
224.000000 78.729 159.0526
227.000000 78.657 159.1376
230.000000 78.632 159.1806
233.000000 78.593 159.4022
236.000000 78.532 159.5229
240.000000 78.474 159.6587
243.000000 78.430 159.6990
247.000000 78.394 159.8974
250.000000 78.347 160.0638
254.000000 78.289 160.1835
258.000000 78.224 160.3009
262.000000 78.176 160.4938
265.000000 78.131 160.6935
269.000000 78.098 160.8874
272.000000 78.060 161.0281
276.000000 78.020 161.2134
280.000000 77.966 161.4519
285.000000 77.924 161.6400
290.000000 77.879 161.8452
295.000000 77.819 162.1747
300.000000 77.774 162.2662
304.000000 77.731 162.5338
307.000000 77.730 162.6028
311.000000 77.668 162.7210
315.000000 77.644 162.8720
320.000000 77.596 163.0671
325.000000 77.552 163.2189
330.000000 77.522 163.6317
335.000000 77.496 163.6641
340.000000 77.434 164.1411
345.000000 77.403 164.1207
350.000000 77.355 164.3744
355.000000 77.308 164.4673
360.000000 77.310 164.7668
365.000000 77.254 165.0017
370.000000 77.229 165.0761
375.000000 77.178 165.2105
382.000000 77.123 165.4214
387.000000 77.094 165.8098
395.000000 77.050 166.0367
400.000000 76.999 166.5612
406.000000 76.992 166.6342
412.000000 76.950 166.7383
418.000000 76.903 166.9898
425.000000 76.850 167.2788
431.000000 76.818 167.5826
437.000000 76.799 167.7978
444.000000 76.768 168.2025
450.000000 76.703 168.3810
455.000000 76.718 168.6572
462.000000 76.660 168.8512
468.000000 76.636 169.2719
475.000000 76.592 169.5896
482.000000 76.547 169.7996
487.000000 76.534 170.0121
494.000000 76.490 170.3029
500.000000 76.453 170.5126
508.000000 76.440 171.0584
515.000000 76.406 171.2611
522.000000 76.400 171.5260
530.000000 76.367 172.0523
538.000000 76.357 172.2437
545.000000 76.312 172.6849
552.000000 76.265 173.0811
560.000000 76.246 173.2004
570.000000 76.224 173.7708
580.000000 76.188 174.3109
590.000000 76.151 174.8211
600.000000 76.142 175.1306
608.000000 76.138 175.5727
615.000000 76.092 175.9953
622.000000 76.076 176.4144
630.000000 76.044 176.7646
640.000000 76.066 177.4750
650.000000 76.028 177.9124
660.000000 76.062 178.4894
670.000000 76.051 178.8187
680.000000 76.046 179.5046
690.000000 76.016 179.7789
700.000000 76.032 -179.7528
710.000000 76.053 -179.1775
720.000000 76.065 -178.9039
730.000000 76.033 -178.4821
740.000000 76.040 -177.7754
750.000000 76.029 -177.5888
762.000000 76.038 -176.7085
775.000000 76.048 -176.2751
788.000000 76.084 -175.6398
800.000000 76.091 -174.9409
812.000000 76.122 -174.3557
825.000000 76.144 -173.6193
838.000000 76.173 -173.0757
850.000000 76.192 -172.5851
862.000000 76.231 -171.8900
875.000000 76.263 -171.3461
885.000000 76.310 -170.7966
900.000000 76.365 -170.0921
912.000000 76.438 -169.5804
925.000000 76.494 -169.0919
938.000000 76.565 -168.6165
950.000000 76.616 -168.1131
962.000000 76.706 -167.7246
975.000000 76.782 -167.1080
988.000000 76.862 -166.7370
1000.000000 76.910 -166.7565
1015.000000 77.040 -165.8014
1030.000000 77.150 -165.6497
1044.000000 77.207 -165.4305
1060.000000 77.328 -164.9707
1075.000000 77.432 -164.6937
1090.000000 77.509 -164.4816
1106.000000 77.609 -164.3640
1120.000000 77.697 -164.1559
1138.000000 77.802 -164.1176
1150.000000 77.903 -163.9502
1172.000000 78.018 -163.8950
1180.000000 78.060 -163.8805
1206.000000 78.205 -163.8404
1220.000000 78.263 -163.7550
1241.000000 78.375 -163.8664
1250.000000 78.418 -163.7388
1265.000000 78.459 -163.9109
1280.000000 78.562 -163.9942
1315.000000 78.712 -163.9292
1320.000000 78.724 -163.9599
1340.000000 78.795 -164.1821
1360.000000 78.885 -164.1058
1380.000000 78.949 -164.1519
1400.000000 79.005 -164.2478
1430.000000 79.152 -164.1475
1450.000000 79.206 -164.0825
1475.000000 79.318 -164.0562
1500.000000 79.392 -163.9712
1525.000000 79.496 -164.0562
1550.000000 79.583 -163.8712
1575.000000 79.694 -164.0032
1600.000000 79.786 -163.9027
1625.000000 79.872 -163.6540
1650.000000 79.981 -163.7339
1675.000000 80.076 -163.6071
1700.000000 80.215 -163.6142
1725.000000 80.324 -163.5607
1750.000000 80.415 -163.5775
1775.000000 80.538 -163.4121
1800.000000 80.670 -163.3930
1825.000000 80.788 -163.4380
1850.000000 80.924 -163.5235
1875.000000 81.047 -163.4856
1900.000000 81.167 -163.5008
1925.000000 81.303 -163.4851
1950.000000 81.472 -163.6019
1975.000000 81.599 -163.9028
2000.000000 81.790 -163.9181
2030.000000 81.922 -164.0302
2060.000000 82.095 -164.3489
2090.000000 82.287 -164.6361
2120.000000 82.478 -164.8534
2140.000000 82.604 -165.1853
2180.000000 82.853 -165.6772
2200.000000 82.970 -165.9109
2240.000000 83.234 -166.5985
2270.000000 83.431 -167.1368
2300.000000 83.633 -167.7253
2330.000000 83.827 -168.3158
2360.000000 84.005 -169.0036
2400.000000 84.256 -170.0285
2430.000000 84.452 -170.8466
2470.000000 84.690 -171.9207
2500.000000 84.878 -172.8033
2540.000000 85.117 -174.1693
2580.000000 85.334 -175.5344
2620.000000 85.541 -176.9920
2650.000000 85.699 -178.1270
2690.000000 85.906 -179.5885
2720.000000 86.026 179.1348
2760.000000 86.208 177.5598
2800.000000 86.361 175.8827
2850.000000 86.538 173.8054
2900.000000 86.701 171.7109
2950.000000 86.839 169.6261
3000.000000 86.959 167.5613
3040.000000 87.045 165.7819
3070.000000 87.088 164.5114
3110.000000 87.150 162.9638
3150.000000 87.204 161.4047
3200.000000 87.249 159.3814
3250.000000 87.284 157.5988
3300.000000 87.297 155.7472
3350.000000 87.321 154.1630
3400.000000 87.323 152.5326
3450.000000 87.321 151.0240
3500.000000 87.335 149.6641
3550.000000 87.341 148.2627
3600.000000 87.354 146.9718
3650.000000 87.381 145.6119
3700.000000 87.386 144.3405
3750.000000 87.401 143.1246
3820.000000 87.415 141.2977
3870.000000 87.424 139.9966
3950.000000 87.433 138.0565
4000.000000 87.403 136.8515
4060.000000 87.410 135.3422
4120.000000 87.396 133.8787
4180.000000 87.361 132.5115
4250.000000 87.301 130.8087
4310.000000 87.250 129.4654
4370.000000 87.169 128.3599
4440.000000 87.068 126.9282
4500.000000 86.990 125.8709
4550.000000 86.900 125.0278
4620.000000 86.784 124.1349
4680.000000 86.666 123.3411
4750.000000 86.555 122.6718
4820.000000 86.440 121.9940
4870.000000 86.340 121.6172
4940.000000 86.232 121.1551
5000.000000 86.140 120.6054
5080.000000 85.949 120.3684
5150.000000 85.806 120.1223
5220.000000 85.650 120.0425
5300.000000 85.470 120.1226
5380.000000 85.293 120.3458
5450.000000 85.139 120.7740
5520.000000 85.008 121.1621
5600.000000 84.842 121.9553
5700.000000 84.650 122.8942
5800.000000 84.494 124.1019
5900.000000 84.338 125.4576
6000.000000 84.184 126.9552
6080.000000 84.084 127.9324
6150.000000 84.027 129.0907
6220.000000 83.938 130.3039
