* Measurement data measured by REW V5.31.1
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Dec 9, 2025 5:36:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L EO-IA500 2 1293
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 122.118 -124.9591
20.600000 122.191 -125.7316
20.900000 122.260 -126.4596
21.200001 122.326 -127.2051
21.400000 122.370 -127.7042
21.799999 122.451 -128.6783
22.000000 122.488 -129.1364
22.400000 122.558 -129.9627
22.700001 122.607 -130.4996
23.000000 122.657 -130.9855
23.299999 122.710 -131.4602
23.600000 122.765 -131.9598
24.000000 122.837 -132.7037
24.299999 122.888 -133.3196
24.700001 122.952 -134.1780
25.000000 122.997 -134.8078
25.400000 123.061 -135.5865
25.799999 123.130 -136.2863
26.200001 123.203 -136.9341
26.500000 123.257 -137.4085
26.900000 123.320 -138.0438
27.200001 123.359 -138.5267
27.600000 123.402 -139.1794
28.000000 123.440 -139.8451
28.500000 123.488 -140.7059
29.000000 123.542 -141.5952
29.500000 123.597 -142.4751
30.000000 123.646 -143.2863
30.400000 123.678 -143.8621
30.700001 123.699 -144.2539
31.100000 123.726 -144.7459
31.500000 123.755 -145.2367
32.000000 123.800 -145.8974
32.500000 123.852 -146.6273
33.000000 123.906 -147.3857
33.500000 123.955 -148.1131
34.000000 124.000 -148.7874
34.500000 124.038 -149.4498
35.000000 124.067 -150.1561
35.500000 124.086 -150.9104
36.000000 124.099 -151.6448
36.500000 124.113 -152.2795
37.000000 124.141 -152.7978
37.500000 124.182 -153.2672
38.200001 124.234 -153.9974
38.700001 124.251 -154.5810
39.500000 124.261 -155.4665
40.000000 124.281 -155.9814
40.599998 124.324 -156.6346
41.200001 124.359 -157.2988
41.799999 124.370 -157.8426
42.500000 124.380 -158.3485
43.099998 124.403 -158.9188
43.700001 124.424 -159.6882
44.400002 124.439 -160.5802
45.000000 124.458 -161.1864
45.500000 124.477 -161.6481
46.200001 124.484 -162.3039
46.799999 124.470 -162.7868
47.500000 124.476 -163.2596
48.200001 124.519 -163.9369
48.700001 124.537 -164.5834
49.400002 124.508 -165.3517
50.000000 124.479 -165.6579
50.799999 124.516 -166.1056
51.500000 124.555 -167.0128
52.200001 124.527 -167.8153
53.000000 124.517 -168.0334
53.799999 124.590 -168.4907
54.500000 124.597 -169.4059
55.200001 124.542 -170.0499
56.000000 124.539 -170.3523
57.000000 124.600 -171.0966
58.000000 124.593 -172.0133
59.000000 124.519 -172.7690
60.000000 124.467 -173.0448
60.799999 124.533 -173.5704
61.500000 124.569 -174.5025
62.200001 124.527 -175.1578
63.000000 124.467 -175.3027
64.000000 124.421 -175.7621
65.000000 124.370 -176.8198
66.000000 124.361 -177.7354
67.000000 124.372 -177.9723
68.000000 124.370 -178.0463
69.000000 124.356 -178.3858
70.000000 124.350 -178.9677
71.000000 124.279 -179.0423
72.000000 124.300 -178.8530
73.000000 124.367 -179.9093
74.000000 124.350 178.8717
75.000000 124.313 178.5131
76.199997 124.353 178.3115
77.500000 124.313 177.0514
78.800003 124.262 176.5672
80.000000 124.277 175.8792
81.199997 124.233 175.2767
82.500000 124.182 174.9605
83.800003 124.195 174.3866
85.000000 124.133 173.7291
86.199997 124.107 173.1974
87.500000 124.083 172.6109
88.500000 124.061 172.3793
90.000000 124.000 171.6725
91.199997 123.977 171.1776
92.500000 123.955 170.6276
93.800003 123.913 170.1542
95.000000 123.866 169.6645
96.199997 123.846 169.2490
97.500000 123.795 168.8001
98.800003 123.771 168.3049
100.000000 123.731 167.9103
101.500000 123.710 167.5564
103.000000 123.657 166.9353
104.400002 123.635 166.5066
106.000000 123.575 166.0916
107.500000 123.533 165.5374
109.000000 123.500 165.0757
110.599998 123.438 164.6572
112.000000 123.401 164.3006
113.800003 123.348 163.7383
115.000000 123.321 163.4561
117.199997 123.241 162.8804
118.000000 123.214 162.6414
120.599998 123.145 161.9580
122.000000 123.100 161.6037
124.099998 123.027 161.0801
125.000000 123.000 160.8847
126.500000 122.967 160.5855
128.000000 122.904 160.2280
131.500000 122.801 159.4638
132.000000 122.786 159.3629
134.000000 122.736 158.9847
136.000000 122.654 158.5788
138.000000 122.608 158.1155
140.000000 122.546 157.8193
143.000000 122.458 157.2039
145.000000 122.385 156.8919
147.500000 122.308 156.4859
150.000000 122.229 155.9650
152.500000 122.155 155.6268
155.000000 122.079 155.1936
157.500000 121.999 154.9175
160.000000 121.915 154.4854
162.500000 121.841 154.0575
165.000000 121.762 153.7847
167.500000 121.684 153.4402
170.000000 121.611 153.1442
172.500000 121.523 152.8299
175.000000 121.438 152.4812
177.500000 121.368 152.1910
180.000000 121.285 151.8935
182.500000 121.217 151.6488
185.000000 121.118 151.2934
187.500000 121.038 151.0625
190.000000 120.934 150.8630
192.500000 120.863 150.6016
195.000000 120.747 150.3038
197.500000 120.643 150.1143
200.000000 120.530 149.7372
203.000000 120.367 149.6519
206.000000 120.190 149.4552
209.000000 119.915 149.8171
212.000000 119.638 150.9471
214.000000 119.462 152.9150
218.000000 119.863 156.5608
220.000000 120.195 156.5417
224.000000 120.388 154.1219
227.000000 120.387 152.9508
230.000000 120.313 152.1562
233.000000 120.234 151.5230
236.000000 120.136 151.0256
240.000000 120.042 150.5580
243.000000 119.942 150.2347
247.000000 119.828 149.8317
250.000000 119.754 149.6570
254.000000 119.657 149.4531
258.000000 119.572 149.3281
262.000000 119.459 149.1523
265.000000 119.391 148.9359
269.000000 119.297 148.8437
272.000000 119.229 148.8570
276.000000 119.144 148.6994
280.000000 119.051 148.6737
285.000000 118.944 148.5509
290.000000 118.831 148.5886
295.000000 118.729 148.5366
300.000000 118.632 148.5720
304.000000 118.552 148.4481
307.000000 118.480 148.4957
311.000000 118.392 148.5227
315.000000 118.322 148.5505
320.000000 118.223 148.5472
325.000000 118.135 148.6393
330.000000 118.046 148.6730
335.000000 117.934 148.7223
340.000000 117.868 148.8347
345.000000 117.766 148.9083
350.000000 117.689 149.1212
355.000000 117.599 149.2048
360.000000 117.526 149.5551
365.000000 117.447 149.4404
370.000000 117.373 149.5730
375.000000 117.284 149.7494
382.000000 117.169 149.8875
387.000000 117.101 150.0388
395.000000 116.972 150.2454
400.000000 116.895 150.4026
406.000000 116.801 150.6898
412.000000 116.733 150.7675
418.000000 116.625 151.0875
425.000000 116.543 151.4066
431.000000 116.454 151.6277
437.000000 116.375 151.8730
444.000000 116.275 152.1340
450.000000 116.201 152.4749
455.000000 116.127 152.5919
462.000000 116.046 152.8984
468.000000 115.978 153.3402
475.000000 115.886 153.5623
482.000000 115.843 154.0899
487.000000 115.774 154.0199
494.000000 115.667 154.6761
500.000000 115.617 154.8461
508.000000 115.537 155.2294
515.000000 115.467 155.7119
522.000000 115.403 155.8638
530.000000 115.314 156.4456
538.000000 115.244 156.7538
545.000000 115.160 157.2472
552.000000 115.121 157.7688
560.000000 115.032 158.0754
570.000000 114.932 158.7383
580.000000 114.882 159.2980
590.000000 114.761 159.7648
600.000000 114.700 160.4830
608.000000 114.656 161.0787
615.000000 114.608 161.2811
622.000000 114.565 161.8998
630.000000 114.513 162.2704
640.000000 114.482 163.1750
650.000000 114.390 163.6634
660.000000 114.330 164.2711
670.000000 114.263 164.9611
680.000000 114.209 165.6234
690.000000 114.177 166.2571
700.000000 114.128 167.1572
710.000000 114.105 167.6799
720.000000 114.077 168.2840
730.000000 114.036 168.8679
740.000000 113.970 169.8500
750.000000 113.931 170.4487
762.000000 113.909 171.2987
775.000000 113.881 171.9817
788.000000 113.890 173.0220
800.000000 113.829 173.7693
812.000000 113.811 174.7241
825.000000 113.767 175.2737
838.000000 113.757 176.7064
850.000000 113.749 177.4815
862.000000 113.730 178.6686
875.000000 113.711 179.7142
885.000000 113.761 -179.3437
900.000000 113.802 -178.0327
912.000000 113.861 -177.0527
925.000000 113.955 -175.9796
938.000000 114.033 -174.9745
950.000000 114.092 -174.2297
962.000000 114.209 -173.5358
975.000000 114.312 -173.0573
988.000000 114.395 -172.4473
1000.000000 114.386 -171.8331
1015.000000 114.544 -171.2229
1030.000000 114.644 -170.5496
1044.000000 114.761 -170.0909
1060.000000 114.850 -169.8335
1075.000000 114.947 -169.2001
1090.000000 115.034 -168.7435
1106.000000 115.163 -168.1761
1120.000000 115.243 -167.8935
1138.000000 115.351 -167.4551
1150.000000 115.411 -167.4023
1172.000000 115.566 -167.0739
1180.000000 115.621 -167.0555
1206.000000 115.758 -166.5329
1220.000000 115.843 -166.2539
1241.000000 115.976 -166.0634
1250.000000 116.011 -165.8615
1265.000000 116.065 -165.7386
1280.000000 116.166 -165.5887
1315.000000 116.368 -165.2711
1320.000000 116.388 -165.3380
1340.000000 116.477 -165.1600
1360.000000 116.574 -165.0212
1380.000000 116.669 -164.8207
1400.000000 116.740 -164.8533
1430.000000 116.899 -164.7461
1450.000000 116.979 -164.5175
1475.000000 117.091 -164.2959
1500.000000 117.200 -164.0360
1525.000000 117.348 -164.0644
1550.000000 117.430 -163.9654
1575.000000 117.555 -163.8986
1600.000000 117.644 -163.8547
1625.000000 117.751 -163.6569
1650.000000 117.893 -163.6844
1675.000000 118.001 -163.4951
1700.000000 118.128 -163.4558
1725.000000 118.262 -163.4053
1750.000000 118.384 -163.1088
1775.000000 118.489 -163.3122
1800.000000 118.618 -163.3375
1825.000000 118.758 -163.2444
1850.000000 118.862 -163.3937
1875.000000 119.003 -163.5316
1900.000000 119.170 -163.7224
1925.000000 119.290 -163.8024
1950.000000 119.434 -163.8927
1975.000000 119.564 -164.1537
2000.000000 119.660 -164.7585
2030.000000 119.864 -164.7701
2060.000000 120.010 -165.1889
2090.000000 120.171 -165.6633
2120.000000 120.325 -166.1017
2140.000000 120.412 -166.5755
2180.000000 120.605 -167.4364
2200.000000 120.689 -167.9423
2240.000000 120.822 -168.8452
2270.000000 120.857 -169.5587
2300.000000 120.832 -169.8114
2330.000000 120.826 -169.4856
2360.000000 120.840 -167.6177
2400.000000 121.470 -165.0135
2430.000000 122.120 -165.9732
2470.000000 122.631 -169.2092
2500.000000 122.842 -171.5475
2540.000000 123.032 -174.2458
2580.000000 123.165 -176.6831
2620.000000 123.268 -178.7909
2650.000000 123.347 179.6800
2690.000000 123.434 177.7075
2720.000000 123.490 176.2868
2760.000000 123.543 174.4055
2800.000000 123.592 172.5175
2850.000000 123.653 170.1555
2900.000000 123.685 167.9027
2950.000000 123.683 165.6382
3000.000000 123.675 163.4137
3040.000000 123.649 161.7370
3070.000000 123.612 160.5291
3110.000000 123.571 158.7260
3150.000000 123.495 157.1894
3200.000000 123.372 155.1542
3250.000000 123.225 153.6200
3300.000000 123.104 152.4961
3350.000000 123.047 151.4348
3400.000000 122.991 150.0329
3450.000000 122.915 148.5262
3500.000000 122.845 147.0343
3550.000000 122.719 145.5674
3600.000000 122.579 144.2263
3650.000000 122.445 143.0510
3700.000000 122.280 142.0168
3750.000000 122.136 141.2597
3820.000000 121.933 140.0701
3870.000000 121.825 139.3801
3950.000000 121.584 138.2917
4000.000000 121.388 137.6014
4060.000000 121.272 137.1483
4120.000000 121.125 136.8684
4180.000000 120.977 136.5283
4250.000000 120.796 136.0560
4310.000000 120.662 136.0996
4370.000000 120.544 136.0128
4440.000000 120.427 135.9579
4500.000000 120.358 135.9558
4550.000000 120.291 135.9551
4620.000000 120.199 136.1145
4680.000000 120.177 135.6782
4750.000000 120.130 135.7365
4820.000000 120.107 135.1602
4870.000000 120.074 134.9763
4940.000000 120.040 134.6102
5000.000000 119.988 134.1360
5080.000000 119.902 133.2816
5150.000000 119.789 132.2366
5220.000000 119.630 131.4201
5300.000000 119.465 130.7212
5380.000000 119.294 130.2159
5450.000000 119.071 129.6320
5520.000000 118.852 129.6052
5600.000000 118.612 129.2169
5700.000000 118.288 128.8672
5800.000000 117.853 129.1876
5900.000000 117.465 129.4735
6000.000000 117.059 129.7135
6080.000000 116.696 131.3002
6150.000000 116.409 132.7372
